"","semi","anti","ee","ism","ian","ful","y","ness","able","ly","unV","unA","ize","less","erA","erC","ity","super","est","ment","ify","re","ation","in.","ex","en","be","AuthorCodes","Registers","Birth"
"Austen",0,0,0,0.0921,0,1.2891,1.5654,1.6575,1.0129,6.2615,0.0921,1.9337,0,0.0921,1.1971,0.8287,1.7495,0.1842,2.0258,0.9208,0.0921,0.4604,3.7753,0.8287,0.7366,0.2762,0.3683,"LAp","L",1775
"Burroughs",0,0,0,0.2026,0.0675,0.6752,0.5402,1.418,0.3376,5.2667,0.2026,1.688,0.2701,1.0804,1.2154,0.6077,0.6077,0.0675,1.0128,0.7427,0,0.4051,3.0385,0.5402,0.3376,0.6077,0.0675,"LBp","L",1837
"Bronte",0,0.0552,0,0.1105,0.0552,0.7735,1.7127,0.8287,0.4972,7.0718,0.1657,1.2707,0.1105,0.442,1.8232,1.0497,0.6077,0,0.4972,0.5525,0.0552,0.442,3.2597,0.9945,0.4972,0.3867,0.221,"LBw","L",1818
"Conrad",0,0,0.0515,0.1031,0.1031,0.567,2.6289,0.9278,0.567,5.9278,0.1546,2.268,0.1031,0.3093,1.701,0.567,0.9794,0.0515,0.4639,0.3608,0.1546,0.2577,2.9381,1.3402,0.3093,0.2062,0.2062,"LCl","L",1857
"Conrad2",0.0555,0,0.0555,0.3331,0.0555,0.9994,1.8323,1.7768,0.2221,9.2726,0.2221,2.4431,0.0555,0.7218,1.2215,0.5552,0.5552,0.111,0.4997,0.6108,0.1666,0.111,2.1655,1.2771,0.4442,0.2221,0.1666,"LCn","L",1857
"Dickens",0,0,0.0608,0,0,0.4866,1.6423,1.0949,0.4866,5.2311,0.1825,1.5207,0,0.6691,1.5207,1.6423,0.4258,0,1.2774,0.5474,0,0.4258,1.8248,0.7299,0.5474,0.3041,0.0608,"LDC","L",1812
"Doyle2",0,0,0,0.0737,0.0737,0.59,1.9174,0.8112,0.5162,4.646,0.295,1.7699,0.2212,0.3687,1.6224,1.4012,1.0324,0.0737,0.3687,0.5162,0.0737,0.5162,3.3186,0.7375,0.3687,0.4425,0,"LDb","L",1859
"Dickens2",0,0,0,0,0,0.9542,2.2901,0.9542,0.3817,6.8066,0.1272,1.7176,0,0.6361,1.5267,1.972,0.2545,0.1272,0.5089,0.8906,0.0636,0.3181,2.7354,1.2723,0.5089,0.5725,0.1908,"LDc","L",1812
"Doyle",0,0,0.0758,0,0,0.6065,2.1228,0.7582,0.5307,4.6247,0.1516,1.2889,0.0758,0.7582,1.3647,0.9856,0.4549,0.0758,0.9098,0.6823,0,0.4549,2.047,1.5163,0.3791,0.1516,0.3033,"LDh","L",1859
"Doyle3",0,0,0,0.0758,0.1515,0.5303,1.3636,0.8333,0.4545,5.4545,0.2273,1.1364,0.2273,0.5303,1.7424,1.1364,0.4545,0,0.9091,1.1364,0.0758,0.0758,3.4848,1.2121,0.7576,0.2273,0,"LDv","L",1859
"James",0,0,0,0.1627,0,0.3255,1.4646,1.546,0.8137,6.2653,0,1.6273,0.1627,0.3255,0.7323,1.0578,1.3832,0,0.9764,0.895,0.3255,0.2441,3.1733,1.0578,0.3255,0.4068,0,"LJc","L",1843
"James2",0,0,0,0.2311,0.2311,0.5393,1.3867,2.1572,1.0015,7.1649,0,1.772,0.1541,0.5393,1.3867,0.6934,1.4638,0,0.7704,0.7704,0.1541,0.1541,3.0046,1.6949,0.6163,0.2311,0.077,"LJe","L",1843
"London2",0,0,0,0,0,0.6605,1.321,1.5192,0.2642,8.9168,0.1982,1.8494,0.1321,0.8587,1.5852,1.5192,0.3963,0.0661,0.2642,0.7266,0,0.2642,2.1136,1.0568,0.3303,0.2642,0.1321,"LLc","L",1876
"London",0,0,0,0.1222,0,0.733,2.1991,2.2602,0.2443,6.964,0.2443,1.405,0.1222,1.0996,0.7941,0.5498,0.5498,0.0611,0.3665,0.8552,0.1222,0.1833,2.1991,0.7941,0.3054,0.3665,0,"LLs","L",1876
"Montgomery",0,0,0.0703,0.0703,0.0703,0.773,2.3893,0.4919,0.3514,8.5032,0.0703,1.2649,0.0703,0.2811,1.1947,1.0541,0.2811,0,0.9136,0.773,0.2108,0.2108,1.7569,0.4919,0.2811,0.2108,0.1405,"LMa","L",1874
"Melville",0,0,0.1009,0,0,0.6559,1.6145,1.3623,0.3532,5.449,0.2018,1.6145,0.0505,0.6054,1.665,0.9586,0.555,0.1514,1.3623,0.3532,0.1009,0,1.5136,0.7568,0.4541,0.3532,0.3027,"LMm","L",1819
"Morris",0,0,0,0.0767,0.0767,0.7669,1.8405,1.3037,0.3834,7.2086,0.0767,1.3037,0,0.3834,2.3006,1.5337,0.6902,0.0767,0.4601,0.6135,0,0.0767,2.0706,0.5368,0.1534,0.2301,0.0767,"LMn","L",1834
"Milton",0,0,0,0,1.6209,1.0599,0.9975,0.3741,0.3117,1.6833,0.3117,2.7431,0,0.6858,1.1845,1.3092,0.1247,0,1.808,0.187,0.0623,0.3741,2.6808,1.3716,0.3741,0.4364,0.3117,"LMp","L",1608
"Orczy",0.0663,0,0,0,0.0663,0.5968,1.8568,1.1273,0.2653,7.6923,0.1326,1.7241,0.1326,0.5305,0.9947,0.6631,0.8621,0.0663,0.7294,0.5968,0.0663,0.3979,2.2546,1.3263,0.3316,0.3316,0,"LOs","L",1865
"Stoker",0,0,0,0,0,0.7132,2.6149,1.3471,0.4754,6.8146,0.1585,1.2678,0.0792,0.4754,0.7132,1.2678,0.3962,0,0.8716,0.2377,0.0792,0.1585,2.2979,0.317,0.3962,0.5547,0,"LSd","L",1847
"Startrek",0,0.0907,0,0.1813,0,0.0907,1.3599,0.544,0.3626,5.2584,0,1.6319,0.544,0.3626,1.1786,0.4533,0.6346,0.1813,0.272,0.9973,0.0907,0.272,2.9918,0.9973,0.9066,0.3626,0.1813,"LSs","L",1950
"Trollope3",0,0,0,0.0962,0.1925,0.77,1.0587,2.3099,0.5775,4.8123,0,1.5399,0.0962,0.5775,1.155,0.77,0.6737,0,1.0587,1.5399,0,0.0962,2.1174,0.5775,0.5775,0.5775,0.0962,"LTa","L",1815
"Trollope",0,0,0.1663,0.0831,0.0831,0.665,1.4131,0.665,0.2494,5.1538,0,1.33,0,0.4988,0.8313,0.665,0.9975,0,2.1613,0.8313,0.0831,0.1663,3.0756,0.7481,0.4156,0.4156,0.2494,"LTe","L",1815
"Trollope2",0,0,0.097,0.097,0,0.582,1.0669,2.0369,0.7759,5.7226,0.097,2.3278,0.194,0.194,0.679,0.679,0.291,0,0.7759,0.582,0,0.291,1.9399,0.388,0.291,0.388,0.097,"LTf","L",1815
"Twain",0,0,0,0.1219,0.0609,0.4875,1.2188,1.036,0.6703,4.6923,0.1219,1.4016,0.1219,0.7313,1.7672,0.7922,0.4875,0.1219,1.5235,0.9141,0.3656,0.1219,2.0719,0.5484,0.3656,0.1828,0.3047,"LTy","L",1835
"Wells3",0,0,0.0682,0,0.1364,0.5457,1.9782,0.955,0.5457,7.0259,0.2729,1.4325,0,0.2729,1.7735,0.8868,0.6139,0.0682,0.3411,0.8868,0.1364,0.4775,2.5239,1.296,0.2729,0.1364,0.0682,"LWi","L",1866
"Wells",0,0,0,0.2554,0.0639,0.5109,1.788,2.1073,0.0639,6.0664,0.0639,1.6603,0.3193,0.894,0.7663,0.9579,0.8301,0,0.7663,0.8301,0.0639,0.3193,2.9374,1.4049,0.7024,0.2554,0,"LWt","L",1866
"Wells2",0,0,0.0665,0.0665,0,0.2661,1.6633,1.0645,0.3992,6.4538,0.1996,1.4637,0,0.6653,1.1311,0.9315,0.5988,0,0.3992,0.4657,0.1331,0.3992,2.9275,1.1311,0.6653,0.5323,0,"LWw","L",1866
"Federalist",0,0,0,0.0761,0.0761,0.6088,1.3699,1.0654,0.4566,4.414,0.2283,2.8919,0.3805,0.1522,0.9132,0.9893,1.2177,0.0761,0.9132,1.2938,0.1522,1.0654,4.6423,1.8265,0.4566,0.9132,0,"OAf","O",NA
"Hearing",0,0,0.0978,0.0978,0.0978,0.2935,1.1742,0.1957,0.6849,5.6751,0,1.0763,0.5871,0.0978,1.6634,0.3914,0.9785,0.5871,0.4892,0.6849,0.0978,0.6849,3.229,0.6849,0.4892,0.1957,0,"OCh","O",NA
"Clinton",0,0,0.0858,0.1715,0,0.4288,0.8576,0.0858,0.4288,3.5163,0.1715,1.0292,0.4288,0.5146,2.0583,1.458,0.6861,0.1715,1.0292,1.3722,0.1715,0.8576,3.5163,0.9434,0.5146,0.5146,0.0858,"OCl","O",1946
"Darwin",0,0,0,0.1057,0.2114,0.2114,1.3742,0.8457,0.5285,6.3425,0,0.8457,0.2114,0.3171,1.3742,0.8457,0.9514,0.3171,1.6913,0.8457,0.2114,0.2114,3.6998,1.3742,0.3171,0.3171,0,"ODo","O",1809
"Gao",0,0,0.1653,0,0,0.3306,1.9835,0.8264,0.8264,4.4628,0,1.157,0.3306,0.3306,2.1488,1.157,0.3306,0,0.4959,0.9917,0,1.3223,3.8017,0.4959,0.6612,0.3306,0,"OGa","O",NA
"WJames",0,0,0,0.3442,0,0.4303,0.8606,1.7212,1.2909,9.7246,0.1721,2.1515,0.6885,0.5164,0.6024,0.7745,1.2909,0.0861,0.3442,0.6024,0.0861,0.5164,2.6678,1.463,0.5164,0.4303,0.1721,"OJe","O",1842
