"","Verb","Aux","VerbalSynsets","Regularity"
"91","slijten","zijnheb",5,"irregular"
"92","storten","zijnheb",7,"regular"
"93","dwingen","hebben",2,"irregular"
"94","lachen","hebben",1,"regular"
"95","dragen","hebben",6,"irregular"
"96","koken","zijnheb",4,"regular"
"97","schijten","hebben",1,"irregular"
"98","tonen","hebben",5,"regular"
"99","kijken","hebben",2,"irregular"
"100","stuiven","zijnheb",2,"irregular"
"101","hijsen","hebben",2,"irregular"
"102","spannen","hebben",4,"regular"
"103","sprinten","hebben",1,"regular"
"104","brengen","hebben",6,"irregular"
"105","breien","hebben",1,"regular"
"106","springen","zijnheb",5,"irregular"
"107","schieten","zijnheb",5,"irregular"
"108","trillen","hebben",3,"regular"
"109","houden","hebben",16,"irregular"
"110","schelden","hebben",1,"irregular"
"111","bijten","hebben",3,"irregular"
"112","bidden","hebben",4,"irregular"
"113","klagen","hebben",2,"regular"
"114","vallen","zijn",16,"irregular"
"115","redden","hebben",2,"regular"
"116","krimpen","zijnheb",2,"irregular"
"117","druipen","zijnheb",1,"irregular"
"118","dromen","hebben",3,"regular"
"119","stoten","zijnheb",10,"regular"
"120","stoppen","zijnheb",8,"regular"
"121","wennen","zijnheb",3,"regular"
"122","wenden","hebben",3,"regular"
"123","snuiven","hebben",3,"irregular"
"124","zoenen","hebben",1,"regular"
"125","heffen","hebben",2,"irregular"
"126","schudden","hebben",2,"regular"
"127","treffen","hebben",5,"irregular"
"128","mijden","hebben",1,"irregular"
"129","heersen","hebben",3,"regular"
"130","slachten","hebben",1,"regular"
"131","vinden","hebben",3,"irregular"
"132","slapen","hebben",5,"irregular"
"133","pissen","hebben",2,"irregular"
"134","spuiten","zijnheb",9,"irregular"
"135","pakken","hebben",12,"regular"
"136","bouwen","hebben",2,"regular"
"137","zwijgen","hebben",2,"irregular"
"138","scheppen","hebben",4,"irregular"
"139","hopen","hebben",3,"regular"
"140","kleden","hebben",3,"regular"
"141","smelten","zijnheb",4,"irregular"
"142","voeden","hebben",6,"regular"
"143","doen","hebben",9,"irregular"
"144","kruipen","zijnheb",5,"irregular"
"145","dalen","zijn",3,"regular"
"146","liggen","zijnheb",8,"irregular"
"147","geven","hebben",7,"irregular"
"148","leven","hebben",4,"regular"
"149","lezen","hebben",5,"irregular"
"150","drukken","hebben",8,"regular"
"151","dreigen","hebben",2,"regular"
"152","knikken","zijnheb",4,"regular"
"153","schrijven","hebben",6,"irregular"
"154","schuiven","zijnheb",4,"irregular"
"155","hollen","hebben",1,"regular"
"156","vullen","hebben",2,"regular"
"157","eisen","hebben",2,"regular"
"158","kunnen","hebben",4,"irregular"
"159","vreten","hebben",5,"irregular"
"160","schetsen","hebben",2,"regular"
"161","raken","zijnheb",6,"regular"
"162","rijden","hebben",4,"irregular"
"163","danken","hebben",3,"regular"
"164","voeren","hebben",8,"regular"
"165","sluipen","zijn",1,"irregular"
"166","letten","hebben",3,"regular"
"167","slikken","hebben",2,"regular"
"168","blinken","hebben",1,"irregular"
"169","drogen","zijnheb",2,"regular"
"170","schreeuwen","hebben",6,"regular"
"171","huilen","hebben",2,"regular"
"172","denken","hebben",6,"irregular"
"173","zitten","zijnheb",9,"irregular"
"174","klimmen","zijnheb",2,"irregular"
"175","schaven","hebben",6,"regular"
"176","rennen","zijnheb",1,"regular"
"177","kiezen","hebben",3,"irregular"
"178","spoelen","zijnheb",4,"regular"
"179","merken","hebben",2,"regular"
"180","winnen","hebben",6,"irregular"
"181","mogen","hebben",3,"irregular"
"182","vriezen","zijnheb",2,"irregular"
"183","hikken","hebben",1,"regular"
"184","zuipen","hebben",2,"irregular"
"185","trouwen","zijnheb",3,"regular"
"186","schelen","hebben",3,"regular"
"187","richten","hebben",7,"regular"
"188","steken","hebben",11,"irregular"
"189","buigen","zijnheb",5,"irregular"
"190","draaien","zijnheb",11,"regular"
"191","wekken","hebben",2,"regular"
"192","sterven","zijn",3,"irregular"
"193","vatten","hebben",3,"regular"
"194","waden","zijnheb",1,"regular"
"195","nemen","hebben",8,"irregular"
"196","strijken","zijnheb",8,"irregular"
"197","vragen","hebben",8,"irregular"
"198","wuiven","hebben",2,"regular"
"199","schijnen","hebben",2,"irregular"
"200","wrijven","hebben",4,"irregular"
"201","horen","hebben",7,"regular"
"202","zwerven","hebben",2,"irregular"
"203","stemmen","hebben",4,"regular"
"204","wegen","hebben",3,"irregular"
"205","leunen","hebben",2,"regular"
"206","noemen","hebben",2,"regular"
"207","leggen","hebben",5,"regular"
"208","glijden","zijnheb",1,"irregular"
"209","drijven","zijnheb",7,"irregular"
"210","zingen","hebben",3,"irregular"
"211","schuilen","hebben",2,"irregular"
"212","helpen","hebben",5,"irregular"
"213","kloppen","hebben",6,"regular"
"214","trekken","zijnheb",15,"irregular"
"215","vegen","hebben",3,"regular"
"216","zinken","zijn",1,"irregular"
"217","prijzen","hebben",2,"regular"
"218","schrijden","zijnheb",1,"irregular"
"219","sturen","hebben",5,"regular"
"220","vangen","hebben",5,"irregular"
"221","splijten","zijnheb",2,"irregular"
"222","praten","hebben",3,"regular"
"223","willen","hebben",3,"irregular"
"224","wachten","hebben",3,"regular"
"225","staan","hebben",13,"irregular"
"226","zweven","zijnheb",2,"regular"
"227","zuchten","hebben",3,"regular"
"228","schatten","hebben",2,"regular"
"229","scheren","hebben",4,"irregular"
"230","vloeien","zijnheb",2,"regular"
"231","slijpen","zijnheb",4,"irregular"
"232","leiden","hebben",6,"regular"
"233","brullen","hebben",4,"regular"
"234","krijgen","hebben",3,"irregular"
"235","roepen","hebben",4,"irregular"
"236","werven","hebben",2,"irregular"
"237","stralen","zijnheb",4,"regular"
"238","komen","zijn",12,"irregular"
"239","kussen","hebben",1,"regular"
"240","graven","hebben",1,"irregular"
"241","duwen","hebben",3,"regular"
"242","splitsen","hebben",3,"regular"
"243","durven","hebben",1,"regular"
"244","vrezen","hebben",3,"regular"
"245","staren","hebben",1,"regular"
"246","strelen","hebben",2,"regular"
"247","strijden","hebben",3,"irregular"
"248","slaan","zijnheb",10,"irregular"
"249","dienen","hebben",7,"regular"
"250","breken","zijnheb",9,"irregular"
"251","moeten","hebben",5,"regular"
"252","wreken","hebben",3,"irregular"
"253","vergen","hebben",1,"regular"
"254","halen","hebben",3,"regular"
"255","bellen","hebben",4,"regular"
"256","porren","hebben",2,"regular"
"257","zenden","hebben",1,"irregular"
"258","stellen","hebben",7,"regular"
"259","vliegen","zijnheb",6,"irregular"
"260","slepen","hebben",3,"regular"
"261","varen","zijnheb",3,"irregular"
"262","hangen","hebben",8,"irregular"
"263","wensen","hebben",2,"regular"
"264","menen","hebben",4,"regular"
"265","zoeken","hebben",4,"irregular"
"266","schroeven","hebben",1,"regular"
"267","heten","hebben",1,"regular"
"268","wagen","hebben",2,"regular"
"269","hoeven","hebben",2,"regular"
"270","fluiten","hebben",5,"irregular"
"271","spijten","hebben",1,"irregular"
"272","kennen","hebben",4,"regular"
"273","barsten","zijn",3,"regular"
"274","zweren","hebben",5,"irregular"
"275","eten","hebben",1,"irregular"
"276","spruiten","zijn",2,"irregular"
"277","spotten","hebben",4,"regular"
"278","zweten","hebben",2,"regular"
"279","gillen","hebben",3,"regular"
"280","zorgen","hebben",2,"regular"
"281","schenken","hebben",3,"irregular"
"282","missen","hebben",4,"regular"
"283","volgen","zijnheb",7,"regular"
"284","stelen","hebben",1,"irregular"
"285","jagen","hebben",5,"irregular"
