"","Word","Frequency","Speaker","Sex","YearOfBirth","DurationOfPrefix","SpeechRate","NumberSegmentsOnset"
"100","geknipt",51,"N01016","female",1972,0.069402,5.331302,2
"101","geordend",14,NA,NA,NA,0.096014,5.630143,0
"102","geklust",3,"N01023","male",1964,0.181735,4.036327,2
"103","gegraveerd",6,"N01035","female",1980,0.162389,5.588822,2
"104","geschat",20,"N01066","female",1978,0.118166,6.736069,2
"105","gebruikt",946,"N01109","female",1978,0.090385,5.432814,2
"106","gepasseerd",81,"N01105","female",1980,0.125517,5.671078,1
"107","gecontroleerd",115,"N01113","female",1943,0.205708,5.841121,1
"108","gedood",103,"N01146","male",1923,0.160656,4.096262,1
"109","gepind",8,"N01048","female",1976,0.245884,3.957784,1
"110","getraind",67,"N01086","male",1969,0.109999,5.408329,2
"111","gesteriliseerd",3,"N01149","female",1925,0.109336,5.345212,2
"112","gemixt",6,"N01135","male",1964,0.113551,8.226221,1
"113","gerepareerd",24,"N01086","male",1969,0.073185,2.726653,1
"114","geleegd",5,"N01096","female",1978,0.115605,5.365526,1
"115","gecanceld",7,"N01045","male",1977,0.156322,6.795787,1
"116","geroerd",7,"N01060","male",1981,0.117081,5.668016,1
"117","geverfd",38,"N01031","female",1938,0.122225,6.789137,1
"118","gevuld",88,"N01173","female",1982,0.278665,2.624672,1
"119","gevoetbald",46,"N01142","male",1975,0.127402,6.725664,1
"120","geslaagd",180,"N01158","female",1949,0.143959,4.798464,2
"121","gepleegd",90,"N01084","male",1968,0.122497,5.560704,2
"122","gehaald",701,"N01133","male",1979,0.057953,7.713885,1
"123","gesjoemeld",5,"N01096","female",1978,0.086089,7.518797,1
"124","geschilderd",105,"N01038","female",1955,0.047944,3.840614,2
"125","gezocht",236,"N01149","female",1925,0.107401,4.092072,1
"126","gefietst",115,"N01070","male",1978,0.079358,6.302521,1
"127","gevoegd",19,"N01219","male",1980,0.060861,8.183306,1
"128","gebracht",623,"N01005","female",1944,0.114773,4.264392,2
"129","gebiologeerd",8,"N01216","male",1981,0.157552,7.458711,1
"130","gedraaid",124,"N01071","male",1979,0.12957,5.901288,2
"131","geleend",42,"N01020","male",1961,0.088123,5.976096,1
"132","geproefd",15,"N01015","female",1974,0.110179,7.142857,2
"133","gepleurd",5,"N01096","female",1978,0.132388,5.353956,2
"134","geroeid",6,"N01097","female",1980,0.099421,5.206396,1
"135","gesleept",24,"N01096","female",1978,0.111272,5.24659,2
"136","gedaald",66,"N01131","male",1939,0.148335,5.784526,1
"137","geadopteerd",8,"N01003","male",1949,0.07493,5.898545,0
"138","geloot",7,"N01014","male",1976,0.119551,5.769231,1
"139","geregistreerd",100,"N01110","female",1977,0.067951,6.878105,1
"140","gerend",14,"N01055","female",1980,0.113988,4.704652,1
"141","gewandeld",53,"N01044","female",1974,0.102735,8.308605,1
"142","geschrobd",4,"N01114","female",1936,0.07556,4.162812,3
"143","gecrasht",5,"N01173","female",1982,0.15696,2.132196,2
"144","gekamd",13,"N01022","female",1967,0.165014,5.91716,1
"145","gedefinieerd",17,"N01161","male",1958,0.096395,5.008347,1
"146","gebasketbald",2,"N01106","male",1977,0.085431,6.12323,1
"147","geregeld",469,"N01204","female",1963,0.105185,5.813953,1
"148","gewonnen",531,"N01023","male",1964,0.087836,6.745363,1
"149","gemompeld",5,"N01032","female",1939,0.050716,5.563282,1
"150","geknald",6,"N01106","male",1977,0.110694,7.879925,2
"151","gepolst",6,"N01030","female",1971,0.117706,5.460751,1
"152","gemaaid",24,"N01140","male",1942,0.192766,3.38696,1
"153","geschoond",1,"N01215","male",1937,0.11624,4.006009,2
"154","gezwicht",3,"N01101","female",1936,0.115534,4.190476,2
"155","gekneusd",12,"N01122","male",1977,0.141571,5.046864,2
"156","gezeild",8,"N01096","female",1978,0.102973,8.177952,1
"157","gekanaliseerd",2,"N01068","female",1946,0.109631,5.771249,1
"158","gecomponeerd",14,"N01164","male",1946,0.157884,5.174644,1
"159","gezorgd",134,"N01214","female",1940,0.081558,6.188119,1
"160","gesleurd",10,"N01159","male",1944,0.123976,5.429418,2
"161","gestold",9,"N01004","female",1971,0.120723,4.474273,2
"162","gekaapt",8,"N01130","male",1949,0.216334,3.997093,1
"163","gespecialiseerd",53,"N01052","female",1951,0.134642,5.24659,2
"164","gepusht",5,"N01216","male",1981,0.14619,5.294507,1
"165","gedommeld",1,"N01106","male",1977,0.107233,7.785467,1
"166","geknapt",2,"N01059","female",1980,0.122441,4.214963,2
"167","gezakt",53,"N01096","female",1978,0.082275,5.813953,1
"168","geacht",56,"N01030","female",1971,0.099777,5.595524,0
"169","geaccepteerd",45,"N01059","female",1980,0.074395,7.050529,0
"170","gestationeerd",5,"N01158","female",1949,0.093913,4.363636,2
"171","gerookt",45,"N01205","male",1961,0.138002,5.597761,1
"172","gevestigd",53,"N01171","female",1976,0.151822,3.263403,1
"173","getrouwd",435,"N01031","female",1938,0.160583,7.188161,2
"174","gestampt",11,"N01106","male",1977,0.080448,7.361963,2
"175","geskied",12,"N01023","male",1964,0.157125,6.31769,2
"176","gerepeteerd",12,"N01148","female",1981,0.064018,5.271084,1
"177","gestructureerd",20,"N01089","female",1975,0.084923,5.824536,3
"178","gesticht",39,"N01102","female",1977,0.144714,3.125,2
"179","getuind",1,"N01087","female",1980,0.169471,3.12989,1
"180","getranscribeerd",5,"N01010","male",1970,0.126002,5.866667,2
"181","gekapt",15,"N01096","female",1978,0.095129,9.840098,1
"182","gelukt",365,"N01168","male",1979,0.151645,7.166124,1
"183","gehad",4121,"N01092","female",1980,0.024808,7.536505,1
"184","gefotografeerd",18,"N01159","male",1944,0.092392,4.703669,1
"185","gelummeld",2,"N01029","male",1939,0.131802,4,1
"186","gekregen",1605,"N01049","female",1974,0.090906,4.498715,2
"187","gecomprimeerd",5,"N01012","male",1973,0.071889,6.162828,1
"188","gesjouwd",6,"N01121","male",1977,0.066075,6.484484,1
"189","gestoord",66,"N01069","male",1937,0.089356,3.613836,2
"190","gedomineerd",16,"N01020","male",1961,0.117064,5.408845,1
"191","gewild",85,"N01216","male",1981,0.137235,5,1
"192","gegierd",2,"N01155","female",1979,0.10423,6.661732,1
"193","geboord",28,"N01002","male",1952,0.172988,4.570384,1
"194","gestreeld",7,"N01049","female",1974,0.070517,4.821601,3
"195","geslikt",8,"N01052","female",1951,0.102063,4.240555,2
"196","gemold",3,"N01078","male",1976,0.171319,2.666667,1
"197","gereageerd",142,"N01019","male",1962,0.055661,7.537688,1
"198","gepromoot",5,"N01060","male",1981,0.189823,5.513982,1
"199","gesmokkeld",19,"N01069","male",1937,0.148784,3.762935,2
"200","gedumpt",16,"N01011","female",1966,0.09928,6.18477,1
"201","gebaseerd",146,"N01068","female",1946,0.119528,5.190311,1
"202","gegild",2,"N01129","female",1977,0.105916,4.024145,1
"203","gemonteerd",14,"N01146","male",1923,0.196235,3.562945,1
"204","gebombardeerd",9,"N01109","female",1978,0.119602,7.215875,1
"205","gebeurd",1113,"N01149","female",1925,0.162642,5.852517,1
"206","gepraat",280,"N01034","male",1964,0.114123,6.256901,2
"207","geduwd",58,"N01173","female",1982,0.168237,4.979253,1
"208","geschopt",17,"N01133","male",1979,0.057038,6.291636,2
"209","gedacht",736,"N01020","male",1961,0.131323,6.147541,1
"210","gemaild",93,"N01141","female",1943,0.100191,3.036437,1
"211","getest",51,"N01005","female",1944,0.090266,3.292181,1
"212","gedegradeerd",15,"N01169","female",1977,0.152662,4.898959,1
"213","gekopieerd",38,"N01068","female",1946,0.177769,5.087209,1
"214","gestookt",6,"N01020","male",1961,0.029415,8.004269,2
"215","gewekt",38,"N01073","male",1980,0.138233,7.029227,1
"216","gesnoeid",19,"N01032","female",1939,0.038415,6.483791,2
"217","gereinigd",7,"N01137","male",NA,0.093256,5.734767,1
"218","gecontracteerd",3,"N01010","male",1970,0.118556,7.890584,1
"219","geblesseerd",52,"N01084","male",1968,0.118298,4.375497,2
"220","gespreid",23,"N01141","female",1943,0.134143,2.472188,3
"221","gebrand",15,"N01060","male",1981,0.161207,5.505506,2
"222","gepland",163,"N01082","female",1980,0.203966,4.036909,2
"223","gewist",16,"N01011","female",1966,0.097571,3.494758,1
"224","gefuseerd",15,"N01017","male",1969,0.086533,5.876592,1
"225","genaaid",20,"N01152","female",1954,0.248249,3.322259,1
"226","gemanipuleerd",20,"N01023","male",1964,0.237634,4.631579,1
"227","geflitst",9,"N01005","female",1944,0.153549,2.81294,2
"228","gerenoveerd",18,"N01068","female",1946,0.163468,4.504505,1
"229","gesneuveld",17,"N01011","female",1966,0.056662,7.646559,2
"230","gevorderd",19,"N01034","male",1964,0.149471,5.768438,1
"231","gedoucht",12,"N01066","female",1978,0.12521,5.788712,1
"232","gefilmd",36,"N01131","male",1939,0.085387,4.266667,1
"233","getemperd",3,"N01020","male",1961,0.091067,3.792668,1
"234","gesteund",51,"N01151","female",1956,0.066759,4.181601,2
"235","gewend",346,"N01204","female",1963,0.143341,4.624277,1
"236","gedoogd",3,"N01122","male",1977,0.13425,4.398827,1
"237","gezeemd",1,"N01038","female",1955,0.113388,7.037748,1
"238","gereisd",42,"N01065","female",1978,0.133178,4.461222,1
"239","gezoet",2,"N01161","male",1958,0.055305,4.992511,1
"240","gekiept",1,"N01097","female",1980,0.135042,5.567154,1
"241","geschaatst",3,"N01089","female",1975,0.142301,3.861004,2
"242","gesuggereerd",22,"N01144","male",1971,0.140306,6.622517,1
"243","gedweild",3,"N01146","male",1923,0.176739,5.909389,2
"244","gerangeerd",1,"N01140","male",1942,0.132417,3.761755,1
"245","geflikkerd",7,"N01035","female",1980,0.166005,6.697579,2
"246","gerold",36,"N01140","male",1942,0.254832,4.160888,1
"247","gekost",110,"N01110","female",1977,0.110684,5.069708,1
"248","geklopt",39,"N01163","female",1961,0.15201,3.139013,2
"249","georganiseerd",226,"N01044","female",1974,0.08409,5.780347,0
"250","gezwaaid",9,"N01037","female",1981,0.106707,6.964809,2
"251","getild",12,"N01015","female",1974,0.135543,6.626905,1
"252","gegokt",12,"N01058","male",1975,0.105588,3.768844,1
"253","gecompenseerd",25,"N01222","male",1947,0.189523,5.866667,1
"254","gekalfd",2,"N01215","male",1937,0.197324,3.753128,1
"255","gefouilleerd",11,"N01142","male",1975,0.16484,5.280845,1
"256","gewaterfietst",1,"N01087","female",1980,0.311227,3.046458,1
"257","gezaagd",13,"N01123","female",1943,0.073391,6.095238,1
"258","gefinancierd",33,"N01152","female",1954,0.263485,4.227053,1
"259","gespoeld",9,"N01115","female",1977,0.154512,6.067292,2
"260","geforceerd",20,"N01028","female",1938,0.105252,3.886514,1
"261","geweest",8104,"N01216","male",1981,0.088265,4.975124,1
"262","gesubsidieerd",24,"N01157","male",1952,0.11264,5.462491,1
"263","geprivatiseerd",11,"N01017","male",1969,0.172156,5.897772,2
"264","gestapeld",6,"N01005","female",1944,0.050903,3.630705,2
"265","geconcentreerd",69,"N01034","male",1964,0.062713,9.90099,1
"266","geroest",1,"N01037","female",1981,0.122273,3.552398,1
"267","gebabbeld",65,"N01133","male",1979,0.173868,7.564297,1
"268","geteld",56,"N01098","female",1948,0.101131,4.569688,1
"269","geschaakt",2,"N01093","female",1980,0.082392,6.654836,2
"270","gemanoeuvreerd",3,"N01002","male",1952,0.122572,3.378378,1
"271","gepropt",17,"N01114","female",1936,0.311799,4.475942,2
"272","geprepareerd",2,"N01048","female",1976,0.181329,4.246285,2
"273","gemerkt",180,"N01042","male",1979,0.070941,8.62069,1
"274","gebeld",1155,"N01110","female",1977,0.144874,4.90918,1
"275","geslaapwandeld",1,"N01126","female",1980,0.04674,6.663494,2
"276","geleefd",93,"N01105","female",1980,0.125203,5.090909,1
"277","gestopt",302,"N01142","male",1975,0.103179,6.072874,2
"278","geluisterd",101,"N01001","female",1952,0.140633,3.826531,1
"279","gesjeesd",5,"N01204","female",1963,0.213006,5.751015,2
"280","geflikt",8,"N01065","female",1978,0.075155,6.666667,2
"281","gedroomd",57,"N01038","female",1955,0.178898,4.643963,2
"282","geparkeerd",46,"N01005","female",1944,0.168867,6.099886,1
"283","geracet",2,"N01132","male",1978,0.122048,6.454816,1
"284","gedekt",23,"N01073","male",1980,0.124522,7.009346,1
"285","gepoetst",23,"N01152","female",1954,0.203111,4.021448,1
"286","gestort",47,"N01058","male",1975,0.062095,8.550855,2
"287","gemetseld",7,"N01215","male",1937,0.088549,4.077472,1
"288","gepikt",27,"N01220","female",1955,0.077613,3.404669,1
"289","geprotesteerd",25,"N01014","male",1976,0.139547,5.167959,2
"290","gekletst",28,"N01060","male",1981,0.201921,6.016043,2
"291","gepromoveerd",30,"N01029","male",1939,0.170005,5.780347,2
"292","gedrukt",123,"N01045","male",1977,0.13866,6.505932,2
"293","gekust",13,"N01170","male",1978,0.250762,6.344558,1
"294","gegund",18,"N01150","female",1923,0.064546,3.78583,1
"295","gekalkt",5,"N01144","male",1971,0.200845,6.825939,1
"296","gegooid",212,"N01063","female",1950,0.090568,5.506608,1
"297","geflopt",6,"N01058","male",1975,0.156229,6.514658,2
"298","gesurft",4,"N01031","female",1938,0.062729,3.708855,1
"299","gediskwalificeerd",7,"N01032","female",1939,0.072243,2.714625,1
"300","geformuleerd",59,"N01122","male",1977,0.057932,6.660324,1
"301","gesteld",594,"N01161","male",1958,0.060691,5.896226,2
"302","geketst",1,"N01159","male",1944,0.183991,4.320691,1
"303","gelijmd",6,"N01086","male",1969,0.085543,6.02669,1
"304","gebonkt",4,"N01070","male",1978,0.194603,6.050827,1
"305","geknoeid",9,"N01096","female",1978,0.111225,4.271223,2
"306","geschokt",33,"N01092","female",1980,0.049702,3.956479,2
"307","geprutst",6,"N01082","female",1980,0.209608,5.424063,2
"308","gestudeerd",169,"N01130","male",1949,0.137382,4.13394,2
"309","geleerd",459,"N01205","male",1961,0.059397,5.681818,1
"310","gereorganiseerd",4,"N01030","female",1971,0.093302,6.576063,1
"311","gelakt",4,"N01100","male",1929,0.043157,4.705882,1
"312","gered",82,"N01171","female",1976,0.104668,4.402862,1
"313","gereserveerd",75,"N01065","female",1978,0.087996,5.894737,1
"314","gestart",116,"N01032","female",1939,0.068516,4.570848,2
"315","geconformeerd",1,"N01147","female",1945,0.210565,5.045409,1
"316","gemeld",83,"N01133","male",1979,0.107962,6.578947,1
"317","gezet",904,"N01002","male",1952,0.113114,4.300048,1
"318","gestuurd",403,"N01142","male",1975,0.094366,5.901288,2
"319","geleid",131,"N01132","male",1978,0.097772,4.394531,1
"320","gemaakt",2774,"N01100","male",1929,0.095433,4,1
"321","gescharreld",3,"N01146","male",1923,0.092205,6.331223,2
"322","gespoord",2,"N01172","male",1980,0.080194,7.326007,2
"323","gezegd",4970,"N01088","male",1978,0.084772,7.333076,1
"324","gehoord",1839,"N01133","male",1979,0.074495,5.847953,1
"325","gerealiseerd",82,"N01030","female",1971,0.120624,6.633499,1
"326","geprijsd",5,"N01141","female",1943,0.158563,5.941771,2
"327","gedeeld",56,"N01084","male",1968,0.092082,6.846189,1
"328","geroddeld",7,"N01089","female",1975,0.147659,6.822612,1
"329","gemasseerd",4,"N01069","male",1937,0.084623,5.892256,1
"330","getrapt",40,"N01087","female",1980,0.146625,4.810997,2
"331","gekookt",104,"N01110","female",1977,0.124342,5.624297,1
"332","genegeerd",26,"N01015","female",1974,0.059719,6.403941,1
"333","gehuild",26,"N01022","female",1967,0.101975,6.516588,1
"334","gespeeld",619,"N01087","female",1980,0.034767,6.462732,2
"335","geboekt",133,"N01168","male",1979,0.07487,5.636979,1
"336","gesmoord",11,"N01113","female",1943,0.166452,2.810116,2
"337","gesetteld",5,"N01048","female",1976,0.079851,6.854257,1
"338","gewijzigd",39,"N01096","female",1978,0.056,11.086475,1
"339","gegist",2,"N01058","male",1975,0.13783,3.944773,1
"340","geprovoceerd",3,"N01084","male",1968,0.132482,5.368098,2
"341","gefixeerd",10,"N01151","female",1956,0.062221,6.543075,1
"342","gemopperd",4,"N01032","female",1939,0.134174,4.416961,1
"343","gereduceerd",21,"N01086","male",1969,0.182213,5.517827,1
"344","gecheckt",21,"N01103","female",1977,0.122826,6.933333,2
"345","gegroeid",100,"N01085","male",1970,0.130972,5.688282,2
"346","gejat",38,"N01089","female",1975,0.176793,8.748318,1
"347","gedeformeerd",1,"N01045","male",1977,0.199828,4.092262,1
"348","gelogeerd",22,"N01149","female",1925,0.124021,5.186233,1
"349","geblust",8,"N01022","female",1967,0.157359,6.683375,2
"350","geklikt",11,"N01151","female",1956,0.21145,3.198294,2
"351","gestikt",13,"N01103","female",1977,0.104962,4.573805,2
"352","gepakt",204,"N01116","male",1976,0.160322,5.050505,1
"353","gekocht",1065,"N01162","female",1960,0.204693,6.008011,1
"354","getimed",5,"N01017","male",1969,0.276309,4.151292,1
"355","gestuukt",4,"N01019","male",1962,0.090418,6.451613,2
"356","gekampeerd",10,"N01123","female",1943,0.116156,6.085193,1
"357","gegourmet",1,"N01129","female",1977,0.134107,5.40906,1
"358","gegrond",11,"N01038","female",1955,0.131901,5.671078,2
"359","geconfronteerd",130,"N01017","male",1969,0.118402,6.70194,1
"360","gecharterd",6,"N01087","female",1980,0.076514,7.253886,1
"361","gestemd",110,"N01131","male",1939,0.073369,4.811548,2
"362","geadresseerd",4,"N01010","male",1970,0.077809,6.216696,0
"363","gefeliciteerd",52,"N01085","male",1970,0.139673,7.157895,1
"364","gezandstraald",3,"N01134","female",1970,0.096905,5.665722,1
"365","gevoed",30,"N01001","female",1952,0.134711,5.288853,1
"366","geactiveerd",6,"N01159","male",1944,0.126879,5.055612,0
"367","gespaard",44,"N01204","female",1963,0.102993,7.068452,2
"368","gejaagd",36,"N01004","female",1971,0.150917,4.514673,1
"369","gewenst",56,"N01149","female",1925,0.047823,7.698888,1
"370","gebruld",5,"N01155","female",1979,0.124791,7.389163,1
"371","gekeerd",22,"N01173","female",1982,0.119165,4.739336,1
"372","geknutseld",7,"N01159","male",1944,0.165194,5.757307,2
"373","geraakt",432,"N01033","male",1963,0.144614,5.822416,1
"374","gerestaureerd",25,"N01068","female",1946,0.069206,5.758157,1
"375","gekickt",8,"N01133","male",1979,0.127419,5.224205,1
"376","geproduceerd",73,"N01058","male",1975,0.106842,5.326605,2
"377","gepiept",14,"N01017","male",1969,0.210694,6.484642,1
"378","genoteerd",60,"N01033","male",1963,0.085389,6.134969,1
"379","gekoppeld",86,"N01035","female",1980,0.181339,5.080109,1
"380","geluncht",7,"N01205","male",1961,0.160673,4.229323,1
"381","gecoat",2,"N01019","male",1962,0.146796,7.701194,1
"382","gedempt",9,"N01131","male",1939,0.135666,6.470165,1
"383","gejankt",2,"N01133","male",1979,0.137093,7.456829,1
"384","gestapt",74,"N01020","male",1961,0.117138,6.662629,2
"385","geformeerd",2,"N01150","female",1923,0.142386,6.21118,1
"386","gegarandeerd",55,"N01167","male",1976,0.129078,5.108055,1
"387","geblindeerd",1,"N01031","female",1938,0.136667,5.959032,2
"388","gesnapt",18,"N01160","female",1974,0.099997,5.595524,2
"389","geabonneerd",15,"N01131","male",1939,0.221454,4.27899,0
"390","gemachtigd",3,"N01204","female",1963,0.097848,5.405405,1
"391","geruild",12,"N01082","female",1980,0.151321,5.813953,1
"392","gewaardeerd",71,"N01101","female",1936,0.289032,3.222342,1
"393","gewikkeld",19,"N01035","female",1980,0.109117,9.55414,1
"394","geadviseerd",29,"N01204","female",1963,0.099371,7.387863,0
"395","gekliederd",1,"N01022","female",1967,0.151468,3.026863,2
"396","gepast",53,"N01085","male",1970,0.115202,7.429421,1
"397","gediscussieerd",40,"N01054","male",1981,0.111038,4.464286,1
"398","geannuleerd",20,"N01204","female",1963,0.105596,5.914243,0
"399","geconstateerd",63,"N01149","female",1925,0.163754,5.32978,1
"400","gedresseerd",3,"N01023","male",1964,0.141557,7.04501,2
"401","geveld",15,"N01116","male",1976,0.114321,4,1
"402","gesponsord",16,"N01147","female",1945,0.092697,5.542876,2
"403","gepest",34,"N01172","male",1980,0.154881,6.221349,1
"404","gedroogd",14,"N01032","female",1939,0.181656,3.957784,2
"405","geplakt",30,"N01147","female",1945,0.096101,4.940305,2
"406","gesport",14,"N01141","female",1943,0.129006,6.559528,2
"407","gebouwd",275,"N01214","female",1940,0.131897,7.032967,1
"408","geplaatst",175,"N01001","female",1952,0.149941,5.367687,2
"409","gekrabd",5,"N01159","male",1944,0.184117,5.424955,2
"410","gehoopt",60,"N01162","female",1960,0.117581,3.9128,1
"411","gekend",182,"N01142","male",1975,0.196242,4.885381,1
"412","gepijnigd",1,"N01031","female",1938,0.194984,5.563282,1
"413","gericht",348,"N01152","female",1954,0.087172,0.420345,1
"414","gedetacheerd",9,"N01169","female",1977,0.181218,5.854372,1
"415","getwijfeld",38,"N01085","male",1970,0.09036,9.039548,2
"416","gevierd",94,"N01031","female",1938,0.144448,5.866667,1
"417","gelegd",349,"N01106","male",1977,0.102104,3.066141,1
"418","getransformeerd",5,"N01001","female",1952,0.082516,4.163197,2
"419","geroyeerd",3,"N01072","male",1979,0.143928,4.851425,2
"420","geregend",50,"N01100","male",1929,0.092891,5.624749,1
"421","gepresenteerd",67,"N01171","female",1976,0.145594,4.352031,2
"422","gescoord",93,"N01073","male",1980,0.077325,5.151099,2
"423","gedoopt",28,"N01147","female",1945,0.190569,4,1
