"","X14461gll","X14473gll","X14466gll","X14459gll","X14462gll","X14474gll","X14467gll","X14475gll","X14476gll","X14463gll","X14464gll","X14460gll","X14472gll","X14465gll","X14458gll"
"JQ.P.N5",0.004713,0.005631,0.004072,0.012862,0.003512,0.006678,0.000726,0.006173,0.002147,0.005192,0.005476,0.004878,0.003794,0.003658,0.003565
"VDP.P.VI",0.002357,0.005631,0.012215,0.006431,0.013169,0.002504,0.005806,0.001543,0.005727,0.004154,0.002191,0.001394,0.009105,0.00951,0
"P.J6.N5",0.009427,0.003378,0.006515,0.008039,0.00878,0.005008,0.003628,0.005401,0.010021,0.006231,0.005476,0.003484,0.00607,0.011704,0.008913
"A.N5.REE",0.003928,0.010135,0.008958,0.004823,0.012291,0.005008,0.000726,0.001543,0.002147,0.004154,0.002191,0.001394,0.008346,0.002195,0.008913
"A.N4.C",0.003142,0,0,0.014469,0.001756,0.004174,0.016691,0.011574,0.005011,0.001038,0.001095,0.009756,0.010622,0.000732,0.008913
"P.N5.A",0.004713,0.004505,0.002443,0.004823,0.001756,0.004174,0.002177,0.003086,0.003579,0.003115,0.002191,0.002787,0.005311,0.002926,0.001783
"VI.P.A",0.003142,0.007883,0.011401,0.003215,0.005268,0.004174,0.01016,0.001543,0.006442,0.003115,0.001095,0.004878,0.00607,0.008047,0.010695
"VDA.N5.P",0,0.002252,0.003257,0.003215,0,0.005008,0.002177,0.003858,0.003579,0.008307,0.003286,0.000697,0.003794,0.005121,0
"N5.RR.VDA",0,0.004505,0.008958,0.006431,0.010536,0.002504,0.003628,0.005401,0.014316,0.006231,0.010953,0.000697,0.006829,0.00951,0
"P.N5.C",0.010212,0.013514,0.010586,0.006431,0.006146,0.018364,0.013788,0.007716,0.007158,0.011423,0.009858,0.006272,0.014416,0.010241,0.019608
"P.N5.D",0.001571,0.002252,0.002443,0.004823,0.005268,0.004174,0.002903,0.002315,0.001432,0.006231,0.004381,0.001394,0,0.003658,0.00713
"VDA.VC.P",0.000786,0.004505,0.006515,0,0.002634,0.006678,0.015239,0.00463,0.00859,0.014538,0.010953,0.000697,0.006829,0.010241,0
"P.VI.REE",0.003928,0.021396,0.010586,0,0.017559,0.002504,0.002177,0.003086,0.007874,0.003115,0.006572,0.001394,0.00607,0.002926,0.005348
"VI.R6.P",0.002357,0.001126,0.001629,0,0.001756,0.003339,0.003628,0.001543,0.006442,0.005192,0.001095,0.002787,0.003794,0.005852,0.001783
"JQ.N5.P",0.008641,0.005631,0.008143,0.008039,0.00439,0.010017,0.016691,0.009259,0.009306,0.005192,0.017525,0.01324,0.004552,0.007315,0.005348
"A.N5.RR",0.009427,0.011261,0.014658,0.014469,0.021071,0.006678,0.01016,0.006944,0.020043,0.007269,0.009858,0.016028,0.007587,0.008047,0.008913
"N5.VC.P",0.003142,0,0.004072,0.004823,0,0.005843,0.000726,0.006173,0.007158,0.004154,0.006572,0.002091,0.002276,0.005852,0
"VI.A.N5",0.006284,0.010135,0.013844,0.003215,0.009658,0.012521,0.01016,0.006944,0.012169,0.005192,0.007667,0.004181,0.003035,0.004389,0.012478
"A.N5.VG",0.001571,0.004505,0.004886,0.004823,0.000878,0.001669,0.00508,0.003086,0.005011,0.001038,0.003286,0.000697,0.002276,0.003658,0.001783
"N4.P.A",0.011783,0.002252,0.000814,0.009646,0.002634,0.006678,0.00508,0.007716,0.005011,0,0.001095,0.014634,0.002276,0,0.003565
"REE.VDA.P",0.000786,0.009009,0.003257,0.003215,0.012291,0.001669,0.000726,0.001543,0.002147,0.004154,0.002191,0,0.008346,0.005121,0.001783
"A.N4.P",0.011783,0.002252,0,0.003215,0.003512,0.007513,0.011611,0.003858,0.007158,0.002077,0.004381,0.01115,0.007587,0.000732,0
"VDR.A.N5",0.00707,0.009009,0.002443,0.008039,0.001756,0.000835,0.000726,0.002315,0.002147,0,0,0.003484,0,0,0.02139
"A.N5.V8R",0.014925,0.005631,0.001629,0.004823,0,0.006678,0,0.000772,0,0,0.001095,0.011847,0,0,0.005348
"P.N5.P",0.027494,0.006757,0.013029,0.017685,0.014047,0.01586,0.028302,0.02392,0.025054,0.026999,0.020811,0.016028,0.009863,0.012436,0.016043
"JP.N5.C",0.002357,0.010135,0.006515,0.003215,0.009658,0.005843,0.009434,0.006173,0.007874,0.001038,0.003286,0.004181,0.008346,0.005121,0.003565
"P.VI.R6",0.006284,0.006757,0.001629,0.003215,0.003512,0.005843,0.003628,0.003858,0.005011,0.002077,0,0.003484,0.005311,0.005852,0.001783
"P.A.RR",0.003928,0.002252,0.009772,0,0.012291,0.009182,0.010885,0.015432,0.009306,0.007269,0.006572,0.014634,0,0.006584,0
"EN.A.N5",0.00707,0.007883,0.002443,0.008039,0.006146,0.004174,0.005806,0.00463,0.005727,0.003115,0.003286,0.001394,0.004552,0.004389,0
"N5.VDP.P",0.002357,0.002252,0.017915,0.003215,0.005268,0.005843,0.002903,0.002315,0.005011,0.001038,0.004381,0.000697,0.009863,0.008047,0.003565
"VDA.P.VI",0,0.006757,0.0057,0.001608,0.006146,0.004174,0.006531,0.00463,0.002147,0.009346,0.004381,0.000697,0.003794,0.005852,0.001783
"N5.P.RR",0.000786,0.006757,0.0057,0.006431,0.007024,0.004174,0.004354,0.003086,0.007158,0,0.003286,0.002091,0,0.005852,0.001783
"A.N5.A",0.011783,0.007883,0.004072,0.009646,0.007024,0.007513,0.007983,0.010031,0.011453,0.011423,0.008762,0.015331,0.00607,0.004389,0.008913
"A.N5.C",0.022781,0.048423,0.039902,0.014469,0.031607,0.020033,0.021045,0.016204,0.020759,0.021807,0.013143,0.007666,0.033384,0.019751,0.02852
"A.N5.D",0.015711,0.021396,0.017915,0.022508,0.020193,0.010851,0.008708,0.00463,0.010021,0.008307,0.013143,0.008362,0.017451,0.020483,0.033868
"N5.P.VI",0.00707,0.016892,0.014658,0.008039,0.00878,0.008347,0.009434,0.009259,0.013601,0.007269,0.006572,0.002787,0.008346,0.010973,0.010695
"V8R.P.A",0.014925,0.007883,0.000814,0.001608,0,0.003339,0,0.001543,0.000716,0,0,0.014634,0.002276,0,0.005348
"N5.P.A",0.076984,0.041667,0.042345,0.09164,0.060579,0.056761,0.066763,0.070216,0.060845,0.061267,0.063527,0.094774,0.040971,0.044623,0.057041
"A.N5.H",0.00707,0.002252,0.004072,0.003215,0.000878,0.003339,0.003628,0.001543,0.002147,0.002077,0.003286,0.000697,0.004552,0.008047,0.005348
"JP.N5.P",0.007855,0.005631,0.004072,0.004823,0.007024,0.005008,0.004354,0.007716,0.009306,0.003115,0.005476,0.005575,0.005311,0.008047,0.001783
"RR.VDA.P",0,0.001126,0.006515,0.001608,0.006146,0.001669,0.001451,0.002315,0.003579,0.005192,0.006572,0.000697,0.001517,0.008047,0
"VC.P.A",0.002357,0.003378,0.007329,0.001608,0.000878,0.005008,0.009434,0.007716,0.010021,0.007269,0.012048,0.002787,0.005311,0.013168,0.003565
"A.N5.VDA",0.001571,0.004505,0.011401,0.009646,0.019315,0.008347,0.005806,0.006944,0.00859,0.020768,0.01862,0.001394,0.022762,0.016094,0
"A.N5.P",0.075412,0.067568,0.056189,0.093248,0.059701,0.0601,0.065312,0.068673,0.073729,0.080997,0.072289,0.109408,0.048558,0.068764,0.073084
"P.E6.N5",0.014925,0.002252,0.009772,0.012862,0.009658,0.005008,0.002903,0.006173,0.005727,0.009346,0.009858,0.002091,0.00607,0.004389,0.008913
"N4.C.P",0.001571,0,0.000814,0.008039,0.002634,0.005843,0.005806,0.005401,0.002863,0,0.001095,0.005575,0.003794,0,0.00713
"N5.C.VDA",0,0.004505,0.004072,0.004823,0.003512,0.004174,0.004354,0.005401,0.005011,0.006231,0.004381,0.000697,0.006829,0.004389,0.001783
"N5.C.A",0.007855,0.01464,0.004886,0.006431,0.006146,0.010851,0.008708,0.009259,0.00859,0.011423,0.002191,0.002787,0.01214,0.005852,0.012478
"REE.VDP.P",0,0.007883,0.01873,0.006431,0.016681,0.002504,0.003628,0.005401,0.002147,0.003115,0.003286,0.002091,0.004552,0.002926,0.003565
"N5.C.D",0.003142,0.022523,0.006515,0.004823,0.014047,0.005843,0.003628,0.002315,0.002147,0.004154,0.006572,0.004181,0.009105,0.006584,0.01426
"N5.REE.VDA",0,0.005631,0.003257,0.001608,0.00878,0.005008,0,0.000772,0.003579,0.003115,0.003286,0,0.010622,0.006584,0
"VC.A.N5",0.002357,0.005631,0.008143,0.003215,0.002634,0.003339,0.004354,0.000772,0.003579,0.003115,0.010953,0.002091,0.001517,0.003658,0.001783
"R6.VDA.P",0.000786,0.010135,0.004886,0.001608,0.00439,0.006678,0.004354,0.008488,0.004295,0.008307,0.001095,0.001394,0.006829,0.004389,0.003565
"A.N5.VDP",0.003928,0.006757,0.020358,0.001608,0.009658,0.002504,0.005806,0.00463,0.010021,0.002077,0.009858,0.000697,0.012898,0.010973,0.001783
"N5.C.N5",0.003928,0.001126,0.008143,0.003215,0.005268,0.017529,0.01016,0.013117,0.00859,0.013499,0.009858,0.002091,0.011381,0.010973,0.00713
"N5.D.JQ",0.000786,0.005631,0.000814,0.006431,0.003512,0.005843,0.002177,0.003858,0.002147,0.003115,0.002191,0.002787,0.003035,0.004389,0.00713
"A.N5.VDR",0.015711,0.006757,0.000814,0.004823,0.000878,0.000835,0.000726,0.000772,0.002147,0,0.002191,0.005575,0.000759,0,0.016043
"H.P.A",0.003928,0.003378,0.000814,0.003215,0.005268,0.005008,0.011611,0.007716,0.004295,0.005192,0.004381,0.004181,0.002276,0.007315,0.001783
"P.VI.A",0.006284,0.001126,0.006515,0,0.007024,0.005843,0.007983,0.006173,0.010021,0.003115,0.003286,0.002091,0.001517,0.003658,0.003565
"VDP.P.A",0.002357,0.006757,0.023616,0.009646,0.011414,0.005008,0.007257,0.003858,0.005727,0.004154,0.005476,0.006272,0.012898,0.006584,0.008913
"N5.R6.VDA",0.000786,0.009009,0.002443,0.001608,0.001756,0.003339,0.002903,0.003086,0.002147,0.008307,0.007667,0,0.010622,0.004389,0
"N5.C.VDP",0.001571,0.007883,0.017101,0.004823,0.005268,0,0.00508,0,0.002147,0.002077,0.002191,0.000697,0.000759,0.001463,0.005348
"N5.C.P",0.015711,0.007883,0.0057,0.003215,0.014925,0.01586,0.008708,0.006944,0.004295,0.003115,0.004381,0.002787,0.010622,0.008778,0.017825
"VC.P.N5",0.004713,0.001126,0.002443,0,0.000878,0.003339,0.001451,0.003086,0.005011,0.006231,0.003286,0.001394,0.003035,0.008047,0.001783
"N5.JQ.A",0.001571,0,0.000814,0.004823,0.000878,0.005008,0.002177,0.005401,0.002863,0.004154,0.004381,0.006969,0.005311,0.002926,0
"VDP.A.N5",0.002357,0.016892,0.031759,0.001608,0.010536,0.001669,0.002177,0.002315,0.005727,0.005192,0.009858,0.009756,0.006829,0.010973,0.005348
"N5.REE.VDP",0.000786,0.011261,0.013844,0.003215,0.006146,0.000835,0.006531,0.003858,0.001432,0.007269,0.002191,0.000697,0.004552,0.001463,0.005348
"N5.D.VDA",0,0.005631,0.008143,0,0.003512,0.003339,0.003628,0.003086,0.003579,0.009346,0.008762,0.001394,0.005311,0.008047,0
"N5.JQ.C",0.00707,0.003378,0.007329,0.004823,0.003512,0.01586,0.009434,0.011574,0.00859,0.012461,0.009858,0.008362,0.004552,0.011704,0.003565
"D.A.N5",0.007855,0.009009,0.004886,0.004823,0.000878,0.006678,0.01016,0.005401,0.007158,0.005192,0.014239,0.010453,0.007587,0.00951,0.00713
"N5.JQ.D",0.003142,0.002252,0.000814,0,0.001756,0.003339,0.002177,0.00463,0.005011,0.006231,0.007667,0.000697,0.004552,0.004389,0.001783
"P.VI.P",0.002357,0.006757,0.004886,0.006431,0.012291,0.001669,0.013788,0.003086,0.007158,0.008307,0.003286,0.003484,0.006829,0.007315,0.012478
"P.JQ.N5",0.004713,0.003378,0.007329,0,0.001756,0.004174,0.003628,0.00463,0.003579,0.005192,0.010953,0.004181,0.004552,0.008778,0.001783
"JQ.P.A",0.009427,0.006757,0.004886,0.012862,0.007024,0.010017,0.020319,0.020062,0.007158,0.011423,0.013143,0.01115,0.006829,0.016094,0.00713
"N5.R6.VDP",0.000786,0.003378,0.003257,0.003215,0.005268,0,0.002903,0,0.000716,0.002077,0.004381,0.002787,0.010622,0.006584,0.003565
"N5.H.P",0.006284,0.001126,0.002443,0.004823,0.00439,0.005843,0.005806,0.006944,0.002863,0.009346,0.003286,0.003484,0.003035,0.004389,0.003565
"VDA.P.A",0.000786,0.010135,0.008958,0.004823,0.014047,0.008347,0.002903,0.010802,0.010737,0.010384,0.005476,0.001394,0.021244,0.006584,0.003565
"E6.N5.P",0.01414,0.004505,0.012215,0.011254,0.005268,0.010017,0.003628,0.007716,0.010021,0.001038,0.002191,0.003484,0.005311,0.002926,0.00713
"P.ED.N5",0.002357,0.007883,0.007329,0,0.00439,0.008347,0.005806,0.015432,0.007158,0.017653,0.008762,0.004878,0.001517,0.015362,0.001783
"N5.JQ.P",0.013354,0.005631,0.007329,0.011254,0.002634,0.011686,0.018868,0.020062,0.010021,0.009346,0.024096,0.010453,0.007587,0.021946,0.00713
"JQ.C.JQ",0.006284,0,0.000814,0.003215,0.00439,0.002504,0.002903,0.008488,0.005011,0.004154,0.004381,0.01324,0.005311,0.006584,0.00713
"P.JP.N5",0.008641,0.023649,0.01873,0.0209,0.015803,0.013356,0.017417,0.012346,0.013601,0.013499,0.012048,0.015331,0.014416,0.021214,0.01426
"P.N5.JQ",0.004713,0,0.002443,0.006431,0.002634,0.008347,0.010885,0.009259,0.009306,0.007269,0.010953,0.006272,0.00607,0.00951,0.003565
"E6.N5.JQ",0.003928,0.001126,0.002443,0.009646,0.000878,0.001669,0.004354,0.006944,0.002863,0.003115,0.006572,0.000697,0.000759,0.004389,0.001783
"C.JP.N5",0.004713,0.009009,0.000814,0.001608,0.00439,0.009182,0.002177,0.00463,0.002147,0.001038,0.002191,0.004878,0.005311,0.003658,0.00713
"N5.D.P",0.002357,0.004505,0.0057,0,0.00878,0.005008,0.002903,0.000772,0.002147,0.002077,0.005476,0.004878,0.003035,0.001463,0.005348
"A.N5.N4",0.006284,0.012387,0.001629,0.003215,0.001756,0.009182,0.003628,0.011574,0.001432,0.004154,0.001095,0.012544,0.003035,0.000732,0.016043
"VDA.A.N5",0,0.007883,0.011401,0.003215,0.007902,0.009182,0.00508,0.009259,0.011453,0.026999,0.012048,0.002787,0.015933,0.013168,0
"A.JQ.N5",0.005499,0.003378,0.004886,0.003215,0.003512,0.013356,0.008708,0.007716,0.005011,0.005192,0.006572,0.01115,0.003794,0.003658,0.005348
"N5.VDA.VC",0,0.001126,0.004886,0.001608,0.003512,0.005843,0.004354,0.002315,0.003579,0.006231,0.020811,0,0.001517,0.006584,0
"R6.VDP.P",0.002357,0.003378,0.003257,0.009646,0.00439,0,0.003628,0,0.005011,0.005192,0.005476,0.004181,0.004552,0.004389,0.001783
"C.A.N5",0.016496,0.019144,0.012215,0.011254,0.015803,0.01419,0.013788,0.011574,0.011453,0.018692,0.006572,0.005575,0.022003,0.016094,0.026738
"N5.P.J6",0.005499,0,0.003257,0.004823,0.002634,0.002504,0.002177,0.003086,0.007874,0.004154,0.004381,0.003484,0.001517,0.007315,0.001783
"JQ.A.N5",0.003142,0.002252,0.001629,0.006431,0.00439,0.005843,0.002903,0.006944,0.002863,0.004154,0.005476,0.01115,0.01214,0.005852,0.010695
"N5.A.N5",0.027494,0.015766,0.008143,0.011254,0.011414,0.017529,0.007983,0.009259,0.017895,0.020768,0.010953,0.017422,0.015933,0.012436,0.016043
"JP.N5.JQ",0,0.003378,0.006515,0.003215,0.001756,0.006678,0.000726,0.006173,0.002147,0.001038,0.001095,0.002091,0.001517,0.005121,0.001783
"P.N4.A",0.007855,0.001126,0.000814,0.008039,0.000878,0.001669,0.001451,0.002315,0.000716,0.002077,0.002191,0.007666,0.003035,0.001463,0.008913
"P.N4.C",0.004713,0.004505,0,0.004823,0.002634,0.005843,0,0.002315,0.005011,0,0.001095,0.010453,0.005311,0.000732,0.00713
"C.P.A",0.009427,0.011261,0.0057,0.003215,0.009658,0.012521,0.007257,0.010031,0.003579,0.006231,0.004381,0.007666,0.01214,0.005852,0.00713
"VDA.P.N5",0.000786,0.003378,0.002443,0.001608,0.005268,0,0.00508,0.005401,0,0.009346,0.001095,0,0.009105,0.005121,0
"J6.N5.JQ",0.008641,0.002252,0.004072,0.004823,0.003512,0.002504,0.002903,0.006173,0.005727,0.003115,0.002191,0.002091,0.002276,0.00951,0.001783
