"","Speaker","Sex","AgeYear","AgeGroup","ConversationType","EduLevel"
"155","N01097","female",1980,"age18to24","femaleOnly","high"
"867","N01098","female",1948,"age45to55",NA,"high"
"868","N01099","male",1952,"age45to55","maleFemale","high"
"1","N01100","male",1929,"age56up",NA,"high"
"2","N01101","female",1936,"age56up","maleFemale","high"
"10","N01102","female",1977,"age18to24",NA,"high"
"9","N01103","female",1977,"age18to24","femaleOnly","high"
"109","N01105","female",1980,"age18to24",NA,"mid"
"108","N01106","male",1977,"age18to24","maleFemale","mid"
"361","N01109","female",1978,"age18to24",NA,"high"
"360","N01110","female",1977,"age18to24","femaleOnly","high"
"362","N01111","female",1977,"age18to24","femaleOnly","high"
"367","N01116","male",1976,"age18to24","maleFemale","mid"
"368","N01115","female",1977,"age18to24",NA,"high"
"130","N01121","male",1977,"age18to24",NA,"high"
"131","N01122","male",1977,"age18to24","maleOnly","high"
"228","N01123","female",1943,"age56up",NA,"high"
"229","N01124","female",1951,"age45to55","femaleOnly","high"
"227","N01125","male",1949,"age45to55","maleFemale","high"
"55","N01126","female",1980,"age18to24",NA,"mid"
"56","N01127","female",1980,"age18to24",NA,"mid"
"54","N01128","female",1979,"age18to24",NA,"mid"
"57","N01129","female",1977,"age18to24","femaleOnly","mid"
"294","N01130","male",1949,"age45to55",NA,"high"
"295","N01131","male",1939,"age56up","maleOnly","high"
"83","N01132","male",1978,"age18to24",NA,"high"
"82","N01133","male",1979,"age18to24","maleOnly","high"
"296","N01134","female",1970,"age25to34",NA,"high"
"297","N01135","male",1964,"age35to44","maleFemale",NA
"877",NA,NA,NA,NA,NA,NA
"875",NA,NA,NA,NA,NA,NA
"1261","N01138","female",1971,"age25to34",NA,"high"
"1262","N01139","male",1966,"age25to34","maleFemale","high"
"517","N01140","male",1942,"age56up",NA,"high"
"516","N01141","female",1943,"age56up","maleFemale","mid"
"515","N01142","male",1975,"age25to34","maleFemale","mid"
"120","N01143","female",1972,"age25to34",NA,"high"
"121","N01144","male",1971,"age25to34","maleFemale","high"
"505","N01145","male",1974,"age25to34","maleFemale","mid"
"112","N01146","male",1923,"age56up","maleFemale","high"
"113","N01147","female",1945,"age56up",NA,"high"
"288","N01148","female",1981,"age18to24","femaleOnly","mid"
"249","N01149","female",1925,"age56up",NA,"high"
"250","N01150","female",1923,"age56up","femaleOnly","high"
"224","N01151","female",1956,"age45to55",NA,"high"
"223","N01152","female",1954,"age45to55","femaleOnly","mid"
"230","N01153","female",1954,"age45to55","femaleOnly","high"
"423","N01154","female",1980,"age18to24",NA,"mid"
"424","N01155","female",1979,"age18to24","femaleOnly","high"
"695","N01156","female",1942,"age56up",NA,"high"
"696","N01157","male",1952,"age45to55","maleFemale","mid"
"248","N01158","female",1949,"age45to55",NA,"mid"
"247","N01159","male",1944,"age56up","maleFemale","high"
"246","N01160","female",1974,"age25to34","maleFemale","high"
"133","N01161","male",1958,"age35to44",NA,"high"
"132","N01162","female",1960,"age35to44","maleFemale","high"
"135","N01163","female",1961,"age35to44",NA,"high"
"134","N01164","male",1946,"age45to55","maleFemale","high"
"822","N01167","male",1976,"age25to34",NA,"high"
"823","N01168","male",1979,"age18to24","maleOnly","high"
"826","N01169","female",1977,"age25to34","maleFemale","high"
"375","N01170","male",1978,"age18to24",NA,"mid"
"376","N01171","female",1976,"age25to34","maleFemale","mid"
"302","N01172","male",1980,"age18to24",NA,"mid"
"303","N01173","female",1982,"age18to24","maleFemale","mid"
"128","N01204","female",1963,"age35to44",NA,"mid"
"316","N01205","male",1961,"age35to44","maleFemale","high"
"129","N01206","female",1956,"age45to55","femaleOnly","high"
"688","N01211","female",1981,"age18to24",NA,"mid"
"687","N01212","female",1983,"age18to24","femaleOnly","mid"
"686","N01213","female",1987,"age18to24","femaleOnly","mid"
"520","N01214","female",1940,"age56up",NA,"mid"
"521","N01215","male",1937,"age56up","maleFemale","low"
"163","N01216","male",1981,"age18to24",NA,"mid"
"162","N01217","male",1976,"age25to34",NA,"mid"
"164","N01218","female",1980,"age18to24","maleFemale","high"
"1049","N01219","male",1980,"age18to24",NA,"mid"
"1051","N01220","female",1955,"age35to44",NA,"mid"
"1050","N01221","female",1983,"age18to24","maleFemale","high"
