"","Textlabels","Codes","Author","Topic","Genre","Region","Year"
"54","Ch2","Ch2.6","ChretienDeTroyes","Knight","poetry","R2",1250
"55","Ch2","Ch2.7","ChretienDeTroyes","Knight","poetry","R2",1250
"56","Ch2","Ch2.8","ChretienDeTroyes","Knight","poetry","R2",1250
"57","Ch2","Ch2.9","ChretienDeTroyes","Knight","poetry","R2",1250
"58","Clari","Clari.1","RobertDeClari","Other","prose","R1",1300
"59","Clari","Clari.10","RobertDeClari","Other","prose","R1",1300
"60","Clari","Clari.11","RobertDeClari","Other","prose","R1",1300
"61","Clari","Clari.12","RobertDeClari","Other","prose","R1",1300
"62","Clari","Clari.13","RobertDeClari","Other","prose","R1",1300
"63","Clari","Clari.14","RobertDeClari","Other","prose","R1",1300
"64","Clari","Clari.15","RobertDeClari","Other","prose","R1",1300
"65","Clari","Clari.16","RobertDeClari","Other","prose","R1",1300
"66","Clari","Clari.17","RobertDeClari","Other","prose","R1",1300
"67","Clari","Clari.2","RobertDeClari","Other","prose","R1",1300
"68","Clari","Clari.3","RobertDeClari","Other","prose","R1",1300
"69","Clari","Clari.4","RobertDeClari","Other","prose","R1",1300
"70","Clari","Clari.5","RobertDeClari","Other","prose","R1",1300
"71","Clari","Clari.6","RobertDeClari","Other","prose","R1",1300
"72","Clari","Clari.7","RobertDeClari","Other","prose","R1",1300
"73","Clari","Clari.8","RobertDeClari","Other","prose","R1",1300
"74","Clari","Clari.9","RobertDeClari","Other","prose","R1",1300
"75","Conqueste","Conqueste.1","Villeharduyn","Other","prose","R1",1290
"76","Conqueste","Conqueste.10","Villeharduyn","Other","prose","R1",1290
"77","Conqueste","Conqueste.11","Villeharduyn","Other","prose","R1",1290
"78","Conqueste","Conqueste.12","Villeharduyn","Other","prose","R1",1290
"79","Conqueste","Conqueste.13","Villeharduyn","Other","prose","R1",1290
"80","Conqueste","Conqueste.14","Villeharduyn","Other","prose","R1",1290
"81","Conqueste","Conqueste.15","Villeharduyn","Other","prose","R1",1290
"82","Conqueste","Conqueste.16","Villeharduyn","Other","prose","R1",1290
"83","Conqueste","Conqueste.17","Villeharduyn","Other","prose","R1",1290
"84","Conqueste","Conqueste.18","Villeharduyn","Other","prose","R1",1290
"85","Conqueste","Conqueste.19","Villeharduyn","Other","prose","R1",1290
"86","Conqueste","Conqueste.2","Villeharduyn","Other","prose","R1",1290
"87","Conqueste","Conqueste.20","Villeharduyn","Other","prose","R1",1290
"88","Conqueste","Conqueste.21","Villeharduyn","Other","prose","R1",1290
"89","Conqueste","Conqueste.22","Villeharduyn","Other","prose","R1",1290
"90","Conqueste","Conqueste.23","Villeharduyn","Other","prose","R1",1290
"91","Conqueste","Conqueste.24","Villeharduyn","Other","prose","R1",1290
"92","Conqueste","Conqueste.25","Villeharduyn","Other","prose","R1",1290
"93","Conqueste","Conqueste.26","Villeharduyn","Other","prose","R1",1290
"94","Conqueste","Conqueste.3","Villeharduyn","Other","prose","R1",1290
"95","Conqueste","Conqueste.4","Villeharduyn","Other","prose","R1",1290
"96","Conqueste","Conqueste.5","Villeharduyn","Other","prose","R1",1290
"97","Conqueste","Conqueste.6","Villeharduyn","Other","prose","R1",1290
"98","Conqueste","Conqueste.7","Villeharduyn","Other","prose","R1",1290
"99","Conqueste","Conqueste.8","Villeharduyn","Other","prose","R1",1290
"100","Conqueste","Conqueste.9","Villeharduyn","Other","prose","R1",1290
"101","Fab4c","Fab4c.1","Anon","Other","poetry","R1",NA
"102","Fab4c","Fab4c.2","Anon","Other","poetry","R1",NA
"103","Fab4e","Fab4e.1","Anon","Other","poetry","R3",NA
"104","Fab4e","Fab4e.2","Anon","Other","poetry","R3",NA
"105","Fab4f","Fab4f.1","Anon","Other","poetry","R1",NA
"106","Fab4f","Fab4f.2","Anon","Other","poetry","R1",NA
"107","Fab4f","Fab4f.3","Anon","Other","poetry","R1",NA
"108","FabA","FabA.1","Anon","Other","poetry","R1",NA
"109","FabA","FabA.2","Anon","Other","poetry","R1",NA
"110","FabA","FabA.3","Anon","Other","poetry","R1",NA
"111","FabA","FabA.4","Anon","Other","poetry","R1",NA
"112","FabA","FabA.5","Anon","Other","poetry","R1",NA
"113","FabA","FabA.6","Anon","Other","poetry","R1",NA
"114","FabA","FabA.7","Anon","Other","poetry","R1",NA
"115","FabA","FabA.8","Anon","Other","poetry","R1",NA
"116","FabB","FabB.1","Anon","Other","poetry","R2",NA
"117","FabB","FabB.2","Anon","Other","poetry","R2",NA
"118","FabB","FabB.3","Anon","Other","poetry","R2",NA
"119","FabB","FabB.4","Anon","Other","poetry","R2",NA
"120","FabD","FabD.1","Anon","Other","poetry","R2",NA
"121","FabD","FabD.2","Anon","Other","poetry","R2",NA
"122","FabD","FabD.3","Anon","Other","poetry","R2",NA
"123","FabD","FabD.4","Anon","Other","poetry","R2",NA
"124","FabD","FabD.5","Anon","Other","poetry","R2",NA
"125","Hyl1","Hyl1.1","Anon","Saint","prose","R1",NA
"126","Hyl1","Hyl1.2","Anon","Saint","prose","R1",NA
"127","Hyl1","Hyl1.3","Anon","Saint","prose","R1",NA
"128","Hyl1","Hyl1.4","Anon","Saint","prose","R1",NA
"129","Hyl1","Hyl1.5","Anon","Saint","prose","R1",NA
"130","Hyl2","Hyl2.1","Anon","Saint","prose","R3",NA
"131","Hyl2","Hyl2.2","Anon","Saint","prose","R3",NA
"132","Hyl2","Hyl2.3","Anon","Saint","prose","R3",NA
"133","Hyl2","Hyl2.4","Anon","Saint","prose","R3",NA
"134","Hyl2","Hyl2.5","Anon","Saint","prose","R3",NA
"135","Hyl2","Hyl2.6","Anon","Saint","prose","R3",NA
"136","Hyl2","Hyl2.7","Anon","Saint","prose","R3",NA
"137","Hyl3","Hyl3.1","Anon","Saint","prose","R3",NA
"138","Hyl3","Hyl3.2","Anon","Saint","prose","R3",NA
"139","Hyl3","Hyl3.3","Anon","Saint","prose","R3",NA
"140","Hyl3","Hyl3.4","Anon","Saint","prose","R3",NA
"141","Hyl3","Hyl3.5","Anon","Saint","prose","R3",NA
"142","Hyl3","Hyl3.6","Anon","Saint","prose","R3",NA
"143","Hyl3","Hyl3.7","Anon","Saint","prose","R3",NA
"144","Jacobi","Jacobi.1","PierreDeBeauvais","Saint","prose","R2",1300
"145","Jacobi","Jacobi.2","PierreDeBeauvais","Saint","prose","R2",1300
"146","Jacobi","Jacobi.3","PierreDeBeauvais","Saint","prose","R2",1300
"147","Jacobi","Jacobi.4","PierreDeBeauvais","Saint","prose","R2",1300
"148","Jehan","Jehan.1","Anon","Saint","poetry","R1",1290
"149","Jehan","Jehan.2","Anon","Saint","poetry","R1",1290
"150","Jehan","Jehan.3","Anon","Saint","poetry","R1",1290
"151","Lancelot","Lancelot.1","Anon","Knight","prose","R3",1237
"152","Lancelot","Lancelot.2","Anon","Knight","prose","R3",1237
"153","Lancelot","Lancelot.3","Anon","Knight","prose","R3",1237
"154","Lancelot","Lancelot.4","Anon","Knight","prose","R3",1237
"155","Lancelot","Lancelot.5","Anon","Knight","prose","R3",1237
"156","Louis","Louis.1","Joinville","Saint","prose","R2",1350
"157","Louis","Louis.2","Joinville","Saint","prose","R2",1350
"158","Louis","Louis.3","Joinville","Saint","prose","R2",1350
"159","Louis","Louis.4","Joinville","Saint","prose","R2",1350
"160","Louis","Louis.5","Joinville","Saint","prose","R2",1350
"161","Louis","Louis.6","Joinville","Saint","prose","R2",1350
"162","Louis","Louis.7","Joinville","Saint","prose","R2",1350
"163","Louis","Louis.8","Joinville","Saint","prose","R2",1350
"164","Marga","Marga.1","Anon","Saint","poetry","R3",1267
"165","Marga","Marga.2","Anon","Saint","poetry","R3",1267
"166","Marie","Marie.1","Rutebeuf","Saint","poetry","R1",1283
"167","Marie","Marie.2","Rutebeuf","Saint","poetry","R1",1283
"168","Martin","Martin.1","Anon","Saint","poetry","R3",1285
"169","Martin","Martin.2","Anon","Saint","poetry","R3",1285
"170","Martin","Martin.3","Anon","Saint","poetry","R3",1285
"171","Martin","Martin.4","Anon","Saint","poetry","R3",1285
"172","Martin","Martin.5","Anon","Saint","poetry","R3",1285
"173","Martin","Martin.6","Anon","Saint","poetry","R3",1285
"174","Merlin1","Merlin1.1","RobertDeBoron","Knight","prose","R2",1250
"175","Merlin1","Merlin1.10","RobertDeBoron","Knight","prose","R2",1250
"176","Merlin1","Merlin1.11","RobertDeBoron","Knight","prose","R2",1250
"177","Merlin1","Merlin1.2","RobertDeBoron","Knight","prose","R2",1250
"178","Merlin1","Merlin1.3","RobertDeBoron","Knight","prose","R2",1250
"179","Merlin1","Merlin1.4","RobertDeBoron","Knight","prose","R2",1250
"180","Merlin1","Merlin1.5","RobertDeBoron","Knight","prose","R2",1250
"181","Merlin1","Merlin1.6","RobertDeBoron","Knight","prose","R2",1250
"182","Merlin1","Merlin1.7","RobertDeBoron","Knight","prose","R2",1250
"183","Merlin1","Merlin1.8","RobertDeBoron","Knight","prose","R2",1250
"184","Merlin1","Merlin1.9","RobertDeBoron","Knight","prose","R2",1250
"185","Merlin2","Merlin2.1","Anon","Knight","prose","R1",1290
"186","Merlin2","Merlin2.2","Anon","Knight","prose","R1",1290
"187","Merlin2","Merlin2.3","Anon","Knight","prose","R1",1290
"188","Merlin2","Merlin2.4","Anon","Knight","prose","R1",1290
"189","Merlin2","Merlin2.5","Anon","Knight","prose","R1",1290
"190","NimAf","NimAf.1","Anon","Knight","poetry","R2",NA
"191","NimB1","NimB1.1","Anon","Knight","poetry","R1",1310
"192","NimB1","NimB1.2","Anon","Knight","poetry","R1",1310
"193","NimB1","NimB1.3","Anon","Knight","poetry","R1",1310
"194","NimB1","NimB1.4","Anon","Knight","poetry","R1",1310
"195","NimB1","NimB1.5","Anon","Knight","poetry","R1",1310
"196","NimB1","NimB1.6","Anon","Knight","poetry","R1",1310
"197","NimB2","NimB2.1","Anon","Knight","poetry","R1",1350
"198","NimB2","NimB2.2","Anon","Knight","poetry","R1",1350
"199","NimB2","NimB2.3","Anon","Knight","poetry","R1",1350
"200","NimB2","NimB2.4","Anon","Knight","poetry","R1",1350
"201","NimB2","NimB2.5","Anon","Knight","poetry","R1",1350
"202","NimB2","NimB2.6","Anon","Knight","poetry","R1",1350
"203","Nouvel","Nouvel.1","NouvelRenart","Other","poetry","R1",1275
"204","Nouvel","Nouvel.2","NouvelRenart","Other","poetry","R1",1275
"205","Nouvel","Nouvel.3","NouvelRenart","Other","poetry","R1",1275
"206","Nouvel","Nouvel.4","NouvelRenart","Other","poetry","R1",1275
"207","Nouvel","Nouvel.5","NouvelRenart","Other","poetry","R1",1275
"208","Nouvel","Nouvel.6","NouvelRenart","Other","poetry","R1",1275
"209","Nouvel","Nouvel.7","NouvelRenart","Other","poetry","R1",1275
"210","Nouvel","Nouvel.8","NouvelRenart","Other","poetry","R1",1275
"211","Nouvel","Nouvel.9","NouvelRenart","Other","poetry","R1",1275
"212","Per0","Per0.1","ChretienDeTroyes","Knight","poetry","R2",1350
"213","Per0","Per0.10","ChretienDeTroyes","Knight","poetry","R2",1350
"214","Per0","Per0.11","ChretienDeTroyes","Knight","poetry","R2",1350
"215","Per0","Per0.12","ChretienDeTroyes","Knight","poetry","R2",1350
"216","Per0","Per0.13","ChretienDeTroyes","Knight","poetry","R2",1350
"217","Per0","Per0.14","ChretienDeTroyes","Knight","poetry","R2",1350
"218","Per0","Per0.15","ChretienDeTroyes","Knight","poetry","R2",1350
"219","Per0","Per0.16","ChretienDeTroyes","Knight","poetry","R2",1350
"220","Per0","Per0.17","ChretienDeTroyes","Knight","poetry","R2",1350
"221","Per0","Per0.18","ChretienDeTroyes","Knight","poetry","R2",1350
"222","Per0","Per0.19","ChretienDeTroyes","Knight","poetry","R2",1350
"223","Per0","Per0.2","ChretienDeTroyes","Knight","poetry","R2",1350
"224","Per0","Per0.20","ChretienDeTroyes","Knight","poetry","R2",1350
"225","Per0","Per0.21","ChretienDeTroyes","Knight","poetry","R2",1350
"226","Per0","Per0.22","ChretienDeTroyes","Knight","poetry","R2",1350
"227","Per0","Per0.23","ChretienDeTroyes","Knight","poetry","R2",1350
"228","Per0","Per0.24","ChretienDeTroyes","Knight","poetry","R2",1350
"229","Per0","Per0.25","ChretienDeTroyes","Knight","poetry","R2",1350
"230","Per0","Per0.26","ChretienDeTroyes","Knight","poetry","R2",1350
"231","Per0","Per0.27","ChretienDeTroyes","Knight","poetry","R2",1350
"232","Per0","Per0.28","ChretienDeTroyes","Knight","poetry","R2",1350
"233","Per0","Per0.3","ChretienDeTroyes","Knight","poetry","R2",1350
"234","Per0","Per0.4","ChretienDeTroyes","Knight","poetry","R2",1350
"235","Per0","Per0.5","ChretienDeTroyes","Knight","poetry","R2",1350
"236","Per0","Per0.6","ChretienDeTroyes","Knight","poetry","R2",1350
"237","Per0","Per0.7","ChretienDeTroyes","Knight","poetry","R2",1350
"238","Per0","Per0.8","ChretienDeTroyes","Knight","poetry","R2",1350
"239","Per0","Per0.9","ChretienDeTroyes","Knight","poetry","R2",1350
"240","PerL","PerL.1","ChretienDeTroyes","Knight","poetry","R2",1275
"241","PerL","PerL.2","ChretienDeTroyes","Knight","poetry","R2",1275
"242","PerL","PerL.3","ChretienDeTroyes","Knight","poetry","R2",1275
"243","PerL","PerL.4","ChretienDeTroyes","Knight","poetry","R2",1275
"244","PerL","PerL.5","ChretienDeTroyes","Knight","poetry","R2",1275
"245","PerL","PerL.6","ChretienDeTroyes","Knight","poetry","R2",1275
"246","PerQ","PerQ.1","ChretienDeTroyes","Knight","poetry","R2",1275
"247","PerQ","PerQ.2","ChretienDeTroyes","Knight","poetry","R2",1275
"248","PerQ","PerQ.3","ChretienDeTroyes","Knight","poetry","R2",1275
"249","PerQ","PerQ.4","ChretienDeTroyes","Knight","poetry","R2",1275
"250","PerQ","PerQ.5","ChretienDeTroyes","Knight","poetry","R2",1275
"251","PerS","PerS.1","ChretienDeTroyes","Knight","poetry","R1",1350
"252","PerS","PerS.2","ChretienDeTroyes","Knight","poetry","R1",1350
"253","PerS","PerS.3","ChretienDeTroyes","Knight","poetry","R1",1350
"254","PerS","PerS.4","ChretienDeTroyes","Knight","poetry","R1",1350
"255","PerS","PerS.5","ChretienDeTroyes","Knight","poetry","R1",1350
"256","PerS","PerS.6","ChretienDeTroyes","Knight","poetry","R1",1350
"257","PerU","PerU.1","ChretienDeTroyes","Knight","poetry","R2",1350
"258","PerU","PerU.2","ChretienDeTroyes","Knight","poetry","R2",1350
"259","PerU","PerU.3","ChretienDeTroyes","Knight","poetry","R2",1350
"260","PerU","PerU.4","ChretienDeTroyes","Knight","poetry","R2",1350
"261","PerU","PerU.5","ChretienDeTroyes","Knight","poetry","R2",1350
"262","PerU","PerU.6","ChretienDeTroyes","Knight","poetry","R2",1350
"263","Queste","Queste.1","Anon","Knight","prose","R3",1250
"264","Queste","Queste.2","Anon","Knight","prose","R3",1250
"265","Queste","Queste.3","Anon","Knight","prose","R3",1250
"266","Queste","Queste.4","Anon","Knight","prose","R3",1250
"267","Queste","Queste.5","Anon","Knight","prose","R3",1250
"268","Queste","Queste.6","Anon","Knight","prose","R3",1250
"269","Queste","Queste.7","Anon","Knight","prose","R3",1250
"270","Queste","Queste.8","Anon","Knight","prose","R3",1250
"271","Rob","Rob.1","RobertLeDiable","Other","poetry","R1",1275
"272","Rob","Rob.2","RobertLeDiable","Other","poetry","R1",1275
"273","RomB","RomB.1","Anon","Other","poetry","R2",1300
"274","RomB","RomB.2","Anon","Other","poetry","R2",1300
"275","RomB","RomB.3","Anon","Other","poetry","R2",1300
"276","RomB","RomB.4","Anon","Other","poetry","R2",1300
"277","RomB","RomB.5","Anon","Other","poetry","R2",1300
"278","RomD","RomD.1","Anon","Other","poetry","R2",1339
"279","RomD","RomD.2","Anon","Other","poetry","R2",1339
"280","RomD","RomD.3","Anon","Other","poetry","R2",1339
"281","RomD","RomD.4","Anon","Other","poetry","R2",1339
"282","RomD","RomD.5","Anon","Other","poetry","R2",1339
"283","RomL","RomL.1","Anon","Other","poetry","R2",1350
"284","RomL","RomL.2","Anon","Other","poetry","R2",1350
"285","RomL","RomL.3","Anon","Other","poetry","R2",1350
"286","RomL","RomL.4","Anon","Other","poetry","R2",1350
"287","RomL","RomL.5","Anon","Other","poetry","R2",1350
"288","RomO","RomO.1","Anon","Other","poetry","R2",1310
"289","RomO","RomO.2","Anon","Other","poetry","R2",1310
"290","RomO","RomO.3","Anon","Other","poetry","R2",1310
"291","RomO","RomO.4","Anon","Other","poetry","R2",1310
"292","RomO","RomO.5","Anon","Other","poetry","R2",1310
"293","RoseA","RoseA.1","Meun","Other","poetry","R2",1290
"294","RoseA","RoseA.10","Meun","Other","poetry","R2",1290
"295","RoseA","RoseA.11","Meun","Other","poetry","R2",1290
"296","RoseA","RoseA.12","Meun","Other","poetry","R2",1290
"297","RoseA","RoseA.13","Meun","Other","poetry","R2",1290
"298","RoseA","RoseA.2","Meun","Other","poetry","R2",1290
"299","RoseA","RoseA.3","Meun","Other","poetry","R2",1290
"300","RoseA","RoseA.4","Meun","Other","poetry","R2",1290
"301","RoseA","RoseA.5","Meun","Other","poetry","R2",1290
"302","RoseA","RoseA.6","Meun","Other","poetry","R2",1290
"303","RoseA","RoseA.7","Meun","Other","poetry","R2",1290
"304","RoseA","RoseA.8","Meun","Other","poetry","R2",1290
"305","RoseA","RoseA.9","Meun","Other","poetry","R2",1290
"306","RoseB","RoseB.1","GuillaumeDeLorris","Other","poetry","R3",1290
"307","RoseB","RoseB.10","GuillaumeDeLorris","Other","poetry","R3",1290
"308","RoseB","RoseB.11","GuillaumeDeLorris","Other","poetry","R3",1290
"309","RoseB","RoseB.12","GuillaumeDeLorris","Other","poetry","R3",1290
"310","RoseB","RoseB.2","GuillaumeDeLorris","Other","poetry","R3",1290
"311","RoseB","RoseB.3","GuillaumeDeLorris","Other","poetry","R3",1290
"312","RoseB","RoseB.4","GuillaumeDeLorris","Other","poetry","R3",1290
"313","RoseB","RoseB.5","GuillaumeDeLorris","Other","poetry","R3",1290
"314","RoseB","RoseB.6","GuillaumeDeLorris","Other","poetry","R3",1290
"315","RoseB","RoseB.7","GuillaumeDeLorris","Other","poetry","R3",1290
"316","RoseB","RoseB.8","GuillaumeDeLorris","Other","poetry","R3",1290
"317","RoseB","RoseB.9","GuillaumeDeLorris","Other","poetry","R3",1290
"318","Sapi","Sapi.1","Anon","Other","prose","R1",1210
"319","Sapi","Sapi.2","Anon","Other","prose","R1",1210
"320","Sapi","Sapi.3","Anon","Other","prose","R1",1210
"321","Sapi","Sapi.4","Anon","Other","prose","R1",1210
"322","Troi","Troi.1","Anon","Knight","prose","R2",1287
"323","Troi","Troi.2","Anon","Knight","prose","R2",1287
"324","Troi","Troi.3","Anon","Knight","prose","R2",1287
"325","Troi","Troi.4","Anon","Knight","prose","R2",1287
"326","Troi","Troi.5","Anon","Knight","prose","R2",1287
"327","Troi","Troi.6","Anon","Knight","prose","R2",1287
"328","Troi","Troi.7","Anon","Knight","prose","R2",1287
"329","Troi","Troi.8","Anon","Knight","prose","R2",1287
"330","Troi","Troi.9","Anon","Knight","prose","R2",1287
"331","YvA","YvA.1","ChretienDeTroyes","Knight","poetry","R3",1177
"332","YvA","YvA.2","ChretienDeTroyes","Knight","poetry","R3",1177
"333","YvA","YvA.3","ChretienDeTroyes","Knight","poetry","R3",1177
"334","YvP","YvP.1","ChretienDeTroyes","Knight","poetry","R1",1250
"335","YvP","YvP.2","ChretienDeTroyes","Knight","poetry","R1",1250
"336","YvP","YvP.3","ChretienDeTroyes","Knight","poetry","R1",1250
"337","YvS","YvS.1","ChretienDeTroyes","Knight","poetry","R1",1310
"338","YvS","YvS.2","ChretienDeTroyes","Knight","poetry","R1",1310
"339","YvS","YvS.3","ChretienDeTroyes","Knight","poetry","R1",1310
"340","YvV","YvV.1","ChretienDeTroyes","Knight","poetry","R3",1276
"341","YvV","YvV.2","ChretienDeTroyes","Knight","poetry","R3",1276
"342","YvV","YvV.3","ChretienDeTroyes","Knight","poetry","R3",1276
