"","Word","CelS","Fdif","Vf","Dent","Ient","NsyS","NsyC","Len","Ncou","Bigr","InBi","spelV","spelN","phonV","phonN","friendsV","friendsN","ffV","ffN","fbV","fbN","ffNonzero","NVratio"
"48","yore",1.7917595,0.5108256,0.6931472,0,0,0.6931472,0,4,1,8.680223,12.18982,20,7.8709296,38,9.7758246,20,7.8709296,0,0,2.944439,9.6147382,0,1.791759469
"49","brute",4.4998097,1.139434,2.3025851,1.00028,0.68764,1.0986123,0,5,0,8.803095,10.9819,7,2.944439,22,5.4806389,7,2.944439,0,0,2.7725887,5.4026774,0,4.143134726
"50","globe",5.2203558,1.636837,1.9459101,1.0266,0.41811,1.3862944,2.5649494,5,2,8.435289,10.43834,4,3.3672958,4,3.3672958,4,3.3672958,0,0,0,0,0,5.308267697
"51","crest",4.6821312,2.014903,1.6094379,0.72551,1.06762,2.0794415,0,5,4,9.337134,11.27694,15,6.9127428,18,6.973543,15,6.9127428,0,0,1.3862944,4.1588831,0,2.744417845
"52","churn",3.1354942,0.7559481,1.3862944,0.07762,1.83906,1.3862944,1.6094379,5,0,8.69119,12.67433,5,5.5254529,11,5.9295891,5,5.5254529,0,0,1.9459101,4.8362819,0,-1.727220948
"53","cloth",6.6982681,0.9629869,2.9957323,1.5636,0.38172,0.6931472,2.9957323,5,1,9.194222,11.29955,12,6.658011,7,3.8918203,7,3.8918203,1.7917595,6.5944135,0,0,1,6.775366091
"54","shirt",6.7007311,0.2157906,2.7080502,1.09589,0.82542,1.0986123,2.1972246,5,4,9.124099,12.41582,7,4.6249728,14,5.164786,7,4.6249728,0,0,2.0794415,4.3040651,0,7.00033446
"55","froth",3.6888795,2.407946,1.7917595,0.85864,1.31204,1.3862944,0,5,3,9.335832,11.69309,12,6.658011,7,3.8918203,7,3.8918203,1.7917595,6.5944135,0,0,1,0.287682072
"56","czar",3.0445224,1.763589,0.6931472,0,0.65002,1.0986123,0,4,1,6.66399,4.14313,14,7.1959372,15,8.571492,13,6.7684932,0.6931472,6.1420374,1.0986123,8.39163,1,3.218875825
"57","chive",1.0986123,-0.1823216,0.6931472,0,0.40218,0.6931472,1.3862944,5,4,9.200456,12.67433,13,6.9037473,12,6.056784,11,6.056784,1.0986123,6.3456364,0.6931472,0,1,3.258096538
"58","east",6.6489846,0.7333217,3.6888795,1.49226,0,1.0986123,2.5649494,4,2,8.738498,13.02967,6,6.3117348,6,6.3207683,5,6.2915691,0.6931472,2.4849066,0.6931472,2.8332133,1,6.361302478
"59","cliff",5.5797298,0.7434479,1.0986123,0.10328,0.96932,0.6931472,1.7917595,5,0,8.665705,11.29955,7,3.8066625,8,7.7160153,7,3.8066625,0,0,0.6931472,7.6962126,0,6.084499413
"60","moose",2.7080502,-1.137833,0.6931472,0,0,0.6931472,0,5,4,8.978756,12.23054,5,4.7095302,12,4.4543473,4,4.1108739,0.6931472,3.9318256,2.1972246,3.2580965,1,2.708050201
"61","dearth",2.8332133,1.552279,0.6931472,0,0,1.0986123,0,6,1,9.882276,12.82938,3,5.062595,8,5.7714411,2,5.0369526,0.6931472,1.6094379,1.9459101,5.123964,1,2.833213344
"62","bride",5.236442,1.470601,1.9459101,1.50728,0.57963,1.0986123,1.0986123,5,3,8.921947,10.9819,13,6.5581978,27,7.0335065,13,6.5581978,0,0,2.7080502,6.0637852,0,5.384495063
"63","roach",4.7449321,2.770851,1.0986123,0.75049,0.17204,1.3862944,1.3862944,5,3,8.746636,12.87114,4,3.3672958,5,3.3672958,4,3.3672958,0,0,0.6931472,0,0,4.770684624
"64","base",7.0800265,1.495028,2.8332133,1.41509,0.72546,3.3322045,3.0445224,4,8,8.583474,11.48169,6,6.3733198,17,7.556428,4,6.1654179,1.0986123,4.7095302,2.6390573,7.2710085,1,7.267525428
"65","zone",5.313206,0.6649763,1.7917595,0.09692,1.02365,1.7917595,3.0910425,4,8,6.956236,7.48717,19,8.3433159,29,7.3901814,15,5.6594822,1.6094379,8.272826,2.7080502,7.1959372,1,3.727413118
"66","face",8.9873218,1.145357,3.9702919,0.8524,1.20293,3.1780538,3.4011974,4,11,8.370549,11.54842,12,7.2240248,17,7.556428,12,7.2240248,0,0,1.7917595,6.295266,0,1.218503862
"67","chop",4.8828019,-0.86404,2.3025851,0.91881,1.77187,2.1972246,2.1972246,4,8,8.440009,12.67433,19,6.2344107,21,6.2499752,19,6.2344107,0,0,1.0986123,2.1972246,0,-1.223204166
"68","sketch",5.0434251,1.054441,2.3978953,0.78448,1.67527,1.9459101,1.0986123,6,0,8.972388,10.3889,8,3.9318256,8,3.9318256,8,3.9318256,0,0,0,0,0,0.597837001
"69","woe",3.8918203,1.512274,1.3862944,0.88865,0.87398,1.0986123,0,3,7,7.225421,12.09597,10,3.7376696,41,8.8378264,8,3.1354942,0.6931472,2.7080502,3.4965076,8.8338999,1,4.234106505
"70","light",8.5475284,0.7169438,4.3040651,1.81804,1.4208,3.8286414,4.3307333,5,8,8.768657,12.78698,18,7.8252453,33,8.1435174,18,7.8252453,0,0,2.7725887,6.8448155,0,1.674743011
"71","fawn",3.3672958,0.9877497,1.0986123,0,1.5896,1.7917595,0.6931472,4,3,7.814751,11.54842,10,4.7791235,13,8.8643227,10,4.7791235,0,0,1.3862944,8.8475036,0,0.287682072
"72","rite",4.060443,1.680897,2.1972246,0.87748,0.96846,1.0986123,0.6931472,4,15,8.735305,12.78563,13,6.8057226,33,8.1435174,13,6.8057226,0,0,3.0445224,7.8395256,0,4.976733742
"73","plough",5.1873858,1.709227,2.0794415,0.4473,1.77573,1.3862944,1.3862944,6,1,9.345275,11.92678,12,7.3231707,17,7.7052625,3,1.0986123,2.3025851,7.3218497,2.7080502,7.7043612,1,-0.876868318
"74","jack",4.3040651,-2.660449,3.4011974,1.05172,0.87893,2.3978953,3.2188758,4,9,7.244434,8.49433,22,7.3304052,28,7.331715,22,7.3304052,0,0,1.9459101,1.0986123,0,4.65396035
"75","back",10.0020651,-0.2339297,4.7449321,0.8311,0.30044,2.9957323,4.8978398,4,16,8.176802,11.48169,22,7.3304052,28,7.331715,22,7.3304052,0,0,1.9459101,1.0986123,0,1.940236375
"76","batch",4.2766661,0.9162907,0.6931472,0,0.75977,1.6094379,0.6931472,5,10,8.786835,11.48169,10,5.3327188,9,4.8362819,9,4.8362819,0.6931472,4.4067192,0,0,1,4.521788577
"77","bitch",5.6094718,-0.5693019,1.7917595,0.42142,0.63175,1.7917595,0.6931472,5,8,8.683207,10.91272,11,4.634729,14,8.2273755,11,4.634729,0,0,1.3862944,8.199739,0,2.57883847
"78","fence",5.9914645,-0.216723,1.3862944,0.05892,1.21034,2.0794415,2.8332133,5,1,9.120977,11.81574,5,4.5849675,9,6.0799332,5,4.5849675,0,0,1.6094379,5.8289456,0,2.459217164
"79","string",6.0112672,0.6527959,2.4849066,0.61222,1.37659,2.7725887,3.1780538,6,3,9.992082,13.30069,19,6.7742239,19,6.7742239,19,6.7742239,0,0,0,0,0,1.748312149
"80","strife",4.7184989,2.744418,0.6931472,0,0,1.0986123,0,6,5,9.487939,13.30069,6,6.9343972,6,6.9343972,6,6.9343972,0,0,0,0,0,4.718498871
"81","sprite",1.9459101,0.6649763,0.6931472,0,0.97095,0.6931472,1.0986123,6,0,9.655011,11.50982,13,6.8057226,33,8.1435174,13,6.8057226,0,0,3.0445224,7.8395256,0,2.397895273
"82","herb",4.4773368,1.586965,1.9459101,1.07482,0.90806,1.0986123,2.6390573,4,4,8.606708,14.561,2,2.4849066,4,3.2188758,2,2.4849066,0,0,1.0986123,2.6390573,0,5.598421959
"83","herd",5.1817836,3.90085,2.3025851,1.41809,1.61641,1.7917595,1.0986123,4,3,8.974918,14.561,1,3.1354942,7,6.6437897,1,3.1354942,0,0,1.9459101,6.6147256,0,1.250997743
"84","grove",4.9767337,1.056743,0.6931472,0,0.81128,1.0986123,0,5,6,8.823564,11.50271,17,6.3595739,13,4.7004804,12,4.6913479,1.7917595,6.1527327,0.6931472,0.6931472,1,5.262690189
"85","word",8.281724,0.4411749,3.3322045,0.22387,1.0255,2.3025851,4.0430513,4,8,8.538865,12.09597,6,6.0210233,7,6.6437897,1,5.6167711,1.7917595,4.9272537,1.9459101,6.2025355,1,5.502278098
"86","sake",6.8373328,0.3360431,1.3862944,0.14148,0,1.3862944,0,4,16,8.234015,11.97534,19,7.4133673,22,7.4730691,19,7.4133673,0,0,1.3862944,4.634729,0,6.8134446
"87","knoll",3.4965076,2.215574,0.6931472,0,0.422,0.6931472,0,5,1,8.586993,10.87338,12,4.4188406,30,6.637258,9,4.2046926,1.3862944,2.8332133,3.0910425,6.5467854,1,3.583518938
"88","sash",3.7376696,0.5108256,1.3862944,0.26173,0.77171,1.0986123,2.0794415,4,10,8.606579,11.97534,25,5.1416636,23,4.8903491,21,4.8828019,1.6094379,3.6888795,1.0986123,0.6931472,1,3.988984047
"89","aisle",4.8675345,1.284016,0.6931472,0,0.82466,1.3862944,0,5,0,9.15276,12.34707,1,2.0794415,19,6.9373141,1,2.0794415,0,0,2.944439,6.9304948,0,5.164785974
"90","knife",6.4982821,0.3575359,2.8903718,0.52912,0.82992,1.6094379,3.3672958,5,0,8.266468,10.87338,6,6.9343972,6,6.9343972,6,6.9343972,0,0,0,0,0,2.913361276
"91","flame",5.5947114,1.222735,2.5649494,0.94683,1.24459,1.6094379,2.7725887,5,4,8.791789,10.59918,12,7.5522373,15,7.6207051,12,7.5522373,0,0,1.3862944,4.9126549,0,2.833213344
"92","worm",4.8978398,-0.0719735,2.944439,1.88207,1.3046,1.7917595,3.5263605,4,8,8.49034,12.09597,5,6.0185932,6,5.2781147,1,1.6094379,1.6094379,6.0088132,1.7917595,5.2574954,1,2.381528295
"93","torque",3.6375862,2.356652,0.6931472,0,0.17556,0.6931472,1.0986123,6,0,8.702271,13.45478,1,1.7917595,6,3.8286414,1,1.7917595,0,0,1.7917595,3.7135721,0,3.663561646
"94","sack",5.4889377,0.1826522,2.3025851,0.65408,1.69577,2.5649494,1.9459101,4,12,8.320172,11.97534,22,7.3304052,28,7.331715,22,7.3304052,0,0,1.9459101,1.0986123,0,0.595291391
"95","hearth",4.3944492,1.034074,1.3862944,0.46262,0.4038,1.3862944,0.6931472,6,2,10.180262,14.561,3,5.062595,1,1.6094379,1,1.6094379,1.0986123,5.0369526,0,0,1,4.477336814
"96","do",10.5543533,-1.631104,2.8903718,0.79297,1.94748,2.7725887,2.944439,2,0,6.283465,12.02268,12,10.4920239,66,10.5997549,3,10.3027334,2.1972246,8.4869401,4.1431347,9.0992971,1,-8.354277899
"97","flail",2.7725887,1.491655,1.0986123,0,1.72011,1.3862944,0,5,2,8.775907,10.59918,19,5.4553211,40,6.1882641,19,5.4553211,0,0,3.0910425,5.5373343,0,-1.589235205
"98","branch",6.8690145,1.781418,1.3862944,0.00704,1.14234,2.0794415,2.3025851,6,1,9.500001,10.9819,4,4.1271344,3,4.1108739,3,4.1108739,0.6931472,0.6931472,0,0,1,3.436969611
"99","thought",9.4624212,-0.4904849,2.6390573,0.69709,0.402,1.6094379,2.3978953,7,0,10.116565,14.65437,8,6.9047508,15,7.0518556,7,6.1779441,0,0,2.0794415,5.0689042,0,8.141772205
"100","theme",6.20859,1.931924,1.0986123,0.21322,0.80334,1.7917595,1.6094379,5,3,9.916455,14.65437,2,4.4886364,15,6.3985949,2,4.4886364,0,0,2.6390573,6.2402758,0,6.489204931
"101","grill",4.3820266,-0.9932518,1.3862944,0.05592,1.5849,1.3862944,0,5,4,8.893744,11.50271,28,8.1928471,31,8.1942293,28,8.1928471,0,0,1.3862944,1.7917595,0,-0.702716632
"102","debt",6.1180972,1.618288,1.6094379,0.6974,0.77268,1.0986123,2.3025851,4,2,7.343655,12.82938,1,2.6390573,18,7.7523352,1,2.6390573,0,0,2.8903718,7.7467329,0,6.37502482
"103","eel",4.3820266,1.309333,1.0986123,0.05876,0.99512,1.0986123,2.5649494,3,0,7.603405,12.53621,10,5.8435444,23,6.313548,9,5.8377304,0,0,2.6390573,5.3375381,0,4.990432587
"104","bowl",6.2653012,0.02854031,2.1972246,0.14702,1.47665,2.3025851,2.7080502,4,6,7.83933,11.85622,10,3.6635616,30,6.637258,1,3.1780538,2.3025851,2.7725887,3.4011974,6.6066502,1,0.945427326
"105","book",8.5037026,0.1839852,4.1108739,1.0282,1.10365,2.5649494,3.9318256,4,10,8.11795,11.85622,12,7.0335065,10,7.0335065,10,7.0335065,1.0986123,0,0,0,0,3.286116876
"106","sense",8.546752,2.078432,3.5553481,1.55932,0.52843,2.1972246,3.5835189,5,3,9.44541,13.13741,3,5.8171112,9,6.0799332,3,5.8171112,0,0,1.9459101,4.6249728,0,1.937998555
"107","flair",4.0073332,2.033252,0.6931472,0,0.01945,1.0986123,0,5,1,8.731166,10.59918,8,6.4118183,40,8.9438978,8,6.4118183,0,0,3.4965076,8.8612083,0,4.007333185
"108","swine",3.6109179,-0.6144549,1.7917595,0.3501,0,0.6931472,0,5,4,9.043209,9.8176,20,6.5820251,23,6.7262334,20,6.5820251,0,0,1.3862944,4.7273878,0,3.610917913
"109","stance",5.4889377,4.208004,0.6931472,0,0.47136,0.6931472,0,6,0,9.823522,13.30069,7,5.6167711,9,5.6524892,7,5.6167711,0,0,1.0986123,2.3978953,0,5.59471138
"110","church",7.9533183,0.6062764,1.9459101,0.30073,0.57469,1.6094379,3.0910425,6,0,9.112728,12.67433,2,5.8636312,6,6.0426328,2,5.8636312,0,0,1.6094379,4.2484952,0,7.404887576
"111","boon",6.5736802,4.599599,0.6931472,0,0.01526,1.0986123,0,4,11,8.548706,11.85622,9,5.6970935,16,6.0137152,9,5.6970935,0,0,2.0794415,4.7184989,0,6.575075841
"112","stench",4.3438054,1.964259,0.6931472,0,0.17204,0.6931472,0.6931472,6,1,9.874932,13.30069,10,5.1929569,10,5.1929569,10,5.1929569,0,0,0,0,0,4.369447852
"113","blast",5.2983174,0.6500877,1.9459101,0.15884,1.6101,2.1972246,1.6094379,5,0,9.209971,11.84506,10,7.0604764,10,7.0630482,9,7.0604764,0.6931472,0,0.6931472,1.3862944,0,0.433927573
"114","ear",6.6227363,0.6596713,3.0910425,0.9851,0.99865,1.7917595,3.0445224,3,2,7.827882,13.02967,21,7.4342574,36,7.8248457,16,7.3492308,1.6094379,4.7004804,2.9957323,6.8232861,1,7.359467638
"115","draft",5.2983174,1.244795,1.7917595,0.69548,1.50121,2.7080502,2.4849066,5,3,8.351835,11.03329,9,4.2341065,9,4.2484952,8,4.2341065,0.6931472,0,0.6931472,0.6931472,0,0.725632636
"116","boss",6.025866,0.2340726,2.0794415,0.62179,0.95747,2.0794415,1.7917595,4,8,8.277745,11.85622,10,5.5294291,9,5.3033049,7,5.198497,1.3862944,4.2766661,1.0986123,3.0445224,1,2.327796512
"117","lake",6.5778614,1.384905,0.6931472,0,0.70636,1.3862944,2.5649494,4,16,8.137553,12.44231,19,7.4133673,22,7.4730691,19,7.4133673,0,0,1.3862944,4.634729,0,6.791221463
"118","boot",5.0751738,-1.216395,2.7080502,0.61878,0.8527,1.9459101,2.9957323,4,15,8.361014,11.85622,11,5.062595,22,5.4806389,9,4.4659081,1.0986123,4.2766661,2.6390573,5.0369526,1,4.47591535
"119","page",6.9800759,0.03618161,2.0794415,0.1505,1.00656,1.9459101,1.7917595,4,11,8.204867,12.00343,9,6.3189681,10,6.3403593,9,6.3189681,0,0,0.6931472,2.5649494,0,5.276980229
"120","psalm",3.6888795,1.309333,1.3862944,0.49854,0.78713,0.6931472,0,5,0,8.370247,10.47684,5,4.1271344,9,4.6249728,5,4.1271344,0,0,1.6094379,3.7135721,0,3.951243719
"121","pace",6.4457198,2.274414,1.9459101,0.18505,1.3002,2.4849066,1.7917595,4,12,8.395855,12.00343,12,7.2240248,17,7.556428,12,7.2240248,0,0,1.7917595,6.295266,0,1.247568152
"122","lace",5.2522734,0.8358454,2.1972246,1.59914,1.51152,2.0794415,2.5649494,4,12,8.409567,12.44231,12,7.2240248,17,7.556428,12,7.2240248,0,0,1.7917595,6.295266,0,1.00610941
"123","task",7.0690234,3.015501,1.7917595,0.04285,0.74791,1.6094379,1.3862944,4,7,8.503293,12.49891,6,5.3278762,9,5.3327188,6,5.3278762,0,0,1.3862944,0.6931472,0,6.610022871
"124","pawn",3.7135721,0.8232003,1.7917595,0.88159,1.73913,1.7917595,0.6931472,4,3,7.840057,12.00343,10,4.7791235,13,8.8643227,10,4.7791235,0,0,1.3862944,8.8475036,0,0.778669354
"125","lawn",5.9107966,-0.07061757,1.0986123,0.05428,0.7892,0.6931472,2.3025851,4,3,7.853769,12.44231,10,4.7791235,13,8.8643227,10,4.7791235,0,0,1.3862944,8.8475036,0,6.180016654
"126","court",7.7306141,1.368276,3.1780538,1.53137,0.77068,2.5649494,3.7376696,5,1,9.247309,12.86473,1,5.4424177,12,6.5806391,1,5.4424177,0,0,2.4849066,6.1964441,0,3.215095102
"127","dwarf",4.8675345,0.6962288,1.3862944,0.20307,1.53087,1.6094379,3.9318256,5,1,8.098202,7.88833,3,2.4849066,2,2.0794415,2,2.0794415,0.6931472,1.6094379,0,0,1,1.41706602
"128","count",7.2399326,0.744063,2.8332133,1.47136,1.44043,2.3978953,2.7725887,5,3,9.355478,12.86473,3,4.3307333,3,4.3307333,3,4.3307333,0,0,0,0,0,-0.142347651
"129","pack",6.1737861,-0.5667333,2.9957323,1.70295,1.70313,3.0910425,2.8903718,4,15,8.209998,12.00343,22,7.3304052,28,7.331715,22,7.3304052,0,0,1.9459101,1.0986123,0,-0.665944358
