"","Corpus","Word","Count","Country","Register"
"280","tele","nadrukkelijk",39,"Netherlands","National"
"281","belang","namelijk",185,"Flanders","Regional"
"282","gazet","namelijk",83,"Flanders","Regional"
"283","laatnieu","namelijk",122,"Flanders","National"
"284","limburg","namelijk",180,"Netherlands","Regional"
"285","nrc","namelijk",158,"Netherlands","Quality"
"286","stand","namelijk",76,"Flanders","Quality"
"287","tele","namelijk",290,"Netherlands","National"
"288","belang","natuurlijk",565,"Flanders","Regional"
"289","gazet","natuurlijk",318,"Flanders","Regional"
"290","laatnieu","natuurlijk",431,"Flanders","National"
"291","limburg","natuurlijk",516,"Netherlands","Regional"
"292","nrc","natuurlijk",446,"Netherlands","Quality"
"293","stand","natuurlijk",287,"Flanders","Quality"
"294","tele","natuurlijk",479,"Netherlands","National"
"295","belang","noodzakelijk",54,"Flanders","Regional"
"296","gazet","noodzakelijk",82,"Flanders","Regional"
"297","laatnieu","noodzakelijk",51,"Flanders","National"
"298","limburg","noodzakelijk",73,"Netherlands","Regional"
"299","nrc","noodzakelijk",77,"Netherlands","Quality"
"300","stand","noodzakelijk",84,"Flanders","Quality"
"301","tele","noodzakelijk",73,"Netherlands","National"
"302","belang","onafhankelijk",29,"Flanders","Regional"
"303","gazet","onafhankelijk",27,"Flanders","Regional"
"304","laatnieu","onafhankelijk",14,"Flanders","National"
"305","limburg","onafhankelijk",35,"Netherlands","Regional"
"306","nrc","onafhankelijk",50,"Netherlands","Quality"
"307","stand","onafhankelijk",36,"Flanders","Quality"
"308","tele","onafhankelijk",70,"Netherlands","National"
"309","belang","onbegrijpelijk",19,"Flanders","Regional"
"310","gazet","onbegrijpelijk",12,"Flanders","Regional"
"311","laatnieu","onbegrijpelijk",24,"Flanders","National"
"312","limburg","onbegrijpelijk",16,"Netherlands","Regional"
"313","nrc","onbegrijpelijk",17,"Netherlands","Quality"
"314","stand","onbegrijpelijk",12,"Flanders","Quality"
"315","tele","onbegrijpelijk",25,"Netherlands","National"
"316","belang","onduidelijk",20,"Flanders","Regional"
"317","gazet","onduidelijk",31,"Flanders","Regional"
"318","laatnieu","onduidelijk",16,"Flanders","National"
"319","limburg","onduidelijk",50,"Netherlands","Regional"
"320","nrc","onduidelijk",70,"Netherlands","Quality"
"321","stand","onduidelijk",31,"Flanders","Quality"
"322","tele","onduidelijk",56,"Netherlands","National"
"323","belang","ongelooflijk",24,"Flanders","Regional"
"324","gazet","ongelooflijk",33,"Flanders","Regional"
"325","laatnieu","ongelooflijk",26,"Flanders","National"
"326","limburg","ongelooflijk",30,"Netherlands","Regional"
"327","nrc","ongelooflijk",15,"Netherlands","Quality"
"328","stand","ongelooflijk",15,"Flanders","Quality"
"329","tele","ongelooflijk",31,"Netherlands","National"
"330","belang","onmiddellijk",225,"Flanders","Regional"
"331","gazet","onmiddellijk",212,"Flanders","Regional"
"332","laatnieu","onmiddellijk",214,"Flanders","National"
"333","limburg","onmiddellijk",68,"Netherlands","Regional"
"334","nrc","onmiddellijk",102,"Netherlands","Quality"
"335","stand","onmiddellijk",146,"Flanders","Quality"
"336","tele","onmiddellijk",107,"Netherlands","National"
"337","belang","onmogelijk",121,"Flanders","Regional"
"338","gazet","onmogelijk",106,"Flanders","Regional"
"339","laatnieu","onmogelijk",91,"Flanders","National"
"340","limburg","onmogelijk",86,"Netherlands","Regional"
"341","nrc","onmogelijk",93,"Netherlands","Quality"
"342","stand","onmogelijk",93,"Flanders","Quality"
"343","tele","onmogelijk",93,"Netherlands","National"
"344","belang","onvermijdelijk",34,"Flanders","Regional"
"345","gazet","onvermijdelijk",18,"Flanders","Regional"
"346","laatnieu","onvermijdelijk",10,"Flanders","National"
"347","limburg","onvermijdelijk",29,"Netherlands","Regional"
"348","nrc","onvermijdelijk",47,"Netherlands","Quality"
"349","stand","onvermijdelijk",40,"Flanders","Quality"
"350","tele","onvermijdelijk",19,"Netherlands","National"
"351","belang","onwaarschijnlijk",9,"Flanders","Regional"
"352","gazet","onwaarschijnlijk",14,"Flanders","Regional"
"353","laatnieu","onwaarschijnlijk",15,"Flanders","National"
"354","limburg","onwaarschijnlijk",12,"Netherlands","Regional"
"355","nrc","onwaarschijnlijk",20,"Netherlands","Quality"
"356","stand","onwaarschijnlijk",17,"Flanders","Quality"
"357","tele","onwaarschijnlijk",20,"Netherlands","National"
"358","belang","oorspronkelijk",37,"Flanders","Regional"
"359","gazet","oorspronkelijk",64,"Flanders","Regional"
"360","laatnieu","oorspronkelijk",17,"Flanders","National"
"361","limburg","oorspronkelijk",24,"Netherlands","Regional"
"362","nrc","oorspronkelijk",29,"Netherlands","Quality"
"363","stand","oorspronkelijk",31,"Flanders","Quality"
"364","tele","oorspronkelijk",27,"Netherlands","National"
"365","belang","openlijk",25,"Flanders","Regional"
"366","gazet","openlijk",18,"Flanders","Regional"
"367","laatnieu","openlijk",16,"Flanders","National"
"368","limburg","openlijk",24,"Netherlands","Regional"
"369","nrc","openlijk",46,"Netherlands","Quality"
"370","stand","openlijk",36,"Flanders","Quality"
"371","tele","openlijk",30,"Netherlands","National"
"372","belang","opmerkelijk",53,"Flanders","Regional"
"373","gazet","opmerkelijk",49,"Flanders","Regional"
"374","laatnieu","opmerkelijk",34,"Flanders","National"
"375","limburg","opmerkelijk",35,"Netherlands","Regional"
"376","nrc","opmerkelijk",60,"Netherlands","Quality"
"377","stand","opmerkelijk",36,"Flanders","Quality"
"378","tele","opmerkelijk",75,"Netherlands","National"
"379","belang","persoonlijk",69,"Flanders","Regional"
"380","gazet","persoonlijk",84,"Flanders","Regional"
"381","laatnieu","persoonlijk",61,"Flanders","National"
"382","limburg","persoonlijk",102,"Netherlands","Regional"
"383","nrc","persoonlijk",106,"Netherlands","Quality"
"384","stand","persoonlijk",71,"Flanders","Quality"
"385","tele","persoonlijk",112,"Netherlands","National"
"386","belang","pijnlijk",24,"Flanders","Regional"
"387","gazet","pijnlijk",23,"Flanders","Regional"
"388","laatnieu","pijnlijk",19,"Flanders","National"
"389","limburg","pijnlijk",15,"Netherlands","Regional"
"390","nrc","pijnlijk",26,"Netherlands","Quality"
"391","stand","pijnlijk",27,"Flanders","Quality"
"392","tele","pijnlijk",30,"Netherlands","National"
"393","belang","plaatselijk",28,"Flanders","Regional"
"394","gazet","plaatselijk",37,"Flanders","Regional"
"395","laatnieu","plaatselijk",17,"Flanders","National"
"396","limburg","plaatselijk",14,"Netherlands","Regional"
"397","nrc","plaatselijk",6,"Netherlands","Quality"
"398","stand","plaatselijk",42,"Flanders","Quality"
"399","tele","plaatselijk",8,"Netherlands","National"
"400","belang","redelijk",31,"Flanders","Regional"
"401","gazet","redelijk",24,"Flanders","Regional"
"402","laatnieu","redelijk",29,"Flanders","National"
"403","limburg","redelijk",67,"Netherlands","Regional"
"404","nrc","redelijk",65,"Netherlands","Quality"
"405","stand","redelijk",21,"Flanders","Quality"
"406","tele","redelijk",102,"Netherlands","National"
"407","belang","respectievelijk",20,"Flanders","Regional"
"408","gazet","respectievelijk",58,"Flanders","Regional"
"409","laatnieu","respectievelijk",34,"Flanders","National"
"410","limburg","respectievelijk",40,"Netherlands","Regional"
"411","nrc","respectievelijk",38,"Netherlands","Quality"
"412","stand","respectievelijk",50,"Flanders","Quality"
"413","tele","respectievelijk",87,"Netherlands","National"
"414","belang","schriftelijk",18,"Flanders","Regional"
"415","gazet","schriftelijk",27,"Flanders","Regional"
"416","laatnieu","schriftelijk",14,"Flanders","National"
"417","limburg","schriftelijk",30,"Netherlands","Regional"
"418","nrc","schriftelijk",18,"Netherlands","Quality"
"419","stand","schriftelijk",15,"Flanders","Quality"
"420","tele","schriftelijk",19,"Netherlands","National"
"421","belang","stedelijk",12,"Flanders","Regional"
"422","gazet","stedelijk",88,"Flanders","Regional"
"423","laatnieu","stedelijk",32,"Flanders","National"
"424","limburg","stedelijk",19,"Netherlands","Regional"
"425","nrc","stedelijk",8,"Netherlands","Quality"
"426","stand","stedelijk",37,"Flanders","Quality"
"427","tele","stedelijk",3,"Netherlands","National"
"428","belang","tamelijk",12,"Flanders","Regional"
"429","gazet","tamelijk",6,"Flanders","Regional"
"430","laatnieu","tamelijk",10,"Flanders","National"
"431","limburg","tamelijk",23,"Netherlands","Regional"
"432","nrc","tamelijk",78,"Netherlands","Quality"
"433","stand","tamelijk",8,"Flanders","Quality"
"434","tele","tamelijk",38,"Netherlands","National"
"435","belang","tijdelijk",44,"Flanders","Regional"
"436","gazet","tijdelijk",72,"Flanders","Regional"
"437","laatnieu","tijdelijk",49,"Flanders","National"
"438","limburg","tijdelijk",73,"Netherlands","Regional"
"439","nrc","tijdelijk",55,"Netherlands","Quality"
"440","stand","tijdelijk",64,"Flanders","Quality"
"441","tele","tijdelijk",81,"Netherlands","National"
"442","belang","toegankelijk",37,"Flanders","Regional"
"443","gazet","toegankelijk",47,"Flanders","Regional"
"444","laatnieu","toegankelijk",30,"Flanders","National"
"445","limburg","toegankelijk",35,"Netherlands","Regional"
"446","nrc","toegankelijk",31,"Netherlands","Quality"
"447","stand","toegankelijk",34,"Flanders","Quality"
"448","tele","toegankelijk",19,"Netherlands","National"
"449","belang","uitdrukkelijk",23,"Flanders","Regional"
"450","gazet","uitdrukkelijk",26,"Flanders","Regional"
"451","laatnieu","uitdrukkelijk",16,"Flanders","National"
"452","limburg","uitdrukkelijk",12,"Netherlands","Regional"
"453","nrc","uitdrukkelijk",12,"Netherlands","Quality"
"454","stand","uitdrukkelijk",28,"Flanders","Quality"
"455","tele","uitdrukkelijk",8,"Netherlands","National"
"456","belang","uiteindelijk",286,"Flanders","Regional"
"457","gazet","uiteindelijk",284,"Flanders","Regional"
"458","laatnieu","uiteindelijk",307,"Flanders","National"
"459","limburg","uiteindelijk",351,"Netherlands","Regional"
"460","nrc","uiteindelijk",235,"Netherlands","Quality"
"461","stand","uiteindelijk",202,"Flanders","Quality"
"462","tele","uiteindelijk",336,"Netherlands","National"
"463","belang","uitzonderlijk",27,"Flanders","Regional"
"464","gazet","uitzonderlijk",39,"Flanders","Regional"
"465","laatnieu","uitzonderlijk",24,"Flanders","National"
"466","limburg","uitzonderlijk",3,"Netherlands","Regional"
"467","nrc","uitzonderlijk",30,"Netherlands","Quality"
"468","stand","uitzonderlijk",50,"Flanders","Quality"
"469","tele","uitzonderlijk",10,"Netherlands","National"
"470","belang","verantwoordelijk",103,"Flanders","Regional"
"471","gazet","verantwoordelijk",100,"Flanders","Regional"
"472","laatnieu","verantwoordelijk",55,"Flanders","National"
"473","limburg","verantwoordelijk",125,"Netherlands","Regional"
"474","nrc","verantwoordelijk",172,"Netherlands","Quality"
"475","stand","verantwoordelijk",101,"Flanders","Quality"
"476","tele","verantwoordelijk",151,"Netherlands","National"
"477","belang","vermoedelijk",84,"Flanders","Regional"
"478","gazet","vermoedelijk",97,"Flanders","Regional"
"479","laatnieu","vermoedelijk",106,"Flanders","National"
"480","limburg","vermoedelijk",47,"Netherlands","Regional"
"481","nrc","vermoedelijk",70,"Netherlands","Quality"
"482","stand","vermoedelijk",55,"Flanders","Quality"
"483","tele","vermoedelijk",60,"Netherlands","National"
"484","belang","verschrikkelijk",50,"Flanders","Regional"
"485","gazet","verschrikkelijk",20,"Flanders","Regional"
"486","laatnieu","verschrikkelijk",19,"Flanders","National"
"487","limburg","verschrikkelijk",26,"Netherlands","Regional"
"488","nrc","verschrikkelijk",26,"Netherlands","Quality"
"489","stand","verschrikkelijk",19,"Flanders","Quality"
"490","tele","verschrikkelijk",32,"Netherlands","National"
"491","belang","verwonderlijk",7,"Flanders","Regional"
"492","gazet","verwonderlijk",15,"Flanders","Regional"
"493","laatnieu","verwonderlijk",16,"Flanders","National"
"494","limburg","verwonderlijk",9,"Netherlands","Regional"
"495","nrc","verwonderlijk",11,"Netherlands","Quality"
"496","stand","verwonderlijk",21,"Flanders","Quality"
"497","tele","verwonderlijk",21,"Netherlands","National"
"498","belang","voornamelijk",50,"Flanders","Regional"
"499","gazet","voornamelijk",67,"Flanders","Regional"
"500","laatnieu","voornamelijk",20,"Flanders","National"
"501","limburg","voornamelijk",67,"Netherlands","Regional"
"502","nrc","voornamelijk",89,"Netherlands","Quality"
"503","stand","voornamelijk",41,"Flanders","Quality"
"504","tele","voornamelijk",87,"Netherlands","National"
"505","belang","voorwaardelijk",14,"Flanders","Regional"
"506","gazet","voorwaardelijk",60,"Flanders","Regional"
"507","laatnieu","voorwaardelijk",17,"Flanders","National"
"508","limburg","voorwaardelijk",30,"Netherlands","Regional"
"509","nrc","voorwaardelijk",9,"Netherlands","Quality"
"510","stand","voorwaardelijk",13,"Flanders","Quality"
"511","tele","voorwaardelijk",33,"Netherlands","National"
"512","belang","vreselijk",32,"Flanders","Regional"
"513","gazet","vreselijk",11,"Flanders","Regional"
"514","laatnieu","vreselijk",9,"Flanders","National"
"515","limburg","vreselijk",37,"Netherlands","Regional"
