"","Verb","WrittenFrequency","NcountStem","MeanBigramFrequency","InflectionalEntropy","Auxiliary","Regularity","LengthInLetters","Denominative","FamilySize","EtymAge","Valency","NVratio","WrittenSpokenRatio"
"58","wringen",6.507278,4,13.4,2.18068,"hebben","irregular",5,"N",2.3025851,"WestGermanic",5,-6.50727771238501,1.50407739677627
"59","wonen",9.107975,9,14.43,2.42689,"hebben","regular",4,"N",4.8751973,"Germanic",2,-6.62306871551015,0.853332881721673
"60","branden",7.926603,1,13.98,2.63848,"hebben","regular",5,"N",4.8202816,"Germanic",9,-0.371220654941111,-3.55248682920838
"61","gaan",11.832034,15,13.11,2.2662,"zijnheb","irregular",2,"N",4.4308168,"Germanic",22,-11.8320335274219,-0.0436152924258693
"62","zwieren",4.859812,3,13.98,2.58357,"hebben","regular",5,"N",1.9459101,"Dutch",3,-0.205852054204149,-0.693147180559945
"63","weten",11.1085,22,14.79,1.74782,"hebben","irregular",4,"N",2.5649494,"IndoEuropean",6,-11.1084998164367,-0.49689067147024
"64","smeken",7.259116,5,13.66,2.63156,"hebben","regular",5,"N",2.1972246,"Germanic",2,-7.2591161280971,2.62103882411258
"65","beven",7.231287,15,13.81,2.60437,"hebben","regular",4,"N",1.7917595,"IndoEuropean",3,-7.23128700432762,2.33537491581704
"66","sleuren",6.308098,5,13.46,2.3511,"hebben","regular",5,"N",1.6094379,"WestGermanic",2,-1.2329246262757,-0.54654370636807
"67","lijden",8.880307,13,13.81,1.69173,"hebben","irregular",4,"N",3.4339872,"Germanic",5,-8.88030735898387,2.35137525716348
"68","zeilen",6.035481,10,13.73,2.31194,"zijnheb","regular",4,"Den",3.4011974,"Germanic",4,0.410238386860822,-2.33537491581704
"69","blijven",10.874986,4,13.28,2.31445,"zijn","irregular",5,"N",3.3322045,"Germanic",8,-10.8749859078064,1.1135313894315
"70","dringen",8.54966,6,14.06,2.46098,"zijnheb","irregular",5,"N",3.2580965,"Germanic",5,-8.54966038155374,1.70474809223843
"71","drinken",8.82247,5,13.82,2.47049,"hebben","irregular",5,"N",3.6635616,"Germanic",5,-8.82246957226897,1.37792611144937
"72","delen",8.081475,17,14.88,2.50229,"hebben","regular",4,"N",5.4467374,"Germanic",5,1.62709192002861,-1.61805452869498
"73","lopen",10.478414,15,13.58,2.12567,"zijnheb","irregular",4,"N",5.049856,"Germanic",16,-2.09269727308079,-1.17865499634165
"74","grommen",6.991177,13,13.52,2.01768,"hebben","regular",4,"N",1.0986123,"WestGermanic",4,-4.59328161432284,1.09861228866811
"75","houwen",4.532599,12,13.12,1.45853,"hebben","irregular",4,"N",2.8903718,"Germanic",6,-1.06686359035353,0.693147180559945
"76","knijpen",7.299797,0,12.8,2.05164,"hebben","irregular",5,"N",2.944439,"Germanic",6,-5.91350300563827,2.16905370036952
"77","stikken",6.415097,8,13.95,2.38874,"zijnheb","regular",4,"N",2.7080502,"WestGermanic",7,-6.4150969591716,0.965080896043587
"78","stijgen",8.112528,2,13.64,2.56193,"zijn","irregular",5,"N",2.8903718,"IndoEuropean",7,-8.11252776347864,2.484906649788
"79","vellen",6.440947,22,14.45,2.24671,"hebben","regular",3,"N",3.3322045,"Germanic",1,0.79395187968191,-2.87167962488401
"80","schamen",7.104144,6,13.78,2.19979,"hebben","regular",6,"N",2.5649494,"Germanic",2,-7.10414409298753,1.61740608208328
"81","grijpen",8.332308,3,13.19,2.39528,"hebben","irregular",5,"N",3.2580965,"Germanic",4,-8.33230835221912,1.67843078392105
"82","wijzen",9.267004,13,13.6,2.33039,"hebben","irregular",4,"N",4.3040651,"Germanic",9,-3.96369931103465,0.456431551700192
"83","zwemmen",7.357556,4,13.29,1.91697,"zijnheb","irregular",4,"N",3.6635616,"Germanic",3,-7.35755620091035,0.75377180237638
"84","wijden",7.303843,15,13.82,2.35907,"hebben","regular",4,"N",3.8066625,"Germanic",2,-7.3038432252777,-0.959775843813894
"85","zwaaien",7.761319,2,12.94,2.44019,"zijnheb","regular",5,"N",2.7725887,"Dutch",4,-2.55731249387119,0.832909122935104
"86","spugen",6.079933,0,12.44,2.6774,"hebben","irregular",5,"N",1.9459101,"Dutch",3,-1.61402507644101,0.451985123743057
"87","maken",11.365654,17,14.05,2.23212,"hebben","regular",4,"N",5.0814044,"WestGermanic",9,-6.26578797174367,1.00526097334912
"88","kosten",8.17948,16,13.76,1.9584,"hebben","regular",4,"N",4.4998097,"IndoEuropean",2,0.0999633023537747,-0.463402945214384
"89","sluiten",9.030256,8,13.49,2.32313,"zijnheb","irregular",5,"N",4.1588831,"Germanic",9,-9.03025631012242,0.703299552023964
"90","voelen",10.283122,15,14.26,2.14303,"hebben","regular",4,"N",4.7004804,"WestGermanic",9,-10.2831219006098,1.35293876741901
"91","slijten",5.739793,8,13.41,2.05451,"zijnheb","irregular",5,"N",2.7725887,"Germanic",5,-5.73979291217923,0.241162056816888
"92","storten",7.521318,15,14.08,2.27741,"zijnheb","regular",5,"N",3.3322045,"Germanic",7,-6.13502361907935,0.95265837604503
"93","dwingen",8.146709,5,13.63,2.46134,"hebben","irregular",5,"N",1.7917595,"Germanic",4,-8.14670905220332,1.42711635564015
"94","lachen",9.455167,2,13.36,2.20176,"hebben","regular",4,"N",3.6375862,"Germanic",5,-2.06498570589511,-0.888455932880711
"95","dragen",9.389657,10,13.86,2.24891,"hebben","irregular",5,"N",4.4067192,"Germanic",6,-9.38965741974984,1.79175946922805
"96","koken",7.798523,18,13.67,2.466,"zijnheb","regular",4,"N",3.4011974,"IndoEuropean",5,-2.41862570008475,0.590868331439527
"97","schijten",4.787492,6,13.63,1.9213,"hebben","irregular",6,"N",2.6390573,"Germanic",2,-0.836248024200618,0
"98","tonen",8.624432,13,14.48,2.2089,"hebben","regular",4,"N",4.0430513,"WestGermanic",5,-0.372246506082508,-1.83258146374831
"99","kijken",10.850598,9,13.7,2.08758,"hebben","irregular",4,"N",3.988984,"WestGermanic",8,-4.55533242531052,-0.247335006219865
"100","stuiven",6.001415,4,12.98,2.30279,"zijnheb","irregular",5,"N",3.0445224,"DutchGerman",4,-6.00141487796115,0.287682072451781
"101","hijsen",6.388561,7,13.8,2.24777,"hebben","irregular",4,"N",1.6094379,"WestGermanic",3,-5.00226704442574,1.09861228866811
"102","spannen",7.680637,4,14.03,2.32198,"hebben","regular",4,"N",4.1431347,"WestGermanic",5,-3.47594480816997,0.998528830111127
"103","sprinten",4.51086,2,13.78,2.16336,"hebben","regular",6,"N",1.6094379,"Germanic",1,-0.128832871842969,-1.90954250488444
"104","brengen",10.506081,1,14.17,2.23227,"hebben","irregular",5,"N",3.9702919,"WestGermanic",11,-10.5060807247552,1.58500388709682
"105","breien",6.559615,6,13.26,2.2165,"hebben","regular",4,"N",2.4849066,"Germanic",3,-3.56388296393925,0.693147180559945
"106","springen",8.523374,5,13.66,2.4199,"zijnheb","irregular",6,"N",3.8918203,"Germanic",10,-8.52337405049132,1.51982575374441
"107","schieten",8.801319,7,14.34,2.29326,"zijnheb","irregular",6,"N",4.3307333,"Germanic",13,-8.80131894766524,0.242946178610389
"108","trillen",7.731492,10,13.48,2.52866,"hebben","regular",4,"N",2.8332133,"Germanic",2,-7.03834484868574,1.09861228866811
"109","houden",10.747401,9,13.62,2.22242,"hebben","irregular",4,"N",5.0814044,"Germanic",17,-10.7474011212345,2.28104324921929
"110","schelden",6.49224,9,14.07,2.32138,"hebben","irregular",6,"N",2.3978953,"Germanic",2,-6.49223983502047,1.46633706879343
"111","bijten",7.512071,10,13.46,2.17727,"hebben","irregular",4,"N",2.8332133,"Germanic",7,-3.45162823528905,1.01160091167848
"112","bidden",7.486053,13,13.67,2.36209,"hebben","irregular",3,"N",3.2188758,"Germanic",4,-7.48605261786314,2.30258509299405
"113","klagen",7.342779,7,13.58,2.3593,"hebben","regular",5,"N",3.0445224,"WestGermanic",3,-7.34277918933185,0.810930216216329
"114","vallen",10.165929,20,14.29,2.13184,"zijn","irregular",3,"Den",4.4886364,"Germanic",18,-2.85604725129733,-0.550972691779402
"115","redden",8.03171,14,13.82,1.78743,"hebben","regular",3,"N",3.2580965,"WestGermanic",6,-8.03171037532204,-0.0425596144187961
"116","krimpen",6.352629,3,12.66,2.42621,"zijnheb","irregular",5,"N",2.0794415,"Germanic",4,-2.50248179460951,-0.22314355131421
"117","druipen",6.559615,3,13.04,2.47617,"zijnheb","irregular",5,"N",2.4849066,"Germanic",2,-6.55961523749324,1.09861228866811
"118","dromen",7.932721,4,13.79,2.53801,"hebben","regular",5,"Den",3.2580965,"Germanic",4,0.596993444487961,-0.747214401830221
"119","stoten",7.487174,17,14.09,2.35746,"zijnheb","regular",5,"N",3.9512437,"IndoEuropean",11,-1.25472567766322,0.22825865198098
"120","stoppen",8.453614,9,13.78,2.23091,"zijnheb","regular",4,"N",3.5553481,"WestGermanic",7,-4.08416635730635,0.182321556793955
"121","wennen",7.739794,26,15.2,0.559565,"zijnheb","regular",3,"N",2.7725887,"Germanic",3,-1.17876379251213,1.09861228866811
"122","wenden",7.868637,11,14.67,1.86347,"hebben","regular",4,"N",2.8903718,"Germanic",3,-7.86863689418417,1.94591014905531
"123","snuiven",6.717805,2,12.29,2.12553,"hebben","irregular",5,"N",1.9459101,"DutchGerman",4,-3.62676224166538,2.70805020110221
"124","zoenen",6.645091,16,14.85,2.2628,"hebben","regular",4,"Den",2.3025851,"DutchGerman",1,-0.479673115274224,-0.113328685307003
"125","heffen",7.733684,17,13.87,2.04464,"hebben","irregular",3,"N",3.2188758,"Germanic",2,-7.7336835707759,1.89711998488588
"126","schudden",8.564458,3,13.47,1.51395,"hebben","regular",5,"N",2.7080502,"DutchGerman",5,-8.56445838388335,1.98591548366901
"127","treffen",8.253488,7,13.44,2.51635,"hebben","irregular",4,"N",3.1354942,"Germanic",4,-7.56034084778596,1.22377543162212
"128","mijden",5.609472,10,13.82,2.08774,"hebben","irregular",4,"N",2.3025851,"WestGermanic",1,-5.60947179518496,0.693147180559945
"129","heersen",7.828835,4,14.66,2.29904,"hebben","regular",5,"N",3.3322045,"DutchGerman",3,-7.82883452758809,1.70474809223843
"130","slachten",5.438079,4,13.71,1.66747,"hebben","regular",6,"N",3.1780538,"Germanic",2,-1.80049314919681,0.22314355131421
"131","vinden",10.851897,7,14.14,2.41398,"hebben","irregular",4,"N",3.6109179,"Germanic",10,-10.8518969142917,-0.903543586676289
"132","slapen",9.075665,5,13.39,2.1774,"hebben","irregular",5,"N",4.2484952,"Germanic",7,-0.87895306143651,0.11960287237337
"133","pissen",5.17615,24,13.36,1.84465,"hebben","irregular",3,"N",2.6390573,"WestGermanic",3,-1.06527586840052,-0.559615787935423
"134","spuiten",6.659294,6,13.35,2.32151,"zijnheb","irregular",5,"N",3.2188758,"WestGermanic",9,-1.65534761373818,0.138150338480817
"135","pakken",8.876265,24,13.24,1.91047,"hebben","regular",3,"N",4.0253517,"DutchGerman",9,-1.01030984602119,-1.20233211486848
"136","bouwen",8.287025,11,12.81,1.99622,"hebben","regular",4,"N",5.4971682,"Germanic",4,-1.51853181351643,-2.11625551480255
"137","zwijgen",8.554874,3,13.11,2.58137,"hebben","irregular",5,"N",2.3025851,"WestGermanic",3,-8.55487425838393,2.54770755102703
"138","scheppen",8.115222,5,13.71,2.24984,"hebben","irregular",5,"N",3.6375862,"IndoEuropean",4,-3.59343339551329,0.207639364778244
"139","hopen",8.594154,13,13.94,2.45187,"hebben","regular",4,"N",3.2958369,"Germanic",5,-0.121330988872069,-0.554364530961
"140","kleden",7.70886,3,13.85,2.39681,"hebben","regular",5,"Den",4.5432948,"Germanic",5,0.0978367714740038,0.616186139423817
"141","smelten",6.705639,7,13.57,2.34531,"zijnheb","irregular",5,"N",2.7725887,"IndoEuropean",4,-6.70563909486,0.356674943938732
"142","voeden",7.290975,8,14.15,2.05806,"hebben","regular",4,"N",4.7791235,"Germanic",2,-7.29097477814298,2.30258509299405
"143","doen",11.174343,20,14.6,2.39017,"hebben","irregular",3,"N",4.1431347,"Germanic",14,-11.1743430033897,0.182137241983738
"144","kruipen",7.950502,7,12.74,2.39768,"zijnheb","irregular",5,"N",3.0910425,"Germanic",7,-7.95050243480885,1.7730673362159
"145","dalen",7.75491,16,14.47,2.65341,"zijn","regular",4,"Den",2.3978953,"Germanic",3,-7.75491027202143,3.52636052461616
"146","liggen",10.620302,11,13.79,2.23995,"zijnheb","irregular",3,"N",3.7612001,"Germanic",14,-10.6203024303963,1.17364747461102
"147","geven",10.90546,14,14,2.27689,"hebben","irregular",4,"N",4.9199809,"Germanic",10,-10.9054604450498,0.843182260053517
"148","leven",10.194776,20,13.68,1.66901,"hebben","regular",4,"N",4.5951199,"Germanic",12,-10.1947756155819,2.43041846450393
"149","lezen",9.459931,20,14.21,2.10214,"hebben","irregular",4,"N",4.5108595,"IndoEuropean",9,-9.45993109330524,-0.0629346715555963
"150","drukken",8.788136,6,13.28,2.26429,"hebben","regular",4,"N",4.8675345,"Germanic",15,-0.463072246232523,-2.75117462773596
"151","dreigen",7.973844,0,13.87,2.62667,"hebben","regular",5,"N",2.4849066,"Dutch",4,-7.97384437594469,1.29928298413026
"152","knikken",8.851807,8,13.21,1.32239,"zijnheb","regular",4,"N",2.0794415,"WestGermanic",3,-3.38797475352684,1.80359392687506
"153","schrijven",9.795847,2,13.22,2.33185,"hebben","irregular",7,"N",4.9052748,"IndoEuropean",9,-9.79584666101874,0.71219537553064
"154","schuiven",8.389814,4,13.03,2.26013,"zijnheb","irregular",6,"N",3.5835189,"Germanic",11,-4.60562462816815,1.51634748936809
"155","hollen",6.952729,26,13.73,2.20802,"hebben","regular",3,"N",3.8286414,"Dutch",3,-0.225296919774014,-2.95491027903374
"156","vullen",8.085179,16,12.78,2.45419,"hebben","regular",3,"N",3.5263605,"Germanic",3,-8.08517874807454,0.934309237376834
"157","eisen",7.728416,18,14.27,2.42628,"hebben","regular",3,"Den",2.9957323,"IndoEuropean",3,0.409272405136564,-2.07944154167984
"158","kunnen",12.253972,24,14.5,2.05071,"hebben","irregular",3,"N",2.6390573,"Germanic",7,-6.92125314353431,0.353407810089406
"159","vreten",6.320768,4,14.49,2.29024,"hebben","irregular",5,"N",2.8903718,"WestGermanic",6,-6.32076829425058,0.890972923889865
"160","schetsen",6.972606,1,14.11,2.31412,"hebben","regular",6,"Den",2.3025851,"IndoEuropean",1,-0.72263100904227,-0.998528830111127
"161","raken",9.15059,18,13.72,2.36533,"zijnheb","regular",4,"N",2.5649494,"WestGermanic",7,-9.15059036757041,0.47473923399157
"162","rijden",9.058587,13,13.64,2.27576,"hebben","irregular",4,"N",4.5643482,"Germanic",16,-9.05858681674865,1.51982575374441
"163","danken",7.706613,10,14.26,1.72621,"hebben","regular",4,"Den",2.8332133,"Germanic",6,0.409804158830008,-1.0232214427015
"164","voeren",8.866158,14,14.62,2.14887,"hebben","regular",4,"N",4.6728288,"Germanic",7,-3.04904733232171,-0.793230639116928
"165","sluipen",6.830874,5,12.67,2.48691,"zijn","irregular",5,"N",3.0445224,"Germanic",2,-6.83087423464618,2.07944154167984
"166","letten",8.024207,22,14.53,1.95831,"hebben","regular",3,"N",2.3978953,"Germanic",2,-8.02420748577858,0.517651588836391
"167","slikken",7.643483,10,13.6,2.14591,"hebben","regular",4,"N",2.0794415,"Germanic",3,-4.14697534561072,2.10413415427021
"168","blinken",6.504288,8,13.68,2.51179,"hebben","irregular",5,"Den",1.6094379,"Germanic",3,-5.8111409929767,0.693147180559945
"169","drogen",7.293018,4,13.83,2.50854,"zijnheb","regular",5,"Den",3.8286414,"Germanic",2,-7.29301767977278,-2.70197115502583
"170","schreeuwen",8.430763,0,13.23,2.16764,"hebben","regular",8,"N",2.7080502,"WestGermanic",6,-2.50918504377403,0.798507696217772
"171","huilen",8.429673,13,13.5,2.33042,"hebben","regular",4,"N",2.7725887,"Germanic",3,-8.42967259388674,2.16645291866947
"172","denken",10.977448,8,14.73,2.26009,"hebben","irregular",4,"N",4.5951199,"IndoEuropean",10,-10.9774484777631,-0.737590761264249
"173","zitten",10.73228,17,14.47,1.75881,"zijnheb","irregular",3,"N",4.2904594,"IndoEuropean",18,-1.44525591919031,-3.04626115625203
"174","klimmen",7.647786,11,13.02,2.2721,"zijnheb","irregular",4,"N",3.0910425,"WestGermanic",5,-3.18187792678635,0.619039208406224
"175","schaven",4.795791,5,13.66,2.55692,"hebben","regular",6,"N",2.944439,"Germanic",3,-2.59856596826052,-0.405465108108164
"176","rennen",8.218248,24,14.88,2.17089,"zijnheb","regular",3,"N",3.0910425,"Germanic",3,-4.34704691577785,0.416893803931787
"177","kiezen",8.930097,15,13.85,2.15145,"hebben","irregular",4,"N",4.3944492,"Germanic",5,-2.94616094793421,0.527754685866438
"178","spoelen",6.505784,5,13.47,2.30204,"zijnheb","regular",5,"N",3.4011974,"WestGermanic",6,-2.03987594147365,0.82098055206983
"179","merken",9.146548,8,14.2,2.18895,"hebben","regular",4,"N",3.8066625,"Germanic",2,-2.75966891952576,0.106582262908148
"180","winnen",8.126814,21,14.63,2.17569,"hebben","irregular",3,"N",4.5325995,"Germanic",8,-8.12681372072611,0.559615787935423
"181","mogen",10.313343,14,13.8,1.74295,"hebben","irregular",3,"N",0.6931472,"Germanic",5,-10.3133430089456,-0.065628043671353
"182","vriezen",6.180017,8,14.03,2.0081,"zijnheb","irregular",5,"N",3.3672958,"Germanic",3,-6.18001665365257,4.14313472639153
"183","hikken",4.762174,19,14.08,2.33872,"hebben","regular",3,"N",1.0986123,"Germanic",2,-0.418368512944072,-0.51082562376599
"184","zuipen",5.472271,4,12.7,2.23234,"hebben","irregular",4,"N",2.3025851,"Germanic",3,-3.86283276123737,0.470003629245735
"185","trouwen",8.295798,2,13.04,1.92693,"zijnheb","regular",5,"Den",3.7612001,"Germanic",2,-1.29273265184968,-1.99655388187407
"186","schelen",7.017506,5,14.27,1.58907,"hebben","regular",6,"N",1.3862944,"Germanic",8,-7.01750614294126,-1.38629436111989
"187","richten",9.022805,7,13.84,2.33875,"hebben","regular",5,"N",4.3040651,"WestGermanic",11,-9.02280524812934,1.78835231090644
"188","steken",9.284798,8,14.33,1.98506,"hebben","irregular",5,"N",4.1896547,"Germanic",17,-1.81172919486199,-0.9729860755507
"189","buigen",8.081784,10,13.36,2.39089,"zijnheb","irregular",4,"N",3.0910425,"IndoEuropean",5,-8.081784206935,1.89085037187229
"190","draaien",9.195328,7,13.21,2.09655,"zijnheb","regular",5,"N",4.0775374,"Germanic",11,-3.39320987647862,0.754599959773609
"191","wekken",8.062118,22,14.07,2.25843,"hebben","regular",3,"N",3.6375862,"Germanic",3,-8.06211758275474,0.8754687373539
"192","sterven",8.783396,3,13.63,2.26895,"zijn","irregular",5,"N",3.6635616,"IndoEuropean",5,-8.7833962321909,2.38482319123102
"193","vatten",7.52564,19,14.76,1.96274,"hebben","regular",3,"N",3.871201,"Germanic",3,-0.695846237529111,0.602175402354218
"194","waden",5.147494,13,14.17,2.42901,"zijnheb","regular",4,"N",1.3862944,"IndoEuropean",1,-5.14749447681345,1.09861228866811
"195","nemen",10.685332,11,13.88,2.25035,"hebben","irregular",4,"N",4.3944492,"Germanic",14,-10.6853321878574,0.85534850766437
"196","strijken",7.20786,1,13.9,2.16678,"zijnheb","irregular",6,"N",3.4011974,"Germanic",10,-7.20785987143248,0.587786664902119
"197","vragen",10.43585,7,13.79,2.13826,"hebben","irregular",5,"N",4.4543473,"Germanic",11,-0.524641918281377,-0.941871663133216
"198","wuiven",6.938284,6,12.28,2.37173,"hebben","regular",4,"N",1.7917595,"WestGermanic",3,-6.93828448401696,2.83321334405622
"199","schijnen",9.187174,2,14.26,1.79054,"hebben","irregular",6,"N",3.6109179,"Germanic",8,-2.23540192954543,-0.815749502652278
