"","Subject","Word","Trial","RT","Condition","Rating","Frequency","BaseFrequency","LengthInLetters","FamilySize","NumberOfSynsets","ResponseToPrime","RTtoPrime","RTmin1","RTmin2","RTmin3","RTmin4"
"21","pp1","ludiekheid",232,6.8001700683022,"heid",2.05,0,4.14313472639153,10,0,0,"correct",7.03966034986208,777,729,1118,947
"22","pp1","banaalheid",252,6.95272864462487,"baseheid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.40522845803084,798,613,724,626
"23","pp1","bezweetheid",257,6.44730586254121,"baseheid",3.36,0,4.75359019110636,11,1.37230699238395,1,"correct",6.66185474054531,1340,789,718,585
"24","pp1","beschutheid",264,6.57088296233958,"baseheid",2.95,0,4.78749174278205,11,0.526588927497426,0,"correct",6.41999492814714,1316,745,607,1334
"25","pp1","antiekheid",271,6.98007594056176,"heid",2.23,0,6.74523634948436,10,0.869739858620314,2,"correct",6.65544035036765,1208,1268,1238,734
"26","pp1","pitloosheid",309,6.69084227741856,"heid",1.86,0,0,11,1.31050613197084,4,"correct",7.14519613499717,953,1175,651,828
"27","pp1","kalkrijkheid",316,7.07496319796604,"heid",2.09,0,3.13549421592915,12,1.48187723101362,3,"correct",6.80572255341699,647,662,944,1033
"28","pp1","onbelastheid",317,6.57646956904822,"heid",2.55,0,3.17805383034795,12,1.72894923152569,6,"incorrect",7.46737106691756,1182,647,662,944
"29","pp1","beuheid",337,7.11476944836646,"heid",1.73,0,5.06890420222023,7,0,0,"correct",6.84587987526405,879,886,696,1750
"30","pp1","dementheid",343,6.48463523563525,"heid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.63987583382654,575,633,647,1239
"31","pp1","royaalheid",344,6.69084227741856,"baseheid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.57228254269401,655,575,633,647
"32","pp10","enormheid",79,6.17378610390194,"heid",3,0,8.42463920980563,9,0.526588927497426,0,"correct",6.24804287450843,786,594,571,904
"33","pp10","markantheid",83,6.14418563412565,"heid",2.73,0,5.16478597392351,11,0,0,"correct",6.63068338564237,629,1030,566,480
"34","pp10","ontroerdheid",89,6.08449941307517,"heid",3.32,0,5.54907608489522,12,0,1,"correct",6.16541785423142,513,394,444,649
"35","pp10","contentheid",95,6.60934924316738,"baseheid",2.5,0,4.49980967033027,11,0,1,"correct",6.61873898351722,665,568,549,535
"36","pp10","riantheid",96,6.19644412779452,"baseheid",2.36,0,4.53259949315326,9,0,0,"correct",6.52649485957079,742,665,568,549
"37","pp10","tembaarheid",111,6.44094654063292,"heid",3.73,0,0,11,1.02667222131998,0,"incorrect",6.64118216974059,535,646,654,889
"38","pp10","onattentheid",115,6.69084227741856,"heid",2.73,0,1.6094379124341,12,0,0,"correct",6.80682936039218,511,708,497,627
"39","pp10","bebrildheid",130,6.46146817635372,"baseheid",1.41,0,3.61091791264422,11,1.35850426878838,3,"incorrect",6.30809844150953,467,502,663,524
"40","pp10","aftandsheid",139,6.97914527506881,"heid",2.05,0,4.20469261939097,11,0,0,"incorrect",6.76619171466035,677,490,534,698
"41","pp10","geurloosheid",143,6.30444880242198,"heid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.81454289725996,753,508,1011,1074
"42","pp10","ovaalheid",157,6.42162226780652,"baseheid",2.23,0,5.86078622346587,9,0.526588927497426,1,"incorrect",6.19031540585315,946,576,515,580
"43","pp10","erkendheid",172,6.18826412308259,"baseheid",4.73,0,6.5191472879404,10,0,0,"correct",6.29526600143965,625,625,776,809
"44","pp10","coulantheid",174,6.50279004591562,"baseheid",2.5,0,1.79175946922805,11,0,1,"correct",6.59441345974978,573,487,625,625
"45","pp10","tilbaarheid",215,6.96602418710611,"heid",3.18,0,0,11,1.24844221891489,1,"correct",6.4831073514572,659,623,1160,528
"46","pp10","gammelheid",221,6.98286275146894,"baseheid",2.55,0,4.91265488573605,10,0,0,"incorrect",6.33327962813969,468,741,821,1216
"47","pp10","pipsheid",242,6.86589107488344,"heid",1.86,0,3.3322045101752,8,0,0,"incorrect",6.3985949345352,739,625,507,636
"48","pp10","banaalheid",252,6.30444880242198,"heid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",7.05617528410041,556,481,507,488
"49","pp10","bezweetheid",257,6.18826412308259,"heid",3.36,0,4.75359019110636,11,1.37230699238395,1,"incorrect",7.10332206252611,569,578,656,400
"50","pp10","beschutheid",264,6.50428817353665,"heid",2.95,0,4.78749174278205,11,0.526588927497426,0,"incorrect",6.15060276844628,568,600,520,447
"51","pp10","pitloosheid",309,6.19644412779452,"baseheid",1.86,0,0,11,1.31050613197084,4,"correct",6.30444880242198,684,708,635,547
"52","pp10","kortafheid",326,6.3297209055227,"heid",2.36,0,5.86929691313377,10,1.62482689233404,1,"correct",6.70196036600254,467,605,581,485
"53","pp10","dementheid",343,6.67708346124714,"baseheid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.34388043412633,430,467,516,607
"54","pp10","royaalheid",344,6.50578406012823,"heid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.4118182677099,794,430,467,516
"55","pp11","riantheid",68,6.40687998606931,"baseheid",2.36,0,4.53259949315326,9,0,0,"correct",6.2803958389602,624,627,750,843
"56","pp11","ovaalheid",81,6.43133108193348,"baseheid",2.23,0,5.86078622346587,9,0.526588927497426,1,"correct",6.42648845745769,613,685,544,543
"57","pp11","aftandsheid",88,7.2086003379602,"heid",2.05,0,4.20469261939097,11,0,0,"correct",7.04664727784876,615,912,1314,821
"58","pp11","tactvolheid",103,6.59304453414244,"baseheid",2.55,0,4.75359019110636,11,1.24844221891489,1,"correct",6.57786135772105,697,939,658,559
"59","pp11","tembaarheid",105,6.3919171133926,"heid",3.73,0,0,11,1.02667222131998,0,"correct",6.62007320653036,1252,730,697,939
"60","pp11","summierheid",130,6.87729607149743,"baseheid",2.14,0,5.29831736654804,11,0.526588927497426,0,"correct",6.44888939414686,673,723,705,776
"61","pp11","tilbaarheid",131,6.89467003943348,"heid",3.18,0,0,11,1.24844221891489,1,"correct",6.96413561241824,970,673,723,705
"62","pp11","pitloosheid",135,6.4085287910595,"baseheid",1.86,0,0,11,1.31050613197084,4,"correct",6.41017488196617,566,647,699,987
"63","pp11","labielheid",163,6.43454651878745,"heid",3.23,0,4.38202663467388,10,0.526588927497426,0,"correct",6.46146817635372,650,666,760,606
"64","pp11","contentheid",164,6.22059017009974,"baseheid",2.5,0,4.49980967033027,11,0,1,"correct",6.29156913955832,623,650,666,760
"65","pp11","saprijkheid",178,6.91671502035361,"heid",1.95,0,0,11,1.51630236639884,2,"incorrect",7.46737106691756,565,568,539,603
"66","pp11","dementheid",180,6.34388043412633,"baseheid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.59578051396131,670,1009,565,568
"67","pp11","enormheid",181,6.58892647753352,"heid",3,0,8.42463920980563,9,0.526588927497426,0,"incorrect",7.0184017990692,569,670,1009,565
"68","pp11","royaalheid",192,6.25958146406492,"heid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.33150184989369,1750,617,526,597
"69","pp11","jofelheid",196,6.31716468674728,"heid",2.64,0,3.3322045101752,9,0,0,"correct",7.13568734702814,563,560,734,523
"70","pp11","blusbaarheid",206,7.10578612948127,"baseheid",2.91,0,0,12,1.19470700912477,0,"correct",6.40025744530882,549,513,695,700
"71","pp11","basaalheid",214,6.56667242980324,"baseheid",2.14,0,3.55534806148941,10,0,0,"correct",6.40191719672719,455,583,615,922
"72","pp11","kalkrijkheid",222,6.63463335786169,"baseheid",2.09,0,3.13549421592915,12,1.48187723101362,3,"correct",6.4281052726846,607,662,657,693
"73","pp11","kortafheid",224,6.33150184989369,"heid",2.36,0,5.86929691313377,10,1.62482689233404,1,"correct",6.57368016696065,547,761,607,662
"74","pp11","ontroerdheid",243,6.47389069635227,"heid",3.32,0,5.54907608489522,12,0,1,"correct",6.54391184556479,982,866,584,599
"75","pp11","banaalheid",250,6.61338421837956,"heid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.8265452235566,809,1105,592,637
"76","pp11","erkendheid",253,6.51174532964473,"baseheid",4.73,0,6.5191472879404,10,0,0,"correct",6.12029741895095,652,628,745,809
"77","pp11","coulantheid",256,6.52502965784346,"baseheid",2.5,0,1.79175946922805,11,0,1,"correct",6.21860011969173,767,527,673,652
"78","pp11","geurloosheid",261,6.25190388316589,"heid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.4085287910595,830,754,1048,943
"79","pp11","ondiepheid",278,6.10702288774225,"baseheid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.3297209055227,534,570,629,687
"80","pp11","onwelheid",320,6.67329796776765,"heid",2,0,3.97029191355212,9,1.7855468776495,1,"correct",7.07918439460967,574,596,584,625
"81","pp11","gammelheid",338,6.71659477352098,"baseheid",2.55,0,4.91265488573605,10,0,0,"correct",6.36475075685191,670,866,576,547
"82","pp12","ondiepheid",88,6.54391184556479,"baseheid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.40687998606931,532,1150,666,804
"83","pp12","royaalheid",97,6.60934924316738,"heid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.71417052990947,1138,969,1024,604
"84","pp12","antiekheid",101,6.87626461189077,"baseheid",2.23,0,6.74523634948436,10,0.869739858620314,2,"correct",6.43294009273918,551,550,762,742
"85","pp12","beschutheid",110,6.94312242281943,"heid",2.95,0,4.78749174278205,11,0.526588927497426,0,"incorrect",7.05875815251866,721,1009,640,835
"86","pp12","gammelheid",119,6.92657703322272,"baseheid",2.55,0,4.91265488573605,10,0,0,"correct",6.75460409948796,1052,762,505,651
"87","pp12","onattentheid",143,6.70563909486,"heid",2.73,0,1.6094379124341,12,0,0,"correct",6.92165818415113,738,696,587,848
"88","pp12","tembaarheid",144,6.76272950693188,"heid",3.73,0,0,11,1.02667222131998,0,"correct",7.06731984865348,817,738,696,587
"89","pp12","erkendheid",147,6.45833828334479,"baseheid",4.73,0,6.5191472879404,10,0,0,"correct",6.46146817635372,1322,631,865,817
"90","pp12","riantheid",165,6.77992190747225,"baseheid",2.36,0,4.53259949315326,9,0,0,"correct",7.0335064842877,685,980,1037,1120
"91","pp12","kortafheid",179,6.87109129461055,"heid",2.36,0,5.86929691313377,10,1.62482689233404,1,"correct",6.7428806357919,1035,521,604,614
"92","pp12","labielheid",265,6.92165818415113,"heid",3.23,0,4.38202663467388,10,0.526588927497426,0,"correct",6.84587987526405,985,1573,768,874
"93","pp12","ontroerdheid",282,6.67329796776765,"heid",3.32,0,5.54907608489522,12,0,1,"correct",6.8112443786013,851,997,742,756
"94","pp13","enormheid",79,6.81563999007433,"baseheid",3,0,8.42463920980563,9,0.526588927497426,0,"correct",6.38519439899773,605,707,1252,834
"95","pp13","markantheid",83,6.99393297522319,"baseheid",2.73,0,5.16478597392351,11,0,0,"correct",6.70196036600254,796,1091,840,912
"96","pp13","ontroerdheid",89,6.4150969591716,"baseheid",3.32,0,5.54907608489522,12,0,1,"correct",6.71538338633468,1030,660,884,799
"97","pp13","lobbigheid",92,6.85118492749374,"heid",1.82,0,0,10,0.741275220811803,3,"correct",6.67582322163485,695,704,611,1030
"98","pp13","contentheid",95,6.69579891705849,"heid",2.5,0,4.49980967033027,11,0,1,"correct",7.45182223652793,999,1211,945,695
"99","pp13","riantheid",96,6.78558764500793,"heid",2.36,0,4.53259949315326,9,0,0,"correct",6.62007320653036,809,999,1211,945
"100","pp13","tembaarheid",111,7.00033446027523,"baseheid",3.73,0,0,11,1.02667222131998,0,"correct",7.18538701558042,824,837,590,613
"101","pp13","onattentheid",115,6.67834211465433,"baseheid",2.73,0,1.6094379124341,12,0,0,"correct",6.72623340235875,762,607,586,1097
"102","pp13","bebrildheid",130,6.86380339145295,"heid",1.41,0,3.61091791264422,11,1.35850426878838,3,"incorrect",6.55677835615804,765,590,799,539
"103","pp13","geurloosheid",143,6.75343791859778,"baseheid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.46146817635372,619,876,739,959
"104","pp13","erkendheid",172,7.20117088328168,"heid",4.73,0,6.5191472879404,10,0,0,"correct",6.87005341179813,697,605,1563,1001
"105","pp13","labielheid",196,6.53378883793334,"baseheid",3.23,0,4.38202663467388,10,0.526588927497426,0,"incorrect",7.46737106691756,790,814,733,552
"106","pp13","visrijkheid",200,6.83410873881384,"baseheid",2.18,0,3.04452243772342,11,1.72894923152569,4,"correct",6.42162226780652,691,1015,622,688
"107","pp13","ondiepheid",206,7.33302301438648,"heid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.50578406012823,790,745,644,691
"108","pp13","onwelheid",207,6.8627579130514,"baseheid",2,0,3.97029191355212,9,1.7855468776495,1,"correct",6.66949808985788,1530,790,745,644
"109","pp13","blusbaarheid",209,7.0825485693553,"heid",2.91,0,0,12,1.19470700912477,0,"correct",7.35436233042148,595,956,1530,790
"110","pp13","tilbaarheid",215,7.03878354138854,"baseheid",3.18,0,0,11,1.24844221891489,1,"correct",6.34035930372775,991,608,975,654
"111","pp13","koketheid",228,6.85224256905188,"baseheid",2,0,4.78749174278205,9,0.741275220811803,0,"incorrect",6.63987583382654,904,948,948,599
"112","pp13","ludiekheid",232,6.72262979485545,"heid",2.05,0,4.14313472639153,10,0,0,"incorrect",6.3135480462771,729,1190,901,946
"113","pp13","pipsheid",242,6.5694814204143,"baseheid",1.86,0,3.3322045101752,8,0,0,"correct",6.53813982376767,762,904,643,609
"114","pp13","banaalheid",252,6.67834211465433,"baseheid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.88243747099785,755,560,698,720
"115","pp13","bezweetheid",257,6.9027427371586,"baseheid",3.36,0,4.75359019110636,11,1.37230699238395,1,"correct",6.33327962813969,1009,682,671,588
"116","pp13","beschutheid",264,6.95368421087054,"baseheid",2.95,0,4.78749174278205,11,0.526588927497426,0,"incorrect",6.39526159811545,554,719,629,742
"117","pp13","tactvolheid",274,6.36818718635049,"heid",2.55,0,4.75359019110636,11,1.24844221891489,1,"correct",6.80128303447162,771,655,1466,560
"118","pp13","jofelheid",275,6.42162226780652,"baseheid",2.64,0,3.3322045101752,9,0,0,"correct",6.4707995037826,583,771,655,1466
"119","pp13","pitloosheid",309,6.41836493593621,"heid",1.86,0,0,11,1.31050613197084,4,"correct",6.50128967054039,702,776,606,630
"120","pp13","onbelastheid",317,6.57228254269401,"heid",2.55,0,3.17805383034795,12,1.72894923152569,6,"correct",7.07326971745971,725,451,573,501
"121","pp13","saprijkheid",333,7.10496544826984,"baseheid",1.95,0,0,11,1.51630236639884,2,"correct",7.0992017435531,572,534,706,633
"122","pp13","beuheid",337,6.79570577517351,"heid",1.73,0,5.06890420222023,7,0,0,"incorrect",6.30627528694802,1422,1361,586,1218
"123","pp13","dementheid",343,6.77308037565554,"heid",3.23,0,3.8286413964891,10,0.741275220811803,0,"incorrect",6.24416690066374,565,767,882,1057
"124","pp13","royaalheid",344,6.44730586254121,"baseheid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.42162226780652,874,565,767,882
"125","pp14","riantheid",68,6.61069604471776,"heid",2.36,0,4.53259949315326,9,0,0,"incorrect",6.88448665204278,801,848,626,1049
"126","pp14","beuheid",73,6.24610676548156,"heid",1.73,0,5.06890420222023,7,0,0,"correct",7.05012252026906,816,694,732,626
"127","pp14","ovaalheid",81,6.38519439899773,"heid",2.23,0,5.86078622346587,9,0.526588927497426,1,"correct",7.00124562206948,511,952,573,595
"128","pp14","aftandsheid",88,6.31716468674728,"baseheid",2.05,0,4.20469261939097,11,0,0,"correct",6.4377516497364,560,1480,907,749
"129","pp14","beschutheid",101,6.22455842927536,"baseheid",2.95,0,4.78749174278205,11,0.526588927497426,0,"correct",6.25382881157547,948,600,620,882
"130","pp14","tactvolheid",103,6.19847871649231,"heid",2.55,0,4.75359019110636,11,1.24844221891489,1,"correct",6.69208374250663,631,505,948,600
"131","pp14","tembaarheid",105,6.21260609575152,"baseheid",3.73,0,0,11,1.02667222131998,0,"correct",6.4393503711001,773,492,631,505
"132","pp14","summierheid",130,6.61472560020376,"heid",2.14,0,5.29831736654804,11,0.526588927497426,0,"correct",6.94215670569947,615,727,597,1395
"133","pp14","tilbaarheid",131,6.88653164253051,"baseheid",3.18,0,0,11,1.24844221891489,1,"correct",6.49526555593701,746,615,727,597
"134","pp14","pitloosheid",135,6.45519856334012,"heid",1.86,0,0,11,1.31050613197084,4,"correct",6.64248680136726,1066,614,647,979
"135","pp14","labielheid",163,6.33859407820318,"baseheid",3.23,0,4.38202663467388,10,0.526588927497426,0,"correct",6.3026189757449,752,860,675,626
"136","pp14","contentheid",164,6.16961073249146,"heid",2.5,0,4.49980967033027,11,0,1,"correct",6.34212141872115,566,752,860,675
"137","pp14","dementheid",180,6.25382881157547,"heid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.74758652682932,630,554,480,621
"138","pp14","enormheid",181,6.38519439899773,"baseheid",3,0,8.42463920980563,9,0.526588927497426,0,"correct",6.26530121273771,520,630,554,480
"139","pp14","bebrildheid",185,6.71052310945243,"heid",1.41,0,3.61091791264422,11,1.35850426878838,3,"incorrect",7.09672137849476,532,630,707,593
"140","pp14","royaalheid",192,6.45362499889269,"baseheid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.23832462503951,468,561,663,656
"141","pp14","jofelheid",196,6.60934924316738,"baseheid",2.64,0,3.3322045101752,9,0,0,"correct",6.33505425149806,580,761,644,635
"142","pp14","blusbaarheid",206,6.49828214947643,"heid",2.91,0,0,12,1.19470700912477,0,"correct",6.62539236800796,893,464,495,438
"143","pp14","basaalheid",214,6.06842558824411,"heid",2.14,0,3.55534806148941,10,0,0,"correct",6.5424719605068,566,542,986,476
"144","pp14","kalkrijkheid",222,6.19031540585315,"heid",2.09,0,3.13549421592915,12,1.48187723101362,3,"correct",6.56103066589657,578,687,607,821
"145","pp14","kortafheid",224,6.21260609575152,"baseheid",2.36,0,5.86929691313377,10,1.62482689233404,1,"correct",6.27664348934164,600,488,578,687
"146","pp14","ontroerdheid",243,6.25958146406492,"baseheid",3.32,0,5.54907608489522,12,0,1,"correct",6.20455776256869,475,826,588,523
"147","pp14","lobbigheid",249,6.45362499889269,"heid",1.82,0,0,10,0.741275220811803,3,"incorrect",6.38856140554563,534,600,736,808
"148","pp14","banaalheid",250,6.42162226780652,"baseheid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.16541785423142,635,534,600,736
"149","pp14","erkendheid",253,6.25766758788264,"heid",4.73,0,6.5191472879404,10,0,0,"correct",6.33859407820318,864,713,615,635
"150","pp14","coulantheid",256,6.33150184989369,"heid",2.5,0,1.79175946922805,11,0,1,"correct",6.5366915975913,562,613,522,864
"151","pp14","geurloosheid",261,6.60800062529609,"baseheid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.35957386867238,782,586,652,461
"152","pp14","antiekheid",271,6.30078579466324,"heid",2.23,0,6.74523634948436,10,0.869739858620314,2,"correct",6.35957386867238,793,792,732,1072
"153","pp14","ludiekheid",273,6.5792512120101,"heid",2.05,0,4.14313472639153,10,0,0,"incorrect",6.33505425149806,612,545,793,792
"154","pp14","ondiepheid",278,6.17378610390194,"heid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.38856140554563,452,632,601,891
"155","pp14","markantheid",279,6.2841341610708,"baseheid",2.73,0,5.16478597392351,11,0,0,"correct",6.25958146406492,480,452,632,601
"156","pp14","pipsheid",285,6.29341927884648,"baseheid",1.86,0,3.3322045101752,8,0,0,"incorrect",6.6945620585211,721,843,958,808
"157","pp14","bezweetheid",297,6.23048144757848,"baseheid",3.36,0,4.75359019110636,11,1.37230699238395,1,"correct",6.13339804299665,453,803,732,1103
"158","pp14","onbelastheid",303,6.4831073514572,"heid",2.55,0,3.17805383034795,12,1.72894923152569,6,"correct",6.88141130364254,822,651,1034,894
"159","pp14","koketheid",307,6.22653666928747,"baseheid",2,0,4.78749174278205,9,0.741275220811803,0,"correct",6.97728134163075,424,529,709,654
"160","pp14","onattentheid",310,6.37331978957701,"baseheid",2.73,0,1.6094379124341,12,0,0,"correct",6.67582322163485,700,540,506,424
"161","pp14","onwelheid",320,6.23048144757848,"baseheid",2,0,3.97029191355212,9,1.7855468776495,1,"correct",6.289715570909,444,625,657,667
"162","pp14","visrijkheid",336,6.26149168432104,"baseheid",2.18,0,3.04452243772342,11,1.72894923152569,4,"correct",6.11589212548303,568,514,560,689
"163","pp14","gammelheid",338,6.20859002609663,"heid",2.55,0,4.91265488573605,10,0,0,"correct",6.75460409948796,509,524,568,514
"164","pp15","koketheid",69,6.46458830368996,"baseheid",2,0,4.78749174278205,9,0.741275220811803,0,"correct",6.53378883793334,759,692,686,575
"165","pp15","bezweetheid",78,6.68959926917897,"baseheid",3.36,0,4.75359019110636,11,1.37230699238395,1,"correct",6.64509096950564,756,806,1085,589
"166","pp15","ondiepheid",88,6.42648845745769,"heid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.35610766069589,554,621,822,799
"167","pp15","royaalheid",97,6.39526159811545,"baseheid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.46925031679577,655,633,731,942
"168","pp15","antiekheid",101,6.76041469108343,"heid",2.23,0,6.74523634948436,10,0.869739858620314,2,"correct",6.63725803128446,588,704,608,599
"169","pp15","beschutheid",110,6.75460409948796,"baseheid",2.95,0,4.78749174278205,11,0.526588927497426,0,"incorrect",6.48004456192665,761,647,707,1170
"170","pp15","gammelheid",119,6.77764659363512,"heid",2.55,0,4.91265488573605,10,0,0,"correct",6.65672652417839,655,915,548,663
"171","pp15","tactvolheid",131,6.45362499889269,"heid",2.55,0,4.75359019110636,11,1.24844221891489,1,"correct",6.53233429222235,812,969,703,742
"172","pp15","onattentheid",143,6.4831073514572,"baseheid",2.73,0,1.6094379124341,12,0,0,"incorrect",6.94889722231331,839,613,626,657
"173","pp15","tembaarheid",144,6.69084227741856,"baseheid",3.73,0,0,11,1.02667222131998,0,"incorrect",6.7428806357919,654,839,613,626
"174","pp15","contentheid",146,6.53813982376767,"heid",2.5,0,4.49980967033027,11,0,1,"correct",7.0647590277918,672,805,654,839
"175","pp15","erkendheid",147,6.33682573114644,"heid",4.73,0,6.5191472879404,10,0,0,"correct",6.56103066589657,691,672,805,654
"176","pp15","riantheid",165,7.30988148582479,"heid",2.36,0,4.53259949315326,9,0,0,"correct",6.6945620585211,944,1182,1515,876
"177","pp15","beuheid",169,6.59850902861452,"heid",1.73,0,5.06890420222023,7,0,0,"correct",6.87626461189077,763,795,680,1495
"178","pp15","dementheid",173,6.52209279817015,"heid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.59030104819669,605,755,729,734
"179","pp15","banaalheid",176,6.89568269774787,"baseheid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.70808408385307,814,670,680,605
"180","pp15","blusbaarheid",189,6.49072353450251,"heid",2.91,0,0,12,1.19470700912477,0,"correct",7.0833878476253,821,577,605,796
"181","pp15","basaalheid",200,6.68835471394676,"heid",2.14,0,3.55534806148941,10,0,0,"incorrect",6.37842618365159,763,942,651,1750
"182","pp15","ludiekheid",238,6.78219205600679,"heid",2.05,0,4.14313472639153,10,0,0,"correct",6.84800527457636,933,1024,684,782
"183","pp15","ovaalheid",248,6.60123011872888,"heid",2.23,0,5.86078622346587,9,0.526588927497426,1,"correct",6.61338421837956,1289,695,636,674
"184","pp15","visrijkheid",253,6.51767127291227,"baseheid",2.18,0,3.04452243772342,11,1.72894923152569,4,"correct",6.4707995037826,831,939,696,785
"185","pp15","pitloosheid",272,6.50128967054039,"heid",1.86,0,0,11,1.31050613197084,4,"correct",6.6682282484174,808,833,603,651
"186","pp15","jofelheid",274,6.52649485957079,"baseheid",2.64,0,3.3322045101752,9,0,0,"correct",6.66185474054531,871,666,808,833
"187","pp15","kalkrijkheid",276,6.53958595561767,"heid",2.09,0,3.13549421592915,12,1.48187723101362,3,"correct",6.93147180559945,694,683,871,666
"188","pp15","coulantheid",281,6.77536609093639,"heid",2.5,0,1.79175946922805,11,0,1,"incorrect",6.87832646829133,746,789,674,1050
"189","pp15","ontroerdheid",282,6.4723462945009,"baseheid",3.32,0,5.54907608489522,12,0,1,"correct",6.27852142416584,876,746,789,674
"190","pp15","markantheid",319,7.14677217945264,"baseheid",2.73,0,5.16478597392351,11,0,0,"correct",6.67076632084587,549,816,706,637
"191","pp15","summierheid",320,6.70563909486,"heid",2.14,0,5.29831736654804,11,0.526588927497426,0,"incorrect",6.61472560020376,1270,549,816,706
