"","Word","Frequency","Speaker","Sex","YearOfBirth","DurationOfPrefix","DurationPrefixVowel","DurationPrefixNasal","DurationPrefixPlosive","NumberOfSegmentsOnset","PlosivePresent","SpeechRate"
"66","ontsluiten",1.38629436111989,"N01019","male",62,0.114725,0.067866,0.022622,0.024238,2,"yes",8.479367
"81","ontsnap",0.693147180559945,"N01014","male",76,0.091196,0.032791,0.031904,0.026501,2,"yes",4.733728
"76","ontsnappen",3.93182563272433,"N01017","male",69,0.148343,0.052506,0.051889,0.043947,2,"yes",5.175388
"67","ontsnapt",4.14313472639153,"N01156","female",42,0.1252,0.051455,0.073745,0,2,"no",4.954268
"89","ontspannen",4.67282883446191,"N01041","female",80,0.143707,0.058342,0.050042,0.035324,2,"yes",6.206041
"64","ontspannend",3.25809653802148,"N01010","male",70,0.107453,0.038377,0.039794,0.029282,2,"yes",6.082725
"15","ontspanning",4.54329478227,"N01214","female",40,0.180961,0.099022,0.05238,0.029558,2,"yes",5.98444
"65","ontspanningsteam",0,"N01163","female",61,0.121993,0.057836,0.064157,0,2,"no",4.620123
"35","ontspoord",1.94591014905531,"N01085","male",70,0.039299,0.026356,0,0.012943,2,"yes",6.67334
"96","ontspoort",1.38629436111989,"N01085","male",70,0.074228,0.031859,0.042369,0,2,"no",6.323777
"71","ontstaan",6.06842558824411,"N01041","female",80,0.205519,0.05964,0.087003,0.058876,2,"yes",4.888889
"17","ontstaat",5.04342511691925,"N01020","male",61,0.086615,0.043416,0.023261,0.019938,2,"yes",4.398021
"95","ontsteken",1.79175946922805,"N01121","male",77,0.165329,0.065256,0.054624,0.045449,2,"yes",8.305021
"73","ontsteking",3.89182029811063,"N01037","female",81,0.113105,0.027756,0.045103,0.040246,2,"yes",6.581834
"102","ontstekingsvocht",0,"N01037","female",81,0.09924,0.036075,0.063166,0,2,"no",5.13834
"68","ontstoken",3.09104245335832,"N01144","male",71,0.115091,0.047259,0.067832,0,2,"no",5.940594
"12","ontstond",4.57471097850338,"N01090","female",76,0.127984,0.089805,0,0.038178,2,"yes",5.302227
"92","ontvang",2.07944154167984,"N01105","female",80,0.161155,0.07679,0,0.084364,1,"yes",6.9869
"59","ontvangen",5.43372200355424,"N01017","male",69,0.087884,0.016478,0.026465,0.044941,1,"yes",7.317073
"7","ontvangst",3.95124371858143,"N01062","male",48,0.102165,0.033733,0.042036,0.026396,1,"yes",5.215124
"34","ontvangsten",3.13549421592915,"N01068","female",46,0.183979,0.077384,0.053745,0.052849,1,"yes",5.438477
"5","ontvangststation",0,"N01002","male",52,0.13022,0.038916,0.091304,0,1,"no",4.068348
"97","ontvangt",3.68887945411394,"N01106","male",77,0.187346,0.071969,0.054139,0.061238,1,"yes",4.666356
"9","ontving",3.29583686600433,"N01002","male",52,0.130554,0.05268,0.030033,0.047841,1,"yes",6.184292
"38","ontvingen",1.6094379124341,"N01157","male",52,0.116323,0.047828,0.037913,0.030581,1,"yes",5.40054
"87","ontvoerd",2.94443897916644,"N01027","female",70,0.118748,0.043504,0.023406,0.051837,1,"yes",6.19195
"88","ontvoeren",1.6094379124341,"N01110","female",77,0.098185,0.041484,0.056701,0,1,"no",6.315789
"2","ontvreemd",2.07944154167984,"N01065","female",78,0.107143,0.038324,0.030448,0.03837,2,"yes",2.460025
"4","ontwaken",1.38629436111989,"N01157","male",52,0.230269,0.073632,0.068731,0.087906,1,"yes",4.154303
"22","ontwapenend",0.693147180559945,"N01133","male",79,0.17488,0.072757,0.050436,0.051686,1,"yes",5.40358
"91","ontwerp",4.30406509320417,"N01150","female",23,0.17403,0.075199,0.062293,0.036538,1,"yes",2.838221
"3","ontwerpen",4.14313472639153,"N01065","female",78,0.126606,0.057807,0.040133,0.028666,1,"yes",7.434944
"57","ontwerper",3.04452243772342,"N01042","male",79,0.158592,0.050605,0.035967,0.07202,1,"yes",5.062305
"49","ontwijken",2.63905732961526,"N01089","female",75,0.187598,0.089345,0.041068,0.057185,1,"yes",5.038937
"29","ontwijkende",0,"N01146","male",23,0.236841,0.10444,0.054339,0.078061,1,"yes",4.840941
"84","ontwikkeld",5.00394630594546,"N01135","male",64,0.170042,0.082655,0.044994,0.042393,1,"yes",7.201309
"52","ontwikkelde",3.49650756146648,"N01100","male",29,0.200608,0.088653,0.053726,0.058229,1,"yes",3.861004
"72","ontwikkelen",5.32787616878958,"N01085","male",70,0.075877,0.026979,0.016019,0.03288,1,"yes",8.306248
"36","ontwikkeling",5.87773578177964,"N01042","male",79,0.239222,0.078389,0.046102,0.114731,1,"yes",5.579665
"23","ontwikkelingen",5.0998664278242,"N01028","female",38,0.123474,0.032231,0.058233,0.03301,1,"yes",5.327651
"79","ontwikkelingshulp",2.94443897916644,"N01078","male",76,0.171507,0.044174,0.064443,0.06289,1,"yes",5.490196
"37","ontwikkelingskaart",0,"N01014","male",76,0.130127,0.0464,0.042644,0.041083,1,"yes",6.440281
"25","ontwikkelingskaartje",0,"N01014","male",76,0.108434,0.044211,0.035369,0.028854,1,"yes",7.850834
"56","ontwikkelingspunt",0,"N01014","male",76,0.124063,0.045442,0.039671,0.03895,1,"yes",7.598143
"61","ontwikkelingswerk",1.94591014905531,"N01051","female",79,0.114132,0.04837,0.03587,0.029892,1,"yes",5.602241
"80","ontwikkelt",4.02535169073515,"N01085","male",70,0.128376,0.065318,0.033248,0.029809,1,"yes",5.923345
"86","ontworpen",3.71357206670431,"N01170","male",78,0.139723,0.052796,0.025149,0.061777,1,"yes",6.420546
"85","ontwricht",2.30258509299405,"N01205","male",61,0.218802,0.071303,0.056047,0.091452,2,"yes",5.403458
"33","ontzettend",6.72503364216684,"N01068","female",46,0.164835,0.123218,0.041617,0,1,"no",4.305043
"11","ontzettende",4.18965474202643,"N01092","female",80,0.117997,0.058048,0.033747,0.026202,1,"yes",7.170795
"8","ontzien",1.94591014905531,"N01045","male",77,0.134899,0.045564,0.045579,0.043756,1,"yes",6.680027
