"","Year","Frequency"
"383",1611,6
"384",1610,7
"385",1609,2
"386",1608,4
"387",1607,9
"388",1606,11
"389",1605,4
"390",1604,6
"391",1603,5
"392",1602,44
"393",1601,5
"394",1600,3
"395",1599,7
"396",1598,7
"397",1597,4
"398",1596,10
"399",1595,8
"400",1594,7
"401",1593,6
"402",1592,8
"403",1591,6
"404",1590,5
"405",1589,1
"406",1588,6
"407",1587,11
"408",1586,3
"409",1585,9
"410",1584,5
"411",1583,4
"412",1582,15
"413",1581,9
"414",1580,6
"415",1579,5
"416",1578,7
"417",1577,9
"418",1576,6
"419",1575,7
"420",1574,15
"421",1573,13
"422",1572,10
"423",1571,6
"424",1570,4
"425",1569,7
"426",1568,12
"427",1567,13
"428",1566,11
"429",1565,6
"430",1564,5
"431",1563,7
"432",1562,12
"433",1561,3
"434",1560,10
"435",1559,0
"436",1558,10
"437",1557,13
"438",1556,4
"439",1555,3
"440",1554,4
"441",1553,3
"442",1552,21
"443",1551,1
"444",1550,5
"445",1549,5
"446",1548,8
"447",1547,7
"448",1546,6
"449",1545,6
"450",1544,5
"451",1543,5
"452",1542,9
"453",1541,6
"454",1540,8
"455",1539,4
"456",1538,9
"457",1537,8
"458",1536,8
"459",1535,4
"460",1534,8
"461",1533,12
"462",1532,19
"463",1531,10
"464",1530,3
"465",1529,12
"466",1528,21
"467",1527,12
"468",1526,6
"469",1525,8
"470",1524,6
"471",1523,9
"472",1522,24
"473",1521,13
"474",1520,7
"475",1519,11
"476",1518,7
"477",1517,7
"478",1516,4
"479",1515,7
"480",1514,11
"481",1513,10
"482",1512,15
"483",1511,5
"484",1510,9
"485",1509,4
"486",1508,13
"487",1507,5
"488",1506,9
"489",1505,5
"490",1504,6
"491",1503,5
"492",1502,29
"493",1501,7
"494",1500,12
"495",1499,8
"496",1498,2
"497",1497,11
"498",1496,21
"499",1495,5
"500",1494,18
"501",1493,11
"502",1492,11
"503",1491,4
"504",1490,7
"505",1489,9
"506",1488,6
"507",1487,8
"508",1486,4
"509",1485,7
"510",1484,5
"511",1483,2
"512",1482,22
"513",1481,2
"514",1480,3
"515",1479,10
"516",1478,2
"517",1477,13
"518",1476,1
"519",1475,16
"520",1474,5
"521",1473,5
"522",1472,2
"523",1471,0
"524",1470,6
"525",1469,4
"526",1468,4
"527",1467,6
"528",1466,2
"529",1465,12
"530",1464,2
"531",1463,6
"532",1462,6
"533",1461,3
"534",1460,3
"535",1459,4
"536",1458,5
"537",1457,3
"538",1456,2
"539",1455,18
"540",1454,4
"541",1453,1
"542",1452,2
"543",1451,3
"544",1450,4
"545",1449,3
"546",1448,2
"547",1447,1
"548",1446,3
"549",1445,2
"550",1444,3
"551",1443,6
"552",1442,2
"553",1441,5
"554",1440,1
"555",1439,3
"556",1438,3
"557",1437,0
"558",1436,5
"559",1435,6
"560",1434,2
"561",1433,2
"562",1432,1
"563",1431,2
"564",1430,0
"565",1429,1
"566",1428,0
"567",1427,0
"568",1426,0
"569",1425,14
"570",1424,2
"571",1423,2
"572",1422,0
"573",1421,3
"574",1420,6
"575",1419,1
"576",1418,0
"577",1417,0
"578",1416,1
"579",1415,2
"580",1414,1
"581",1413,1
"582",1412,2
"583",1411,1
"584",1410,1
"585",1409,0
"586",1408,0
"587",1407,0
"588",1406,0
"589",1405,2
"590",1404,5
"591",1403,0
"592",1402,0
"593",1401,0
"594",1400,1
"595",1399,1
"596",1398,1
"597",1397,1
"598",1396,1
"599",1395,0
"600",1394,3
"601",1393,5
"602",1392,1
"603",1391,2
"604",1390,5
"605",1389,1
"606",1388,0
"607",1387,0
"608",1386,3
"609",1385,3
"610",1384,4
"611",1383,0
"612",1382,3
"613",1381,1
"614",1380,1
"615",1379,2
"616",1378,1
"617",1377,1
"618",1376,1
"619",1375,0
"620",1374,0
"621",1373,2
"622",1372,1
"623",1371,0
"624",1370,1
"625",1369,3
"626",1368,2
"627",1367,3
"628",1366,1
"629",1365,2
"630",1364,1
"631",1363,1
"632",1362,3
"633",1361,6
"634",1360,0
"635",1359,2
"636",1358,0
"637",1357,1
"638",1356,1
"639",1355,6
"640",1354,4
"641",1353,8
"642",1352,8
"643",1351,5
"644",1350,1
"645",1349,2
"646",1348,2
"647",1347,0
"648",1346,0
"649",1345,2
"650",1344,0
"651",1343,4
"652",1342,0
"653",1341,3
"654",1340,0
"655",1339,0
"656",1338,2
"657",1337,2
"658",1336,2
"659",1335,2
"660",1334,1
"661",1333,2
"662",1332,1
"663",1331,1
"664",1330,1
"665",1329,2
"666",1328,0
"667",1327,3
"668",1326,4
"669",1325,0
"670",1324,1
"671",1323,0
"672",1322,0
"673",1321,0
"674",1320,1
"675",1319,3
"676",1318,1
"677",1317,4
"678",1316,2
"679",1315,1
"680",1314,1
"681",1313,4
"682",1312,0
"683",1311,0
"684",1310,2
"685",1309,4
"686",1308,2
"687",1307,1
"688",1306,1
"689",1305,10
"690",1304,2
"691",1303,2
"692",1302,1
"693",1301,2
"694",1300,1
"695",1299,5
"696",1298,0
"697",1297,4
"698",1296,1
"699",1295,4
"700",1294,1
"701",1293,1
"702",1292,0
"703",1291,0
"704",1290,1
"705",1289,0
"706",1288,1
"707",1287,0
"708",1286,0
"709",1285,3
"710",1284,2
"711",1283,1
"712",1282,4
"713",1281,1
"714",1280,0
"715",1279,0
"716",1278,2
"717",1277,0
"718",1276,1
"719",1275,4
"720",1274,1
"721",1273,3
"722",1272,0
"723",1271,0
"724",1270,4
"725",1269,0
"726",1268,2
"727",1267,1
"728",1266,1
"729",1265,0
"730",1264,1
"731",1263,0
"732",1262,0
"733",1261,1
"734",1260,2
"735",1259,0
"736",1258,4
"737",1257,1
"738",1256,6
"739",1255,2
"740",1254,2
"741",1253,1
"742",1252,2
"743",1251,1
"744",1250,1
"745",1249,1
"746",1248,0
"747",1247,2
"748",1246,2
"749",1245,3
"750",1244,1
"751",1243,1
"752",1242,1
"753",1241,5
"754",1240,2
"755",1239,2
"756",1238,0
"757",1237,2
"758",1236,4
"759",1235,1
"760",1234,0
"761",1233,2
"762",1232,4
"763",1231,2
"764",1230,1
"765",1229,2
"766",1228,0
"767",1227,2
"768",1226,11
"769",1225,0
"770",1224,1
"771",1223,1
"772",1222,1
"773",1221,3
"774",1220,1
"775",1219,0
"776",1218,2
"777",1217,1
"778",1216,2
"779",1215,4
"780",1214,2
"781",1213,1
"782",1212,0
"783",1211,2
"784",1210,1
"785",1209,1
"786",1208,0
"787",1207,0
"788",1206,0
"789",1205,5
"790",1204,2
"791",1203,3
"792",1202,5
"793",1201,8
"794",1200,0
"795",1199,0
"796",1198,0
"797",1197,1
"798",1196,0
"799",1195,1
"800",1194,2
