"","Rating","Subject","Word","Class","Naive","Language","MeanFamiliarity"
"39",2,"Jer","olive","plant","naive","English",1.0986123
"40",2,"Jer","almond","plant","naive","English",0
"41",7,"Jer","whale","animal","naive","English",1.0986123
"42",6,"Jer","moose","animal","naive","English",0
"43",6,"Jer","camel","animal","naive","English",0.6931472
"44",2,"Jer","wasp","animal","naive","English",1.3862944
"45",3,"Jer","lettuce","plant","naive","English",0
"46",3,"Jer","potato","plant","naive","English",0
"47",4,"Jer","sheep","animal","naive","English",2.3025851
"48",3,"Jer","cat","animal","naive","English",2.7725887
"49",1,"Jer","cherry","plant","naive","English",0.6931472
"50",2,"Jer","eggplant","plant","naive","English",0
"51",2,"Jer","asparagus","plant","naive","English",0
"52",3,"Jer","vulture","animal","naive","English",0
"53",3,"Jer","bunny","animal","naive","English",0
"54",2,"Jer","mouse","animal","naive","English",1.9459101
"55",2,"Jer","leek","plant","naive","English",0
"56",4,"Jer","badger","animal","naive","English",0.6931472
"57",1,"Jer","ant","animal","naive","English",1.3862944
"58",2,"Jer","grape","plant","naive","English",1.0986123
"59",4,"Jer","eagle","animal","naive","English",1.0986123
"60",6,"Jer","lion","animal","naive","English",1.0986123
"61",1,"Jer","mustard","plant","naive","English",0
"62",2,"Jer","woodpecker","animal","naive","English",0
"63",3,"Jer","kiwi","plant","naive","English",0
"64",3,"Jer","carrot","plant","naive","English",0.6931472
"65",3,"Jer","radish","plant","naive","English",0.6931472
"66",4,"Jer","beaver","animal","naive","English",0
"67",2,"Jer","lemon","plant","naive","English",0.6931472
"68",4,"Jer","squid","animal","naive","English",0
"69",3,"Jer","mole","animal","naive","English",1.0986123
"70",1,"Jer","blueberry","plant","naive","English",0
"71",3,"Jer","chicken","animal","naive","English",1.0986123
"72",7,"Jer","elephant","animal","naive","English",0.6931472
"73",2,"Jer","banana","plant","naive","English",0
"74",4,"Jer","stork","animal","naive","English",0
"75",3,"Jer","orange","plant","naive","English",1.3862944
"76",6,"Jer","crocodile","animal","naive","English",0
"77",2,"Jer","swan","animal","naive","English",1.3862944
"78",3,"Jer","monkey","animal","naive","English",0
"79",2,"Jer","avocado","plant","naive","English",0
"80",3,"Jer","goose","animal","naive","English",1.7917595
"81",2,"Jer","apple","plant","naive","English",1.0986123
"82",2,"YH","spider","animal","naive","notEnglish",0.6931472
"83",5,"YH","melon","plant","naive","notEnglish",1.0986123
"84",4,"YH","banana","plant","naive","notEnglish",0
"85",3,"YH","badger","animal","naive","notEnglish",0.6931472
"86",2,"YH","butterfly","animal","naive","notEnglish",0
"87",4,"YH","pigeon","animal","naive","notEnglish",1.0986123
"88",2,"YH","grape","plant","naive","notEnglish",1.0986123
"89",4,"YH","broccoli","plant","naive","notEnglish",0
"90",4,"YH","woodpecker","animal","naive","notEnglish",0
"91",3,"YH","squid","animal","naive","notEnglish",0
"92",5,"YH","swan","animal","naive","notEnglish",1.3862944
"93",2,"YH","mushroom","plant","naive","notEnglish",0.6931472
"94",3,"YH","asparagus","plant","naive","notEnglish",0
"95",5,"YH","goose","animal","naive","notEnglish",1.7917595
"96",4,"YH","vulture","animal","naive","notEnglish",0
"97",3,"YH","bunny","animal","naive","notEnglish",0
"98",7,"YH","lion","animal","naive","notEnglish",1.0986123
"99",4,"YH","leek","plant","naive","notEnglish",0
"100",4,"YH","mole","animal","naive","notEnglish",1.0986123
"101",2,"YH","beetroot","plant","naive","notEnglish",0
"102",2,"YH","frog","animal","naive","notEnglish",2.0794415
"103",2,"YH","moose","animal","naive","notEnglish",0
"104",3,"YH","stork","animal","naive","notEnglish",0
"105",2,"YH","hedgehog","animal","naive","notEnglish",0
"106",7,"YH","shark","animal","naive","notEnglish",0.6931472
"107",2,"YH","pear","plant","naive","notEnglish",0
"108",3,"YH","radish","plant","naive","notEnglish",0.6931472
"109",7,"YH","horse","animal","naive","notEnglish",3.3322045
"110",4,"YH","owl","animal","naive","notEnglish",1.3862944
"111",2,"YH","apricot","plant","naive","notEnglish",0
"112",3,"YH","snake","animal","naive","notEnglish",1.6094379
"113",2,"YH","bee","animal","naive","notEnglish",1.7917595
"114",2,"YH","blueberry","plant","naive","notEnglish",0
"115",7,"YH","camel","animal","naive","notEnglish",0.6931472
"116",3,"YH","cucumber","plant","naive","notEnglish",0
"117",2,"YH","chicken","animal","naive","notEnglish",1.0986123
"118",6,"YH","crocodile","animal","naive","notEnglish",0
"119",3,"YH","potato","plant","naive","notEnglish",0
"120",2,"YH","peanut","plant","naive","notEnglish",0.6931472
"121",7,"YH","whale","animal","naive","notEnglish",1.0986123
"122",4,"YH","monkey","animal","naive","notEnglish",0
"123",3,"YH","beaver","animal","naive","notEnglish",0
"124",3,"YH","orange","plant","naive","notEnglish",1.3862944
"125",2,"YH","bat","animal","naive","notEnglish",2.1972246
"126",1,"YH","ant","animal","naive","notEnglish",1.3862944
"127",7,"YH","dolphin","animal","naive","notEnglish",0
"128",7,"YH","elephant","animal","naive","notEnglish",0.6931472
"129",6,"YH","pig","animal","naive","notEnglish",2.7725887
"130",4,"YH","magpie","animal","naive","notEnglish",0
"131",2,"YH","mustard","plant","naive","notEnglish",0
"132",7,"YH","reindeer","animal","naive","notEnglish",0
"133",2,"YH","wasp","animal","naive","notEnglish",1.3862944
"134",2,"YH","mouse","animal","naive","notEnglish",1.9459101
"135",2,"YH","olive","plant","naive","notEnglish",1.0986123
"136",6,"YH","sheep","animal","naive","notEnglish",2.3025851
"137",4,"YH","paprika","plant","naive","notEnglish",0
"138",3,"YH","avocado","plant","naive","notEnglish",0
"139",6,"YH","donkey","animal","naive","notEnglish",0
"140",3,"YH","eggplant","plant","naive","notEnglish",0
"141",3,"YH","carrot","plant","naive","notEnglish",0.6931472
"142",3,"YH","cat","animal","naive","notEnglish",2.7725887
"143",5,"YH","dog","animal","naive","notEnglish",3.1354942
"144",2,"YH","almond","plant","naive","notEnglish",0
"145",3,"YH","apple","plant","naive","notEnglish",1.0986123
"146",4,"YH","lettuce","plant","naive","notEnglish",0
"147",2,"YH","strawberry","plant","naive","notEnglish",0
"148",2,"YH","lemon","plant","naive","notEnglish",0.6931472
"149",1,"YH","walnut","plant","naive","notEnglish",0
"150",2,"YH","blackberry","plant","naive","notEnglish",0.6931472
"151",4,"YH","gull","animal","naive","notEnglish",1.6094379
"152",3,"YH","clove","plant","naive","notEnglish",0
"153",4,"YH","gherkin","plant","naive","notEnglish",0
"154",6,"YH","fox","animal","naive","notEnglish",1.7917595
"155",5,"YH","pineapple","plant","naive","notEnglish",0
"156",1,"YH","cherry","plant","naive","notEnglish",0.6931472
"157",3,"YH","tomato","plant","naive","notEnglish",0
"158",6,"YH","goat","animal","naive","notEnglish",1.9459101
"159",5,"YH","eagle","animal","naive","notEnglish",1.0986123
"160",4,"YH","tortoise","animal","naive","notEnglish",0
"161",3,"YH","kiwi","plant","naive","notEnglish",0
"162",3,"YH","squirrel","animal","naive","notEnglish",0
"163",2,"MtG","squid","animal","naive","English",0
"164",3,"MtG","pear","plant","naive","English",0
"165",2,"MtG","asparagus","plant","naive","English",0
"166",2,"MtG","leek","plant","naive","English",0
"167",5,"MtG","donkey","animal","naive","English",0
"168",4,"MtG","pigeon","animal","naive","English",1.0986123
"169",3,"MtG","eagle","animal","naive","English",1.0986123
"170",3,"MtG","squirrel","animal","naive","English",0
"171",3,"MtG","woodpecker","animal","naive","English",0
"172",2,"MtG","bunny","animal","naive","English",0
"173",4,"MtG","fox","animal","naive","English",1.7917595
"174",5,"MtG","sheep","animal","naive","English",2.3025851
"175",7,"MtG","shark","animal","naive","English",0.6931472
"176",2,"MtG","badger","animal","naive","English",0.6931472
"177",7,"MtG","moose","animal","naive","English",0
"178",2,"MtG","radish","plant","naive","English",0.6931472
"179",1,"MtG","cherry","plant","naive","English",0.6931472
"180",3,"MtG","tortoise","animal","naive","English",0
"181",2,"MtG","mouse","animal","naive","English",1.9459101
"182",4,"MtG","pineapple","plant","naive","English",0
"183",7,"MtG","whale","animal","naive","English",1.0986123
"184",1,"MtG","ant","animal","naive","English",1.3862944
"185",2,"MtG","wasp","animal","naive","English",1.3862944
"186",3,"MtG","goose","animal","naive","English",1.7917595
"187",2,"MtG","orange","plant","naive","English",1.3862944
"188",2,"MtG","paprika","plant","naive","English",0
"189",1,"MtG","blueberry","plant","naive","English",0
"190",2,"MtG","eggplant","plant","naive","English",0
"191",3,"MtG","chicken","animal","naive","English",1.0986123
"192",3,"MtG","gull","animal","naive","English",1.6094379
"193",1,"MtG","butterfly","animal","naive","English",0
"194",4,"MtG","goat","animal","naive","English",1.9459101
"195",2,"MtG","lemon","plant","naive","English",0.6931472
"196",1,"MtG","walnut","plant","naive","English",0
"197",3,"MtG","snake","animal","naive","English",1.6094379
"198",5,"MtG","pig","animal","naive","English",2.7725887
"199",6,"MtG","crocodile","animal","naive","English",0
"200",3,"MtG","melon","plant","naive","English",1.0986123
"201",3,"MtG","owl","animal","naive","English",1.3862944
"202",3,"MtG","lettuce","plant","naive","English",0
"203",7,"MtG","horse","animal","naive","English",3.3322045
"204",2,"MtG","frog","animal","naive","English",2.0794415
"205",2,"MtG","carrot","plant","naive","English",0.6931472
"206",1,"MtG","hedgehog","animal","naive","English",0
"207",7,"MtG","camel","animal","naive","English",0.6931472
"208",3,"MtG","kiwi","plant","naive","English",0
"209",3,"MtG","gherkin","plant","naive","English",0
"210",1,"MtG","olive","plant","naive","English",1.0986123
"211",2,"MtG","beetroot","plant","naive","English",0
"212",1,"MtG","almond","plant","naive","English",0
"213",1,"MtG","grape","plant","naive","English",1.0986123
"214",3,"MtG","broccoli","plant","naive","English",0
"215",1,"MtG","peanut","plant","naive","English",0.6931472
"216",1,"MtG","bee","animal","naive","English",1.7917595
"217",4,"MtG","swan","animal","naive","English",1.3862944
"218",2,"MtG","strawberry","plant","naive","English",0
"219",2,"MtG","potato","plant","naive","English",0
"220",2,"MtG","cucumber","plant","naive","English",0
"221",6,"MtG","dolphin","animal","naive","English",0
"222",4,"MtG","cat","animal","naive","English",2.7725887
"223",2,"MtG","apricot","plant","naive","English",0
"224",1,"MtG","spider","animal","naive","English",0.6931472
"225",3,"MtG","dog","animal","naive","English",3.1354942
"226",1,"MtG","mustard","plant","naive","English",0
"227",1,"MtG","mole","animal","naive","English",1.0986123
"228",2,"MtG","apple","plant","naive","English",1.0986123
"229",1,"MtG","blackberry","plant","naive","English",0.6931472
"230",4,"MtG","beaver","animal","naive","English",0
"231",2,"MtG","tomato","plant","naive","English",0
"232",5,"MtG","vulture","animal","naive","English",0
"233",6,"MtG","reindeer","animal","naive","English",0
"234",1,"MtG","clove","plant","naive","English",0
"235",2,"MtG","banana","plant","naive","English",0
"236",3,"MtG","magpie","animal","naive","English",0
"237",1,"MtG","bat","animal","naive","English",2.1972246
"238",7,"MtG","elephant","animal","naive","English",0.6931472
"239",3,"MtG","avocado","plant","naive","English",0
"240",4,"MtG","monkey","animal","naive","English",0
"241",6,"MtG","lion","animal","naive","English",1.0986123
"242",5,"MtG","stork","animal","naive","English",0
"243",1,"MtG","mushroom","plant","naive","English",0.6931472
"244",2,"Sa1","frog","animal","naive","English",2.0794415
"245",2,"Sa1","beetroot","plant","naive","English",0
"246",3,"Sa1","leek","plant","naive","English",0
"247",4,"Sa1","owl","animal","naive","English",1.3862944
"248",1,"Sa1","peanut","plant","naive","English",0.6931472
"249",2,"Sa1","walnut","plant","naive","English",0
"250",3,"Sa1","apple","plant","naive","English",1.0986123
"251",2,"Sa1","spider","animal","naive","English",0.6931472
"252",4,"Sa1","swan","animal","naive","English",1.3862944
"253",3,"Sa1","butterfly","animal","naive","English",0
"254",5,"Sa1","goat","animal","naive","English",1.9459101
"255",4,"Sa1","fox","animal","naive","English",1.7917595
"256",2,"Sa1","melon","plant","naive","English",1.0986123
"257",6,"Sa1","donkey","animal","naive","English",0
"258",2,"Sa1","asparagus","plant","naive","English",0
"259",3,"Sa1","pigeon","animal","naive","English",1.0986123
"260",3,"Sa1","bunny","animal","naive","English",0
"261",2,"Sa1","clove","plant","naive","English",0
"262",1,"Sa1","paprika","plant","naive","English",0
"263",2,"Sa1","olive","plant","naive","English",1.0986123
"264",6,"Sa1","horse","animal","naive","English",3.3322045
"265",2,"Sa1","pineapple","plant","naive","English",0
"266",7,"Sa1","moose","animal","naive","English",0
"267",2,"Sa1","banana","plant","naive","English",0
"268",2,"Sa1","lemon","plant","naive","English",0.6931472
"269",7,"Sa1","lion","animal","naive","English",1.0986123
"270",4,"Sa1","pig","animal","naive","English",2.7725887
"271",2,"Sa1","grape","plant","naive","English",1.0986123
"272",3,"Sa1","pear","plant","naive","English",0
"273",3,"Sa1","mustard","plant","naive","English",0
"274",1,"Sa1","ant","animal","naive","English",1.3862944
"275",2,"Sa1","wasp","animal","naive","English",1.3862944
"276",5,"Sa1","sheep","animal","naive","English",2.3025851
"277",3,"Sa1","woodpecker","animal","naive","English",0
"278",2,"Sa1","orange","plant","naive","English",1.3862944
"279",4,"Sa1","vulture","animal","naive","English",0
"280",2,"Sa1","strawberry","plant","naive","English",0
"281",5,"Sa1","dog","animal","naive","English",3.1354942
"282",4,"Sa1","chicken","animal","naive","English",1.0986123
"283",2,"Sa1","mushroom","plant","naive","English",0.6931472
"284",4,"Sa1","monkey","animal","naive","English",0
"285",2,"Sa1","tomato","plant","naive","English",0
"286",3,"Sa1","mole","animal","naive","English",1.0986123
"287",3,"Sa1","badger","animal","naive","English",0.6931472
"288",2,"Sa1","potato","plant","naive","English",0
"289",3,"Sa1","snake","animal","naive","English",1.6094379
"290",6,"Sa1","camel","animal","naive","English",0.6931472
"291",2,"Sa1","radish","plant","naive","English",0.6931472
"292",3,"Sa1","magpie","animal","naive","English",0
"293",2,"Sa1","mouse","animal","naive","English",1.9459101
"294",3,"Sa1","gull","animal","naive","English",1.6094379
"295",5,"Sa1","crocodile","animal","naive","English",0
"296",1,"Sa1","bee","animal","naive","English",1.7917595
"297",1,"Sa1","almond","plant","naive","English",0
"298",3,"Sa1","broccoli","plant","naive","English",0
"299",2,"Sa1","carrot","plant","naive","English",0.6931472
"300",2,"Sa1","gherkin","plant","naive","English",0
"301",5,"Sa1","shark","animal","naive","English",0.6931472
"302",2,"Sa1","avocado","plant","naive","English",0
"303",1,"Sa1","blueberry","plant","naive","English",0
"304",4,"Sa1","dolphin","animal","naive","English",0
"305",3,"Sa1","cat","animal","naive","English",2.7725887
"306",3,"Sa1","beaver","animal","naive","English",0
"307",7,"Sa1","elephant","animal","naive","English",0.6931472
"308",2,"Sa1","apricot","plant","naive","English",0
"309",3,"Sa1","tortoise","animal","naive","English",0
"310",3,"Sa1","goose","animal","naive","English",1.7917595
"311",3,"Sa1","squid","animal","naive","English",0
"312",2,"Sa1","lettuce","plant","naive","English",0
"313",2,"Sa1","squirrel","animal","naive","English",0
"314",1,"Sa1","cherry","plant","naive","English",0.6931472
"315",7,"Sa1","whale","animal","naive","English",1.0986123
"316",4,"Sa1","eagle","animal","naive","English",1.0986123
"317",2,"Sa1","eggplant","plant","naive","English",0
"318",2,"Sa1","hedgehog","animal","naive","English",0
"319",3,"Sa1","kiwi","plant","naive","English",0
"320",2,"Sa1","bat","animal","naive","English",2.1972246
"321",1,"Sa1","blackberry","plant","naive","English",0.6931472
"322",4,"Sa1","stork","animal","naive","English",0
"323",5,"Sa1","reindeer","animal","naive","English",0
"324",2,"Sa1","cucumber","plant","naive","English",0
"325",6,"Me","donkey","animal","naive","English",0
"326",1,"Me","wasp","animal","naive","English",1.3862944
"327",3,"Me","cat","animal","naive","English",2.7725887
"328",1,"Me","peanut","plant","naive","English",0.6931472
"329",3,"Me","bat","animal","naive","English",2.1972246
"330",3,"Me","swan","animal","naive","English",1.3862944
"331",4,"Me","pig","animal","naive","English",2.7725887
"332",1,"Me","blackberry","plant","naive","English",0.6931472
"333",6,"Me","lion","animal","naive","English",1.0986123
"334",2,"Me","tomato","plant","naive","English",0
"335",6,"Me","camel","animal","naive","English",0.6931472
"336",7,"Me","elephant","animal","naive","English",0.6931472
"337",2,"Me","carrot","plant","naive","English",0.6931472
"338",2,"Me","woodpecker","animal","naive","English",0
"339",1,"Me","blueberry","plant","naive","English",0
"340",2,"Me","radish","plant","naive","English",0.6931472
"341",2,"Me","potato","plant","naive","English",0
"342",1,"Me","bee","animal","naive","English",1.7917595
"343",6,"Me","crocodile","animal","naive","English",0
"344",2,"Me","broccoli","plant","naive","English",0
"345",1,"Me","cherry","plant","naive","English",0.6931472
"346",1,"Me","grape","plant","naive","English",1.0986123
"347",6,"Me","horse","animal","naive","English",3.3322045
"348",3,"Me","goose","animal","naive","English",1.7917595
"349",2,"Me","mole","animal","naive","English",1.0986123
"350",2,"Me","leek","plant","naive","English",0
"351",3,"Me","gull","animal","naive","English",1.6094379
"352",2,"Me","gherkin","plant","naive","English",0
"353",2,"Me","orange","plant","naive","English",1.3862944
"354",5,"Me","reindeer","animal","naive","English",0
"355",2,"Me","mouse","animal","naive","English",1.9459101
"356",1,"Me","butterfly","animal","naive","English",0
"357",4,"Me","monkey","animal","naive","English",0
"358",3,"Me","pineapple","plant","naive","English",0
"359",2,"Me","mustard","plant","naive","English",0
"360",4,"Me","snake","animal","naive","English",1.6094379
"361",5,"Me","stork","animal","naive","English",0
"362",2,"Me","beetroot","plant","naive","English",0
"363",6,"Me","shark","animal","naive","English",0.6931472
"364",4,"Me","magpie","animal","naive","English",0
"365",2,"Me","cucumber","plant","naive","English",0
"366",3,"Me","owl","animal","naive","English",1.3862944
"367",2,"Me","apricot","plant","naive","English",0
"368",4,"Me","beaver","animal","naive","English",0
"369",2,"Me","lemon","plant","naive","English",0.6931472
"370",1,"Me","walnut","plant","naive","English",0
"371",5,"Me","goat","animal","naive","English",1.9459101
"372",5,"Me","fox","animal","naive","English",1.7917595
"373",6,"Me","moose","animal","naive","English",0
"374",5,"Me","dolphin","animal","naive","English",0
"375",1,"Me","ant","animal","naive","English",1.3862944
"376",4,"Me","hedgehog","animal","naive","English",0
"377",5,"Me","eagle","animal","naive","English",1.0986123
"378",5,"Me","sheep","animal","naive","English",2.3025851
"379",3,"Me","frog","animal","naive","English",2.0794415
"380",7,"Me","whale","animal","naive","English",1.0986123
"381",6,"Me","vulture","animal","naive","English",0
"382",2,"Me","avocado","plant","naive","English",0
"383",1,"Me","olive","plant","naive","English",1.0986123
"384",4,"Me","squid","animal","naive","English",0
"385",4,"Me","chicken","animal","naive","English",1.0986123
"386",3,"Me","mushroom","plant","naive","English",0.6931472
"387",2,"Me","strawberry","plant","naive","English",0
"388",4,"Me","lettuce","plant","naive","English",0
"389",4,"Me","badger","animal","naive","English",0.6931472
"390",3,"Me","pear","plant","naive","English",0
"391",1,"Me","paprika","plant","naive","English",0
"392",1,"Me","clove","plant","naive","English",0
"393",3,"Me","eggplant","plant","naive","English",0
"394",2,"Me","apple","plant","naive","English",1.0986123
"395",4,"Me","squirrel","animal","naive","English",0
"396",2,"Me","spider","animal","naive","English",0.6931472
"397",4,"Me","dog","animal","naive","English",3.1354942
"398",2,"Me","melon","plant","naive","English",1.0986123
"399",1,"Me","almond","plant","naive","English",0
"400",3,"Me","asparagus","plant","naive","English",0
"401",4,"Me","kiwi","plant","naive","English",0
"402",3,"Me","banana","plant","naive","English",0
"403",4,"Me","bunny","animal","naive","English",0
"404",4,"Me","tortoise","animal","naive","English",0
"405",4,"Me","pigeon","animal","naive","English",1.0986123
"406",3,"Ni","goose","animal","naive","notEnglish",1.7917595
"407",2,"Ni","magpie","animal","naive","notEnglish",0
"408",1,"Ni","lemon","plant","naive","notEnglish",0.6931472
"409",2,"Ni","snake","animal","naive","notEnglish",1.6094379
"410",1,"Ni","olive","plant","naive","notEnglish",1.0986123
"411",3,"Ni","tortoise","animal","naive","notEnglish",0
"412",1,"Ni","gherkin","plant","naive","notEnglish",0
"413",3,"Ni","dolphin","animal","naive","notEnglish",0
"414",1,"Ni","chicken","animal","naive","notEnglish",1.0986123
"415",4,"Ni","sheep","animal","naive","notEnglish",2.3025851
"416",2,"Ni","eggplant","plant","naive","notEnglish",0
"417",1,"Ni","ant","animal","naive","notEnglish",1.3862944
"418",1,"Ni","carrot","plant","naive","notEnglish",0.6931472
"419",2,"Ni","pigeon","animal","naive","notEnglish",1.0986123
"420",1,"Ni","paprika","plant","naive","notEnglish",0
"421",1,"Ni","spider","animal","naive","notEnglish",0.6931472
"422",2,"Ni","owl","animal","naive","notEnglish",1.3862944
"423",6,"Ni","shark","animal","naive","notEnglish",0.6931472
"424",1,"Ni","blackberry","plant","naive","notEnglish",0.6931472
"425",6,"Ni","reindeer","animal","naive","notEnglish",0
"426",1,"Ni","bat","animal","naive","notEnglish",2.1972246
"427",4,"Ni","fox","animal","naive","notEnglish",1.7917595
"428",1,"Ni","tomato","plant","naive","notEnglish",0
"429",1,"Ni","walnut","plant","naive","notEnglish",0
"430",2,"Ni","mouse","animal","naive","notEnglish",1.9459101
"431",1,"Ni","asparagus","plant","naive","notEnglish",0
"432",1,"Ni","kiwi","plant","naive","notEnglish",0
"433",1,"Ni","mushroom","plant","naive","notEnglish",0.6931472
"434",1,"Ni","peanut","plant","naive","notEnglish",0.6931472
"435",2,"Ni","bunny","animal","naive","notEnglish",0
"436",1,"Ni","mole","animal","naive","notEnglish",1.0986123
"437",2,"Ni","pineapple","plant","naive","notEnglish",0
"438",1,"Ni","bee","animal","naive","notEnglish",1.7917595
"439",2,"Ni","gull","animal","naive","notEnglish",1.6094379
"440",2,"Ni","cucumber","plant","naive","notEnglish",0
"441",1,"Ni","clove","plant","naive","notEnglish",0
"442",1,"Ni","butterfly","animal","naive","notEnglish",0
"443",2,"Ni","squirrel","animal","naive","notEnglish",0
"444",3,"Ni","goat","animal","naive","notEnglish",1.9459101
"445",3,"Ni","eagle","animal","naive","notEnglish",1.0986123
"446",4,"Ni","horse","animal","naive","notEnglish",3.3322045
"447",1,"Ni","radish","plant","naive","notEnglish",0.6931472
"448",1,"Ni","frog","animal","naive","notEnglish",2.0794415
"449",4,"Ni","camel","animal","naive","notEnglish",0.6931472
"450",2,"Ni","pear","plant","naive","notEnglish",0
"451",1,"Ni","badger","animal","naive","notEnglish",0.6931472
"452",2,"Ni","monkey","animal","naive","notEnglish",0
"453",1,"Ni","orange","plant","naive","notEnglish",1.3862944
"454",3,"Ni","mustard","plant","naive","notEnglish",0
"455",1,"Ni","cherry","plant","naive","notEnglish",0.6931472
"456",7,"Ni","whale","animal","naive","notEnglish",1.0986123
"457",1,"Ni","leek","plant","naive","notEnglish",0
"458",1,"Ni","wasp","animal","naive","notEnglish",1.3862944
"459",3,"Ni","cat","animal","naive","notEnglish",2.7725887
"460",4,"Ni","vulture","animal","naive","notEnglish",0
"461",2,"Ni","apple","plant","naive","notEnglish",1.0986123
"462",2,"Ni","banana","plant","naive","notEnglish",0
"463",2,"Ni","avocado","plant","naive","notEnglish",0
"464",3,"Ni","dog","animal","naive","notEnglish",3.1354942
"465",2,"Ni","beetroot","plant","naive","notEnglish",0
"466",1,"Ni","almond","plant","naive","notEnglish",0
"467",2,"Ni","hedgehog","animal","naive","notEnglish",0
"468",3,"Ni","swan","animal","naive","notEnglish",1.3862944
"469",1,"Ni","blueberry","plant","naive","notEnglish",0
"470",5,"Ni","crocodile","animal","naive","notEnglish",0
"471",6,"Ni","moose","animal","naive","notEnglish",0
"472",2,"Ni","broccoli","plant","naive","notEnglish",0
"473",4,"Ni","pig","animal","naive","notEnglish",2.7725887
"474",4,"Ni","stork","animal","naive","notEnglish",0
"475",2,"Ni","apricot","plant","naive","notEnglish",0
"476",3,"Ni","donkey","animal","naive","notEnglish",0
"477",1,"Ni","grape","plant","naive","notEnglish",1.0986123
"478",2,"Ni","melon","plant","naive","notEnglish",1.0986123
"479",5,"Ni","lion","animal","naive","notEnglish",1.0986123
"480",7,"Ni","elephant","animal","naive","notEnglish",0.6931472
"481",2,"Ni","beaver","animal","naive","notEnglish",0
"482",1,"Ni","woodpecker","animal","naive","notEnglish",0
"483",1,"Ni","potato","plant","naive","notEnglish",0
"484",1,"Ni","lettuce","plant","naive","notEnglish",0
"485",1,"Ni","strawberry","plant","naive","notEnglish",0
"486",4,"Ni","squid","animal","naive","notEnglish",0
"487",2,"To","spider","animal","naive","English",0.6931472
"488",4,"To","melon","plant","naive","English",1.0986123
"489",3,"To","banana","plant","naive","English",0
"490",3,"To","badger","animal","naive","English",0.6931472
"491",2,"To","butterfly","animal","naive","English",0
"492",3,"To","pigeon","animal","naive","English",1.0986123
"493",2,"To","grape","plant","naive","English",1.0986123
"494",3,"To","broccoli","plant","naive","English",0
"495",3,"To","woodpecker","animal","naive","English",0
"496",4,"To","squid","animal","naive","English",0
"497",3,"To","swan","animal","naive","English",1.3862944
"498",2,"To","mushroom","plant","naive","English",0.6931472
"499",3,"To","asparagus","plant","naive","English",0
"500",3,"To","goose","animal","naive","English",1.7917595
"501",4,"To","vulture","animal","naive","English",0
"502",3,"To","bunny","animal","naive","English",0
"503",4,"To","lion","animal","naive","English",1.0986123
"504",3,"To","leek","plant","naive","English",0
"505",3,"To","mole","animal","naive","English",1.0986123
"506",2,"To","beetroot","plant","naive","English",0
"507",2,"To","frog","animal","naive","English",2.0794415
"508",4,"To","moose","animal","naive","English",0
"509",3,"To","stork","animal","naive","English",0
"510",3,"To","hedgehog","animal","naive","English",0
"511",5,"To","shark","animal","naive","English",0.6931472
"512",3,"To","pear","plant","naive","English",0
"513",3,"To","radish","plant","naive","English",0.6931472
"514",4,"To","horse","animal","naive","English",3.3322045
"515",3,"To","owl","animal","naive","English",1.3862944
"516",2,"To","apricot","plant","naive","English",0
"517",3,"To","snake","animal","naive","English",1.6094379
"518",2,"To","bee","animal","naive","English",1.7917595
"519",2,"To","blueberry","plant","naive","English",0
