"","Word","Onset1Type","Onset2Type","VowelType","ConsonantType","Obstruent","Nsyll","Stress","Voice"
"40","huls","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"41","kruis","Obstruent","Sonorant","long","None","S",1,"F","voiceless"
"42","zwaard","Obstruent","Sonorant","long","Sonorant","T",1,"F","voiced"
"43","kazemat","None","Sonorant","short","None","T",3,"A","voiceless"
"44","pons","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"45","crypt","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"46","waad","None","Sonorant","long","None","T",1,"F","voiced"
"47","vuist","None","Obstruent","long","Obstruent","T",1,"F","voiceless"
"48","rib","None","Sonorant","short","None","P",1,"F","voiced"
"49","lathyrus","None","Sonorant","short","None","S",3,"P","voiceless"
"50","kef","None","Obstruent","short","None","F",1,"F","voiceless"
"51","bleet","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"52","sloof","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"53","bots","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"54","zorg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"55","witz","None","Sonorant","iuy","Obstruent","S",1,"F","voiceless"
"56","lig","None","Sonorant","short","None","X",1,"F","voiced"
"57","pijp","None","Obstruent","long","None","P",1,"F","voiceless"
"58","vers","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"59","beits","None","Obstruent","long","Obstruent","S",1,"F","voiceless"
"60","schots","Obstruent","Obstruent","short","Obstruent","S",1,"F","voiceless"
"61","slecht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"62","glip","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"63","huid","None","Obstruent","long","None","T",1,"F","voiced"
"64","hup","None","Obstruent","short","None","P",1,"F","voiceless"
"65","veest","None","Obstruent","long","Obstruent","T",1,"F","voiceless"
"66","mens","None","Sonorant","short","Sonorant","S",1,"F","voiceless"
"67","rag","None","Sonorant","short","None","X",1,"F","voiced"
"68","mud","None","Sonorant","short","None","T",1,"F","voiced"
"69","plets","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"70","voos","None","Obstruent","long","None","S",1,"F","voiced"
"71","stap","Obstruent","Obstruent","short","None","P",1,"F","voiceless"
"72","gnuif","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"73","leest","None","Sonorant","long","Obstruent","T",1,"F","voiceless"
"74","terras","None","Sonorant","short","None","S",1,"F","voiceless"
"75","miss","None","Sonorant","short","None","S",1,"F","voiceless"
"76","blaf","Obstruent","Sonorant","short","None","F",1,"F","voiceless"
"77","troef","Obstruent","Sonorant","iuy","None","F",1,"F","voiced"
"78","ploeg","Obstruent","Sonorant","iuy","None","X",1,"F","voiced"
"79","flip","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"80","rex","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"81","glijd","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"82","bandiet","None","Obstruent","iuy","None","T",2,"F","voiceless"
"83","rijd","None","Sonorant","long","None","T",1,"F","voiced"
"84","paradox","None","Obstruent","short","Obstruent","S",3,"F","voiceless"
"85","miljard","None","Sonorant","short","Sonorant","T",2,"F","voiced"
"86","aap","None","None","long","None","P",1,"F","voiceless"
"87","aard","None","None","long","Sonorant","T",1,"F","voiced"
"88","splits","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"89","kruid","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"90","grens","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"91","nop","None","Sonorant","short","None","P",1,"F","voiceless"
"92","borst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"93","rand","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"94","sloot","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"95","nix","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"96","koud","None","Obstruent","long","None","T",1,"F","voiced"
"97","smaragd","None","Sonorant","short","Obstruent","T",2,"F","voiced"
"98","poes","None","Obstruent","iuy","None","S",1,"F","voiced"
"99","smacht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"100","schoep","Obstruent","Obstruent","iuy","None","P",1,"F","voiceless"
"101","stoof","Obstruent","Obstruent","long","None","F",1,"F","voiced"
"102","drijf","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"103","naast","None","Sonorant","long","Obstruent","T",1,"F","voiceless"
"104","mos","None","Sonorant","short","None","S",1,"F","voiceless"
"105","taart","None","Obstruent","long","Sonorant","T",1,"F","voiceless"
"106","lans","None","Sonorant","short","Sonorant","S",1,"F","voiceless"
"107","mus","None","Sonorant","short","None","S",1,"F","voiceless"
"108","knoert","Obstruent","Sonorant","iuy","Sonorant","T",1,"F","voiceless"
"109","amethist","None","Obstruent","short","Obstruent","T",3,"F","voiceless"
"110","balg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"111","sneb","Obstruent","Sonorant","short","None","P",1,"F","voiced"
"112","sprint","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"113","neig","None","Sonorant","long","None","X",1,"F","voiced"
"114","plaag","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"115","peins","None","Obstruent","long","Sonorant","S",1,"F","voiced"
"116","naald","None","Sonorant","long","Sonorant","T",1,"F","voiced"
"117","weid","None","Sonorant","long","None","T",1,"F","voiced"
"118","advocaat","None","Obstruent","long","None","T",3,"F","voiceless"
"119","kus","None","Obstruent","short","None","S",1,"F","voiceless"
"120","kwint","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"121","duig","None","Obstruent","long","None","X",1,"F","voiced"
"122","stuip","Obstruent","Obstruent","long","None","P",1,"F","voiceless"
"123","bard","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"124","katapult","None","Obstruent","short","Sonorant","T",3,"F","voiceless"
"125","poort","None","Obstruent","long","Sonorant","T",1,"F","voiceless"
"126","schut","Obstruent","Obstruent","short","None","T",1,"F","voiceless"
"127","pont","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"128","doft","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"129","scheut","Obstruent","Obstruent","long","None","T",1,"F","voiceless"
"130","giraf","None","Sonorant","short","None","F",2,"F","voiceless"
"131","snoef","Obstruent","Sonorant","iuy","None","F",1,"F","voiced"
"132","schaf","Obstruent","Obstruent","short","None","F",1,"F","voiceless"
"133","luid","None","Sonorant","long","None","T",1,"F","voiced"
"134","s","None","None","short","None","S",1,"F","voiceless"
"135","dros","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"136","alt","None","None","short","Sonorant","T",1,"F","voiceless"
"137","kwart","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"138","lease","None","Sonorant","iuy","None","S",1,"F","voiced"
"139","jaloers","None","Sonorant","iuy","Sonorant","S",2,"F","voiceless"
"140","tjilp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"141","zijp","None","Obstruent","long","None","P",1,"F","voiceless"
"142","reg","None","Sonorant","short","None","X",1,"F","voiced"
"143","suis","None","Obstruent","long","None","S",1,"F","voiced"
"144","pens","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"145","aars","None","None","long","Sonorant","S",1,"F","voiced"
"146","sjilp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"147","grap","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"148","sap","None","Obstruent","short","None","P",1,"F","voiceless"
"149","scherts","Obstruent","Obstruent","short","Obstruent","S",1,"F","voiceless"
"150","loos","None","Sonorant","long","None","S",1,"F","voiced"
"151","terg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"152","deins","None","Obstruent","long","Sonorant","S",1,"F","voiced"
"153","pleeg","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"154","proef","Obstruent","Sonorant","iuy","None","F",1,"F","voiced"
"155","groet","Obstruent","Sonorant","iuy","None","T",1,"F","voiceless"
"156","voord","None","Obstruent","long","Sonorant","T",1,"F","voiced"
"157","los","None","Sonorant","short","None","S",1,"F","voiceless"
"158","strot","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"159","pers","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"160","fit","None","Obstruent","short","None","T",1,"F","voiceless"
"161","toef","None","Obstruent","iuy","None","F",1,"F","voiced"
"162","paars","None","Obstruent","long","Sonorant","S",1,"F","voiceless"
"163","klimaat","None","Sonorant","long","None","T",2,"F","voiceless"
"164","lap","None","Sonorant","short","None","P",1,"F","voiceless"
"165","vernis","None","Sonorant","short","None","S",2,"F","voiceless"
"166","kuip","None","Obstruent","long","None","P",1,"F","voiceless"
"167","broed","Obstruent","Sonorant","iuy","None","T",1,"F","voiced"
"168","raas","None","Sonorant","long","None","S",1,"F","voiced"
"169","envelop","None","Sonorant","short","None","P",3,"F","voiceless"
"170","biljart","None","Sonorant","short","Sonorant","T",2,"F","voiceless"
"171","top","None","Obstruent","short","None","P",1,"F","voiceless"
"172","bres","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"173","hos","None","Obstruent","short","None","S",1,"F","voiceless"
"174","wreed","Sonorant","Sonorant","long","None","T",1,"F","voiced"
"175","sneep","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"176","buts","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"177","sticht","Obstruent","Obstruent","short","Obstruent","T",1,"F","voiceless"
"178","kners","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiceless"
"179","sus","None","Obstruent","short","None","S",1,"F","voiceless"
"180","soldaat","None","Obstruent","long","None","T",2,"F","voiceless"
"181","insekt","None","Obstruent","short","Obstruent","T",2,"F","voiceless"
"182","rop","None","Sonorant","short","None","P",1,"F","voiceless"
"183","des","None","Obstruent","short","None","S",1,"F","voiceless"
"184","flirt","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"185","vloed","Obstruent","Sonorant","iuy","None","T",1,"F","voiced"
"186","vors","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"187","heus","None","Obstruent","long","None","S",1,"F","voiceless"
"188","stift","Obstruent","Obstruent","short","Obstruent","T",1,"F","voiceless"
"189","munt","None","Sonorant","short","Sonorant","T",1,"F","voiceless"
"190","drost","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"191","flens","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiceless"
"192","spriet","Obstruent","Sonorant","iuy","None","T",1,"F","voiceless"
"193","schip","Obstruent","Obstruent","short","None","P",1,"F","voiceless"
"194","knop","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"195","spit","Obstruent","Obstruent","short","None","T",1,"F","voiceless"
"196","let","None","Sonorant","short","None","T",1,"F","voiceless"
"197","moot","None","Sonorant","long","None","T",1,"F","voiceless"
"198","acuut","None","Obstruent","iuy","None","T",2,"F","voiceless"
"199","soep","None","Obstruent","iuy","None","P",1,"F","voiceless"
"200","glad","Obstruent","Sonorant","short","None","T",1,"P","voiced"
"201","liflaf","None","Sonorant","short","None","F",2,"F","voiceless"
"202","hups","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"203","hond","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"204","teef","None","Obstruent","long","None","F",1,"F","voiced"
"205","rood","None","Sonorant","long","None","T",1,"F","voiced"
"206","graad","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"207","kneus","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"208","zwets","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"209","heep","None","Obstruent","long","None","P",1,"F","voiceless"
"210","terts","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"211","nip","None","Sonorant","short","None","P",1,"F","voiceless"
"212","vod","None","Obstruent","short","None","T",1,"F","voiced"
"213","bloot","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"214","split","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"215","knars","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiceless"
"216","vals","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"217","esp","None","None","short","Obstruent","P",1,"F","voiceless"
"218","wrijf","Sonorant","Sonorant","long","None","F",1,"F","voiced"
"219","lijp","None","Sonorant","long","None","P",1,"F","voiceless"
"220","hesp","None","Obstruent","short","Obstruent","P",1,"F","voiceless"
"221","slurf","Obstruent","Sonorant","short","Sonorant","F",1,"F","voiced"
"222","telg","None","Obstruent","short","Sonorant","X",1,"F","voiced"
"223","scheet","Obstruent","Obstruent","long","None","T",1,"F","voiceless"
"224","groef","Obstruent","Sonorant","iuy","None","F",1,"F","voiced"
"225","mout","None","Sonorant","long","None","T",1,"F","voiceless"
"226","toop","None","Obstruent","long","None","P",1,"F","voiceless"
"227","ananas","None","Sonorant","short","None","S",3,"A","voiceless"
"228","forens","None","Sonorant","short","Sonorant","S",2,"F","voiced"
"229","kift","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"230","treed","Obstruent","Sonorant","long","None","T",1,"F","voiced"
"231","vrind","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiced"
"232","majesteit","None","Obstruent","long","None","T",3,"A","voiceless"
"233","kets","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"234","fles","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"235","knies","Obstruent","Sonorant","iuy","None","S",1,"F","voiced"
"236","keurs","None","Obstruent","long","Sonorant","S",1,"F","voiceless"
"237","zeef","None","Obstruent","long","None","F",1,"F","voiced"
"238","huig","None","Obstruent","long","None","X",1,"F","voiced"
"239","zacht","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"240","doof","None","Obstruent","long","None","F",1,"F","voiced"
"241","gaaf","None","Obstruent","long","None","F",1,"F","voiced"
"242","tip","None","Obstruent","short","None","P",1,"F","voiceless"
"243","fix","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"244","sigaret","None","Sonorant","short","None","T",3,"F","voiceless"
"245","slab","Obstruent","Sonorant","short","None","P",1,"F","voiced"
"246","streef","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"247","sis","None","Obstruent","short","None","S",1,"F","voiceless"
"248","balans","None","Sonorant","short","Sonorant","S",2,"F","voiceless"
"249","strop","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"250","puls","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"251","elf","None","None","short","Sonorant","F",1,"F","voiced"
"252","baat","None","Obstruent","long","None","T",1,"F","voiceless"
"253","haat","None","Obstruent","long","None","T",1,"F","voiceless"
"254","vloot","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"255","tiet","None","Obstruent","iuy","None","T",1,"F","voiceless"
"256","oog","None","None","long","None","X",1,"F","voiced"
"257","stroop","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"258","pluis","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"259","vreet","Obstruent","Sonorant","long","None","T",1,"F","voiceless"
"260","lieg","None","Sonorant","iuy","None","X",1,"F","voiced"
"261","cement","None","Sonorant","short","Sonorant","T",2,"F","voiceless"
"262","nacht","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"263","red","None","Sonorant","short","None","T",1,"F","voiced"
"264","wrens","Sonorant","Sonorant","short","Sonorant","S",1,"F","voiceless"
"265","houd","None","Obstruent","long","None","T",1,"F","voiced"
"266","lood","None","Sonorant","long","None","T",1,"F","voiced"
"267","hut","None","Obstruent","short","None","T",1,"F","voiceless"
"268","tand","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"269","wet","None","Sonorant","short","None","T",1,"F","voiceless"
"270","dreg","Obstruent","Sonorant","short","None","X",1,"F","voiced"
"271","kies","None","Obstruent","iuy","None","S",1,"F","voiced"
"272","mees","None","Sonorant","long","None","S",1,"F","voiced"
"273","baars","None","Obstruent","long","Sonorant","S",1,"F","voiced"
"274","slot","Obstruent","Sonorant","short","None","T",1,"F","voiceless"
"275","rond","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"276","kroes","Obstruent","Sonorant","iuy","None","S",1,"F","voiced"
"277","frons","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"278","leeg","None","Sonorant","long","None","X",1,"F","voiced"
"279","karwats","None","Sonorant","short","Obstruent","S",2,"F","voiceless"
"280","kneep","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"281","dries","Obstruent","Sonorant","iuy","None","S",1,"F","voiceless"
"282","stunt","Obstruent","Obstruent","short","Sonorant","T",1,"F","voiceless"
"283","peut","None","Obstruent","long","None","T",1,"F","voiceless"
"284","krap","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"285","gist","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"286","pompelmoes","None","Sonorant","iuy","None","S",3,"A","voiced"
"287","deug","None","Obstruent","long","None","X",1,"F","voiced"
"288","geest","None","Obstruent","long","Obstruent","T",1,"F","voiceless"
"289","help","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"290","markt","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"291","klacht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"292","hijs","None","Obstruent","long","None","S",1,"F","voiceless"
"293","buks","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"294","tart","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"295","uit","None","None","long","None","T",1,"F","voiceless"
"296","hip","None","Obstruent","short","None","P",1,"F","voiceless"
"297","marionet","None","Sonorant","short","None","T",3,"F","voiceless"
"298","list","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"299","radijs","None","Obstruent","long","None","S",1,"F","voiced"
"300","pomp","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"301","tekst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"302","vijg","None","Obstruent","long","None","X",1,"F","voiced"
"303","accent","None","Obstruent","short","Sonorant","T",2,"F","voiceless"
"304","staf","Obstruent","Obstruent","short","None","F",1,"F","voiced"
"305","draaf","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"306","groep","Obstruent","Sonorant","iuy","None","P",1,"F","voiceless"
"307","vet","None","Obstruent","short","None","T",1,"F","voiceless"
"308","bast","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"309","hijg","None","Obstruent","long","None","X",1,"F","voiced"
"310","vroed","Obstruent","Sonorant","iuy","None","T",1,"F","voiced"
"311","biels","None","Obstruent","iuy","Sonorant","S",1,"F","voiced"
"312","piloot","None","Sonorant","long","None","T",2,"F","voiceless"
"313","duif","None","Obstruent","long","None","F",1,"F","voiced"
"314","slijp","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"315","rijf","None","Sonorant","long","None","F",1,"F","voiced"
"316","mast","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"317","twaalf","Obstruent","Sonorant","long","Sonorant","F",1,"F","voiced"
"318","schoft","Obstruent","Obstruent","short","Obstruent","T",1,"F","voiceless"
"319","huts","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"320","god","None","Obstruent","short","None","T",1,"F","voiced"
"321","boeket","None","Obstruent","short","None","T",2,"F","voiceless"
"322","hoofd","None","Obstruent","long","Obstruent","T",1,"F","voiced"
"323","rob","None","Sonorant","short","None","P",1,"F","voiced"
"324","droog","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"325","harst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"326","krijg","Obstruent","Sonorant","long","None","X",1,"F","voiced"
"327","sint","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"328","tromp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"329","schort","Obstruent","Obstruent","short","Sonorant","T",1,"F","voiceless"
"330","rijp","None","Sonorant","long","None","P",1,"F","voiceless"
"331","terp","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"332","gard","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"333","bont","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"334","serf","None","Obstruent","short","Sonorant","F",1,"F","voiced"
"335","lis","None","Sonorant","short","None","S",1,"F","voiceless"
"336","erf","None","None","short","Sonorant","F",1,"F","voiced"
"337","knoop","Obstruent","Sonorant","long","None","P",1,"F","voiceless"
"338","kut","None","Obstruent","short","None","T",1,"F","voiceless"
"339","schred","Obstruent","Sonorant","short","None","T",1,"F","voiced"
"340","tuis","None","Obstruent","long","None","S",1,"F","voiceless"
"341","esculaap","None","Sonorant","long","None","P",3,"F","voiceless"
"342","lid","None","Sonorant","short","None","T",1,"F","voiced"
"343","welf","None","Sonorant","short","Sonorant","F",1,"F","voiced"
"344","sop","None","Obstruent","short","None","P",1,"F","voiceless"
"345","ast","None","None","short","Obstruent","T",1,"F","voiceless"
"346","plof","Obstruent","Sonorant","short","None","F",1,"F","voiceless"
"347","niet","None","Sonorant","iuy","None","T",1,"F","voiceless"
"348","poef","None","Obstruent","iuy","None","F",1,"F","voiceless"
"349","geef","None","Obstruent","long","None","F",1,"F","voiced"
"350","matrijs","Obstruent","Sonorant","long","None","S",2,"F","voiced"
"351","noop","None","Sonorant","long","None","P",1,"F","voiceless"
"352","riks","None","Sonorant","short","Obstruent","S",1,"F","voiceless"
"353","woed","None","Sonorant","iuy","None","T",1,"F","voiced"
"354","keep","None","Obstruent","long","None","P",1,"F","voiceless"
"355","leid","None","Sonorant","long","None","T",1,"F","voiced"
"356","accijns","None","Obstruent","long","Sonorant","S",2,"F","voiced"
"357","sjans","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiceless"
"358","pop","None","Obstruent","short","None","P",1,"F","voiceless"
"359","aks","None","None","short","Obstruent","S",1,"F","voiceless"
"360","gisp","None","Obstruent","short","Obstruent","P",1,"F","voiceless"
"361","bet","None","Obstruent","short","None","T",1,"F","voiceless"
"362","wens","None","Sonorant","short","Sonorant","S",1,"F","voiceless"
"363","pand","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"364","koorts","None","Obstruent","long","Obstruent","S",1,"F","voiceless"
"365","horst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"366","tob","None","Obstruent","short","None","P",1,"F","voiced"
"367","duf","None","Obstruent","short","None","F",1,"F","voiceless"
"368","wroet","Sonorant","Sonorant","iuy","None","T",1,"F","voiceless"
"369","field","None","Obstruent","iuy","Sonorant","T",1,"F","voiced"
"370","ambt","None","None","short","Sonorant","T",1,"F","voiceless"
"371","plavuis","None","Obstruent","long","None","S",2,"F","voiced"
"372","schelf","Obstruent","Obstruent","short","Sonorant","F",1,"F","voiced"
"373","proost","Obstruent","Sonorant","long","Obstruent","T",1,"F","voiceless"
"374","zend","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"375","piep","None","Obstruent","iuy","None","P",1,"F","voiceless"
"376","zuip","None","Obstruent","long","None","P",1,"F","voiceless"
"377","slis","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"378","koog","None","Obstruent","long","None","X",1,"F","voiced"
"379","schicht","Obstruent","Obstruent","short","Obstruent","T",1,"F","voiceless"
"380","pief","None","Obstruent","iuy","None","F",1,"F","voiceless"
"381","dors","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"382","kornuit","None","Sonorant","long","None","T",2,"F","voiceless"
"383","elft","None","None","short","Obstruent","T",1,"F","voiceless"
"384","big","None","Obstruent","short","None","X",1,"F","voiced"
"385","fagot","None","Obstruent","short","None","T",2,"F","voiceless"
"386","omelet","None","Sonorant","short","None","T",3,"F","voiceless"
"387","roos","None","Sonorant","long","None","S",1,"F","voiced"
"388","slons","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"389","wild","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"390","scheef","Obstruent","Obstruent","long","None","F",1,"F","voiced"
"391","pact","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"392","hap","None","Obstruent","short","None","P",1,"F","voiceless"
"393","schrans","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"394","pats","None","Obstruent","short","Obstruent","S",1,"F","voiceless"
"395","vers","None","Obstruent","short","Sonorant","S",1,"F","voiced"
"396","put","None","Obstruent","short","None","T",1,"F","voiceless"
"397","type","None","Obstruent","iuy","None","P",1,"F","voiceless"
"398","claus","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"399","goed","None","Obstruent","iuy","None","T",1,"F","voiced"
"400","lies","None","Sonorant","iuy","None","S",1,"F","voiced"
"401","dreef","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"402","apparaat","None","Sonorant","long","None","T",3,"F","voiceless"
"403","fels","None","Obstruent","short","Sonorant","S",1,"F","voiceless"
"404","knecht","Obstruent","Sonorant","short","Obstruent","T",1,"F","voiceless"
"405","jut","None","Sonorant","short","None","T",1,"F","voiceless"
"406","trens","Obstruent","Sonorant","short","Sonorant","S",1,"F","voiced"
"407","brand","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiced"
