"","Frequency","SemanticClass"
"314",5,"transparent"
"315",130,"transparent"
"316",222,"transparent"
"317",27,"transparent"
"318",60,"transparent"
"319",12,"transparent"
"320",150,"transparent"
"321",55,"transparent"
"322",1002,"transparent"
"323",324,"transparent"
"324",726,"transparent"
"325",100,"transparent"
"326",2076,"transparent"
"327",426,"transparent"
"328",421,"transparent"
"329",1334,"transparent"
"330",2,"transparent"
"331",58,"transparent"
"332",2,"transparent"
"333",337,"transparent"
"334",1762,"transparent"
"335",93,"transparent"
"336",5189,"transparent"
"337",813,"transparent"
"338",703,"transparent"
"339",111,"transparent"
"340",189,"transparent"
"341",202,"transparent"
"342",14,"transparent"
"343",6,"transparent"
"344",59,"transparent"
"345",7,"transparent"
"346",61,"transparent"
"347",507,"transparent"
"348",8,"transparent"
"349",32,"transparent"
"350",357,"transparent"
"351",296,"transparent"
"352",8,"transparent"
"353",2,"transparent"
"354",95,"transparent"
"355",28,"transparent"
"356",7,"transparent"
"357",206,"transparent"
"358",23,"transparent"
"359",269,"transparent"
"360",40,"transparent"
"361",9,"transparent"
"362",405,"transparent"
"363",145,"transparent"
"364",6,"transparent"
"365",2,"transparent"
"366",27,"transparent"
"367",1,"transparent"
"368",46,"transparent"
"369",85,"transparent"
"370",29,"transparent"
"371",113,"transparent"
"372",68,"transparent"
"373",429,"transparent"
"374",3,"transparent"
"375",69,"transparent"
"376",2,"transparent"
"377",165,"transparent"
"378",464,"transparent"
"379",28,"transparent"
"380",1804,"transparent"
"381",4,"transparent"
"382",75,"transparent"
"383",169,"transparent"
"384",22,"transparent"
"385",270,"transparent"
"386",259,"transparent"
"387",10,"transparent"
"388",59,"transparent"
"389",16,"transparent"
"390",242,"transparent"
"391",6,"transparent"
"392",63,"transparent"
"393",477,"transparent"
"394",5,"transparent"
"395",15,"transparent"
"396",1,"transparent"
"397",445,"transparent"
"398",175,"transparent"
"399",297,"transparent"
"400",3,"transparent"
"401",22,"transparent"
"402",2,"transparent"
"403",359,"transparent"
"404",1,"transparent"
"405",18,"transparent"
"406",448,"transparent"
"407",11,"transparent"
"408",447,"transparent"
"409",4,"transparent"
"410",16,"transparent"
"411",8,"transparent"
"412",4,"transparent"
"413",28,"transparent"
"414",422,"transparent"
"415",1,"transparent"
"416",109,"transparent"
"417",9,"transparent"
"418",243,"transparent"
"419",6,"transparent"
"420",2,"transparent"
"421",171,"transparent"
"422",2,"transparent"
"423",71,"transparent"
"424",126,"transparent"
"425",509,"transparent"
"426",1,"transparent"
"427",2,"transparent"
"428",2,"transparent"
"429",1,"transparent"
"430",1,"transparent"
"431",1,"transparent"
"432",1,"transparent"
"433",1,"transparent"
"434",1,"transparent"
"435",1,"transparent"
"436",1,"transparent"
"437",1,"transparent"
"438",1,"transparent"
"439",1,"transparent"
"440",2,"transparent"
"441",1,"transparent"
"442",2,"transparent"
"443",1,"transparent"
"444",121,"transparent"
"445",41,"transparent"
"446",84,"transparent"
"447",7,"transparent"
"448",2,"transparent"
"449",1,"transparent"
"450",4,"transparent"
"451",1,"transparent"
"452",1,"transparent"
"453",1,"transparent"
"454",2,"transparent"
"455",1,"transparent"
"456",3,"transparent"
"457",1,"transparent"
"458",1,"transparent"
"459",1,"transparent"
"460",1,"transparent"
"461",51,"transparent"
"462",367,"transparent"
"463",125,"transparent"
"464",211,"transparent"
"465",17,"transparent"
"466",144,"transparent"
"467",1,"transparent"
"468",1,"transparent"
"469",1,"transparent"
"470",1,"transparent"
"471",3,"transparent"
"472",3,"transparent"
"473",7,"transparent"
"474",81,"transparent"
"475",130,"transparent"
"476",180,"transparent"
"477",1501,"transparent"
"478",6,"transparent"
"479",1,"transparent"
"480",407,"transparent"
"481",1166,"transparent"
"482",32,"transparent"
"483",1,"transparent"
"484",37,"transparent"
"485",8,"transparent"
"486",1,"transparent"
"487",1,"transparent"
"488",6,"transparent"
"489",1,"transparent"
"490",1,"transparent"
"491",52,"transparent"
"492",422,"transparent"
"493",2,"transparent"
"494",1,"transparent"
"495",72,"transparent"
"496",147,"transparent"
"497",153,"transparent"
"498",181,"transparent"
"499",1,"transparent"
"500",3,"transparent"
"501",35,"transparent"
"502",39,"transparent"
"503",81,"transparent"
"504",1650,"transparent"
"505",1,"transparent"
"506",24,"transparent"
"507",38,"transparent"
"508",3,"transparent"
"509",3,"transparent"
"510",1074,"transparent"
"511",1,"transparent"
"512",3,"transparent"
"513",8,"transparent"
"514",16,"transparent"
"515",56,"transparent"
"516",328,"transparent"
"517",593,"transparent"
"518",66,"transparent"
"519",357,"transparent"
"520",989,"transparent"
"521",1254,"transparent"
"522",2,"transparent"
"523",1,"transparent"
"524",1,"transparent"
"525",4285,"transparent"
"526",1,"transparent"
"527",12,"transparent"
"528",43,"transparent"
"529",1,"transparent"
"530",1,"transparent"
"531",3,"transparent"
"532",261,"transparent"
"533",2,"transparent"
"534",1,"transparent"
"535",8,"transparent"
"536",1,"transparent"
"537",1,"transparent"
"538",6,"transparent"
"539",3,"transparent"
"540",3,"transparent"
"541",5,"transparent"
"542",9,"transparent"
"543",10,"transparent"
"544",14,"transparent"
"545",38,"transparent"
"546",109,"transparent"
"547",166,"transparent"
"548",178,"transparent"
"549",247,"transparent"
"550",2,"transparent"
"551",1,"transparent"
"552",2,"transparent"
"553",115,"transparent"
"554",1,"transparent"
"555",92,"transparent"
"556",2,"transparent"
"557",7,"transparent"
"558",6,"transparent"
"559",1,"transparent"
"560",126,"transparent"
"561",8,"transparent"
"562",10,"transparent"
"563",1,"transparent"
"564",25,"transparent"
"565",51,"transparent"
"566",60,"transparent"
"567",1,"transparent"
"568",11,"transparent"
"569",140,"transparent"
"570",4,"transparent"
"571",145,"transparent"
"572",1,"transparent"
"573",1,"transparent"
"574",1,"transparent"
"575",49,"transparent"
"576",50,"transparent"
"577",603,"transparent"
"578",920,"transparent"
"579",444,"transparent"
"580",1,"transparent"
"581",1,"transparent"
"582",1,"transparent"
"583",5,"transparent"
"584",10,"transparent"
"585",9,"transparent"
"586",1,"transparent"
"587",25,"transparent"
"588",1,"transparent"
"589",35,"transparent"
"590",161,"transparent"
"591",271,"transparent"
"592",378,"transparent"
"593",200,"transparent"
"594",98,"transparent"
"595",1,"transparent"
"596",2,"transparent"
"597",1,"transparent"
"598",3,"transparent"
"599",2,"transparent"
"600",1,"transparent"
"601",2,"transparent"
"602",3,"transparent"
"603",6,"transparent"
"604",1,"transparent"
"605",6,"transparent"
"606",13,"transparent"
"607",14,"transparent"
"608",35,"transparent"
"609",46,"transparent"
"610",76,"transparent"
"611",5,"transparent"
"612",1,"transparent"
"613",1,"transparent"
"614",1,"transparent"
"615",1,"transparent"
"616",1,"transparent"
"617",1,"transparent"
"618",1,"transparent"
"619",5,"transparent"
"620",2,"transparent"
"621",1,"transparent"
"622",1,"transparent"
"623",2,"transparent"
"624",1,"transparent"
"625",1,"transparent"
"626",1,"transparent"
"627",1,"transparent"
"628",2,"transparent"
"629",3,"transparent"
"630",1,"transparent"
"631",2,"transparent"
"632",2,"transparent"
"633",1,"transparent"
"634",2,"transparent"
"635",1,"transparent"
"636",1,"transparent"
"637",1,"transparent"
"638",2,"transparent"
"639",1,"transparent"
"640",1,"transparent"
"641",1,"transparent"
"642",1,"transparent"
"643",2,"transparent"
"644",2,"transparent"
"645",43,"transparent"
"646",42,"transparent"
"647",28,"transparent"
"648",14,"transparent"
"649",2,"transparent"
"650",1,"transparent"
"651",1,"transparent"
"652",1,"transparent"
"653",1,"transparent"
"654",2,"transparent"
"655",1,"transparent"
"656",3,"transparent"
"657",1,"transparent"
"658",1,"transparent"
"659",1,"transparent"
"660",1,"transparent"
"661",1,"transparent"
"662",1,"transparent"
"663",4,"transparent"
"664",1,"transparent"
"665",1,"transparent"
"666",1,"transparent"
"667",1,"transparent"
"668",1,"transparent"
"669",1,"transparent"
"670",1,"transparent"
"671",2,"transparent"
"672",2,"transparent"
"673",77,"transparent"
"674",186,"transparent"
"675",36,"transparent"
"676",1,"transparent"
"677",1,"transparent"
"678",64,"transparent"
"679",46,"transparent"
"680",8,"transparent"
"681",9,"transparent"
"682",1,"transparent"
"683",2,"transparent"
"684",3,"transparent"
"685",56,"transparent"
"686",1,"transparent"
"687",5,"transparent"
"688",1,"transparent"
"689",11,"transparent"
"690",56,"transparent"
"691",44,"transparent"
"692",1,"transparent"
"693",1,"transparent"
"694",2,"transparent"
"695",1,"transparent"
"696",1,"transparent"
"697",1,"transparent"
"698",2,"transparent"
"699",2,"transparent"
"700",1,"transparent"
"701",3,"transparent"
"702",3,"transparent"
"703",4,"transparent"
"704",4,"transparent"
"705",8,"transparent"
"706",9,"transparent"
"707",10,"transparent"
"708",24,"transparent"
"709",22,"transparent"
"710",24,"transparent"
"711",42,"transparent"
"712",56,"transparent"
"713",155,"transparent"
"714",299,"transparent"
"715",804,"transparent"
"716",1265,"transparent"
"717",3,"transparent"
"718",1001,"transparent"
"719",1,"transparent"
"720",1,"transparent"
"721",4,"transparent"
"722",6,"transparent"
"723",10,"transparent"
"724",12,"transparent"
"725",18,"transparent"
"726",26,"transparent"
"727",32,"transparent"
"728",50,"transparent"
"729",77,"transparent"
"730",98,"transparent"
"731",107,"transparent"
"732",132,"transparent"
"733",150,"transparent"
"734",159,"transparent"
"735",499,"transparent"
"736",652,"transparent"
"737",775,"transparent"
"738",936,"transparent"
"739",1,"transparent"
"740",2,"transparent"
"741",1,"transparent"
"742",339,"transparent"
"743",502,"transparent"
"744",1,"transparent"
"745",1,"transparent"
"746",1,"transparent"
"747",1,"transparent"
"748",1,"transparent"
"749",1,"transparent"
"750",1,"transparent"
"751",6,"transparent"
"752",3,"transparent"
"753",3,"transparent"
"754",7,"transparent"
"755",8,"transparent"
"756",26,"transparent"
"757",31,"transparent"
"758",48,"transparent"
"759",131,"transparent"
"760",178,"transparent"
"761",133,"transparent"
"762",323,"transparent"
"763",4,"transparent"
"764",10,"transparent"
"765",18,"transparent"
"766",22,"transparent"
"767",23,"transparent"
"768",28,"transparent"
"769",48,"transparent"
"770",51,"transparent"
"771",91,"transparent"
"772",94,"transparent"
"773",95,"transparent"
"774",142,"transparent"
"775",154,"transparent"
"776",159,"transparent"
"777",1,"transparent"
"778",2923,"transparent"
"779",27,"transparent"
"780",93,"transparent"
"781",1049,"transparent"
"782",179,"transparent"
"783",78,"transparent"
"784",168,"transparent"
"785",60,"transparent"
"786",193,"transparent"
"787",218,"transparent"
"788",1,"transparent"
"789",1,"transparent"
"790",4,"transparent"
"791",1,"transparent"
"792",1,"transparent"
"793",1,"transparent"
"794",1,"transparent"
"795",2,"transparent"
"796",1,"transparent"
"797",1,"transparent"
"798",1,"transparent"
"799",3,"transparent"
"800",1,"transparent"
"801",4,"transparent"
"802",3,"transparent"
"803",3,"transparent"
"804",3,"transparent"
"805",5,"transparent"
"806",6,"transparent"
"807",4,"transparent"
"808",4,"transparent"
"809",7,"transparent"
"810",10,"transparent"
"811",8,"transparent"
"812",9,"transparent"
"813",10,"transparent"
"814",9,"transparent"
"815",14,"transparent"
"816",13,"transparent"
"817",14,"transparent"
"818",16,"transparent"
"819",20,"transparent"
"820",19,"transparent"
"821",23,"transparent"
"822",24,"transparent"
"823",25,"transparent"
"824",29,"transparent"
"825",29,"transparent"
"826",31,"transparent"
"827",32,"transparent"
"828",34,"transparent"
"829",38,"transparent"
"830",40,"transparent"
"831",44,"transparent"
"832",48,"transparent"
"833",51,"transparent"
"834",70,"transparent"
"835",93,"transparent"
"836",106,"transparent"
"837",129,"transparent"
"838",155,"transparent"
"839",177,"transparent"
"840",193,"transparent"
"841",197,"transparent"
"842",203,"transparent"
"843",288,"transparent"
"844",301,"transparent"
"845",1,"transparent"
"846",1,"transparent"
"847",1,"transparent"
"848",2,"transparent"
"849",3,"transparent"
"850",1,"transparent"
"851",1,"transparent"
"852",2,"transparent"
"853",2,"transparent"
"854",1,"transparent"
"855",1,"transparent"
"856",1,"transparent"
"857",1,"transparent"
"858",1,"transparent"
"859",4,"transparent"
"860",1,"transparent"
"861",1,"transparent"
"862",1,"transparent"
"863",1,"transparent"
"864",1,"transparent"
"865",1,"transparent"
"866",2,"transparent"
"867",1,"transparent"
"868",1,"transparent"
"869",1,"transparent"
"870",1,"transparent"
"871",1,"transparent"
"872",1,"transparent"
"873",1,"transparent"
"874",1,"transparent"
"875",3,"transparent"
"876",2,"transparent"
"877",2,"transparent"
"878",1,"transparent"
"879",1,"transparent"
"880",1,"transparent"
"881",1,"transparent"
"882",1,"transparent"
"883",1,"transparent"
"884",1,"transparent"
"885",1,"transparent"
"886",1,"transparent"
"887",1,"transparent"
"888",1,"transparent"
"889",1,"transparent"
"890",1,"transparent"
"891",3,"transparent"
"892",1,"transparent"
"893",1,"transparent"
"894",1,"transparent"
"895",1,"transparent"
"896",1,"transparent"
"897",3,"transparent"
"898",2,"transparent"
"899",1,"transparent"
"900",2,"transparent"
"901",1,"transparent"
"902",1,"transparent"
"903",1,"transparent"
"904",1,"transparent"
"905",3,"transparent"
"906",1,"transparent"
"907",1,"transparent"
"908",1,"transparent"
"909",1,"transparent"
"910",1,"transparent"
"911",1,"transparent"
"912",2,"transparent"
"913",1,"transparent"
"914",4,"transparent"
"915",1,"transparent"
"916",2,"transparent"
"917",1,"transparent"
"918",1,"transparent"
"919",1,"transparent"
"920",1,"transparent"
"921",1,"transparent"
"922",6,"transparent"
"923",11,"transparent"
"924",13,"transparent"
"925",14,"transparent"
"926",24,"transparent"
"927",31,"transparent"
"928",65,"transparent"
"929",98,"transparent"
"930",102,"transparent"
"931",119,"transparent"
"932",2,"transparent"
"933",2,"transparent"
"934",1,"transparent"
"935",569,"transparent"
"936",1,"transparent"
"937",4,"transparent"
"938",1,"transparent"
"939",4,"transparent"
"940",11,"transparent"
"941",19,"transparent"
"942",34,"transparent"
"943",488,"transparent"
"944",489,"transparent"
"945",532,"transparent"
"946",134,"transparent"
"947",838,"transparent"
"948",178,"transparent"
"949",818,"transparent"
"950",1929,"transparent"
"951",1,"transparent"
"952",6,"transparent"
"953",14,"transparent"
"954",123,"transparent"
"955",125,"transparent"
"956",184,"transparent"
"957",232,"transparent"
"958",235,"transparent"
"959",1240,"transparent"
"960",4,"transparent"
"961",4,"transparent"
"962",22,"transparent"
"963",27,"transparent"
"964",29,"transparent"
"965",61,"transparent"
"966",89,"transparent"
"967",118,"transparent"
"968",136,"transparent"
"969",241,"transparent"
"970",373,"transparent"
"971",427,"transparent"
"972",919,"transparent"
"973",13,"transparent"
"974",349,"transparent"
"975",225,"transparent"
"976",159,"transparent"
"977",22,"transparent"
"978",145,"transparent"
"979",16,"transparent"
"980",1,"transparent"
"981",1,"transparent"
"982",2,"transparent"
"983",1,"transparent"
"984",1,"transparent"
"985",1,"transparent"
