"","Language","Family","Frics","PrenasalizedStops","PhonDistBetweenLAndR","PhonVelarFricOrGlide","PhonVoicingContrAmongStops","PhonConsLength","PhonVowelLength","ContrPhonTypesForVowels","PhonStress","WordFinalConss","ConsClusters","DefOrSpecArt","IndefOrNonSpecArt","ArticleNounOrder","NounInitNps","InclExclDist","PronNum","PronRelationship","PronConflation","MoreThan2DegreesDistDem","NonSpkrAnchoredDem","VerticalityDem","ClassifiedDem","NumDeterminedDecl","GenderDeterminedDecl","SuppletiveNouns","SingMarkedNoun","DualMarkedNoun","PlMarkedNoun","OtherNumMarkedNoun","LimitedDistNumMarking","NounClassesGenders","ConcordBeyondNp","NumeralClassifiers","PossClassifiers","PossClasses","Inalienability","MultiplePossConstr","PrefixMarkedPoss","SuffixMarkedPoss","MarkedPossr","MarkedPossessee","PossrPossdOrder","DecimalNumerals","QuinaryNumerals","CollectiveNouns","AdjVerbLexOverlap","AdjAttributionPred","CoreCaseMarking","ObliqueCaseMarking","Prepositions","Postpositions","TamPerson","VerbPrefixesProclitics","VerbSuffixesEnclitics","PunctualContinuous","RealisIrrealis","SSuffix","SPrefix","ASuffix","APrefix","OSuffix","OPrefix","VerbVarTam","VerbVarVClass","VerbVarClauseType","VerbVarPerson","NumStemAlt","PersonStemAlt","SepVerbNumPerson","Portmanteau3Plus","DistributedCategory","NonCore","RecipientObj","X3PlacePreds","VerbNeg","VerbDirection","VerbSuppletion","ConjugationClasses","TransIntransAlt","TransitivizingMorph","IntranstivizingMorph","ReflexiveMorph","ReciprocalMorph","VerbClassifiers","Copula","NonVbPreds","SerialVerbConstr","Auxiliaries","VerbCompounds","VerbAdjunctConstr","VbIncorporation","ExistentialVerb","IrregularGive","ClosedClassOfVb","SvIntransClauses","VsIntransClauses","VInitTransClauses","VMedialTransClauses","VFinalTransClauses","FixedConstituentOrder","ClauseFinalNeg","ClauseInitNeg","ImpVs.DeclNeg","VbAndNonVbPredIdentity","SOMorphInBasicConstr","SAMorphInBasicConstr","SOMorphInComplexConstr","SAMorphInComplexConstr","SynConflationOfSO","ControlledUncontrolled","ClauseChaining","SimultaneousSequential","SayInDesidConstr","RelativeClauses","PurpSubClauses","TemporalSubClauses","ComplementClauses","CausBySerialVerbConstr","CausByBoundAffClit","CausByConstrInvolvingSay","MorphTopicOrFocus","TailHeadLinkage","VerbRedup","NounRedup"
"11","Sulka","Papuan",1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0
"12","Mali","Papuan",1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,NA,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
"13","Savosavo","Papuan",1,1,1,1,1,0,0,0,NA,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,NA,NA,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,NA,0,1,NA,0,1,NA,NA,NA,1,0,0,1,1,1,1
"14","Lavukaleve","Papuan",1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,NA,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
"15","Bilua","Papuan",1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,NA,1,0,1,0,1,0,0,0,0,NA,1,1,1,1,0,1,0,0,1,1,1
"16","Banoni","Oceanic",1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,NA,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,NA,1,1,NA,1,1,1,0,0,NA,1,NA
"17","Bali","Oceanic",1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,NA,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,NA,NA,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,0,0,1,0,0,1,0,0,1,1,0,NA,NA,0,NA,NA,0,1,0,0,1,1,0,NA,1,0,1,0,1,0,1,0,0,1,1,NA,1,NA,1,1,1,1,0,0,NA,NA,1
"18","Yabem","Oceanic",1,1,0,NA,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,NA,0,NA,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,NA,NA,NA,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,0,0,1,0,0,1,0,NA,1,0,0,1,0,1,0,1,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1
"19","Kilivila","Oceanic",1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
"20","Siar","Oceanic",1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,NA,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,1,0,1,0,0,1,1,0,NA,0,NA,NA,NA,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,NA,0,NA,1,1,NA,1,0,1,0,0,NA,1,1
"21","Kairiru","Oceanic",1,0,1,0,0,NA,NA,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,1,0,1,0,1,0,0,1,NA,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,0,0,0,1,NA,1,0,NA,NA,1,NA,1,1,1,1,0,NA,1,1,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,NA
"22","Roviana","Oceanic",1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,NA,NA,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,NA,1,1,0,1,0,0,1,1,0,0,0,0,NA,NA,0,0,1,1,0,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,NA,1,NA,1,1,NA,1,NA,1,NA,1,0
"23","Taiof","Oceanic",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,NA,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,NA,NA,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,NA,0,NA,1,NA,0,1,0,0,1,1,1,0,0,NA,NA,NA,0,1,1,0,1,0,1,0,0,1,NA,0,1,0,1,0,0,0,0,1,1,NA,NA,0,NA,1,NA,0,NA,1,NA
"24","Gapapaiwa","Oceanic",1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,NA,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,NA,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,NA,NA,0,NA,1,NA,NA,1,1,0,1,1,NA,1,NA,NA,NA,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,NA,1,1,1,1,0,1,0,0,NA,1,1
"25","Takia","Oceanic",1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,NA,NA,1,1,NA,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,NA,NA,NA,1,1,0,0,1,1,NA,1,NA,1,1,NA,0,1,0,0,0,1,NA,0,0,1,1,0,1,0,1,0,0,1,NA,NA,1,1,1,1,NA,1,NA,NA,NA,0,0
"26","Nalik","Oceanic",1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,NA,1,1,1,1,0,1,0,1,NA,1,NA
"27","Kokota","Oceanic",1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,NA,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,NA,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,NA,1,1,1,1,NA,0,0,1,1,1,1
"28","Kaulong","Oceanic",1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,1,0,1,NA,NA,NA,0,1,1,NA,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,1,NA,NA,1,NA,0,1,1,NA,NA,NA,0,NA,NA,0,1,0,0,1,0,1,1,0,1,NA,0,1,0,1,0,NA,NA,NA,NA,1,NA,NA,1,0,1,NA,0,NA,1,NA
"29","Sisiqa","Oceanic",1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,NA,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,NA,NA,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,NA,0,0,0,NA,1,NA,1,1,1,1,NA,0,NA,1,NA
"30","Tungag","Oceanic",1,0,1,0,1,0,1,0,NA,1,1,0,NA,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,NA,0,0,NA,0,1,1,1,NA,1,0,0,1,NA,1,NA,NA,NA,NA,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,NA,1,1
"31","Sudest","Oceanic",1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,NA,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,NA,NA,0,1,0,0,NA,NA,1,1,NA,0,0,1,1,NA,1,1,NA,1,0,NA,0,0,0,NA,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,NA,1,NA,1,1,0,1,0,1,NA,1,1
