"","Speaker","Sentence","AgeGroup","CaseMarking","WordOrder","AnimacyOfSubject","OvertnessOfObject","AnimacyOfObject","Text"
"61","Sub23","jarntu_nyangu_kuuku_","child","other","subInitial","animate","overt","animate","texta"
"62","Sub23","karnta_ngku_ka_mardarni_watiya_","child","ergative","subInitial","animate","overt","inanimate","textb"
"63","Sub23","kuuku_ng_ka_manjin_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"64","Sub23","manu_wita_wirriya_drivi_manu_car_","child","other","subInitial","animate","overt","inanimate","textb"
"65","Sub23","potului_ngi_pajurnu_tyre_","child","ergative","subInitial","inanimate","overt","inanimate","textc"
"66","Sub23","snake_rli_pajurnu_wirliya_nga_","child","ergative","subInitial","animate","overt","animate","textc"
"67","Sub23","wati_jarra_ngu_liftimanta_fence_","child","ergative","subInitial","animate","overt","inanimate","textb"
"68","Sub23","wati_ng_ka_luwarni_puluk_","child","ergative","subInitial","animate","overt","animate","textb"
"69","Sub23","wati_ng_ka_mardarni_rifle_","child","ergative","subInitial","animate","overt","inanimate","textb"
"70","Sub23","wati_watiya_ngu_pakarnu_katanga_","child","ergative","subInitial","inanimate","overt","animate","textb"
"71","Sub23","wirriya_ngu_drivi_manu_","child","ergative","subInitial","animate","notOvert","inanimate","textb"
"72","Sub23","wirriya_ngu_fixi_manu_tyre_","child","ergative","subInitial","animate","overt","inanimate","textc"
"73","Sub23","wirriya_ngu_katurnu_jarntu_wiyarrpa_","child","ergative","subInitial","animate","overt","animate","textc"
"74","Sub23","wirriya_nyangu_snake_","child","other","subInitial","animate","overt","animate","textc"
"75","Sub23","yapa_patu_ngu_maninjinta_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"76","Sub32","but_karnta_ngu_lpa_warru_nyangulpa_","child","ergative","subInitial","animate","notOvert","animate","texta"
"77","Sub32","karnta_ng_ka_mardarni_lapi_rla_puluku_na_nantuwu_","child","ergative","subInitial","animate","overt","animate","textb"
"78","Sub32","lawa_juku_jarnpangu_kangu_","child","ergative","subInitial","animate","notOvert","animate","texta"
"79","Sub32","luwarni_kalu_puluku_wirriya_ngu_","child","ergative","subNotInitial","animate","overt","animate","textb"
"80","Sub32","manuuu_jarnpa_nguju_kanguuu_wurnturu_watiya_kurra_","child","ergative","subInitial","animate","notOvert","animate","texta"
"81","Sub32","watiya_rlu_panturnu_wiyilu_","child","ergative","subInitial","inanimate","overt","inanimate","textc"
"82","Sub32","watiya_sparkimanu_rdaka_ngku_","child","ergative","subNotInitial","animate","overt","animate","textc"
"83","Sub32","watiyangu_sharp_one-ing_panturnu_","child","ergative","subInitial","inanimate","notOvert","animate","textc"
"84","Sub32","wiyarrpa_waya_ngu_panturnu_","child","ergative","subInitial","inanimate","notOvert","animate","textb"
"85","Sub38","hole_something_ing_jarp_one_ing_hole_puku_manu_","child","ergative","subInitial","inanimate","overt","animate","textc"
"86","Sub38","jinta_kari_ngi_pajurnu_yalyu_kurra_","child","ergative","subInitial","animate","notOvert","animate","textc"
"87","Sub38","kurdu_na_karnta_pawu_shootimanu_ngulaju_","child","other","subInitial","animate","overt","animate","textc"
"88","Sub38","luwarni_kalu_puluku_manu_uuju_[%_orsu]_kurdu_ngku_","child","ergative","subNotInitial","animate","overt","animate","textb"
"89","Sub38","pajurnu_yalyu_kurra_snaki_ngi_ngulaju_","child","ergative","subNotInitial","animate","overt","animate","textc"
"90","Sub38","snaki_ng_pajirni_ngulaju_kurduju_","child","ergative","subInitial","animate","overt","animate","textc"
"91","Sub39","geti_manu_ngula_mama_ng_","child","ergative","subNotInitial","animate","overt","animate","texta"
"92","Sub39","manta_jarntu_ngulangu_","child","ergative","subNotInitial","animate","overt","animate","textc"
"93","Sub39","ngula_warnapari_licki_manu_","child","other","subInitial","animate","notOvert","animate","textc"
"94","Sub39","ngulangku_mayi_maki_manu_flat_","child","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"95","Sub39","shooti_manu_wirriyarlu_","child","ergative","subNotInitial","animate","notOvert","animate","textb"
"96","Sub39","taki_manu_wirriyangu_ngurra_kurra_","child","ergative","subNotInitial","animate","notOvert","animate","textb"
"97","Sub39","uuju_luwarnu_ngula_wirriyarlu_","child","ergative","subNotInitial","animate","overt","animate","textb"
"98","Sub39","warna_ngula_biti_manu_","child","other","subInitial","animate","notOvert","animate","textc"
"99","Sub39","wirriyarlu_shooti_manu_puluku_","child","ergative","subInitial","animate","overt","animate","texta"
"100","Sub40","jinta_kurdu_ngu_ka_pushu_mani_jinta_kurdu_","child","ergative","subInitial","animate","overt","animate","texta"
"101","Sub40","kurdu_ngu_rarralykaji_kalu_kanyilki_","child","ergative","subInitial","animate","overt","inanimate","textb"
"102","Sub40","mani_ka_jarnpa_ngu_","child","ergative","subNotInitial","animate","notOvert","animate","texta"
"103","Sub40","ngula_botulu_pantirni_tyre_nyampu_rarralykaji_rla_","child","other","subInitial","inanimate","overt","inanimate","textc"
"104","Sub40","ngula_jarntu_licki_manu_wirliya_","child","other","subInitial","animate","overt","animate","texta"
"105","Sub40","ngulaju_lightning_manta_rdaka_","child","other","subInitial","inanimate","overt","animate","texta"
"106","Sub40","warna_ngu_ka_yarlkirni_wirliyaju_","child","ergative","subInitial","animate","overt","animate","textc"
"107","Sub46","kurdu_wita_ka_geti_manu_","child","other","subInitial","animate","notOvert","animate","texta"
"108","Sub46","yapa_puntarni_","child","other","subInitial","animate","notOvert","animate","textc"
"109","Sub47","kala_manu_kurdu_ngku_","child","ergative","subNotInitial","animate","notOvert","animate","texta"
"110","Sub47","kapu_pakarni_kata_nga_kantangu_","child","ergative","subNotInitial","inanimate","notOvert","animate","textc"
"111","Sub47","kuuku_ng_manu_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"112","Sub47","lawa_snake_kapu_biti_mani_wirliya_","child","other","subInitial","animate","overt","animate","textc"
"113","Sub47","lightning_im_strike_is_hand_","child","other","subNotInitial","inanimate","notOvert","inanimate","textc"
"114","Sub47","pantirni_lidi_ngku_[%_lid]_","child","ergative","subNotInitial","inanimate","notOvert","animate","textc"
"115","Sub47","snaki_jangka_licki_manu_jarntu_ng_","child","ergative","subNotInitial","animate","notOvert","animate","textc"
"116","Sub48","fixi_mani_wita_ng_wheel_","child","ergative","subNotInitial","animate","overt","inanimate","textc"
"117","Sub48","jarntu_ng_yalyu_ngarni_ka_","child","ergative","subInitial","animate","overt","inanimate","textc"
"118","Sub48","kangu_kuuku_ng_gate_rla_","child","ergative","subNotInitial","animate","notOvert","animate","texta"
"119","Sub48","karnta_ng_yirrarnu_wati_swing_swing_rla_","child","ergative","subInitial","animate","overt","animate","texta"
"120","Sub48","luwarnu_uuju_puluk_jarra_karnta_ng_wati_jarra_ng_","child","ergative","subNotInitial","animate","overt","animate","textb"
"121","Sub48","manu_jarntu_yapa_ng_","child","ergative","subNotInitial","animate","overt","animate","texta"
"122","Sub48","manu_karnta_ng_jarntu_","child","ergative","subNotInitial","animate","overt","animate","texta"
"123","Sub48","ngulajanga_kanyi_ka_karnta_ng_wati_ng_","child","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"124","Sub48","ngulaju_jilkarla_ng_panturnu_wheel_","child","ergative","subInitial","inanimate","overt","inanimate","textc"
"125","Sub48","snaki_ng_yarlkirni_wirliya_","child","ergative","subInitial","animate","overt","animate","textc"
"126","Sub68","barb_waya_ngku_ka_cuttimani_uuju_wirliyangka_wiyarrpa_","child","ergative","subInitial","inanimate","overt","animate","textb"
"127","Sub68","botulu_ka_cuttimani_taya_","child","other","subInitial","inanimate","overt","inanimate","textc"
"128","Sub68","mother_ngku_ka_gettimani_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"129","Sub68","ngaju_nyang_mother_ka_yalyu_kurra_kanta_ngku_pakarnu_","child","ergative","subNotInitial","inanimate","overt","animate","textc"
"130","Sub68","ngaju_nyang_mother_ngku_ka_mani_kanta_watiya_jangka_kankarlu_","child","ergative","subInitial","animate","overt","inanimate","textc"
"131","Sub68","ngaju_nyangu_father_ngku_ka_fixi_manta_taya_flat_one_","child","ergative","subInitial","animate","overt","inanimate","textc"
"132","Sub68","ngaju_nyangu_father_ngku_ka_kanta_mani_watiyaju_kankarl_","child","ergative","subInitial","animate","overt","inanimate","textc"
"133","Sub68","ngaju_nyangu_father_ngku_ka_puluku_shooti_manu_50:02_","child","ergative","subInitial","animate","overt","animate","textb"
"134","Sub68","ngaju_nyangu_father_wirliyanga_ka_pajirni_snaki_ng_","child","ergative","subNotInitial","animate","overt","animate","textc"
"135","Sub68","ngaju_nyangu_mother_father_ngku_ka_mani_wiri_jarlu_watiya_road_ju_rla_","child","ergative","subInitial","animate","overt","animate","textb"
"136","Sub68","ngaju_nyangu_mother_ngku_ka_kanyi_ngurra_kurra_","child","ergative","subInitial","animate","notOvert","animate","texta"
"137","Sub68","ngaju_nyangu_mother_ngku_ka_mardarni_uuju_rla_","child","ergative","subInitial","animate","overt","animate","textb"
"138","Sub68","ngaju_nyangu_mother_ngku_ka_nyanyi_","child","ergative","subInitial","animate","notOvert","animate","texta"
"139","Sub68","ngaju_nyangu_mother_ngu_ka_nyanyi_kanta_kankarlu_","child","ergative","subInitial","animate","overt","inanimate","textc"
"140","Sub68","ngaju_nyangu_sister_ngku_ka_pushi_mani_nyanungu_nyangu_brother_","child","ergative","subInitial","animate","overt","animate","texta"
"141","Sub68","ngaju_nyanu_father_ngku_ka_kanta_mani_","child","ergative","subInitial","animate","overt","inanimate","textc"
"142","Sub68","yapa_ngku_ka_kanyi_jarntuju_","child","ergative","subInitial","animate","overt","animate","texta"
"143","Sub68","yapa_ngku_ka_kanyirra_cave_kurra_jarntuju_","child","ergative","subInitial","animate","overt","animate","texta"
"144","Sub68","yapa_patu_ka_nyanyi_kanta_watiyanga_kankarlu_","child","other","subInitial","animate","overt","inanimate","textc"
"145","Sub70","jarntu_katurnu_ngula_kurdu_pawu_ngu_","child","ergative","subNotInitial","animate","overt","animate","textc"
"146","Sub70","jarntu_wiyarrpa_yalyu_kurra_pakarnu_ngula_ngu_kurdu_pawu_ngu_j_tarnnga_juku_","child","ergative","subNotInitial","animate","overt","animate","textc"
"147","Sub70","jarntu_wiyarrpa_yapa_ka_mani_bushi_rla_","child","other","subNotInitial","animate","overt","animate","texta"
"148","Sub70","kurdu_wita_ngurrju_man_uujuju_","child","other","subInitial","animate","overt","animate","textb"
"149","Sub70","kurdu_wita_warna_ng_pajirni_wirliyangka_","child","ergative","subNotInitial","animate","overt","animate","textc"
"150","Sub70","livenupmani_ka_nyanu_kurdu_wita_wati_","child","other","subNotInitial","animate","notOvert","animate","textb"
"151","Sub70","manu_jungunypa_ng_ka_ngarni_yalyu_wati_","child","ergative","subInitial","animate","overt","animate","textc"
"152","Sub70","manu_kurdu_wita_ka_drivi_maninjani_","child","other","subInitial","animate","notOvert","inanimate","textb"
"153","Sub70","nyampuju_kurdu_wita_yalyu_kurra_pakarnu_lightningij_","child","other","subNotInitial","inanimate","overt","animate","textc"
"154","Sub70","nyampurralu_kurdu_kurdu_lifti_manu_nyampuju_watiya_manu_kuja_kujaku_","child","other","subInitial","animate","overt","inanimate","textb"
"155","Sub70","rarralykajirlu_katurnu_drinki_","child","other","subInitial","animate","overt","inanimate","textc"
"156","Sub70","wara_ngaju_nyang_jarntu_inya_ng_kangu_pina_yapa_ngku_bush_kurra_","child","ergative","subNotInitial","animate","overt","animate","texta"
"157","Sub70","wiyarrpa_wirlinjirla_uujuju_waya_ng_cuttim_manu_wirliyanga_","child","ergative","subNotInitial","inanimate","overt","animate","textb"
"158","Sub70","yapa_ng_ka_kanyi_pina_bush_kurra_","child","ergative","subInitial","animate","notOvert","animate","texta"
"159","Sub70","yapa_ng_manu_","child","ergative","subInitial","animate","notOvert","animate","texta"
"160","Sub70","yapa_yapa_jarntu_lockimap_manu_yapangku_","child","ergative","subNotInitial","animate","overt","animate","texta"
"161","Sub1027","an_karnta_ng_ka_pushu_ma_ni_","adult","ergative","subInitial","animate","notOvert","animate","texta"
"162","Sub1027","bottle_ngu_flat_eni_ma_ni_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"163","Sub1027","botulu_pantu_rnu_","adult","other","subInitial","inanimate","notOvert","inanimate","textc"
"164","Sub1027","jarntu_ng_ka_licki_ma_ni_wirliya_yalyu_kurlu_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"165","Sub1027","karnta_ngu_ka_ma_ni_maliki_","adult","ergative","subInitial","animate","overt","animate","texta"
"166","Sub1027","karnta_ngu_ka_pushi_ma_ni_","adult","ergative","subInitial","animate","notOvert","animate","texta"
"167","Sub1027","karnta_ngu_ka_watiya_kurlu_rlu_pointi_ma_ni_kanta_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"168","Sub1027","lightning_ing_luwa_rnu_inya_wati_","adult","ergative","subInitial","inanimate","overt","animate","textc"
"169","Sub1027","luwa_rnu_lightning_","adult","other","subNotInitial","inanimate","notOvert","animate","textc"
"170","Sub1027","puluku_luwa_rnu_inya_ngu_wati_ngi_rifle_kurlu_","adult","ergative","subNotInitial","animate","overt","animate","textb"
"171","Sub1027","wati_ngi_ka_taya_puta_wilypi_mani_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"172","Sub1029","_lightning_luwa_rnu_rdaka_","adult","other","subInitial","inanimate","overt","inanimate","textc"
"173","Sub1029","_warna_ng_yarlku_rnu_wirliya_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"174","Sub1029","kapardi_papardi_manu_kurdu_luwa_rnu_lu_puluku_","adult","ergative","subInitial","animate","overt","animate","textb"
"175","Sub1029","kuuku_ng_ka_ma_ni_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"176","Sub1029","ngati_nya_ngu_ngku_manu_kapirdi_nyanu_papardi_nyanu_wajilipi_nyi_kalu_kuuku_","adult","ergative","subInitial","animate","overt","animate","texta"
"177","Sub1029","ngula_janga_ju_towu_ma_nu_rra_blue_wani_ji_rarralykaji_ji_white_wani_ji_","adult","other","subNotInitial","inanimate","overt","inanimate","textb"
"178","Sub1029","ngula_ngu_botulu_ngu_ju_rdilyki_pantu_rnu_taya_ju_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"179","Sub1029","papardi_manu_nganayi_kapardi_and_kurdu_ngku_ma_nu_lu_fenci_ji_yirra_rnu_pina_l_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"180","Sub1029","wirriya_pardu_ngu_ngula_ju_fixi_ma_nu_lpa_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"181","Sub1030","_dat_kuuku_ma_nu_ma_nu_jarntu_","adult","other","subInitial","animate","overt","animate","textb"
"182","Sub1030","_kurdu_ngu_ma_nu_jarntu_ju_","adult","ergative","subInitial","animate","overt","animate","texta"
"183","Sub1030","an_katu_rn_fenci_ng_nganayi_uuju_","adult","ergative","subNotInitial","inanimate","overt","animate","textc"
"184","Sub1030","an_taya_ju_rarralykaji_ki_katu_rnu_potulu_","adult","other","subInitial","inanimate","overt","inanimate","textc"
"185","Sub1030","botulu_katu_rnu_rarralykaji_rli_","adult","ergative","subNotInitial","inanimate","overt","inanimate","textc"
"186","Sub1030","botulu_ngu_paju_rnu_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textc"
"187","Sub1030","jaji_nyanu_ngu_ngurrju_ma_nu_pina_taya_jaji_nyanu_ngu_jaji_nyanu_wati_ngi_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"188","Sub1030","jarntu_ku_pinyi_kakarra_fenci_ng_","adult","ergative","subNotInitial","inanimate","overt","animate","texta"
"189","Sub1030","jarntu_nganta_ma_ni_nji_ni_karnta_pawu_","adult","other","subNotInitial","animate","overt","animate","texta"
"190","Sub1030","jarntu_nganta_ma_nta_inya_kurdu_kurdu_rlu_","adult","ergative","subNotInitial","animate","overt","animate","texta"
"191","Sub1030","jurru_paka_rnu_kanta_ngu_","adult","ergative","subNotInitial","inanimate","notOvert","inanimate","textc"
"192","Sub1030","kanta_ngu_paka_rnu_kata_nga_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"193","Sub1030","karnta_jarra_ng_wajilipu_ngu_","adult","ergative","subInitial","animate","notOvert","inanimate","texta"
"194","Sub1030","kurdu_kurdu_nganta_rlu_nya_ngu_wita_wita_","adult","ergative","subInitial","animate","notOvert","inanimate","textb"
"195","Sub1030","kurdu_kurdu_ngu_wati_ngi_malju_pardu_ngu_karnta_pawu_ngu_wilypi_ma_nta_nganta_n_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"196","Sub1030","kuuku_ngu_ma_nu_","adult","ergative","subInitial","animate","notOvert","inanimate","texta"
"197","Sub1030","kuuku_ngu_ma_nu_jarntu_","adult","ergative","subInitial","animate","overt","animate","texta"
"198","Sub1030","kuuku_puuly_marda_rni_jarntu_kuuku_ng_wiri_jarlu_nyayirni_ngi_","adult","ergative","subInitial","animate","overt","animate","texta"
"199","Sub1030","na_nya_ngu_nganta_lu_kurdu_kurdu_rlu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"200","Sub1030","nganta_wati_pardu_ng_ya_ngka_ka_marda_rni_turlurlykaji_fence_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"201","Sub1030","ngula_janga_karnta_ngu_an_ma_karnta_karnta_ngu_manu_wati_ngi_wilypi_ma_n_pala_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"202","Sub1030","ngula_jarra_ngula_jarra_na_bumpu_ma_nu_pala_nyanu_","adult","other","subInitial","animate","notOvert","inanimate","textb"
"203","Sub1030","ngula_ngu_na_ma_nu_","adult","ergative","subInitial","animate","notOvert","inanimate","texta"
"204","Sub1030","nya_ngu_lpa_lu_kurdu_kurdu_ngu_wati_ngi_ngati_nyanu_ngu_kurdu_pawu_ngu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"205","Sub1030","orsu_orse_fenci_ng_katu_rnu_orse_","adult","ergative","subNotInitial","inanimate","overt","animate","textb"
"206","Sub1030","rarralykaji_jarra_ngu_pala_nyanu_bumpu_ma_nu_pala_yingirri_[tantrum]_","adult","ergative","subInitial","inanimate","notOvert","inanimate","textb"
"207","Sub1030","wajilipu_ngu_nganta_karnta_jarra_ng_jirrama_jarra_ng_","adult","ergative","subNotInitial","animate","notOvert","inanimate","texta"
"208","Sub1030","warna_ngu_paju_rnu_wirliya_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"209","Sub1030","warna_ngu_paju_rnu_wirliya_nga_","adult","ergative","subInitial","animate","overt","animate","textc"
"210","Sub1030","wati_ngi_wati_ngi_ma_ngurrju_ma_nu_","adult","ergative","subInitial","animate","notOvert","inanimate","textc"
"211","Sub1030","watiya_kurlu_karnta_ngu_puta_paka_rnu_watiya_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"212","Sub1030","wilypi_ma_nu_nganta_lu_kurdu_kurdu_rlu_ngati_nyanu_papa_nyanu_ngu_","adult","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"213","Sub1030","wirliya_nga_ngana_paju_rnu_warna_ngu_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"214","Sub1030","yalju_rnu_jarntu_ngu_wirliya_","adult","ergative","subNotInitial","animate","overt","inanimate","textc"
"215","Sub1031","_yarlku_rnu_warna_ng_","adult","ergative","subNotInitial","animate","overt","animate","textc"
"216","Sub1031","an_yard_www_jurnta_ma_nu_an_wirliya_janga_karnta_ngu_wati_ngi_manu_kurdu_pardu_","adult","ergative","subInitial","animate","overt","animate","textb"
"217","Sub1031","kanta_ngu_paka_rnu_kanta_ngu_","adult","ergative","subInitial","animate","notOvert","animate","textc"
"218","Sub1031","karnta_ngu_ka_wirriya_pardu_swingswing_rla_pushu_ma_ni_","adult","ergative","subInitial","animate","overt","animate","texta"
"219","Sub1031","karnta_wita_pardu_rlu_manu_karnta_wiri_ngi_wajilipi_nyi_ka_pala_","adult","ergative","subInitial","animate","notOvert","animate","texta"
"220","Sub1031","kuku_ngu_ka_wuruly_ka_nyi_jarntu_pawu_","adult","ergative","subInitial","animate","overt","animate","texta"
"221","Sub1031","ngati_ngki_karnta_ngku_an_wirriya_pardu_rlu_lawa_nya_nyi_ka_lu_","adult","ergative","subInitial","animate","notOvert","animate","texta"
"222","Sub1031","ngati_nyanu_ngu_ka_jarntu_ma_ni_","adult","ergative","subInitial","animate","overt","animate","texta"
"223","Sub1031","ngula_kirda_nyanu_ngu_taya_ka_fixi_ma_ni_","adult","ergative","subInitial","animate","overt","inanimate","textc"
"224","Sub1031","ngula_ngu_jurnta_ma_nu_rla_watiya_ju_car_jangka_ju_wati_ki_ji_","adult","ergative","subInitial","animate","overt","inanimate","textb"
"225","Sub1031","ngula_wirnpa_ngu_luwa_rnu_rdaka_ju_","adult","ergative","subInitial","inanimate","overt","animate","textc"
"226","Sub1031","nya_ngu_wirriya_kukurnu_nyanu_ku_manu_jarntu_kuja_rla_yaarl_wanti_ja_leda_","adult","other","subNotInitial","animate","overt","animate","textc"
