"","Verb","WrittenFrequency","FamilySize","LengthInLetters","VerbalSynsets","MeanBigramFrequency","NcountStem","Regularity","InflectionalEntropy","Auxiliary","Valency","NVratio","WrittenSpokenRatio"
"23","rotten",5.73009978297357,3.09104245335832,3,3,13.79,19,"regular",2.0337,"zijnheb",2,-1.0857088838322,-1.53393035992596
"24","prikken",6.52795791762255,2.99573227355399,4,4,13.47,8,"regular",2.55534,"hebben",9,-1.68377083116396,-0.470003629245735
"25","niesen",3.13549421592915,1.79175946922805,4,0,14.19,11,"regular",2.16264,"hebben",0,-2.03688192726104,0
"26","zetten",9.77866101958928,4.90527477843843,3,4,14.75,19,"regular",1.90597,"hebben",14,-5.14393203135965,-0.0310905870700307
"27","hokken",4.12713438504509,3.09104245335832,3,2,13.78,26,"regular",2.47051,"hebben",4,2.34521190945581,-2.53897387105828
"28","hevelen",3.43398720448515,1.09861228866811,5,0,14.29,6,"regular",1.36997,"hebben",1,-1.23676262714893,0.693147180559945
"29","dulden",6.46146817635372,1.38629436111989,4,2,13.38,1,"regular",2.23507,"hebben",2,-6.46146817635372,2.07944154167984
"30","heulen",3.61091791264422,1.09861228866811,4,1,13.63,9,"regular",2.38551,"hebben",1,-1.12601126285622,1.09861228866811
"31","aaien",6.10255859461357,1.09861228866811,3,1,13.06,8,"regular",2.27641,"hebben",1,-2.77035408443837,1.09861228866811
"32","lenen",7.10578612948127,4.00733318523247,4,4,14.98,20,"regular",2.26844,"hebben",5,-2.17853244432407,0.22314355131421
"33","meppen",4.17438726989564,1.6094379124341,3,1,13.68,14,"regular",2.02823,"hebben",2,0.498441564566269,-0.916290731874155
"34","blazen",7.46049030582534,3.68887945411394,5,4,13.84,6,"irregular",2.26788,"hebben",8,-2.0488442539703,1.25276296849537
"35","spoken",5.71042701737487,2.77258872223978,5,3,13.24,5,"regular",2.55421,"hebben",4,0.610341276875713,-0.916290731874155
"36","spelen",9.68756784631124,4.94875989037817,5,11,13.84,7,"regular",2.27762,"hebben",13,-9.68756784631124,0.506561224979533
"37","spreken",10.132334806767,4.46590811865458,6,6,13.71,2,"irregular",2.3582,"hebben",12,-10.132334806767,0.792026061577176
"38","broeden",5.605802066296,2.77258872223978,5,1,13.72,7,"regular",2.0221,"hebben",2,-2.47030785036685,1.09861228866811
"39","dichten",5.76519110278484,4.45434729625351,5,2,14.26,9,"regular",2.00539,"hebben",3,-1.29928298413026,-3.64021428213266
"40","rijgen",4.91998092582813,2.07944154167984,4,3,13.32,9,"irregular",1.82268,"hebben",3,-4.91998092582813,0
"41","krabben",6.55819780281227,2.484906649788,4,1,12.25,8,"regular",2.15739,"hebben",4,-1.6094379124341,0.8754687373539
"42","troosten",6.83625927727707,2.83321334405622,6,2,13.84,3,"regular",2.12385,"hebben",2,-0.161697885462641,-0.325422400434628
"43","binden",7.59085212368858,4.29045944114839,4,10,14.13,9,"irregular",2.10731,"hebben",8,-7.59085212368858,2.63905732961526
"44","prutsen",4.70953020131233,2.07944154167984,5,3,12.93,0,"regular",1.98384,"hebben",4,-2.91777073208428,-0.405465108108164
"45","scheren",5.41164605185504,3.13549421592915,6,4,14.53,7,"regular",2.49102,"hebben",6,-2.8466966943935,-0.117783035656384
"46","scheren",0,3.13549421592915,6,4,14.53,7,"regular",0,"hebben",6,2.56494935746154,-2.19722457733622
"47","scheren",0,3.13549421592915,6,4,14.53,7,"irregular",0,"hebben",6,2.56494935746154,-2.19722457733622
"48","worden",12.6819465111743,2.70805020110221,4,2,14,12,"irregular",2.08966,"zijn",4,-12.6819465111743,0.877948589833682
"49","scheiden",7.62070508683826,3.85014760171006,6,7,13.92,1,"regular",2.04099,"zijnheb",9,-7.62070508683826,0.182321556793955
"50","smijten",6.85435450225502,2.39789527279837,5,1,13.03,2,"irregular",2.05856,"hebben",3,-6.85435450225502,0.802346472524937
"51","wenen",6.65672652417839,1.09861228866811,4,1,15.15,20,"regular",1.46054,"hebben",2,-6.65672652417839,2.63905732961526
"52","klemmen",7.09007683577609,2.70805020110221,4,2,13.37,8,"regular",2.2155,"hebben",2,-1.02861991684807,-2.12823170584927
"53","voegen",8.2602342916073,3.36729582998647,4,5,14.09,9,"regular",2.10668,"hebben",6,-3.431920554305,1.72662016705709
"54","doemen",6.57368016696065,2.19722457733622,4,1,13.85,11,"regular",2.09649,"hebben",3,-2.49614272305493,0
"55","doelen",6.16961073249146,3.71357206670431,4,1,14.22,18,"regular",2.30994,"hebben",1,2.68176636502798,-1.43458837047885
"56","plegen",7.15773548424991,2.83321334405622,5,3,13.69,2,"irregular",1.96434,"hebben",3,-7.15773548424991,0.980829253011726
"57","vloeken",7.12286665859908,2.39789527279837,5,2,13.49,4,"regular",2.3767,"hebben",3,-1.13893037791189,-0.479573080261886
"58","gniffelen",4.51085950651685,0,7,0,12.45,1,"regular",2.14757,"hebben",1,-4.51085950651685,0.693147180559945
"59","meten",7.3689704021948,4.24849524204936,4,3,14.84,16,"irregular",1.85026,"hebben",3,-1.55782940921809,-0.619039208406223
"60","drenken",5.03695260241363,1.09861228866811,5,2,14.13,3,"regular",2.0575,"hebben",2,-5.03695260241363,1.38629436111989
"61","hurken",6.31535800152233,1.38629436111989,4,1,13.4,8,"regular",2.22956,"hebben",1,-6.31535800152233,1.79175946922805
"62","schrappen",5.72031177660741,1.6094379124341,6,2,13.16,2,"regular",1.93112,"hebben",3,-5.72031177660741,0.693147180559945
"63","loven",5.3890717298165,2.39789527279837,4,1,13.32,13,"regular",2.68717,"hebben",3,-0.744680830675128,0.182321556793955
"64","vervangen",7.84109976542212,2.484906649788,7,0,14.24,3,"irregular",1.12911,"hebben",2,-7.84109976542212,1.51982575374441
"65","snoeren",5.16478597392351,2.70805020110221,5,1,13.7,7,"regular",2.40936,"hebben",1,0.268936029630725,-0.356674943938733
"66","lozen",4.85981240436167,5.12396397940326,4,1,13.46,19,"regular",2.23342,"hebben",1,-4.85981240436167,-1.87180217690159
"67","knippen",7.00850518208228,3.40119738166216,4,6,12.52,8,"regular",2.27036,"hebben",6,-2.36411428294091,-0.417735200699979
"68","snakken",5.96614673912369,0.693147180559945,4,1,13.07,7,"regular",2.24184,"hebben",2,-5.27299955856375,2.07944154167984
"69","schikken",7.61332497954064,3.49650756146648,5,5,13.83,4,"regular",1.89454,"hebben",8,-2.87712653114614,-0.470003629245735
"70","stinken",6.97073007814353,2.39789527279837,5,1,13.91,3,"irregular",2.56101,"hebben",2,-6.97073007814353,1.79175946922805
"71","kweken",6.92461239604856,3.09104245335832,5,3,13.71,3,"regular",2.04581,"hebben",1,-2.89926070531341,0.287682072451781
"72","snappen",7.02642680869964,2.56494935746154,4,3,12.76,5,"regular",2.13769,"hebben",3,-5.92781452003153,-0.679749850988124
"73","snappen",7.02642680869964,2.56494935746154,4,3,12.76,5,"irregular",2.13769,"hebben",3,-5.92781452003153,-0.679749850988124
"74","trappen",6.97354301952014,3.91202300542815,4,4,13.27,6,"regular",2.5485,"zijnheb",6,1.52344746457858,-3.02621529027907
"75","schillen",6.1246833908942,2.63905732961526,5,1,13.62,5,"regular",1.96164,"hebben",4,-0.52626143189583,-0.8754687373539
"76","schrobben",4.79579054559674,1.38629436111989,6,1,12.66,1,"regular",1.87689,"hebben",1,-4.79579054559674,0.693147180559945
"77","schaatsen",4.91998092582813,2.39789527279837,7,1,14.01,1,"regular",1.64096,"hebben",1,-0.761097842468454,-1.09861228866811
"78","zeuren",6.38012253689976,2.07944154167984,4,1,13.78,10,"regular",2.33323,"hebben",2,-3.16124671203156,1.23676262714893
"79","vleien",5.77144112313002,1.6094379124341,4,2,13.18,3,"regular",2.65696,"hebben",3,-5.77144112313002,0.916290731874155
"80","zien",11.4965521508523,4.49980967033027,3,7,14.8,8,"irregular",2.28379,"hebben",12,-11.4965521508523,1.02993600646198
"81","klinken",8.99863119828764,3.09104245335832,5,5,13.58,6,"irregular",1.87326,"hebben",5,-4.21950770517611,-1.02961941718116
"82","dwalen",6.71901315438526,2.63905732961526,5,3,13.77,2,"regular",2.49683,"hebben",4,-6.71901315438526,1.84582669049833
"83","stuiten",6.89060912014717,2.19722457733622,5,3,13.92,7,"regular",2.28985,"zijnheb",4,-3.17703705344286,0.693147180559945
"84","vlechten",5.77144112313002,2.07944154167984,6,1,13.7,4,"irregular",1.63227,"hebben",3,-0.270182912585288,-1.38629436111989
"85","flirten",5.24174701505964,1.09861228866811,5,1,12.69,2,"regular",2.13333,"hebben",1,-1.50407739677627,1.79175946922805
"86","spoeden",5.14166355650266,2.99573227355399,5,2,13.38,2,"regular",2.24542,"zijnheb",2,0.0894450603519266,-0.251314428280906
"87","duiken",7.57865685059476,3.43398720448515,4,4,13.74,13,"irregular",2.29936,"zijnheb",6,-3.15981624279816,0.470003629245736
"88","dutten",4.0943445622221,1.09861228866811,3,2,13.63,19,"regular",1.31597,"hebben",1,-4.0943445622221,0
"89","sjokken",5.15329159449778,0.693147180559945,4,1,12.51,5,"regular",2.35241,"zijnheb",1,-5.15329159449778,0.693147180559945
"90","slagen",8.16876982367527,0.693147180559945,5,4,13.62,11,"regular",2.44552,"zijn",4,-8.16876982367527,0.559615787935423
"91","flikken",4.15888308335967,1.6094379124341,4,1,12.87,6,"regular",2.09805,"hebben",2,-1.67397643357167,-0.980829253011726
"92","neigen",6.84481547920826,1.09861228866811,4,3,13.78,1,"regular",1.82585,"hebben",2,-6.84481547920826,-0.405465108108165
"93","leren",9.59471802775386,4.91998092582813,4,2,14.6,24,"regular",1.86583,"hebben",7,-2.08483496659895,0.434965772504862
"94","flitsen",6.57368016696065,2.07944154167984,5,4,12.98,3,"regular",2.56713,"zijnheb",4,-0.516896153732021,-1.7227665977411
"95","slaken",6.34738920965601,0.693147180559945,5,1,13.65,11,"regular",1.80048,"hebben",1,-4.26794766797618,1.38629436111989
"96","sjorren",4.67282883446191,1.09861228866811,4,2,12.99,2,"regular",2.16324,"hebben",4,-4.67282883446191,1.09861228866811
"97","gieten",6.88857245956536,3.25809653802148,4,4,14.36,13,"irregular",2.09079,"hebben",5,-6.88857245956536,1.97716269255942
"98","wijken",6.77764659363512,3.78418963391826,4,3,14,12,"irregular",2.55012,"zijn",2,0.0346985005423619,-2.99573227355399
"99","hakken",6.77536609093639,2.99573227355399,3,6,13.97,21,"regular",2.28385,"hebben",9,-0.538996500732687,-0.310154928303839
"100","streven",7.67229245562876,2.56494935746154,6,1,13.74,5,"regular",2.01546,"hebben",2,-7.67229245562876,1.79175946922806
"101","strekken",7.57916796739608,2.30258509299405,5,4,13.87,3,"regular",2.4363,"hebben",6,-6.48055567872797,0.78845736036427
"102","zuigen",7.1800698743028,3.71357206670431,4,5,13.36,8,"irregular",2.41438,"hebben",7,-7.1800698743028,2.07944154167984
"103","rammen",5.50533153593236,1.6094379124341,3,3,13.2,21,"regular",2.52346,"hebben",6,-0.870602547702727,-0.693147180559945
"104","haken",6.13772705408623,3.17805383034795,4,5,14.15,18,"regular",2.41305,"hebben",5,0.526681966264174,-1.49165487677772
"105","scheuren",7.29776828253138,2.99573227355399,6,7,13.81,3,"regular",2.70738,"zijnheb",6,-1.58734126515651,0.385662480811984
"106","lusten",5.66296048013595,3.95124371858143,4,1,13.56,14,"regular",1.84002,"hebben",1,1.17437233454964,-0.998528830111127
"107","zaaien",6.46458830368996,2.77258872223978,4,2,13.01,15,"regular",2.14577,"hebben",3,-5.77144112313002,1.6094379124341
"108","testen",6.30078579466324,2.83321334405622,4,1,14.58,14,"regular",1.48924,"hebben",1,0.241686165843561,-2.66258782702545
"109","rijmen",5.54907608489522,2.70805020110221,4,4,12.67,9,"regular",1.82273,"hebben",6,-0.312634122065271,-1.70474809223843
"110","mixen",4.00733318523247,1.09861228866811,3,2,11.09,7,"regular",2.19298,"hebben",1,-1.06289420606603,-2.63905732961526
"111","bieden",8.94767606249969,1.79175946922805,4,4,13.97,9,"irregular",2.14783,"hebben",6,-8.94767606249969,0.732367893713227
"112","pluizen",2.19722457733622,2.19722457733622,5,2,13.23,3,"regular",1.90564,"hebben",3,1.38629436111989,-1.79175946922805
"113","pluizen",4.02535169073515,2.19722457733622,5,2,13.23,3,"irregular",1.64757,"hebben",3,-0.44183275227904,-1.09861228866811
"114","botsen",6.20253551718792,1.94591014905531,4,2,13.43,12,"regular",2.52039,"zijnheb",2,-6.20253551718792,0.287682072451781
"115","tennissen",4.76217393479776,2.77258872223978,6,1,14.3,2,"regular",1.38687,"hebben",1,-0.431440594511425,-2.39789527279837
"116","plukken",6.83840520084734,2.19722457733622,4,5,12.67,6,"regular",2.40252,"hebben",4,-1.90393126771665,0.538996500732687
"117","slippen",4.91998092582813,2.07944154167984,4,3,12.92,12,"regular",2.4319,"zijnheb",3,0.347877233235203,-0.693147180559945
"118","hebben",13.0709985015075,3.80666248977032,3,5,13.37,13,"irregular",2.38787,"hebben",25,-13.0709985015075,0.18971110299591
"119","vluchten",7.51588908521513,3.93182563272433,6,2,13.21,4,"regular",2.57335,"zijn",5,0.285911316693848,-0.980829253011727
"120","kuisen",3.61091791264422,2.07944154167984,4,2,13.61,13,"regular",1.96939,"hebben",1,-2.22462355152433,-1.38629436111989
"121","gooien",8.43272403478979,3.17805383034795,4,1,12.79,10,"regular",2.34347,"hebben",5,-4.93621647332331,-0.130053128248197
"122","ronden",6.01859321449623,4.56434819146784,4,1,13.92,12,"regular",1.84499,"hebben",2,-0.269200228587981,-2.83653744684005
"123","liegen",7.34923082461333,1.6094379124341,4,2,13.99,8,"irregular",2.30179,"hebben",3,-7.34923082461333,2.30258509299405
"124","checken",4.11087386417331,1.38629436111989,5,1,12.64,1,"regular",1.59742,"hebben",1,-4.11087386417331,0
"125","balsemen",3.8286413964891,1.6094379124341,6,2,13.33,0,"regular",2.25746,"hebben",4,0.682218110027755,-0.405465108108164
"126","zeggen",11.8115697324056,3.8286413964891,3,3,14.06,11,"regular",1.73996,"hebben",13,-7.36891847591526,-0.60171849094386
"127","zeggen",11.8115697324056,3.8286413964891,3,3,14.06,11,"irregular",1.73996,"hebben",13,-7.36891847591526,-0.60171849094386
"128","lichten",7.56320059235807,5.2257466737132,5,6,13.98,8,"regular",2.1608,"zijnheb",6,1.80363057637754,-1.96274084087979
"129","kaatsen",4.85981240436167,1.79175946922805,5,3,13.91,4,"regular",1.95187,"hebben",3,-4.85981240436167,0.693147180559945
"130","roesten",4.17438726989564,2.70805020110221,5,1,14.07,11,"regular",2.17353,"zijnheb",2,0.244453337900961,-0.405465108108164
"131","roeren",6.92755790627832,3.13549421592915,4,4,14.23,14,"regular",2.30213,"hebben",6,-0.966552566655043,-1.6094379124341
"132","bannen",5.39362754635236,2.70805020110221,3,2,14.44,22,"regular",1.44472,"hebben",3,0.486905440048338,-1.64865862558738
"133","huwen",5.99146454710798,1.09861228866811,3,2,12.93,9,"regular",2.3868,"zijnheb",2,-5.99146454710798,0.405465108108164
"134","bakken",6.7945865808765,4.66343909411207,3,5,13.42,24,"regular",2.01491,"zijn",6,0.0565983466172444,-1.46633706879343
"135","storen",7.23849684089437,3.78418963391826,5,2,14.23,10,"regular",2.96007,"hebben",2,-7.23849684089437,0.719122666963206
"136","bakken",1.09861228866811,4.66343909411207,3,5,13.42,24,"regular",0,"zijn",6,5.75257263882563,-4.76217393479776
"137","snuiten",0,1.38629436111989,5,2,13.23,5,"regular",0,"hebben",2,5.46383180502561,-2.484906649788
"138","deinzen",5.62762111369064,1.09861228866811,5,0,14.54,3,"regular",1.70889,"zijn",1,-5.62762111369064,1.94591014905531
"139","snuiten",5.15905529921453,1.38629436111989,5,2,13.23,5,"irregular",1.76753,"hebben",2,0.304776505811081,-0.182321556793954
"140","deppen",4.23410650459726,0,3,1,14.19,13,"regular",1.90518,"hebben",1,-4.23410650459726,0.693147180559945
"141","knarsen",5.8171111599632,1.38629436111989,5,1,13.39,2,"regular",2.59918,"hebben",3,-5.8171111599632,0.287682072451781
"142","loodsen",5.34233425196481,2.30258509299405,5,2,13.29,4,"regular",2.27652,"hebben",2,0.573867810642624,-1.50407739677627
"143","stichten",7.25347038268453,3.09104245335832,6,2,14.04,0,"regular",2.09206,"hebben",2,-4.30903140351809,1.67397643357167
"144","matigen",5.73657229747919,3.76120011569356,5,0,13.95,1,"regular",2.45937,"hebben",3,-5.73657229747919,-2.63905732961526
"145","lakken",4.81218435537242,3.09104245335832,3,3,13.57,25,"regular",1.90576,"hebben",2,0.46081520319133,-1.54044504094715
"146","groeten",7.02908756414966,2.30258509299405,5,1,14.19,9,"regular",2.29747,"hebben",1,-0.555196867797387,0.980829253011727
"147","runnen",4.17438726989564,1.09861228866811,3,1,13.62,13,"regular",2.08608,"hebben",1,-1.12986483217221,-0.693147180559945
"148","kopen",8.84548923675327,4.54329478227,4,1,13.72,16,"irregular",2.17676,"hebben",5,-2.0667043390681,-0.234532198278218
"149","treden",8.49167023418515,3.2188758248682,5,3,14.06,5,"irregular",2.09475,"zijnheb",4,-8.49167023418515,0.82098055206983
"150","zoemen",6.17586727010576,1.38629436111989,4,1,13.74,12,"regular",2.54087,"hebben",1,-6.17586727010576,1.94591014905531
"151","sussen",6.18826412308259,0,3,1,12.94,15,"regular",2.58173,"hebben",1,-6.18826412308259,1.29928298413026
"152","rekenen",8.26359043261732,4.53259949315326,5,7,14.5,18,"regular",2.11958,"hebben",11,-8.26359043261732,2.04022082852655
"153","loeren",6.44888939414686,1.6094379124341,4,2,14.17,13,"regular",2.57416,"hebben",2,-1.14558448608778,-0.441832752279039
"154","kauwen",6.5424719605068,2.70805020110221,4,1,12.5,9,"regular",2.45668,"hebben",2,-2.41533757546171,2.30258509299405
"155","wanen",5.63121178182137,2.94443897916644,4,1,14.93,15,"regular",2.51726,"hebben",2,-0.180173328255665,-0.405465108108164
"156","waaien",6.85329909318608,2.63905732961526,4,3,13.29,17,"regular",2.6831,"hebben",4,-6.85329909318608,0.916290731874155
"157","waaien",6.85329909318608,2.63905732961526,4,3,13.29,17,"irregular",2.6831,"hebben",4,-6.85329909318608,0.916290731874155
"158","betten",5.11198778835654,0,3,1,14.69,24,"regular",1.81764,"hebben",1,-5.11198778835654,1.46633706879343
"159","vechten",7.88306935130575,4.20469261939097,5,4,14.13,5,"irregular",2.18075,"hebben",4,-7.88306935130575,1.51982575374441
"160","trachten",8.4069317971587,1.6094379124341,6,1,13.83,6,"regular",2.20494,"hebben",1,-8.4069317971587,2.39789527279837
"161","mikken",5.78074351579233,1.09861228866811,3,3,13.84,20,"regular",2.43748,"hebben",4,-3.47815842279828,0
"162","betalen",8.5816692106006,3.8286413964891,6,0,14.16,4,"regular",1.97077,"hebben",4,-8.5816692106006,0.0248975516217271
"163","prediken",5.73979291217923,2.56494935746154,6,2,13.61,0,"regular",2.69152,"hebben",2,-5.73979291217923,1.38629436111989
"164","eindigen",7.62168499872461,1.6094379124341,6,0,14.15,0,"regular",2.40394,"zijnheb",7,-7.62168499872461,0.847297860387203
"165","staven",5.08759633523238,2.07944154167984,5,2,13.62,8,"regular",1.80708,"hebben",1,0.47692407209031,-0.980829253011726
"166","spuien",4.61512051684126,0.693147180559945,4,2,12.56,2,"regular",1.73208,"hebben",4,-4.61512051684126,0.693147180559945
"167","wurmen",4.88280192258637,1.94591014905531,4,2,12.54,3,"regular",2.03168,"hebben",2,-1.12160180689281,-0.693147180559945
"168","zakken",7.9550742732627,4.58496747867057,3,6,13.58,16,"regular",2.10039,"hebben",6,0.521921728402129,-2.86029430265889
"169","wringen",6.50727771238501,2.30258509299405,5,3,13.4,4,"irregular",2.18068,"hebben",5,-6.50727771238501,1.50407739677627
"170","zakken",0,4.58496747867057,3,6,13.58,16,"regular",0,"hebben",6,8.47699600166482,-5.5683445037611
"171","jokken",4.35670882668959,0.693147180559945,3,1,12.76,21,"regular",2.14994,"hebben",1,-4.35670882668959,1.38629436111989
"172","wonen",9.10797536529815,4.87519732320115,4,1,14.43,9,"regular",2.42689,"hebben",2,-6.62306871551015,0.853332881721673
"173","branden",7.92660259918138,4.82028156560504,5,6,13.98,1,"regular",2.63848,"hebben",9,-0.371220654941111,-3.55248682920838
"174","gaan",11.8320335274219,4.43081679884331,2,15,13.11,15,"irregular",2.2662,"zijnheb",22,-11.8320335274219,-0.0436152924258693
"175","klieven",4.23410650459726,1.38629436111989,5,1,13.42,4,"regular",2.79704,"hebben",3,-4.23410650459726,1.09861228866811
"176","joelen",5.2257466737132,1.38629436111989,4,1,13.36,10,"regular",2.66293,"hebben",2,-5.2257466737132,1.09861228866811
"177","zwieren",4.85981240436167,1.94591014905531,5,2,13.98,3,"regular",2.58357,"hebben",3,-0.205852054204149,-0.693147180559945
"178","jatten",4.80402104473326,0.693147180559945,3,1,13.64,17,"regular",1.77943,"hebben",1,-2.40612577193489,-0.916290731874155
"179","weten",11.1084998164367,2.56494935746154,4,4,14.79,22,"irregular",1.74782,"hebben",6,-11.1084998164367,-0.49689067147024
"180","smeken",7.2591161280971,2.19722457733622,5,1,13.66,5,"regular",2.63156,"hebben",2,-7.2591161280971,2.62103882411258
"181","honen",5.41164605185504,1.79175946922805,4,1,14.58,14,"regular",2.61688,"hebben",2,-1.09415793831873,0
"182","beven",7.23128700432762,1.79175946922805,4,2,13.81,15,"regular",2.60437,"hebben",3,-7.23128700432762,2.33537491581704
"183","smeren",6.33505425149806,3.49650756146648,5,4,14.09,7,"regular",2.43079,"zijnheb",4,-3.07695771347658,1.32175583998232
"184","sleuren",6.30809844150953,1.6094379124341,5,1,13.46,5,"regular",2.3511,"hebben",2,-1.2329246262757,-0.54654370636807
"185","lijden",8.88030735898387,3.43398720448515,4,3,13.81,13,"irregular",1.69173,"hebben",5,-8.88030735898387,2.35137525716348
"186","zeilen",6.03548143252476,3.40119738166216,4,2,13.73,10,"regular",2.31194,"zijnheb",4,0.410238386860822,-2.33537491581704
"187","liften",4.9272536851572,2.56494935746154,4,2,13.17,8,"regular",1.77324,"zijnheb",1,2.15445490094837,-2.65675690671466
"188","blijven",10.8749859078064,3.3322045101752,5,5,13.28,4,"irregular",2.31445,"zijn",8,-10.8749859078064,1.1135313894315
"189","dringen",8.54966038155374,3.25809653802148,5,3,14.06,6,"irregular",2.46098,"zijnheb",5,-8.54966038155374,1.70474809223843
"190","drinken",8.82246957226897,3.66356164612965,5,2,13.82,5,"irregular",2.47049,"hebben",5,-8.82246957226897,1.37792611144937
"191","luchten",6.18826412308259,5.06890420222023,5,2,13.3,6,"regular",1.74807,"hebben",3,2.76537591405054,-2.10573223691155
"192","doppen",4.14313472639153,2.39789527279837,3,1,13.91,22,"regular",1.53329,"hebben",2,1.27296567581289,-2.01490302054226
"193","schouwen",4.69134788222914,3.66356164612965,6,1,13.18,1,"regular",2.04209,"hebben",2,0.0360399364831974,-1.32175583998232
"194","delen",8.08147504013705,5.44673737166631,4,5,14.88,17,"regular",2.50229,"hebben",5,1.62709192002861,-1.61805452869498
"195","lopen",10.4784141017086,5.04985600724954,4,9,13.58,15,"irregular",2.12567,"zijnheb",16,-2.09269727308079,-1.17865499634165
"196","grommen",6.99117688712121,1.09861228866811,4,2,13.52,13,"regular",2.01768,"hebben",4,-4.59328161432284,1.09861228866811
"197","houwen",4.53259949315326,2.89037175789616,4,2,13.12,12,"irregular",1.45853,"hebben",6,-1.06686359035353,0.693147180559945
"198","knijpen",7.29979736675816,2.94443897916644,5,1,12.8,0,"irregular",2.05164,"hebben",6,-5.91350300563827,2.16905370036952
"199","stikken",6.4150969591716,2.70805020110221,4,4,13.95,8,"regular",2.38874,"zijnheb",7,-6.4150969591716,0.965080896043587
"200","grissen",5.68697535633982,0.693147180559945,4,1,13.85,10,"regular",1.98217,"hebben",1,-5.68697535633982,3.8286413964891
"201","berichten",5.85220247977447,3.2188758248682,7,0,14.21,5,"regular",1.72626,"hebben",1,-5.85220247977447,-1.4395388756387
"202","stijgen",8.11252776347864,2.89037175789616,5,3,13.64,2,"irregular",2.56193,"zijn",7,-8.11252776347864,2.484906649788
"203","vellen",6.44094654063292,3.3322045101752,3,2,14.45,22,"regular",2.24671,"hebben",1,0.79395187968191,-2.87167962488401
"204","knielen",6.84800527457636,1.09861228866811,5,1,13.59,0,"regular",2.28537,"zijnheb",2,-6.84800527457636,2.30258509299405
"205","torsen",5.11799381241676,1.09861228866811,4,1,13.98,7,"regular",2.57121,"hebben",1,-1.89911798754855,0
"206","schamen",7.10414409298753,2.56494935746154,6,1,13.78,6,"regular",2.19979,"hebben",2,-7.10414409298753,1.61740608208328
"207","grijpen",8.33230835221912,3.25809653802148,5,2,13.19,3,"irregular",2.39528,"hebben",4,-8.33230835221912,1.67843078392105
