"","PlateID","Test.Substance","Teratogenicity.in.vivo","Sample","Rep..","Label","Conc..ug.ml.","Detector","Avg.delta.Ct","delta.Ct.SD","delta.delta.Ct","RQ","X..RQ","X100..Custom..","X100...Custom..","Custom..","Custom...1","RQ.Min","RQ.Max","Threshold"
"24","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 2",-2.26,0.1,2.39,0.19,19.13,3.51,2.96,0.04,0.03,0.16,0.23,0.5
"25","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 3",-1.7,0.05,0,1,100,7.97,7.39,0.08,0.07,0.93,1.08,0.82
"26","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 3",-0.99,0.1,0.71,0.61,61.1,11.83,9.91,0.12,0.1,0.51,0.73,0.82
"27","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 3",-1.92,0.06,-0.22,1.17,116.56,12.59,11.36,0.13,0.11,1.05,1.29,0.82
"28","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 3",-2.24,0.1,-0.53,1.45,144.7,25.83,21.92,0.26,0.22,1.23,1.71,0.82
"29","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 3",-1.83,0.08,-0.13,1.09,109.32,15.01,13.2,0.15,0.13,0.96,1.24,0.82
"30","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 3",-1.98,0.05,-0.27,1.21,120.89,9.8,9.06,0.1,0.09,1.12,1.31,0.82
"31","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 3",-2.07,0.07,-0.37,1.29,129.04,17.06,15.07,0.17,0.15,1.14,1.46,0.82
"32","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 3",-2.04,0.12,-0.33,1.26,126.04,27.46,22.55,0.27,0.23,1.03,1.54,0.82
"33","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 4",-4.41,0.06,0,1,100,10.29,9.33,0.1,0.09,0.91,1.1,0.57
"34","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 4",-4.19,0.16,0.21,0.86,86.27,26.67,20.37,0.27,0.2,0.66,1.13,0.57
"35","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 4",-4.31,0.04,0.1,0.94,93.62,6.67,6.22,0.07,0.06,0.87,1,0.57
"36","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 4",-4.49,0.07,-0.08,1.06,105.75,14.26,12.56,0.14,0.13,0.93,1.2,0.57
"37","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 4",-4.37,0.05,0.04,0.98,97.52,9.06,8.29,0.09,0.08,0.89,1.07,0.57
"38","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 4",-4.38,0.03,0.02,0.98,98.4,5.47,5.18,0.05,0.05,0.93,1.04,0.57
"39","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 4",-4.31,0.06,0.1,0.93,93.28,9.14,8.33,0.09,0.08,0.85,1.02,0.57
"40","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 4",-4.33,0.1,0.08,0.95,94.71,16.94,14.37,0.17,0.14,0.8,1.12,0.57
"41","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 5",-2.89,0.04,0,1,100,7.59,7.06,0.08,0.07,0.93,1.08,0.63
"42","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 5",-2.58,0.1,0.31,0.81,80.62,15.39,12.92,0.15,0.13,0.68,0.96,0.63
"43","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 5",-1.06,0.03,1.82,0.28,28.23,1.7,1.6,0.02,0.02,0.27,0.3,0.63
"44","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 5",-2.53,0.07,0.36,0.78,77.9,9.74,8.65,0.1,0.09,0.69,0.88,0.63
"45","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 5",0.44,0.06,3.33,0.1,9.94,1.05,0.95,0.01,0.01,0.09,0.11,0.63
"46","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 5",-1.1,0.06,1.79,0.29,28.84,3.08,2.78,0.03,0.03,0.26,0.32,0.63
"47","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 5",-1.52,0.06,1.37,0.39,38.65,4.12,3.73,0.04,0.04,0.35,0.43,0.63
"48","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 5",-1.25,0.1,1.64,0.32,32.11,5.8,4.91,0.06,0.05,0.27,0.38,0.63
"49","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 8",-1.21,0.04,0,1,100,7.58,7.04,0.08,0.07,0.93,1.08,0.81
"50","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 8",-2.81,0.09,-1.61,3.05,304.51,51.28,43.89,0.51,0.44,2.61,3.56,0.81
"51","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 8",-1.04,0.04,0.17,0.89,89.01,6.81,6.33,0.07,0.06,0.83,0.96,0.81
"52","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 8",-0.39,0.08,0.82,0.57,56.61,8.28,7.23,0.08,0.07,0.49,0.65,0.81
"53","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 8",-0.34,0.07,0.86,0.55,55.01,6.82,6.06,0.07,0.06,0.49,0.62,0.81
"54","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 8",-0.15,0.06,1.05,0.48,48.17,5.21,4.7,0.05,0.05,0.43,0.53,0.81
"55","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 8",2.71,0.15,3.92,0.07,6.62,1.86,1.45,0.02,0.01,0.05,0.08,0.81
"56","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 8",2.23,0.16,3.44,0.09,9.23,2.85,2.18,0.03,0.02,0.07,0.12,0.81
"57","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 10",5.74,0.18,0,1,100,35.96,26.45,0.36,0.26,0.74,1.36,0.69
"58","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 10",5.8,0.21,0.06,0.96,96.16,42.17,29.32,0.42,0.29,0.67,1.38,0.69
"59","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 10",5.76,0.19,0.02,0.99,98.6,37.93,27.39,0.38,0.27,0.71,1.37,0.69
"60","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 10",5.48,0.1,-0.26,1.2,119.99,21.93,18.54,0.22,0.19,1.01,1.42,0.69
"61","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 10",5.88,0.27,0.13,0.91,91.24,52.73,33.42,0.53,0.33,0.58,1.44,0.69
"62","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 10",5.31,0.16,-0.44,1.35,135.25,41.48,31.74,0.41,0.32,1.04,1.77,0.69
"63","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 10",6.24,0.33,0.5,0.71,70.84,52.54,30.17,0.53,0.3,0.41,1.23,0.69
"64","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 10",5.42,0.31,-0.32,1.25,124.89,86.18,50.99,0.86,0.51,0.74,2.11,0.69
"65","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 12",2.88,0.09,0,1,100,16.39,14.08,0.16,0.14,0.86,1.16,0.55
"66","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 12",2.64,0.1,-0.25,1.19,118.62,23.01,19.27,0.23,0.19,0.99,1.42,0.55
"67","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 12",3.16,0.05,0.28,0.83,82.6,8.03,7.32,0.08,0.07,0.75,0.91,0.55
"68","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 12",3.53,0.12,0.65,0.64,63.92,14.04,11.51,0.14,0.12,0.52,0.78,0.55
"69","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 12",4.18,0.29,1.3,0.41,40.59,25.75,15.75,0.26,0.16,0.25,0.66,0.55
"70","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 12",3.71,0.09,0.83,0.56,56.31,9.59,8.19,0.1,0.08,0.48,0.66,0.55
"71","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 12",3.01,0.09,0.13,0.92,91.7,14.54,12.55,0.15,0.13,0.79,1.06,0.55
"72","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 12",3.66,0.21,0.78,0.58,58.27,24.41,17.2,0.24,0.17,0.41,0.83,0.55
"73","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 13",-4.87,0.04,0,1,100,7.01,6.55,0.07,0.07,0.93,1.07,0.54
"74","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 13",-4.59,0.09,0.27,0.83,82.85,13.39,11.53,0.13,0.12,0.71,0.96,0.54
"75","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 13",-4.84,0.09,0.03,0.98,98.15,15.65,13.5,0.16,0.13,0.85,1.14,0.54
"76","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 13",-5.07,0.07,-0.2,1.15,115.03,14.99,13.26,0.15,0.13,1.02,1.3,0.54
"77","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 13",-5.16,0.05,-0.29,1.22,122.45,11.92,10.86,0.12,0.11,1.12,1.34,0.54
"78","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 13",-5.24,0.03,-0.38,1.3,129.93,7.81,7.36,0.08,0.07,1.23,1.38,0.54
"79","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 13",-5.04,0.05,-0.18,1.13,113.18,10.49,9.6,0.1,0.1,1.04,1.24,0.54
"80","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 13",-5.23,0.1,-0.37,1.29,129.02,24.28,20.44,0.24,0.2,1.09,1.53,0.54
"81","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 15",-1.22,0.05,0,1,100,8.37,7.72,0.08,0.08,0.92,1.08,0.46
"82","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 15",-0.79,0.1,0.43,0.74,74.01,13.2,11.2,0.13,0.11,0.63,0.87,0.46
"83","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 15",-1.42,0.04,-0.2,1.15,114.85,8.31,7.75,0.08,0.08,1.07,1.23,0.46
"84","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 15",-1.67,0.07,-0.45,1.37,136.81,16.36,14.61,0.16,0.15,1.22,1.53,0.46
"85","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 15",-1.56,0.05,-0.34,1.27,126.5,10.98,10.11,0.11,0.1,1.16,1.37,0.46
"86","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 15",-1.73,0.06,-0.51,1.43,142.66,14.1,12.83,0.14,0.13,1.3,1.57,0.46
"87","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 15",-1.5,0.06,-0.28,1.22,121.54,12,10.92,0.12,0.11,1.11,1.34,0.46
"88","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 15",-1.37,0.1,-0.15,1.11,110.69,20.29,17.15,0.2,0.17,0.94,1.31,0.46
"89","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"90","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"91","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"92","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"93","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"94","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"95","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"96","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57
"97","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 1",-3.95,0.51,0,1,100,137.97,57.98,1.38,0.58,0.42,2.38,0.49
"98","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 1",-4.62,0.12,-0.66,1.58,158.24,36.88,29.91,0.37,0.3,1.28,1.95,0.49
"99","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 1",-3.38,0.11,0.57,0.67,67.33,13.19,11.03,0.13,0.11,0.56,0.81,0.49
"100","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 1",-2.33,0.09,1.63,0.32,32.41,5.3,4.55,0.05,0.05,0.28,0.38,0.49
"101","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 1",-2.24,0.12,1.71,0.31,30.53,6.73,5.51,0.07,0.06,0.25,0.37,0.49
"102","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 1",-2.06,0.23,1.9,0.27,26.87,12.69,8.62,0.13,0.09,0.18,0.4,0.49
"103","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 1",0.25,0.15,4.2,0.05,5.43,1.57,1.22,0.02,0.01,0.04,0.07,0.49
"104","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 1",0.19,0.33,4.14,0.06,5.65,4.19,2.41,0.04,0.02,0.03,0.1,0.49
"105","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 2",-3.93,0.37,0,1,100,88.01,46.81,0.88,0.47,0.53,1.88,0.56
"106","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 2",-4.28,0.1,-0.36,1.28,128.08,23.44,19.81,0.23,0.2,1.08,1.52,0.56
"107","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 2",-3.17,0.1,0.76,0.59,59.1,10.92,9.22,0.11,0.09,0.5,0.7,0.56
"108","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 2",-2.85,0.08,1.08,0.47,47.29,6.57,5.77,0.07,0.06,0.42,0.54,0.56
"109","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 2",-1.19,0.15,2.74,0.15,14.97,4.22,3.29,0.04,0.03,0.12,0.19,0.56
"110","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 2",-1.62,0.22,2.31,0.2,20.19,9.34,6.38,0.09,0.06,0.14,0.3,0.56
"111","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 2",-0.95,0.21,2.97,0.13,12.74,5.53,3.86,0.06,0.04,0.09,0.18,0.56
"112","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 2",-0.84,0.19,3.09,0.12,11.76,4.35,3.18,0.04,0.03,0.09,0.16,0.56
"113","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 3",-1.9,0.39,0,1,100,94.3,48.53,0.94,0.49,0.51,1.94,0.78
"114","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 3",-1.31,0.1,0.6,0.66,66.09,12.26,10.34,0.12,0.1,0.56,0.78,0.78
"115","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 3",-2.17,0.12,-0.27,1.2,120.2,26.95,22.02,0.27,0.22,0.98,1.47,0.78
"116","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 3",-2.44,0.06,-0.54,1.46,145.52,16.89,15.13,0.17,0.15,1.3,1.62,0.78
"117","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 3",-2.43,0.09,-0.52,1.44,143.89,24.55,20.98,0.25,0.21,1.23,1.68,0.78
"118","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 3",-2.53,0.24,-0.63,1.55,154.67,78.26,51.97,0.78,0.52,1.03,2.33,0.78
"119","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 3",-2.67,0.16,-0.77,1.71,170.67,54.01,41.03,0.54,0.41,1.3,2.25,0.78
"120","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 3",-2.17,0.19,-0.27,1.2,120.24,46.35,33.46,0.46,0.33,0.87,1.67,0.78
"121","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 4",-4.58,0.37,0,1,100,85.75,46.16,0.86,0.46,0.54,1.86,0.58
"122","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 4",-4.08,0.1,0.5,0.7,70.5,13.62,11.42,0.14,0.11,0.59,0.84,0.58
"123","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 4",-4.15,0.11,0.43,0.74,74.06,15.83,13.04,0.16,0.13,0.61,0.9,0.58
"124","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 4",-4.41,0.07,0.17,0.89,88.73,10.45,9.35,0.1,0.09,0.79,0.99,0.58
"125","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 4",-4.5,0.09,0.08,0.95,94.75,15.53,13.35,0.16,0.13,0.81,1.1,0.58
"126","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 4",-4.48,0.23,0.1,0.93,93.44,44.04,29.93,0.44,0.3,0.64,1.37,0.58
"127","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 4",-4.67,0.13,-0.09,1.06,106.3,26.01,20.9,0.26,0.21,0.85,1.32,0.58
"128","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 4",-4.28,0.19,0.31,0.81,80.91,31.15,22.49,0.31,0.22,0.58,1.12,0.58
"129","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 5",-0.52,0.39,0,1,100,94.91,48.69,0.95,0.49,0.51,1.95,0.55
"130","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 5",-1.86,0.1,-1.34,2.53,253.22,45.47,38.55,0.45,0.39,2.15,2.99,0.55
"131","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 5",-0.72,0.16,-0.2,1.15,115.06,34.77,26.7,0.35,0.27,0.88,1.5,0.55
"132","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 5",-0.13,0.26,0.38,0.77,76.7,41.85,27.08,0.42,0.27,0.5,1.19,0.55
"133","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 5",-0.13,0.1,0.39,0.77,76.51,14.76,12.37,0.15,0.12,0.64,0.91,0.55
"134","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 5",0.2,0.25,0.72,0.61,60.83,32.19,21.05,0.32,0.21,0.4,0.93,0.55
"135","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 5",0.46,0.17,0.97,0.51,50.92,17.13,12.82,0.17,0.13,0.38,0.68,0.55
"136","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 5",0.78,0.41,1.3,0.41,40.74,41.33,20.52,0.41,0.21,0.2,0.82,0.55
"137","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 8",-3.33,0.37,0,1,100,88.14,46.85,0.88,0.47,0.53,1.88,0.75
"138","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 8",-4.06,0.1,-0.73,1.66,165.71,30.96,26.08,0.31,0.26,1.4,1.97,0.75
"139","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 8",-3.1,0.1,0.23,0.85,85.23,15.47,13.09,0.15,0.13,0.72,1.01,0.75
"140","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 8",-2.36,0.09,0.97,0.51,51.1,8.17,7.04,0.08,0.07,0.44,0.59,0.75
"141","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 8",-2.16,0.11,1.17,0.44,44.49,8.7,7.28,0.09,0.07,0.37,0.53,0.75
"142","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 8",-1.93,0.23,1.4,0.38,38,17.92,12.18,0.18,0.12,0.26,0.56,0.75
"143","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 8",0.63,0.13,3.96,0.06,6.44,1.57,1.26,0.02,0.01,0.05,0.08,0.75
"144","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 8",0.45,0.18,3.78,0.07,7.26,2.66,1.95,0.03,0.02,0.05,0.1,0.75
"145","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 10",0.62,0.49,0,1,100,157.35,61.14,1.57,0.61,0.39,2.57,0.25
"146","A0046031","Compound G","Non","Sample 31","Rep 17","P9",183,"ProbeType 10",4.17,0.57,3.55,0.09,8.54,13.74,5.27,0.14,0.05,0.03,0.22,0.25
"147","A0046031","Compound G","Non","Sample 49","Rep 17","P8",269,"ProbeType 10",3.29,0.61,2.66,0.16,15.8,30.88,10.45,0.31,0.1,0.05,0.47,0.25
"148","A0046031","Compound G","Non","Sample 68","Rep 17","P7",396,"ProbeType 10",3.48,0.38,2.85,0.14,13.84,13.46,6.82,0.13,0.07,0.07,0.27,0.25
"149","A0046031","Compound G","Non","Sample 87","Rep 17","P6",582,"ProbeType 10",3.83,0.9,3.21,0.11,10.81,38.64,8.45,0.39,0.08,0.02,0.49,0.25
"150","A0046031","Compound G","Non","Sample 106","Rep 17","P5",856,"ProbeType 10",2.39,0.38,1.77,0.29,29.4,28.56,14.49,0.29,0.14,0.15,0.58,0.25
"151","A0046031","Compound G","Non","Sample 124","Rep 17","P4",1259,"ProbeType 10",2.02,0.3,1.39,0.38,38.06,29.4,16.59,0.29,0.17,0.21,0.67,0.25
"152","A0046031","Compound G","Non","Sample 141","Rep 17","P3",1851,"ProbeType 10",2.66,0.3,2.03,0.24,24.44,18.85,10.64,0.19,0.11,0.14,0.43,0.25
"153","A0046031","Compound G","Non","Sample 14","Rep 17","Ctrl",0,"ProbeType 12",0.12,0.36,0,1,100,100.34,50.08,1,0.5,0.5,2,0.06
