"","P","A","B","C","D","E"
"AI162928",-1.785190461,-2.781769062,-2.218771472,0.121087678,1.40268212,-0.85028636
"AI162940",-2.180211647,-3.011967551,-2.874166533,-0.987710304,1.145086489,1.293048878
"AI162997",1.970667711,0.691323157,-0.561979978,-1.583891574,-2.025886441,1.628114689
"AI163012",-0.120312423,-1.990386775,-1.493876739,-0.074825405,-0.244393679,1.573168794
"AI163131",1.816633564,1.236374274,-0.622351229,-2.325968118,-2.979242593,-1.524262461
"AI163151",-0.961572945,0.293195615,0.612563729,0.605375006,-1.542684199,-2.229170627
"AI163249",2.527791273,0.537573478,-0.213140037,-0.653372669,-1.981052789,-0.103751727
"AI163303",2.936759255,0.871766063,-1.330073054,-2.879695289,-2.727875927,-0.219000704
"AI163315",0.402202444,1.304862897,0.202711274,-1.39099897,-3.126526091,-1.894293258
"AI163328",-1.410176878,-2.192411777,-1.463951253,0.707034094,1.05112584,-1.799914313
"AI163338",-1.562417732,-2.559218316,-1.953437802,0.335865952,1.509631262,-0.252860541
"AI163474",-1.555690697,-1.423390609,-0.876378821,0.781853145,0.966455932,-1.597787203
"AI163485",-0.209521601,1.186686752,0.107245456,-1.481140196,-3.062176592,-2.101837099
"AI163528",1.084261753,1.511563151,-0.471158378,-2.546764264,-3.356771171,-2.454678901
"AI163580",-2.3298424,-3.473259841,-3.163663831,-0.936517231,1.011236941,-0.139728315
"AI163594",-1.85261667,-2.187259029,-2.139425843,-0.780863756,0.737379213,1.457235105
"AI163608",0.240120466,0.269452618,0.282495475,0.75601541,-0.398435674,-2.388389313
"AI163617",3.054738768,0.595171191,-0.111638484,-0.128360429,-0.959983224,0.329828067
"AI163624",-1.211783918,-2.709841672,-2.554931817,-0.565946765,1.102680237,0.233632095
"AI163650",1.528708254,-0.684827293,-2.003548061,-2.823005161,-2.814018767,1.879842899
"AI163756",-0.814350422,0.331872461,0.749159776,0.658984328,-1.911967952,-2.16363891
"AI163758",-2.078380578,-3.22508513,-2.05761117,0.71323411,0.965242066,-2.364523945
"AI163812",2.245575372,0.990236152,-0.635967786,-1.823029851,-2.163546483,-0.464348296
"AI163821",2.172399554,1.044134301,-0.591475291,-1.639585923,-1.756101999,-0.837402146
"AI163880",-0.153342505,-1.058419622,-1.947409724,-1.180487522,1.019277707,1.145542517
"AI163941",-1.624654127,-1.123862258,-1.499278991,-0.723222237,0.88619115,1.137964001
"AI163991",-1.982511896,-1.31807829,-0.609359154,0.17405592,-0.62208917,1.573492012
"AI163994",3.041608386,0.711964335,-0.637418864,-1.168728479,-1.432844047,-0.294902821
"AI164060",-1.793138316,-2.359492066,-1.402623286,0.867559994,0.969743841,-1.762432139
"AI164101",-0.948887041,-1.633605156,-1.9793889,-2.258444281,-2.829824904,1.691490948
"AI164136",-0.416210094,0.50273782,0.589742161,0.390969879,-1.814465003,-2.659161441
"AI164231",-2.287710676,-2.743821433,-2.271574955,-0.346678103,0.956066446,0.42295962
"AI164359",-2.030576922,-1.865874673,-2.148918807,-1.155241335,0.521522715,0.698425687
"AI164370",-1.646505138,0.042477873,-0.176403808,0.233844535,0.396555719,-2.062046548
"AI164435",-2.089338426,-2.818398757,-1.865294158,0.30786493,0.828348976,0.705917726
"AI164450",-0.436988052,0.629912539,0.248113448,0.317165016,-0.243298534,-2.619985952
"AI164546",-1.777531314,-2.994495196,-2.541622274,-0.355749638,1.043650304,-0.097918158
"AI164585",1.342910526,0.83355329,-0.731315264,-1.812503873,-1.855049132,-0.929016806
"AI164604",-1.788724008,-2.280638073,-2.402085901,-0.7415289,1.218875928,-0.522632902
"AI164612",0.470858541,0.979943379,0.151954134,-0.935867631,-2.7712127,-2.802919324
"AI164635",1.717691932,1.126191023,-0.526884961,-1.766631818,-1.977991075,-0.967496235
"AI164684",0.610983807,1.061674447,0.251833282,-0.834222083,-2.689826867,-2.510019172
"AI164686",1.361683308,0.996929754,-0.145288532,-1.390034642,-2.795568042,-1.309250251
"AI164711",-2.038372098,-1.738743336,-1.524260503,-0.154725095,1.01232382,0.783443709
"AI164730",0.829163002,-1.638460736,-1.342812017,0.580775214,0.813708382,-1.172182879
"AI164753",-0.67507193,-2.059815853,-2.039511994,-0.246727243,1.276692595,0.049689723
"AI164793",2.910945904,-0.0654981,-0.499400738,0.013255621,-0.740940749,-0.062601743
"AI164884",1.360330263,1.157299561,0.24050653,-0.771901499,-2.388338505,-1.761758454
"AI164964",-2.080479293,-1.166827391,-0.778184819,0.313469009,0.745357242,0.866204506
"AI164970",-1.180982641,0.416340466,0.699236679,0.57303808,-1.593193261,-2.35314069
"AI164979",-2.144424786,-3.005716105,-2.58837418,-0.565089465,0.987927702,0.741161493
"AI165006",3.175389891,0.102207256,-1.251615596,-1.000001161,0.039095545,0.345681201
"AI165011",-0.509766739,0.43033787,0.539364092,0.345495818,-1.865588874,-2.596596265
"AI165021",-1.893914275,-2.176509717,-2.091453292,-0.410207973,1.166916404,-0.468929524
"AI165041",1.640460267,1.133149065,-0.625672709,-1.82023429,-1.696191725,-1.125341822
"AI165062",-2.012785602,-1.754749747,-1.045890718,0.59055829,0.82079592,-0.03507501
"AI165107",-1.47128084,-1.10247421,-0.947837264,-0.599365227,-0.908110481,1.893584376
"AI165162",-0.967586555,-1.051052795,-0.702637912,0.828519772,1.08853753,-1.638650422
"AI165175",-0.52221229,0.571573413,0.315789684,0.470579624,-0.219531841,-2.603323069
"AI165189",-1.082494494,-1.492684273,-1.793508567,-0.830754626,0.703491809,1.631548733
"AI165206",-1.942586788,-2.105215541,-1.319349564,0.409751191,0.717774419,0.936360915
"AI165215",-2.659467612,-2.157013614,-1.60927827,0.034170762,1.102390739,1.033143903
"AI165247",-1.516338662,-2.156640766,-1.380472928,0.712055783,1.072053289,-0.846623695
"AI165272",-1.209342635,-1.961687806,-1.174569863,0.880788182,0.915322521,-1.486162057
"AI165289",-2.017647346,-1.824797199,-1.132765783,0.701347637,0.968720088,-1.525274267
"AI165320",-1.474195789,-1.075393475,-1.346906684,-0.500017432,0.980560652,1.398217977
"AI165426",0.731261512,1.017490706,0.515331468,-0.006569127,-1.711110192,-2.552549202
"AI165492",-0.825103984,0.197270749,0.427721715,0.722818474,-0.832655699,-2.503834525
"AI165520",-1.954531347,-2.211695398,-2.522984138,-1.102138419,1.138147794,0.118984768
"AI165529",-1.646475531,-2.52116313,-2.016563685,0.197833361,1.233555555,-1.60992081
"AI165575",-2.24279799,0.222960571,0.410424948,0.241344213,-0.698523827,0.526557721
"AI165655",-0.749500767,-1.758373973,-1.057974297,0.833130907,0.703967462,-1.179214159
"AI165668",1.8585202,1.21027212,-0.289112554,-1.41814105,-2.063488761,-1.904207815
"AI165673",-1.350424403,-2.384571078,-2.010658435,0.044338261,1.191203891,-0.844096834
"AI165687",-0.927055869,0.255109862,0.498517867,0.959205347,-0.262069686,-2.403536578
"AI165690",-0.738612635,-2.101418716,-2.444019827,-0.956886198,1.115158592,0.838899424
"AI165691",-0.454107785,-1.109245142,-1.829927988,-0.93781829,1.245284497,1.387200211
"AI165730",-1.881386502,-2.908727315,-2.313295011,0.071087001,1.127182651,-1.92336497
"AI165803",-1.261548661,-1.980638785,-1.374637786,0.52269382,0.72732513,-1.560785973
"AI165826",-1.168348422,-1.57277077,-0.698226176,1.047301832,0.346868855,-1.751361737
"AI165835",0.279373241,0.914626126,0.152286823,-0.890720183,-2.745309266,-2.838222491
"AI165836",-2.902862734,-3.131954939,-2.831275752,-2.003294508,-1.781219292,1.339414699
"AI165868",-2.034072647,-2.835846592,-2.291155419,-0.069664876,1.048368975,-1.316081178
"AI165903",-1.93250627,-3.001436628,-3.079098459,-1.073365396,1.391437828,-0.006091865
"AI165913",2.518224916,1.193254155,-0.827223591,-2.370637573,-2.603378898,-1.18523685
"AI165949",-1.504415304,-1.816959683,-2.062265322,-0.847690495,0.935161944,0.885173684
"AI165974",-2.200970938,-2.62422794,-2.499668066,-0.691456908,1.248765306,0.451784314
"AI165990",2.624622678,0.229386945,-0.857189794,-0.606035343,0.036446779,0.247942571
"AI166034",-1.354018154,-2.117804214,-2.510722498,-1.270681696,0.948264675,1.646711721
"AI166057",-1.005707943,0.51189412,0.703222036,0.699379532,-1.137315197,-2.562734239
"AI166068",-0.661984847,-1.465355962,-2.116463823,-2.656270253,-2.932186596,2.113183632
"AI166086",-0.660102717,0.228130533,0.738761066,0.889236654,-1.544232225,-1.973891353
"AI166095",0.006440114,0.582300812,0.513030176,0.2714981,-1.773750092,-2.545121711
"AI166101",1.879694591,1.564034957,-0.589991204,-2.595470724,-3.081353977,-1.863841083
"AI166111",2.041987085,1.086702333,-0.346559877,-1.546652027,-2.422771395,-1.175058365
"AI166128",-1.244155673,-2.606025323,-2.131947933,-0.01419288,0.963437123,-0.559774063
"AI166167",-0.661381121,-0.153681538,0.015644076,0.904776281,0.417192345,-2.281271344
"AI166182",-1.796309798,-1.790067141,-1.096755085,0.752957584,0.974844575,-1.427127598
