"","occurMA","occurWP"
"Centromerita concinna",8,26
"Centromerus arcanus",1,23
"Centromerus brevivulvatus",4,26
"Centromerus capucinus",4,15
"Centromerus dilutus",11,17
"Centromerus incilium",2,27
"Centromerus levitarsis",1,19
"Centromerus prudens",11,22
"Centromerus serratus",5,19
"Centromerus sylvaticus",16,33
"Ceratinella brevipes",13,36
"Ceratinella brevis",15,37
"Ceratinella scabrosa",9,30
"Cercidia prominens",8,32
"Cetonana laticeps",2,15
"Chalcoscirtus infimus",5,29
"Cheiracanthium elegans",3,20
"Cheiracanthium erraticum",5,38
"Cheiracanthium mildei",5,33
"Cheiracanthium pennatum",1,5
"Cheiracanthium pennyi",6,22
"Cheiracanthium punctorium",9,27
"Cheiracanthium striolatum",1,7
"Cheiracanthium virescens",10,33
"Cicurina cicur",14,28
"Clubiona brevipes",19,33
"Clubiona comta",25,38
"Clubiona corticalis",7,30
"Clubiona diversa",12,30
"Clubiona genevensis",8,26
"Clubiona germanica",1,28
"Clubiona juvenis",1,18
"Clubiona leucaspis",2,10
"Clubiona lutescens",9,34
"Clubiona neglecta",18,37
"Clubiona pallidula",8,36
"Clubiona phragmitis",16,39
"Clubiona pseudoneglecta",1,10
"Clubiona reclusa",12,31
"Clubiona rosserae",1,7
"Clubiona similis",8,22
"Clubiona stagnatilis",13,27
"Clubiona subtilis",5,25
"Clubiona terrestris",22,30
"Clubiona trivialis",5,33
"Clubiona vegeta",3,14
"Cnephalocotes obscurus",10,28
"Coelotes atropos",2,19
"Coelotes terrestris",13,18
"Collinsia inerrans",8,16
"Cozyptila blackwalli",3,24
"Crustulina guttata",25,34
"Crustulina sticta",5,23
"Cyclosa algerica",2,5
"Cyclosa conica",13,43
"Cyclosa oculata",7,24
"Dendryphantes rudis",12,29
"Diaea dorsata",10,35
"Dictyna arundinacea",19,47
"Dictyna civica",1,26
"Dictyna latens",28,36
"Dictyna major",1,17
"Dictyna pusilla",2,31
"Dictyna uncinata",8,36
"Dicymbium nigrum",16,37
"Dicymbium tibiale",4,26
"Diplocentria bidentata",1,18
"Diplocephalus connatus",2,11
"Diplocephalus cristatus",4,34
"Diplocephalus graecus",3,9
"Diplocephalus latifrons",4,37
"Diplocephalus permixtus",5,27
"Diplocephalus picinus",8,34
"Diplostyla concolor",24,40
"Dipoena coracina",3,19
"Dipoena erythropus",1,17
"Dipoena melanogaster",10,32
"Dismodicus bifrons",3,33
"Dismodicus elevatus",1,27
"Dolomedes fimbriatus",9,34
"Donacochara speciosa",1,21
"Drapetisca socialis",5,32
"Drassodes cupreus",20,25
"Drassodes lapidosus",40,49
"Drassodes pubescens",16,38
"Drassyllus lutetianus",16,31
"Drassyllus praeficus",15,36
"Drassyllus pusillus",19,36
"Drassyllus villicus",4,20
"Dysdera crocata",22,42
"Dysdera erythrina",48,32
"Dysdera fuscipes",5,3
"Ebrechtella tricuspidata",9,29
"Enoplognatha caricis",2,13
"Enoplognatha latimana",11,23
"Enoplognatha mandibularis",10,27
"Enoplognatha mordax",12,23
"Enoplognatha oelandica",2,17
"Enoplognatha ovata",42,44
"Enoplognatha testacea",1,12
"Enoplognatha thoracica",32,39
"Entelecara acuminata",9,31
"Entelecara aestiva",1,3
"Entelecara erythropus",9,24
"Entelecara flavipes",2,18
"Entelecara omissa",1,9
"Episinus algericus",2,6
"Episinus angulatus",14,27
"Episinus maculipes",8,13
"Episinus truncatus",20,34
"Eresus cinnaberinus",4,39
"Erigone arctica",1,15
"Erigone atra",35,40
"Erigone dentipalpis",37,47
"Erigone longipalpis",10,27
"Erigone promiscua",9,15
"Erigonella hiemalis",1,26
"Erigonella ignobilis",2,25
"Ero aphana",23,33
"Ero cambridgei",10,22
"Ero furcata",24,36
"Ero tuberculata",6,28
"Euophrys acripes",1,2
"Euophrys frontalis",33,38
"Euophrys herbigrada",9,16
"Euophrys rufibarbis",1,19
"Euophrys terrestris",1,10
"Euryopis flavomaculata",11,32
"Euryopis laeta",4,17
"Evarcha arcuata",13,40
"Evarcha falcata",15,39
"Evarcha laetabunda",1,32
"Floronia bucculenta",12,30
"Frontinellina frutetorum",12,31
"Gibbaranea bituberculata",19,42
"Gibbaranea gibbosa",14,34
"Gnaphosa leporina",2,21
"Gnaphosa lucifuga",2,33
"Gnaphosa lugubris",3,26
"Gnaphosa nigerrima",1,15
"Gnaphosa occidentalis",5,5
"Gnaphosa oceanica",1,2
"Gnathonarium dentatum",18,39
"Gonatium hilare",1,20
"Gonatium paradoxum",2,23
"Gonatium rubellum",6,29
"Gonatium rubens",20,34
"Gongylidiellum latebricola",3,26
"Gongylidiellum murcidum",6,28
"Gongylidiellum vivum",14,22
"Gongylidium rufipes",9,31
"Hahnia candida",9,16
"Hahnia helveola",8,20
"Hahnia montana",14,27
"Hahnia nava",11,36
"Hahnia ononidum",2,31
"Hahnia petrobia",1,4
"Hahnia picta",1,8
"Hahnia pusilla",2,29
"Halorates reprobus",7,14
"Haplodrassus dalmatensis",12,38
"Haplodrassus minor",2,19
"Haplodrassus signifer",21,55
"Haplodrassus silvestris",8,30
"Haplodrassus umbratilis",2,28
"Harpactea hombergi",28,27
"Heliophanus aeneus",4,27
"Heliophanus auratus",9,37
"Heliophanus cupreus",34,45
"Heliophanus encifer",1,4
"Heliophanus flavipes",31,43
"Heliophanus kochi",6,27
"Heliophanus lineiventris",1,26
"Heliophanus melinus",1,21
"Heliophanus rufithorax",3,6
"Heliophanus tribulosus",25,27
"Heriaeus melloteei",1,25
"Heterotrichoncus pusillus",1,4
"Hogna radiata",5,33
"Hybocoptus corrugis",6,6
"Hygrolycosa rubrofasciata",12,23
"Hylyphantes graminicola",8,25
"Hylyphantes nigritus",1,18
"Hypomma bituberculatum",9,31
"Hypomma cornutum",7,30
"Hypomma fulvum",4,21
"Hypsosinga albovittata",7,44
"Hypsosinga heri",10,32
"Hypsosinga pygmaea",2,39
"Hypsosinga sanguinea",12,34
"Hyptiotes flavidus",1,9
"Hyptiotes paradoxus",2,36
"Icius hamatus",1,19
"Icius subinermis",3,12
"Jacksonella falconeri",3,15
"Kaestneria dorsalis",4,25
"Kaestneria pullata",6,27
"Keijia tincta",21,38
"Kishidaia conspicua",1,22
"Kochiura aulica",21,35
"Labulla thoracica",3,25
"Larinioides cornutus",40,46
"Larinioides patagiatus",6,39
"Larinioides sclopetarius",3,35
"Lasaeola tristis",4,29
"Lasiargus hirsutus",1,13
"Lathys humilis",22,29
"Lathys jubata",1,2
"Lathys sexpustulata",5,2
"Lathys stigmatisata",7,23
"Latrodectus tredecimguttatus",2,29
"Lepthyphantes leprosus",13,41
"Lepthyphantes minutus",9,28
"Lessertia dentichelis",1,21
"Linyphia hortensis",9,32
"Linyphia tenuipalpis",1,20
"Linyphia triangularis",34,42
"Liocranoeca striata",3,25
"Liocranum rupicola",2,29
"Lophomma punctatum",10,28
"Macaroeris nidicolens",14,33
"Macrargus rufus",6,29
"Malthonica pagana",3,36
"Malthonica picta",26,15
"Malthonica silvestris",18,25
"Mangora acalypha",42,56
"Marilynia bicolor",1,18
"Maro lepidus",1,12
"Maro minutus",2,21
"Marpissa muscosa",5,32
"Marpissa nivoyi",15,25
"Marpissa pomatia",3,21
"Marpissa radiata",3,28
"Maso gallicus",14,18
"Maso sundevalli",10,37
"Mecopisthes peusi",11,8
"Megalepthyphantes nebulosus",1,31
"Meioneta affinis",7,29
"Meioneta fuscipalpa",1,34
"Meioneta gulosa",1,20
"Meioneta innotabilis",3,23
"Meioneta mollis",17,23
"Meioneta rurestris",23,46
"Meioneta saxatilis",3,23
"Meioneta simplicitarsis",2,14
"Mermessus trilobatus",2,5
"Meta bourneti",1,16
"Meta menardi",1,30
"Metellina mengei",22,37
"Metellina merianae",16,46
"Metellina segmentata",17,41
"Metopobactrus prominulus",7,28
"Micaria albovittata",18,31
"Micaria dives",2,26
"Micaria formicaria",9,33
"Micaria fulgens",2,31
"Micaria pulicaria",17,40
"Micaria silesiaca",1,28
"Micrargus apertus",3,21
"Micrargus herbigradus",10,34
"Micrargus laudatus",3,11
"Micrargus pervicax",1,1
"Micrargus subaequalis",9,30
"Microctenonyx subitaneus",2,26
"Microlinyphia impigra",5,25
"Microlinyphia pusilla",19,41
"Micrommata ligurinum",8,21
"Micrommata virescens",12,43
"Microneta viaria",17,39
"Minicia candida",3,3
"Minicia marginella",3,22
"Minyriolus pusillus",4,28
"Mioxena blanda",1,20
"Misumena vatia",24,43
"Moebelia penicillata",2,27
"Monocephalus fuscipes",10,13
"Myrmarachne formicaria",19,38
"Mysmena leucoplagiata",1,6
"Nematogmus sanguinolentus",2,20
"Neon levis",1,27
"Neon reticulatus",19,37
"Neoscona adianta",32,50
"Neottiura bimaculata",33,37
"Neottiura suaveolens",6,14
"Neriene clathrata",33,37
"Neriene emphana",2,31
"Neriene furtiva",11,24
"Neriene montana",8,34
"Neriene peltata",5,34
"Neriene radiata",12,33
"Nesticus cellulanus",18,31
"Nigma flavescens",3,26
"Nigma hortensis",1,5
"Nigma puella",15,17
"Nigma walckenaeri",5,26
"Nomisia aussereri",1,26
"Nomisia exornata",5,29
"Nuctenea umbratica",32,42
"Obscuriphantes obscurus",4,32
"Oedothorax agrestis",11,28
"Oedothorax apicatus",16,32
"Oedothorax fuscus",38,35
"Oedothorax gibbifer",1,10
"Oedothorax gibbosus",10,28
"Oedothorax retusus",24,34
"Oonops amoenus",1,2
"Oonops domesticus",7,14
"Oonops pulcher",1,21
"Oreonetides vaginata",1,20
"Oryphantes angulatus",1,18
"Ostearius melanopygius",15,24
"Oxyopes heterophthalmus",3,37
"Oxyopes lineatus",3,35
"Ozyptila atomaria",25,40
"Ozyptila brevipes",4,28
"Ozyptila claveata",4,28
"Ozyptila praticola",14,33
"Ozyptila rauda",1,23
"Ozyptila sanctuaria",12,13
"Ozyptila scabricula",6,27
"Ozyptila simplex",25,25
"Ozyptila trux",16,36
"Pachygnatha clercki",29,40
"Pachygnatha degeeri",42,43
"Pachygnatha listeri",8,32
"Paidiscura pallens",22,31
"Palliduphantes alutacius",4,9
"Palliduphantes arenicola",1,2
"Palliduphantes culicinus",3,2
"Palliduphantes ericaeus",24,17
"Palliduphantes insignis",5,17
"Palliduphantes pallidus",30,31
"Panamomops mengei",1,20
"Panamomops sulcifrons",3,13
"Parapelecopsis mediocris",7,6
"Parapelecopsis nemoralis",9,20
"Parasteatoda lunata",11,36
"Parasteatoda tepidariorum",3,33
"Parazygiella montana",2,22
"Pardosa agrestis",9,33
"Pardosa agricola",8,32
"Pardosa amentata",26,36
"Pardosa bifasciata",1,22
"Pardosa hortensis",27,29
"Pardosa lugubris",23,34
"Pardosa monticola",24,33
"Pardosa nigriceps",38,27
"Pardosa paludicola",6,31
"Pardosa palustris",18,36
"Pardosa prativaga",27,35
"Pardosa proxima",32,36
"Pardosa pullata",40,39
"Pardosa purbeckensis",4,10
"Pardosa riparia",3,27
"Pardosa saltans",2,12
"Pardosa tatarica",1,16
"Pardosa vittata",6,18
"Pelecopsis elongata",2,24
"Pelecopsis inedita",2,10
"Pelecopsis mengei",1,23
"Pelecopsis parallela",18,32
"Pelecopsis radicicola",3,22
"Pellenes arciger",1,11
"Pellenes brevis",2,7
"Pellenes nigrociliatus",3,22
"Pellenes tripunctatus",9,31
"Peponocranium ludicrum",16,20
"Phaeocedus braccatus",4,29
"Philaeus chrysops",2,41
"Philodromus albidus",1,14
"Philodromus aureolus",15,49
"Philodromus buxi",5,15
"Philodromus cespitum",19,37
"Philodromus collinus",2,38
"Philodromus dispar",22,33
"Philodromus emarginatus",1,35
"Philodromus fallax",4,22
"Philodromus fuscolimbatus",3,18
"Philodromus glaucinus",4,22
"Philodromus histrio",3,31
"Philodromus lepidus",1,14
"Philodromus margaritatus",4,32
"Philodromus poecilus",1,29
"Philodromus praedatus",2,19
"Philodromus pulchellus",13,16
"Philodromus rufus",18,31
"Phlegra bresnieri",5,23
"Phlegra fasciata",12,38
"Pholcomma gibbum",15,39
"Pholcus phalangioides",23,53
"Phoroncidia paradoxa",1,7
"Phrurolithus festivus",28,38
"Phrurolithus minimus",15,24
"Phrurolithus nigrinus",4,7
"Phycosoma inornatum",3,26
"Piniphantes pinicola",2,13
"Pirata hygrophilus",13,33
"Pirata latitans",31,33
"Pirata piraticus",25,42
"Pirata piscatorius",8,31
"Pirata tenuitarsis",9,22
"Pirata uliginosus",1,23
"Pireneitega segestriformis",1,5
"Pisaura mirabilis",46,52
"Pistius truncatus",4,35
"Pityohyphantes phrygianus",1,27
"Pocadicnemis juncea",8,15
"Pocadicnemis pumila",24,35
"Poecilochroa tescorum",1,1
"Poecilochroa variana",7,24
"Poeciloneta variegata",11,27
"Porrhomma convexum",1,30
"Porrhomma egeria",4,18
"Porrhomma microphthalmum",8,26
"Porrhomma oblitum",2,17
"Porrhomma pygmaeum",20,39
"Prinerigone vagans",27,36
"Pseudeuophrys erratica",10,38
"Pseudeuophrys lanigera",5,19
"Pseudicius encarpatus",2,27
"Psilochorus simoni",8,16
"Robertus arundineti",14,41
"Robertus lividus",29,37
"Robertus neglectus",1,28
"Robertus scoticus",3,23
"Robertus truncorum",1,10
"Rugathodes bellicosus",2,21
"Rugathodes instabilis",5,19
"Runcinia grammica",7,36
"Saaristoa abnormis",19,30
"Saitis barbipes",13,13
"Salticus cingulatus",1,34
"Salticus conjunctus",1,4
"Salticus modicus",1,1
"Salticus mutabilis",4,26
"Salticus propinquus",1,13
"Salticus scenicus",34,46
"Salticus zebraneus",5,34
"Satilatlas britteni",1,15
"Savignia frontata",8,28
"Scotina celans",21,24
"Scotina gracilipes",2,14
"Scotina palliardii",6,21
"Scotophaeus blackwalli",4,27
"Scotophaeus quadripunctatus",1,22
"Scotophaeus retusus",1,4
"Scotophaeus scutulatus",4,32
"Scytodes thoracica",8,47
"Segestria bavarica",14,28
"Segestria florentina",19,35
"Segestria senoculata",26,43
"Sibianor aurocinctus",4,27
"Silometopus ambiguus",8,11
"Silometopus curtus",2,9
"Silometopus elegans",7,26
"Silometopus incurvatus",1,12
"Silometopus reussi",6,21
"Simitidion simile",16,44
"Singa hamata",6,34
"Singa nitidula",2,31
"Sintula corniger",7,24
"Sintula retroversus",3,14
"Sitticus caricis",2,24
"Sitticus distinguendus",3,28
"Sitticus floricola",4,33
"Sitticus pubescens",13,33
"Sitticus saltator",11,25
"Spermophora senoculata",1,23
"Steatoda albomaculata",1,43
"Steatoda bipunctata",8,38
"Steatoda grossa",13,48
"Steatoda paykulliana",11,39
"Steatoda phalerata",12,44
"Steatoda triangulosa",6,39
"Stemonyphantes lineatus",25,33
"Styloctetor romanus",9,25
"Styloctetor stativus",3,26
"Syedra gracilis",2,18
"Synageles venator",8,34
"Synema globosum",9,50
"Talavera aequipes",12,28
"Talavera petrensis",10,29
"Tallusia experta",10,33
"Tapinesthis inermis",1,9
"Tapinocyba discedens",1,1
"Tapinocyba insecta",1,28
"Tapinocyba mitis",5,5
"Tapinocyba pallens",4,30
"Tapinocyba praecox",8,16
"Tapinocyboides pygmaeus",1,19
"Tapinopa longidens",10,33
"Taranucnus setosus",8,21
"Tegenaria agrestis",11,30
"Tegenaria atrica",7,32
"Tegenaria domestica",6,55
"Tegenaria duellica",28,6
"Tegenaria inermis",1,3
"Tegenaria parietina",4,42
"Tegenaria saeva",11,9
"Tenuiphantes alacris",1,29
"Tenuiphantes cristatus",6,31
"Tenuiphantes flavipes",17,33
"Tenuiphantes mengei",13,35
"Tenuiphantes tenebricola",13,37
"Tenuiphantes tenuis",45,48
"Tenuiphantes zimmermanni",21,33
"Tetragnatha extensa",37,53
"Tetragnatha isidis",2,13
"Tetragnatha montana",34,37
"Tetragnatha nigrita",11,28
"Tetragnatha obtusa",12,39
"Tetragnatha pinicola",8,32
"Tetragnatha striata",1,24
"Textrix denticulata",5,31
"Thanatus arenarius",4,28
"Thanatus formicinus",1,38
"Thanatus lineatipes",1,12
"Thanatus striatus",11,26
"Theonina cornix",2,12
"Theonoe minutissima",4,24
"Theridion blackwalli",5,22
"Theridion familiare",6,19
"Theridion hemerobium",3,14
"Theridion impressum",6,37
"Theridion melanurum",13,41
"Theridion mystaceum",17,32
"Theridion nigrovariegatum",3,26
"Theridion pictum",7,33
"Theridion pinastri",7,33
"Theridion sisyphium",14,41
"Theridion varians",29,42
"Theridiosoma gemmosum",9,23
"Thomisus onustus",16,52
"Thyreosthenius biovatus",2,19
"Thyreosthenius parasiticus",5,29
"Tibellus maritimus",4,29
"Tibellus oblongus",27,43
"Tibellus parallelus",6,10
"Tiso vagans",19,32
"Titanoeca quadriguttata",2,23
"Titanoeca tristis",4,20
"Tmarus piger",3,29
"Tmarus stellio",3,15
"Trachyzelotes fuscipes",1,9
"Trachyzelotes pedestris",21,30
"Trichoncus saxicola",7,18
"Trichoncus varipes",1,3
"Trichoncus vasconicus",2,8
"Trichopterna cito",2,27
"Trichopterna thorelli",3,22
"Trochosa robusta",7,27
"Trochosa ruricola",27,43
"Trochosa spinipalpis",11,26
"Trochosa terricola",32,42
"Troxochrus scabriculus",6,28
"Typhochrestus digitatus",6,26
"Typhochrestus dubius",1,1
"Uloborus walckenaerius",5,37
"Walckenaeria acuminata",19,34
"Walckenaeria alticeps",2,21
"Walckenaeria antica",11,34
"Walckenaeria atrotibialis",17,28
"Walckenaeria capito",2,24
"Walckenaeria corniculans",5,23
"Walckenaeria cucullata",10,30
"Walckenaeria cuspidata",8,30
"Walckenaeria dysderoides",3,27
"Walckenaeria furcillata",7,21
"Walckenaeria incisa",3,11
"Walckenaeria kochi",3,24
"Walckenaeria mitrata",3,25
"Walckenaeria monoceros",10,25
"Walckenaeria nodosa",4,22
"Walckenaeria nudipalpis",10,34
"Walckenaeria obtusa",8,27
"Walckenaeria quarta",1,1
"Walckenaeria stylifrons",1,11
"Walckenaeria unicornis",5,22
"Walckenaeria vigilax",9,31
"Wiehlea calcarifera",1,4
"Xerolycosa miniata",7,33
"Xerolycosa nemoralis",10,35
"Xysticus acerbus",9,34
"Xysticus audax",4,42
"Xysticus bifasciatus",1,30
"Xysticus cristatus",48,53
"Xysticus erraticus",29,34
"Xysticus ferrugineus",4,16
"Xysticus gallicus",1,20
"Xysticus kempeleni",6,28
"Xysticus kochi",27,45
"Xysticus lanio",15,39
"Xysticus lineatus",3,28
"Xysticus luctator",1,26
"Xysticus luctuosus",8,36
"Xysticus ninnii",4,26
"Xysticus robustus",2,30
"Xysticus sabulosus",6,39
"Xysticus tortuosus",11,6
"Xysticus ulmi",6,35
"Yllenus univittatus",2,3
"Zelotes aeneus",1,16
"Zelotes apricorum",18,26
"Zelotes atrocaeruleus",7,14
"Zelotes civicus",14,5
"Zelotes clivicola",1,29
"Zelotes electus",11,30
"Zelotes erebeus",5,19
"Zelotes exiguus",1,16
"Zelotes fuscotestaceus",2,4
"Zelotes gallicus",1,8
"Zelotes latreillei",28,34
"Zelotes longipes",17,34
"Zelotes petrensis",18,30
"Zelotes sardus",2,3
"Zelotes subterraneus",12,37
"Zelotes tenuis",3,14
"Zilla diodia",30,39
"Zodarion gallicum",12,6
"Zodarion italicum",10,18
"Zodarion rubidum",4,15
"Zora armillata",8,18
"Zora manicata",1,15
"Zora nemoralis",2,31
"Zora parallela",8,14
"Zora silvestris",5,24
"Zora spinimana",34,34
"Zygiella atrica",12,33
"Zygiella x-notata",32,49
