"","Year","Mn","Dy","MxT","MnT","Prec","Snow","SnCv"
"87",1900,3,28,39,10,0,0,NA
"88",1900,3,29,44,22,0,0,NA
"89",1900,3,30,47,18,0,0,NA
"90",1900,3,31,62,23,7,0,NA
"91",1900,4,1,71,27,0,0,NA
"92",1900,4,2,74,29,0,0,NA
"93",1900,4,3,69,30,0,0,NA
"94",1900,4,4,54,33,152,70,NA
"95",1900,4,5,43,32,49,15,NA
"96",1900,4,6,45,29,23,0,NA
"97",1900,4,7,54,31,20,0,NA
"98",1900,4,8,56,32,22,0,NA
"99",1900,4,9,48,36,91,0,NA
"100",1900,4,10,40,24,62,65,NA
"101",1900,4,11,38,5,0,0,NA
"102",1900,4,12,46,23,0,0,NA
"103",1900,4,13,54,31,0.0000000000000001,0,NA
"104",1900,4,14,55,33,15,0,NA
"105",1900,4,15,45,35,84,0,NA
"106",1900,4,16,50,39,0,0,NA
"107",1900,4,17,44,32,46,22,NA
"108",1900,4,18,58,13,13,10,NA
"109",1900,4,19,68,32,0,0,NA
"110",1900,4,20,72,34,0,0,NA
"111",1900,4,21,70,38,0.0000000000000001,0,NA
"112",1900,4,22,59,41,9,0,NA
"113",1900,4,23,60,31,0,0,NA
"114",1900,4,24,60,36,2,0,NA
"115",1900,4,25,58,35,0.0000000000000001,0,NA
"116",1900,4,26,67,30,0,0,NA
"117",1900,4,27,69,42,110,0,NA
"118",1900,4,28,62,43,70,0,NA
"119",1900,4,29,53,32,239,0,NA
"120",1900,4,30,42,32,50,45,NA
"121",1900,5,1,62,30,0,0,NA
"122",1900,5,2,59,45,1,0,NA
"123",1900,5,3,70,34,0,0,NA
"124",1900,5,4,74,40,0,0,NA
"125",1900,5,5,76,43,0,0,NA
"126",1900,5,6,68,44,8,0,NA
"127",1900,5,7,70,46,4,0,NA
"128",1900,5,8,73,40,0,0,NA
"129",1900,5,9,79,42,0,0,NA
"130",1900,5,10,84,43,0.0000000000000001,0,NA
"131",1900,5,11,81,43,0,0,NA
"132",1900,5,12,72,47,0,0,NA
"133",1900,5,13,74,51,0,0,NA
"134",1900,5,14,66,46,14,0,NA
"135",1900,5,15,67,41,7,0,NA
"136",1900,5,16,74,35,0,0,NA
"137",1900,5,17,64,45,8,0,NA
"138",1900,5,18,57,38,2,0,NA
"139",1900,5,19,63,33,5,0,NA
"140",1900,5,20,52,45,121,0,NA
"141",1900,5,21,65,45,2,0,NA
"142",1900,5,22,75,40,0,0,NA
"143",1900,5,23,73,50,0,0,NA
"144",1900,5,24,73,45,3,0,NA
"145",1900,5,25,78,49,0,0,NA
"146",1900,5,26,82,44,0,0,NA
"147",1900,5,27,85,45,0,0,NA
"148",1900,5,28,82,45,0,0,NA
"149",1900,5,29,82,54,0.0000000000000001,0,NA
"150",1900,5,30,82,42,0,0,NA
"151",1900,5,31,83,48,0,0,NA
"152",1900,6,1,72,52,8,0,NA
"153",1900,6,2,77,46,0,0,NA
"154",1900,6,3,78,46,0.0000000000000001,0,NA
"155",1900,6,4,72,52,0,0,NA
"156",1900,6,5,79,43,0,0,NA
"157",1900,6,6,86,46,0,0,NA
"158",1900,6,7,90,55,0,0,NA
"159",1900,6,8,85,46,0.0000000000000001,0,NA
"160",1900,6,9,84,52,0.0000000000000001,0,NA
"161",1900,6,10,66,46,13,0,NA
"162",1900,6,11,76,42,1,0,NA
"163",1900,6,12,81,41,0,0,NA
"164",1900,6,13,74,49,51,0,NA
"165",1900,6,14,77,51,1,0,NA
"166",1900,6,15,82,43,0,0,NA
"167",1900,6,16,88,44,0,0,NA
"168",1900,6,17,80,53,0.0000000000000001,0,NA
"169",1900,6,18,84,49,7,0,NA
"170",1900,6,19,85,53,0,0,NA
"171",1900,6,20,91,50,0,0,NA
"172",1900,6,21,93,58,0,0,NA
"173",1900,6,22,90,56,0,0,NA
"174",1900,6,23,87,57,0,0,NA
"175",1900,6,24,89,55,0,0,NA
"176",1900,6,25,91,58,0.0000000000000001,0,NA
"177",1900,6,26,94,57,0,0,NA
"178",1900,6,27,89,55,0,0,NA
"179",1900,6,28,94,55,1,0,NA
"180",1900,6,29,88,57,0.0000000000000001,0,NA
"181",1900,6,30,93,54,0.0000000000000001,0,NA
"182",1900,7,1,80,54,0.0000000000000001,0,NA
"183",1900,7,2,87,55,0,0,NA
"184",1900,7,3,85,49,8,0,NA
"185",1900,7,4,76,56,8,0,NA
"186",1900,7,5,84,51,3,0,NA
"187",1900,7,6,91,50,0,0,NA
"188",1900,7,7,83,53,0,0,NA
"189",1900,7,8,83,49,0,0,NA
"190",1900,7,9,92,51,0,0,NA
"191",1900,7,10,91,50,0,0,NA
"192",1900,7,11,92,55,0,0,NA
"193",1900,7,12,93,56,0,0,NA
"194",1900,7,13,90,55,0,0,NA
"195",1900,7,14,93,56,0,0,NA
"196",1900,7,15,77,55,7,0,NA
"197",1900,7,16,73,52,19,0,NA
"198",1900,7,17,90,47,0,0,NA
"199",1900,7,18,82,51,0,0,NA
"200",1900,7,19,71,52,19,0,NA
"201",1900,7,20,79,40,1,0,NA
"202",1900,7,21,88,46,0,0,NA
"203",1900,7,22,88,53,0.0000000000000001,0,NA
"204",1900,7,23,78,59,43,0,NA
"205",1900,7,24,74,52,6,0,NA
"206",1900,7,25,78,51,0,0,NA
"207",1900,7,26,81,55,0.0000000000000001,0,NA
"208",1900,7,27,90,55,0,0,NA
"209",1900,7,28,76,56,0,0,NA
"210",1900,7,29,86,49,0,0,NA
"211",1900,7,30,89,52,0,0,NA
"212",1900,7,31,93,51,0,0,NA
"213",1900,8,1,94,49,0,0,NA
"214",1900,8,2,93,63,0,0,NA
"215",1900,8,3,90,53,0.0000000000000001,0,NA
"216",1900,8,4,87,53,1,0,NA
"217",1900,8,5,87,56,2,0,NA
"218",1900,8,6,83,54,0,0,NA
"219",1900,8,7,92,47,0,0,NA
"220",1900,8,8,89,54,0,0,NA
"221",1900,8,9,90,50,0.0000000000000001,0,NA
"222",1900,8,10,87,49,0.0000000000000001,0,NA
"223",1900,8,11,88,46,0,0,NA
"224",1900,8,12,89,46,0,0,NA
"225",1900,8,13,85,48,0,0,NA
"226",1900,8,14,85,46,0,0,NA
"227",1900,8,15,84,50,0,0,NA
"228",1900,8,16,88,43,0,0,NA
"229",1900,8,17,87,45,0,0,NA
"230",1900,8,18,87,49,0,0,NA
"231",1900,8,19,87,51,0,0,NA
"232",1900,8,20,86,56,9,0.0000000000000001,NA
"233",1900,8,21,84,50,0,0,NA
"234",1900,8,22,82,47,4,0,NA
"235",1900,8,23,78,45,0,0,NA
"236",1900,8,24,71,49,0,0,NA
"237",1900,8,25,81,41,0,0,NA
"238",1900,8,26,86,43,0.0000000000000001,0,NA
"239",1900,8,27,84,47,0,0,NA
"240",1900,8,28,89,49,0,0,NA
"241",1900,8,29,91,52,0,0,NA
"242",1900,8,30,91,53,0,0,NA
"243",1900,8,31,86,51,0,0,NA
"244",1900,9,1,87,50,0.0000000000000001,0,NA
"245",1900,9,2,74,46,0,0,NA
"246",1900,9,3,85,50,0,0,NA
"247",1900,9,4,84,52,1,0,NA
"248",1900,9,5,85,45,0.0000000000000001,0,NA
"249",1900,9,6,81,47,0,0,NA
"250",1900,9,7,87,53,0.0000000000000001,0,NA
"251",1900,9,8,88,54,25,0,NA
"252",1900,9,9,81,55,22,0,NA
"253",1900,9,10,77,54,16,0,NA
"254",1900,9,11,74,51,0.0000000000000001,0,NA
"255",1900,9,12,82,47,0,0,NA
"256",1900,9,13,85,45,0,0,NA
"257",1900,9,14,82,56,0,0,NA
"258",1900,9,15,73,43,0,0,NA
"259",1900,9,16,61,42,0,0,NA
"260",1900,9,17,70,41,0,0,NA
"261",1900,9,18,81,40,0,0,NA
"262",1900,9,19,70,36,0,0,NA
"263",1900,9,20,71,35,0,0,NA
"264",1900,9,21,70,34,0,0,NA
"265",1900,9,22,71,35,0,0,NA
"266",1900,9,23,82,36,0.0000000000000001,0,NA
"267",1900,9,24,68,47,11,0,NA
"268",1900,9,25,54,41,35,0,NA
"269",1900,9,26,42,34,54,0,NA
"270",1900,9,27,48,33,28,0,NA
"271",1900,9,28,63,30,0,0,NA
"272",1900,9,29,74,33,0,0,NA
"273",1900,9,30,74,34,0,0,NA
"274",1900,10,1,76,36,0,0,NA
"275",1900,10,2,77,36,0,0,NA
"276",1900,10,3,77,36,0,0,NA
"277",1900,10,4,83,39,0,0,NA
"278",1900,10,5,79,35,0,0,NA
"279",1900,10,6,63,38,0,0,NA
"280",1900,10,7,58,24,0,0,NA
"281",1900,10,8,68,25,0,0,NA
"282",1900,10,9,70,24,0,0,NA
"283",1900,10,10,72,25,0,0,NA
"284",1900,10,11,76,29,0,0,NA
"285",1900,10,12,75,27,0,0,NA
"286",1900,10,13,74,34,0,0,NA
"287",1900,10,14,73,43,0,0,NA
"288",1900,10,15,62,50,15,0,NA
"289",1900,10,16,66,37,9,0,NA
"290",1900,10,17,73,32,0,0,NA
"291",1900,10,18,73,34,0,0,NA
"292",1900,10,19,72,32,0,0,NA
"293",1900,10,20,59,46,0,0,NA
"294",1900,10,21,62,39,0,0,NA
"295",1900,10,22,75,36,0,0,NA
"296",1900,10,23,62,35,0,0,NA
"297",1900,10,24,62,32,0,0,NA
"298",1900,10,25,62,32,0,0,NA
"299",1900,10,26,72,28,0,0,NA
"300",1900,10,27,69,36,0,0,NA
"301",1900,10,28,65,26,0,0,NA
"302",1900,10,29,62,30,0,0,NA
"303",1900,10,30,47,32,0,0,NA
"304",1900,10,31,52,13,0,0,NA
"305",1900,11,1,53,21,0,0,NA
"306",1900,11,2,63,26,0,0,NA
"307",1900,11,3,72,29,0,0,NA
"308",1900,11,4,65,31,0,0,NA
"309",1900,11,5,65,21,0,0,NA
"310",1900,11,6,70,28,0,0,NA
"311",1900,11,7,64,33,0,0,NA
"312",1900,11,8,42,23,0,0,NA
"313",1900,11,9,61,17,0,0,NA
"314",1900,11,10,52,21,0,0,NA
"315",1900,11,11,61,13,0,0,NA
"316",1900,11,12,74,18,0,0,NA
"317",1900,11,13,60,32,0,0,NA
"318",1900,11,14,61,17,0,0,NA
"319",1900,11,15,44,22,0,0,NA
"320",1900,11,16,63,26,0,0,NA
"321",1900,11,17,53,30,0,0,NA
"322",1900,11,18,33,10,0.0000000000000001,0,NA
"323",1900,11,19,27,16,0.0000000000000001,0,NA
"324",1900,11,20,21,13,7,12,NA
"325",1900,11,21,58,9,0,0,NA
"326",1900,11,22,56,35,0,0,NA
"327",1900,11,23,49,28,0.0000000000000001,0,NA
"328",1900,11,24,46,26,0,0,NA
"329",1900,11,25,50,13,0,0,NA
"330",1900,11,26,51,24,0,0,NA
"331",1900,11,27,44,30,0.0000000000000001,0,NA
"332",1900,11,28,50,13,0,0,NA
"333",1900,11,29,57,13,0,0,NA
"334",1900,11,30,54,12,0,0,NA
"335",1900,12,1,50,25,0,0,NA
"336",1900,12,2,41,25,0,0,NA
"337",1900,12,3,49,7,0,0,NA
"338",1900,12,4,50,23,0,0,NA
"339",1900,12,5,52,27,0,0,NA
"340",1900,12,6,58,23,0,0,NA
"341",1900,12,7,59,21,0,0,NA
"342",1900,12,8,63,19,0,0,NA
"343",1900,12,9,48,15,0,0,NA
"344",1900,12,10,51,13,0,0,NA
"345",1900,12,11,54,10,0,0,NA
"346",1900,12,12,53,16,0,0,NA
"347",1900,12,13,46,15,0,0,NA
"348",1900,12,14,52,13,0,0,NA
"349",1900,12,15,59,12,0,0,NA
"350",1900,12,16,57,19,0,0,NA
"351",1900,12,17,57,24,0,0,NA
"352",1900,12,18,45,27,0,0,NA
"353",1900,12,19,50,13,0,0,NA
"354",1900,12,20,60,20,0,0,NA
"355",1900,12,21,59,34,0,0,NA
"356",1900,12,22,43,31,0,0,NA
"357",1900,12,23,37,24,0,0,NA
"358",1900,12,24,44,15,0,0,NA
"359",1900,12,25,41,25,0,0,NA
"360",1900,12,26,48,13,0,0,NA
"361",1900,12,27,33,19,0.0000000000000001,0,NA
"362",1900,12,28,33,-3,0,0,NA
"363",1900,12,29,48,0,0,0,NA
"364",1900,12,30,33,-7,11,18,NA
"365",1900,12,31,6,-22,0,0,NA
"366",1901,1,1,14,-22,0,0,NA
"367",1901,1,2,25,-18,0,0,NA
"368",1901,1,3,35,-4,0,0,NA
"369",1901,1,4,43,11,0,0,NA
"370",1901,1,5,49,13,0,0,NA
"371",1901,1,6,42,18,0,0,NA
"372",1901,1,7,56,14,0,0,NA
"373",1901,1,8,40,21,13,10,NA
"374",1901,1,9,31,13,1,0,NA
"375",1901,1,10,28,2,0,0,NA
"376",1901,1,11,38,-4,0,0,NA
"377",1901,1,12,49,33,0,0,NA
"378",1901,1,13,62,24,0,0,NA
"379",1901,1,14,62,31,0,0,NA
"380",1901,1,15,53,29,0,0,NA
"381",1901,1,16,41,22,0,0,NA
"382",1901,1,17,46,12,0,0,NA
"383",1901,1,18,57,15,0,0,NA
"384",1901,1,19,56,10,0,0,NA
"385",1901,1,20,59,16,0,0,NA
"386",1901,1,21,48,24,0,0,NA
"387",1901,1,22,54,21,0,0,NA
"388",1901,1,23,47,18,0,0,NA
"389",1901,1,24,51,6,0,0,NA
"390",1901,1,25,54,17,0,0,NA
"391",1901,1,26,42,21,0,0,NA
"392",1901,1,27,54,9,0,0,NA
"393",1901,1,28,55,17,0,0,NA
"394",1901,1,29,46,14,5,10,NA
"395",1901,1,30,33,2,0.0000000000000001,0,NA
"396",1901,1,31,29,6,0,0,NA
"397",1901,2,1,27,5,0,0,NA
"398",1901,2,2,21,1,7,10,NA
"399",1901,2,3,20,9,15,20,NA
"400",1901,2,4,15,-1,4,5,NA
"401",1901,2,5,24,-9,0,0,NA
"402",1901,2,6,38,-5,0,0,NA
"403",1901,2,7,23,5,6,11,NA
"404",1901,2,8,14,-14,1,2,NA
"405",1901,2,9,25,-15,0,0,NA
"406",1901,2,10,36,-7,0,0,NA
"407",1901,2,11,37,-2,0,0,NA
"408",1901,2,12,40,-4,0,0,NA
"409",1901,2,13,42,0,0,0,NA
"410",1901,2,14,48,7,0,0,NA
"411",1901,2,15,51,32,0,0,NA
"412",1901,2,16,62,23,0,0,NA
"413",1901,2,17,58,30,0.0000000000000001,0,NA
"414",1901,2,18,40,19,0.0000000000000001,0.0000000000000001,NA
"415",1901,2,19,30,21,0.0000000000000001,0.0000000000000001,NA
"416",1901,2,20,56,18,4,5,NA
"417",1901,2,21,49,19,0.0000000000000001,0.0000000000000001,NA
"418",1901,2,22,29,10,1,2,NA
"419",1901,2,23,37,6,0,0,NA
"420",1901,2,24,53,11,0,0,NA
"421",1901,2,25,53,25,0,0,NA
"422",1901,2,26,54,28,0,0,NA
"423",1901,2,27,61,26,0,0,NA
"424",1901,2,28,63,24,0,0,NA
"425",1901,3,1,72,34,0,0,NA
"426",1901,3,2,71,32,0,0,NA
"427",1901,3,3,54,35,2,0,NA
"428",1901,3,4,49,3,15,15,NA
"429",1901,3,5,21,-4,0,0,NA
"430",1901,3,6,58,10,0,0,NA
"431",1901,3,7,68,19,0,0,NA
"432",1901,3,8,53,31,11,0,NA
"433",1901,3,9,38,26,37,40,NA
"434",1901,3,10,49,14,0,0,NA
"435",1901,3,11,60,28,0,0,NA
"436",1901,3,12,49,34,0,0,NA
"437",1901,3,13,41,27,0,0,NA
"438",1901,3,14,54,19,0,0,NA
"439",1901,3,15,60,19,0,0,NA
"440",1901,3,16,61,20,0,0,NA
"441",1901,3,17,61,20,0,0,NA
"442",1901,3,18,48,19,0.0000000000000001,0.0000000000000001,NA
"443",1901,3,19,41,24,0,0,NA
"444",1901,3,20,55,17,0,0,NA
"445",1901,3,21,60,29,0,0,NA
"446",1901,3,22,62,29,0,0,NA
"447",1901,3,23,52,33,0,0,NA
"448",1901,3,24,34,25,0,0,NA
"449",1901,3,25,51,33,0,0,NA
"450",1901,3,26,53,20,0,0,NA
"451",1901,3,27,40,28,20,20,NA
"452",1901,3,28,32,20,23,25,NA
"453",1901,3,29,32,14,80,80,NA
"454",1901,3,30,34,-8,0,0,NA
"455",1901,3,31,38,9,0,0,NA
"456",1901,4,1,40,16,0,0,NA
"457",1901,4,2,52,20,0,0,NA
"458",1901,4,3,65,32,0,0,NA
"459",1901,4,4,54,30,10,0,NA
"460",1901,4,5,50,25,0,0,NA
"461",1901,4,6,58,23,0,0,NA
"462",1901,4,7,56,29,0,0,NA
"463",1901,4,8,46,33,0,0,NA
"464",1901,4,9,38,32,159,50,NA
"465",1901,4,10,35,17,54,35,NA
"466",1901,4,11,39,32,75,55,NA
"467",1901,4,12,51,29,0,0,NA
"468",1901,4,13,45,27,5,0,NA
"469",1901,4,14,47,30,0,0,NA
"470",1901,4,15,40,27,38,20,NA
"471",1901,4,16,31,22,21,30,NA
"472",1901,4,17,46,9,0,0,NA
"473",1901,4,18,60,29,0,0,NA
"474",1901,4,19,63,31,0,0,NA
"475",1901,4,20,73,32,0,0,NA
"476",1901,4,21,76,34,0,0,NA
"477",1901,4,22,67,47,0,0,NA
"478",1901,4,23,71,43,0.0000000000000001,0,NA
"479",1901,4,24,76,36,0,0,NA
"480",1901,4,25,79,38,0,0,NA
"481",1901,4,26,77,40,0,0,NA
"482",1901,4,27,63,38,0,0,NA
"483",1901,4,28,74,42,0,0,NA
"484",1901,4,29,79,50,0,0,NA
"485",1901,4,30,82,41,0,0,NA
"486",1901,5,1,83,44,0,0,NA
"487",1901,5,2,76,53,4,0,NA
"488",1901,5,3,61,39,4,0,NA
"489",1901,5,4,66,45,5,0,NA
"490",1901,5,5,64,38,0.0000000000000001,0,NA
"491",1901,5,6,68,36,0.0000000000000001,0,NA
"492",1901,5,7,70,31,0,0,NA
"493",1901,5,8,74,34,0,0,NA
"494",1901,5,9,81,38,0,0,NA
"495",1901,5,10,69,42,0,0,NA
"496",1901,5,11,71,37,0.0000000000000001,0,NA
"497",1901,5,12,74,40,7,0,NA
"498",1901,5,13,75,39,0,0,NA
"499",1901,5,14,79,43,0,0,NA
"500",1901,5,15,68,54,24,0,NA
"501",1901,5,16,77,43,0.0000000000000001,0,NA
"502",1901,5,17,77,42,0,0,NA
"503",1901,5,18,77,44,0,0,NA
"504",1901,5,19,81,49,0,0,NA
"505",1901,5,20,81,50,190,0,NA
"506",1901,5,21,75,52,138,0,NA
"507",1901,5,22,64,39,232,0,NA
"508",1901,5,23,69,40,0.0000000000000001,0,NA
"509",1901,5,24,57,47,34,0,NA
"510",1901,5,25,50,41,32,0,NA
"511",1901,5,26,68,38,0,0,NA
"512",1901,5,27,76,43,0,0,NA
"513",1901,5,28,77,43,0,0,NA
"514",1901,5,29,77,48,0.0000000000000001,0,NA
"515",1901,5,30,70,47,0.0000000000000001,0,NA
"516",1901,5,31,61,48,77,0,NA
"517",1901,6,1,70,46,0,0,NA
"518",1901,6,2,72,49,13,0,NA
"519",1901,6,3,71,47,8,0,NA
"520",1901,6,4,73,44,1,0,NA
"521",1901,6,5,70,43,1,0.0000000000000001,NA
"522",1901,6,6,73,38,0,0,NA
"523",1901,6,7,86,46,0,0,NA
"524",1901,6,8,85,47,0,0,NA
"525",1901,6,9,73,50,0,0,NA
"526",1901,6,10,70,56,17,0,NA
"527",1901,6,11,71,54,12,0,NA
"528",1901,6,12,77,40,0,0,NA
"529",1901,6,13,82,46,0,0,NA
"530",1901,6,14,68,50,36,0,NA
"531",1901,6,15,62,44,146,0,NA
"532",1901,6,16,74,41,0,0,NA
"533",1901,6,17,78,45,0,0,NA
"534",1901,6,18,69,47,2,0,NA
"535",1901,6,19,74,46,0,0,NA
"536",1901,6,20,84,57,0,0,NA
"537",1901,6,21,80,50,0,0,NA
"538",1901,6,22,84,54,0,0,NA
"539",1901,6,23,91,49,0,0,NA
"540",1901,6,24,92,50,0,0,NA
"541",1901,6,25,94,51,0,0,NA
"542",1901,6,26,85,50,0,0,NA
"543",1901,6,27,84,50,0,0,NA
"544",1901,6,28,90,50,0,0,NA
"545",1901,6,29,89,52,0,0,NA
"546",1901,6,30,89,53,0,0,NA
"547",1901,7,1,74,56,0,0,NA
"548",1901,7,2,86,55,0,0,NA
"549",1901,7,3,92,50,0,0,NA
"550",1901,7,4,91,49,0,0,NA
"551",1901,7,5,86,48,0,0,NA
"552",1901,7,6,91,48,0,0,NA
"553",1901,7,7,94,50,0,0,NA
"554",1901,7,8,95,51,0,0,NA
"555",1901,7,9,89,54,0,0,NA
"556",1901,7,10,89,54,21,0,NA
"557",1901,7,11,92,59,0.0000000000000001,0,NA
"558",1901,7,12,93,53,0,0,NA
"559",1901,7,13,100,57,0,0,NA
"560",1901,7,14,97,56,0,0,NA
"561",1901,7,15,93,58,0,0,NA
"562",1901,7,16,93,54,3,0,NA
"563",1901,7,17,85,55,0,0,NA
"564",1901,7,18,89,52,0,0,NA
"565",1901,7,19,95,55,0,0,NA
"566",1901,7,20,97,53,0,0,NA
"567",1901,7,21,93,57,0,0,NA
"568",1901,7,22,92,60,0,0,NA
"569",1901,7,23,90,56,0,0,NA
"570",1901,7,24,91,58,0.0000000000000001,0,NA
"571",1901,7,25,82,61,47,0,NA
"572",1901,7,26,84,63,0,0,NA
"573",1901,7,27,87,57,0,0,NA
"574",1901,7,28,91,54,0,0,NA
"575",1901,7,29,85,62,0,0,NA
"576",1901,7,30,94,57,0,0,NA
"577",1901,7,31,94,51,0,0,NA
"578",1901,8,1,97,48,0,0,NA
"579",1901,8,2,81,65,0.0000000000000001,0,NA
"580",1901,8,3,77,56,4,0,NA
"581",1901,8,4,76,58,0.0000000000000001,0,NA
"582",1901,8,5,85,51,0.0000000000000001,0,NA
"583",1901,8,6,83,52,6,0,NA
"584",1901,8,7,80,60,6,0,NA
"585",1901,8,8,87,54,2,0,NA
"586",1901,8,9,88,59,0.0000000000000001,0,NA
"587",1901,8,10,90,50,1,0,NA
"588",1901,8,11,78,55,1,0,NA
"589",1901,8,12,89,48,0,0,NA
"590",1901,8,13,88,49,0,0,NA
"591",1901,8,14,89,55,5,0,NA
"592",1901,8,15,88,47,0,0,NA
"593",1901,8,16,82,60,0.0000000000000001,0,NA
"594",1901,8,17,89,55,0.0000000000000001,0,NA
"595",1901,8,18,86,58,0,0,NA
"596",1901,8,19,87,58,19,0,NA
"597",1901,8,20,80,50,5,0,NA
"598",1901,8,21,84,45,0.0000000000000001,0,NA
"599",1901,8,22,87,54,0,0,NA
"600",1901,8,23,86,49,2,0,NA
"601",1901,8,24,88,47,0.0000000000000001,0,NA
"602",1901,8,25,89,49,0,0,NA
"603",1901,8,26,89,55,0,0,NA
"604",1901,8,27,87,56,0.0000000000000001,0,NA
"605",1901,8,28,84,55,0,0,NA
"606",1901,8,29,85,51,0,0,NA
"607",1901,8,30,75,51,6,0,NA
"608",1901,8,31,84,53,15,0,NA
"609",1901,9,1,84,53,15,0,NA
"610",1901,9,2,87,54,0,0,NA
"611",1901,9,3,79,58,63,0,NA
"612",1901,9,4,77,53,0,0,NA
"613",1901,9,5,82,43,0,0,NA
"614",1901,9,6,79,47,62,0,NA
"615",1901,9,7,71,54,0,0,NA
"616",1901,9,8,77,55,85,0,NA
"617",1901,9,9,80,48,0,0,NA
"618",1901,9,10,80,49,0,0,NA
"619",1901,9,11,73,44,0,0,NA
"620",1901,9,12,72,43,0,0,NA
"621",1901,9,13,78,44,0,0,NA
"622",1901,9,14,73,44,0,0,NA
"623",1901,9,15,77,43,0,0,NA
"624",1901,9,16,61,40,0,0,NA
"625",1901,9,17,60,34,0,0,NA
"626",1901,9,18,72,32,0,0,NA
"627",1901,9,19,62,31,0,0,NA
"628",1901,9,20,84,31,0,0,NA
"629",1901,9,21,81,42,0,0,NA
"630",1901,9,22,82,60,0,0,NA
"631",1901,9,23,73,32,0,0,NA
"632",1901,9,24,68,46,0,0,NA
"633",1901,9,25,75,31,0,0,NA
"634",1901,9,26,84,29,0,0,NA
"635",1901,9,27,71,39,0,0,NA
"636",1901,9,28,67,35,0,0,NA
"637",1901,9,29,73,34,0,0,NA
"638",1901,9,30,81,33,0,0,NA
"639",1901,10,1,82,35,0,0,NA
