"","Time","Year","Mon","Day","Min"
"134",134,1949,5,14,44
"135",135,1949,5,15,48
"136",136,1949,5,16,47
"137",137,1949,5,17,45
"138",138,1949,5,18,48
"139",139,1949,5,19,44
"140",140,1949,5,20,45
"141",141,1949,5,21,43
"142",142,1949,5,22,43
"143",143,1949,5,23,47
"144",144,1949,5,24,43
"145",145,1949,5,25,48
"146",146,1949,5,26,49
"147",147,1949,5,27,51
"148",148,1949,5,28,51
"149",149,1949,5,29,50
"150",150,1949,5,30,49
"151",151,1949,5,31,49
"152",152,1949,6,1,43
"153",153,1949,6,2,45
"154",154,1949,6,3,47
"155",155,1949,6,4,45
"156",156,1949,6,5,51
"157",157,1949,6,6,51
"158",158,1949,6,7,50
"159",159,1949,6,8,50
"160",160,1949,6,9,51
"161",161,1949,6,10,50
"162",162,1949,6,11,51
"163",163,1949,6,12,56
"164",164,1949,6,13,53
"165",165,1949,6,14,48
"166",166,1949,6,15,53
"167",167,1949,6,16,57
"168",168,1949,6,17,60
"169",169,1949,6,18,55
"170",170,1949,6,19,52
"171",171,1949,6,20,58
"172",172,1949,6,21,56
"173",173,1949,6,22,59
"174",174,1949,6,23,53
"175",175,1949,6,24,52
"176",176,1949,6,25,54
"177",177,1949,6,26,56
"178",178,1949,6,27,53
"179",179,1949,6,28,54
"180",180,1949,6,29,53
"181",181,1949,6,30,60
"182",182,1949,7,1,58
"183",183,1949,7,2,59
"184",184,1949,7,3,62
"185",185,1949,7,4,59
"186",186,1949,7,5,60
"187",187,1949,7,6,60
"188",188,1949,7,7,62
"189",189,1949,7,8,57
"190",190,1949,7,9,54
"191",191,1949,7,10,61
"192",192,1949,7,11,55
"193",193,1949,7,12,55
"194",194,1949,7,13,58
"195",195,1949,7,14,56
"196",196,1949,7,15,55
"197",197,1949,7,16,56
"198",198,1949,7,17,63
"199",199,1949,7,18,59
"200",200,1949,7,19,61
"201",201,1949,7,20,61
"202",202,1949,7,21,52
"203",203,1949,7,22,56
"204",204,1949,7,23,59
"205",205,1949,7,24,63
"206",206,1949,7,25,64
"207",207,1949,7,26,60
"208",208,1949,7,27,62
"209",209,1949,7,28,60
"210",210,1949,7,29,58
"211",211,1949,7,30,57
"212",212,1949,7,31,60
"213",213,1949,8,1,59
"214",214,1949,8,2,57
"215",215,1949,8,3,60
"216",216,1949,8,4,55
"217",217,1949,8,5,58
"218",218,1949,8,6,60
"219",219,1949,8,7,59
"220",220,1949,8,8,57
"221",221,1949,8,9,53
"222",222,1949,8,10,59
"223",223,1949,8,11,64
"224",224,1949,8,12,61
"225",225,1949,8,13,61
"226",226,1949,8,14,59
"227",227,1949,8,15,59
"228",228,1949,8,16,56
"229",229,1949,8,17,56
"230",230,1949,8,18,52
"231",231,1949,8,19,52
"232",232,1949,8,20,60
"233",233,1949,8,21,57
"234",234,1949,8,22,61
"235",235,1949,8,23,61
"236",236,1949,8,24,60
"237",237,1949,8,25,56
"238",238,1949,8,26,59
"239",239,1949,8,27,58
"240",240,1949,8,28,52
"241",241,1949,8,29,53
"242",242,1949,8,30,54
"243",243,1949,8,31,52
"244",244,1949,9,1,48
"245",245,1949,9,2,56
"246",246,1949,9,3,53
"247",247,1949,9,4,50
"248",248,1949,9,5,48
"249",249,1949,9,6,48
"250",250,1949,9,7,59
"251",251,1949,9,8,56
"252",252,1949,9,9,54
"253",253,1949,9,10,53
"254",254,1949,9,11,51
"255",255,1949,9,12,46
"256",256,1949,9,13,41
"257",257,1949,9,14,42
"258",258,1949,9,15,49
"259",259,1949,9,16,55
"260",260,1949,9,17,46
"261",261,1949,9,18,42
"262",262,1949,9,19,46
"263",263,1949,9,20,53
"264",264,1949,9,21,42
"265",265,1949,9,22,45
"266",266,1949,9,23,47
"267",267,1949,9,24,56
"268",268,1949,9,25,52
"269",269,1949,9,26,49
"270",270,1949,9,27,43
"271",271,1949,9,28,42
"272",272,1949,9,29,46
"273",273,1949,9,30,47
"274",274,1949,10,1,44
"275",275,1949,10,2,41
"276",276,1949,10,3,48
"277",277,1949,10,4,40
"278",278,1949,10,5,48
"279",279,1949,10,6,44
"280",280,1949,10,7,35
"281",281,1949,10,8,37
"282",282,1949,10,9,38
"283",283,1949,10,10,39
"284",284,1949,10,11,32
"285",285,1949,10,12,33
"286",286,1949,10,13,39
"287",287,1949,10,14,36
"288",288,1949,10,15,37
"289",289,1949,10,16,43
"290",290,1949,10,17,39
"291",291,1949,10,18,42
"292",292,1949,10,19,27
"293",293,1949,10,20,27
"294",294,1949,10,21,27
"295",295,1949,10,22,31
"296",296,1949,10,23,30
"297",297,1949,10,24,35
"298",298,1949,10,25,32
"299",299,1949,10,26,34
"300",300,1949,10,27,36
"301",301,1949,10,28,35
"302",302,1949,10,29,31
"303",303,1949,10,30,26
"304",304,1949,10,31,26
"305",305,1949,11,1,35
"306",306,1949,11,2,30
"307",307,1949,11,3,31
"308",308,1949,11,4,34
"309",309,1949,11,5,32
"310",310,1949,11,6,31
"311",311,1949,11,7,34
"312",312,1949,11,8,35
"313",313,1949,11,9,34
"314",314,1949,11,10,34
"315",315,1949,11,11,26
"316",316,1949,11,12,23
"317",317,1949,11,13,29
"318",318,1949,11,14,33
"319",319,1949,11,15,34
"320",320,1949,11,16,28
"321",321,1949,11,17,34
"322",322,1949,11,18,38
"323",323,1949,11,19,38
"324",324,1949,11,20,27
"325",325,1949,11,21,22
"326",326,1949,11,22,27
"327",327,1949,11,23,30
"328",328,1949,11,24,43
"329",329,1949,11,25,39
"330",330,1949,11,26,40
"331",331,1949,11,27,40
"332",332,1949,11,28,39
"333",333,1949,11,29,28
"334",334,1949,11,30,24
"335",335,1949,12,1,27
"336",336,1949,12,2,35
"337",337,1949,12,3,23
"338",338,1949,12,4,16
"339",339,1949,12,5,30
"340",340,1949,12,6,30
"341",341,1949,12,7,22
"342",342,1949,12,8,18
"343",343,1949,12,9,17
"344",344,1949,12,10,20
"345",345,1949,12,11,4
"346",346,1949,12,12,-1
"347",347,1949,12,13,-1
"348",348,1949,12,14,1
"349",349,1949,12,15,14
"350",350,1949,12,16,20
"351",351,1949,12,17,16
"352",352,1949,12,18,18
"353",353,1949,12,19,20
"354",354,1949,12,20,11
"355",355,1949,12,21,7
"356",356,1949,12,22,7
"357",357,1949,12,23,18
"358",358,1949,12,24,22
"359",359,1949,12,25,13
"360",360,1949,12,26,17
"361",361,1949,12,27,22
"362",362,1949,12,28,28
"363",363,1949,12,29,27
"364",364,1949,12,30,25
"365",365,1949,12,31,19
"366",366,1950,1,1,29
"367",367,1950,1,2,5
"368",368,1950,1,3,-12
"369",369,1950,1,4,-14
"370",370,1950,1,5,-5
"371",371,1950,1,6,4
"372",372,1950,1,7,12
"373",373,1950,1,8,24
"374",374,1950,1,9,25
"375",375,1950,1,10,18
"376",376,1950,1,11,14
"377",377,1950,1,12,14
"378",378,1950,1,13,13
"379",379,1950,1,14,14
"380",380,1950,1,15,19
"381",381,1950,1,16,15
"382",382,1950,1,17,12
"383",383,1950,1,18,10
"384",384,1950,1,19,19
"385",385,1950,1,20,37
"386",386,1950,1,21,32
"387",387,1950,1,22,34
"388",388,1950,1,23,36
"389",389,1950,1,24,23
"390",390,1950,1,25,6
"391",391,1950,1,26,1
"392",392,1950,1,27,11
"393",393,1950,1,28,8
"394",394,1950,1,29,6
"395",395,1950,1,30,8
"396",396,1950,1,31,8
"397",397,1950,2,1,2
"398",398,1950,2,2,7
"399",399,1950,2,3,13
"400",400,1950,2,4,23
"401",401,1950,2,5,32
"402",402,1950,2,6,34
"403",403,1950,2,7,30
"404",404,1950,2,8,24
"405",405,1950,2,9,19
"406",406,1950,2,10,28
"407",407,1950,2,11,24
"408",408,1950,2,12,24
"409",409,1950,2,13,15
"410",410,1950,2,14,16
"411",411,1950,2,15,26
"412",412,1950,2,16,28
"413",413,1950,2,17,29
"414",414,1950,2,18,22
"415",415,1950,2,19,27
"416",416,1950,2,20,34
"417",417,1950,2,21,20
"418",418,1950,2,22,20
"419",419,1950,2,23,33
"420",420,1950,2,24,34
"421",421,1950,2,25,34
"422",422,1950,2,26,33
"423",423,1950,2,27,35
"424",424,1950,2,28,23
"425",425,1950,3,1,17
"426",426,1950,3,2,24
"427",427,1950,3,3,35
"428",428,1950,3,4,32
"429",429,1950,3,5,35
"430",430,1950,3,6,33
"431",431,1950,3,7,16
"432",432,1950,3,8,12
"433",433,1950,3,9,23
"434",434,1950,3,10,20
"435",435,1950,3,11,12
"436",436,1950,3,12,-5
"437",437,1950,3,13,-1
"438",438,1950,3,14,16
"439",439,1950,3,15,26
"440",440,1950,3,16,27
"441",441,1950,3,17,41
"442",442,1950,3,18,21
"443",443,1950,3,19,17
"444",444,1950,3,20,25
"445",445,1950,3,21,20
"446",446,1950,3,22,28
"447",447,1950,3,23,35
"448",448,1950,3,24,25
"449",449,1950,3,25,32
"450",450,1950,3,26,33
"451",451,1950,3,27,28
"452",452,1950,3,28,25
"453",453,1950,3,29,23
"454",454,1950,3,30,23
"455",455,1950,3,31,39
"456",456,1950,4,1,33
"457",457,1950,4,2,48
"458",458,1950,4,3,25
"459",459,1950,4,4,22
"460",460,1950,4,5,28
"461",461,1950,4,6,32
"462",462,1950,4,7,40
"463",463,1950,4,8,35
"464",464,1950,4,9,32
"465",465,1950,4,10,37
"466",466,1950,4,11,33
"467",467,1950,4,12,31
"468",468,1950,4,13,31
"469",469,1950,4,14,35
"470",470,1950,4,15,33
"471",471,1950,4,16,39
"472",472,1950,4,17,40
"473",473,1950,4,18,31
"474",474,1950,4,19,25
"475",475,1950,4,20,30
"476",476,1950,4,21,45
"477",477,1950,4,22,45
"478",478,1950,4,23,47
"479",479,1950,4,24,30
"480",480,1950,4,25,25
"481",481,1950,4,26,32
"482",482,1950,4,27,30
"483",483,1950,4,28,30
"484",484,1950,4,29,25
"485",485,1950,4,30,30
"486",486,1950,5,1,32
"487",487,1950,5,2,40
"488",488,1950,5,3,39
"489",489,1950,5,4,29
"490",490,1950,5,5,28
"491",491,1950,5,6,34
"492",492,1950,5,7,38
"493",493,1950,5,8,35
"494",494,1950,5,9,30
"495",495,1950,5,10,35
"496",496,1950,5,11,41
"497",497,1950,5,12,41
"498",498,1950,5,13,43
"499",499,1950,5,14,46
"500",500,1950,5,15,50
"501",501,1950,5,16,47
"502",502,1950,5,17,48
"503",503,1950,5,18,52
"504",504,1950,5,19,41
"505",505,1950,5,20,43
"506",506,1950,5,21,42
"507",507,1950,5,22,49
"508",508,1950,5,23,56
"509",509,1950,5,24,46
"510",510,1950,5,25,31
"511",511,1950,5,26,32
"512",512,1950,5,27,34
"513",513,1950,5,28,34
"514",514,1950,5,29,38
"515",515,1950,5,30,47
"516",516,1950,5,31,48
"517",517,1950,6,1,44
"518",518,1950,6,2,40
"519",519,1950,6,3,38
"520",520,1950,6,4,37
"521",521,1950,6,5,49
"522",522,1950,6,6,54
"523",523,1950,6,7,54
"524",524,1950,6,8,47
"525",525,1950,6,9,43
"526",526,1950,6,10,47
"527",527,1950,6,11,53
"528",528,1950,6,12,59
"529",529,1950,6,13,56
"530",530,1950,6,14,52
"531",531,1950,6,15,55
"532",532,1950,6,16,55
"533",533,1950,6,17,56
"534",534,1950,6,18,53
"535",535,1950,6,19,53
"536",536,1950,6,20,50
"537",537,1950,6,21,53
"538",538,1950,6,22,59
"539",539,1950,6,23,55
"540",540,1950,6,24,60
"541",541,1950,6,25,62
"542",542,1950,6,26,57
"543",543,1950,6,27,59
"544",544,1950,6,28,53
"545",545,1950,6,29,53
"546",546,1950,6,30,56
"547",547,1950,7,1,59
"548",548,1950,7,2,55
"549",549,1950,7,3,58
"550",550,1950,7,4,54
"551",551,1950,7,5,54
"552",552,1950,7,6,56
"553",553,1950,7,7,59
"554",554,1950,7,8,59
"555",555,1950,7,9,59
"556",556,1950,7,10,61
"557",557,1950,7,11,62
"558",558,1950,7,12,56
"559",559,1950,7,13,53
"560",560,1950,7,14,59
"561",561,1950,7,15,62
"562",562,1950,7,16,56
"563",563,1950,7,17,55
"564",564,1950,7,18,53
"565",565,1950,7,19,51
"566",566,1950,7,20,58
"567",567,1950,7,21,55
"568",568,1950,7,22,52
"569",569,1950,7,23,50
"570",570,1950,7,24,51
"571",571,1950,7,25,55
"572",572,1950,7,26,54
"573",573,1950,7,27,53
"574",574,1950,7,28,57
"575",575,1950,7,29,59
"576",576,1950,7,30,56
"577",577,1950,7,31,53
"578",578,1950,8,1,56
"579",579,1950,8,2,55
"580",580,1950,8,3,61
"581",581,1950,8,4,56
"582",582,1950,8,5,57
"583",583,1950,8,6,59
"584",584,1950,8,7,54
"585",585,1950,8,8,59
"586",586,1950,8,9,54
"587",587,1950,8,10,55
"588",588,1950,8,11,59
"589",589,1950,8,12,55
"590",590,1950,8,13,55
"591",591,1950,8,14,54
"592",592,1950,8,15,58
"593",593,1950,8,16,59
"594",594,1950,8,17,52
"595",595,1950,8,18,52
"596",596,1950,8,19,54
"597",597,1950,8,20,52
"598",598,1950,8,21,53
"599",599,1950,8,22,53
"600",600,1950,8,23,54
"601",601,1950,8,24,60
"602",602,1950,8,25,55
"603",603,1950,8,26,53
"604",604,1950,8,27,50
"605",605,1950,8,28,50
"606",606,1950,8,29,47
"607",607,1950,8,30,53
"608",608,1950,8,31,53
"609",609,1950,9,1,56
"610",610,1950,9,2,57
"611",611,1950,9,3,52
"612",612,1950,9,4,55
"613",613,1950,9,5,54
"614",614,1950,9,6,54
"615",615,1950,9,7,53
"616",616,1950,9,8,53
"617",617,1950,9,9,54
"618",618,1950,9,10,45
"619",619,1950,9,11,45
"620",620,1950,9,12,43
"621",621,1950,9,13,44
"622",622,1950,9,14,41
"623",623,1950,9,15,44
"624",624,1950,9,16,49
"625",625,1950,9,17,44
"626",626,1950,9,18,54
"627",627,1950,9,19,52
"628",628,1950,9,20,49
"629",629,1950,9,21,43
"630",630,1950,9,22,45
"631",631,1950,9,23,45
"632",632,1950,9,24,43
"633",633,1950,9,25,42
"634",634,1950,9,26,45
"635",635,1950,9,27,49
"636",636,1950,9,28,40
"637",637,1950,9,29,42
"638",638,1950,9,30,49
"639",639,1950,10,1,39
"640",640,1950,10,2,35
"641",641,1950,10,3,35
"642",642,1950,10,4,30
"643",643,1950,10,5,40
"644",644,1950,10,6,45
"645",645,1950,10,7,44
"646",646,1950,10,8,37
"647",647,1950,10,9,46
"648",648,1950,10,10,40
"649",649,1950,10,11,50
"650",650,1950,10,12,47
"651",651,1950,10,13,50
"652",652,1950,10,14,46
"653",653,1950,10,15,53
"654",654,1950,10,16,49
"655",655,1950,10,17,43
"656",656,1950,10,18,50
"657",657,1950,10,19,42
"658",658,1950,10,20,41
"659",659,1950,10,21,46
"660",660,1950,10,22,42
"661",661,1950,10,23,38
"662",662,1950,10,24,42
"663",663,1950,10,25,43
"664",664,1950,10,26,44
"665",665,1950,10,27,40
"666",666,1950,10,28,39
"667",667,1950,10,29,45
"668",668,1950,10,30,49
"669",669,1950,10,31,47
"670",670,1950,11,1,34
"671",671,1950,11,2,27
"672",672,1950,11,3,20
"673",673,1950,11,4,35
"674",674,1950,11,5,38
"675",675,1950,11,6,35
"676",676,1950,11,7,36
"677",677,1950,11,8,16
"678",678,1950,11,9,-8
"679",679,1950,11,10,-8
"680",680,1950,11,11,20
"681",681,1950,11,12,16
"682",682,1950,11,13,19
"683",683,1950,11,14,25
"684",684,1950,11,15,27
"685",685,1950,11,16,23
"686",686,1950,11,17,33
"687",687,1950,11,18,33
"688",688,1950,11,19,24
"689",689,1950,11,20,23
"690",690,1950,11,21,34
"691",691,1950,11,22,38
"692",692,1950,11,23,13
"693",693,1950,11,24,16
"694",694,1950,11,25,32
"695",695,1950,11,26,34
"696",696,1950,11,27,36
"697",697,1950,11,28,31
"698",698,1950,11,29,26
"699",699,1950,11,30,23
"700",700,1950,12,1,28
"701",701,1950,12,2,20
"702",702,1950,12,3,19
"703",703,1950,12,4,12
"704",704,1950,12,5,-5
"705",705,1950,12,6,-6
"706",706,1950,12,7,4
"707",707,1950,12,8,23
"708",708,1950,12,9,29
"709",709,1950,12,10,27
"710",710,1950,12,11,42
"711",711,1950,12,12,29
"712",712,1950,12,13,25
"713",713,1950,12,14,23
"714",714,1950,12,15,22
"715",715,1950,12,16,27
"716",716,1950,12,17,27
"717",717,1950,12,18,26
"718",718,1950,12,19,23
"719",719,1950,12,20,30
"720",720,1950,12,21,25
"721",721,1950,12,22,21
"722",722,1950,12,23,26
"723",723,1950,12,24,33
"724",724,1950,12,25,33
"725",725,1950,12,26,26
"726",726,1950,12,27,19
"727",727,1950,12,28,21
"728",728,1950,12,29,19
"729",729,1950,12,30,16
"730",730,1950,12,31,20
"731",731,1951,1,1,18
"732",732,1951,1,2,13
"733",733,1951,1,3,20
"734",734,1951,1,4,21
"735",735,1951,1,5,23
"736",736,1951,1,6,3
"737",737,1951,1,7,4
"738",738,1951,1,8,15
"739",739,1951,1,9,13
"740",740,1951,1,10,9
"741",741,1951,1,11,14
"742",742,1951,1,12,14
"743",743,1951,1,13,13
"744",744,1951,1,14,14
"745",745,1951,1,15,35
"746",746,1951,1,16,31
"747",747,1951,1,17,30
"748",748,1951,1,18,34
"749",749,1951,1,19,15
"750",750,1951,1,20,11
"751",751,1951,1,21,11
"752",752,1951,1,22,24
"753",753,1951,1,23,27
"754",754,1951,1,24,25
"755",755,1951,1,25,28
"756",756,1951,1,26,35
"757",757,1951,1,27,3
"758",758,1951,1,28,-7
"759",759,1951,1,29,-12
"760",760,1951,1,30,-8
"761",761,1951,1,31,-24
"762",762,1951,2,1,-25
"763",763,1951,2,2,2
"764",764,1951,2,3,21
"765",765,1951,2,4,20
"766",766,1951,2,5,22
"767",767,1951,2,6,24
"768",768,1951,2,7,20
"769",769,1951,2,8,31
"770",770,1951,2,9,30
"771",771,1951,2,10,45
"772",772,1951,2,11,41
"773",773,1951,2,12,14
"774",774,1951,2,13,-7
"775",775,1951,2,14,-5
"776",776,1951,2,15,15
"777",777,1951,2,16,18
"778",778,1951,2,17,24
"779",779,1951,2,18,26
"780",780,1951,2,19,24
"781",781,1951,2,20,22
"782",782,1951,2,21,23
"783",783,1951,2,22,30
"784",784,1951,2,23,29
"785",785,1951,2,24,32
"786",786,1951,2,25,27
"787",787,1951,2,26,24
"788",788,1951,2,27,27
"789",789,1951,2,28,22
"790",790,1951,3,1,21
"791",791,1951,3,2,17
"792",792,1951,3,3,13
"793",793,1951,3,4,22
"794",794,1951,3,5,36
"795",795,1951,3,6,26
"796",796,1951,3,7,24
"797",797,1951,3,8,13
"798",798,1951,3,9,15
"799",799,1951,3,10,17
"800",800,1951,3,11,15
"801",801,1951,3,12,12
"802",802,1951,3,13,21
"803",803,1951,3,14,30
"804",804,1951,3,15,28
"805",805,1951,3,16,25
"806",806,1951,3,17,19
"807",807,1951,3,18,14
"808",808,1951,3,19,14
"809",809,1951,3,20,21
"810",810,1951,3,21,25
"811",811,1951,3,22,33
"812",812,1951,3,23,27
"813",813,1951,3,24,26
"814",814,1951,3,25,27
"815",815,1951,3,26,33
"816",816,1951,3,27,29
"817",817,1951,3,28,17
"818",818,1951,3,29,16
"819",819,1951,3,30,24
"820",820,1951,3,31,25
"821",821,1951,4,1,28
"822",822,1951,4,2,24
"823",823,1951,4,3,33
"824",824,1951,4,4,35
"825",825,1951,4,5,36
"826",826,1951,4,6,35
"827",827,1951,4,7,29
"828",828,1951,4,8,29
"829",829,1951,4,9,29
"830",830,1951,4,10,21
"831",831,1951,4,11,18
"832",832,1951,4,12,15
"833",833,1951,4,13,30
"834",834,1951,4,14,26
"835",835,1951,4,15,22
"836",836,1951,4,16,29
"837",837,1951,4,17,38
"838",838,1951,4,18,41
"839",839,1951,4,19,40
"840",840,1951,4,20,28
"841",841,1951,4,21,27
"842",842,1951,4,22,29
"843",843,1951,4,23,36
"844",844,1951,4,24,38
"845",845,1951,4,25,38
"846",846,1951,4,26,34
"847",847,1951,4,27,43
"848",848,1951,4,28,42
"849",849,1951,4,29,43
"850",850,1951,4,30,38
"851",851,1951,5,1,33
"852",852,1951,5,2,34
"853",853,1951,5,3,34
"854",854,1951,5,4,36
"855",855,1951,5,5,45
"856",856,1951,5,6,37
"857",857,1951,5,7,35
"858",858,1951,5,8,41
"859",859,1951,5,9,43
"860",860,1951,5,10,40
"861",861,1951,5,11,40
"862",862,1951,5,12,47
"863",863,1951,5,13,44
"864",864,1951,5,14,46
"865",865,1951,5,15,49
"866",866,1951,5,16,46
"867",867,1951,5,17,48
"868",868,1951,5,18,45
"869",869,1951,5,19,49
"870",870,1951,5,20,48
"871",871,1951,5,21,47
"872",872,1951,5,22,46
"873",873,1951,5,23,46
"874",874,1951,5,24,49
"875",875,1951,5,25,50
"876",876,1951,5,26,43
"877",877,1951,5,27,50
"878",878,1951,5,28,56
"879",879,1951,5,29,50
"880",880,1951,5,30,52
"881",881,1951,5,31,46
"882",882,1951,6,1,33
"883",883,1951,6,2,30
"884",884,1951,6,3,34
"885",885,1951,6,4,36
"886",886,1951,6,5,43
"887",887,1951,6,6,45
"888",888,1951,6,7,45
"889",889,1951,6,8,49
"890",890,1951,6,9,48
"891",891,1951,6,10,48
"892",892,1951,6,11,45
"893",893,1951,6,12,42
"894",894,1951,6,13,50
"895",895,1951,6,14,54
"896",896,1951,6,15,48
"897",897,1951,6,16,53
"898",898,1951,6,17,54
"899",899,1951,6,18,57
"900",900,1951,6,19,60
"901",901,1951,6,20,53
"902",902,1951,6,21,53
"903",903,1951,6,22,50
"904",904,1951,6,23,53
"905",905,1951,6,24,50
"906",906,1951,6,25,57
"907",907,1951,6,26,52
"908",908,1951,6,27,54
"909",909,1951,6,28,55
"910",910,1951,6,29,49
"911",911,1951,6,30,48
"912",912,1951,7,1,48
"913",913,1951,7,2,54
"914",914,1951,7,3,59
"915",915,1951,7,4,58
"916",916,1951,7,5,56
"917",917,1951,7,6,57
"918",918,1951,7,7,67
"919",919,1951,7,8,64
"920",920,1951,7,9,56
"921",921,1951,7,10,52
"922",922,1951,7,11,53
"923",923,1951,7,12,53
"924",924,1951,7,13,50
"925",925,1951,7,14,57
"926",926,1951,7,15,63
"927",927,1951,7,16,62
"928",928,1951,7,17,59
"929",929,1951,7,18,59
"930",930,1951,7,19,64
"931",931,1951,7,20,67
"932",932,1951,7,21,60
"933",933,1951,7,22,58
"934",934,1951,7,23,55
"935",935,1951,7,24,57
"936",936,1951,7,25,57
"937",937,1951,7,26,63
"938",938,1951,7,27,64
"939",939,1951,7,28,65
"940",940,1951,7,29,63
"941",941,1951,7,30,64
"942",942,1951,7,31,64
"943",943,1951,8,1,63
"944",944,1951,8,2,64
"945",945,1951,8,3,60
"946",946,1951,8,4,61
"947",947,1951,8,5,62
"948",948,1951,8,6,64
"949",949,1951,8,7,60
"950",950,1951,8,8,56
"951",951,1951,8,9,54
"952",952,1951,8,10,58
"953",953,1951,8,11,52
"954",954,1951,8,12,65
"955",955,1951,8,13,56
"956",956,1951,8,14,58
"957",957,1951,8,15,51
"958",958,1951,8,16,58
"959",959,1951,8,17,55
"960",960,1951,8,18,57
"961",961,1951,8,19,55
"962",962,1951,8,20,52
"963",963,1951,8,21,52
"964",964,1951,8,22,54
"965",965,1951,8,23,58
"966",966,1951,8,24,55
"967",967,1951,8,25,54
"968",968,1951,8,26,54
"969",969,1951,8,27,57
"970",970,1951,8,28,59
"971",971,1951,8,29,63
"972",972,1951,8,30,57
"973",973,1951,8,31,54
"974",974,1951,9,1,53
"975",975,1951,9,2,53
"976",976,1951,9,3,57
"977",977,1951,9,4,60
"978",978,1951,9,5,56
"979",979,1951,9,6,57
"980",980,1951,9,7,59
"981",981,1951,9,8,57
"982",982,1951,9,9,52
"983",983,1951,9,10,44
"984",984,1951,9,11,45
"985",985,1951,9,12,40
"986",986,1951,9,13,40
"987",987,1951,9,14,43
"988",988,1951,9,15,42
"989",989,1951,9,16,40
"990",990,1951,9,17,42
"991",991,1951,9,18,48
"992",992,1951,9,19,51
"993",993,1951,9,20,41
"994",994,1951,9,21,32
"995",995,1951,9,22,35
