"","Year","Day","Hour","Prec"
"147",49,7,4,0
"148",49,7,5,0
"149",49,7,6,0
"150",49,7,7,0
"151",49,7,8,0
"152",49,7,9,0
"153",49,7,10,0
"154",49,7,11,0
"155",49,7,12,0
"156",49,7,13,0
"157",49,7,14,0
"158",49,7,15,0
"159",49,7,16,0
"160",49,7,17,0
"161",49,7,18,0
"162",49,7,19,0
"163",49,7,20,0.01
"164",49,7,21,0
"165",49,7,22,0
"166",49,7,23,0
"167",49,7,24,0
"168",49,8,1,0
"169",49,8,2,0
"170",49,8,3,0
"171",49,8,4,0
"172",49,8,5,0
"173",49,8,6,0
"174",49,8,7,0
"175",49,8,8,0
"176",49,8,9,0
"177",49,8,10,0
"178",49,8,11,0
"179",49,8,12,0
"180",49,8,13,0
"181",49,8,14,0
"182",49,8,15,0
"183",49,8,16,0
"184",49,8,17,0.01
"185",49,8,18,0.01
"186",49,8,19,0
"187",49,8,20,0
"188",49,8,21,0
"189",49,8,22,0
"190",49,8,23,0
"191",49,8,24,0
"192",49,9,1,0
"193",49,9,2,0
"194",49,9,3,0
"195",49,9,4,0
"196",49,9,5,0
"197",49,9,6,0
"198",49,9,7,0
"199",49,9,8,0
"200",49,9,9,0
"201",49,9,10,0
"202",49,9,11,0
"203",49,9,12,0
"204",49,9,13,0
"205",49,9,14,0
"206",49,9,15,0
"207",49,9,16,0
"208",49,9,17,0
"209",49,9,18,0
"210",49,9,19,0
"211",49,9,20,0
"212",49,9,21,0
"213",49,9,22,0
"214",49,9,23,0
"215",49,9,24,0
"216",49,10,1,0
"217",49,10,2,0
"218",49,10,3,0
"219",49,10,4,0
"220",49,10,5,0
"221",49,10,6,0
"222",49,10,7,0
"223",49,10,8,0
"224",49,10,9,0
"225",49,10,10,0
"226",49,10,11,0
"227",49,10,12,0
"228",49,10,13,0
"229",49,10,14,0
"230",49,10,15,0
"231",49,10,16,0
"232",49,10,17,0
"233",49,10,18,0
"234",49,10,19,0
"235",49,10,20,0
"236",49,10,21,0
"237",49,10,22,0
"238",49,10,23,0
"239",49,10,24,0
"240",49,11,1,0
"241",49,11,2,0
"242",49,11,3,0
"243",49,11,4,0
"244",49,11,5,0
"245",49,11,6,0
"246",49,11,7,0
"247",49,11,8,0
"248",49,11,9,0
"249",49,11,10,0
"250",49,11,11,0
"251",49,11,12,0
"252",49,11,13,0
"253",49,11,14,0
"254",49,11,15,0
"255",49,11,16,0.2
"256",49,11,17,0
"257",49,11,18,0
"258",49,11,19,0
"259",49,11,20,0
"260",49,11,21,0
"261",49,11,22,0
"262",49,11,23,0
"263",49,11,24,0
"264",49,12,1,0
"265",49,12,2,0
"266",49,12,3,0
"267",49,12,4,0
"268",49,12,5,0
"269",49,12,6,0
"270",49,12,7,0
"271",49,12,8,0
"272",49,12,9,0
"273",49,12,10,0
"274",49,12,11,0
"275",49,12,12,0
"276",49,12,13,0
"277",49,12,14,0
"278",49,12,15,0
"279",49,12,16,0
"280",49,12,17,0
"281",49,12,18,0
"282",49,12,19,0
"283",49,12,20,0
"284",49,12,21,0
"285",49,12,22,0
"286",49,12,23,0
"287",49,12,24,0
"288",49,13,1,0
"289",49,13,2,0
"290",49,13,3,0
"291",49,13,4,0
"292",49,13,5,0
"293",49,13,6,0
"294",49,13,7,0
"295",49,13,8,0
"296",49,13,9,0
"297",49,13,10,0
"298",49,13,11,0
"299",49,13,12,0
"300",49,13,13,0
"301",49,13,14,0
"302",49,13,15,0
"303",49,13,16,0
"304",49,13,17,0.01
"305",49,13,18,0.01
"306",49,13,19,0.01
"307",49,13,20,0.02
"308",49,13,21,0
"309",49,13,22,0
"310",49,13,23,0
"311",49,13,24,0
"312",49,14,1,0
"313",49,14,2,0
"314",49,14,3,0.01
"315",49,14,4,0
"316",49,14,5,0
"317",49,14,6,0
"318",49,14,7,0
"319",49,14,8,0
"320",49,14,9,0
"321",49,14,10,0
"322",49,14,11,0
"323",49,14,12,0
"324",49,14,13,0
"325",49,14,14,0
"326",49,14,15,0.05
"327",49,14,16,0.01
"328",49,14,17,0
"329",49,14,18,0
"330",49,14,19,0
"331",49,14,20,0
"332",49,14,21,0
"333",49,14,22,0
"334",49,14,23,0
"335",49,14,24,0
"336",49,15,1,0
"337",49,15,2,0
"338",49,15,3,0
"339",49,15,4,0
"340",49,15,5,0
"341",49,15,6,0
"342",49,15,7,0
"343",49,15,8,0
"344",49,15,9,0
"345",49,15,10,0
"346",49,15,11,0
"347",49,15,12,0
"348",49,15,13,0
"349",49,15,14,0
"350",49,15,15,0
"351",49,15,16,0
"352",49,15,17,0
"353",49,15,18,0
"354",49,15,19,0
"355",49,15,20,0
"356",49,15,21,0
"357",49,15,22,0
"358",49,15,23,0
"359",49,15,24,0
"360",49,16,1,0
"361",49,16,2,0
"362",49,16,3,0
"363",49,16,4,0
"364",49,16,5,0
"365",49,16,6,0
"366",49,16,7,0
"367",49,16,8,0
"368",49,16,9,0
"369",49,16,10,0
"370",49,16,11,0
"371",49,16,12,0
"372",49,16,13,0
"373",49,16,14,0
"374",49,16,15,0
"375",49,16,16,0
"376",49,16,17,0
"377",49,16,18,0
"378",49,16,19,0
"379",49,16,20,0
"380",49,16,21,0
"381",49,16,22,0
"382",49,16,23,0
"383",49,16,24,0
"384",49,17,1,0
"385",49,17,2,0
"386",49,17,3,0
"387",49,17,4,0
"388",49,17,5,0
"389",49,17,6,0
"390",49,17,7,0
"391",49,17,8,0
"392",49,17,9,0
"393",49,17,10,0
"394",49,17,11,0
"395",49,17,12,0
"396",49,17,13,0
"397",49,17,14,0
"398",49,17,15,0
"399",49,17,16,0
"400",49,17,17,0
"401",49,17,18,0
"402",49,17,19,0
"403",49,17,20,0
"404",49,17,21,0
"405",49,17,22,0
"406",49,17,23,0
"407",49,17,24,0
"408",49,18,1,0
"409",49,18,2,0
"410",49,18,3,0
"411",49,18,4,0
"412",49,18,5,0
"413",49,18,6,0
"414",49,18,7,0
"415",49,18,8,0
"416",49,18,9,0
"417",49,18,10,0
"418",49,18,11,0
"419",49,18,12,0
"420",49,18,13,0
"421",49,18,14,0
"422",49,18,15,0
"423",49,18,16,0
"424",49,18,17,0
"425",49,18,18,0
"426",49,18,19,0
"427",49,18,20,0
"428",49,18,21,0
"429",49,18,22,0
"430",49,18,23,0.03
"431",49,18,24,0.01
"432",49,19,1,0
"433",49,19,2,0
"434",49,19,3,0
"435",49,19,4,0
"436",49,19,5,0
"437",49,19,6,0
"438",49,19,7,0
"439",49,19,8,0
"440",49,19,9,0
"441",49,19,10,0
"442",49,19,11,0
"443",49,19,12,0
"444",49,19,13,0
"445",49,19,14,0
"446",49,19,15,0
"447",49,19,16,0
"448",49,19,17,0
"449",49,19,18,0
"450",49,19,19,0
"451",49,19,20,0
"452",49,19,21,0
"453",49,19,22,0
"454",49,19,23,0
"455",49,19,24,0
"456",49,20,1,0
"457",49,20,2,0
"458",49,20,3,0
"459",49,20,4,0
"460",49,20,5,0
"461",49,20,6,0
"462",49,20,7,0
"463",49,20,8,0
"464",49,20,9,0
"465",49,20,10,0
"466",49,20,11,0
"467",49,20,12,0
"468",49,20,13,0
"469",49,20,14,0
"470",49,20,15,0
"471",49,20,16,0
"472",49,20,17,0
"473",49,20,18,0
"474",49,20,19,0
"475",49,20,20,0
"476",49,20,21,0
"477",49,20,22,0
"478",49,20,23,0
"479",49,20,24,0
"480",49,21,1,0
"481",49,21,2,0
"482",49,21,3,0
"483",49,21,4,0
"484",49,21,5,0
"485",49,21,6,0
"486",49,21,7,0
"487",49,21,8,0
"488",49,21,9,0
"489",49,21,10,0
"490",49,21,11,0
"491",49,21,12,0
"492",49,21,13,0
"493",49,21,14,0
"494",49,21,15,0
"495",49,21,16,0.01
"496",49,21,17,0
"497",49,21,18,0
"498",49,21,19,0
"499",49,21,20,0
"500",49,21,21,0
"501",49,21,22,0
"502",49,21,23,0
"503",49,21,24,0
"504",49,22,1,0
"505",49,22,2,0
"506",49,22,3,0
"507",49,22,4,0
"508",49,22,5,0
"509",49,22,6,0
"510",49,22,7,0
"511",49,22,8,0
"512",49,22,9,0
"513",49,22,10,0
"514",49,22,11,0
"515",49,22,12,0
"516",49,22,13,0
"517",49,22,14,0
"518",49,22,15,0
"519",49,22,16,0
"520",49,22,17,0
"521",49,22,18,0
"522",49,22,19,0
"523",49,22,20,0
"524",49,22,21,0
"525",49,22,22,0
"526",49,22,23,0
"527",49,22,24,0
"528",49,23,1,0
"529",49,23,2,0
"530",49,23,3,0
"531",49,23,4,0
"532",49,23,5,0
"533",49,23,6,0
"534",49,23,7,0
"535",49,23,8,0
"536",49,23,9,0
"537",49,23,10,0
"538",49,23,11,0
"539",49,23,12,0
"540",49,23,13,0
"541",49,23,14,0
"542",49,23,15,0
"543",49,23,16,0
"544",49,23,17,0
"545",49,23,18,0
"546",49,23,19,0
"547",49,23,20,0
"548",49,23,21,0
"549",49,23,22,0
"550",49,23,23,0
"551",49,23,24,0
"552",49,24,1,0
"553",49,24,2,0
"554",49,24,3,0
"555",49,24,4,0
"556",49,24,5,0
"557",49,24,6,0
"558",49,24,7,0
"559",49,24,8,0
"560",49,24,9,0
"561",49,24,10,0
"562",49,24,11,0
"563",49,24,12,0
"564",49,24,13,0
"565",49,24,14,0
"566",49,24,15,0
"567",49,24,16,0
"568",49,24,17,0
"569",49,24,18,0
"570",49,24,19,0
"571",49,24,20,0
"572",49,24,21,0.03
"573",49,24,22,0.01
"574",49,24,23,0.04
"575",49,24,24,0.03
"576",49,25,1,0
"577",49,25,2,0
"578",49,25,3,0
"579",49,25,4,0
"580",49,25,5,0
"581",49,25,6,0
"582",49,25,7,0
"583",49,25,8,0
"584",49,25,9,0
"585",49,25,10,0
"586",49,25,11,0
"587",49,25,12,0
"588",49,25,13,0
"589",49,25,14,0
"590",49,25,15,0
"591",49,25,16,0.02
"592",49,25,17,0
"593",49,25,18,0
"594",49,25,19,0
"595",49,25,20,0
"596",49,25,21,0
"597",49,25,22,0
"598",49,25,23,0
"599",49,25,24,0
"600",49,26,1,0
"601",49,26,2,0
"602",49,26,3,0
"603",49,26,4,0
"604",49,26,5,0
"605",49,26,6,0
"606",49,26,7,0
"607",49,26,8,0
"608",49,26,9,0
"609",49,26,10,0
"610",49,26,11,0
"611",49,26,12,0
"612",49,26,13,0
"613",49,26,14,0
"614",49,26,15,0
"615",49,26,16,0
"616",49,26,17,0
"617",49,26,18,0
"618",49,26,19,0
"619",49,26,20,0
"620",49,26,21,0
"621",49,26,22,0
"622",49,26,23,0
"623",49,26,24,0
"624",49,27,1,0
"625",49,27,2,0
"626",49,27,3,0
"627",49,27,4,0
"628",49,27,5,0
"629",49,27,6,0
"630",49,27,7,0
"631",49,27,8,0
"632",49,27,9,0
"633",49,27,10,0
"634",49,27,11,0
"635",49,27,12,0
"636",49,27,13,0
"637",49,27,14,0
"638",49,27,15,0
"639",49,27,16,0
"640",49,27,17,0
"641",49,27,18,0
"642",49,27,19,0
"643",49,27,20,0
"644",49,27,21,0
"645",49,27,22,0
"646",49,27,23,0
"647",49,27,24,0
"648",49,28,1,0
"649",49,28,2,0
"650",49,28,3,0
"651",49,28,4,0
"652",49,28,5,0
"653",49,28,6,0
"654",49,28,7,0
"655",49,28,8,0
"656",49,28,9,0
"657",49,28,10,0
"658",49,28,11,0
"659",49,28,12,0
"660",49,28,13,0
"661",49,28,14,0
"662",49,28,15,0
"663",49,28,16,0
"664",49,28,17,0
"665",49,28,18,0
"666",49,28,19,0.01
"667",49,28,20,0
"668",49,28,21,0
"669",49,28,22,0
"670",49,28,23,0.01
"671",49,28,24,0.05
"672",49,29,1,0.03
"673",49,29,2,0.01
"674",49,29,3,0.01
"675",49,29,4,0
"676",49,29,5,0
"677",49,29,6,0
"678",49,29,7,0
"679",49,29,8,0
"680",49,29,9,0
"681",49,29,10,0
"682",49,29,11,0
"683",49,29,12,0
"684",49,29,13,0
"685",49,29,14,0
"686",49,29,15,0
"687",49,29,16,0
"688",49,29,17,0
"689",49,29,18,0
"690",49,29,19,0
"691",49,29,20,0
"692",49,29,21,0
"693",49,29,22,0
"694",49,29,23,0
"695",49,29,24,0
"696",49,30,1,0
"697",49,30,2,0
"698",49,30,3,0
"699",49,30,4,0
"700",49,30,5,0
"701",49,30,6,0
"702",49,30,7,0
"703",49,30,8,0
"704",49,30,9,0
"705",49,30,10,0
"706",49,30,11,0
"707",49,30,12,0
"708",49,30,13,0
"709",49,30,14,0
"710",49,30,15,0
"711",49,30,16,0
"712",49,30,17,0
"713",49,30,18,0
"714",49,30,19,0
"715",49,30,20,0
"716",49,30,21,0
"717",49,30,22,0
"718",49,30,23,0
"719",49,30,24,0
"720",49,31,1,0
"721",49,31,2,0
"722",49,31,3,0
"723",49,31,4,0
"724",49,31,5,0
"725",49,31,6,0
"726",49,31,7,0
"727",49,31,8,0
"728",49,31,9,0
"729",49,31,10,0
"730",49,31,11,0
"731",49,31,12,0
"732",49,31,13,0
"733",49,31,14,0
"734",49,31,15,0
"735",49,31,16,0
"736",49,31,17,0
"737",49,31,18,0
"738",49,31,19,0
"739",49,31,20,0
"740",49,31,21,0
"741",49,31,22,0
"742",49,31,23,0
"743",49,31,24,0
"744",50,1,1,0
"745",50,1,2,0
"746",50,1,3,0
"747",50,1,4,0
"748",50,1,5,0
"749",50,1,6,0
"750",50,1,7,0
"751",50,1,8,0
"752",50,1,9,0
"753",50,1,10,0
"754",50,1,11,0
"755",50,1,12,0
"756",50,1,13,0
"757",50,1,14,0
"758",50,1,15,0
"759",50,1,16,0
"760",50,1,17,0
"761",50,1,18,0
"762",50,1,19,0.1
"763",50,1,20,0.01
"764",50,1,21,0
"765",50,1,22,0
"766",50,1,23,0
"767",50,1,24,0
"768",50,2,1,0
"769",50,2,2,0
"770",50,2,3,0
"771",50,2,4,0
"772",50,2,5,0
"773",50,2,6,0
"774",50,2,7,0
"775",50,2,8,0
"776",50,2,9,0
"777",50,2,10,0
"778",50,2,11,0
"779",50,2,12,0
"780",50,2,13,0
"781",50,2,14,0
"782",50,2,15,0.03
"783",50,2,16,0
"784",50,2,17,0
"785",50,2,18,0
"786",50,2,19,0
"787",50,2,20,0
"788",50,2,21,0
"789",50,2,22,0
"790",50,2,23,0
"791",50,2,24,0
"792",50,3,1,0
"793",50,3,2,0
"794",50,3,3,0
"795",50,3,4,0
"796",50,3,5,0
"797",50,3,6,0
"798",50,3,7,0
"799",50,3,8,0
"800",50,3,9,0
"801",50,3,10,0
"802",50,3,11,0
"803",50,3,12,0
"804",50,3,13,0
"805",50,3,14,0
"806",50,3,15,0
"807",50,3,16,0
"808",50,3,17,0
"809",50,3,18,0
"810",50,3,19,0
"811",50,3,20,0
"812",50,3,21,0
"813",50,3,22,0
"814",50,3,23,0
"815",50,3,24,0
"816",50,4,1,0
"817",50,4,2,0
"818",50,4,3,0
"819",50,4,4,0
"820",50,4,5,0
"821",50,4,6,0
"822",50,4,7,0
"823",50,4,8,0
"824",50,4,9,0
"825",50,4,10,0
"826",50,4,11,0
"827",50,4,12,0
"828",50,4,13,0.01
"829",50,4,14,0
"830",50,4,15,0
"831",50,4,16,0
"832",50,4,17,0
"833",50,4,18,0
"834",50,4,19,0
"835",50,4,20,0
"836",50,4,21,0
"837",50,4,22,0
"838",50,4,23,0
"839",50,4,24,0
"840",50,5,1,0
"841",50,5,2,0
"842",50,5,3,0
"843",50,5,4,0
"844",50,5,5,0
"845",50,5,6,0
"846",50,5,7,0
"847",50,5,8,0
"848",50,5,9,0
"849",50,5,10,0
"850",50,5,11,0
"851",50,5,12,0
"852",50,5,13,0
"853",50,5,14,0
"854",50,5,15,0
"855",50,5,16,0
"856",50,5,17,0.01
"857",50,5,18,0.03
"858",50,5,19,0
"859",50,5,20,0
"860",50,5,21,0
"861",50,5,22,0
"862",50,5,23,0
"863",50,5,24,0
"864",50,6,1,0
"865",50,6,2,0
"866",50,6,3,0
"867",50,6,4,0
"868",50,6,5,0
"869",50,6,6,0
"870",50,6,7,0
"871",50,6,8,0
"872",50,6,9,0
"873",50,6,10,0
"874",50,6,11,0
"875",50,6,12,0
"876",50,6,13,0
"877",50,6,14,0
"878",50,6,15,0
"879",50,6,16,0
"880",50,6,17,0
"881",50,6,18,0
"882",50,6,19,0
"883",50,6,20,0
"884",50,6,21,0
"885",50,6,22,0
"886",50,6,23,0
"887",50,6,24,0
"888",50,7,1,0
"889",50,7,2,0
"890",50,7,3,0
"891",50,7,4,0
"892",50,7,5,0
"893",50,7,6,0
"894",50,7,7,0
"895",50,7,8,0
"896",50,7,9,0
"897",50,7,10,0
"898",50,7,11,0
"899",50,7,12,0
"900",50,7,13,0
"901",50,7,14,0
"902",50,7,15,0
"903",50,7,16,0
"904",50,7,17,0
"905",50,7,18,0
"906",50,7,19,0
"907",50,7,20,0
"908",50,7,21,0
"909",50,7,22,0
"910",50,7,23,0
"911",50,7,24,0
"912",50,8,1,0
"913",50,8,2,0
"914",50,8,3,0
"915",50,8,4,0
"916",50,8,5,0
"917",50,8,6,0
"918",50,8,7,0
"919",50,8,8,0
"920",50,8,9,0
"921",50,8,10,0
"922",50,8,11,0
"923",50,8,12,0
"924",50,8,13,0
"925",50,8,14,0
"926",50,8,15,0
"927",50,8,16,0
"928",50,8,17,0
"929",50,8,18,0
"930",50,8,19,0
"931",50,8,20,0
"932",50,8,21,0
"933",50,8,22,0
"934",50,8,23,0
"935",50,8,24,0
"936",50,9,1,0
"937",50,9,2,0
"938",50,9,3,0
"939",50,9,4,0
"940",50,9,5,0
"941",50,9,6,0
"942",50,9,7,0
"943",50,9,8,0
"944",50,9,9,0
"945",50,9,10,0
"946",50,9,11,0
"947",50,9,12,0
"948",50,9,13,0
"949",50,9,14,0
"950",50,9,15,0
"951",50,9,16,0
"952",50,9,17,0
"953",50,9,18,0
"954",50,9,19,0
"955",50,9,20,0
"956",50,9,21,0
"957",50,9,22,0
"958",50,9,23,0
"959",50,9,24,0
"960",50,10,1,0
"961",50,10,2,0
"962",50,10,3,0
"963",50,10,4,0
"964",50,10,5,0
"965",50,10,6,0
"966",50,10,7,0
"967",50,10,8,0
"968",50,10,9,0
"969",50,10,10,0
"970",50,10,11,0
"971",50,10,12,0
"972",50,10,13,0
"973",50,10,14,0
"974",50,10,15,0
"975",50,10,16,0
"976",50,10,17,0
"977",50,10,18,0
"978",50,10,19,0
"979",50,10,20,0
"980",50,10,21,0
"981",50,10,22,0
"982",50,10,23,0
"983",50,10,24,0
"984",50,11,1,0
"985",50,11,2,0
"986",50,11,3,0
"987",50,11,4,0
"988",50,11,5,0
"989",50,11,6,0
"990",50,11,7,0
"991",50,11,8,0
"992",50,11,9,0
"993",50,11,10,0
"994",50,11,11,0
"995",50,11,12,0
"996",50,11,13,0
"997",50,11,14,0
"998",50,11,15,0
"999",50,11,16,0
"1000",50,11,17,0
"1001",50,11,18,0
"1002",50,11,19,0
"1003",50,11,20,0
"1004",50,11,21,0
"1005",50,11,22,0
"1006",50,11,23,0
"1007",50,11,24,0
"1008",50,12,1,0
"1009",50,12,2,0
"1010",50,12,3,0
"1011",50,12,4,0
"1012",50,12,5,0
"1013",50,12,6,0
"1014",50,12,7,0
"1015",50,12,8,0
"1016",50,12,9,0
"1017",50,12,10,0
"1018",50,12,11,0
"1019",50,12,12,0
"1020",50,12,13,0
"1021",50,12,14,0
"1022",50,12,15,0
"1023",50,12,16,0
"1024",50,12,17,0
"1025",50,12,18,0
"1026",50,12,19,0
"1027",50,12,20,0
"1028",50,12,21,0
"1029",50,12,22,0
"1030",50,12,23,0
"1031",50,12,24,0
"1032",50,13,1,0
"1033",50,13,2,0
"1034",50,13,3,0
"1035",50,13,4,0
"1036",50,13,5,0
"1037",50,13,6,0
"1038",50,13,7,0
"1039",50,13,8,0
"1040",50,13,9,0
"1041",50,13,10,0
"1042",50,13,11,0
"1043",50,13,12,0
"1044",50,13,13,0
"1045",50,13,14,0
"1046",50,13,15,0
"1047",50,13,16,0
"1048",50,13,17,0
"1049",50,13,18,0
"1050",50,13,19,0
"1051",50,13,20,0
"1052",50,13,21,0
"1053",50,13,22,0
"1054",50,13,23,0
"1055",50,13,24,0
"1056",50,14,1,0
"1057",50,14,2,0
"1058",50,14,3,0
"1059",50,14,4,0
"1060",50,14,5,0
"1061",50,14,6,0
"1062",50,14,7,0
"1063",50,14,8,0
"1064",50,14,9,0
"1065",50,14,10,0
"1066",50,14,11,0
"1067",50,14,12,0
"1068",50,14,13,0
"1069",50,14,14,0
"1070",50,14,15,0
"1071",50,14,16,0
"1072",50,14,17,0
"1073",50,14,18,0
"1074",50,14,19,0
"1075",50,14,20,0
"1076",50,14,21,0
"1077",50,14,22,0
"1078",50,14,23,0
"1079",50,14,24,0
"1080",50,15,1,0
"1081",50,15,2,0
"1082",50,15,3,0
"1083",50,15,4,0
"1084",50,15,5,0
"1085",50,15,6,0
"1086",50,15,7,0
"1087",50,15,8,0
"1088",50,15,9,0
"1089",50,15,10,0
"1090",50,15,11,0
"1091",50,15,12,0
"1092",50,15,13,0
"1093",50,15,14,0
"1094",50,15,15,0
"1095",50,15,16,0
"1096",50,15,17,0
"1097",50,15,18,0
"1098",50,15,19,0
"1099",50,15,20,0
"1100",50,15,21,0
"1101",50,15,22,0
"1102",50,15,23,0
"1103",50,15,24,0
"1104",50,16,1,0
"1105",50,16,2,0
"1106",50,16,3,0
"1107",50,16,4,0
"1108",50,16,5,0
"1109",50,16,6,0
"1110",50,16,7,0
"1111",50,16,8,0
"1112",50,16,9,0
"1113",50,16,10,0
"1114",50,16,11,0
"1115",50,16,12,0
"1116",50,16,13,0
"1117",50,16,14,0
"1118",50,16,15,0.01
"1119",50,16,16,0
"1120",50,16,17,0
"1121",50,16,18,0
"1122",50,16,19,0
"1123",50,16,20,0
"1124",50,16,21,0
"1125",50,16,22,0
"1126",50,16,23,0
"1127",50,16,24,0
"1128",50,17,1,0
"1129",50,17,2,0
"1130",50,17,3,0
"1131",50,17,4,0
"1132",50,17,5,0
"1133",50,17,6,0
"1134",50,17,7,0
"1135",50,17,8,0
"1136",50,17,9,0
"1137",50,17,10,0
"1138",50,17,11,0
"1139",50,17,12,0
"1140",50,17,13,0
"1141",50,17,14,0
"1142",50,17,15,0
"1143",50,17,16,0
"1144",50,17,17,0.04
"1145",50,17,18,0.01
"1146",50,17,19,0
"1147",50,17,20,0
"1148",50,17,21,0
"1149",50,17,22,0
"1150",50,17,23,0
"1151",50,17,24,0
"1152",50,18,1,0
"1153",50,18,2,0
"1154",50,18,3,0
"1155",50,18,4,0
"1156",50,18,5,0
"1157",50,18,6,0
"1158",50,18,7,0
"1159",50,18,8,0
"1160",50,18,9,0
"1161",50,18,10,0
"1162",50,18,11,0
"1163",50,18,12,0
"1164",50,18,13,0
"1165",50,18,14,0
"1166",50,18,15,0
"1167",50,18,16,0
"1168",50,18,17,0
"1169",50,18,18,0
"1170",50,18,19,0.01
"1171",50,18,20,0.06
"1172",50,18,21,0
"1173",50,18,22,0
"1174",50,18,23,0
"1175",50,18,24,0
"1176",50,19,1,0
"1177",50,19,2,0
"1178",50,19,3,0
"1179",50,19,4,0
"1180",50,19,5,0
"1181",50,19,6,0
"1182",50,19,7,0
"1183",50,19,8,0
"1184",50,19,9,0
"1185",50,19,10,0
"1186",50,19,11,0
"1187",50,19,12,0
"1188",50,19,13,0
"1189",50,19,14,0
"1190",50,19,15,0
"1191",50,19,16,0
"1192",50,19,17,0
"1193",50,19,18,0
"1194",50,19,19,0
"1195",50,19,20,0
"1196",50,19,21,0
"1197",50,19,22,0
"1198",50,19,23,0
"1199",50,19,24,0
"1200",50,20,1,0
"1201",50,20,2,0
"1202",50,20,3,0
"1203",50,20,4,0
"1204",50,20,5,0
"1205",50,20,6,0
"1206",50,20,7,0
"1207",50,20,8,0
"1208",50,20,9,0
"1209",50,20,10,0
"1210",50,20,11,0
"1211",50,20,12,0
"1212",50,20,13,0
"1213",50,20,14,0
"1214",50,20,15,0
"1215",50,20,16,0
"1216",50,20,17,0
"1217",50,20,18,0
"1218",50,20,19,0
"1219",50,20,20,0
"1220",50,20,21,0
"1221",50,20,22,0
"1222",50,20,23,0
"1223",50,20,24,0
"1224",50,21,1,0
"1225",50,21,2,0
"1226",50,21,3,0
"1227",50,21,4,0
"1228",50,21,5,0
"1229",50,21,6,0
"1230",50,21,7,0
"1231",50,21,8,0
"1232",50,21,9,0
"1233",50,21,10,0
"1234",50,21,11,0
"1235",50,21,12,0
"1236",50,21,13,0
"1237",50,21,14,0
"1238",50,21,15,0
"1239",50,21,16,0
