"","idhous00","age00","educat00","civsta00","nbadul00","nbkid00","aoldki00","ayouki00","region00","com2.00","sex","birthy","jan00","feb00","mar00","apr00","may00","jun00","jul00","aug00","sep00","oct00","nov00","dec00"
"4516",94991,32,"university, higher specialized school","married",2,0,-3,-3,"Ticino","Peripheral urban communes","woman",1968,"D","D","D","D","D","D","D","D","D","D","D","D"
"4874",101781,34,"technical or vocational school","married",2,1,4,4,"Middleland (BE, FR, SO, NE, JU)","Peripheral agricultural communes","man",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"4697",98841,17,"compulsory school, elementary vocational training","single, never married",2,2,17,13,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1983,"D","D","D","D","D","D","A","D","D","D","D","D"
"1517",32141,71,"compulsory school, elementary vocational training","divorced",1,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","man",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"1279",26451,49,"vocational high school","married",4,0,-3,-3,"Zurich","Suburban communes","woman",1951,"B","B","B","B","B","B","B","B","B","C","C","C"
"2097",44901,52,"apprenticeship","divorced",1,0,-3,-3,"Ticino","Centres","woman",1948,"A","A","A","A","A","A","A","A","A","A","A","A"
"2702",57861,72,"apprenticeship","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1928,"D","D","D","D","D","D","D","D","D","D","D","D"
"3607",75431,54,"apprenticeship","single, never married",1,0,-3,-3,"Zurich","Suburban communes","man",1946,"A","A","A","A","A","A","A","A","D","D","B","B"
"2883",61271,45,"domestic science course, 1 year school of commerce","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1955,"C","C","C","C","C","C","C","C","C","C","C","C"
"543",12081,81,"maturity","widower/widow",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1919,"D","D","D","D","D","D","D","D","D","D","D","D"
"7032",146991,28,"full-time vocational school","married",2,2,4,1,"Ticino","Suburban communes","man",1972,"A","A","A","A","A","A","A","A","A","A","A","A"
"1491",31861,62,"apprenticeship","widower/widow",2,0,-3,-3,"Zurich","Suburban communes","woman",1938,"B","B","B","B","B","B","B","B","B","B","C","C"
"917",18951,63,"maturity","divorced",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1937,"C","C","C","C","C","C","C","C","B","D","D","D"
"2113",45111,40,"compulsory school, elementary vocational training","married",2,2,3,1,"Ticino","Suburban communes","woman",1960,"D","D","D","D","D","D","D","D","D","D","D","D"
"6338",132101,56,"apprenticeship","divorced",3,0,-3,-3,"Zurich","Peripheral urban communes","man",1944,"A","A","A","A","A","A","A","A","A","A","A","A"
"6729",140541,67,"compulsory school, elementary vocational training","married",4,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Centres","man",1933,"D","D","D","D","D","D","D","D","D","D","D","D"
"6181",128181,47,"maturity","married",3,2,17,13,"Zurich","Rural commuter communes","woman",1953,"C","C","C","C","C","C","C","C","C","C","C","C"
"3066",65311,28,"vocational high school","single, never married",5,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1972,"A","A","A","A","A","A","A","A","A","A","A","A"
"4294",89971,40,"vocational high education","married",2,2,7,5,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","man",1960,"A","A","A","A","A","A","A","A","A","A","A","A"
"4504",94851,59,"apprenticeship","married",4,0,-3,-3,"Ticino","Peripheral urban communes","man",1941,"A","A","A","A","A","A","A","A","A","A","A","A"
"1137",23531,54,"university, higher specialized school","single, never married",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","man",1946,"C","C","C","C","C","C","C","C","C","C","C","C"
"4436",92981,16,"compulsory school, elementary vocational training","single, never married",3,2,16,13,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","man",1984,"D","D","D","D","D","D","D","D","D","D","C","D"
"3765",78951,25,"apprenticeship","single, never married",3,0,-3,-3,"Zurich","Centres","woman",1975,"B","B","B","B","B","B","B","B","B","B","B","B"
"4267",89601,39,"apprenticeship","married",3,4,17,8,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Mixed agricultural communes","woman",1961,"B","B","B","B","B","B","B","B","B","B","B","A"
"5919",122581,52,"vocational high education","married",2,1,10,10,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1948,"A","A","A","A","A","A","A","A","A","A","A","A"
"3810",79901,44,"vocational high education","divorced",1,0,-3,-3,"Zurich","Suburban communes","man",1956,"A","A","A","A","A","A","A","A","A","A","A","A"
"1909",40921,49,"apprenticeship","married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","woman",1951,"A","A","A","A","A","A","A","A","A","A","A","A"
"24",1791,50,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1950,"A","A","A","A","A","A","A","A","A","A","A","A"
"1727",36901,44,"full-time vocational school","married",2,4,8,3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","man",1956,"A","A","A","A","A","A","A","A","A","A","A","A"
"1722",36771,26,"compulsory school, elementary vocational training","single, never married",4,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1974,"A","A","A","A","A","A","A","A","A","A","A","A"
"5604",116511,44,"vocational high education","married",2,2,11,9,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1956,"D","D","D","D","D","D","D","D","D","D","D","D"
"2068",44371,21,"maturity","single, never married",5,0,-3,-3,"Ticino","Peripheral agricultural communes","woman",1979,"D","D","D","D","D","D","D","A","D","D","D","D"
"3511",73351,43,"domestic science course, 1 year school of commerce","married",3,2,16,15,"North-west Switzerland  (BS, BL, AG)","Rural commuter communes","woman",1957,"B","B","B","B","B","B","B","B","B","B","B","B"
"3092",65571,36,"vocational high school","married",2,2,11,8,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1964,"A","A","A","A","A","A","A","A","A","A","D","D"
"4006",83791,59,"compulsory school, elementary vocational training","married",4,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","woman",1941,"D","D","D","D","D","D","D","D","D","D","D","D"
"6834",142701,37,"apprenticeship","married",2,3,13,9,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","woman",1963,"C","C","C","C","C","C","C","C","C","C","C","C"
"109",3551,14,"incomplete compulsory school","single, never married",2,3,14,8,"Lake Geneva (VD, VS, GE)","Centres","man",1986,"D","D","D","D","D","D","D","D","D","D","D","D"
"2313",49851,84,"university, higher specialized school","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1916,"D","D","D","D","D","D","D","D","D","D","D","D"
"3770",79101,62,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1938,"D","D","D","D","D","D","D","D","D","D","D","D"
"4182",87711,88,"apprenticeship","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","man",1912,"D","D","D","D","D","D","D","D","D","D","D","D"
"5209",108171,16,"compulsory school, elementary vocational training","single, never married",3,1,17,17,"North-west Switzerland  (BS, BL, AG)","Centres","man",1984,"D","D","D","D","D","D","D","D","D","D","D","D"
"6833",142701,42,"apprenticeship","married",2,3,13,9,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"1586",33901,15,"incomplete compulsory school","single, never married",2,3,15,10,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","woman",1985,"D","D","D","D","D","D","D","D","D","D","D","D"
"1730",36941,41,"vocational high education","married",2,1,11,11,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Peripheral urban communes","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"1330",27421,65,"apprenticeship","married",2,0,-3,-3,"Zurich","Centres","man",1935,"C","C","C","C","D","D","D","D","D","D","D","D"
"6523",136881,64,"domestic science course, 1 year school of commerce","married",3,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Rural commuter communes","woman",1936,"D","D","D","D","D","D","D","D","D","D","D","D"
"137",4211,38,"maturity","divorced",1,2,12,7,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1962,"B","B","B","B","B","B","B","B","B","B","B","C"
"3240",68221,31,"compulsory school, elementary vocational training","married",2,1,8,8,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1969,"B","B","B","B","B","B","B","B","B","B","B","B"
"5441",112661,39,"university, higher specialized school","married",2,1,6,6,"Zurich","Centres","man",1961,"A","A","A","A","A","A","A","A","A","A","A","A"
"888",18421,31,"apprenticeship","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Peripheral agricultural communes","man",1969,"A","A","A","A","A","A","A","A","A","A","A","A"
"3079",65441,70,"full-time vocational school","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1930,"D","D","D","D","D","D","D","D","D","D","D","D"
"2715",58021,39,"apprenticeship","married",2,3,11,4,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1961,"D","D","D","D","D","D","D","C","C","C","D","D"
"4781",100141,50,"apprenticeship","married",4,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1950,"A","A","A","A","A","A","A","A","A","A","A","A"
"1419",29661,32,"technical or vocational school","single, never married",2,0,-3,-3,"Zurich","Centres","man",1968,"A","A","A","A","A","A","A","A","A","A","A","A"
"79",2851,46,"maturity","married",2,2,12,12,"Lake Geneva (VD, VS, GE)","Mixed agricultural communes","man",1954,"D","D","D","D","D","D","D","D","D","D","D","D"
"2284",49191,30,"compulsory school, elementary vocational training","married",2,2,7,5,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1970,"D","D","D","D","D","D","D","D","D","D","D","D"
"2833",60101,45,"apprenticeship","married",4,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","man",1955,"D","D","D","D","D","D","D","D","D","D","D","A"
"3070",65341,16,"compulsory school, elementary vocational training","single, never married",1,2,16,14,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","man",1984,"A","A","A","A","A","A","A","A","A","A","A","A"
"2931",62141,16,"incomplete compulsory school","single, never married",2,1,16,16,"Middleland (BE, FR, SO, NE, JU)","Peripheral urban communes","woman",1984,"D","D","D","D","D","D","A","D","D","D","D","D"
"4356",91251,40,"full-time vocational school","married",2,2,15,13,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","man",1960,"A","A","A","A","A","A","A","A","A","A","A","A"
"5935",122911,67,"maturity","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1933,"D","D","D","D","D","D","D","D","D","D","D","D"
"2583",55531,34,"compulsory school, elementary vocational training","married",2,3,14,0,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1966,"D","D","D","D","D","D","D","D","D","D","D","D"
"974",19961,29,"compulsory school, elementary vocational training","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","man",1971,"A","A","A","A","A","A","A","A","A","A","A","A"
"6109",126421,52,"domestic science course, 1 year school of commerce","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1948,"C","C","C","C","C","C","C","C","C","C","C","C"
"3962",82681,16,"incomplete compulsory school","single, never married",2,1,16,16,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","man",1984,"D","D","D","D","D","D","D","D","D","D","D","D"
"4335",90751,33,"domestic science course, 1 year school of commerce","single, never married",1,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","woman",1967,"A","A","A","A","A","A","A","A","A","A","A","A"
"1666",35691,63,"vocational high school","married",3,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1937,"A","A","A","A","A","A","A","A","A","A","A","A"
"3929",81861,54,"university, higher specialized school","single, never married",1,0,-3,-3,"Zurich","Centres","woman",1946,"D","D","D","D","D","D","D","D","D","D","D","D"
"4695",98841,41,"vocational high school","widower/widow",2,2,17,13,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"2700",57791,30,"vocational high school","married",2,1,2,2,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1970,"B","B","B","B","B","B","B","B","B","B","B","B"
"5259",108901,41,"university, higher specialized school","single, never married",5,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"3243",68271,28,"university, higher specialized school","single, never married",3,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1972,"B","B","B","B","B","B","B","B","B","B","B","B"
"5733",118851,65,"apprenticeship","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1935,"D","D","D","D","D","D","D","D","D","D","D","D"
"2753",58951,38,"university, higher specialized school","married",2,3,5,0,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1962,"A","A","A","A","A","A","A","A","A","A","A","A"
"5390",111661,44,"apprenticeship","married",3,1,16,16,"Zurich","Peripheral urban communes","woman",1956,"B","B","B","B","B","B","B","B","B","B","B","B"
"80",2851,43,"apprenticeship","married",2,2,12,12,"Lake Geneva (VD, VS, GE)","Mixed agricultural communes","woman",1957,"D","D","D","D","D","D","D","D","D","D","D","D"
"6077",125901,64,"full-time vocational school","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1936,"D","D","D","D","D","D","D","D","D","D","D","D"
"223",6161,34,"maturity","married",2,3,9,4,"Lake Geneva (VD, VS, GE)","Centres","woman",1966,"D","D","D","D","D","D","D","D","D","D","D","D"
"1843",39401,15,"incomplete compulsory school","single, never married",3,2,15,13,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","man",1985,"D","D","D","D","D","D","A","D","D","D","D","D"
"5095",106291,81,"university, higher specialized school","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Wealthy communes","man",1919,"D","D","D","D","D","D","D","D","D","D","D","D"
"3541",73812,34,"vocational high school","single, never married",1,0,-3,-3,"Zurich","Centres","man",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"4880",101871,26,"apprenticeship","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1974,"A","A","A","A","A","A","A","A","A","A","A","A"
"6321",131721,72,"vocational high education","widower/widow",1,0,-3,-3,"Zurich","Centres","man",1928,"D","D","D","D","D","D","D","D","D","D","D","D"
"5595",116281,58,"university, higher specialized school","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1942,"A","A","A","A","A","A","A","A","A","A","A","A"
"4774",100041,19,"compulsory school, elementary vocational training","single, never married",4,1,17,17,"Middleland (BE, FR, SO, NE, JU)","Peripheral urban communes","man",1981,"C","C","C","C","C","C","C","C","C","C","C","C"
"289",7341,61,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1939,"D","D","D","D","D","D","D","D","D","D","D","D"
"3241",68271,62,"university, higher specialized school","married",3,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1938,"A","A","A","A","A","A","A","A","A","D","D","D"
"3802",79661,33,"vocational high education","single, never married",1,0,-3,-3,"Zurich","Centres","woman",1967,"A","A","A","A","A","A","A","A","A","A","A","A"
"4156",87251,79,"apprenticeship","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1921,"D","D","D","D","D","D","D","D","D","D","D","D"
"1401",29211,39,"technical or vocational school","single, never married",1,0,-3,-3,"Zurich","Suburban communes","man",1961,"A","A","A","A","A","A","A","A","A","A","A","A"
"2928",62101,26,"apprenticeship","married",2,2,2,0,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1974,"C","D","C","D","C","D","C","D","D","D","D","D"
"4673",98511,66,"apprenticeship","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1934,"C","C","C","C","C","C","C","C","C","C","D","D"
"1644",35071,20,"apprenticeship","single, never married",3,3,17,14,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Mixed agricultural communes","man",1980,"A","A","A","A","A","A","A","A","A","A","A","A"
"3941",82281,52,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1948,"A","A","A","A","A","A","A","A","A","A","A","A"
"2306",49791,37,"apprenticeship","married",2,2,5,3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"6944",145301,55,"apprenticeship","married",3,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Rural commuter communes","man",1945,"A","A","A","A","A","A","A","A","A","A","A","A"
"538",12021,67,"general training school","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1933,"C","C","C","C","C","C","C","C","C","C","C","C"
"2183",46721,70,"apprenticeship","married",3,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1930,"A","A","A","A","A","A","A","A","A","A","A","A"
"2498",53931,43,"general training school","married",4,0,-3,-3,"Lake Geneva (VD, VS, GE)","Tourist communes","man",1957,"A","A","A","A","A","A","A","A","A","A","A","A"
"3599",75301,15,"compulsory school, elementary vocational training","single, never married",2,4,15,7,"Zurich","Suburban communes","man",1985,"A","A","A","A","A","A","A","A","A","A","A","A"
"1414",29511,63,"vocational high education","married",2,0,-3,-3,"Zurich","Suburban communes","man",1937,"B","B","B","B","B","B","B","B","B","B","B","B"
"2189",46881,66,"apprenticeship","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","man",1934,"D","D","D","D","D","D","D","D","D","D","D","D"
"4841",101061,25,"compulsory school, elementary vocational training","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1975,"A","A","A","A","A","A","A","A","A","A","A","A"
"5713",118551,77,"apprenticeship","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1923,"D","D","D","D","D","D","D","D","D","D","D","D"
"5745",119101,43,"apprenticeship","married",2,2,6,2,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","man",1957,"A","A","A","A","A","A","A","A","A","A","A","A"
"1046",21611,43,"apprenticeship","divorced",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1957,"A","A","A","A","A","A","A","A","A","A","A","A"
"3839",80361,42,"maturity","married",3,1,16,16,"Zurich","Suburban communes","woman",1958,"B","B","B","B","B","B","B","B","B","B","B","B"
"2746",58611,42,"compulsory school, elementary vocational training","married",3,1,11,11,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"3236",68201,54,"apprenticeship","married",3,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1946,"B","B","B","B","B","B","B","B","B","B","B","B"
"5829",121151,19,"maturity","single, never married",4,1,14,14,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1981,"D","D","D","D","D","C","C","C","C","C","C","D"
"4722",99241,33,"apprenticeship","married",2,2,5,3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"2065",44371,49,"maturity","married",5,0,-3,-3,"Ticino","Peripheral agricultural communes","man",1951,"A","A","A","A","A","A","A","A","A","A","A","A"
"4957",103451,20,"apprenticeship","single, never married",3,1,11,11,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1980,"A","A","A","A","A","A","A","A","A","A","A","A"
"3763",78921,40,"apprenticeship","single, never married",1,0,-3,-3,"Zurich","Centres","woman",1960,"D","D","D","D","D","D","A","A","C","A","A","A"
"6371",132811,65,"technical or vocational school","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","woman",1935,"D","D","D","D","D","D","D","D","D","D","D","C"
"4529",95311,49,"compulsory school, elementary vocational training","divorced",1,0,-3,-3,"Ticino","Suburban communes","woman",1951,"D","D","D","D","D","D","D","D","D","D","D","D"
"2762",59181,31,"vocational high school","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1969,"A","A","A","A","A","A","A","A","A","A","A","A"
"2373",51301,46,"university, higher specialized school","married",2,2,15,12,"Lake Geneva (VD, VS, GE)","Centres","woman",1954,"B","B","B","B","B","B","B","B","B","B","B","B"
"3224",68031,45,"apprenticeship","married",2,2,17,15,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"4681",98571,14,"incomplete compulsory school","single, never married",2,2,16,14,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1986,"D","D","D","D","D","D","D","D","D","D","D","D"
"4177",87541,14,"incomplete compulsory school","single, never married",2,3,14,9,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1986,"D","D","D","D","D","D","D","D","D","D","D","D"
"2860",60841,40,"apprenticeship","married",3,1,13,13,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1960,"B","B","B","B","B","B","B","B","B","B","B","B"
"3942",82281,40,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","woman",1960,"B","B","B","B","B","B","B","B","B","B","B","B"
"640",13541,21,"apprenticeship","single, never married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Peripheral urban communes","woman",1979,"A","A","A","A","A","A","A","A","A","A","A","A"
"1929",41321,34,"university, higher specialized school","married",2,2,4,0,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","man",1966,"C","C","C","C","C","C","C","B","B","B","B","B"
"1840",39401,42,"apprenticeship","married",3,2,15,13,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"2202",47161,79,"compulsory school, elementary vocational training","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1921,"D","D","D","D","D","D","D","D","D","D","D","D"
"3162",66931,39,"compulsory school, elementary vocational training","married",2,2,11,7,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1961,"C","C","C","C","C","C","C","C","C","C","C","C"
"4001",83701,42,"vocational high education","married",2,3,16,12,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"2675",57541,31,"university, higher specialized school","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1969,"A","A","A","A","A","A","A","A","A","A","A","A"
"4413",92541,51,"compulsory school, elementary vocational training","married",3,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","woman",1949,"A","A","A","A","A","A","A","A","A","A","A","A"
"1027",21131,61,"apprenticeship","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1939,"D","D","D","D","D","D","D","D","D","D","D","D"
"3130",66311,33,"university, higher specialized school","married",2,2,4,2,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1967,"A","A","A","A","A","A","A","A","A","A","A","A"
