"","population","code"
"175",18662,100
"176",18580,100
"177",18210,100
"178",18205,100
"179",17968,100
"180",17673,100
"181",17499,100
"182",17286,300
"183",17085,100
"184",16630,400
"185",16122,100
"186",15657,100
"187",15478,100
"188",15387,100
"189",14757,100
"190",14261,100
"191",14225,400
"192",14011,100
"193",13922,100
"194",13917,100
"195",13907,100
"196",13580,100
"197",13500,100
"198",13412,200
"199",12883,100
"200",12868,400
"201",2758,100
"202",2735,100
"203",2731,100
"204",2725,100
"205",2715,100
"206",2694,100
"207",2693,200
"208",2681,100
"209",2681,100
"210",2622,300
"211",2608,100
"212",2607,100
"213",2584,100
"214",2570,100
"215",2565,100
"216",2553,100
"217",2521,100
"218",2521,400
"219",2499,100
"220",2468,100
"221",2461,200
"222",2461,100
"223",2426,100
"224",2422,100
"225",2410,100
"226",2408,100
"227",2403,400
"228",2366,100
"229",2346,100
"230",2314,300
"231",2307,100
"232",2295,100
"233",2263,100
"234",2256,100
"235",2250,100
"236",2240,100
"237",2213,400
"238",2200,100
"239",2196,100
"240",2185,100
"241",2167,100
"242",2161,100
"243",2160,100
"244",2160,400
"245",2143,400
"246",2124,100
"247",2123,100
"248",2117,100
"249",2108,100
"250",2093,100
"251",800,100
"252",800,100
"253",800,100
"254",800,100
"255",800,100
"256",800,100
"257",795,100
"258",789,100
"259",780,100
"260",779,100
"261",777,100
"262",773,100
"263",772,100
"264",770,100
"265",767,100
"266",764,100
"267",755,100
"268",754,100
"269",752,100
"270",750,100
"271",750,100
"272",750,100
"273",743,400
"274",739,100
"275",732,100
"276",732,400
"277",730,100
"278",729,100
"279",726,100
"280",726,100
"281",723,100
"282",723,100
"283",722,100
"284",720,200
"285",705,100
"286",701,100
"287",700,400
"288",700,100
"289",700,100
"290",700,100
"291",699,200
"292",697,100
"293",696,100
"294",696,100
"295",692,100
"296",690,100
"297",689,300
"298",686,100
"299",677,100
"300",675,100
"301",12784,100
"302",12500,100
"303",12254,100
"304",12000,100
"305",11677,100
"306",11255,100
"307",11109,100
"308",11075,100
"309",11062,100
"310",10808,100
"311",10795,100
"312",10721,100
"313",10506,100
"314",10390,100
"315",10362,100
"316",10199,200
"317",10171,100
"318",9968,100
"319",9396,100
"320",9370,100
"321",9268,100
"322",9260,200
"323",9175,200
"324",9145,400
"325",9082,100
"326",9000,100
"327",8979,100
"328",8935,100
"329",8914,100
"330",8838,100
"331",8818,100
"332",8737,100
"333",8732,100
"334",8626,300
"335",8560,100
"336",8524,100
"337",8480,100
"338",8477,100
"339",8381,100
"340",8318,100
"341",8317,100
"342",8255,100
"343",8152,100
"344",7765,100
"345",7752,100
"346",7625,100
"347",7439,100
"348",7412,100
"349",7398,200
"350",7207,200
"351",2083,200
"352",2080,400
"353",2070,100
"354",2064,100
"355",2064,100
"356",2051,100
"357",2042,100
"358",2038,100
"359",2026,100
"360",2025,100
"361",2019,100
"362",2003,100
"363",1997,100
"364",1996,100
"365",1979,100
"366",1964,100
"367",1953,100
"368",1949,100
"369",1930,100
"370",1917,100
"371",1914,100
"372",1906,100
"373",1901,100
"374",1887,300
"375",1862,100
"376",1871,100
"377",1863,200
"378",1855,100
"379",1848,100
"380",1838,100
"381",1833,100
"382",1830,100
"383",1788,100
"384",1772,100
"385",1768,100
"386",1767,100
"387",1754,100
"388",1752,100
"389",1750,100
"390",1749,400
"391",1748,100
"392",1734,100
"393",1733,100
"394",1731,100
"395",1731,300
"396",1719,100
"397",1717,100
"398",1715,100
"399",1714,200
"400",1712,100
"401",673,100
"402",668,100
"403",663,100
"404",658,100
"405",655,100
"406",650,100
"407",650,100
"408",649,100
"409",648,100
"410",645,100
"411",643,100
"412",640,100
"413",627,100
"414",625,300
"415",621,100
"416",618,100
"417",616,100
"418",612,100
"419",611,100
"420",602,100
"421",600,100
"422",600,100
"423",600,100
"424",600,100
"425",600,100
"426",600,100
"427",594,100
"428",589,100
"429",585,100
"430",580,100
"431",578,100
"432",575,100
"433",573,300
"434",567,100
"435",567,100
"436",564,100
"437",564,100
"438",561,100
"439",556,300
"440",555,100
"441",553,100
"442",548,100
"443",543,100
"444",541,100
"445",539,100
"446",538,100
"447",533,100
"448",528,300
"449",526,100
"450",525,100
"451",7184,200
"452",7166,100
"453",6992,100
"454",6954,100
"455",6831,100
"456",6812,100
"457",6805,100
"458",6791,100
"459",6789,200
"460",6744,100
"461",6681,100
"462",6538,100
"463",6485,100
"464",6423,100
"465",6421,400
"466",6316,200
"467",6269,100
"468",6166,100
"469",6128,100
"470",6114,200
"471",6066,100
"472",6062,100
"473",5985,400
"474",5972,100
"475",5967,100
"476",5950,300
"477",5907,100
"478",5877,100
"479",5830,100
"480",5825,100
"481",5803,100
"482",5771,100
"483",5770,100
"484",5763,100
"485",5700,100
"486",5669,400
"487",5507,100
"488",5494,100
"489",5460,300
"490",5417,100
"491",5410,100
"492",5326,400
"493",5256,300
"494",5222,300
"495",5200,100
"496",5182,100
"497",5157,100
"498",5157,300
"499",5105,100
"500",5098,100
"501",1697,100
"502",1690,400
"503",1647,400
"504",1645,100
"505",1641,100
"506",1630,100
"507",1623,100
"508",1619,100
"509",1610,100
"510",1586,100
"511",1583,100
"512",1580,100
"513",1575,100
"514",1574,100
"515",1550,400
"516",1549,100
"517",1533,200
"518",1507,100
"519",1492,100
"520",1468,100
"521",1468,100
"522",1465,100
"523",1461,100
"524",1460,100
"525",1448,100
"526",1443,100
"527",1438,100
"528",1431,100
"529",1423,100
"530",1416,100
"531",1416,100
"532",1414,100
"533",1405,100
"534",1400,100
"535",1398,100
"536",1390,200
"537",1382,400
"538",1379,100
"539",1366,100
"540",1365,100
"541",1365,300
"542",1361,300
"543",1353,100
"544",1348,100
"545",1344,100
"546",1337,100
"547",1336,100
"548",1334,300
"549",1325,100
"550",1320,100
"551",525,100
"552",524,100
"553",523,100
"554",522,100
"555",522,300
"556",520,400
"557",516,100
"558",511,100
"559",507,200
"560",507,100
"561",500,100
"562",500,100
"563",500,100
"564",500,100
"565",497,100
"566",493,100
"567",493,100
"568",490,100
"569",488,100
"570",483,100
"571",476,100
"572",471,100
"573",470,100
"574",465,100
"575",460,100
"576",457,100
"577",453,100
"578",450,100
"579",450,100
"580",450,100
"581",450,100
"582",446,200
"583",443,300
"584",439,300
"585",437,100
"586",434,100
"587",434,100
"588",425,200
"589",422,100
"590",420,400
"591",400,100
"592",400,100
"593",399,200
"594",398,300
"595",396,100
"596",391,100
"597",379,100
"598",378,100
"599",375,300
"600",373,200
"601",5094,100
"602",5046,100
"603",5020,100
"604",5009,200
"605",5003,300
"606",4991,100
"607",4949,100
"608",4948,100
"609",4946,100
"610",4907,100
"611",4896,100
"612",4851,100
"613",4835,100
"614",4784,100
"615",4708,100
"616",4704,100
"617",4673,100
"618",4662,100
"619",4654,100
"620",4629,100
"621",4594,100
"622",4582,300
"623",4469,100
"624",4447,100
"625",4311,400
"626",4286,100
"627",4235,300
"628",4220,400
"629",4216,100
"630",4129,100
"631",4041,400
"632",4023,400
"633",4016,100
"634",4000,100
"635",3991,200
"636",3962,100
"637",3944,100
"638",3933,300
"639",3909,200
"640",3906,100
"641",3878,100
"642",3872,100
"643",3855,200
"644",3852,100
"645",3846,100
"646",3829,100
"647",3795,100
"648",3788,100
"649",3749,100
"650",3737,100
"651",1317,100
"652",1304,100
"653",1292,100
"654",1290,100
"655",1289,100
"656",1279,100
"657",1276,100
"658",1274,100
"659",1267,100
"660",1265,100
"661",1263,100
"662",1262,100
"663",1258,100
"664",1248,100
"665",1248,100
"666",1247,200
"667",1247,100
"668",1244,200
"669",1237,100
"670",1237,100
"671",1237,100
"672",1236,100
"673",1234,100
"674",1231,100
"675",1228,100
"676",1224,100
"677",1215,100
"678",1215,100
"679",1210,100
"680",1201,300
"681",1181,300
"682",1180,400
"683",1178,100
"684",1176,100
"685",1168,100
"686",1166,100
"687",1166,200
"688",1156,300
"689",1156,100
"690",1150,100
"691",1149,400
"692",1146,100
"693",1146,300
"694",1126,100
"695",1114,100
"696",1109,200
"697",1097,100
"698",1095,100
"699",1090,100
"700",1086,100
"701",373,100
"702",372,100
"703",372,100
"704",369,100
"705",365,300
"706",363,100
"707",363,300
"708",359,100
"709",355,100
"710",351,100
"711",350,100
"712",348,100
"713",345,100
"714",335,100
"715",335,100
"716",332,200
"717",330,100
"718",328,100
"719",327,400
"720",323,100
"721",321,100
"722",321,100
"723",314,200
"724",314,100
"725",309,100
"726",303,400
"727",300,100
"728",300,100
"729",300,100
"730",299,100
"731",295,100
"732",295,100
"733",295,100
"734",292,100
"735",291,100
"736",286,100
"737",277,100
"738",275,100
"739",273,100
"740",270,100
"741",253,100
"742",250,400
"743",250,100
"744",200,100
"745",180,400
"746",171,200
"747",164,400
"748",162,300
"749",125,100
"750",111,100
"751",1083,100
"752",1082,100
"753",1082,100
"754",1079,400
"755",1078,100
"756",1078,100
"757",1076,100
"758",1068,100
"759",1066,100
"760",1049,100
"761",1045,100
"762",1040,200
"763",1034,100
"764",1033,100
"765",1033,100
"766",1030,100
"767",1027,200
"768",1026,100
"769",1026,100
"770",1025,300
"771",1016,100
"772",1009,300
"773",1004,100
"774",1004,100
"775",1003,100
"776",988,100
"777",982,100
"778",976,300
"779",976,100
"780",975,100
"781",972,100
"782",964,100
"783",960,100
"784",956,100
"785",956,400
"786",956,200
"787",950,200
"788",950,100
"789",950,100
"790",950,100
"791",946,100
"792",935,100
"793",932,300
"794",931,200
"795",929,100
"796",925,100
"797",925,100
"798",921,100
"799",917,300
"800",913,100
"801",85,100
"802",67,100
"803",28,100
"804",19,100
