"","ID","x","y","DA30","CO30","COB1r","S_UDS","COSha30","Cor4DAidep","CorT"
"38","S46",671095,450076,1.3,0.95,"P","RTa3",36.79,32.37,1.34168978578421
"39","S47",670838,450012,1.36,1.91,"P","CQa1",78.34,68.93,1.39859765256068
"40","S48",670561,449792,1.19,1.12,"P","RTa1",39.84,35.05,1.3491393795864
"41","S49",670021,449252,1.29,1.07,"Ctv","RTa3",41.12,36.6,1.35302441335821
"42","S50",669737,449210,1.42,0.97,"P","CHa3",41.44,36.46,1.35268107707671
"43","S51",669482,449250,1.36,1.07,"P","CHa3",43.49,38.26,1.3568906796747
"44","S52",669223,449236,1.13,1.82,"P","CNa1",61.63,54.22,1.38356170969709
"45","S53",670559,450872,1.6,1.14,"P","CPa3",54.68,48.11,1.37510796365827
"46","S56",670014,450329,1.38,0.85,"P","CPa3",35.13,30.9,1.33717707568897
"47","S57",669786,448532,1.43,1.24,"P","LBat4",53.17,46.78,1.37302255735273
"48","S58",669502,448517,1.34,1.28,"P","LBat4",51.78,45.56,1.37102172888855
"49","S59",669373,448526,1.26,1.62,"Cpf","LBat4",61.25,55.26,1.38484052235906
"50","S60",669298,448687,1.17,1.31,"Cpf","LBa4",46.09,41.59,1.36385232190363
"51","S61",668910,448520,1.45,1.04,"P","LBat4",45.3,39.85,1.36034476489218
"52","S62",670682,448659,1.5,2.01,"Pl","LBa4",90.26,81.44,1.4077080786597
"53","S63",670694,448961,1.53,1.14,"Pl","LBa4",52.18,47.08,1.37351070823492
"54","S64",672136,449657,1.28,0.9,"Cpf","LBa4",34.41,31.05,1.33763225701916
"55","S65",672646,449669,1.45,1.09,"Ctv","LBa4",47.42,42.21,1.36504569828381
"56","S66",672643,449209,1.3,1.09,"P","LBa2",42.64,37.51,1.35517895207321
"57","S67",672595,448835,1.24,1.38,"P","ss",51.6,45.4,1.37075635037063
"58","S68",671859,448748,1.44,0.95,"P","LBa4",40.92,36,1.35154642928027
"59","S69",671745,453293,1.39,0.92,"Pl","BQa2",38.34,34.6,1.34794863423839
"60","S70",672183,453305,1.35,0.82,"Pl","BQa1",33.37,30.11,1.33455721264141
"61","S71",672463,453303,1.24,1.36,"Pl","CQa1",50.38,45.46,1.37085358388693
"62","S72",672713,453296,1.49,1.04,"Pl","CQa1",46.7,42.13,1.36490245540635
"63","S73",672437,453025,1.31,1.19,"Pl","ENa3",46.63,42.08,1.36479494780416
"64","S74",672179,453034,1.38,1.84,"Pl","BJa1",76.24,68.79,1.39848506677816
"65","S75",671903,453028,1.26,0.99,"Pl","ENa3",37.5,33.84,1.34588996854446
"66","S76",671637,453033,1.4,0.99,"Pl","ENa3",41.85,37.76,1.35575710161486
"67","S77",671649,452756,1.31,1.19,"Pl","BJa1",46.71,42.15,1.3649294794384
"68","S78",671923,452767,1.36,1.24,"Pl","BJa1",50.43,45.51,1.37093765870281
"69","S79",672184,452752,1.27,1.45,"Pl","BJa1",55.44,50.02,1.37794055894611
"70","S80",672451,452762,1.4,0.92,"Pl","ENa3",38.64,34.86,1.3486426425722
"71","S81",672451,452492,1.38,1.26,"Pl","ENa3",52.31,47.2,1.37369232730421
"72","S82",672181,452492,1.39,1.38,"Pl","ENa3",57.55,51.93,1.38058451955722
"73","S83",671911,452492,1.45,1.04,"Pl","ENa3",45.4,40.96,1.36260763011498
"74","S84",671641,452492,1.23,1.31,"Pl","BJa1",48.32,43.6,1.36762004342242
"75","S85",670561,450602,1.52,1.36,"P","CPa1",61.94,54.5,1.38390467686267
"76","S87",670291,450332,1.38,0.87,"P","CPa3",36.11,31.77,1.33989146018468
"77","S88",670291,450062,1.19,0.92,"P","RTa3",32.9,28.94,1.33053501035481
"78","S89",670021,450062,1.33,2.04,"P","CPa1",80.95,71.22,1.40046540321667
"79","S90",669758,450059,1.17,2.38,"P","CPa3",83.72,73.66,1.40234902787405
"80","S91",669481,450062,1.22,1.28,"P","CPa1",46.97,41.33,1.36333900603174
"81","S92",672451,451682,1.36,1.72,"P","TMa3",70.02,61.61,1.39186482182873
"82","S95",672753,451514,1.33,1.19,"Cpf","TMa3",47.34,42.71,1.36599654853811
"83","S96",672893,451459,1.39,1.09,"Cpf","TMa3",45.58,41.13,1.36294757468629
"84","S97",672721,451952,1.38,1.38,"P","TMa3",57.38,50.48,1.37858889838693
"85","S98",673026,451953,1.49,1.24,"P","TMa3",55.27,48.63,1.37589324974337
"86","S99",673067,452352,1.02,1.48,"P","ENa3",45.41,39.95,1.36054197292277
"87","S100",672713,452223,1.54,1.12,"P","ENa3",51.67,45.46,1.3708606692696
"88","S102",671911,452222,1.21,0.9,"Pl","ENa3",32.42,29.25,1.33163642582095
"89","S103",671641,452222,1.46,1.04,"Pl","ENa3",45.76,41.29,1.36325723715263
"90","S104",671371,452222,1.49,0.92,"Pl","ENa3",41.22,37.19,1.35443104626116
"91","S107",672451,450600,1.25,1.58,"P","RTa1",58.89,51.81,1.38042884890493
"92","S108",672839,450567,1.23,1.26,"P","RTa1",46.57,40.98,1.36264209385908
"93","S113",672452,450068,1.35,1.14,"P","CPa3",46.31,40.74,1.36217078191281
"94","S116",669752,449794,1.49,1.21,"P","CPa3",54,47.51,1.37418182698902
"95","S117",670018,449792,1.34,1.31,"P","RTa3",52.49,46.18,1.37205959522358
"96","S118",670292,449795,1.5,0.82,"P","RTa3",37.07,32.61,1.34241480061735
"97","S119",670565,450066,1.57,1.04,"P","RTa3",49.21,43.3,1.36707407142989
"98","S121",670833,450330,1.44,0.92,"P","RTa3",39.66,34.89,1.34872001082968
"99","S123",671371,450602,1.36,1.07,"P","RTa3",43.56,38.33,1.35703824496288
"100","S124",671640,450601,1.52,1.07,"P","RTa3",48.49,42.66,1.36589382648534
"101","S128",671604,452032,1.37,1.04,"Az","RPa4",42.94,38.22,1.35680729901255
"102","S129",671738,451851,1.39,1.07,"Az","RPa4",44.54,39.65,1.3599173887204
"103","S132",671992,451371,1.19,1.04,"Az","RPa4",37.3,33.2,1.34410865447168
"104","S133",671757,451436,1.27,1.07,"Az","RPa4",40.58,36.12,1.3518617078666
"105","S134",671604,451444,1.15,1.07,"Az","RPa4",36.88,32.83,1.34304179297984
"106","S135",671632,451295,1.41,1.07,"P","RPa4",44.98,39.57,1.35975107076912
"107","S136",671400,451164,1.52,0.8,"Az","RPa4",36.51,32.5,1.34209054966502
"108","S137",671002,451307,1.39,1.02,"P","RPat3",42.34,37.25,1.35456258733673
"109","S138",671912,450331,1.41,1.19,"P","RTa3",50.23,44.19,1.36868171892299
"110","S140",671639,450332,1.52,1.41,"P","RTa3",64.25,56.52,1.38634521174773
"111","S141",671369,450332,1.49,1.07,"P","RTa3",47.6,41.88,1.3644135434639
"112","S143",670869,450823,1.53,0.82,"Ctv","CPa3",37.9,33.74,1.34562304283982
"113","S144",670648,451050,1.39,1.28,"P","CPa3",53.66,47.21,1.37371158568382
"114","S145",669752,450335,1.53,1.02,"P","CPa3",46.68,41.07,1.36281995297144
"115","S146",669479,450333,1.47,0.82,"P","CPa3",36.43,32.05,1.34073661093352
"116","S147",669208,450061,1.4,0.97,"P","CPab3",40.67,35.78,1.35100430900269
"117","S149",669479,449789,1.54,1.31,"P","CPa3",60.31,53.06,1.38208355704274
"118","S150",669956,449030,1.17,1.58,"P","CNa1",55.27,48.63,1.37588984807667
