"","ID","x","y","DA10","CO10","COB1r","S_UDS","COSha10","Cor4DAidep","CorT"
"73","S81",672451,452492,1.21,1.58,"Pl","ENa3",19.14,17,1.22348034051932
"74","S82",672181,452492,1.28,1.5,"Pl","ENa3",19.23,17.08,1.22414230162402
"75","S83",671911,452492,1.3,1.41,"Pl","ENa3",18.33,16.28,1.21758254128233
"76","S84",671641,452492,1.22,1.65,"Pl","BJa1",20.16,17.91,1.2303799657155
"77","S85",670561,450602,1.34,1.94,"P","CPa1",25.95,22.2,1.2563252878524
"78","S87",670291,450332,1.32,1.04,"P","CPa3",13.8,11.81,1.16748240975446
"79","S88",670291,450062,1.16,1.21,"P","RTa3",14.04,12.01,1.17043557916861
"80","S89",670021,450062,1.28,2.04,"P","CPa1",26.05,22.29,1.25674574441917
"81","S90",669758,450059,1.18,4.07,"P","CPa3",48.19,41.24,1.3123147924174
"82","S91",669481,450062,1.28,1.5,"P","CPa1",19.26,16.48,1.21926909527854
"83","S92",672451,451682,1.31,2.06,"P","TMa3",26.98,23.09,1.26061348477557
"84","S95",672753,451514,1.21,1.48,"Cpf","TMa3",17.84,15.85,1.21377546722148
"85","S96",672893,451459,1.36,1.55,"Cpf","TMa3",21.08,18.72,1.23609733802477
"86","S97",672721,451952,1.37,1.75,"P","TMa3",23.97,20.51,1.24721441513223
"87","S98",673026,451953,1.39,1.5,"P","TMa3",20.82,17.81,1.22969660622663
"88","S99",673067,452352,1.33,1.6,"P","ENa3",21.34,18.26,1.23287589909322
"89","S100",672713,452223,1.35,1.62,"P","ENa3",21.99,18.82,1.23672163923521
"90","S102",671911,452222,1.39,1.26,"Pl","ENa3",17.49,15.54,1.21095010713816
"91","S103",671641,452222,1.39,1.33,"Pl","ENa3",18.57,16.49,1.21936491510952
"92","S104",671371,452222,1.42,1.33,"Pl","ENa3",18.95,16.83,1.22212874057862
"93","S107",672451,450600,1.19,1.79,"P","RTa1",21.27,18.2,1.23246486047989
"94","S108",672839,450567,1.21,2.01,"P","RTa1",24.35,20.83,1.24905356539794
"95","S113",672452,450068,1.35,1.45,"P","CPa3",19.68,16.84,1.22222576801724
"96","S114",672761,450050,1.2,2.42,"P","CPa3",29.08,24.88,1.26853598831807
"97","S116",669752,449794,1.39,1.94,"P","CPa3",26.88,23,1.26019336032372
"98","S117",670018,449792,1.37,1.41,"P","RTa3",19.24,16.46,1.21910297458149
"99","S118",670292,449795,1.51,1.41,"P","RTa3",21.18,18.12,1.23192320360575
"100","S119",670565,450066,1.38,1.41,"P","RTa3",19.43,16.63,1.22047980375271
"101","S121",670833,450330,1.42,1.5,"P","RTa3",21.32,18.24,1.23276723594799
"102","S123",671371,450602,1.35,1.04,"P","RTa3",14.1,12.06,1.17112395058884
"103","S124",671640,450601,1.38,1.53,"P","RTa3",21.08,18.04,1.23132075992266
"104","S128",671604,452032,1.25,1.26,"Az","RPa4",15.78,13.4,1.18853201600541
"105","S129",671738,451851,1.36,1.43,"Az","RPa4",19.41,16.48,1.21926620706787
"106","S132",671992,451371,1.29,1.36,"Az","RPa4",17.49,14.85,1.20434696271246
"107","S133",671757,451436,1.42,1.31,"Az","RPa4",18.6,15.79,1.2133110123005
"108","S134",671604,451444,1.27,1.26,"Az","RPa4",16.01,13.59,1.19080189093242
"109","S135",671632,451295,1.43,1.16,"P","RPa4",16.65,14.25,1.19813455447461
"110","S136",671400,451164,1.37,0.95,"Az","RPa4",12.97,11.02,1.15501022832836
"111","S137",671002,451307,1.3,1.36,"P","RPat3",17.6,15.06,1.20646232075536
"112","S138",671912,450331,1.39,1.48,"P","RTa3",20.61,17.63,1.22836812125274
"113","S140",671639,450332,1.45,0.87,"P","RTa3",12.67,10.84,1.15208744138082
"114","S141",671369,450332,1.36,1.75,"P","RTa3",23.66,20.24,1.24565948990144
"115","S143",670869,450823,1.49,1.12,"Ctv","CPa3",16.65,14.14,1.19691102000092
"116","S144",670648,451050,1.34,1.55,"P","CPa3",20.74,17.74,1.22918809093725
"117","S145",669752,450335,1.43,1.72,"P","CPa3",24.58,21.03,1.25013285842232
"118","S146",669479,450333,1.46,1.04,"P","CPa3",15.21,13.02,1.18387836259642
"119","S147",669208,450061,1.43,1.26,"P","CPab3",18.04,15.43,1.21001199018431
"120","S148",669210,449790,1.36,1.5,"P","CPab3",20.36,17.42,1.22679935731055
"121","S149",669479,449789,1.36,1.75,"P","CPa3",23.73,20.31,1.24602000241241
"122","S150",669956,449030,1.09,3.85,"P","CNa1",42.06,35.98,1.30200268016778
