"","LeadPetrol","RiverSea","RadioWaste","AirPollution","Chemicals","Nuclear"
"210","slightly concerned","very concerned","very concerned","not very concerned","very concerned","very concerned"
"211","slightly concerned","very concerned","very concerned","very concerned","slightly concerned","not very concerned"
"212","very concerned","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"213","very concerned","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"214","very concerned","very concerned","not very concerned","very concerned","very concerned","not very concerned"
"215","very concerned","very concerned","not very concerned","very concerned","very concerned","not very concerned"
"216","slightly concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"217","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"218","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"219","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"220","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"221","slightly concerned","slightly concerned","slightly concerned","very concerned","very concerned","slightly concerned"
"222","very concerned","slightly concerned","very concerned","very concerned","not very concerned","slightly concerned"
"223","very concerned","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"224","very concerned","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"225","not very concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"226","not very concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"227","very concerned","very concerned","slightly concerned","slightly concerned","very concerned","not very concerned"
"228","slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"229","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","not very concerned"
"230","very concerned","very concerned","slightly concerned","very concerned","slightly concerned","not very concerned"
"231","very concerned","slightly concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"232","very concerned","slightly concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"233","slightly concerned","very concerned","not very concerned","very concerned","slightly concerned","very concerned"
"234","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned"
"235","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"236","slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","not very concerned"
"237","not very concerned","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"238","slightly concerned","very concerned","very concerned","slightly concerned","slightly concerned","not very concerned"
"239","slightly concerned","very concerned","very concerned","slightly concerned","slightly concerned","not very concerned"
"240","slightly concerned","very concerned","slightly concerned","very concerned","not very concerned","slightly concerned"
"241","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"242","very concerned","slightly concerned","very concerned","slightly concerned","not very concerned","slightly concerned"
"243","very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"244","very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"245","very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"246","very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"247","slightly concerned","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned"
"248","very concerned","not very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"249","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned"
"250","slightly concerned","very concerned","very concerned","slightly concerned","not very concerned","not very concerned"
"251","very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"252","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"253","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"254","slightly concerned","slightly concerned","very concerned","slightly concerned","slightly concerned","not very concerned"
"255","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned"
"256","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned"
"257","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"258","not very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"259","very concerned","very concerned","slightly concerned","slightly concerned","not very concerned","not very concerned"
"260","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"261","very concerned","very concerned","not very concerned","slightly concerned","slightly concerned","not very concerned"
"262","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"263","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"264","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"265","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"266","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"267","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"268","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"269","not very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"270","slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","slightly concerned"
"271","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"272","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"273","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"274","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"275","very concerned","slightly concerned","not very concerned","slightly concerned","slightly concerned","not very concerned"
"276","slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"277","slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"278","slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"279","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned","not very concerned"
"280","not very concerned","not very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"281","slightly concerned","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"282","slightly concerned","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"283","slightly concerned","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"284","very concerned","slightly concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"285","not very concerned","very concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"286","not very concerned","not very concerned","slightly concerned","not very concerned","slightly concerned","slightly concerned"
"287","slightly concerned","slightly concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"288","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned","not very concerned"
"289","not very concerned","not very concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"290","not very concerned","not very concerned","not very concerned","not very concerned","not very concerned","not very concerned"
"291","not very concerned","not very concerned","not very concerned","not very concerned","not very concerned","not very concerned"
