"","V1","V2","V3","V4","V5","MPROB"
"101",113,156,NA,212,NA,20
"102",NA,155,236,209,271,20
"103",121,NA,224,205,NA,20
"104",126,166,NA,212,273,20
"105",136,174,259,217,278,20
"106",146,177,203,212,272,20
"107",136,NA,322,NA,301,20
"108",103,97,552,NA,364,20
"109",80,66,576,340,NA,20
"110",79,66,NA,340,376,20
"111",79,66,577,NA,379,20
"112",78,66,574,342,NA,20
"113",78,66,571,NA,379,20
"114",78,NA,NA,344,380,20
"115",111,NA,NA,NA,260,30
"116",113,147,NA,NA,NA,30
"117",113,150,195,192,259,30
"118",110,147,NA,195,262,30
"119",NA,136,240,200,266,30
"120",93,125,262,NA,271,30
"121",92,110,NA,NA,235,30
"122",94,95,NA,113,190,30
"123",94,94,29,110,188,30
"124",NA,NA,NA,133,208,30
"125",108,115,17,144,215,30
"126",134,156,10,163,NA,30
"127",149,181,68,180,247,30
"128",108,NA,305,222,285,30
"129",81,137,426,251,306,30
"130",86,NA,NA,246,300,30
"131",89,137,378,246,301,30
"132",NA,133,366,244,NA,30
"133",88,131,NA,243,298,30
"134",89,NA,380,246,302,30
"135",92,137,362,NA,300,30
"136",94,NA,355,240,NA,30
"137",NA,156,231,215,NA,30
"138",128,167,181,NA,NA,30
"139",113,156,242,212,NA,30
"140",NA,155,236,209,NA,30
"141",121,162,NA,NA,NA,30
"142",126,166,NA,212,NA,30
"143",136,174,259,217,278,30
"144",146,177,203,212,272,30
"145",136,155,322,246,301,30
"146",103,97,552,NA,NA,30
"147",80,NA,NA,340,377,30
"148",NA,66,NA,340,376,30
"149",79,66,577,NA,379,30
"150",78,66,574,NA,377,30
"151",NA,66,571,343,379,30
"152",78,66,NA,344,380,30
"153",111,145,NA,NA,260,40
"154",113,NA,NA,190,259,40
"155",NA,150,195,192,259,40
"156",110,NA,211,195,NA,40
"157",101,NA,NA,200,NA,40
"158",93,125,NA,203,NA,40
"159",92,110,46,165,NA,40
"160",NA,NA,29,113,190,40
"161",94,94,29,110,NA,40
"162",NA,104,21,133,208,40
"163",NA,115,17,144,NA,40
"164",NA,156,NA,163,233,40
"165",149,181,68,NA,247,40
"166",108,NA,305,NA,NA,40
"167",81,NA,426,251,NA,40
"168",NA,NA,381,NA,NA,40
"169",89,137,NA,246,301,40
"170",NA,133,366,NA,298,40
"171",88,NA,370,NA,NA,40
"172",89,NA,380,246,NA,40
"173",NA,NA,362,244,300,40
"174",94,139,355,NA,299,40
"175",115,NA,NA,215,NA,40
"176",128,167,NA,201,NA,40
"177",NA,156,NA,NA,273,40
"178",112,NA,NA,NA,271,40
"179",NA,NA,224,NA,NA,40
"180",NA,166,248,212,NA,40
"181",136,174,NA,217,NA,40
"182",NA,177,203,NA,NA,40
"183",136,NA,322,246,NA,40
"184",103,97,552,NA,NA,40
"185",80,66,NA,NA,NA,40
"186",NA,66,NA,340,376,40
"187",NA,NA,NA,NA,379,40
"188",78,NA,574,NA,377,40
"189",NA,66,571,343,NA,40
"190",78,NA,572,NA,NA,40
