"","Favor","Appearance","Taste","Stickiness","Toughness","Overall_evaluation"
"73",-1.819,-0.856,-1.758,-1.014,1.094,-1.925
"74",0.713,1.172,0.648,1.065,-0.886,1.053
"75",-0.248,0.185,0.204,-0.41,0.538,-1.186
"76",-0.638,0.462,-0.149,-0.214,0.389,-0.23
"77",0.225,0.98,0.837,1.64,0.028,1.747
"78",-1.212,-0.074,-0.317,-0.144,0.18,-0.658
"79",-0.093,0.712,0.594,1.27,-0.236,0.88
"80",-0.315,-0.352,-0.741,-0.288,0.201,-0.964
"81",0.021,0.805,0.367,0.19,0.33,0.056
"82",0.158,0.265,0.053,0.373,-0.101,0.164
"83",0.372,0.388,0.448,0.291,-0.402,0.489
"84",-0.47,-0.301,-0.481,0.173,0.263,-0.546
"85",-0.244,-0.044,-0.466,-0.464,0.469,-0.804
"86",-0.049,0.401,-0.097,0.062,0.282,-0.223
"87",-0.639,0.63,-0.089,0.166,-0.293,-0.394
"88",0.039,0.524,0.207,1.082,-1.303,0.537
"89",0.079,1.231,0.373,0.281,-1.273,0.218
"90",0.104,-0.194,0.261,0.838,0.085,0.434
"91",0.477,0.707,-0.172,0.097,-0.247,-0.246
"92",0.468,0.333,0.511,1.188,-0.646,0.78
"93",-0.465,-0.195,-0.491,-0.671,0.837,-0.614
"94",0.125,0.127,-0.264,0.461,0.197,-0.046
"95",-0.491,0.525,0.419,0.78,-0.512,0.291
"96",-1.388,-0.114,-0.894,-0.168,0.028,-0.821
"97",-0.955,-1.146,-1.107,-0.922,0.106,-1.367
"98",-0.255,0.232,0.517,0.398,-0.247,0.424
"99",-0.686,-0.252,-0.749,-0.428,0.048,-0.704
"100",-0.016,0.674,-0.046,0.662,-0.694,0.326
"101",-0.618,-0.425,0.098,0.471,0.158,0.104
"102",0.57,1.542,1.302,1.842,-0.563,1.712
"103",-1.134,-1.281,-1.031,-1.477,1.345,-1.624
"104",0.124,0.588,0.053,-0.405,-0.322,-0.517
"105",0.163,1.088,1.074,0.683,-0.135,0.913
