"","Date","Total.Steps","Aerobic.Steps","Aerobic.Walking.Time","Calories","Distance","Fat.Burned","Steps.12AM","Steps.1AM","Steps.2AM","Steps.3AM","Steps.4AM","Steps.5AM","Steps.6AM","Steps.7AM","Steps.8AM","Steps.9AM","Steps.10AM","Steps.11AM","Steps.12PM","Steps.1PM","Steps.2PM","Steps.3PM","Steps.4PM","Steps.5PM","Steps.6PM","Steps.7PM","Steps.8PM","Steps.9PM","Steps.10PM","Steps.11PM","Aerobic.Steps.12AM","Aerobic.Steps.1AM","Aerobic.Steps.2AM","Aerobic.Steps.3AM","Aerobic.Steps.4AM","Aerobic.Steps.5AM","Aerobic.Steps.6AM","Aerobic.Steps.7AM","Aerobic.Steps.8AM","Aerobic.Steps.9AM","Aerobic.Steps.10AM","Aerobic.Steps.11AM","Aerobic.Steps.12PM","Aerobic.Steps.1PM","Aerobic.Steps.2PM","Aerobic.Steps.3PM","Aerobic.Steps.4PM","Aerobic.Steps.5PM","Aerobic.Steps.6PM","Aerobic.Steps.7PM","Aerobic.Steps.8PM","Aerobic.Steps.9PM","Aerobic.Steps.10PM","Aerobic.Steps.11PM","Used.12AM","Used.1AM","Used.2AM","Used.3AM","Used.4AM","Used.5AM","Used.6AM","Used.7AM","Used.8AM","Used.9AM","Used.10AM","Used.11AM","Used.12PM","Used.1PM","Used.2PM","Used.3PM","Used.4PM","Used.5PM","Used.6PM","Used.7PM","Used.8PM","Used.9PM","Used.10PM","Used.11PM"
"25",2013-06-01,4194,0,0,189,1.32,10.5,0,0,0,0,0,0,0,0,24,0,393,2697,526,60,33,0,0,21,101,221,93,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"26",2013-06-02,3758,0,0,203,1.18,11.2,0,0,0,0,0,0,0,0,0,0,47,770,1004,0,207,173,1333,51,0,0,0,55,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"27",2013-06-03,8533,3530,34,512,3.77,29.2,0,0,0,0,0,0,0,334,596,0,0,1920,448,1865,0,0,635,353,543,462,877,480,20,0,0,0,0,0,0,0,0,0,0,0,0,1864,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"28",2013-06-04,9704,4824,45,586,4.44,34.6,0,0,0,0,0,0,0,411,192,386,20,0,449,1989,26,0,562,339,37,3428,1828,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,0,0,0,0,0,3080,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"29",2013-06-05,7083,4035,39,420,3.24,24.4,0,0,0,0,0,0,0,276,840,0,0,63,168,0,2427,0,628,341,69,0,2236,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,0,0,0,0,0,2081,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"30",2013-06-06,6662,4043,39,418,3.04,24.6,0,0,0,0,0,0,0,339,192,393,0,0,169,92,318,1712,520,364,32,2495,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704,0,0,0,2339,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"31",2013-06-07,8214,2444,22,502,3.75,28.2,0,0,0,0,0,0,0,345,1430,0,593,0,1539,338,320,569,348,512,7,1569,570,0,74,0,0,0,0,0,0,0,0,0,1257,0,0,0,878,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"32",2013-06-08,6801,0,0,427,3.11,23.7,0,0,0,0,0,0,0,0,76,223,503,2315,1149,213,0,504,110,267,242,1005,0,179,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"33",2013-06-09,3112,0,0,158,1.42,8.7,0,0,0,0,0,0,0,0,66,0,25,263,669,103,351,179,777,0,27,191,360,60,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"34",2013-06-10,6966,3224,31,413,3.18,24.3,0,0,0,0,0,0,0,331,186,357,13,0,123,76,0,29,775,325,92,95,2267,2269,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,2183,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"35",2013-06-11,7008,3316,31,416,3.2,23.4,0,0,0,0,0,0,0,641,281,342,0,0,432,0,28,357,632,362,1800,0,78,2016,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563,0,0,1753,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"36",2013-06-12,6119,1364,12,343,2.8,19.1,0,0,0,0,0,0,0,340,212,432,0,0,134,395,0,0,846,1993,433,679,489,160,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",2013-06-13,6033,1742,16,368,2.76,21,0,0,0,0,0,0,0,61,489,0,0,0,0,0,25,827,587,77,428,1470,1777,0,152,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",2013-06-14,6744,0,0,393,3.08,21.7,0,0,0,0,0,0,0,360,242,359,0,0,252,340,29,585,324,669,852,544,785,1125,65,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",2013-06-15,9124,0,0,550,4.17,30.3,0,0,0,0,0,0,0,116,478,0,1100,1635,484,77,555,1818,1116,105,0,1081,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"40",2013-06-16,4112,0,0,222,1.88,12.3,0,0,0,0,0,0,0,0,0,0,0,101,635,162,399,175,1231,462,201,124,355,99,140,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",2013-06-17,6637,3483,32,411,3.03,23.7,0,0,0,0,0,0,0,435,194,457,385,1486,115,32,0,2055,525,330,109,434,0,80,0,0,0,0,0,0,0,0,0,0,0,0,227,1424,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"42",2013-06-18,6972,1473,14,428,3.19,24.1,0,0,0,0,0,0,380,149,1700,144,646,0,1377,875,400,71,747,365,47,0,46,0,25,0,0,0,0,0,0,0,0,0,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"43",2013-06-19,6013,0,0,357,2.75,20,0,0,0,0,0,0,0,869,266,15,131,39,400,385,156,0,346,273,174,2085,0,569,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"44",2013-06-20,6038,0,0,364,2.76,20.3,0,0,0,0,0,0,0,76,503,0,150,737,294,792,174,0,273,168,332,527,1909,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"45",2013-06-21,6325,0,0,368,2.89,20.4,0,0,0,0,0,0,0,0,527,17,127,600,0,444,554,424,252,683,274,379,280,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"46",2013-06-22,8106,0,0,459,3.71,25.5,0,0,0,0,0,0,0,0,41,0,570,1462,73,0,83,1478,1783,1233,494,66,749,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47",2013-06-23,4301,0,0,251,1.96,13.8,0,0,0,0,0,0,0,23,115,0,50,205,1021,0,337,1099,515,361,172,329,44,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"48",2013-06-24,6154,3094,29,363,2.81,20.7,0,0,0,0,0,0,0,349,160,429,0,0,121,1857,0,0,560,375,187,364,66,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"49",2013-06-25,6020,3277,31,355,2.75,20.3,0,0,0,0,0,0,0,329,223,366,0,1593,274,162,1741,0,549,306,71,16,0,157,233,0,0,0,0,0,0,0,0,0,0,0,0,1583,0,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"50",2013-06-26,6066,1357,12,383,2.77,21.5,0,0,0,0,0,0,0,308,566,2435,0,32,9,428,66,294,647,346,124,98,0,713,0,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"51",2013-06-27,7157,1843,17,424,3.27,24.2,0,0,0,0,0,0,270,99,687,0,0,106,1942,95,0,1222,468,106,312,600,1185,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"52",2013-06-28,6360,1040,10,371,2.91,20.6,0,0,0,0,0,0,0,0,72,492,0,0,533,645,253,350,1253,452,473,249,1278,264,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,188,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53",2013-06-29,6210,1304,12,351,2.84,19.5,0,0,0,0,0,0,0,0,0,46,98,950,158,1925,1012,43,0,0,0,270,72,1587,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",2013-06-30,3889,0,0,205,1.78,11.4,0,0,0,0,0,0,0,0,0,0,0,89,969,0,444,28,712,11,630,9,675,112,54,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",2013-07-01,6013,2442,21,356,2.75,20.6,0,0,0,0,0,0,0,136,0,488,0,75,1164,0,0,725,117,0,12,404,80,2769,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2442,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"56",2013-07-02,6076,2965,27,357,2.78,20.3,0,0,0,0,0,0,0,53,337,600,488,0,402,1339,0,0,564,314,59,35,7,0,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,1774,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"57",2013-07-03,6037,1726,16,368,2.76,20.8,0,0,0,0,0,0,0,430,340,423,0,0,190,0,1925,0,543,385,159,56,1202,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"58",2013-07-04,6864,0,0,382,3.14,21,0,0,0,0,0,0,0,0,0,0,0,37,120,660,1675,1305,125,406,202,211,472,786,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"59",2013-07-05,6218,1807,17,375,2.84,21.3,0,0,0,0,0,0,0,326,827,363,0,432,131,1910,0,241,654,346,33,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"60",2013-07-06,3051,0,0,146,1.39,8,0,0,0,0,0,0,0,0,0,46,0,378,0,112,245,435,742,473,406,142,14,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"61",2013-07-07,2682,0,0,155,1.22,8.6,0,0,0,0,0,0,0,0,0,0,41,0,794,0,230,172,911,38,0,62,346,24,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",2013-07-08,12519,7176,67,750,5.72,44.6,0,0,0,0,0,0,0,331,861,252,128,145,311,3554,0,3100,60,478,2555,681,15,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3188,0,2902,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",2013-07-09,3682,0,0,196,1.68,10.8,0,0,0,0,0,0,0,316,935,206,0,0,123,458,0,0,543,349,110,85,338,184,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",2013-07-10,6307,3450,32,394,2.88,22.6,20,0,0,0,0,0,0,313,554,0,0,1912,490,32,43,1843,511,321,69,11,157,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1712,73,0,0,1665,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"65",2013-07-11,6332,3068,29,374,2.89,21.3,0,0,0,0,0,0,0,348,667,487,0,2023,93,0,1490,284,558,311,20,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"66",2013-07-12,6171,1176,11,381,2.82,21.4,0,0,0,0,0,0,0,408,1050,0,0,44,147,0,449,1373,439,1226,127,0,28,824,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",2013-07-13,3371,0,0,208,1.54,11.4,0,0,0,0,0,0,0,39,0,0,0,96,24,15,221,329,8,149,243,328,1685,74,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"68",2013-07-14,2647,0,0,158,1.21,8.7,0,0,0,0,0,0,0,0,0,78,623,174,385,51,107,190,837,21,25,55,63,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69",2013-07-15,6414,2238,21,381,2.93,21.4,0,0,0,0,0,0,0,360,555,0,0,0,133,2418,0,291,574,402,130,998,0,522,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70",2013-07-16,5992,2237,20,349,2.74,19.9,0,0,0,0,0,0,0,409,231,454,265,21,68,470,92,934,22,419,225,71,0,1745,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,522,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71",2013-07-17,6648,1886,18,388,3.04,21.9,18,0,0,0,0,0,384,206,447,241,0,2183,353,0,28,996,635,841,263,0,0,14,0,39,0,0,0,0,0,0,0,0,0,0,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
