"","year","stratum","subunit","total","cows","calves","bulls","unclass","voc","grpsize"
"123",2004,2,248,4,1,0,3,0,30,4
"124",2004,2,256,1,1,0,0,0,10,1
"125",2004,2,256,1,1,0,0,0,20,1
"126",2004,2,256,1,1,0,0,0,20,1
"127",2004,2,256,1,0,0,1,0,20,1
"128",2004,2,256,1,1,0,0,0,40,1
"129",2004,2,331,2,1,0,1,0,15,2
"130",2004,2,331,2,0,0,2,0,20,2
"131",2004,2,248,2,1,0,1,0,50,2
"132",2004,2,248,2,1,0,1,0,50,2
"133",2004,2,248,2,1,0,1,0,70,2
"134",2004,2,248,3,2,0,1,0,30,3
"135",2004,2,239,1,1,0,0,0,65,1
"136",2004,2,239,2,1,1,0,0,75,2
"137",2004,2,239,2,1,1,0,0,80,2
"138",2004,2,239,2,2,0,0,0,85,2
"139",2004,2,239,3,2,0,1,0,70,3
"140",2004,2,239,5,3,0,2,0,75,5
"141",2004,2,248,1,1,0,0,0,10,1
"142",2004,2,215,3,1,1,1,0,50,3
"143",2004,2,215,3,1,0,2,0,60,3
"144",2004,2,215,3,3,0,0,0,70,3
"145",2004,2,215,3,1,0,0,2,75,3
"146",2004,2,216,2,1,1,0,0,20,2
"147",2004,2,216,3,1,2,0,0,95,3
"148",2004,2,331,3,1,0,2,0,50,3
"149",2004,2,333,2,0,0,2,0,50,2
"150",2004,2,333,3,0,0,3,0,20,3
"151",2004,2,333,4,0,0,4,0,25,4
"152",2004,2,248,1,0,0,1,0,40,1
"153",2004,2,248,1,1,0,0,0,40,1
"154",2004,2,248,1,0,0,1,0,40,1
"155",2004,2,248,1,0,0,0,1,30,1
"156",2004,2,331,3,1,2,0,0,20,3
"157",2004,2,256,2,1,1,0,0,40,2
"158",2004,2,256,1,0,0,1,0,60,1
"159",2004,2,248,1,1,0,0,0,40,1
"160",2004,2,331,2,0,0,2,0,80,2
"161",2004,2,256,1,0,0,1,0,60,1
"162",2004,2,290,2,1,0,0,1,100,2
"163",2004,2,331,2,2,0,0,0,25,2
"164",2004,2,256,1,1,0,0,0,70,1
"165",2004,2,256,2,1,0,1,0,40,2
"166",2004,2,290,2,1,1,0,0,65,2
"167",2004,2,260,2,2,0,0,0,60,2
"168",2004,2,256,2,1,1,0,0,20,2
"169",2004,2,290,1,0,0,1,0,100,1
"170",2004,2,290,1,1,0,0,0,50,1
"171",2004,3,208,2,1,1,0,0,85,2
"172",2004,3,208,6,5,1,0,0,100,6
"173",2004,3,208,1,1,0,0,0,100,1
"174",2004,3,208,2,1,1,0,0,60,2
"175",2004,3,208,2,0,0,2,0,60,2
"176",2004,3,208,1,0,0,0,1,90,1
"177",2004,3,264,2,0,0,2,0,90,2
"178",2004,3,264,2,1,1,0,0,100,2
"179",2004,3,264,3,0,0,3,0,60,3
"180",2004,3,264,2,0,0,2,0,80,2
"181",2004,3,264,1,0,0,1,0,65,1
"182",2004,3,264,1,0,0,1,0,70,1
"183",2004,3,264,1,0,0,1,0,90,1
"184",2004,3,264,1,0,0,1,0,100,1
"185",2004,3,271,3,0,0,3,0,10,3
"186",2004,3,271,3,0,0,3,0,15,3
"187",2004,3,271,3,1,2,0,0,65,3
"188",2004,3,271,4,2,0,1,1,50,4
"189",2004,3,271,5,0,0,5,0,15,5
"190",2004,3,294,1,0,0,1,0,30,1
"191",2004,3,294,1,1,0,0,0,60,1
"192",2004,3,294,1,1,0,0,0,75,1
"193",2004,3,294,1,0,0,1,0,85,1
"194",2004,3,294,1,0,0,0,1,100,1
"195",2004,3,294,2,1,1,0,0,40,2
"196",2004,3,294,2,1,1,0,0,50,2
"197",2004,3,294,2,1,1,0,0,50,2
"198",2004,3,294,2,1,1,0,0,50,2
"199",2004,3,294,2,1,1,0,0,50,2
"200",2004,3,294,2,1,1,0,0,60,2
"201",2004,3,294,2,1,0,1,0,60,2
"202",2004,3,294,2,1,1,0,0,85,2
"203",2004,3,294,2,0,0,1,1,90,2
"204",2004,3,294,3,1,2,0,0,50,3
"205",2004,3,294,3,2,0,1,0,75,3
"206",2004,3,294,3,2,0,1,0,75,3
"207",2004,3,294,3,2,0,1,0,80,3
"208",2004,3,294,4,2,0,2,0,75,4
"209",2004,3,316,1,0,0,1,0,50,1
"210",2004,3,316,1,1,0,0,0,75,1
"211",2004,3,316,1,1,0,0,0,85,1
"212",2004,3,271,1,0,0,1,0,0,1
"213",2004,3,271,1,0,0,1,0,0,1
"214",2004,3,271,1,0,0,1,0,50,1
"215",2004,3,271,1,1,0,0,0,60,1
"216",2004,3,271,2,1,1,0,0,0,2
"217",2004,3,271,2,1,1,0,0,40,2
"218",2004,3,271,2,0,0,1,1,70,2
"219",2004,3,271,2,1,1,0,0,75,2
"220",2004,3,271,3,0,0,3,0,0,3
"221",2004,3,316,2,1,1,0,0,100,2
"222",2004,3,316,3,0,0,2,1,95,3
"223",2004,3,316,3,1,2,0,0,100,3
"224",2004,3,316,3,0,0,1,2,100,3
"225",2004,3,316,4,0,0,3,1,100,4
"226",2004,3,316,5,1,0,2,2,60,5
"227",2004,3,316,6,0,0,6,0,100,6
"228",2004,3,319,1,1,0,0,0,50,1
"229",2004,3,319,1,0,0,1,0,65,1
"230",2004,3,319,1,1,0,0,0,75,1
"231",2004,3,319,1,0,0,1,0,75,1
"232",2004,3,319,1,1,0,0,0,80,1
"233",2004,3,319,1,0,0,0,1,100,1
"234",2004,3,319,1,1,0,0,0,100,1
"235",2004,3,319,2,0,0,2,0,50,2
"236",2004,3,319,2,2,0,0,0,65,2
"237",2004,3,319,2,1,1,0,0,75,2
"238",2004,3,319,2,2,0,0,0,90,2
"239",2004,3,319,2,1,1,0,0,95,2
"240",2004,3,319,2,1,1,0,0,100,2
"241",2004,3,319,2,1,1,0,0,100,2
"242",2004,3,319,2,1,1,0,0,100,2
"243",2004,3,319,3,0,0,2,1,85,3
"244",2004,3,319,3,1,1,1,0,100,3
"245",2004,3,319,3,3,0,0,0,100,3
"246",2004,3,319,4,2,2,0,0,50,4
"247",2004,3,319,4,2,0,2,0,65,4
"248",2004,3,319,4,1,1,2,0,100,4
"249",2004,3,319,4,1,2,1,0,100,4
"250",2004,3,319,5,0,0,5,0,60,5
"251",2004,3,319,7,0,0,7,0,75,7
"252",2004,3,316,1,0,0,1,0,100,1
"253",2004,3,316,1,0,0,1,0,100,1
"254",2004,3,316,1,0,0,1,0,100,1
"255",2004,3,316,1,0,0,1,0,100,1
"256",2004,3,316,2,1,0,1,0,50,2
"257",2004,3,316,2,1,1,0,0,50,2
"258",2004,3,316,2,1,0,1,0,75,2
"259",2004,3,316,2,1,1,0,0,90,2
"260",2004,3,316,2,1,1,0,0,90,2
"261",2005,1,34,3,1,2,0,0,50,3
"262",2005,1,34,2,1,1,0,0,75,2
"263",2005,1,66,4,0,0,4,0,5,4
"264",2005,1,66,1,0,0,1,0,35,1
"265",2005,1,136,2,1,1,0,0,50,2
"266",2005,1,70,3,1,2,0,0,80,3
"267",2005,1,70,3,1,1,1,0,75,3
"268",2005,1,70,2,2,0,0,0,65,2
"269",2005,1,429,1,0,0,1,0,65,1
"270",2005,1,429,2,0,0,2,0,45,2
"271",2005,1,429,2,1,1,0,0,25,2
"272",2005,1,429,1,0,0,1,0,0,1
"273",2005,1,260,1,0,0,1,0,30,1
"274",2005,1,260,2,2,0,0,0,85,2
"275",2005,1,260,3,0,0,3,0,30,3
"276",2005,1,347,2,1,1,0,0,0,2
"277",2005,1,347,4,1,2,0,1,0,4
"278",2005,1,66,2,2,0,0,0,80,2
"279",2005,1,347,3,2,1,0,0,65,3
"280",2005,1,70,2,0,0,2,0,0,2
"281",2005,1,260,1,1,0,0,0,60,1
"282",2005,1,70,2,2,0,0,0,25,2
"283",2005,1,70,2,2,0,0,0,70,2
"284",2005,1,347,2,1,1,0,0,80,2
"285",2005,1,347,3,3,0,0,0,90,3
"286",2005,1,329,2,1,1,0,0,5,2
"287",2005,1,347,2,0,0,0,2,85,2
"288",2005,2,283,5,2,3,0,0,5,5
"289",2005,2,283,2,0,0,2,0,75,2
"290",2005,2,60,3,0,0,3,0,50,3
"291",2005,2,107,1,1,0,0,0,50,1
"292",2005,2,283,3,1,2,0,0,10,3
"293",2005,2,235,1,1,0,0,0,45,1
"294",2005,2,60,2,1,1,0,0,60,2
"295",2005,2,283,2,1,1,0,0,10,2
"296",2005,2,60,2,2,0,0,0,40,2
"297",2005,2,60,2,0,0,2,0,40,2
"298",2005,2,60,1,1,0,0,0,0,1
"299",2005,2,283,2,0,0,2,0,40,2
"300",2005,2,168,1,0,0,1,0,50,1
"301",2005,2,168,1,0,0,1,0,40,1
"302",2005,2,168,3,1,2,0,0,50,3
"303",2005,2,210,2,1,1,0,0,80,2
"304",2005,2,218,5,0,0,5,0,35,5
"305",2005,2,235,1,1,0,0,0,70,1
"306",2005,2,322,2,1,0,0,1,20,2
"307",2005,2,235,1,1,0,0,0,25,1
"308",2005,2,235,5,0,0,5,0,10,5
"309",2005,2,106,1,0,0,1,0,50,1
"310",2005,2,283,1,1,0,0,0,85,1
"311",2005,2,283,1,0,0,1,0,60,1
"312",2005,2,322,1,0,0,1,0,90,1
"313",2005,2,322,2,1,1,0,0,35,2
"314",2005,2,322,2,0,0,2,0,0,2
"315",2005,2,283,2,1,1,0,0,80,2
"316",2005,2,283,2,1,1,0,0,15,2
"317",2005,2,283,3,2,0,1,0,10,3
"318",2005,2,218,2,2,0,0,0,10,2
"319",2005,2,283,3,1,2,0,0,75,3
"320",2005,2,322,2,0,0,2,0,0,2
"321",2005,2,322,1,1,0,0,0,60,1
"322",2005,2,322,3,2,0,1,0,85,3
"323",2005,2,322,2,1,1,0,0,75,2
"324",2005,2,322,2,1,0,0,1,65,2
"325",2005,2,351,1,1,0,0,0,0,1
"326",2005,2,351,3,0,0,3,0,15,3
"327",2005,2,351,1,0,0,1,0,85,1
"328",2005,2,351,1,0,0,1,0,0,1
"329",2005,2,351,3,0,0,3,0,0,3
"330",2005,2,351,2,1,1,0,0,80,2
"331",2005,2,283,3,1,2,0,0,40,3
"332",2005,2,351,2,0,0,1,1,75,2
"333",2005,2,283,4,1,0,3,0,20,4
"334",2005,2,283,1,0,0,1,0,20,1
"335",2005,2,283,1,1,0,0,0,0,1
"336",2005,2,283,4,2,0,2,0,30,4
"337",2005,2,350,2,2,0,0,0,40,2
"338",2005,2,168,2,1,1,0,0,50,2
"339",2005,2,168,1,0,0,0,1,20,1
"340",2005,2,56,2,1,1,0,0,75,2
"341",2005,2,58,2,1,1,0,0,60,2
"342",2005,2,58,2,0,0,2,0,80,2
"343",2005,2,58,2,1,1,0,0,60,2
"344",2005,2,58,1,0,0,1,0,40,1
"345",2005,2,60,2,1,1,0,0,60,2
"346",2005,2,60,2,0,0,2,0,20,2
"347",2005,2,60,7,3,2,2,0,60,7
"348",2005,2,60,1,0,0,1,0,60,1
"349",2005,2,60,1,1,0,0,0,30,1
"350",2005,2,363,1,0,0,1,0,30,1
"351",2005,2,363,1,1,0,0,0,80,1
"352",2005,2,363,2,2,0,0,0,30,2
"353",2005,2,363,5,2,0,1,2,30,5
"354",2005,2,403,1,0,0,1,0,20,1
"355",2005,2,403,2,1,1,0,0,20,2
"356",2005,2,403,1,0,0,1,0,70,1
"357",2005,2,403,2,0,0,2,0,80,2
"358",2005,2,403,1,0,0,1,0,10,1
"359",2005,2,403,2,1,1,0,0,15,2
"360",2005,2,403,1,0,0,1,0,15,1
"361",2005,2,403,2,1,1,0,0,85,2
"362",2005,2,350,1,1,0,0,0,50,1
"363",2005,2,350,2,1,1,0,0,50,2
"364",2005,2,411,1,0,0,1,0,10,1
"365",2005,2,411,5,0,0,5,0,5,5
"366",2005,2,107,4,1,0,3,0,60,4
"367",2005,2,107,2,0,0,2,0,40,2
"368",2005,2,110,1,0,0,1,0,60,1
"369",2005,2,110,2,0,0,2,0,60,2
"370",2005,2,110,3,0,0,3,0,50,3
"371",2005,2,351,2,1,1,0,0,80,2
"372",2005,2,165,2,1,0,1,0,70,2
"373",2005,2,165,4,0,0,4,0,50,4
"374",2005,2,165,1,0,0,1,0,80,1
"375",2005,2,165,2,0,0,2,0,70,2
"376",2005,2,165,1,0,0,1,0,40,1
"377",2005,2,165,1,0,0,1,0,50,1
"378",2005,2,165,3,0,0,3,0,30,3
"379",2005,3,45,2,1,1,0,0,60,2
"380",2005,3,45,3,0,0,3,0,0,3
"381",2005,3,45,3,1,2,0,0,0,3
"382",2005,3,359,1,0,0,1,0,10,1
"383",2005,3,359,3,1,2,0,0,40,3
"384",2005,3,359,2,0,0,2,0,10,2
"385",2005,3,45,4,2,0,1,1,60,4
"386",2005,3,359,2,1,1,0,0,40,2
"387",2005,3,45,1,0,0,1,0,15,1
"388",2005,3,45,2,1,1,0,0,80,2
"389",2005,3,404,2,1,1,0,0,50,2
"390",2005,3,45,2,1,1,0,0,65,2
"391",2005,3,427,2,1,1,0,0,85,2
"392",2005,3,427,2,1,1,0,0,65,2
"393",2005,3,427,1,0,0,1,0,70,1
"394",2005,3,427,1,0,0,0,1,55,1
"395",2005,3,359,2,1,1,0,0,0,2
"396",2005,3,359,1,0,0,1,0,0,1
"397",2005,3,359,1,1,0,0,0,50,1
"398",2005,3,359,2,0,0,2,0,30,2
"399",2005,3,359,2,0,0,2,0,80,2
"400",2005,3,359,2,1,1,0,0,20,2
"401",2005,3,45,1,0,0,1,0,0,1
"402",2005,3,45,5,2,0,3,0,75,5
"403",2005,3,304,2,1,1,0,0,60,2
"404",2005,3,320,3,0,0,3,0,40,3
"405",2005,3,320,4,0,0,4,0,80,4
"406",2005,3,320,3,2,0,1,0,60,3
"407",2005,3,320,2,1,1,0,0,80,2
"408",2005,3,427,1,0,0,1,0,50,1
"409",2005,3,45,4,0,0,4,0,15,4
"410",2005,3,427,2,2,0,0,0,0,2
"411",2005,3,427,1,1,0,0,0,65,1
"412",2005,3,427,5,0,0,5,0,50,5
"413",2005,3,45,4,3,1,0,0,50,4
"414",2005,3,304,2,2,0,0,0,30,2
"415",2005,3,404,2,1,0,1,0,20,2
"416",2005,3,359,3,1,2,0,0,0,3
"417",2005,3,304,2,1,1,0,0,70,2
"418",2005,3,359,3,1,0,2,0,10,3
"419",2005,3,359,2,2,0,0,0,10,2
"420",2005,3,320,3,2,0,1,0,85,3
"421",2005,3,320,2,0,0,1,1,30,2
"422",2005,3,320,2,2,0,0,0,40,2
"423",2005,3,320,2,1,1,0,0,50,2
"424",2005,3,304,1,0,0,1,0,80,1
"425",2005,3,304,1,0,0,1,0,55,1
"426",2005,3,304,3,2,1,0,0,85,3
"427",2005,3,359,2,2,0,0,0,20,2
"428",2005,3,304,2,2,0,0,0,40,2
"429",2005,3,304,2,1,1,0,0,45,2
"430",2005,3,359,5,3,0,2,0,20,5
"431",2005,3,359,2,1,1,0,0,10,2
"432",2005,3,359,2,1,1,0,0,30,2
"433",2005,3,427,2,1,1,0,0,75,2
"434",2006,1,9,3,1,2,0,0,0,3
"435",2006,1,9,3,1,0,2,0,20,3
"436",2006,1,437,5,1,0,1,3,30,5
"437",2006,1,134,3,0,0,3,0,30,3
"438",2006,1,149,1,0,0,1,0,60,1
"439",2006,1,149,2,1,1,0,0,75,2
"440",2006,1,126,1,1,0,0,0,40,1
"441",2006,1,126,2,1,0,1,0,15,2
"442",2006,1,126,2,1,0,1,0,10,2
"443",2006,1,83,1,0,0,1,0,20,1
"444",2006,1,99,2,0,0,2,0,20,2
"445",2006,1,99,3,0,0,3,0,60,3
"446",2006,1,99,4,2,2,0,0,70,4
"447",2006,1,134,2,1,1,0,0,40,2
"448",2006,1,134,2,1,1,0,0,15,2
"449",2006,1,134,3,1,1,1,0,40,3
"450",2006,1,149,3,2,0,0,1,75,3
"451",2006,1,149,4,0,0,4,0,10,4
"452",2006,1,422,1,0,0,1,0,65,1
"453",2006,1,149,2,1,1,0,0,60,2
"454",2006,1,126,5,2,0,3,0,5,5
"455",2006,1,134,2,1,1,0,0,40,2
"456",2006,1,126,2,1,1,0,0,35,2
"457",2006,1,126,4,0,0,4,0,25,4
"458",2006,1,437,2,1,1,0,0,20,2
"459",2006,1,422,2,1,0,1,0,70,2
"460",2006,1,437,2,1,1,0,0,40,2
"461",2006,1,437,2,2,0,0,0,15,2
"462",2006,1,422,1,0,0,1,0,60,1
"463",2006,1,437,1,0,0,1,0,15,1
"464",2006,1,422,2,1,1,0,0,50,2
"465",2006,1,169,2,0,0,2,0,85,2
"466",2006,1,197,1,0,0,1,0,30,1
"467",2006,1,380,3,3,0,0,0,0,3
"468",2006,1,437,2,2,0,0,0,10,2
"469",2006,1,437,1,0,0,1,0,45,1
"470",2006,1,380,2,0,0,2,0,50,2
"471",2006,1,380,3,1,2,0,0,70,3
"472",2006,1,380,4,1,0,3,0,50,4
"473",2006,1,422,6,0,0,5,1,60,6
"474",2006,2,53,2,0,0,2,0,90,2
"475",2006,2,53,2,2,0,0,0,90,2
"476",2006,2,109,2,0,0,1,1,65,2
"477",2006,2,53,4,3,0,1,0,50,4
"478",2006,2,109,2,1,0,1,0,15,2
"479",2006,2,109,2,1,1,0,0,35,2
"480",2006,2,109,3,1,0,2,0,65,3
"481",2006,2,351,1,1,0,0,0,10,1
"482",2006,2,109,4,1,0,3,0,65,4
"483",2006,2,53,4,1,0,3,0,45,4
"484",2006,2,53,1,1,0,0,0,95,1
"485",2006,2,53,6,2,0,4,0,90,6
"486",2006,2,109,1,0,0,1,0,70,1
"487",2006,2,353,2,2,0,0,0,50,2
"488",2006,2,53,6,3,1,2,0,50,6
"489",2006,2,353,6,2,0,2,2,50,6
"490",2006,2,356,1,1,0,0,0,60,1
"491",2006,2,351,1,1,0,0,0,0,1
"492",2006,2,353,5,3,1,0,1,40,5
"493",2006,2,300,1,0,0,1,0,60,1
"494",2006,2,300,2,1,0,1,0,75,2
"495",2006,2,300,2,1,1,0,0,55,2
"496",2006,2,351,1,0,0,1,0,40,1
"497",2006,2,300,4,1,1,2,0,10,4
"498",2006,2,351,4,0,0,4,0,50,4
"499",2006,2,353,1,0,0,1,0,30,1
"500",2006,2,324,2,1,1,0,0,5,2
"501",2006,2,324,2,0,0,2,0,5,2
"502",2006,2,324,2,2,0,0,0,20,2
"503",2006,2,324,2,0,0,1,1,0,2
"504",2006,2,356,1,0,0,1,0,40,1
"505",2006,2,356,2,2,0,0,0,70,2
"506",2006,2,356,2,0,0,2,0,20,2
"507",2006,2,356,2,1,1,0,0,20,2
"508",2006,2,356,4,3,0,1,0,75,4
"509",2006,2,300,2,1,1,0,0,80,2
"510",2006,2,324,1,1,0,0,0,30,1
"511",2006,2,324,1,1,0,0,0,60,1
"512",2006,2,324,1,0,0,0,1,50,1
"513",2006,2,340,5,2,1,2,0,40,5
"514",2006,2,340,5,0,0,5,0,20,5
"515",2006,2,351,1,0,0,1,0,10,1
"516",2006,2,351,1,1,0,0,0,20,1
"517",2006,2,408,3,1,1,1,0,10,3
"518",2006,2,409,1,0,0,1,0,35,1
"519",2006,2,409,2,0,0,2,0,10,2
"520",2006,2,351,2,1,0,1,0,40,2
"521",2006,2,351,2,1,0,0,1,20,2
"522",2006,2,351,2,0,0,2,0,10,2
"523",2006,2,351,2,0,0,2,0,20,2
"524",2006,2,351,4,3,0,1,0,30,4
"525",2006,2,340,5,2,0,3,0,60,5
"526",2006,2,420,2,1,1,0,0,30,2
"527",2006,2,420,2,0,0,2,0,50,2
"528",2006,2,420,2,1,1,0,0,0,2
"529",2006,2,420,2,0,0,1,1,40,2
"530",2006,2,420,5,4,0,0,1,45,5
"531",2006,2,324,4,0,0,3,1,65,4
"532",2006,2,340,1,0,0,1,0,40,1
"533",2006,2,340,1,1,0,0,0,90,1
"534",2006,2,340,1,0,0,1,0,40,1
"535",2006,2,401,2,2,0,0,0,0,2
"536",2006,2,340,3,1,0,2,0,80,3
"537",2006,2,340,3,1,1,1,0,35,3
"538",2006,2,420,1,0,0,1,0,55,1
"539",2006,2,408,1,1,0,0,0,70,1
"540",2006,2,401,3,1,0,2,0,30,3
"541",2006,2,401,4,4,0,0,0,50,4
"542",2006,2,408,1,0,0,1,0,75,1
"543",2006,2,409,3,1,0,2,0,10,3
"544",2006,2,211,1,0,0,1,0,25,1
"545",2006,2,340,2,2,0,0,0,25,2
"546",2006,2,207,1,0,0,1,0,10,1
"547",2006,2,207,2,0,0,2,0,35,2
"548",2006,2,340,3,2,0,1,0,80,3
"549",2006,2,207,1,0,0,1,0,40,1
"550",2006,2,207,2,1,1,0,0,50,2
"551",2006,3,316,2,1,1,0,0,40,2
"552",2006,3,316,7,0,0,7,0,50,7
"553",2006,3,316,2,1,1,0,0,40,2
"554",2006,3,360,2,1,1,0,0,60,2
"555",2006,3,316,1,0,0,1,0,60,1
"556",2006,3,316,3,1,2,0,0,20,3
"557",2006,3,316,2,2,0,0,0,20,2
"558",2006,3,296,2,2,0,0,0,50,2
"559",2006,3,296,3,1,2,0,0,70,3
"560",2006,3,316,2,1,1,0,0,30,2
"561",2006,3,418,1,0,0,1,0,65,1
"562",2006,3,360,1,1,0,0,0,75,1
"563",2006,3,418,1,0,0,1,0,40,1
"564",2006,3,418,1,1,0,0,0,30,1
"565",2006,3,316,1,0,0,1,0,40,1
"566",2006,3,316,1,1,0,0,0,0,1
"567",2006,3,316,1,0,0,1,0,50,1
"568",2006,3,316,2,0,0,2,0,50,2
"569",2006,3,316,2,1,1,0,0,0,2
"570",2006,3,296,2,1,1,0,0,50,2
"571",2006,3,418,2,1,1,0,0,75,2
"572",2006,3,418,2,1,1,0,0,45,2
"573",2006,3,418,3,1,2,0,0,30,3
"574",2006,3,418,3,0,0,3,0,30,3
"575",2006,3,418,1,1,0,0,0,70,1
"576",2006,3,418,4,2,1,1,0,85,4
"577",2006,3,418,5,3,1,1,0,20,5
"578",2006,3,418,1,1,0,0,0,20,1
"579",2006,3,418,2,1,0,1,0,20,2
"580",2006,3,418,2,1,0,1,0,10,2
