"","name","gender2","pred.sex"
"76","IRENE","F","F"
"77","JANE","F","F"
"78","LORI","F","F"
"79","RACHEL","F","F"
"80","MARILYN","F","F"
"81","ANDREA","B","F"
"82","KATHRYN","F","F"
"83","LOUISE","F","F"
"84","SARA","F","F"
"85","ANNE","F","F"
"86","JACQUELINE","F","F"
"87","WANDA","F","F"
"88","BONNIE","F","F"
"89","JULIA","F","F"
"90","RUBY","F","F"
"91","LOIS","F","F"
"92","TINA","F","F"
"93","PHYLLIS","F","F"
"94","NORMA","F","F"
"95","PAULA","F","F"
"96","DIANA","F","F"
"97","ANNIE","F","F"
"98","LILLIAN","F","F"
"99","EMILY","F","F"
"100","ROBIN","B","F"
"101","PEGGY","F","F"
"102","CRYSTAL","F","F"
"103","GLADYS","F","F"
"104","RITA","F","F"
"105","DAWN","F","F"
"106","CONNIE","B","F"
"107","FLORENCE","F","F"
"108","TRACY","B","F"
"109","EDNA","F","F"
"110","TIFFANY","F","F"
"111","CARMEN","B","F"
"112","ROSA","F","F"
"113","CINDY","F","F"
"114","GRACE","F","F"
"115","WENDY","F","F"
"116","VICTORIA","F","F"
"117","EDITH","F","F"
"118","KIM","B","F"
"119","SHERRY","F","F"
"120","SYLVIA","F","F"
"121","JOSEPHINE","F","F"
"122","THELMA","F","F"
"123","SHANNON","B","F"
"124","SHEILA","F","F"
"125","ETHEL","F","F"
"126","ELLEN","F","F"
"127","ELAINE","F","F"
"128","MARJORIE","F","F"
"129","CARRIE","F","F"
"130","CHARLOTTE","F","F"
"131","MONICA","F","F"
"132","ESTHER","F","F"
"133","PAULINE","F","F"
"134","EMMA","F","F"
"135","JUANITA","F","F"
"136","ANITA","F","F"
"137","RHONDA","F","F"
"138","HAZEL","F","F"
"139","AMBER","F","F"
"140","EVA","F","F"
"141","DEBBIE","F","F"
"142","APRIL","F","F"
"143","LESLIE","B","F"
"144","CLARA","F","F"
"145","LUCILLE","F","F"
"146","JAMIE","B","F"
"147","JOANNE","F","F"
"148","ELEANOR","F","F"
"149","VALERIE","F","F"
"150","DANIELLE","F","F"
"151","MEGAN","F","F"
"152","ALICIA","F","F"
"153","SUZANNE","F","F"
"154","MICHELE","F","F"
"155","GAIL","B","F"
"156","BERTHA","F","F"
"157","DARLENE","F","F"
"158","VERONICA","F","F"
"159","JILL","F","F"
"160","ERIN","B","F"
"161","GERALDINE","F","F"
"162","LAUREN","B","F"
"163","CATHY","F","F"
"164","JOANN","F","F"
"165","LORRAINE","F","F"
"166","LYNN","B","F"
"167","SALLY","F","F"
"168","REGINA","F","F"
"169","ERICA","F","F"
"170","BEATRICE","F","F"
"171","DOLORES","F","F"
"172","BERNICE","F","F"
"173","AUDREY","F","F"
"174","YVONNE","F","F"
"175","ANNETTE","F","F"
"176","JUNE","F","F"
"177","SAMANTHA","F","F"
"178","MARION","B","F"
"179","DANA","B","F"
"180","STACY","B","F"
"181","ANA","F","F"
"182","RENEE","F","F"
"183","IDA","F","F"
"184","VIVIAN","F","F"
"185","ROBERTA","F","F"
"186","HOLLY","F","F"
"187","BRITTANY","F","F"
"188","MELANIE","F","F"
"189","LORETTA","F","F"
"190","YOLANDA","F","F"
"191","JEANETTE","F","F"
"192","LAURIE","F","F"
"193","KATIE","F","F"
"194","KRISTEN","F","F"
"195","VANESSA","F","F"
"196","ALMA","F","F"
"197","SUE","F","F"
"198","ELSIE","F","F"
"199","BETH","F","F"
"200","JEANNE","F","F"
"201","VICKI","F","F"
"202","CARLA","F","F"
"203","TARA","F","F"
"204","ROSEMARY","F","F"
"205","EILEEN","F","F"
"206","TERRI","F","F"
"207","GERTRUDE","F","F"
"208","LUCY","F","F"
"209","TONYA","F","F"
"210","ELLA","F","F"
"211","STACEY","B","F"
"212","WILMA","F","F"
"213","GINA","F","F"
"214","KRISTIN","F","F"
"215","JESSIE","B","F"
"216","NATALIE","F","F"
"217","AGNES","F","F"
"218","VERA","F","F"
"219","WILLIE","B","M"
"220","CHARLENE","F","F"
"221","BESSIE","F","F"
"222","DELORES","F","F"
"223","MELINDA","F","F"
"224","PEARL","F","F"
"225","ARLENE","F","F"
"226","MAUREEN","F","F"
"227","COLLEEN","F","F"
"228","ALLISON","F","F"
"229","TAMARA","F","F"
"230","JOY","F","F"
"231","GEORGIA","F","F"
"232","CONSTANCE","F","F"
"233","LILLIE","F","F"
"234","CLAUDIA","F","F"
"235","JACKIE","B","F"
"236","MARCIA","F","F"
"237","TANYA","F","F"
"238","NELLIE","F","F"
"239","MINNIE","F","F"
"240","MARLENE","F","F"
"241","HEIDI","F","F"
"242","GLENDA","F","F"
"243","LYDIA","F","F"
"244","VIOLA","F","F"
"245","COURTNEY","B","F"
"246","MARIAN","F","F"
"247","STELLA","F","F"
"248","CAROLINE","F","F"
"249","DORA","F","F"
"250","JO","F","F"
"251","VICKIE","F","F"
"252","MATTIE","F","F"
"253","TERRY","B","M"
"254","MAXINE","F","F"
"255","IRMA","F","F"
"256","MABEL","F","F"
"257","MARSHA","F","F"
"258","MYRTLE","F","F"
"259","LENA","F","F"
"260","CHRISTY","F","F"
"261","DEANNA","F","F"
"262","PATSY","F","F"
"263","HILDA","F","F"
"264","GWENDOLYN","F","F"
"265","JENNIE","F","F"
"266","NORA","F","F"
"267","MARGIE","F","F"
"268","NINA","F","F"
"269","CASSANDRA","F","F"
"270","LEAH","F","F"
"271","PENNY","F","F"
"272","KAY","F","F"
"273","PRISCILLA","F","F"
"274","NAOMI","F","F"
"275","CAROLE","F","F"
"276","BRANDY","F","F"
"277","OLGA","F","F"
"278","BILLIE","B","F"
"279","DIANNE","F","F"
"280","TRACEY","B","F"
"281","LEONA","F","F"
"282","JENNY","F","F"
"283","FELICIA","F","F"
"284","SONIA","F","F"
"285","MIRIAM","F","F"
"286","VELMA","F","F"
"287","BECKY","F","F"
"288","BOBBIE","B","F"
"289","VIOLET","F","F"
"290","KRISTINA","F","F"
"291","TONI","F","F"
"292","MISTY","F","F"
"293","MAE","F","F"
"294","SHELLY","F","F"
"295","DAISY","F","F"
"296","RAMONA","F","F"
"297","SHERRI","F","F"
"298","ERIKA","F","F"
"299","KATRINA","F","F"
"300","CLAIRE","F","F"
"301","LINDSEY","B","F"
"302","LINDSAY","B","F"
"303","GENEVA","F","F"
"304","GUADALUPE","B","F"
"305","BELINDA","F","F"
"306","MARGARITA","F","F"
"307","SHERYL","F","F"
"308","CORA","F","F"
"309","FAYE","F","F"
"310","ADA","F","F"
"311","NATASHA","F","F"
"312","SABRINA","F","F"
"313","ISABEL","F","F"
"314","MARGUERITE","F","F"
"315","HATTIE","F","F"
"316","HARRIET","F","F"
"317","MOLLY","F","F"
"318","CECILIA","F","F"
"319","KRISTI","F","F"
"320","BRANDI","F","F"
"321","BLANCHE","F","F"
"322","SANDY","B","F"
"323","ROSIE","F","F"
"324","JOANNA","F","F"
"325","IRIS","F","F"
"326","EUNICE","F","F"
"327","ANGIE","F","F"
"328","INEZ","F","F"
"329","LYNDA","F","F"
"330","MADELINE","F","F"
"331","AMELIA","F","F"
"332","ALBERTA","F","F"
"333","GENEVIEVE","F","F"
"334","MONIQUE","F","F"
"335","JODI","F","F"
"336","JANIE","F","F"
"337","MAGGIE","F","F"
"338","KAYLA","F","F"
"339","SONYA","F","F"
"340","JAN","B","F"
"341","LEE","B","M"
"342","KRISTINE","F","F"
"343","CANDACE","F","F"
"344","FANNIE","F","F"
"345","MARYANN","F","F"
"346","OPAL","F","F"
"347","ALISON","F","F"
"348","YVETTE","F","F"
"349","MELODY","F","F"
"350","LUZ","F","F"
"351","SUSIE","F","F"
"352","OLIVIA","F","F"
"353","FLORA","F","F"
"354","SHELLEY","F","F"
"355","KRISTY","F","F"
"356","MAMIE","F","F"
"357","LULA","F","F"
"358","LOLA","F","F"
"359","VERNA","F","F"
"360","BEULAH","F","F"
"361","ANTOINETTE","F","F"
"362","CANDICE","F","F"
"363","JUANA","F","F"
"364","JEANNETTE","F","F"
"365","PAM","F","F"
"366","KELLI","F","F"
"367","HANNAH","F","F"
"368","WHITNEY","B","F"
"369","BRIDGET","F","F"
"370","KARLA","F","F"
"371","CELIA","F","F"
"372","LATOYA","F","F"
"373","PATTY","F","F"
"374","SHELIA","F","F"
"375","GAYLE","B","F"
"376","DELLA","F","F"
"377","VICKY","F","F"
"378","LYNNE","F","F"
"379","SHERI","F","F"
"380","MARIANNE","F","F"
"381","KARA","F","F"
"382","JACQUELYN","F","F"
"383","ERMA","F","F"
"384","BLANCA","F","F"
"385","MYRA","F","F"
"386","LETICIA","F","F"
"387","PAT","B","F"
"388","KRISTA","F","F"
"389","ROXANNE","F","F"
"390","ANGELICA","F","F"
"391","JOHNNIE","B","M"
"392","ROBYN","F","F"
"393","FRANCIS","B","M"
"394","ADRIENNE","F","F"
"395","ROSALIE","F","F"
"396","ALEXANDRA","F","F"
"397","BROOKE","F","F"
"398","BETHANY","F","F"
"399","SADIE","F","F"
"400","BERNADETTE","F","F"
"401","TRACI","F","F"
"402","JODY","B","F"
"403","KENDRA","F","F"
"404","JASMINE","F","F"
"405","NICHOLE","F","F"
"406","RACHAEL","F","F"
"407","CHELSEA","F","F"
"408","MABLE","F","F"
"409","ERNESTINE","F","F"
"410","MURIEL","F","F"
"411","MARCELLA","F","F"
"412","ELENA","F","F"
"413","KRYSTAL","F","F"
"414","ANGELINA","F","F"
"415","NADINE","F","F"
"416","KARI","F","F"
"417","ESTELLE","F","F"
"418","DIANNA","F","F"
"419","PAULETTE","F","F"
"420","LORA","F","F"
"421","MONA","F","F"
"422","DOREEN","F","F"
"423","ROSEMARIE","F","F"
"424","ANGEL","B","M"
"425","DESIREE","F","F"
"426","ANTONIA","B","F"
"427","HOPE","F","F"
"428","GINGER","F","F"
"429","JANIS","F","F"
"430","BETSY","F","F"
"431","CHRISTIE","F","F"
"432","FREDA","F","F"
"433","MERCEDES","F","F"
"434","MEREDITH","F","F"
"435","LYNETTE","F","F"
"436","TERI","F","F"
"437","CRISTINA","F","F"
"438","EULA","F","F"
"439","LEIGH","B","F"
"440","MEGHAN","F","F"
"441","SOPHIA","F","F"
"442","ELOISE","F","F"
"443","ROCHELLE","F","F"
"444","GRETCHEN","F","F"
"445","CECELIA","F","F"
"446","RAQUEL","F","F"
"447","HENRIETTA","F","F"
"448","ALYSSA","F","F"
"449","JANA","F","F"
"450","KELLEY","B","F"
"451","GWEN","F","F"
"452","KERRY","B","M"
"453","JENNA","F","F"
"454","TRICIA","F","F"
"455","LAVERNE","B","F"
"456","OLIVE","F","F"
"457","ALEXIS","B","F"
"458","TASHA","F","F"
"459","SILVIA","F","F"
"460","ELVIRA","F","F"
"461","CASEY","B","M"
"462","DELIA","F","F"
"463","SOPHIE","F","F"
"464","KATE","F","F"
"465","PATTI","F","F"
"466","LORENA","F","F"
"467","KELLIE","F","F"
"468","SONJA","F","F"
"469","LILA","F","F"
"470","LANA","F","F"
"471","DARLA","F","F"
"472","MAY","F","F"
"473","MINDY","F","F"
"474","ESSIE","F","F"
"475","MANDY","F","F"
"476","LORENE","F","F"
"477","ELSA","F","F"
"478","JOSEFINA","F","F"
"479","JEANNIE","F","F"
"480","MIRANDA","F","F"
"481","DIXIE","F","F"
"482","LUCIA","F","F"
"483","MARTA","F","F"
"484","FAITH","F","F"
"485","LELA","F","F"
"486","JOHANNA","F","F"
"487","SHARI","F","F"
"488","CAMILLE","F","F"
"489","TAMI","F","F"
"490","SHAWNA","F","F"
"491","ELISA","F","F"
"492","EBONY","F","F"
"493","MELBA","F","F"
"494","ORA","F","F"
"495","NETTIE","F","F"
"496","TABITHA","F","F"
"497","OLLIE","B","F"
"498","JAIME","B","M"
"499","WINIFRED","F","F"
"500","KRISTIE","F","F"
"501","MARINA","F","F"
"502","ALISHA","F","F"
"503","AIMEE","F","F"
"504","RENA","F","F"
"505","MYRNA","F","F"
"506","MARLA","F","F"
"507","TAMMIE","F","F"
"508","LATASHA","F","F"
"509","BONITA","F","F"
"510","PATRICE","F","F"
"511","RONDA","F","F"
"512","SHERRIE","F","F"
"513","ADDIE","F","F"
"514","FRANCINE","F","F"
"515","DELORIS","F","F"
"516","STACIE","F","F"
"517","ADRIANA","F","F"
"518","CHERI","F","F"
"519","SHELBY","B","F"
"520","ABIGAIL","F","F"
"521","CELESTE","F","F"
"522","JEWEL","B","F"
"523","CARA","F","F"
"524","ADELE","F","F"
"525","REBEKAH","F","F"
"526","LUCINDA","F","F"
"527","DORTHY","F","F"
"528","CHRIS","B","M"
"529","EFFIE","F","F"
"530","TRINA","F","F"
"531","REBA","F","F"
"532","SHAWN","B","M"
"533","SALLIE","F","F"
"534","AURORA","F","F"
"535","LENORA","F","F"
"536","ETTA","F","F"
"537","LOTTIE","F","F"
"538","KERRI","F","F"
"539","TRISHA","F","F"
"540","NIKKI","F","F"
"541","ESTELLA","F","F"
"542","FRANCISCA","F","F"
"543","JOSIE","F","F"
"544","TRACIE","F","F"
"545","MARISSA","F","F"
"546","KARIN","F","F"
"547","BRITTNEY","F","F"
"548","JANELLE","F","F"
"549","LOURDES","F","F"
"550","LAUREL","F","F"
"551","HELENE","F","F"
"552","FERN","F","F"
"553","ELVA","F","F"
"554","CORINNE","F","F"
"555","KELSEY","F","F"
"556","INA","F","F"
"557","BETTIE","F","F"
"558","ELISABETH","F","F"
"559","AIDA","F","F"
"560","CAITLIN","F","F"
"561","INGRID","F","F"
"562","IVA","F","F"
"563","EUGENIA","F","F"
"564","CHRISTA","F","F"
"565","GOLDIE","F","F"
"566","CASSIE","F","F"
"567","MAUDE","F","F"
"568","JENIFER","F","F"
"569","THERESE","F","F"
"570","FRANKIE","B","M"
"571","DENA","F","F"
"572","LORNA","F","F"
"573","JANETTE","F","F"
"574","LATONYA","F","F"
"575","CANDY","F","F"
"576","MORGAN","B","F"
"577","CONSUELO","F","F"
"578","TAMIKA","F","F"
"579","ROSETTA","F","F"
"580","DEBORA","F","F"
"581","CHERIE","F","F"
"582","POLLY","F","F"
"583","DINA","F","F"
"584","JEWELL","B","F"
"585","FAY","F","F"
"586","JILLIAN","F","F"
"587","DOROTHEA","F","F"
"588","NELL","F","F"
"589","TRUDY","F","F"
"590","ESPERANZA","F","F"
"591","PATRICA","F","F"
"592","KIMBERLEY","F","F"
"593","SHANNA","F","F"
"594","HELENA","F","F"
"595","CAROLINA","F","F"
"596","CLEO","B","F"
"597","STEFANIE","F","F"
"598","ROSARIO","B","F"
"599","OLA","F","F"
"600","JANINE","F","F"
"601","MOLLIE","F","F"
"602","LUPE","B","F"
"603","ALISA","F","F"
"604","LOU","B","F"
"605","MARIBEL","F","F"
"606","SUSANNE","F","F"
"607","BETTE","F","F"
"608","SUSANA","F","F"
"609","ELISE","F","F"
"610","CECILE","F","F"
"611","ISABELLE","F","F"
"612","LESLEY","B","F"
"613","JOCELYN","F","F"
"614","PAIGE","F","F"
"615","JONI","F","F"
"616","RACHELLE","F","F"
"617","LEOLA","F","F"
"618","DAPHNE","F","F"
"619","ALTA","F","F"
"620","ESTER","F","F"
"621","PETRA","F","F"
"622","GRACIELA","F","F"
"623","IMOGENE","F","F"
"624","JOLENE","F","F"
"625","KEISHA","F","F"
"626","LACEY","F","F"
"627","GLENNA","F","F"
"628","GABRIELA","F","F"
"629","KERI","F","F"
"630","URSULA","F","F"
"631","LIZZIE","F","F"
"632","KIRSTEN","F","F"
"633","SHANA","F","F"
"634","ADELINE","F","F"
"635","MAYRA","F","F"
"636","JAYNE","F","F"
"637","JACLYN","F","F"
"638","GRACIE","F","F"
"639","SONDRA","F","F"
"640","CARMELA","F","F"
"641","MARISA","F","F"
"642","ROSALIND","F","F"
"643","CHARITY","F","F"
"644","TONIA","F","F"
"645","BEATRIZ","F","F"
"646","MARISOL","F","F"
"647","CLARICE","F","F"
"648","JEANINE","F","F"
"649","SHEENA","F","F"
"650","ANGELINE","F","F"
"651","FRIEDA","F","F"
"652","LILY","F","F"
"653","ROBBIE","B","F"
"654","SHAUNA","F","F"
"655","MILLIE","F","F"
"656","CLAUDETTE","F","F"
"657","CATHLEEN","F","F"
"658","ANGELIA","F","F"
"659","GABRIELLE","F","F"
"660","AUTUMN","F","F"
"661","KATHARINE","F","F"
"662","SUMMER","F","F"
"663","JODIE","F","F"
"664","STACI","F","F"
"665","LEA","F","F"
"666","CHRISTI","F","F"
"667","JIMMIE","B","M"
"668","JUSTINE","F","F"
"669","ELMA","F","F"
"670","LUELLA","F","F"
"671","MARGRET","F","F"
"672","DOMINIQUE","B","F"
"673","SOCORRO","F","F"
"674","RENE","B","M"
"675","MARTINA","F","F"
"676","MARGO","F","F"
"677","MAVIS","F","F"
"678","CALLIE","F","F"
"679","BOBBI","F","F"
"680","MARITZA","F","F"
"681","LUCILE","F","F"
"682","LEANNE","F","F"
"683","JEANNINE","F","F"
"684","DEANA","F","F"
"685","AILEEN","F","F"
"686","LORIE","F","F"
"687","LADONNA","F","F"
"688","WILLA","F","F"
"689","MANUELA","F","F"
"690","GALE","B","F"
"691","SELMA","F","F"
"692","DOLLY","F","F"
"693","SYBIL","F","F"
"694","ABBY","F","F"
"695","LARA","F","F"
"696","DALE","B","M"
"697","IVY","F","F"
"698","DEE","B","F"
"699","WINNIE","F","F"
"700","MARCY","F","F"
"701","LUISA","F","F"
"702","JERI","F","F"
"703","MAGDALENA","F","F"
"704","OFELIA","F","F"
"705","MEAGAN","F","F"
"706","AUDRA","F","F"
"707","MATILDA","F","F"
"708","LEILA","F","F"
"709","CORNELIA","F","F"
"710","BIANCA","F","F"
"711","SIMONE","F","F"
"712","BETTYE","F","F"
"713","RANDI","F","F"
"714","VIRGIE","F","F"
"715","LATISHA","F","F"
"716","BARBRA","F","F"
"717","GEORGINA","F","F"
"718","ELIZA","F","F"
"719","LEANN","F","F"
"720","BRIDGETTE","F","F"
"721","RHODA","F","F"
"722","HALEY","F","F"
"723","ADELA","F","F"
"724","NOLA","F","F"
"725","BERNADINE","F","F"
"726","FLOSSIE","F","F"
"727","ILA","F","F"
"728","GRETA","F","F"
"729","RUTHIE","F","F"
"730","NELDA","F","F"
"731","MINERVA","F","F"
"732","LILLY","F","F"
"733","TERRIE","F","F"
"734","LETHA","F","F"
"735","HILARY","F","F"
"736","ESTELA","F","F"
"737","VALARIE","F","F"
"738","BRIANNA","F","F"
"739","ROSALYN","F","F"
"740","EARLINE","F","F"
"741","CATALINA","F","F"
"742","AVA","F","F"
"743","MIA","F","F"
"744","CLARISSA","F","F"
"745","LIDIA","F","F"
"746","CORRINE","F","F"
"747","ALEXANDRIA","F","F"
"748","CONCEPCION","F","F"
"749","TIA","F","F"
"750","SHARRON","F","F"
"751","RAE","F","F"
"752","DONA","F","F"
"753","ERICKA","F","F"
"754","JAMI","F","F"
"755","ELNORA","F","F"
"756","CHANDRA","F","F"
"757","LENORE","F","F"
"758","NEVA","F","F"
"759","MARYLOU","F","F"
"760","MELISA","F","F"
"761","TABATHA","F","F"
"762","SERENA","F","F"
"763","AVIS","F","F"
"764","ALLIE","F","F"
"765","SOFIA","F","F"
"766","JEANIE","F","F"
"767","ODESSA","F","F"
"768","NANNIE","F","F"
"769","HARRIETT","F","F"
"770","LORAINE","F","F"
"771","PENELOPE","F","F"
"772","MILAGROS","F","F"
"773","EMILIA","F","F"
"774","BENITA","F","F"
"775","ALLYSON","F","F"
"776","ASHLEE","F","F"
"777","TANIA","F","F"
"778","TOMMIE","B","M"
"779","ESMERALDA","F","F"
"780","KARINA","F","F"
"781","EVE","F","F"
"782","PEARLIE","F","F"
"783","ZELMA","F","F"
"784","MALINDA","F","F"
"785","NOREEN","F","F"
"786","TAMEKA","F","F"
"787","SAUNDRA","F","F"
"788","HILLARY","F","F"
"789","AMIE","F","F"
"790","ALTHEA","F","F"
"791","ROSALINDA","F","F"
"792","JORDAN","B","M"
"793","LILIA","F","F"
"794","ALANA","F","F"
"795","GAY","F","F"
"796","CLARE","F","F"
"797","ALEJANDRA","F","F"
"798","ELINOR","F","F"
"799","MICHAEL","B","M"
"800","LORRIE","F","F"
"801","JERRI","F","F"
"802","DARCY","F","F"
"803","EARNESTINE","F","F"
"804","CARMELLA","F","F"
"805","TAYLOR","B","M"
"806","NOEMI","F","F"
"807","MARCIE","F","F"
"808","LIZA","F","F"
"809","ANNABELLE","F","F"
"810","LOUISA","F","F"
"811","EARLENE","F","F"
"812","MALLORY","F","F"
"813","CARLENE","F","F"
"814","NITA","F","F"
"815","SELENA","F","F"
"816","TANISHA","F","F"
"817","KATY","F","F"
"818","JULIANNE","F","F"
"819","JOHN","B","M"
"820","LAKISHA","F","F"
"821","EDWINA","F","F"
"822","MARICELA","F","F"
"823","MARGERY","F","F"
"824","KENYA","F","F"
"825","DOLLIE","F","F"
"826","ROXIE","F","F"
"827","ROSLYN","F","F"
"828","KATHRINE","F","F"
"829","NANETTE","F","F"
"830","CHARMAINE","F","F"
"831","LAVONNE","F","F"
"832","ILENE","F","F"
"833","KRIS","B","F"
"834","TAMMI","F","F"
"835","SUZETTE","F","F"
"836","CORINE","F","F"
"837","KAYE","F","F"
"838","JERRY","B","M"
"839","MERLE","B","M"
"840","CHRYSTAL","F","F"
"841","LINA","F","F"
"842","DEANNE","F","F"
"843","LILIAN","F","F"
"844","JULIANA","F","F"
"845","ALINE","F","F"
"846","LUANN","F","F"
"847","KASEY","B","F"
"848","MARYANNE","F","F"
"849","EVANGELINE","F","F"
"850","COLETTE","F","F"
"851","MELVA","F","F"
"852","LAWANDA","F","F"
"853","YESENIA","F","F"
"854","NADIA","F","F"
"855","MADGE","F","F"
"856","KATHIE","F","F"
"857","EDDIE","B","M"
"858","OPHELIA","F","F"
"859","VALERIA","F","F"
"860","NONA","F","F"
"861","MITZI","F","F"
"862","MARI","F","F"
"863","GEORGETTE","F","F"
"864","CLAUDINE","F","F"
"865","FRAN","F","F"
"866","ALISSA","F","F"
"867","ROSEANN","F","F"
"868","LAKEISHA","F","F"
"869","SUSANNA","F","F"
"870","REVA","F","F"
"871","DEIDRE","F","F"
"872","CHASITY","F","F"
"873","SHEREE","F","F"
"874","CARLY","F","F"
"875","JAMES","B","M"
"876","ELVIA","F","F"
"877","ALYCE","F","F"
"878","DEIRDRE","F","F"
"879","GENA","F","F"
"880","BRIANA","F","F"
"881","ARACELI","F","F"
"882","KATELYN","F","F"
"883","ROSANNE","F","F"
"884","WENDI","F","F"
"885","TESSA","F","F"
"886","BERTA","F","F"
"887","MARVA","F","F"
"888","IMELDA","F","F"
"889","MARIETTA","F","F"
"890","MARCI","F","F"
"891","LEONOR","F","F"
"892","ARLINE","F","F"
"893","SASHA","F","F"
"894","MADELYN","F","F"
"895","JANNA","F","F"
"896","JULIETTE","F","F"
"897","DEENA","F","F"
"898","AURELIA","F","F"
"899","JOSEFA","F","F"
"900","AUGUSTA","F","F"
"901","LILIANA","F","F"
"902","YOUNG","B","F"
"903","CHRISTIAN","B","M"
"904","LESSIE","F","F"
"905","AMALIA","F","F"
"906","SAVANNAH","F","F"
"907","ANASTASIA","F","F"
"908","VILMA","F","F"
"909","NATALIA","F","F"
"910","ROSELLA","F","F"
"911","LYNNETTE","F","F"
"912","CORINA","F","F"
"913","ALFREDA","F","F"
"914","LEANNA","F","F"
"915","CAREY","B","M"
"916","AMPARO","F","F"
"917","COLEEN","F","F"
"918","TAMRA","F","F"
"919","AISHA","F","F"
"920","WILDA","F","F"
"921","KARYN","F","F"
"922","CHERRY","F","F"
"923","QUEEN","F","F"
"924","MAURA","F","F"
"925","MAI","F","F"
"926","EVANGELINA","F","F"
"927","ROSANNA","F","F"
"928","HALLIE","F","F"
"929","ERNA","F","F"
"930","ENID","F","F"
"931","MARIANA","F","F"
"932","LACY","B","F"
"933","JULIET","F","F"
"934","JACKLYN","F","F"
"935","FREIDA","F","F"
"936","MADELEINE","F","F"
"937","MARA","F","F"
"938","HESTER","F","F"
"939","CATHRYN","F","F"
"940","LELIA","F","F"
"941","CASANDRA","F","F"
"942","BRIDGETT","F","F"
"943","ANGELITA","F","F"
"944","JANNIE","F","F"
"945","DIONNE","F","F"
"946","ANNMARIE","F","F"
"947","KATINA","F","F"
"948","BERYL","F","F"
"949","PHOEBE","F","F"
"950","MILLICENT","F","F"
"951","KATHERYN","F","F"
"952","DIANN","F","F"
"953","CARISSA","F","F"
"954","MARYELLEN","F","F"
"955","LIZ","F","F"
"956","LAURI","F","F"
"957","HELGA","F","F"
"958","GILDA","F","F"
"959","ADRIAN","B","M"
"960","RHEA","F","F"
"961","MARQUITA","F","F"
"962","HOLLIE","F","F"
"963","TISHA","F","F"
"964","TAMERA","F","F"
"965","ANGELIQUE","F","F"
"966","FRANCESCA","F","F"
"967","BRITNEY","F","F"
"968","KAITLIN","F","F"
"969","LOLITA","F","F"
"970","FLORINE","F","F"
"971","ROWENA","F","F"
"972","REYNA","F","F"
"973","TWILA","F","F"
"974","FANNY","F","F"
"975","JANELL","F","F"
"976","INES","F","F"
"977","CONCETTA","F","F"
"978","BERTIE","F","F"
"979","ALBA","F","F"
"980","BRIGITTE","F","F"
"981","ALYSON","F","F"
"982","VONDA","F","F"
"983","PANSY","F","F"
"984","ELBA","F","F"
"985","NOELLE","F","F"
"986","LETITIA","F","F"
"987","KITTY","F","F"
"988","DEANN","F","F"
"989","BRANDIE","F","F"
"990","LOUELLA","F","F"
"991","LETA","F","F"
"992","FELECIA","F","F"
"993","SHARLENE","F","F"
"994","LESA","F","F"
"995","BEVERLEY","F","F"
"996","ROBERT","B","M"
"997","ISABELLA","F","F"
"998","HERMINIA","F","F"
"999","TERRA","F","F"
"1000","CELINA","F","F"
"1001","TORI","F","F"
"1002","OCTAVIA","F","F"
"1003","JADE","F","F"
"1004","DENICE","F","F"
"1005","GERMAINE","F","F"
