"","word","syllables"
"108","academy",4
"109","acanthus",3
"110","accede",2
"111","accelerando",5
"112","accelerate",4
"113","accent",2
"114","accentual",4
"115","accentuate",4
"116","accept",2
"117","acceptance",3
"118","acceptation",4
"119","access",2
"120","accessible",4
"121","accession",3
"122","accessory",4
"123","accidence",3
"124","accident",3
"125","accidental",4
"126","acclaim",2
"127","acclamation",4
"128","acclimate",3
"129","acclimatize",4
"130","acclivity",4
"131","accolade",3
"132","accommodate",4
"133","accommodation",5
"134","accompaniment",5
"135","accomplice",3
"136","accomplish",3
"137","accord",2
"138","accordance",3
"139","accordion",4
"140","accost",2
"141","account",2
"142","accountant",3
"143","accoutre",3
"144","accredit",3
"145","accretion",3
"146","accrue",2
"147","acculturation",5
"148","accumulate",4
"149","accuracy",4
"150","accurate",3
"151","accursed",3
"152","accusal",3
"153","accusation",4
"154","accusative",4
"155","accuse",2
"156","accuser",3
"157","accustom",3
"158","ace",1
"159","acerb",2
"160","acerbity",4
"161","acetanilide",5
"162","acetate",3
"163","acetic",3
"164","acetone",3
"165","acetylene",4
"166","ache",1
"167","achieve",2
"168","achromatic",4
"169","acid",2
"170","acidic",3
"171","acidity",4
"172","acidosis",4
"173","acidulous",4
"174","acknowledge",3
"175","acme",2
"176","acne",2
"177","acolyte",3
"178","aconite",3
"179","acorn",2
"180","acoustic",3
"181","acquaint",2
"182","acquiesce",3
"183","acquire",2
"184","acquisition",4
"185","acquisitive",4
"186","acquit",2
"187","acre",2
"188","acreage",3
"189","acrid",2
"190","acridity",4
"191","acrimonious",5
"192","acrimony",4
"193","acrobat",3
"194","acrobatic",4
"195","acrobatics",4
"196","acronym",3
"197","acrophobia",5
"198","acropolis",4
"199","across",2
"200","acrostic",3
"201","act",1
"202","actinic",3
"203","actinium",4
"204","action",2
"205","activate",3
"206","active",2
"207","activity",4
"208","actor",2
"209","actual",3
"210","actuality",5
"211","actually",4
"212","actuarial",5
"213","actuary",4
"214","actuate",3
"215","acuity",4
"216","acumen",3
"217","acute",2
"218","ad",1
"219","adage",2
"220","adagio",3
"221","adamant",3
"222","adamantine",4
"223","adapt",2
"224","adaptability",6
"225","adaptation",4
"226","add",1
"227","addendum",3
"228","adder",2
"229","addict",2
"231","addiction",3
"232","addition",3
"233","additional",4
"234","additive",3
"235","addle",2
"236","address",2
"237","addressee",3
"238","adduce",2
"239","adept",2
"241","adequate",3
"242","adhere",2
"243","adhesion",3
"244","adieu",2
"245","adios",3
"246","adipose",3
"247","adiposity",5
"248","adjacent",3
"249","adjectival",4
"250","adjective",3
"251","adjoin",2
"252","adjourn",2
"253","adjudge",2
"254","adjudicate",4
"255","adjudication",5
"256","adjunct",2
"257","adjuration",4
"258","adjure",2
"259","adjust",2
"260","adjutant",3
"261","adjuvant",3
"262","adman",2
"263","administer",4
"264","administrative",5
"265","administrator",5
"266","admirable",4
"267","admiral",3
"268","admiration",4
"269","admire",2
"270","admirer",3
"271","admissible",4
"272","admission",3
"273","admit",2
"274","admittance",3
"275","admix",2
"276","admixture",3
"277","admonish",3
"278","admonition",4
"279","admonitory",5
"280","ado",2
"281","adobe",3
"282","adolescence",4
"283","adopt",2
"284","adoptive",3
"285","adorable",4
"286","adoration",4
"287","adore",2
"288","adorn",2
"289","adrenal",3
"290","adrift",2
"291","adroit",2
"292","adsorb",2
"293","adulation",4
"294","adult",2
"295","adulterant",4
"296","adulterate",4
"297","adultery",4
"298","adulthood",3
"299","adumbrate",3
"300","adumbration",4
"301","advance",2
"302","advantage",3
"303","advantageous",4
"304","advent",2
"305","adventitious",4
"306","adventure",3
"307","adverb",2
"308","adverbial",4
"309","adversary",4
"310","adversative",4
"311","adverse",2
"312","adversity",4
"313","advert",2
"314","advertise",3
"315","advertisement",4
"316","advertising",4
"317","advice",2
"318","advisable",4
"319","advise",2
"320","advisement",3
"321","advisory",4
"322","advocate",3
"323","adze",1
"324","aegis",2
"325","aeon",2
"326","aerate",3
"327","aeration",4
"328","aerial",3
"329","aerialist",4
"330","aerie",2
"331","aero",2
"332","aerobe",3
"333","aerobic",4
"334","aerodrome",3
"335","aeronaut",3
"336","aeronautics",4
"337","aeroplane",3
"338","aerosol",3
"339","aerospace",3
"340","aery",2
"341","aesthete",2
"342","aesthetic",3
"343","aestivate",3
"344","aestivation",4
"345","afar",2
"346","affability",5
"347","affable",3
"348","affably",3
"349","affair",2
"350","affect",2
"351","affectation",4
"352","affection",3
"353","afferent",3
"354","affiance",3
"355","affidavit",4
"356","affiliate",4
"357","affinity",4
"358","affirm",2
"359","affirmation",4
"360","affirmative",4
"361","affix",2
"363","afflatus",3
"364","afflict",2
"365","affluence",3
"366","afford",2
"367","affray",2
"368","affright",2
"369","affront",2
"370","afghan",2
"371","afghani",3
"372","aficionado",6
"373","afield",2
"374","afire",2
"375","aflame",2
"376","afloat",2
"377","aflutter",3
"378","afoot",2
"379","aforementioned",4
"380","aforesaid",3
"381","afoul",2
"382","afraid",2
"383","afresh",2
"384","african",3
"385","afrikaans",3
"386","aft",1
"387","after",2
"388","afterbirth",3
"389","aftermath",3
"390","afternoon",3
"391","afterthought",3
"392","afterward",3
"393","again",2
"394","against",2
"395","agape",3
"397","agate",2
"398","agave",3
"399","age",1
"400","ageless",2
"401","agency",3
"402","agenda",3
"403","agent",2
"404","agglomerate",4
"405","agglutinate",4
"406","aggrandize",3
"407","aggrandizement",4
"408","aggravate",3
"409","aggravation",4
"410","aggregate",3
"411","aggregation",4
"412","aggression",3
"413","aggrieve",2
"414","aghast",2
"415","agile",2
"416","agility",4
"417","agitate",3
"418","agitation",4
"419","agitator",4
"420","agleam",2
"421","aglitter",3
"422","aglow",2
"423","agnostic",3
"424","ago",2
"425","agog",2
"426","agonize",3
"427","agony",3
"428","agora",3
"429","agoraphobia",6
"430","agrarian",4
"431","agree",2
"432","agricultural",5
"433","agriculture",4
"434","aground",2
"435","ague",2
"436","ahead",2
"437","ahoy",2
"438","aid",1
"439","aide",1
"440","aigrette",2
"441","ail",1
"442","aileron",3
"443","ailment",2
"444","aim",1
"445","air",1
"446","aircraft",2
"447","airlift",2
"448","airliner",3
"449","airmail",2
"450","airy",2
"451","aisle",1
"452","ajar",2
"453","akimbo",3
"454","akin",2
"455","alabaster",4
"456","alacrity",4
"457","alarm",2
"458","albacore",3
"459","albanian",4
"460","albatross",3
"461","albeit",3
"462","albinism",4
"463","albino",3
"464","album",2
"465","albumen",3
"466","albumin",3
"467","alcalde",3
"468","alcazar",3
"469","alchemical",4
"470","alchemist",3
"471","alchemy",3
"472","alcohol",3
"473","alcoholic",4
"474","alcoholism",5
"475","alcove",2
"476","alder",2
"477","alderman",3
"478","ale",1
"479","alee",2
"480","alehouse",2
"481","alembic",3
"482","alert",2
"483","alexandrian",5
"484","alfalfa",3
"485","alfresco",3
"486","alga",2
"487","algae",2
"488","algebra",3
"489","algebraic",4
"490","algerian",4
"491","alias",3
"492","alibi",3
"493","alien",3
"494","alienable",4
"495","alienation",5
"496","alienist",4
"497","alight",2
"498","alike",2
"499","aliment",3
"500","alimentary",5
"501","alimony",4
"502","aline",2
"503","alit",2
"504","alive",2
"505","alkali",3
"506","alkalinity",5
"507","alkalinize",4
"508","alkalize",3
"509","alkaloid",3
"510","alkyd",2
"511","all",1
"512","allah",2
"513","allay",2
"514","allegation",4
"515","allege",2
"516","allegedly",4
"517","allegiance",3
"518","allegorical",5
"519","allegory",4
"520","allegro",3
"521","alleluia",4
"522","allergen",3
"523","allergenic",4
"524","allergic",3
"525","allergist",3
"526","allergy",3
"527","alleviate",4
"528","alleviation",5
"529","alley",2
"530","allhallows",3
"531","alliance",3
"532","allied",2
"533","alligator",4
"534","alliterate",4
"535","alliteration",5
"536","allocate",3
"537","allocation",4
"538","allot",2
"539","allow",2
"540","alloy",2
"541","allspice",2
"542","allude",2
"543","allure",2
"544","alluvium",4
"545","ally",2
"547","almanac",3
"548","almighty",3
"549","almond",2
"550","almoner",3
"551","almost",2
"552","alms",1
"553","aloe",2
"554","aloft",2
"555","aloha",3
"556","alone",2
"557","along",2
"558","alongshore",3
"559","alongside",3
"560","aloof",2
"561","aloud",2
"562","alp",1
"563","alpaca",3
"564","alpenhorn",3
"565","alpenstock",3
"566","alphabet",3
"567","alphabetic",4
"568","alphabetize",4
"569","alphorn",2
"570","alpine",2
"571","already",3
"572","also",2
"573","altar",2
"574","alter",2
"575","alteration",4
"576","altercation",4
"577","alternate",3
"578","alternation",4
"579","alternative",4
"580","altho",2
"581","altimeter",4
"582","altitude",3
"583","alto",2
"584","altogether",4
"585","altruism",4
"586","altruistic",4
"587","alum",2
"588","alumina",4
"589","aluminium",5
"590","aluminum",4
"591","alumna",3
"592","alumnus",3
"593","always",2
"594","am",1
"595","amah",2
"596","amain",2
"597","amalgam",3
"598","amalgamate",4
"599","amanuensis",5
"600","amaranth",3
"601","amaranthine",4
"602","amaryllis",4
"603","amass",2
"604","amateur",3
"605","amateurish",4
"606","amateurism",5
"607","amatory",4
"608","amaze",2
"609","amazon",3
"610","amazonian",5
"611","ambassador",4
"612","amber",2
"613","ambergris",3
"614","ambidextrous",4
"615","ambient",3
"616","ambiguity",5
"617","ambiguous",4
"618","ambition",3
"619","ambitious",3
"620","ambivalence",4
"621","amble",2
"622","ambrosia",4
"623","ambulance",3
"624","ambulatory",5
"625","ambuscade",3
"626","ambush",2
"627","ameliorate",4
"628","amen",2
"629","amenable",4
"630","amend",2
"631","amendment",3
"632","amends",2
"633","amenity",4
"634","amerce",2
"635","american",4
"636","americanization",7
"637","americanize",5
"638","americium",5
"639","amethyst",3
"640","amiability",6
"641","amiable",4
"642","amiably",4
"643","amicable",4
"644","amid",2
"645","amiss",2
"646","amity",3
"647","ammeter",3
"648","ammo",2
"649","ammonia",3
"650","ammonite",3
"651","ammunition",4
"652","amnesia",3
"653","amnesty",3
"654","amoeba",3
"655","amok",2
"656","among",2
"657","amontillado",5
"658","amoral",3
"659","amorous",3
"660","amorphous",3
"661","amortization",5
"662","amortize",3
"663","amount",2
"664","amour",2
"665","ampere",2
"666","ampersand",3
"667","amphibian",4
"668","amphitheater",5
"669","amphora",3
"670","ample",2
"671","amplification",5
"672","amplifier",4
"673","amplify",3
"674","amplitude",3
"675","ampoule",2
"676","amputate",3
"677","amputation",4
"678","amputee",3
"679","amulet",3
"680","amuse",2
"681","an",1
"682","anachronism",5
"683","anachronistic",5
"684","anaconda",4
"685","anadem",3
"686","anaerobic",4
"687","anagram",3
"688","anal",2
"689","analgesia",4
"690","analog",3
"691","analogical",5
"692","analogous",4
"693","analysis",4
"694","analyst",3
"695","analytic",4
"696","analyze",3
"697","anapest",3
"698","anapestic",4
"699","anarchic",3
"700","anarchism",4
"701","anarchistic",4
"702","anarchy",3
"703","anathema",4
"704","anatomic",4
"705","anatomist",4
"706","anatomize",4
"707","anatomy",4
"708","ancestor",3
"709","ancestral",3
"710","anchor",2
"711","anchorage",3
"712","anchorite",3
"713","anchovy",3
"714","ancient",2
"715","ancillary",4
"716","and",1
"717","andante",3
"718","andiron",3
"719","androgen",3
"720","anecdote",3
"721","anemia",4
"722","anemometer",5
"723","anemone",4
"724","anent",2
"725","anesthesia",4
"726","anesthetist",4
"727","anew",2
"728","angel",2
"729","angelic",3
"730","anger",2
"731","angina",3
"732","angle",2
"733","angleworm",3
"734","anglican",3
"735","anglicization",5
"736","anglicize",3
"737","anglophile",3
"738","angora",3
"739","angry",2
"740","angst",1
"741","anguish",2
"742","angular",3
"743","angularity",5
"744","anhydrous",3
"745","aniline",3
"746","animadvert",4
"747","animal",3
"748","animalcule",4
"749","animalism",5
"750","animate",3
"751","animation",4
"752","animism",4
"753","animistic",4
"754","animosity",5
"755","animus",3
"756","anise",2
"757","ankh",1
"758","ankle",2
"759","anklet",2
"760","annals",2
"761","anneal",2
"762","annex",2
"764","annexation",4
"765","annihilate",4
"766","anniversary",5
"767","annotate",3
"768","annotation",4
"769","annotator",4
"770","announce",2
"771","annoy",2
"772","annual",3
"773","annuitant",4
"774","annuity",4
"775","annul",2
"776","annular",3
"777","annunciate",4
"778","annunciation",5
"779","anode",2
"780","anodic",3
"781","anodyne",3
"782","anoint",2
"783","anomalous",4
"784","anomaly",4
"785","anon",2
"786","anonymity",5
"787","anonymous",4
"788","anonymously",5
"789","anopheles",4
"790","another",3
"791","answer",2
"792","answerable",4
"793","ant",1
"794","antacid",3
"795","antagonism",5
"796","antagonist",4
"797","antarctic",3
"798","ante",2
"799","antebellum",4
"800","antecedent",4
"801","antechamber",4
"802","antediluvian",6
"803","antelope",3
"804","antenna",3
"805","antepenult",4
"806","anterior",4
"807","anteroom",3
"808","anthem",2
"809","anther",2
"810","anthill",2
"811","anthology",4
"812","anthracite",3
"813","anthrax",2
"814","anthropocentric",5
"815","anthropoid",3
"816","anthropology",5
"817","anthropomorphism",6
"818","anti",2
"819","antibiotic",5
"820","antibody",4
"821","antic",2
"822","antichrist",3
"823","anticipate",4
"824","anticlimax",4
"825","antidote",3
"826","antihistamine",5
"827","antiknock",3
"828","antilogarithm",6
"829","antimacassar",5
"830","antimony",4
"831","antipasto",4
"832","antipathy",4
"833","antipersonnel",5
"834","antiphonal",4
"835","antipodes",4
"836","antiquarian",5
"837","antiquary",4
"838","antiquated",4
"839","antique",2
"840","antiquity",4
"841","antiseptic",4
"842","antisocial",4
"843","antithesis",4
"844","antitoxin",4
"845","antivivisectionist",7
"846","antler",2
"847","antonym",3
"848","antrum",2
"849","anus",2
"850","anvil",2
"851","anxiety",4
"852","anxious",2
"853","any",2
"854","anymore",3
"855","anyone",3
"856","anyway",3
"857","aorta",3
"858","apace",2
"859","apart",2
"860","apartheid",3
"861","apartment",3
"862","apathetic",4
"863","apathy",3
"864","ape",1
"865","apeak",2
"866","aperitif",4
"867","aperture",3
"868","apex",2
"869","aphasia",4
"870","aphid",2
"871","aphides",3
"872","aphis",2
"873","aphorism",4
"874","aphoristic",4
"875","aphrodisiac",5
"876","apiary",4
"877","apices",3
"878","apiece",2
"879","aplomb",2
"880","apocalypse",4
"881","apocrypha",4
"882","apogee",3
"883","apologetic",5
"884","apologia",5
"885","apologize",4
"886","apoplectic",4
"887","apoplexy",4
"888","aport",2
"889","apostasy",4
"890","apostate",3
"891","apostle",3
"892","apostolic",4
"893","apostrophe",4
"894","apothecary",5
"895","apothegm",3
"896","apotheosis",5
"897","appal",2
"898","appanage",3
"899","apparatus",4
"900","apparel",3
"901","apparent",3
"902","apparition",4
"903","appeal",2
"904","appear",2
"905","appearance",3
"906","appease",2
"907","appellant",3
"908","appellate",3
"909","appellation",4
"910","appellee",3
"911","append",2
"912","appendage",3
"913","appendectomy",5
"914","appendicitis",5
"915","appendix",3
"916","appertain",3
"917","appetite",3
"918","appetizer",4
"919","applaud",2
"920","applause",2
"921","apple",2
"922","appliance",3
"923","applicability",6
"924","applicable",4
"925","applicant",3
"926","application",4
"927","applicator",4
"928","applied",2
"929","applique",3
"930","apply",2
"931","appoint",2
"932","appointee",3
"933","appointive",3
"934","appointment",3
"935","apportion",3
"936","apposite",3
"937","apposition",4
"938","appositive",4
"939","appraise",2
"940","appreciable",4
"941","appreciate",4
"942","appreciative",4
"943","apprehend",3
"944","apprehensive",4
"945","apprentice",3
"946","apprize",2
"947","approach",2
"948","approbation",4
"949","appropriate",4
"950","appropriation",5
"951","approval",3
"952","approve",2
"953","approximate",4
"954","approximation",5
"955","appurtenance",4
"956","apricot",3
"957","april",2
"958","apron",2
"959","apropos",3
"960","apse",1
"961","apt",1
"962","aptitude",3
"963","aquacade",3
"964","aqualung",3
"965","aquamarine",4
"966","aquaplane",3
"967","aquarium",4
"968","aquarius",4
"969","aquatic",3
"970","aqueduct",3
"971","aqueous",3
"972","aquiline",3
"973","arab",2
"974","arabesque",3
"975","arabian",4
"976","arabic",3
"977","arable",3
"978","arbalist",3
"979","arbiter",3
"980","arbitrament",4
"981","arbitrarily",5
"982","arbitrariness",5
"983","arbitrary",4
"984","arbitrate",3
"985","arbitration",4
"986","arbitrator",4
"987","arbor",2
"988","arboreal",4
"989","arboretum",4
"990","arborvitae",4
"991","arbutus",3
"992","arc",1
"993","arcade",2
"994","arcane",2
"995","arch",1
"996","archaeology",5
"997","archaic",3
"998","archangel",3
"999","archbishop",3
"1000","archduke",2
"1001","archenemy",4
"1002","archer",2
"1003","archery",3
"1004","archetype",3
"1005","archfiend",2
"1006","archiepiscopal",6
"1007","archimandrite",4
"1008","archipelago",5
"1009","architect",3
"1010","architectonic",5
"1011","architectural",5
"1012","architecture",4
"1013","architrave",3
"1014","archive",2
"1015","archivist",3
"1016","archon",2
"1017","archway",2
"1018","arctic",2
"1019","ardent",2
"1020","ardor",2
"1021","arduous",3
"1022","are",1
"1023","area",3
"1024","arena",3
"1025","argent",2
"1026","argentine",3
"1027","argon",2
"1028","argosy",3
"1029","argot",2
"1030","arguable",4
"1031","argue",2
"1032","argumentation",5
"1033","argumentative",5
"1034","argyle",2
"1035","aria",3
"1036","arid",2
"1037","aridity",4
"1038","aries",3
"1039","aright",2
"1040","arise",2
"1041","aristocracy",5
"1042","aristocrat",4
"1043","aristocratic",5
"1044","arithmetic",4
"1045","arithmetical",5
"1046","arithmetician",5
"1047","ark",1
"1048","arm",1
"1049","armada",3
"1050","armadillo",4
"1051","armageddon",4
"1052","armament",3
"1053","armature",3
"1054","armchair",2
"1055","armhole",2
"1056","armistice",3
"1057","armlet",2
"1058","armor",2
"1059","armorial",4
"1060","armory",3
"1061","armpit",2
"1062","army",2
"1063","arnica",3
"1064","aroma",3
"1065","aromatic",4
"1066","around",2
"1067","arouse",2
"1068","arpeggio",3
"1069","arraign",2
"1070","arrange",2
"1071","arrant",2
"1072","arras",2
"1073","array",2
"1074","arrears",2
"1075","arrest",2
"1076","arrival",3
"1077","arrogant",3
"1078","arrogate",3
"1079","arrow",2
"1080","arroyo",3
"1081","arsenal",2
"1082","arsenic",2
"1083","arsenical",4
"1084","arsenious",4
"1085","arson",2
"1086","art",1
"1087","artefact",3
"1088","arterial",4
"1089","arteriosclerosis",7
"1090","artery",3
"1091","artful",2
"1092","arthritis",3
"1093","arthropod",3
"1094","artichoke",3
"1095","article",3
"1096","articular",4
"1097","articulate",4
"1098","articulation",5
"1099","artifice",3
"1100","artificer",4
"1101","artificial",4
"1102","artillery",4
"1103","artisan",3
"1104","artist",2
"1105","artiste",2
"1106","artistic",3
"1107","artistry",3
"1108","artless",2
"1109","arty",2
"1110","arum",2
"1111","aryan",3
"1112","as",1
"1114","asafoetida",5
"1115","asbestus",3
"1116","ascend",2
"1117","ascendency",4
"1118","ascendent",3
"1119","ascension",3
"1120","ascent",2
"1121","ascertain",3
"1122","ascetic",3
"1123","ascribe",2
"1124","aseptic",3
"1125","asexual",4
"1126","ash",1
"1127","ashamed",2
"1128","ashen",2
"1129","ashlar",2
"1130","ashore",2
"1131","ashy",2
"1132","asian",2
"1133","aside",2
"1134","asinine",3
"1135","asininity",5
"1136","ask",1
"1137","askance",2
"1138","askew",2
"1139","aslant",2
"1140","asleep",2
"1141","asp",1
"1142","asparagus",4
"1143","aspect",2
"1144","aspen",2
"1145","asperity",4
"1146","aspersion",3
"1147","asphalt",2
"1148","asphodel",3
"1149","asphyxiate",4
"1150","aspic",2
"1151","aspirant",3
"1152","aspiration",4
"1153","aspire",2
"1154","aspirin",3
"1155","ass",1
"1156","assail",2
"1157","assassin",3
"1158","assault",2
"1159","assay",2
"1161","assemblage",3
"1162","assemble",3
"1163","assembly",3
"1164","assent",2
"1165","assert",2
"1166","assertion",3
"1167","assess",2
"1168","asset",2
"1169","asseverate",4
"1170","assiduity",5
"1171","assiduous",4
"1172","assiduously",5
"1173","assign",2
"1174","assignation",4
"1175","assignment",3
"1176","assimilate",4
"1177","assist",2
"1178","assistant",3
"1179","assize",2
"1180","associate",4
"1181","association",5
"1182","associative",5
"1183","assonance",3
"1184","assort",2
"1185","assuage",2
"1186","assume",2
"1187","assumption",3
"1188","assurance",3
"1189","assure",2
"1190","assured",2
"1191","astatine",3
"1192","aster",2
"1193","asterisk",3
"1194","astern",2
"1195","asteroid",3
"1196","asthma",2
"1197","asthmatic",3
"1198","astigmatism",5
"1199","astir",2
"1200","astonish",3
"1201","astound",2
"1202","astraddle",3
"1203","astrakhan",3
"1204","astral",2
"1205","astray",2
"1206","astride",2
"1207","astringent",3
"1208","astrolabe",3
"1209","astrological",5
"1210","astrology",4
"1211","astronaut",3
"1212","astronautical",5
"1213","astronomical",5
"1214","astronomy",4
"1215","astrophysics",4
"1216","astute",2
"1217","asunder",3
"1218","asylum",3
"1219","asymmetric",4
"1220","at",1
"1222","atavism",4
"1223","atavistic",4
"1224","ate",1
"1225","atelier",3
"1226","atheism",4
"1227","atheist",3
"1228","atheistic",4
"1229","atheneum",4
"1230","athirst",2
"1231","athlete",2
"1232","athletic",3
"1233","athwart",2
"1234","atilt",2
"1235","atlas",2
"1236","atmosphere",3
"1237","atmospheric",4
"1238","atoll",2
"1239","atom",2
"1240","atomic",3
"1241","atomics",3
"1242","atomize",3
"1243","atonal",3
"1244","atonality",5
"1245","atonally",4
"1246","atone",2
"1247","atop",2
"1248","atrium",3
"1249","atrocious",3
"1250","atrocity",4
"1251","atrophy",3
"1252","atropine",3
"1253","attach",2
"1254","attache",3
"1255","attachment",3
"1256","attack",2
"1257","attain",2
"1258","attainability",6
"1259","attainder",3
"1260","attainment",3
"1261","attaint",2
"1262","attar",2
"1263","attempt",2
"1264","attend",2
"1265","attendance",3
"1266","attention",3
"1267","attenuate",4
"1268","attenuation",5
"1269","attest",2
"1270","attestation",4
"1271","attic",2
"1272","attire",2
"1273","attitude",3
"1274","attitudinize",5
"1275","attorney",3
"1276","attract",2
"1277","attraction",3
"1278","attributable",5
"1279","attribute",3
"1281","attribution",4
"1282","attributive",4
"1283","attrition",3
"1284","attune",2
"1285","atypical",4
"1286","auburn",2
"1287","auction",2
"1288","auctioneer",3
"1289","auctorial",4
"1290","audacious",3
"1291","audacity",4
"1292","audibility",5
"1293","audible",3
"1294","audibly",3
"1295","audience",3
"1296","audio",3
"1297","audiophile",4
"1298","audiovisual",6
"1299","audit",2
"1300","audition",3
"1301","auditor",3
"1302","auditorium",5
"1303","auditory",4
"1304","auger",2
"1305","aught",1
"1306","augment",2
"1307","augmentation",4
"1308","augur",2
"1309","augury",3
"1310","august",2
"1312","auk",1
"1313","auld",1
"1314","aunt",1
"1315","aura",2
"1316","aural",2
"1317","aurar",2
"1318","aureate",3
"1319","aureole",3
"1320","auricle",3
"1321","auricular",4
"1322","auriferous",4
"1323","aurora",3
"1324","auspice",2
"1325","auspicious",3
"1326","austere",2
"1327","austerity",4
"1328","austral",2
"1329","australian",3
"1330","austrian",3
"1331","authentic",3
"1332","authenticate",4
"1333","authenticity",5
"1334","author",2
"1335","authoritarian",6
"1336","authoritative",5
"1337","authority",4
"1338","authorization",5
"1339","authorize",3
"1340","authorship",3
"1341","auto",2
"1342","autobahn",3
"1343","autobiography",6
"1344","autochthonous",4
"1345","autocracy",4
"1346","autocrat",3
"1347","autocratic",4
"1348","autograph",3
"1349","autointoxication",7
"1350","automate",3
"1351","automatic",4
"1352","automation",4
"1353","automatize",4
"1354","automaton",4
"1355","automobile",4
"1356","automotive",4
"1357","autonomous",4
"1358","autopsy",3
"1359","autumn",2
"1360","autumnal",3
"1361","auxiliary",4
"1362","auxin",2
"1363","avail",2
"1364","available",4
"1365","avalanche",3
"1366","avarice",3
"1367","avaricious",4
"1368","avast",2
"1369","avatar",3
"1370","avaunt",2
"1371","ave",2
"1372","avenge",2
"1373","avenue",3
"1374","aver",2
"1375","average",3
"1376","averment",3
"1377","averse",2
"1378","aversion",3
"1379","avert",2
"1380","avian",3
"1381","aviary",4
"1382","aviation",4
"1383","aviator",4
"1384","aviatrix",4
"1385","avid",2
"1386","avidity",4
"1387","avidly",3
"1388","avionics",4
"1389","avitaminosis",6
"1390","avocado",4
"1391","avocation",4
"1392","avoid",2
