"","name","per.freq","cum.freq","rank","gender","gender2","pred.sex"
"97","ANNIE",0.216,42.458,97,"F","F","F"
"98","LILLIAN",0.211,42.669,98,"F","F","F"
"99","EMILY",0.208,42.877,99,"F","F","F"
"100","ROBIN",0.208,43.085,100,"F","B","F"
"101","PEGGY",0.208,43.293,101,"F","F","F"
"102","CRYSTAL",0.207,43.5,102,"F","F","F"
"103","GLADYS",0.205,43.705,103,"F","F","F"
"104","RITA",0.204,43.908,104,"F","F","F"
"105","DAWN",0.202,44.111,105,"F","F","F"
"106","CONNIE",0.2,44.311,106,"F","B","F"
"107","FLORENCE",0.2,44.511,107,"F","F","F"
"108","TRACY",0.197,44.708,108,"F","B","F"
"109","EDNA",0.197,44.904,109,"F","F","F"
"110","TIFFANY",0.195,45.1,110,"F","F","F"
"111","CARMEN",0.195,45.295,111,"F","B","F"
"112","ROSA",0.194,45.489,112,"F","F","F"
"113","CINDY",0.192,45.681,113,"F","F","F"
"114","GRACE",0.189,45.869,114,"F","F","F"
"115","WENDY",0.185,46.055,115,"F","F","F"
"116","VICTORIA",0.18,46.235,116,"F","F","F"
"117","EDITH",0.179,46.414,117,"F","F","F"
"118","KIM",0.178,46.592,118,"F","B","F"
"119","SHERRY",0.178,46.77,119,"F","F","F"
"120","SYLVIA",0.177,46.947,120,"F","F","F"
"121","JOSEPHINE",0.177,47.123,121,"F","F","F"
"122","THELMA",0.175,47.298,122,"F","F","F"
"123","SHANNON",0.175,47.473,123,"F","B","F"
"124","SHEILA",0.175,47.648,124,"F","F","F"
"125","ETHEL",0.174,47.822,125,"F","F","F"
"126","ELLEN",0.173,47.995,126,"F","F","F"
"127","ELAINE",0.173,48.168,127,"F","F","F"
"128","MARJORIE",0.173,48.341,128,"F","F","F"
"129","CARRIE",0.171,48.512,129,"F","F","F"
"130","CHARLOTTE",0.169,48.68,130,"F","F","F"
"131","MONICA",0.166,48.847,131,"F","F","F"
"132","ESTHER",0.166,49.013,132,"F","F","F"
"133","PAULINE",0.165,49.178,133,"F","F","F"
"134","EMMA",0.165,49.342,134,"F","F","F"
"135","JUANITA",0.164,49.506,135,"F","F","F"
"136","ANITA",0.162,49.669,136,"F","F","F"
"137","RHONDA",0.162,49.83,137,"F","F","F"
"138","HAZEL",0.161,49.991,138,"F","F","F"
"139","AMBER",0.16,50.151,139,"F","F","F"
"140","EVA",0.159,50.31,140,"F","F","F"
"141","DEBBIE",0.157,50.467,141,"F","F","F"
"142","APRIL",0.154,50.621,142,"F","F","F"
"143","LESLIE",0.154,50.775,143,"F","B","F"
"144","CLARA",0.153,50.928,144,"F","F","F"
"145","LUCILLE",0.153,51.081,145,"F","F","F"
"146","JAMIE",0.153,51.235,146,"F","B","F"
"147","JOANNE",0.15,51.385,147,"F","F","F"
"148","ELEANOR",0.15,51.535,148,"F","F","F"
"149","VALERIE",0.149,51.684,149,"F","F","F"
"150","DANIELLE",0.149,51.833,150,"F","F","F"
"151","MEGAN",0.147,51.981,151,"F","F","F"
"152","ALICIA",0.146,52.126,152,"F","F","F"
"153","SUZANNE",0.145,52.272,153,"F","F","F"
"154","MICHELE",0.145,52.417,154,"F","F","F"
"155","GAIL",0.145,52.562,155,"F","B","F"
"156","BERTHA",0.143,52.704,156,"F","F","F"
"157","DARLENE",0.142,52.847,157,"F","F","F"
"158","VERONICA",0.142,52.989,158,"F","F","F"
"159","JILL",0.142,53.131,159,"F","F","F"
"160","ERIN",0.141,53.272,160,"F","B","F"
"161","GERALDINE",0.141,53.413,161,"F","F","F"
"162","LAUREN",0.137,53.55,162,"F","B","F"
"163","CATHY",0.137,53.687,163,"F","F","F"
"164","JOANN",0.136,53.823,164,"F","F","F"
"165","LORRAINE",0.135,53.958,165,"F","F","F"
"166","LYNN",0.135,54.093,166,"F","B","F"
"167","SALLY",0.135,54.228,167,"F","F","F"
"168","REGINA",0.133,54.36,168,"F","F","F"
"169","ERICA",0.13,54.49,169,"F","F","F"
"170","BEATRICE",0.13,54.62,170,"F","F","F"
"171","DOLORES",0.129,54.749,171,"F","F","F"
"172","BERNICE",0.128,54.877,172,"F","F","F"
"173","AUDREY",0.127,55.003,173,"F","F","F"
"174","YVONNE",0.126,55.129,174,"F","F","F"
"175","ANNETTE",0.125,55.255,175,"F","F","F"
"176","JUNE",0.125,55.38,176,"F","F","F"
"177","SAMANTHA",0.124,55.504,177,"F","F","F"
"178","MARION",0.122,55.626,178,"F","B","F"
"179","DANA",0.122,55.748,179,"F","B","F"
"180","STACY",0.121,55.869,180,"F","B","F"
"181","ANA",0.12,55.989,181,"F","F","F"
"182","RENEE",0.12,56.109,182,"F","F","F"
"183","IDA",0.118,56.227,183,"F","F","F"
"184","VIVIAN",0.118,56.346,184,"F","F","F"
"185","ROBERTA",0.117,56.463,185,"F","F","F"
"186","HOLLY",0.117,56.58,186,"F","F","F"
"187","BRITTANY",0.117,56.697,187,"F","F","F"
"188","MELANIE",0.116,56.813,188,"F","F","F"
"189","LORETTA",0.115,56.928,189,"F","F","F"
"190","YOLANDA",0.115,57.043,190,"F","F","F"
"191","JEANETTE",0.115,57.158,191,"F","F","F"
"192","LAURIE",0.114,57.271,192,"F","F","F"
"193","KATIE",0.113,57.385,193,"F","F","F"
"194","KRISTEN",0.111,57.496,194,"F","F","F"
"195","VANESSA",0.111,57.607,195,"F","F","F"
"196","ALMA",0.111,57.718,196,"F","F","F"
"197","SUE",0.111,57.829,197,"F","F","F"
"198","ELSIE",0.11,57.939,198,"F","F","F"
"199","BETH",0.11,58.049,199,"F","F","F"
"200","JEANNE",0.109,58.158,200,"F","F","F"
"201","VICKI",0.109,58.267,201,"F","F","F"
"202","CARLA",0.107,58.374,202,"F","F","F"
"203","TARA",0.107,58.482,203,"F","F","F"
"204","ROSEMARY",0.107,58.589,204,"F","F","F"
"205","EILEEN",0.105,58.694,205,"F","F","F"
"206","TERRI",0.105,58.799,206,"F","F","F"
"207","GERTRUDE",0.103,58.902,207,"F","F","F"
"208","LUCY",0.103,59.005,208,"F","F","F"
"209","TONYA",0.102,59.107,209,"F","F","F"
"210","ELLA",0.101,59.208,210,"F","F","F"
"211","STACEY",0.101,59.308,211,"F","B","F"
"212","WILMA",0.099,59.408,212,"F","F","F"
"213","GINA",0.099,59.506,213,"F","F","F"
"214","KRISTIN",0.099,59.605,214,"F","F","F"
"215","JESSIE",0.098,59.703,215,"F","B","F"
"216","NATALIE",0.098,59.801,216,"F","F","F"
"217","AGNES",0.098,59.899,217,"F","F","F"
"218","VERA",0.098,59.997,218,"F","F","F"
"219","WILLIE",0.097,60.094,219,"F","B","M"
"220","CHARLENE",0.097,60.191,220,"F","F","F"
"221","BESSIE",0.096,60.287,221,"F","F","F"
"222","DELORES",0.095,60.382,222,"F","F","F"
"223","MELINDA",0.094,60.477,223,"F","F","F"
"224","PEARL",0.094,60.571,224,"F","F","F"
"225","ARLENE",0.094,60.665,225,"F","F","F"
"226","MAUREEN",0.092,60.757,226,"F","F","F"
"227","COLLEEN",0.092,60.849,227,"F","F","F"
"228","ALLISON",0.092,60.941,228,"F","F","F"
"229","TAMARA",0.092,61.033,229,"F","F","F"
"230","JOY",0.091,61.124,230,"F","F","F"
"231","GEORGIA",0.091,61.215,231,"F","F","F"
"232","CONSTANCE",0.091,61.305,232,"F","F","F"
"233","LILLIE",0.09,61.396,233,"F","F","F"
"234","CLAUDIA",0.09,61.485,234,"F","F","F"
"235","JACKIE",0.09,61.575,235,"F","B","F"
"236","MARCIA",0.09,61.665,236,"F","F","F"
"237","TANYA",0.089,61.754,237,"F","F","F"
"238","NELLIE",0.089,61.843,238,"F","F","F"
"239","MINNIE",0.089,61.931,239,"F","F","F"
"240","MARLENE",0.088,62.02,240,"F","F","F"
"241","HEIDI",0.088,62.108,241,"F","F","F"
"242","GLENDA",0.088,62.195,242,"F","F","F"
"243","LYDIA",0.086,62.281,243,"F","F","F"
"244","VIOLA",0.086,62.367,244,"F","F","F"
"245","COURTNEY",0.086,62.453,245,"F","B","F"
"246","MARIAN",0.086,62.539,246,"F","F","F"
"247","STELLA",0.085,62.623,247,"F","F","F"
"248","CAROLINE",0.085,62.708,248,"F","F","F"
"249","DORA",0.084,62.792,249,"F","F","F"
"250","JO",0.083,62.875,250,"F","F","F"
"251","VICKIE",0.082,62.957,251,"F","F","F"
"252","MATTIE",0.081,63.038,252,"F","F","F"
"253","TERRY",0.08,63.118,253,"F","B","M"
"254","MAXINE",0.079,63.198,254,"F","F","F"
"255","IRMA",0.079,63.277,255,"F","F","F"
"256","MABEL",0.078,63.355,256,"F","F","F"
"257","MARSHA",0.078,63.434,257,"F","F","F"
"258","MYRTLE",0.078,63.511,258,"F","F","F"
"259","LENA",0.077,63.589,259,"F","F","F"
"260","CHRISTY",0.077,63.665,260,"F","F","F"
"261","DEANNA",0.076,63.742,261,"F","F","F"
"262","PATSY",0.076,63.818,262,"F","F","F"
"263","HILDA",0.075,63.893,263,"F","F","F"
"264","GWENDOLYN",0.074,63.967,264,"F","F","F"
"265","JENNIE",0.073,64.04,265,"F","F","F"
"266","NORA",0.073,64.113,266,"F","F","F"
"267","MARGIE",0.072,64.185,267,"F","F","F"
"268","NINA",0.072,64.257,268,"F","F","F"
"269","CASSANDRA",0.072,64.329,269,"F","F","F"
"270","LEAH",0.072,64.401,270,"F","F","F"
"271","PENNY",0.071,64.472,271,"F","F","F"
"272","KAY",0.071,64.543,272,"F","F","F"
"273","PRISCILLA",0.071,64.614,273,"F","F","F"
"274","NAOMI",0.071,64.684,274,"F","F","F"
"275","CAROLE",0.071,64.755,275,"F","F","F"
"276","BRANDY",0.07,64.825,276,"F","F","F"
"277","OLGA",0.07,64.895,277,"F","F","F"
"278","BILLIE",0.069,64.964,278,"F","B","F"
"279","DIANNE",0.069,65.033,279,"F","F","F"
"280","TRACEY",0.069,65.102,280,"F","B","F"
"281","LEONA",0.069,65.171,281,"F","F","F"
"282","JENNY",0.068,65.239,282,"F","F","F"
"283","FELICIA",0.068,65.307,283,"F","F","F"
"284","SONIA",0.068,65.374,284,"F","F","F"
"285","MIRIAM",0.066,65.44,285,"F","F","F"
"286","VELMA",0.066,65.506,286,"F","F","F"
"287","BECKY",0.066,65.572,287,"F","F","F"
"288","BOBBIE",0.065,65.637,288,"F","B","F"
"289","VIOLET",0.065,65.702,289,"F","F","F"
"290","KRISTINA",0.065,65.767,290,"F","F","F"
"291","TONI",0.064,65.831,291,"F","F","F"
"292","MISTY",0.063,65.894,292,"F","F","F"
"293","MAE",0.063,65.957,293,"F","F","F"
"294","SHELLY",0.062,66.019,294,"F","F","F"
"295","DAISY",0.062,66.081,295,"F","F","F"
"296","RAMONA",0.062,66.143,296,"F","F","F"
"297","SHERRI",0.062,66.205,297,"F","F","F"
"298","ERIKA",0.061,66.267,298,"F","F","F"
"299","KATRINA",0.061,66.328,299,"F","F","F"
"300","CLAIRE",0.061,66.388,300,"F","F","F"
"301","LINDSEY",0.06,66.448,301,"F","B","F"
"302","LINDSAY",0.06,66.507,302,"F","B","F"
"303","GENEVA",0.059,66.567,303,"F","F","F"
"304","GUADALUPE",0.059,66.626,304,"F","B","F"
"305","BELINDA",0.059,66.685,305,"F","F","F"
"306","MARGARITA",0.059,66.743,306,"F","F","F"
"307","SHERYL",0.059,66.802,307,"F","F","F"
"308","CORA",0.058,66.86,308,"F","F","F"
"309","FAYE",0.058,66.917,309,"F","F","F"
"310","ADA",0.057,66.975,310,"F","F","F"
"311","NATASHA",0.057,67.032,311,"F","F","F"
"312","SABRINA",0.057,67.089,312,"F","F","F"
"313","ISABEL",0.057,67.146,313,"F","F","F"
"314","MARGUERITE",0.056,67.202,314,"F","F","F"
"315","HATTIE",0.056,67.257,315,"F","F","F"
"316","HARRIET",0.056,67.313,316,"F","F","F"
"317","MOLLY",0.055,67.368,317,"F","F","F"
"318","CECILIA",0.055,67.424,318,"F","F","F"
"319","KRISTI",0.055,67.479,319,"F","F","F"
"320","BRANDI",0.055,67.534,320,"F","F","F"
"321","BLANCHE",0.055,67.589,321,"F","F","F"
"322","SANDY",0.055,67.644,322,"F","B","F"
"323","ROSIE",0.055,67.699,323,"F","F","F"
"324","JOANNA",0.055,67.754,324,"F","F","F"
"325","IRIS",0.055,67.808,325,"F","F","F"
"326","EUNICE",0.054,67.863,326,"F","F","F"
"327","ANGIE",0.054,67.917,327,"F","F","F"
"328","INEZ",0.053,67.97,328,"F","F","F"
"329","LYNDA",0.053,68.023,329,"F","F","F"
"330","MADELINE",0.052,68.075,330,"F","F","F"
"331","AMELIA",0.052,68.127,331,"F","F","F"
"332","ALBERTA",0.052,68.179,332,"F","F","F"
"333","GENEVIEVE",0.051,68.23,333,"F","F","F"
"334","MONIQUE",0.051,68.282,334,"F","F","F"
"335","JODI",0.051,68.333,335,"F","F","F"
"336","JANIE",0.051,68.385,336,"F","F","F"
"337","MAGGIE",0.051,68.436,337,"F","F","F"
"338","KAYLA",0.051,68.487,338,"F","F","F"
"339","SONYA",0.051,68.538,339,"F","F","F"
"340","JAN",0.051,68.589,340,"F","B","F"
"341","LEE",0.051,68.641,341,"F","B","M"
"342","KRISTINE",0.051,68.691,342,"F","F","F"
"343","CANDACE",0.051,68.742,343,"F","F","F"
"344","FANNIE",0.05,68.792,344,"F","F","F"
"345","MARYANN",0.05,68.843,345,"F","F","F"
"346","OPAL",0.05,68.893,346,"F","F","F"
"347","ALISON",0.05,68.943,347,"F","F","F"
"348","YVETTE",0.05,68.993,348,"F","F","F"
"349","MELODY",0.05,69.043,349,"F","F","F"
"350","LUZ",0.049,69.092,350,"F","F","F"
"351","SUSIE",0.049,69.142,351,"F","F","F"
"352","OLIVIA",0.049,69.191,352,"F","F","F"
"353","FLORA",0.049,69.24,353,"F","F","F"
"354","SHELLEY",0.049,69.288,354,"F","F","F"
"355","KRISTY",0.048,69.337,355,"F","F","F"
"356","MAMIE",0.048,69.385,356,"F","F","F"
"357","LULA",0.048,69.433,357,"F","F","F"
"358","LOLA",0.048,69.482,358,"F","F","F"
"359","VERNA",0.048,69.53,359,"F","F","F"
"360","BEULAH",0.048,69.577,360,"F","F","F"
"361","ANTOINETTE",0.048,69.625,361,"F","F","F"
"362","CANDICE",0.046,69.671,362,"F","F","F"
"363","JUANA",0.046,69.717,363,"F","F","F"
"364","JEANNETTE",0.046,69.763,364,"F","F","F"
"365","PAM",0.046,69.809,365,"F","F","F"
"366","KELLI",0.046,69.854,366,"F","F","F"
"367","HANNAH",0.045,69.899,367,"F","F","F"
"368","WHITNEY",0.045,69.944,368,"F","B","F"
"369","BRIDGET",0.045,69.989,369,"F","F","F"
"370","KARLA",0.044,70.034,370,"F","F","F"
"371","CELIA",0.044,70.078,371,"F","F","F"
"372","LATOYA",0.043,70.121,372,"F","F","F"
"373","PATTY",0.043,70.165,373,"F","F","F"
"374","SHELIA",0.043,70.208,374,"F","F","F"
"375","GAYLE",0.043,70.251,375,"F","B","F"
"376","DELLA",0.043,70.294,376,"F","F","F"
"377","VICKY",0.043,70.336,377,"F","F","F"
"378","LYNNE",0.043,70.379,378,"F","F","F"
"379","SHERI",0.042,70.421,379,"F","F","F"
"380","MARIANNE",0.042,70.463,380,"F","F","F"
"381","KARA",0.041,70.504,381,"F","F","F"
"382","JACQUELYN",0.041,70.544,382,"F","F","F"
"383","ERMA",0.041,70.585,383,"F","F","F"
"384","BLANCA",0.041,70.626,384,"F","F","F"
"385","MYRA",0.04,70.666,385,"F","F","F"
"386","LETICIA",0.04,70.706,386,"F","F","F"
"387","PAT",0.04,70.746,387,"F","B","F"
"388","KRISTA",0.04,70.786,388,"F","F","F"
"389","ROXANNE",0.04,70.826,389,"F","F","F"
"390","ANGELICA",0.039,70.865,390,"F","F","F"
"391","JOHNNIE",0.039,70.905,391,"F","B","M"
"392","ROBYN",0.039,70.944,392,"F","F","F"
"393","FRANCIS",0.039,70.983,393,"F","B","M"
"394","ADRIENNE",0.039,71.022,394,"F","F","F"
"395","ROSALIE",0.039,71.061,395,"F","F","F"
"396","ALEXANDRA",0.039,71.1,396,"F","F","F"
"397","BROOKE",0.039,71.139,397,"F","F","F"
"398","BETHANY",0.039,71.177,398,"F","F","F"
"399","SADIE",0.039,71.216,399,"F","F","F"
"400","BERNADETTE",0.039,71.254,400,"F","F","F"
"401","TRACI",0.038,71.293,401,"F","F","F"
"402","JODY",0.038,71.331,402,"F","B","F"
"403","KENDRA",0.038,71.369,403,"F","F","F"
"404","JASMINE",0.038,71.407,404,"F","F","F"
"405","NICHOLE",0.038,71.445,405,"F","F","F"
"406","RACHAEL",0.038,71.483,406,"F","F","F"
"407","CHELSEA",0.038,71.52,407,"F","F","F"
"408","MABLE",0.038,71.558,408,"F","F","F"
"409","ERNESTINE",0.038,71.596,409,"F","F","F"
"410","MURIEL",0.038,71.634,410,"F","F","F"
"411","MARCELLA",0.037,71.671,411,"F","F","F"
"412","ELENA",0.037,71.708,412,"F","F","F"
"413","KRYSTAL",0.037,71.745,413,"F","F","F"
"414","ANGELINA",0.037,71.781,414,"F","F","F"
"415","NADINE",0.036,71.818,415,"F","F","F"
"416","KARI",0.036,71.853,416,"F","F","F"
"417","ESTELLE",0.036,71.889,417,"F","F","F"
"418","DIANNA",0.036,71.925,418,"F","F","F"
"419","PAULETTE",0.036,71.961,419,"F","F","F"
"420","LORA",0.036,71.996,420,"F","F","F"
"421","MONA",0.035,72.032,421,"F","F","F"
"422","DOREEN",0.035,72.067,422,"F","F","F"
"423","ROSEMARIE",0.035,72.102,423,"F","F","F"
"424","ANGEL",0.035,72.137,424,"F","B","M"
"425","DESIREE",0.035,72.172,425,"F","F","F"
"426","ANTONIA",0.035,72.207,426,"F","B","F"
"427","HOPE",0.034,72.241,427,"F","F","F"
"428","GINGER",0.034,72.274,428,"F","F","F"
"429","JANIS",0.034,72.308,429,"F","F","F"
"430","BETSY",0.034,72.342,430,"F","F","F"
"431","CHRISTIE",0.034,72.375,431,"F","F","F"
"432","FREDA",0.034,72.409,432,"F","F","F"
"433","MERCEDES",0.033,72.442,433,"F","F","F"
"434","MEREDITH",0.033,72.475,434,"F","F","F"
"435","LYNETTE",0.033,72.508,435,"F","F","F"
"436","TERI",0.033,72.541,436,"F","F","F"
"437","CRISTINA",0.033,72.573,437,"F","F","F"
"438","EULA",0.033,72.606,438,"F","F","F"
"439","LEIGH",0.032,72.638,439,"F","B","F"
"440","MEGHAN",0.032,72.67,440,"F","F","F"
"441","SOPHIA",0.032,72.702,441,"F","F","F"
"442","ELOISE",0.032,72.734,442,"F","F","F"
"443","ROCHELLE",0.032,72.766,443,"F","F","F"
"444","GRETCHEN",0.032,72.798,444,"F","F","F"
"445","CECELIA",0.032,72.829,445,"F","F","F"
"446","RAQUEL",0.031,72.86,446,"F","F","F"
"447","HENRIETTA",0.031,72.891,447,"F","F","F"
"448","ALYSSA",0.031,72.922,448,"F","F","F"
"449","JANA",0.031,72.953,449,"F","F","F"
"450","KELLEY",0.031,72.983,450,"F","B","F"
"451","GWEN",0.031,73.014,451,"F","F","F"
"452","KERRY",0.031,73.044,452,"F","B","M"
"453","JENNA",0.03,73.075,453,"F","F","F"
"454","TRICIA",0.03,73.105,454,"F","F","F"
"455","LAVERNE",0.03,73.135,455,"F","B","F"
"456","OLIVE",0.03,73.165,456,"F","F","F"
"457","ALEXIS",0.03,73.195,457,"F","B","F"
"458","TASHA",0.03,73.225,458,"F","F","F"
"459","SILVIA",0.029,73.254,459,"F","F","F"
"460","ELVIRA",0.029,73.284,460,"F","F","F"
"461","CASEY",0.029,73.313,461,"F","B","M"
"462","DELIA",0.029,73.342,462,"F","F","F"
"463","SOPHIE",0.029,73.372,463,"F","F","F"
"464","KATE",0.029,73.401,464,"F","F","F"
"465","PATTI",0.029,73.43,465,"F","F","F"
"466","LORENA",0.029,73.459,466,"F","F","F"
"467","KELLIE",0.029,73.488,467,"F","F","F"
"468","SONJA",0.029,73.517,468,"F","F","F"
"469","LILA",0.029,73.546,469,"F","F","F"
"470","LANA",0.029,73.575,470,"F","F","F"
"471","DARLA",0.029,73.604,471,"F","F","F"
"472","MAY",0.029,73.633,472,"F","F","F"
"473","MINDY",0.029,73.661,473,"F","F","F"
"474","ESSIE",0.029,73.69,474,"F","F","F"
"475","MANDY",0.029,73.719,475,"F","F","F"
"476","LORENE",0.028,73.747,476,"F","F","F"
"477","ELSA",0.028,73.775,477,"F","F","F"
"478","JOSEFINA",0.028,73.804,478,"F","F","F"
"479","JEANNIE",0.028,73.832,479,"F","F","F"
"480","MIRANDA",0.028,73.86,480,"F","F","F"
"481","DIXIE",0.028,73.888,481,"F","F","F"
"482","LUCIA",0.028,73.916,482,"F","F","F"
"483","MARTA",0.028,73.944,483,"F","F","F"
"484","FAITH",0.028,73.972,484,"F","F","F"
"485","LELA",0.028,73.999,485,"F","F","F"
"486","JOHANNA",0.028,74.027,486,"F","F","F"
"487","SHARI",0.028,74.055,487,"F","F","F"
"488","CAMILLE",0.028,74.082,488,"F","F","F"
"489","TAMI",0.027,74.11,489,"F","F","F"
"490","SHAWNA",0.027,74.137,490,"F","F","F"
"491","ELISA",0.027,74.164,491,"F","F","F"
"492","EBONY",0.027,74.192,492,"F","F","F"
"493","MELBA",0.027,74.219,493,"F","F","F"
"494","ORA",0.027,74.246,494,"F","F","F"
"495","NETTIE",0.027,74.273,495,"F","F","F"
"496","TABITHA",0.027,74.3,496,"F","F","F"
"497","OLLIE",0.027,74.327,497,"F","B","F"
"498","JAIME",0.027,74.354,498,"F","B","M"
"499","WINIFRED",0.027,74.381,499,"F","F","F"
"500","KRISTIE",0.027,74.408,500,"F","F","F"
"501","MARINA",0.027,74.435,501,"F","F","F"
"502","ALISHA",0.027,74.462,502,"F","F","F"
"503","AIMEE",0.027,74.488,503,"F","F","F"
"504","RENA",0.027,74.515,504,"F","F","F"
"505","MYRNA",0.026,74.541,505,"F","F","F"
"506","MARLA",0.026,74.567,506,"F","F","F"
"507","TAMMIE",0.026,74.593,507,"F","F","F"
"508","LATASHA",0.026,74.619,508,"F","F","F"
"509","BONITA",0.026,74.645,509,"F","F","F"
"510","PATRICE",0.026,74.671,510,"F","F","F"
"511","RONDA",0.026,74.697,511,"F","F","F"
"512","SHERRIE",0.026,74.722,512,"F","F","F"
"513","ADDIE",0.026,74.748,513,"F","F","F"
"514","FRANCINE",0.025,74.773,514,"F","F","F"
"515","DELORIS",0.025,74.799,515,"F","F","F"
"516","STACIE",0.025,74.824,516,"F","F","F"
"517","ADRIANA",0.025,74.849,517,"F","F","F"
"518","CHERI",0.025,74.874,518,"F","F","F"
"519","SHELBY",0.025,74.899,519,"F","B","F"
