"","ID","Ubication","Level","Zone","Income","Employees","Taxes","SPAM"
"53","AB055","c1k53","Small","A",348,20,5,"yes"
"54","AB056","c1k54","Small","A",310,30,4,"yes"
"55","AB057","c1k55","Small","A",345,76,5,"yes"
"56","AB059","c1k56","Small","A",350,68,5,"yes"
"57","AB060","c1k57","Small","A",493,90,10.5,"no"
"58","AB061","c1k58","Small","A",363,73,6,"no"
"59","AB062","c1k59","Small","A",470,28,10,"yes"
"60","AB063","c1k60","Small","A",430,29,8,"no"
"61","AB064","c1k61","Small","A",350,76,5,"no"
"62","AB065","c1k62","Small","A",456,71,9,"yes"
"63","AB066","c1k63","Small","A",340,28,5,"yes"
"64","AB067","c1k64","Small","A",475,57,10,"no"
"65","AB068","c1k65","Small","A",360,61,5,"no"
"66","AB069","c1k66","Small","A",392,75,7,"no"
"67","AB070","c1k67","Small","A",331,60,4,"yes"
"68","AB071","c1k68","Small","A",360,29,5,"yes"
"69","AB072","c1k69","Small","A",390,95,7,"yes"
"70","AB074","c1k70","Small","A",330,67,4,"no"
"71","AB075","c1k71","Small","A",360,57,5,"yes"
"72","AB077","c1k72","Small","A",363,81,5,"yes"
"73","AB078","c1k73","Small","A",330,79,4,"yes"
"74","AB079","c1k74","Small","A",401,39,7,"no"
"75","AB080","c1k75","Small","A",416,32,7,"yes"
"76","AB081","c1k76","Small","A",313,82,4,"no"
"77","AB082","c1k77","Small","A",410,24,7,"yes"
"78","AB083","c1k78","Small","A",210,10,1,"no"
"79","AB084","c1k79","Small","A",304,74,4,"no"
"80","AB085","c1k80","Small","A",401,79,7,"yes"
"81","AB086","c1k81","Small","A",330,95,4,"no"
"82","AB087","c1k82","Small","A",238,83,2,"yes"
"83","AB088","c1k83","Small","A",260,84,2,"yes"
"84","AB089","c1k84","Small","A",481,65,10.5,"yes"
"85","AB092","c1k85","Small","A",490,66,10.5,"yes"
"86","AB099","c1k86","Small","A",456,75,9,"yes"
"87","AB100","c1k87","Small","A",490,62,10.5,"yes"
"88","AB101","c1k88","Small","A",494,34,10.5,"no"
"89","AB1044","c1k89","Small","A",491,26,10.5,"no"
"90","AB106","c1k90","Small","A",450,87,9,"yes"
"91","AB1098","c1k91","Small","A",285,65,3,"no"
"92","AB1118","c1k92","Small","A",460,79,9,"no"
"93","AB113","c1k93","Small","A",441,66,8,"no"
"94","AB1135","c1k94","Small","A",470,32,10,"yes"
"95","AB1151","c1k95","Small","A",490,98,10.5,"yes"
"96","AB116","c1k96","Small","A",480,53,10,"no"
"97","AB117","c1k97","Small","A",378,30,6,"no"
"98","AB1193","c1k98","Small","B",490,38,10.5,"yes"
"99","AB1194","c1k99","Small","B",480,49,10,"no"
"100","AB121","c2k1","Small","B",490,50,10.5,"yes"
"101","AB1219","c2k2","Small","B",437,41,8,"yes"
"102","AB122","c2k3","Small","B",66,69,0.5,"yes"
"103","AB1224","c2k4","Small","B",447,78,9,"no"
"104","AB1226","c2k5","Small","B",440,42,8,"no"
"105","AB1229","c2k6","Small","B",388,91,6,"no"
"106","AB123","c2k7","Small","B",120,6,0.5,"no"
"107","AB1238","c2k8","Small","B",450,79,9,"no"
"108","AB124","c2k9","Small","B",145,43,0.5,"no"
"109","AB1241","c2k10","Small","B",428,61,8,"no"
"110","AB125","c2k11","Small","B",211,26,1,"yes"
"111","AB1252","c2k12","Small","B",480,45,10,"yes"
"112","AB126","c2k13","Small","B",65,69,0.5,"yes"
"113","AB127","c2k14","Small","B",146,71,0.5,"no"
"114","AB128","c2k15","Small","B",1,57,0.5,"yes"
"115","AB129","c2k16","Small","B",10,65,0.5,"no"
"116","AB1293","c2k17","Small","B",494,102,10.5,"yes"
"117","AB130","c2k18","Small","B",160,56,1,"yes"
"118","AB1305","c2k19","Small","B",436,77,8,"yes"
"119","AB131","c2k20","Small","B",84,81,0.5,"yes"
"120","AB132","c2k21","Small","B",125,34,0.5,"no"
"121","AB133","c2k22","Small","B",28,73,0.5,"yes"
"122","AB1332","c2k23","Small","B",270,56,3,"no"
"123","AB1333","c2k24","Small","B",312,82,4,"no"
"124","AB1334","c2k25","Small","B",230,42,2,"yes"
"125","AB1335","c2k26","Small","B",290,29,3,"yes"
"126","AB1336","c2k27","Small","B",231,79,2,"no"
"127","AB1337","c2k28","Small","B",270,32,3,"no"
"128","AB1338","c2k29","Small","B",282,69,3,"yes"
"129","AB1339","c2k30","Small","B",320,71,4,"yes"
"130","AB134","c2k31","Small","B",202,37,1,"yes"
"131","AB1340","c2k32","Small","B",222,34,2,"yes"
"132","AB1341","c2k33","Small","B",304,18,4,"no"
"133","AB1342","c2k34","Small","B",290,93,3,"yes"
"134","AB1343","c2k35","Small","B",340,36,5,"no"
"135","AB1344","c2k36","Small","B",320,55,4,"no"
"136","AB1345","c2k37","Small","B",330,47,4,"yes"
"137","AB1346","c2k38","Small","B",340,96,5,"yes"
"138","AB1347","c2k39","Small","B",340,88,5,"yes"
"139","AB1348","c2k40","Small","B",211,74,1,"no"
"140","AB1349","c2k41","Small","B",250,83,2,"yes"
"141","AB135","c2k42","Small","B",211,54,1,"yes"
"142","AB1350","c2k43","Small","B",280,69,3,"no"
"143","AB1351","c2k44","Small","B",245,39,2,"no"
"144","AB1352","c2k45","Small","B",273,16,3,"yes"
"145","AB1353","c2k46","Small","B",240,83,2,"yes"
"146","AB1354","c2k47","Small","B",310,42,4,"no"
"147","AB1355","c2k48","Small","B",266,16,3,"no"
"148","AB1356","c2k49","Small","B",315,75,4,"yes"
"149","AB1357","c2k50","Small","B",350,77,5,"no"
"150","AB1358","c2k51","Small","B",384,70,6,"no"
"151","AB1359","c2k52","Small","B",370,70,6,"yes"
"152","AB136","c2k53","Small","B",75,21,0.5,"yes"
"153","AB1360","c2k54","Small","B",310,74,4,"no"
"154","AB1361","c2k55","Small","B",301,70,4,"no"
"155","AB1362","c2k56","Small","B",250,79,2,"yes"
"156","AB1363","c2k57","Small","B",320,11,4,"no"
"157","AB1364","c2k58","Small","B",257,64,2,"yes"
"158","AB1365","c2k59","Small","B",240,87,2,"yes"
"159","AB1366","c2k60","Small","B",230,10,2,"yes"
"160","AB1367","c2k61","Small","B",200,49,1,"yes"
"161","AB1368","c2k62","Small","B",262,84,2,"yes"
"162","AB1369","c2k63","Small","B",310,90,4,"yes"
"163","AB137","c2k64","Small","B",109,50,0.5,"yes"
"164","AB1370","c2k65","Small","B",310,58,4,"yes"
"165","AB1371","c2k66","Small","B",305,90,4,"no"
"166","AB1372","c2k67","Small","B",318,51,4,"yes"
"167","AB1373","c2k68","Small","B",355,33,5,"yes"
"168","AB1374","c2k69","Small","B",314,78,4,"yes"
"169","AB1375","c2k70","Small","B",265,48,3,"yes"
"170","AB1376","c2k71","Small","B",260,80,2,"yes"
"171","AB1377","c2k72","Small","B",280,65,3,"yes"
"172","AB1378","c2k73","Small","B",310,86,4,"no"
"173","AB1379","c2k74","Small","B",245,43,2,"no"
"174","AB138","c2k75","Small","B",70,17,0.5,"no"
"175","AB1380","c2k76","Small","B",301,14,4,"yes"
"176","AB1381","c2k77","Small","B",251,7,2,"yes"
"177","AB1382","c2k78","Small","B",319,55,4,"yes"
"178","AB1383","c2k79","Small","B",319,63,4,"yes"
"179","AB1384","c2k80","Small","B",312,50,4,"no"
"180","AB1385","c2k81","Small","B",340,60,5,"yes"
"181","AB1386","c2k82","Small","B",250,59,2,"yes"
"182","AB1387","c2k83","Small","B",260,88,2,"yes"
"183","AB1388","c2k84","Small","B",198,49,1,"no"
"184","AB1389","c2k85","Small","B",188,17,1,"yes"
"185","AB139","c2k86","Small","B",76,9,0.5,"yes"
"186","AB1390","c2k87","Small","B",210,54,1,"no"
"187","AB1391","c2k88","Small","B",290,77,3,"no"
"188","AB1392","c2k89","Small","B",313,14,4,"no"
"189","AB1393","c2k90","Small","B",260,32,2,"yes"
"190","AB1394","c2k91","Small","B",296,69,3,"no"
"191","AB1395","c2k92","Small","B",339,48,5,"no"
"192","AB1396","c2k93","Small","B",325,43,4,"yes"
"193","AB1397","c2k94","Small","B",350,48,5,"yes"
"194","AB1398","c2k95","Small","B",330,39,4,"yes"
"195","AB1399","c2k96","Small","B",230,23,2,"yes"
"196","AB140","c2k97","Small","B",108,66,0.5,"yes"
"197","AB1400","c2k98","Small","B",220,50,2,"no"
"198","AB1401","c2k99","Small","B",201,81,1,"yes"
"199","AB1402","c3k1","Small","B",280,61,3,"yes"
"200","AB1403","c3k2","Small","B",310,54,4,"yes"
"201","AB1404","c3k3","Small","B",334,60,5,"yes"
"202","AB1405","c3k4","Small","B",290,57,3,"yes"
"203","AB1406","c3k5","Small","B",310,50,4,"yes"
"204","AB1407","c3k6","Small","B",302,18,4,"yes"
"205","AB1408","c3k7","Small","B",263,56,3,"yes"
"206","AB1409","c3k8","Small","B",261,56,2,"no"
"207","AB141","c3k9","Small","B",128,66,0.5,"yes"
"208","AB1410","c3k10","Small","B",198,25,1,"no"
"209","AB1411","c3k11","Small","B",300,70,3,"no"
"210","AB1412","c3k12","Small","B",314,58,4,"yes"
"211","AB1413","c3k13","Small","B",199,49,1,"no"
"212","AB1414","c3k14","Small","B",280,77,3,"no"
"213","AB1415","c3k15","Small","B",240,87,2,"yes"
"214","AB1416","c3k16","Small","B",300,18,3,"yes"
"215","AB1417","c3k17","Small","B",310,18,4,"yes"
"216","AB1418","c3k18","Small","B",370,74,6,"no"
"217","AB1419","c3k19","Small","B",338,88,5,"yes"
"218","AB142","c3k20","Small","B",183,20,1,"no"
"219","AB1420","c3k21","Small","B",201,5,1,"no"
"220","AB1421","c3k22","Small","B",370,30,6,"no"
"221","AB1422","c3k23","Small","B",295,57,3,"no"
"222","AB1423","c3k24","Small","B",235,63,2,"yes"
"223","AB1424","c3k25","Small","B",236,19,2,"yes"
"224","AB1425","c3k26","Small","B",287,25,3,"yes"
"225","AB1426","c3k27","Small","B",330,67,4,"yes"
"226","AB1427","c3k28","Small","B",300,57,3,"yes"
"227","AB1428","c3k29","Small","B",300,33,3,"yes"
"228","AB1429","c3k30","Small","B",370,58,6,"no"
"229","AB143","c3k31","Small","B",54,17,0.5,"no"
"230","AB1430","c3k32","Small","B",250,23,2,"no"
"231","AB1431","c3k33","Small","B",240,79,2,"no"
"232","AB1432","c3k34","Small","B",240,87,2,"yes"
"233","AB1433","c3k35","Small","B",211,26,1,"yes"
"234","AB1434","c3k36","Small","B",257,44,2,"yes"
"235","AB1435","c3k37","Small","B",252,52,2,"no"
"236","AB1436","c3k38","Small","B",215,86,2,"no"
"237","AB1437","c3k39","Small","B",240,67,2,"no"
"238","AB1438","c3k40","Small","B",290,89,3,"yes"
"239","AB1439","c3k41","Small","B",297,57,3,"no"
"240","AB144","c3k42","Small","B",103,81,0.5,"no"
"241","AB1440","c3k43","Small","B",270,28,3,"yes"
"242","AB1441","c3k44","Small","B",351,29,5,"yes"
"243","AB1442","c3k45","Small","B",301,86,4,"no"
"244","AB1443","c3k46","Small","B",310,78,4,"yes"
"245","AB1444","c3k47","Small","B",390,19,7,"yes"
"246","AB1445","c3k48","Small","B",312,86,4,"yes"
"247","AB1446","c3k49","Small","B",333,48,5,"yes"
"248","AB1447","c3k50","Small","B",340,24,5,"yes"
"249","AB1448","c3k51","Small","B",301,14,4,"yes"
"250","AB1449","c3k52","Small","B",470,36,10,"yes"
"251","AB145","c3k53","Small","B",62,57,0.5,"no"
"252","AB1450","c3k54","Small","B",334,80,5,"no"
"253","AB1451","c3k55","Small","B",232,47,2,"no"
"254","AB1452","c3k56","Small","B",294,49,3,"no"
"255","AB1453","c3k57","Small","B",290,57,3,"yes"
"256","AB1454","c3k58","Small","B",335,44,5,"yes"
"257","AB1455","c3k59","Small","B",270,76,3,"yes"
"258","AB1456","c3k60","Small","B",225,34,2,"no"
"259","AB1457","c3k61","Small","B",330,96,4,"yes"
"260","AB1458","c3k62","Small","B",320,75,4,"no"
"261","AB1459","c3k63","Small","B",204,65,1,"yes"
"262","AB146","c3k64","Small","B",82,13,0.5,"no"
"263","AB1460","c3k65","Small","B",300,78,3,"yes"
"264","AB1461","c3k66","Small","B",268,84,3,"yes"
"265","AB1462","c3k67","Small","B",330,32,4,"yes"
"266","AB1463","c3k68","Small","B",350,45,5,"yes"
"267","AB1464","c3k69","Small","B",314,18,4,"no"
"268","AB1465","c3k70","Small","B",258,84,2,"no"
"269","AB1466","c3k71","Small","B",209,78,1,"yes"
"270","AB1467","c3k72","Small","B",290,57,3,"yes"
"271","AB1468","c3k73","Small","B",225,6,2,"no"
"272","AB1469","c3k74","Small","B",200,65,1,"yes"
"273","AB147","c3k75","Small","B",144,63,0.5,"yes"
"274","AB1470","c3k76","Small","B",278,85,3,"yes"
"275","AB1471","c3k77","Small","B",281,25,3,"yes"
"276","AB1472","c3k78","Small","B",373,90,6,"yes"
"277","AB1473","c3k79","Small","B",315,35,4,"yes"
"278","AB1474","c3k80","Small","B",248,27,2,"yes"
"279","AB1475","c3k81","Small","B",210,10,1,"yes"
"280","AB1476","c3k82","Small","B",260,84,2,"yes"
"281","AB1477","c3k83","Small","B",307,26,4,"yes"
"282","AB1478","c3k84","Small","B",267,88,3,"no"
"283","AB1479","c3k85","Small","B",271,20,3,"no"
"284","AB148","c3k86","Small","B",91,29,0.5,"no"
"285","AB1480","c3k87","Small","B",210,14,1,"yes"
"286","AB1481","c3k88","Small","B",220,86,2,"no"
"287","AB1482","c3k89","Small","B",250,51,2,"no"
"288","AB1483","c3k90","Small","B",278,61,3,"yes"
"289","AB1484","c3k91","Small","B",337,84,5,"no"
"290","AB1485","c3k92","Small","B",300,90,3,"no"
"291","AB1486","c3k93","Small","B",320,51,4,"no"
"292","AB1487","c3k94","Small","B",280,21,3,"yes"
"293","AB1488","c3k95","Small","B",209,30,1,"yes"
"294","AB1489","c3k96","Small","B",333,80,5,"no"
"295","AB149","c3k97","Small","B",118,70,0.5,"no"
"296","AB1490","c3k98","Small","B",245,67,2,"no"
"297","AB1491","c3k99","Small","B",296,13,3,"yes"
"298","AB1492","c4k1","Small","B",224,14,2,"yes"
"299","AB1493","c4k2","Small","B",225,42,2,"no"
"300","AB1494","c4k3","Small","B",215,30,2,"yes"
"301","AB1495","c4k4","Small","B",240,31,2,"yes"
"302","AB1496","c4k5","Small","B",202,73,1,"no"
"303","AB1497","c4k6","Small","B",330,27,4,"yes"
"304","AB1498","c4k7","Small","B",360,53,5,"yes"
"305","AB1499","c4k8","Small","B",230,43,2,"no"
"306","AB150","c4k9","Small","B",102,81,0.5,"no"
"307","AB1500","c4k10","Small","B",190,13,1,"no"
"308","AB1501","c4k11","Small","B",250,23,2,"yes"
"309","AB1502","c4k12","Small","B",253,44,2,"yes"
"310","AB1503","c4k13","Small","B",273,20,3,"yes"
"311","AB1504","c4k14","Small","B",316,19,4,"yes"
"312","AB1505","c4k15","Small","B",345,12,5,"yes"
"313","AB1506","c4k16","Small","B",275,68,3,"yes"
"314","AB1507","c4k17","Small","B",230,38,2,"yes"
"315","AB1508","c4k18","Small","B",280,65,3,"no"
"316","AB1509","c4k19","Small","B",227,6,2,"yes"
"317","AB151","c4k20","Small","B",159,76,1,"yes"
"318","AB1510","c4k21","Small","B",260,12,2,"yes"
"319","AB1511","c4k22","Small","B",360,37,5,"no"
"320","AB1512","c4k23","Small","B",239,19,2,"yes"
"321","AB1513","c4k24","Small","B",196,45,1,"yes"
"322","AB1514","c4k25","Small","B",232,55,2,"no"
"323","AB1515","c4k26","Small","B",241,87,2,"yes"
"324","AB1516","c4k27","Small","B",260,32,2,"yes"
"325","AB1517","c4k28","Small","B",208,22,1,"no"
"326","AB1518","c4k29","Small","B",375,34,6,"yes"
"327","AB1519","c4k30","Small","B",310,70,4,"yes"
"328","AB152","c4k31","Small","B",193,81,1,"no"
"329","AB1520","c4k32","Small","B",353,21,5,"yes"
"330","AB1521","c4k33","Small","B",344,84,5,"yes"
"331","AB1522","c4k34","Small","B",201,85,1,"yes"
"332","AB1523","c4k35","Small","B",316,31,4,"yes"
"333","AB1524","c4k36","Small","B",290,53,3,"yes"
"334","AB1525","c4k37","Small","B",300,26,4,"yes"
"335","AB1526","c4k38","Small","B",218,70,2,"yes"
"336","AB1527","c4k39","Small","B",206,53,1,"no"
"337","AB1528","c4k40","Small","B",235,51,2,"no"
"338","AB1529","c4k41","Small","B",266,20,3,"yes"
"339","AB153","c4k42","Small","B",166,36,1,"yes"
"340","AB1530","c4k43","Small","B",328,75,4,"yes"
"341","AB1531","c4k44","Small","B",295,49,3,"yes"
"342","AB1532","c4k45","Small","B",271,80,3,"yes"
"343","AB1533","c4k46","Small","B",344,24,5,"yes"
"344","AB1534","c4k47","Small","B",234,71,2,"no"
"345","AB1535","c4k48","Small","B",194,81,1,"yes"
"346","AB1536","c4k49","Small","B",249,19,2,"yes"
"347","AB1537","c4k50","Small","B",188,61,1,"yes"
"348","AB1538","c4k51","Small","B",280,13,3,"yes"
"349","AB1539","c4k52","Small","B",314,54,4,"no"
"350","AB154","c4k53","Small","B",82,73,0.5,"yes"
"351","AB1540","c4k54","Small","B",300,82,3,"no"
"352","AB1541","c4k55","Small","B",310,54,4,"yes"
"353","AB1542","c4k56","Small","B",188,25,1,"no"
"354","AB1543","c4k57","Small","B",318,71,4,"yes"
"355","AB1544","c4k58","Small","B",245,63,2,"yes"
"356","AB1545","c4k59","Small","B",235,71,2,"no"
"357","AB1546","c4k60","Small","B",220,22,2,"yes"
"358","AB1547","c4k61","Small","B",258,68,2,"yes"
"359","AB1548","c4k62","Small","B",245,87,2,"no"
"360","AB1549","c4k63","Small","B",218,54,2,"no"
"361","AB155","c4k64","Small","B",72,29,0.5,"yes"
"362","AB1550","c4k65","Small","B",270,60,3,"yes"
"363","AB1551","c4k66","Small","B",286,89,3,"no"
"364","AB1552","c4k67","Small","B",227,6,2,"yes"
"365","AB1553","c4k68","Small","B",268,52,3,"no"
"366","AB1554","c4k69","Small","B",220,42,2,"yes"
"367","AB1555","c4k70","Small","B",268,80,3,"no"
"368","AB1556","c4k71","Small","B",313,86,4,"yes"
"369","AB1557","c4k72","Small","B",290,89,3,"yes"
"370","AB1558","c4k73","Small","B",206,10,1,"yes"
"371","AB1559","c4k74","Small","B",260,76,2,"no"
"372","AB156","c4k75","Small","B",83,57,0.5,"yes"
"373","AB1560","c4k76","Small","B",270,72,3,"yes"
"374","AB1561","c4k77","Small","B",317,67,4,"yes"
"375","AB1562","c4k78","Small","B",296,45,3,"yes"
"376","AB1563","c4k79","Small","B",380,94,6,"no"
"377","AB1564","c4k80","Small","B",300,66,3,"no"
"378","AB1565","c4k81","Small","B",206,46,1,"no"
"379","AB1566","c4k82","Small","B",260,48,2,"yes"
"380","AB1567","c4k83","Small","B",270,48,3,"no"
"381","AB1568","c4k84","Small","B",310,14,4,"yes"
"382","AB1569","c4k85","Small","B",345,68,5,"yes"
"383","AB157","c4k86","Small","B",185,52,1,"yes"
"384","AB1570","c4k87","Small","B",280,73,3,"no"
"385","AB1571","c4k88","Small","B",290,45,3,"yes"
"386","AB1572","c4k89","Small","B",270,76,3,"no"
"387","AB1573","c4k90","Small","B",248,83,2,"yes"
"388","AB1574","c4k91","Small","B",230,86,2,"no"
"389","AB1575","c4k92","Small","B",273,16,3,"yes"
"390","AB1576","c4k93","Small","B",260,68,2,"yes"
"391","AB1577","c4k94","Small","B",313,46,4,"yes"
"392","AB1578","c4k95","Small","B",315,31,4,"no"
"393","AB1579","c4k96","Small","B",238,71,2,"yes"
"394","AB158","c4k97","Small","B",76,85,0.5,"yes"
"395","AB1580","c4k98","Small","B",299,85,3,"no"
"396","AB1581","c4k99","Small","B",235,55,2,"no"
"397","AB1582","c5k1","Small","B",328,39,4,"no"
"398","AB1583","c5k2","Small","B",277,45,3,"yes"
"399","AB1584","c5k3","Small","B",230,18,2,"yes"
"400","AB1585","c5k4","Small","B",300,54,3,"yes"
"401","AB1586","c5k5","Small","B",261,40,2,"no"
"402","AB1587","c5k6","Small","B",230,70,2,"yes"
"403","AB1588","c5k7","Small","B",375,22,6,"no"
"404","AB1589","c5k8","Small","B",268,68,3,"no"
"405","AB159","c5k9","Small","B",65,73,0.5,"yes"
"406","AB1590","c5k10","Small","B",304,26,4,"yes"
"407","AB1591","c5k11","Small","B",285,65,3,"yes"
"408","AB1592","c5k12","Small","B",336,72,5,"yes"
"409","AB1593","c5k13","Small","B",293,81,3,"yes"
"410","AB1594","c5k14","Small","B",264,44,3,"no"
"411","AB1595","c5k15","Small","B",343,60,5,"no"
"412","AB1596","c5k16","Small","B",243,35,2,"no"
"413","AB1597","c5k17","Small","B",222,66,2,"yes"
"414","AB1598","c5k18","Small","B",292,89,3,"no"
"415","AB1599","c5k19","Small","B",268,44,3,"no"
"416","AB160","c5k20","Small","B",179,16,1,"no"
"417","AB1600","c5k21","Small","B",209,22,1,"no"
"418","AB1601","c5k22","Small","B",307,74,4,"no"
"419","AB1602","c5k23","Small","B",305,90,4,"no"
"420","AB1603","c5k24","Small","B",226,30,2,"yes"
"421","AB1604","c5k25","Small","B",315,27,4,"yes"
"422","AB1605","c5k26","Small","B",319,83,4,"yes"
"423","AB1606","c5k27","Small","B",279,57,3,"yes"
"424","AB1607","c5k28","Small","B",304,66,4,"yes"
"425","AB1608","c5k29","Small","B",303,94,4,"yes"
"426","AB1609","c5k30","Small","B",260,32,2,"yes"
"427","AB161","c5k31","Small","B",162,24,1,"yes"
"428","AB1610","c5k32","Small","B",291,85,3,"no"
"429","AB1611","c5k33","Small","B",213,38,1,"no"
"430","AB1612","c5k34","Small","B",230,14,2,"no"
"431","AB1613","c5k35","Small","B",319,83,4,"no"
"432","AB1614","c5k36","Small","B",276,16,3,"yes"
"433","AB1615","c5k37","Small","B",233,35,2,"yes"
"434","AB1616","c5k38","Small","B",278,17,3,"yes"
"435","AB1617","c5k39","Small","B",302,22,4,"yes"
"436","AB1618","c5k40","Small","B",313,70,4,"yes"
"437","AB1619","c5k41","Small","B",223,54,2,"no"
"438","AB162","c5k42","Small","B",163,8,1,"yes"
"439","AB1620","c5k43","Small","B",279,93,3,"yes"
"440","AB1621","c5k44","Small","B",276,57,3,"no"
"441","AB1622","c5k45","Small","B",223,82,2,"no"
"442","AB1623","c5k46","Small","B",341,52,5,"yes"
"443","AB1624","c5k47","Small","B",291,45,3,"yes"
"444","AB1625","c5k48","Small","B",303,54,4,"yes"
"445","AB1626","c5k49","Small","B",331,16,4,"no"
"446","AB1627","c5k50","Small","B",295,29,3,"yes"
"447","AB1628","c5k51","Small","B",329,87,4,"yes"
"448","AB1629","c5k52","Small","B",266,56,3,"yes"
"449","AB163","c5k53","Small","B",101,29,0.5,"yes"
"450","AB1630","c5k54","Small","B",236,31,2,"yes"
"451","AB1631","c5k55","Small","B",226,18,2,"no"
"452","AB1632","c5k56","Small","B",281,85,3,"no"
"453","AB1633","c5k57","Small","B",338,96,5,"yes"
"454","AB1634","c5k58","Small","B",326,79,4,"no"
"455","AB1635","c5k59","Small","B",338,52,5,"yes"
"456","AB1636","c5k60","Small","B",251,23,2,"no"
"457","AB1637","c5k61","Small","B",230,47,2,"yes"
"458","AB1638","c5k62","Small","B",264,40,3,"no"
"459","AB1639","c5k63","Small","B",331,40,4,"yes"
"460","AB164","c5k64","Small","B",1,69,0.5,"no"
"461","AB1640","c5k65","Small","B",280,41,3,"yes"
"462","AB1641","c5k66","Small","B",217,58,2,"yes"
"463","AB1642","c5k67","Small","B",235,75,2,"no"
"464","AB1643","c5k68","Small","B",233,55,2,"no"
"465","AB1644","c5k69","Small","B",235,11,2,"no"
"466","AB1645","c5k70","Small","B",209,50,1,"no"
"467","AB1646","c5k71","Small","B",334,76,5,"no"
"468","AB1647","c5k72","Small","B",354,49,5,"no"
"469","AB1648","c5k73","Small","B",407,20,7,"yes"
"470","AB1649","c5k74","Small","B",234,11,2,"yes"
"471","AB165","c5k75","Small","B",149,19,0.5,"yes"
"472","AB1650","c5k76","Small","B",236,59,2,"yes"
"473","AB1651","c5k77","Small","B",182,28,1,"yes"
"474","AB1652","c5k78","Small","B",369,97,6,"yes"
"475","AB1653","c5k79","Small","B",229,42,2,"yes"
"476","AB1654","c5k80","Small","B",280,77,3,"yes"
"477","AB1655","c5k81","Small","B",305,86,4,"yes"
"478","AB1656","c5k82","Small","B",233,35,2,"no"
"479","AB1657","c5k83","Small","B",251,12,2,"yes"
"480","AB1658","c5k84","Small","B",280,25,3,"yes"
"481","AB1659","c5k85","Small","B",278,53,3,"yes"
"482","AB166","c5k86","Small","B",168,56,1,"yes"
"483","AB1660","c5k87","Small","B",244,75,2,"yes"
"484","AB1661","c5k88","Small","B",217,6,2,"yes"
"485","AB1662","c5k89","Small","B",243,27,2,"yes"
"486","AB1663","c5k90","Small","B",292,57,3,"no"
"487","AB1664","c5k91","Small","B",273,56,3,"yes"
"488","AB1665","c5k92","Small","B",265,48,3,"no"
