"","Poor","Canton","Gender","AgeGroup","Edu","CivStat","NChild","Working","FirstJob","LastJob","Origin","SocMob","RetirTiming","ProfCar","Pension","TimFirstChild"
"30",0,"Valais","female","65-69","high","widow",2,"no","w-collar","w-collar","Swiss","stag","legal","stop and restart","1+2+3","norm"
"31",1,"Valais","female","65-69","medium","widow",3,"no","intermed","intermed","Swiss","stag","early","start and stop","1+support","norm"
"32",0,"Valais","female","65-69","medium","widow",3,"no","b-collar","b-collar","Swiss","stag","early","full employment","1+2","norm"
"33",NA,"Valais","female","65-69","low","married",2,"no","w-collar","intact","Swiss","down","legal","start and stop","1+support","norm"
"34",0,"Valais","female","65-69","low","married",0,"no","b-collar","b-collar","Swiss","stag",NA,"full employment","1+support","no-child"
"35",NA,"Valais","female","65-69","high","married",2,"no","w-collar","upper","Swiss","up",NA,"missing / early retirement","1+savings","norm"
"36",0,"Valais","female","65-69","medium","married",2,"no","b-collar","b-collar","Swiss","stag","legal","full employment","1+2+3+work","norm"
"37",1,"Valais","female","65-69","medium","sep/div",3,"no","w-collar","w-collar","Swiss","stag","legal","missing / early retirement","1+2","norm"
"38",0,"Valais","female","65-69","high","married",0,"no","upper","upper","Swiss","stag",NA,"full employment","1+2","no-child"
"39",0,"Valais","female","65-69","high","single",0,"no","intermed","upper","Swiss","up","early","full employment","1+2","no-child"
"40",0,"Valais","female","65-69","high","married",1,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+2","norm"
"41",0,"Valais","female","65-69","high","sep/div",2,"no","w-collar","upper","Swiss","up","legal","start and stop","1+2+3","norm"
"42",0,"Valais","female","65-69","high","married",2,"no","upper","upper","Swiss","stag","legal","start and stop","1+support","norm"
"43",0,"Valais","female","65-69","medium","widow",2,"yes","b-collar","w-collar","Swiss","up","legal","full employment","1+2+3","early"
"44",1,"Valais","female","65-69","high","sep/div",2,"no","b-collar","b-collar","other","stag","legal","full employment","1+support","late"
"45",0,"Valais","female","65-69","high","married",2,"no","w-collar","b-collar","Swiss","down","early","full employment","1+support","norm"
"46",0,"Valais","female","65-69","medium","sep/div",2,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+2","early"
"47",0,"Valais","female","65-69","medium","married",2,"no","w-collar","w-collar","Swiss","stag",NA,"stop and restart","1+support","norm"
"48",1,"Valais","female","65-69","medium","married",0,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+support","no-child"
"49",0,"Valais","female","65-69","medium","married",3,"no","b-collar","intermed","Swiss","up","early","full employment","1+2+3","norm"
"50",0,"Valais","female","65-69","high","married",2,"no","w-collar","w-collar","other","stag","early","missing / early retirement","1+2+3","norm"
"51",0,"Valais","female","65-69",NA,"widow",3,"no","w-collar","w-collar","Swiss","stag",NA,"stop and restart","1+2+3","early"
"52",0,"Valais","female","65-69","low","married",2,"no","w-collar","w-collar","Swiss","stag","early","stop and restart","1+support","norm"
"53",1,"Valais","female","65-69","medium","married",0,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+support","no-child"
"54",0,"Valais","female","65-69","medium","widow",2,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+2","early"
"55",0,"Valais","female","65-69","high","single",0,"no","w-collar","w-collar","Swiss","stag","early","stop and restart","1+2","no-child"
"56",0,"Valais","female","65-69","low","married",3,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+support","early"
"57",0,"Valais","female","65-69","high","widow",0,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+savings","no-child"
"58",0,"Valais","female","65-69","high","married",3,"no","upper","upper","Swiss","stag","early","stop and restart","1+2","early"
"59",0,"Valais","female","70-74","medium","widow",2,"no","w-collar","b-collar","Swiss","down","early","missing / early retirement","1+2","early"
"60",0,"Valais","female","70-74","medium","widow",3,"no","b-collar",NA,"Swiss",NA,"legal","full employment","1+2+3+work","norm"
"61",0,"Valais","female","70-74","high","sep/div",3,"no","w-collar","w-collar","Swiss","stag","legal","missing / early retirement","1+2","early"
"62",0,"Valais","female","70-74","medium","married",3,"no","selfemp","selfemp","Swiss","stag","legal","full employment","1+2+3","early"
"63",1,"Valais","female","70-74","medium","married",4,"no","w-collar","w-collar","Swiss","stag","early","missing / early retirement","1+support","early"
"64",0,"Valais","female","70-74","high","married",4,"no","w-collar","intermed","Swiss","up","late","stop and restart","1+2","norm"
"65",NA,"Valais","female","70-74","low","married",3,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+2+3","norm"
"66",1,"Valais","female","70-74","low","married",2,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+savings","early"
"67",NA,"Valais","female","70-74","low","single",0,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+support","no-child"
"68",0,"Valais","female","70-74","medium","sep/div",3,"no","w-collar","w-collar","Swiss","stag","legal","stop and restart","1+2+3+work","norm"
"69",0,"Valais","female","65-69","medium","married",2,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+2","early"
"70",0,"Valais","female","65-69","medium","married",2,"no","b-collar","w-collar","Swiss","up","legal","full employment","1+support","norm"
"71",0,"Valais","female","70-74","medium","married",3,"no",NA,"w-collar","Swiss",NA,NA,"full employment","1+support","norm"
"72",0,"Valais","female","70-74","low","married",2,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+2+3","late"
"73",NA,"Valais","female","70-74","high","married",2,"no","w-collar","w-collar","Swiss","stag","legal","start and stop","1+2","norm"
"74",1,"Valais","female","70-74","low","widow",2,"no","w-collar","b-collar","Swiss","down","legal",NA,"1+2+3+work","early"
"75",0,"Valais","female","70-74","medium","widow",1,"yes","b-collar","b-collar","Swiss","stag",NA,"missing / early retirement","1+2+3+work","norm"
"76",NA,"Valais","female","70-74","medium","married",2,"no","w-collar","w-collar","Swiss","stag",NA,"full employment","1+2","norm"
"77",1,"Valais","female","70-74","high","widow",3,"no","b-collar","selfemp","other","up","legal","full employment","1+support","early"
"78",0,"Valais","female","70-74","medium","married",2,"no","b-collar","b-collar","Swiss","stag","early","full employment","1+2+3","norm"
"79",1,"Valais","female","70-74","low","sep/div",3,"no","w-collar","w-collar","Swiss","stag","legal","missing / early retirement","1+2","early"
"80",0,"Valais","female","70-74","high","married",0,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+2","no-child"
"81",1,"Valais","female","70-74","low","married",1,"no","b-collar","w-collar","other","up","early","start and stop","1+support","norm"
"82",0,"Valais","female","70-74","high","married",2,"no","intact","intact","other","stag",NA,"start and stop","1+support","norm"
"83",NA,"Valais","female","70-74","high","married",2,"yes","w-collar","w-collar","other","stag",NA,"start and stop","1+support","norm"
"84",0,"Valais","female","70-74","high","married",2,"no","w-collar","intact","Swiss","down","legal","stop and restart","1+2","norm"
"85",0,"Valais","female","70-74","high","married",2,"no","upper","upper","Swiss","stag","early","start and stop","1+2+3","norm"
"86",0,"Valais","female","70-74","medium","widow",3,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+2","norm"
"87",0,"Valais","female","70-74","high","widow",2,"no","w-collar","selfemp","Swiss","up","early","missing / early retirement","1+2+3","norm"
"88",0,"Valais","female","70-74","high","widow",2,"no","w-collar","w-collar","Swiss","stag","legal","start and stop","1+2+3","norm"
"89",NA,"Valais","female","70-74","medium","married",2,"no","b-collar","b-collar","Swiss","stag","early","full employment","1+2","norm"
"90",0,"Valais","female","70-74","medium","widow",NA,"no","b-collar","w-collar","Swiss","up",NA,"start and stop","1+2","norm"
"91",NA,"Valais","female","70-74","medium","married",NA,"no","b-collar","w-collar","other","up","legal","full employment","1+support","norm"
"92",0,"Valais","female","70-74","high","married",3,"yes","w-collar","intermed","other","up",NA,"start and stop","1+2","norm"
"93",NA,"Valais","female","70-74","high","married",1,"yes","w-collar","intermed","Swiss","up","late","full employment","1+2+3+work","late"
"94",1,"Valais","female","70-74","low","married",6,"no","w-collar","selfemp","Swiss","up","early","stop and restart","1+support","norm"
"95",0,"Valais","female","75-79","high","married",2,"no","w-collar",NA,"Swiss",NA,NA,"full employment","1+savings","norm"
"96",1,"Valais","female","70-74","low","sep/div",NA,"no","selfemp","w-collar","Swiss","down","legal","full employment","1+support","norm"
"97",1,"Valais","female","70-74","high","sep/div",4,"no","intact","intermed","Swiss","up",NA,"full employment","1+savings","norm"
"98",0,"Valais","female","70-74","high","married",5,"yes","selfemp","selfemp","Swiss","stag",NA,"full employment","1+savings","early"
"99",0,"Valais","female","70-74","medium","widow",3,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+2","norm"
"100",NA,"Valais","female","70-74","high","widow",2,"no","w-collar","w-collar","Swiss","stag","early","stop and restart","1+2","norm"
"101",0,"Valais","female","70-74","medium","widow",3,"no","intermed","intermed","Swiss","stag","legal","full employment","1+2+3","norm"
"102",NA,"Valais","female","70-74","high","sep/div",4,"no","intact","upper","other","up","legal","start and stop","1+2","early"
"103",1,"Valais","female","70-74","high","married",2,"no","w-collar","w-collar","other","stag",NA,"start and stop","1+savings","early"
"104",0,"Valais","female","70-74","medium","widow",3,"no","b-collar","intermed","Swiss","up","legal","stop and restart","1+savings","norm"
"105",0,"Valais","female","70-74","low","married",3,"no","w-collar","w-collar","Swiss","stag","early","missing / early retirement","1+savings","early"
"106",1,"Valais","female","70-74","low","sep/div",5,"no","w-collar","w-collar","Swiss","stag","late","full employment","1+support","early"
"107",0,"Valais","female","70-74","medium","married",1,"no","w-collar","w-collar","Swiss","stag","legal","stop and restart","1+2","early"
"108",0,"Valais","female","70-74","medium","widow",1,"no","w-collar","w-collar","Swiss","stag","legal","stop and restart","1+2","norm"
"109",1,"Valais","female","70-74","low","widow",0,"no","w-collar","b-collar","Swiss","down","legal","stop and restart","1+support","no-child"
"110",0,"Valais","female","70-74","high","widow",3,"no","w-collar","w-collar","Swiss","stag","early","missing / early retirement","1+savings","early"
"111",0,"Valais","female","70-74","medium","married",2,"no","b-collar","b-collar","Swiss","stag","early",NA,"1+support","late"
"112",NA,"Valais","female","70-74","high","married",2,"no","w-collar","intact","Swiss","down",NA,"full employment","1+savings","norm"
"113",0,"Valais","female","70-74","high","single",0,"no","upper","upper","Swiss","stag","early","full employment","1+2","no-child"
"114",1,"Valais","female","70-74","low","widow",2,"no","w-collar","w-collar","Swiss","stag","legal","stop and restart","1+support","early"
"115",1,"Valais","female","70-74","low","sep/div",2,"no","b-collar","w-collar","Swiss","up",NA,"stop and restart","1+savings","late"
"116",0,"Valais","female","70-74","high","sep/div",2,"no","w-collar","intermed","Swiss","up","late","start and stop","1+savings","late"
"117",0,"Valais","female","75-79","high","single",0,"no","w-collar","intermed","Swiss","up","early","full employment","1+2","no-child"
"118",0,"Valais","female","75-79","high","married",4,"no","w-collar","w-collar","Swiss","stag","legal","missing / early retirement","1+2",NA
"119",NA,"Valais","female","75-79","medium","married",3,"no","b-collar","selfemp","other","up","legal","start and stop","1+support","norm"
"120",1,"Valais","female","75-79","high","widow",1,"no","selfemp","selfemp","other","stag","legal","missing / early retirement","1+support","late"
"121",1,"Valais","female","75-79","low","widow",1,"no","w-collar","intact","Swiss","down","legal","full employment","1+support","early"
"122",0,"Valais","female","75-79","high","married",4,"no","upper","upper","Swiss","stag","early","full employment","1+2","norm"
"123",0,"Valais","female","75-79","medium","widow",2,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+savings","norm"
"124",1,"Valais","female","75-79","low","widow",5,"no","w-collar","w-collar","Swiss","stag","legal","missing / early retirement","1+2","early"
"125",1,"Valais","female","75-79","low","married",4,"no","b-collar","b-collar","Swiss","stag",NA,"stop and restart","1+support","early"
"126",0,"Valais","female","75-79","low","widow",1,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+savings","early"
"127",0,"Valais","female","75-79","high","married",3,"no","intact","w-collar","other","up",NA,NA,"1+savings","early"
"128",0,"Valais","female","75-79",NA,"widow",1,"no","w-collar","w-collar","Swiss","stag","legal","start and stop","1+2","norm"
"129",1,"Valais","female","75-79","high","married",2,"yes","upper","upper","other","stag",NA,"full employment","1+2+3+work","norm"
"130",1,"Valais","female","75-79","low","widow",2,"no","b-collar","intact","Swiss","down","early","start and stop","1+support","norm"
"131",NA,"Valais","female","75-79","low","widow",2,"no","intermed","intermed","Swiss","stag",NA,"missing / early retirement","1+2","norm"
"132",1,"Valais","female","75-79","high","widow",2,"no","intact","intact","other","stag",NA,NA,"1+savings","late"
"133",0,"Valais","female","75-79","low","married",1,"no","selfemp","selfemp","Swiss","stag","legal","full employment","1+2+3","late"
"134",NA,"Valais","female","75-79","high","single",0,"no","w-collar","upper","Swiss","up","late","stop and restart","1+support","no-child"
"135",1,"Valais","female","75-79","low","widow",2,"no","w-collar","w-collar","Swiss","stag","legal","missing / early retirement","1+support","early"
"136",1,"Valais","female","75-79",NA,"married",1,"no","w-collar","w-collar","Swiss","stag",NA,"start and stop","1+support","late"
"137",1,"Valais","female","75-79","medium","married",2,"yes","w-collar","upper","Swiss","up",NA,"full employment","1+2+3+work","norm"
"138",0,"Valais","female","75-79","low","married",2,"no","w-collar","b-collar","Swiss","down",NA,"full employment","1+support","norm"
"139",1,"Valais","female","80-84","low","widow",3,"no","w-collar","b-collar","other","down","legal","full employment","1+support","norm"
"140",0,"Valais","female","75-79","low","married",1,"no","b-collar","intermed","Swiss","up","legal","stop and restart","1+support","norm"
"141",0,"Valais","female","75-79","high","married",3,"no","w-collar","w-collar","Swiss","stag","late","full employment","1+savings","early"
"142",0,"Valais","female","75-79","low","married",3,"no","selfemp","selfemp","Swiss","stag",NA,NA,"1+2","early"
"143",0,"Valais","female","75-79","low","married",6,"no","w-collar","w-collar","Swiss","stag",NA,"full employment","1+support","early"
"144",0,"Valais","female","75-79","low","married",3,"no","b-collar","b-collar","Swiss","stag","legal","start and stop","1+support","late"
"145",1,"Valais","female","75-79","high","widow",2,"no","upper","intermed","other","down","early","full employment","1+2","norm"
"146",0,"Valais","female","75-79","low","sep/div",2,"yes","w-collar","w-collar","Swiss","stag","legal","full employment","1+savings","early"
"147",0,"Valais","female","75-79","high","married",3,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+2+3","norm"
"148",0,"Valais","female","75-79","low","widow",2,"no","intact","intact","Swiss","stag","legal","start and stop","1+2","early"
"149",NA,"Valais","female","75-79","medium","married",8,"no",NA,NA,"other",NA,NA,"full employment","1+support",NA
"150",0,"Valais","female","75-79","low","married",3,"no","b-collar","w-collar","Swiss","up","early","full employment","1+support","early"
"151",1,"Valais","female","75-79","low","married",3,"no","w-collar","w-collar","other","stag","late","stop and restart","1+2","norm"
"152",1,"Valais","female","75-79","medium","sep/div",2,"no","w-collar","w-collar","Swiss","stag","legal","start and stop","1+support","early"
"153",0,"Valais","female","75-79",NA,"sep/div",2,"no","intermed","intermed","Swiss","stag","early","full employment","1+2+3","early"
"154",1,"Valais","female","75-79","low","widow",3,"no","w-collar","b-collar","Swiss","down","legal","start and stop","1+2","norm"
"155",0,"Valais","female","75-79","high","married",1,"no","w-collar","w-collar","other","stag","early","full employment","1+support","norm"
"156",0,"Valais","female","75-79","high","married",3,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+2","norm"
"157",0,"Valais","female","75-79","high","widow",2,"no","w-collar","w-collar","Swiss","stag","late","full employment","1+2+3","norm"
"158",NA,"Valais","female","75-79","high","married",1,"no","intact","intact","other","stag",NA,NA,"1+support","norm"
"159",0,"Valais","female","75-79","low","married",0,"no","w-collar","w-collar","Swiss","stag","legal","stop and restart","1+2","no-child"
"160",0,"Valais","female","75-79","high","widow",3,"no","upper","upper","Swiss","stag","early","start and stop","1+savings","norm"
"161",0,"Valais","female","75-79","low","sep/div",2,"no","b-collar",NA,"Swiss",NA,"legal","missing / early retirement","1+savings","early"
"162",0,"Valais","female","75-79","medium","married",7,"no","b-collar","b-collar","Swiss","stag",NA,"full employment","1+2","norm"
"163",1,"Valais","female","75-79","medium","married",2,"no","w-collar","w-collar","Swiss","stag","early","stop and restart","1+support","norm"
"164",0,"Valais","female","75-79","high","married",4,"no","w-collar","w-collar","Swiss","stag",NA,"full employment","1+savings","norm"
"165",1,"Valais","female","75-79","high","widow",3,"no","w-collar","w-collar","Swiss","stag","early","missing / early retirement","1+support","early"
"166",0,"Valais","female","75-79","medium","married",3,"no","w-collar","w-collar","other","stag","early","stop and restart","1+2","early"
"167",1,"Valais","female","80-84","low","widow",6,"no","intact","intact","Swiss","stag","legal","start and stop","1+support","norm"
"168",0,"Valais","female","80-84","high","widow",2,"no","intact","intact","Swiss","stag","legal",NA,"1+savings","early"
"169",1,"Valais","female","80-84","medium","married",3,"no","intermed","w-collar","Swiss","down","legal","start and stop","1+support","norm"
"170",1,"Valais","female","75-79","high","sep/div",2,"no","w-collar","w-collar","other","stag","legal","missing / early retirement","1+savings","norm"
"171",NA,"Valais","female","80-84","low","married",2,"no","b-collar","b-collar","Swiss","stag","legal","full employment","1+support","norm"
"172",0,"Valais","female","80-84","medium","married",5,"no","w-collar","intact","Swiss","down",NA,"missing / early retirement","1+2+3","norm"
"173",0,"Valais","female","80-84","medium","widow",3,"no","w-collar","b-collar","Swiss","down","early","full employment","1+2","early"
"174",1,"Valais","female","80-84","low","widow",5,"no","b-collar","upper","other","up",NA,"stop and restart","1+support","norm"
"175",NA,"Valais","female","80-84","high","widow",3,"no","w-collar","w-collar","Swiss","stag","early","stop and restart","1+savings","norm"
"176",0,"Valais","female","80-84",NA,"widow",5,"no","intact","intact","Swiss","stag",NA,NA,"1+2","early"
"177",NA,"Valais","female","80-84","low","married",3,"yes","b-collar","upper","Swiss","up","legal","full employment","1+2","early"
"178",0,"Valais","female","80-84","medium","widow",5,"no","b-collar","b-collar","Swiss","stag","late","start and stop","1+support","early"
"179",1,"Valais","female","80-84","medium","widow",3,"yes","b-collar","upper","Swiss","up",NA,"start and stop","1+support","early"
"180",0,"Valais","female","80-84","medium","married",2,"no","w-collar","intact","Swiss","down","legal","full employment","1+2","norm"
"181",1,"Valais","female","80-84","medium","widow",4,"no","intermed","intermed","Swiss","stag",NA,"full employment","1+support","late"
"182",0,"Valais","female","80-84","low","married",5,"no","b-collar","intact","Swiss","down","early","full employment","1+2+3+work","norm"
"183",1,"Valais","female","80-84","high","widow",2,"no","selfemp","w-collar","Swiss","down",NA,"start and stop","1+savings","norm"
"184",0,"Valais","female","80-84","medium","widow",1,"no","b-collar","b-collar","Swiss","stag","legal","start and stop","1+2","early"
"185",0,"Valais","female","80-84","medium","married",2,"no","b-collar","w-collar","Swiss","up",NA,"start and stop","1+support","norm"
"186",NA,"Valais","female","80-84",NA,"married",4,"no","intact","intact","Swiss","stag",NA,"missing / early retirement","1+2+3","norm"
"187",NA,"Valais","female","80-84","medium","married",5,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+support","early"
"188",1,"Valais","female","75-79","medium","married",3,"no","w-collar","selfemp","Swiss","up","legal","start and stop","1+support","norm"
"189",0,"Valais","female","80-84","low","married",2,"no","w-collar","w-collar","Swiss","stag",NA,"missing / early retirement","1+2+3","norm"
"190",1,"Valais","female","80-84","medium","widow",7,"no",NA,NA,"Swiss",NA,"legal",NA,"1+2+3+work",NA
"191",1,"Valais","female","80-84","high","widow",5,"no","w-collar","w-collar","Swiss","stag",NA,"full employment","1+2","early"
"192",1,"Valais","female","80-84","high","widow",3,"no","intermed","intermed","Swiss","stag","late","start and stop","1+support","norm"
"193",1,"Valais","female","80-84","medium","widow",2,"no","b-collar","b-collar","Swiss","stag","early","stop and restart","1+2","norm"
"194",1,"Valais","female","80-84","low","single",0,"no","w-collar","intermed","Swiss","up","late","full employment","1+2","no-child"
"195",0,"Valais","female","80-84","high","single",0,"no","upper",NA,"Swiss",NA,"legal","start and stop","1+support","no-child"
"196",1,"Valais","female","80-84","high","widow",6,"no","w-collar","w-collar","Swiss","stag",NA,"full employment","1+support","norm"
"197",0,"Valais","female","80-84","high","widow",3,"no","intermed","intermed","Swiss","stag","early","missing / early retirement","1+2+3","norm"
"198",NA,"Valais","female","80-84","low","sep/div",3,"no",NA,NA,"other",NA,"early","start and stop","1+support","early"
"199",0,"Valais","female","80-84","high","widow",5,"no","intermed","intact","Swiss","down","early","missing / early retirement","1+2+3","norm"
"200",0,"Valais","female","80-84","medium","widow",3,"no","b-collar","selfemp","Swiss","up","early","stop and restart","1+2","norm"
"201",NA,"Valais","female","80-84","high","single",NA,"no","upper","upper","Swiss","stag","legal",NA,"1+support",NA
"202",0,"Valais","female","80-84","high","single",0,"no","w-collar","intermed","Swiss","up","legal","full employment","1+2","no-child"
"203",1,"Valais","female","80-84","low","widow",3,"no","w-collar","selfemp","Swiss","up","early","full employment","1+support","early"
"204",1,"Valais","female","80-84","low","widow",0,"yes","b-collar","b-collar","Swiss","stag","legal","stop and restart","1+support","no-child"
"205",0,"Valais","female","80-84","high","widow",4,"no","w-collar","w-collar","Swiss","stag",NA,"full employment","1+2","early"
"206",NA,"Valais","female","80-84","high","widow",0,"no","intact","intact","Swiss","stag",NA,"full employment","1+2+3","no-child"
"207",NA,"Valais","female","80-84","high","widow",3,"no","upper","w-collar","other","down",NA,"start and stop","1+2+3","norm"
"208",1,"Valais","female","80-84","low","single",0,"no","intact","w-collar","Swiss","up","legal","start and stop","1+support","no-child"
"209",0,"Valais","female","80-84","medium","married",1,"no","w-collar","b-collar","other","down",NA,"missing / early retirement","1+savings","late"
"210",NA,"Valais","female","80-84","high","married",1,"no","w-collar","intact","Swiss","down",NA,"missing / early retirement","1+savings","norm"
"211",NA,"Valais","female","80-84","high","widow",2,"no","intermed","intact","Swiss","down",NA,"full employment","1+savings","norm"
"212",NA,"Valais","female","85-89","high","married",3,"no","w-collar","intact","Swiss","down",NA,"start and stop","1+savings","norm"
"213",0,"Valais","female","85-89","low","widow",4,"no","w-collar","selfemp","Swiss","up","legal","start and stop","1+savings","early"
"214",0,"Valais","female","85-89","high","widow",NA,"no","upper","upper","Swiss","stag","legal","start and stop","1+2+3","norm"
"215",NA,"Valais","female","85-89","low","single",0,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+2","no-child"
"216",1,"Valais","female","85-89","low","widow",7,"no","b-collar","intact","Swiss","down",NA,"stop and restart","1+support","early"
"217",NA,"Valais","female","85-89","low","widow",0,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+support","no-child"
"218",NA,"Valais","female","85-89","high","widow",2,"no","w-collar","w-collar","other","stag","legal","full employment","1+support","norm"
"219",0,"Valais","female","85-89","low","widow",NA,"no","w-collar","b-collar","Swiss","down","late","full employment","1+support","norm"
"220",NA,"Valais","female","85-89","medium","widow",3,"no","b-collar","b-collar","Swiss","stag","early","full employment","1+2","early"
"221",NA,"Valais","female","85-89","high","married",2,"no","w-collar","b-collar","Swiss","down",NA,"full employment","1+support","norm"
"222",0,"Valais","female","85-89","low","widow",2,"no","w-collar","b-collar","Swiss","down","legal","full employment","1+savings","early"
"223",0,"Valais","female","85-89","low","widow",5,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+savings","norm"
"224",1,"Valais","female","85-89","low","widow",4,"no","b-collar",NA,"Swiss",NA,"legal","stop and restart","1+support","early"
"225",1,"Valais","female","85-89","low","widow",2,"no","w-collar","selfemp","Swiss","up","legal","missing / early retirement","1+support","norm"
"226",NA,"Valais","female","85-89","high","widow",3,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+2","norm"
"227",0,"Valais","female","85-89","medium","married",2,"no","w-collar","upper","Swiss","up",NA,"missing / early retirement","1+2","norm"
"228",1,"Valais","female","85-89","low","widow",3,"no","b-collar","w-collar","Swiss","up","early","stop and restart","1+support","norm"
"229",1,"Valais","female","85-89","low","married",1,"no","w-collar","w-collar","Swiss","stag","legal",NA,"1+support","late"
"230",0,"Valais","female","85-89","high","sep/div",3,"no","intermed","intact","Swiss","down",NA,"full employment","1+2+3","norm"
"231",1,"Valais","female","85-89","low","married",1,"no","w-collar","w-collar","Swiss","stag","legal","start and stop","1+savings","norm"
"232",0,"Valais","female","85-89","low","married",0,"yes","b-collar","intact","Swiss","down",NA,"stop and restart","1+support","no-child"
"233",0,"Valais","female","85-89","high","widow",0,"no","w-collar","selfemp","Swiss","up","early","full employment","1+support","no-child"
"234",1,"Valais","female","85-89","low","widow",0,"no","w-collar","b-collar","Swiss","down","legal","start and stop","1+2","no-child"
