"","critic","review","movie"
"165","Pro","Ebert","72"
"166","Pro","Ebert","73"
"167","Pro","Ebert","74"
"168","Pro","Ebert","75"
"169","Mixed","Ebert","76"
"170","Con","Ebert","77"
"171","Pro","Ebert","78"
"172","Mixed","Ebert","79"
"173","Mixed","Ebert","80"
"174","Mixed","Ebert","81"
"175","Con","Ebert","82"
"176","Pro","Ebert","83"
"177","Pro","Ebert","84"
"178","Mixed","Ebert","85"
"179","Pro","Ebert","86"
"180","Pro","Ebert","87"
"181","Mixed","Ebert","88"
"182","Mixed","Ebert","89"
"183","Con","Ebert","90"
"184","Con","Ebert","91"
"185","Con","Ebert","92"
"186","Con","Ebert","93"
"187","Pro","Lyons","1"
"188","Pro","Lyons","2"
"189","Pro","Lyons","3"
"190","Pro","Lyons","4"
"191","Pro","Lyons","5"
"192","Pro","Lyons","6"
"193","Pro","Lyons","7"
"194","Pro","Lyons","8"
"195","Pro","Lyons","9"
"196","Pro","Lyons","10"
"197","Pro","Lyons","11"
"198","Pro","Lyons","12"
"199","Pro","Lyons","13"
"200","Pro","Lyons","14"
"201","Pro","Lyons","15"
"202","Pro","Lyons","16"
"203","Pro","Lyons","17"
"204","Pro","Lyons","18"
"205","Pro","Lyons","19"
"206","Pro","Lyons","20"
"207","Pro","Lyons","21"
"208","Pro","Lyons","22"
"209","Pro","Lyons","23"
"210","Pro","Lyons","24"
"211","Pro","Lyons","25"
"212","Pro","Lyons","26"
"213","Pro","Lyons","27"
"214","Pro","Lyons","28"
"215","Pro","Lyons","29"
"216","Pro","Lyons","30"
"217","Pro","Lyons","31"
"218","Pro","Lyons","32"
"219","Pro","Lyons","33"
"220","Pro","Lyons","34"
"221","Pro","Lyons","35"
"222","Pro","Lyons","36"
"223","Pro","Lyons","37"
"224","Pro","Lyons","38"
"225","Pro","Lyons","39"
"226","Pro","Lyons","40"
"227","Pro","Lyons","41"
"228","Pro","Lyons","42"
"229","Pro","Lyons","43"
"230","Pro","Lyons","44"
"231","Pro","Lyons","45"
"232","Pro","Lyons","46"
"233","Pro","Lyons","47"
"234","Pro","Lyons","48"
"235","Pro","Lyons","49"
"236","Pro","Lyons","50"
"237","Pro","Lyons","51"
"238","Pro","Lyons","52"
"239","Pro","Lyons","53"
"240","Mixed","Lyons","54"
"241","Mixed","Lyons","55"
"242","Mixed","Lyons","56"
"243","Mixed","Lyons","57"
"244","Mixed","Lyons","58"
"245","Mixed","Lyons","59"
"246","Mixed","Lyons","60"
"247","Mixed","Lyons","61"
"248","Mixed","Lyons","62"
"249","Mixed","Lyons","63"
"250","Mixed","Lyons","64"
"251","Mixed","Lyons","65"
"252","Mixed","Lyons","66"
"253","Con","Lyons","67"
"254","Con","Lyons","68"
"255","Con","Lyons","69"
"256","Con","Lyons","70"
"257","Con","Lyons","71"
"258","Con","Lyons","72"
"259","Con","Lyons","73"
"260","Con","Lyons","74"
"261","Con","Lyons","75"
"262","Con","Lyons","76"
"263","Con","Lyons","77"
"264","Con","Lyons","78"
"265","Con","Lyons","79"
"266","Con","Lyons","80"
"267","Con","Lyons","81"
"268","Con","Lyons","82"
"269","Con","Lyons","83"
"270","Con","Lyons","84"
"271","Con","Lyons","85"
"272","Con","Lyons","86"
"273","Con","Lyons","87"
"274","Con","Lyons","88"
"275","Con","Lyons","89"
"276","Con","Lyons","90"
"277","Con","Lyons","91"
"278","Con","Lyons","92"
"279","Con","Lyons","93"
"280","Pro","Siskel","1"
"281","Pro","Siskel","2"
"282","Pro","Siskel","3"
"283","Pro","Siskel","4"
"284","Pro","Siskel","5"
"285","Pro","Siskel","6"
"286","Pro","Siskel","7"
"287","Pro","Siskel","8"
"288","Pro","Siskel","9"
"289","Pro","Siskel","10"
"290","Pro","Siskel","11"
"291","Pro","Siskel","12"
"292","Pro","Siskel","13"
"293","Pro","Siskel","14"
"294","Pro","Siskel","15"
"295","Pro","Siskel","16"
"296","Pro","Siskel","17"
"297","Pro","Siskel","18"
"298","Pro","Siskel","19"
"299","Pro","Siskel","20"
"300","Pro","Siskel","21"
"301","Pro","Siskel","22"
"302","Pro","Siskel","23"
"303","Pro","Siskel","24"
"304","Pro","Siskel","25"
"305","Pro","Siskel","26"
"306","Pro","Siskel","27"
"307","Pro","Siskel","28"
"308","Pro","Siskel","29"
"309","Mixed","Siskel","30"
"310","Mixed","Siskel","31"
"311","Mixed","Siskel","32"
"312","Mixed","Siskel","33"
"313","Mixed","Siskel","34"
"314","Mixed","Siskel","35"
"315","Mixed","Siskel","36"
"316","Mixed","Siskel","37"
"317","Mixed","Siskel","38"
"318","Mixed","Siskel","39"
"319","Mixed","Siskel","40"
"320","Mixed","Siskel","41"
"321","Mixed","Siskel","42"
"322","Mixed","Siskel","43"
"323","Con","Siskel","44"
"324","Con","Siskel","45"
"325","Con","Siskel","46"
"326","Con","Siskel","47"
"327","Con","Siskel","48"
"328","Con","Siskel","49"
"329","Con","Siskel","50"
"330","Con","Siskel","51"
"331","Con","Siskel","52"
"332","Con","Siskel","53"
"333","Pro","Siskel","54"
"334","Pro","Siskel","55"
"335","Pro","Siskel","56"
"336","Pro","Siskel","57"
"337","Pro","Siskel","58"
"338","Pro","Siskel","59"
"339","Mixed","Siskel","60"
"340","Mixed","Siskel","61"
"341","Mixed","Siskel","62"
"342","Mixed","Siskel","63"
"343","Con","Siskel","64"
"344","Con","Siskel","65"
"345","Con","Siskel","66"
"346","Pro","Siskel","67"
"347","Pro","Siskel","68"
"348","Pro","Siskel","69"
"349","Pro","Siskel","70"
"350","Pro","Siskel","71"
"351","Pro","Siskel","72"
"352","Pro","Siskel","73"
"353","Pro","Siskel","74"
"354","Pro","Siskel","75"
"355","Pro","Siskel","76"
"356","Mixed","Siskel","77"
"357","Mixed","Siskel","78"
"358","Mixed","Siskel","79"
"359","Mixed","Siskel","80"
"360","Mixed","Siskel","81"
"361","Con","Siskel","82"
"362","Con","Siskel","83"
"363","Con","Siskel","84"
"364","Con","Siskel","85"
"365","Con","Siskel","86"
"366","Con","Siskel","87"
"367","Con","Siskel","88"
"368","Con","Siskel","89"
"369","Con","Siskel","90"
"370","Con","Siskel","91"
"371","Con","Siskel","92"
"372","Con","Siskel","93"
