"","time","usgdp"
"156",1985.75,6148.6
"157",1986,6207.4
"158",1986.25,6232
"159",1986.5,6291.7
"160",1986.75,6323.4
"161",1987,6365
"162",1987.25,6435
"163",1987.5,6493.4
"164",1987.75,6606.8
"165",1988,6639.1
"166",1988.25,6723.5
"167",1988.5,6759.4
"168",1988.75,6848.6
"169",1989,6918.1
"170",1989.25,6963.5
"171",1989.5,7013.1
"172",1989.75,7030.9
"173",1990,7112.1
"174",1990.25,7130.3
"175",1990.5,7130.8
"176",1990.75,7076.9
"177",1991,7040.8
"178",1991.25,7086.5
"179",1991.5,7120.7
"180",1991.75,7154.1
"181",1992,7228.2
"182",1992.25,7297.9
"183",1992.5,7369.5
"184",1992.75,7450.7
"185",1993,7459.7
"186",1993.25,7497.5
"187",1993.5,7536
"188",1993.75,7637.4
"189",1994,7715.1
"190",1994.25,7815.7
"191",1994.5,7859.5
"192",1994.75,7951.6
"193",1995,7973.7
"194",1995.25,7988
"195",1995.5,8053.1
"196",1995.75,8112
"197",1996,8169.2
"198",1996.25,8303.1
"199",1996.5,8372.7
"200",1996.75,8470.6
"201",1997,8536.1
"202",1997.25,8665.8
"203",1997.5,8773.7
"204",1997.75,8838.4
"205",1998,8936.2
"206",1998.25,8995.3
"207",1998.5,9098.9
"208",1998.75,9237.1
"209",1999,9315.5
"210",1999.25,9392.6
"211",1999.5,9502.2
"212",1999.75,9671.1
"213",2000,9695.6
"214",2000.25,9847.9
"215",2000.5,9836.6
"216",2000.75,9887.7
"217",2001,9875.6
"218",2001.25,9905.9
"219",2001.5,9871.1
"220",2001.75,9910
"221",2002,9977.3
"222",2002.25,10031.6
"223",2002.5,10090.7
"224",2002.75,10095.8
"225",2003,10138.6
"226",2003.25,10230.4
"227",2003.5,10410.9
"228",2003.75,10502.6
"229",2004,10612.5
"230",2004.25,10704.1
"231",2004.5,10808.9
"232",2004.75,10897.1
"233",2005,10999.3
"234",2005.25,11089.2
"235",2005.5,11202.3
"236",2005.75,11248.3
"237",2006,11403.6
