"","time","enplanements"
"273",2001.66666666667,31.41
"274",2001.75,39.82
"275",2001.83333333333,41.5
"276",2001.91666666667,40.45
"277",2002,38.13
"278",2002.08333333333,42.43
"279",2002.16666666667,48.05
"280",2002.25,46.48
"281",2002.33333333333,46.58
"282",2002.41666666667,50.29
