"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"26","33.6571454271101,0.469078341338497,0.151467957639923,0.023401089551393,0.621901265619179,0.624354147296757,7.4953183675543"
"27","36.7340685040332,0.444462956723112,0.139160265332231,0.0214010895513929,0.649593573311487,1.04487662193401,7.77224144447738"
"28","39.8109915809563,0.419847572107728,0.126852573024539,0.0194010895513929,0.677285881003795,2.21410739116478,8.04916452140046"
"29","42.8879146578793,0.395232187492343,0.114544880716847,0.0174010895513929,0.704978188696102,3.38333816039555,8.32608759832354"
"30","45.9648377348024,0.370616802876959,0.102237188409154,0.015401089551393,0.73267049638841,4.55256892962632,8.60301067524661"
"31","49.0417608117255,0.346001418261574,0.110070503898538,0.016598910448607,0.760362804080718,4.27820030114291,8.87993375216969"
"32","52.1186838886486,0.321386033646189,0.12237819620623,0.018598910448607,0.788055111773026,3.10896953191214,9.15685682909277"
"33","55.1956069655716,0.296770649030805,0.134685888513923,0.020598910448607,0.815747419465333,1.93973876268137,9.43377990601584"
"34","58.2725300424947,0.27215526441542,0.146993580821615,0.0225989104486071,0.843439727157641,0.770507993450603,9.71070298293892"
"35","61.3494531194178,0.247539879800035,0.159301273129307,0.024598910448607,0.871132034849949,0.898722775780165,9.98762605986199"
"36","64.4263761963409,0.222924495184651,0.171608965437,0.026598910448607,0.898824342542256,2.06795354501094,9.73545086321493"
"37","67.5032992732639,0.198309110569266,0.183916657744692,0.0285989104486071,0.926516650234564,3.2371843142417,9.45852778629185"
"38","70.580222350187,0.173693725953882,0.196224350052384,0.030598910448607,0.954208957926872,4.40641508347247,9.18160470936877"
"39","73.6571454271101,0.149078341338497,0.208532042360076,0.032598910448607,0.98190126561918,4.42435414729676,8.9046816324457"
"40","76.7340685040332,0.124462956723112,0.220839734667769,0.0345989104486071,0.990406426688513,3.25512337806599,8.62775855552262"
"41","79.8109915809563,0.10015242789225,0.233147426975461,0.0365989104486071,0.962714118996205,2.08589260883522,8.35083547859954"
"42","82.8879146578793,0.124767812507657,0.245455119283153,0.038598910448607,0.935021811303898,0.916661839604449,8.07391240167647"
"43","85.9648377348024,0.149383197123041,0.257762811590846,0.0405989104486071,0.90732950361159,0.752568929626318,7.79698932475339"
"44","89.0417608117255,0.173998581738426,0.270070503898538,0.042598910448607,0.879637195919282,1.92179969885709,7.52006624783031"
"45","92.1186838886486,0.198613966353811,0.28237819620623,0.044598910448607,0.851944888226975,3.09103046808786,7.24314317090723"
"46","95.1956069655716,0.223229350969195,0.294685888513923,0.046598910448607,0.824252580534667,4.26026123731863,6.96622009398416"
"47","98.2725300424947,0.24784473558458,0.306993580821615,0.048598910448607,0.796560272842359,4.5705079934506,6.68929701706108"
"48","98.6505468805822,0.272460120199964,0.319301273129307,0.050598910448607,0.768867965150052,3.40127722421984,6.412373940138"
"49","95.5736238036591,0.297075504815349,0.331608965437,0.052598910448607,0.741175657457744,2.23204645498907,6.13545086321493"
"50","92.496700726736,0.321690889430734,0.343916657744692,0.0545989104486071,0.713483349765436,1.0628156857583,5.85852778629185"
"51","89.419777649813,0.346306274046118,0.356224350052384,0.056598910448607,0.685791042073128,0.606415083472471,5.58160470936877"
"52","86.3428545728899,0.370921658661503,0.368532042360077,0.058598910448607,0.658098734380821,1.77564585270324,5.3046816324457"
"53","83.2659314959668,0.395537043276888,0.380839734667769,0.0605989104486071,0.630406426688513,2.94487662193401,5.02775855552262"
"54","80.1890084190437,0.420152427892272,0.393147426975461,0.062598910448607,0.602714118996205,4.11410739116478,4.75083547859954"
"55","77.1120853421207,0.444767812507657,0.405455119283153,0.064598910448607,0.575021811303898,4.71666183960446,4.47391240167647"
"56","74.0351622651976,0.469383197123042,0.417762811590846,0.0665989104486071,0.54732950361159,3.54743107037368,4.19698932475339"
"57","70.9582391882745,0.493998581738426,0.430070503898538,0.068598910448607,0.519637195919282,2.37820030114292,3.92006624783031"
"58","67.8813161113514,0.518613966353811,0.44237819620623,0.070598910448607,0.491944888226974,1.20896953191214,3.64314317090723"
"59","64.8043930344284,0.543229350969195,0.454685888513923,0.0725989104486071,0.464252580534667,0.460261237318624,3.36622009398416"
"60","61.7274699575053,0.56784473558458,0.466993580821615,0.0745989104486071,0.436560272842359,1.62949200654939,3.08929701706108"
"61","58.6505468805822,0.592460120199965,0.479301273129307,0.0765989104486071,0.408867965150051,2.79872277578016,2.812373940138"
"62","55.5736238036591,0.617075504815349,0.491608965437,0.0785989104486071,0.381175657457744,3.96795354501093,2.53545086321493"
"63","52.4967007267361,0.641690889430734,0.496083342255308,0.079401089551393,0.353483349765436,4.8628156857583,2.25852778629185"
"64","49.419777649813,0.666306274046118,0.483775649947616,0.077401089551393,0.325791042073128,3.69358491652753,1.98160470936877"
"65","46.3428545728899,0.690921658661503,0.471467957639924,0.075401089551393,0.298098734380821,2.52435414729676,1.7046816324457"
