"","chemoLowerLinearAdjust.chemoUpperLinearAdjust.Velocity.Displacement"
"49","0.015,0.2,4.47676283613776,87.2741564145714"
"50","0.015,0.2,4.4,85.4304773668208"
"51","0.015,0.2,3.95143422788662,81.301039238521"
"52","0.015,0.2,3.93529934535438,80.9391839961717"
"53","0.015,0.2,3.9911551623833,76.3738035442018"
"54","0.015,0.2,4,78.3586998111581"
"55","0.015,0.2,3.46573854148377,68.6801982810879"
"56","0.015,0.2,3.93337484516322,74.9030808489245"
"57","0.015,0.2,3.06799523238844,69.7645466986158"
"58","0.015,0.2,4,80.4021090023341"
"59","0.015,0.2,4.21537956414445,79.5039256470848"
"60","0.015,0.2,3.23147705243523,69.6386161319141"
"61","0.015,0.2,3.87281536343941,82.4609033091483"
"62","0.015,0.2,3.97745917557518,75.982317207226"
"63","0.015,0.2,4.61824025021579,85.2796694126928"
"64","0.015,0.2,2.92842329563495,62.6959292753003"
"65","0.015,0.2,4.02757651354263,77.7912529299534"
"66","0.015,0.2,3.86908230332349,80.3197945641302"
"67","0.015,0.2,4.80000000000001,82.4590758756644"
"68","0.015,0.2,4.11416909786302,77.539868492558"
"69","0.015,0.2,4.45519945737259,82.0431623920434"
"70","0.015,0.2,3.93046550280391,74.9656184107516"
"71","0.015,0.2,3.07963358762626,68.6659312697188"
"72","0.015,0.2,2.92499409738682,66.6752624708522"
"73","0.015,0.2,4,77.1255905682611"
"74","0.015,0.2,3.07581868224677,68.7850534705927"
"75","0.015,0.2,4.02166592196552,77.7468257136171"
"76","0.015,0.2,4.35113113805674,77.3408356599775"
"77","0.015,0.2,5.19999999999999,81.5451204935711"
"78","0.015,0.2,4.80000000000001,82.9455204267251"
"79","0.015,0.2,4.41584593752289,79.0791139766061"
"80","0.015,0.2,4,79.1958784610405"
"81","0.015,0.2,3.89919480981564,78.2698033441133"
"82","0.015,0.2,2.92876264099755,67.6121458302123"
"83","0.015,0.2,5.07685834898217,76.7169762562839"
"84","0.015,0.2,2.9901528164093,68.1644414950478"
"85","0.015,0.2,4.80000000000001,85.2052845485667"
"86","0.015,0.2,2.95174174313326,65.8512119107263"
"87","0.015,0.2,3.059243350808,67.1731258868427"
"88","0.015,0.2,4.58372995450355,82.6426708467536"
"89","0.015,0.2,2.98246663009781,66.5068877588847"
"90","0.015,0.2,3.96706610074178,80.3330086671779"
"91","0.015,0.2,4.34078245441527,77.5161099893748"
"92","0.015,0.2,3.95751305167651,78.9362711356691"
"93","0.015,0.2,4.49376696361052,74.4407789460638"
"94","0.015,0.2,4.43735039562478,79.6700993690806"
"95","0.015,0.2,4.10427930660746,74.3259290705608"
"96","0.015,0.2,3.12407112980946,64.8551976633351"
"97","0.015,0.2,3.02538164044066,69.4452948356583"
"98","0.015,0.2,2.88346586893115,66.699113804202"
"99","0.015,0.2,4.56595545211815,71.1785837136555"
"100","0.015,0.2,4.80000000000001,80.8364635899366"
"101","0.015,0.2,3.94124878997763,77.9908257404839"
"102","0.015,0.2,4.04181998967988,76.5295751385849"
"103","0.015,0.2,4,74.0743249082734"
"104","0.015,0.2,4.10581825010556,82.2854589409724"
"105","0.015,0.2,3.95668613932015,79.8982650447983"
"106","0.015,0.2,2.9220757757946,68.2866655681907"
"107","0.015,0.2,2.91331994648521,71.7075401861884"
"108","0.015,0.2,4,74.6639957358333"
"109","0.015,0.2,3.8746333785962,80.1600197046276"
"110","0.015,0.2,4.58378724388955,86.5504365561295"
"111","0.015,0.2,3.01326703134538,65.8095610802479"
"112","0.015,0.2,3.12423376227236,65.0346969688106"
"113","0.015,0.2,4.0439197282402,78.0494233615643"
"114","0.015,0.2,3.95585128677149,80.8473961249321"
"115","0.015,0.2,4.0167103474819,74.7026537001465"
"116","0.015,0.2,5.11725913187042,74.0194667720821"
"117","0.015,0.2,4.4,82.6660773504926"
"118","0.015,0.2,3.0571078513882,63.8047129182316"
"119","0.015,0.2,3.06344530757463,69.5922384976953"
"120","0.015,0.2,3.58746824844093,66.5232608858464"
"121","0.015,0.2,3.8870150106337,73.0759531805422"
"122","0.015,0.2,4.08042191560011,77.6696983585075"
"123","0.015,0.2,2.92663785309168,66.971386184552"
"124","0.015,0.2,3.92189938116616,75.90498696128"
"125","0.015,0.2,3.88437199192387,74.6498433971864"
"126","0.015,0.2,3.07572655867469,64.3474586896302"
"127","0.015,0.2,2.43707264902753,19.1876248631971"
"128","0.015,0.2,3.92968374943637,78.2453779239758"
"129","0.015,0.2,4.57351721333147,76.4419070261667"
"130","0.015,0.2,4.80000000000001,84.9467764083421"
"131","0.015,0.2,3.15023576408812,65.3789451522657"
"132","0.015,0.2,4.93109356322133,81.5988271846929"
"133","0.015,0.2,4.47777474897141,86.21529531025"
"134","0.015,0.2,4.57375344209709,81.4793026539155"
"135","0.015,0.2,4.80000000000001,90.2086753580391"
"136","0.015,0.2,4.78401654782254,84.0218648320269"
"137","0.015,0.2,3.98902755372528,78.3613969606383"
"138","0.015,0.2,2.91172222681549,65.741908025938"
"139","0.015,0.2,3.06225331665165,64.1888290855681"
"140","0.015,0.2,4.8364314203799,87.1246997564251"
"141","0.015,0.2,4.38720223438301,85.2577679620505"
"142","0.015,0.2,4.5105982744788,77.8602029411392"
"143","0.015,0.2,3.95267228534755,77.8595281189278"
"144","0.015,0.2,4.01390788517258,75.8036500247291"
"145","0.015,0.2,2.9499071706706,68.2900438408415"
"146","0.015,0.2,4.03602379302441,78.0694707394905"
"147","0.015,0.2,3.01037354606614,66.7657175445155"
"148","0.015,0.2,4.64707948930762,81.0356777874591"
"149","0.015,0.2,4.04314684902092,78.1658871227921"
"150","0.015,0.2,3.95582117198818,74.3842841680412"
"151","0.015,0.2,4.40375918259809,78.7198443004797"
"152","0.015,0.2,4.80000000000001,81.5845463008245"
"153","0.015,0.2,4.16226343460896,75.3839619763885"
"154","0.015,0.2,4.18315684101326,73.0005747893733"
"155","0.015,0.2,4.54173504113786,85.2581380757796"
"156","0.015,0.2,4.41170030313677,77.1637058153108"
"157","0.015,0.2,4.09516281385858,75.4223677003189"
"158","0.015,0.2,4.4,83.8216584487402"
"159","0.015,0.2,3.16608360825859,68.7143917060093"
"160","0.015,0.2,3.81730784829661,83.5972930722116"
"161","0.015,0.2,3.05668273014105,66.1981571661751"
"162","0.015,0.2,4.4,79.7358569358143"
"163","0.015,0.2,4.82659459303523,88.3579750818179"
"164","0.015,0.2,4.98298206686302,79.4391931934443"
"165","0.015,0.2,2.98333594088492,65.6503604350147"
"166","0.015,0.2,3.83690688333856,78.1857145754738"
"167","0.015,0.2,5.19896502149328,35.9265905291629"
"168","0.015,0.2,3.85519615668022,77.1342469182552"
"169","0.015,0.2,4,74.9803934009724"
"170","0.015,0.2,4.68611728624468,83.8239436129844"
"171","0.015,0.2,4.81200786425233,82.158756642187"
"172","0.015,0.2,3.02663092767274,68.6412080407161"
"173","0.015,0.2,4.59327231270565,71.0395001580126"
"174","0.015,0.2,4.01881891835832,80.3101063567074"
"175","0.015,0.2,5.19999999999999,84.1605063582909"
"176","0.015,0.2,4.41632726486741,76.5384999998616"
"177","0.015,0.2,4.80000000000001,83.4814033620075"
"178","0.015,0.2,4.37978723082833,80.3702036909543"
"179","0.015,0.2,4.80000000000001,80.1954007970714"
"180","0.015,0.2,4,76.1988029096974"
"181","0.015,0.2,2.8121382919779,62.1267650410754"
"182","0.015,0.2,4,79.3633936193056"
"183","0.015,0.2,4.80000000000001,82.0831169313074"
"184","0.015,0.2,4.60713959473873,84.2160627043484"
"185","0.015,0.2,3.12031966429313,69.0588456094273"
"186","0.015,0.2,2.99782810117234,63.6603631447391"
"187","0.015,0.2,3.96394416868445,78.1417080245054"
"188","0.015,0.2,3.940098776908,72.5696344086968"
"189","0.015,0.2,3.27295522950713,66.5609502282076"
"190","0.015,0.2,4,75.2330045751443"
"191","0.015,0.2,4.54196971785661,83.3561077141052"
"192","0.015,0.2,4.51000249180239,79.2692000334535"
"193","0.015,0.2,4.80301719204998,79.692340782481"
"194","0.015,0.2,3.17713192445525,63.6039204649554"
"195","0.015,0.2,3.9875746489127,75.998647747563"
"196","0.015,0.2,3.03241127551888,69.1560374899053"
"197","0.015,0.2,4.25390870407908,79.899907029315"
"198","0.015,0.2,2.95024437575209,63.6127278543347"
"199","0.015,0.2,4.71170868698607,84.6471001134743"
"200","0.015,0.2,4.80000000000001,82.669538119372"
"201","0.015,0.2,4.40977865216257,87.9450431939675"
"202","0.015,0.2,4.10773266920028,84.6797341579531"
"203","0.015,0.2,4,79.0086703883603"
"204","0.015,0.2,4.56544235899314,83.2392168036832"
"205","0.015,0.2,3.99308677238561,69.8110508712833"
"206","0.015,0.2,4.35259490264523,73.5468541017563"
"207","0.015,0.2,5.00238575976659,82.9098488124138"
"208","0.015,0.2,4.51584898890108,83.1034373821471"
"209","0.015,0.2,4,78.7139094639031"
"210","0.015,0.2,4,79.0424763022479"
"211","0.015,0.2,4,74.2214805973369"
"212","0.015,0.2,4.62086907164163,81.0429166350487"
"213","0.015,0.2,3.92511564811975,77.412548274613"
"214","0.015,0.2,4.54888633803626,81.8885602551379"
"215","0.015,0.2,3.0873999727051,65.7858547174421"
"216","0.015,0.2,3.0370712748184,70.0703612270705"
"217","0.015,0.2,2.94053929654979,65.2446519453223"
"218","0.015,0.2,4.99002045755833,81.8530830836136"
"219","0.015,0.2,4.80205252018194,80.2167218091788"
"220","0.015,0.2,4.08594012451701,81.0753127409045"
"221","0.015,0.2,4.41211013411234,75.9875899975018"
"222","0.015,0.2,3.53011021387967,68.5280501964191"
"223","0.015,0.2,2.98949627398863,62.1303795427438"
"224","0.015,0.2,2.97069866202188,65.2996518043163"
"225","0.015,0.2,4.00133909610629,79.1721943291701"
"226","0.015,0.2,2.86700860108399,64.5760879307256"
"227","0.015,0.2,2.99971007495026,70.5299947138196"
"228","0.015,0.2,4.80000000000001,89.0188858230199"
"229","0.015,0.2,4.4,80.1152610333627"
"230","0.015,0.2,3.00406352652286,65.0904020284345"
"231","0.015,0.2,4.10301263362761,79.8585621650085"
"232","0.015,0.2,3.00892203934372,65.5641636047224"
"233","0.015,0.2,3.09492761167592,67.9775472444859"
"234","0.015,0.2,3.90728910538636,82.2072168915249"
"235","0.015,0.2,4,75.317050874606"
"236","0.015,0.2,3.97649663000133,79.5725722651408"
"237","0.015,0.2,4.4,77.2842478144153"
"238","0.015,0.2,4.47274742113545,84.7911535337058"
"239","0.015,0.2,4.4,81.4561649208225"
"240","0.015,0.2,3.07134274252399,67.9613217679274"
"241","0.015,0.2,2.88394061110323,70.8559766529349"
"242","0.015,0.2,3.17887378691957,65.6737853803658"
"243","0.015,0.2,3.1767618040223,68.4100593700137"
"244","0.015,0.2,3.04444854810175,65.6693006159597"
"245","0.015,0.2,4.11979806081301,82.7595975053365"
"246","0.015,0.2,3.7798315656632,80.5937799058036"
"247","0.015,0.2,4.80000000000001,86.3395529080826"
"248","0.015,0.2,2.99085060773916,66.845842849907"
"249","0.015,0.2,4,78.1870947979486"
"250","0.015,0.2,3.80183446024578,68.8797447820664"
"251","0.015,0.2,4,75.0981938373597"
"252","0.015,0.2,3.98873327102364,71.590055810209"
"253","0.015,0.2,3.00182754601009,67.4183162954367"
"254","0.015,0.2,4.02367537067172,73.320521354323"
"255","0.015,0.2,3.01256786426666,68.3210496590254"
"256","0.015,0.2,5.20418879563868,82.4980599363321"
"257","0.015,0.2,4.80000000000001,83.0041197458073"
"258","0.015,0.2,3.83523114224111,76.6683781295135"
"259","0.015,0.2,4.4,87.3146963068863"
"260","0.015,0.2,4.80171513167178,82.2365054008299"
"261","0.015,0.2,4,78.5009333043272"
"262","0.015,0.2,4.80000000000001,92.4850636908372"
"263","0.015,0.2,4.64542703393946,82.5396715158332"
"264","0.015,0.2,4.80000000000001,75.881273343146"
"265","0.015,0.2,5.03554761360743,86.1864264810434"
"266","0.015,0.2,3.08287290977984,67.4103744909264"
"267","0.015,0.2,5.04398969698564,83.4422347625301"
"268","0.015,0.2,3.06852377088849,66.958724535823"
"269","0.015,0.2,4.80000000000001,83.8446649804678"
"270","0.015,0.2,4,77.3094027545608"
"271","0.015,0.2,4.80000000000001,84.024326864718"
"272","0.015,0.2,2.95477549899445,68.9669753326362"
"273","0.015,0.2,3.2309762310938,69.6110610056744"
"274","0.015,0.2,6.02211867378544,21.2472717532827"
"275","0.015,0.2,4.80000000000001,84.5073537564665"
"276","0.015,0.2,4.08057388055581,79.7114074440167"
"277","0.015,0.2,3.94023446804359,78.1883838124726"
"278","0.015,0.2,3.71864254089081,64.3641088634045"
"279","0.015,0.2,3.01380523049419,64.228663798695"
"280","0.015,0.2,2.96597837420984,70.6184436402924"
"281","0.015,0.2,3.96002666932301,74.6539844627379"
"282","0.015,0.2,3.4281564374724,71.4811320086379"
"283","0.015,0.2,3.9984626951905,70.576141296507"
"284","0.015,0.2,4.80001393582538,88.3521638445929"
"285","0.015,0.2,5.09073187340781,88.3134930417402"
"286","0.015,0.2,4.09262479109905,80.5575200463516"
"287","0.015,0.2,4.48987692101114,75.2681962551439"
"288","0.015,0.2,3.06867929494776,68.1907005858381"
"289","0.015,0.2,4,72.0943337687373"
"290","0.015,0.2,4.58543376626141,83.491611542881"
"291","0.015,0.2,3.97906094339196,76.065780867462"
"292","0.015,0.2,3.97638210664403,77.2486349112863"
"293","0.015,0.2,5.11516924695881,83.1079351401891"
"294","0.015,0.2,2.9643070383926,62.4574043705729"
"295","0.015,0.2,4.1528576427309,82.8529561629856"
"296","0.02,0.2,2.76399459199026,53.8492731119604"
"297","0.02,0.2,3.63334943642041,69.8049596909449"
"298","0.02,0.2,4.79823211734878,75.1811886229281"
"299","0.02,0.2,2.72105689480525,56.5854018713238"
"300","0.02,0.2,4.68492648501549,73.0998391447481"
"301","0.02,0.2,2.60755645463946,55.7880377083504"
"302","0.02,0.2,4.32426195310999,70.4351425805862"
"303","0.02,0.2,2.67594439814932,54.8370505714898"
"304","0.02,0.2,3.60136992119792,71.4297547560775"
"305","0.02,0.2,3.63349817749345,71.3116060675204"
"306","0.02,0.2,3.71792533366598,70.788609797553"
"307","0.02,0.2,3.06520144881732,54.6760821642762"
"308","0.02,0.2,2.76138702358148,57.7634717741167"
"309","0.02,0.2,3.75299622120083,67.3017456550229"
"310","0.02,0.2,5.13382491987079,74.7203718851667"
"311","0.02,0.2,2.73586071129113,60.418008833539"
"312","0.02,0.2,3.62575502101676,69.9315724938271"
"313","0.02,0.2,3.99029968416928,64.0907828323241"
"314","0.02,0.2,3.75352657105633,58.9131449701596"
"315","0.02,0.2,2.87725372721813,54.4213264898235"
"316","0.02,0.2,2.90028721458513,56.4334643818612"
"317","0.02,0.2,2.67531830318075,55.9230872095798"
"318","0.02,0.2,3.51032213589261,67.6639611162439"
"319","0.02,0.2,3.70911999024884,70.2660643408757"
"320","0.02,0.2,3.66283297143372,67.4188660425414"
"321","0.02,0.2,3.32303452762904,56.6834500433276"
"322","0.02,0.2,2.80758768964542,61.5465863863669"
"323","0.02,0.2,3.77532495623345,64.0634680366238"
"324","0.02,0.2,2.60576684216046,52.5036357385815"
"325","0.02,0.2,2.61143164980767,60.6095051992795"
"326","0.02,0.2,4.73036512411984,81.9971379358688"
"327","0.02,0.2,3.60353508216379,70.0901360132917"
"328","0.02,0.2,3.55714141636891,71.8269238583802"
"329","0.02,0.2,3.40871705476539,62.5121044671568"
"330","0.02,0.2,4.33411091718529,78.9673079721275"
"331","0.02,0.2,4.36425425631302,77.0157969296762"
"332","0.02,0.2,3.85514743689769,67.7508604439566"
"333","0.02,0.2,3.54649201206388,65.4267385961138"
"334","0.02,0.2,2.73028052493543,51.3433263838904"
"335","0.02,0.2,3.80774759831759,70.4368963930908"
"336","0.02,0.2,3.73464022235142,65.4746445333117"
"337","0.02,0.2,3.56754494520744,66.2441835797117"
"338","0.02,0.2,3.59506718545416,60.9994434077544"
"339","0.02,0.2,3.58640275198753,66.875334514669"
"340","0.02,0.2,4.34675890942942,71.8986093757631"
"341","0.02,0.2,5.14777249195751,79.3721302881461"
"342","0.02,0.2,3.87291176692923,69.0615635479355"
"343","0.02,0.2,3.58324462015491,67.3146597433091"
"344","0.02,0.2,4.99033280173562,74.8818504708774"
"345","0.02,0.2,3.83824240426692,66.0404164567843"
"346","0.02,0.2,3.36344812893185,55.7279392854478"
"347","0.02,0.2,3.50504375868193,62.1548623302972"
"348","0.02,0.2,4.25874274191656,73.5489961348223"
"349","0.02,0.2,2.7162511674111,50.361868705806"
"350","0.02,0.2,4.80000000000001,76.4726426459969"
"351","0.02,0.2,4.6484501764042,72.5407452125547"
"352","0.02,0.2,4.05733443878902,75.4313636540574"
"353","0.02,0.2,5.03930790378925,71.7835998237295"
"354","0.02,0.2,2.68051982010986,50.3314997425456"
"355","0.02,0.2,4.4,67.7933340960004"
"356","0.02,0.2,4.60144780242115,69.2910820349636"
"357","0.02,0.2,4.47110113771766,74.5294473667729"
"358","0.02,0.2,4.6205457496222,73.1921845461203"
"359","0.02,0.2,3.70675144757848,62.7846428189228"
"360","0.02,0.2,4.65851213745646,62.7558417363138"
"361","0.02,0.2,3.7306566806783,68.9560718287194"
"362","0.02,0.2,4.80000000000001,78.7785738312248"
"363","0.02,0.2,2.91994996625957,60.8649265454649"
"364","0.02,0.2,4.37770806000769,70.9174938657593"
"365","0.02,0.2,4.50228384831373,66.8675133890078"
"366","0.02,0.2,3.73118350170197,71.3887731375051"
"367","0.02,0.2,3.92148835603409,69.5456821347524"
"368","0.02,0.2,3.69436204590946,67.7494321272411"
"369","0.02,0.2,3.62226107330017,63.4640579923118"
"370","0.02,0.2,2.85799229507723,56.9407141408069"
"371","0.02,0.2,4.4,77.571738438766"
"372","0.02,0.2,2.61068069735034,56.1277837960602"
"373","0.02,0.2,2.61772647316334,53.8519892335433"
"374","0.02,0.2,2.67009062468256,54.1623480982462"
"375","0.02,0.2,4.29804775837773,62.2383906265183"
"376","0.02,0.2,4.27591162171336,72.5055393518759"
"377","0.02,0.2,3.67313907655829,66.4321050436291"
"378","0.02,0.2,3.60077620562314,61.7567438103443"
"379","0.02,0.2,4.14896385421519,74.2199687719023"
"380","0.02,0.2,3.61239644978693,66.2540814782388"
"381","0.02,0.2,2.98664699269388,57.544488722919"
"382","0.02,0.2,3.54447452042439,67.2500798151962"
"383","0.02,0.2,5.16666154366561,78.3094365459937"
"384","0.02,0.2,2.87473501515785,60.3454008178786"
"385","0.02,0.2,3.43669166812849,63.379487565763"
"386","0.02,0.2,3.8085491538309,65.5939181254427"
"387","0.02,0.2,3.74313110039568,60.3356493239927"
"388","0.02,0.2,2.58356348081444,56.6808147326145"
"389","0.02,0.2,3.77011744818809,67.9267905792633"
"390","0.02,0.2,4.32806526992449,72.7416614303968"
"391","0.02,0.2,2.75792732296708,52.7335309487167"
"392","0.02,0.2,2.63984939013588,53.3404656008665"
"393","0.02,0.2,3.77703974423557,64.7016472082516"
"394","0.02,0.2,4.3830981194564,71.920636877424"
"395","0.02,0.2,2.90467049611721,61.4556479890821"
"396","0.02,0.2,2.77742297710129,57.3172966313136"
"397","0.02,0.2,4.46407773765271,67.8909006533753"
"398","0.02,0.2,2.74554943718098,55.6548322562664"
"399","0.02,0.2,3.64516423836558,72.4135316214267"
"400","0.02,0.2,4.35770329505215,70.9776572552121"
"401","0.02,0.2,2.78528257455281,56.4356059150771"
"402","0.02,0.2,3.32207417629126,57.1542178729378"
"403","0.02,0.2,4.80000000000001,72.4285077859083"
"404","0.02,0.2,3.78872211873761,64.4295746103096"
"405","0.02,0.2,4.61677974377399,70.4578248124632"
"406","0.02,0.2,3.93225672635613,61.2889485292745"
"407","0.02,0.2,2.72118013136509,57.4271092759648"
"408","0.02,0.2,2.79636787051428,51.6728898599509"
"409","0.02,0.2,3.82615075828185,69.2122514872577"
"410","0.02,0.2,3.59317888505688,69.8671547837464"
"411","0.02,0.2,3.31244835785493,59.7887035139238"
"412","0.02,0.2,2.86500664309667,59.8762906610822"
"413","0.02,0.2,4.71341885282344,70.2965802098002"
"414","0.02,0.2,3.70914694772226,64.1036432099126"
"415","0.02,0.2,3.69239833154326,74.4870436995091"
"416","0.02,0.2,5.19999999999999,81.0776180181011"
"417","0.02,0.2,3.89491650031628,69.8394280748873"
"418","0.02,0.2,4.16035814073127,74.8619078191082"
"419","0.02,0.2,4.4,76.6276696720008"
"420","0.02,0.2,2.68816281805866,62.6324068966425"
"421","0.02,0.2,4,69.9814733192582"
"422","0.02,0.2,2.63529619227447,55.6314945401742"
"423","0.02,0.2,4.74914083516205,79.2401283733088"
"424","0.02,0.2,3.73680981817863,67.8336036979335"
"425","0.02,0.2,3.77681656862611,69.6058840535728"
"426","0.02,0.2,4.34738568890555,73.1243592708628"
"427","0.02,0.2,4.68318410116844,62.0586149627416"
"428","0.02,0.2,2.70918946529764,56.3661432517618"
"429","0.02,0.2,3.65868830115779,69.0400215246221"
"430","0.02,0.2,2.6571240318064,53.0221712543553"
"431","0.02,0.2,3.60591227677068,74.1895833222459"
"432","0.02,0.2,3.88411995997835,61.9315515003615"
"433","0.02,0.2,3.68471582083644,72.4178073102601"
"434","0.02,0.2,3.81076703820234,68.2879975867298"
"435","0.02,0.2,4.57232222260025,80.9360511494099"
"436","0.02,0.2,4.3152482033037,76.7742783285261"
"437","0.02,0.2,2.50726132322912,51.9749674414006"
"438","0.02,0.2,5.10516477199384,86.6102037939408"
"439","0.02,0.2,3.78232435211001,73.2024578130276"
"440","0.02,0.2,2.77213724139606,56.0423371103507"
"441","0.02,0.2,2.96412137444304,55.8650016819228"
"442","0.02,0.2,3.83538173152759,68.6899311424738"
"443","0.02,0.2,2.7964514061343,65.4583921433966"
"444","0.02,0.2,3.69860401334748,64.7118066427197"
"445","0.02,0.2,2.74027777562556,57.9100596793112"
"446","0.02,0.2,4.85480378798433,78.5122640683587"
"447","0.02,0.2,4.02925864695041,70.3048423675265"
"448","0.02,0.2,3.79863777201264,66.1179405130201"
"449","0.02,0.2,3.59831157291159,66.169055936693"
"450","0.02,0.2,3.55402082816182,65.327382527945"
"451","0.02,0.2,2.74374369067612,58.3464569577046"
"452","0.02,0.2,4.37604390666858,58.6430570537893"
"453","0.02,0.2,3.74592512610286,70.0052357909249"
"454","0.02,0.2,3.72447182288972,71.4842979098517"
"455","0.02,0.2,3.51761431550099,68.1275712940121"
"456","0.02,0.2,4.84360618995183,71.614099610477"
"457","0.02,0.2,4.62803089330836,65.5282993475847"
"458","0.02,0.2,2.74037675763365,57.4904433492502"
"459","0.02,0.2,3.52399382396022,68.2500509180744"
"460","0.02,0.2,3.65390098549517,63.7199929189801"
"461","0.02,0.2,3.56100669027289,66.9568149926263"
"462","0.02,0.2,3.58947502046053,65.2711846723209"
"463","0.02,0.2,2.71418611063035,61.0800950558308"
"464","0.02,0.2,3.58890408763329,67.8726037375507"
"465","0.02,0.2,2.62950921526512,52.2489713714672"
"466","0.02,0.2,2.79960245358097,56.1351624296777"
"467","0.02,0.2,3.87471696912432,65.3155020785055"
"468","0.02,0.2,4.45070295884305,73.0590696203832"
"469","0.02,0.2,4.43536374103333,73.7010395189675"
"470","0.02,0.2,4.34946006471175,77.4890160372594"
"471","0.02,0.2,4.06844929343464,73.2675268862133"
"472","0.02,0.2,4.37762824431505,69.5118905302858"
"473","0.02,0.2,4.40090424813147,69.6484517790209"
"474","0.02,0.2,3.71636318916759,75.2740435179083"
"475","0.02,0.2,4.4,82.3649174652682"
"476","0.02,0.2,4.56426713653165,64.3393932699922"
"477","0.02,0.2,4.02888008047879,70.5783788213677"
"478","0.02,0.2,4.80000000000001,77.0075722894706"
"479","0.02,0.2,2.65807943803683,51.2139989252769"
"480","0.02,0.2,2.75675837408806,57.3515208253788"
"481","0.02,0.2,2.70184292616278,51.8452969272649"
"482","0.02,0.2,5.0429217347297,76.4820146090281"
"483","0.02,0.2,3.7012027215583,65.4402440064827"
"484","0.02,0.2,4.47219393190998,78.16532775844"
"485","0.02,0.2,3.81836666289274,70.2370332736615"
"486","0.02,0.2,3.17525212896899,54.6870588047504"
"487","0.02,0.2,3.6,69.4978138793841"
"488","0.02,0.2,4.73394935625956,76.6395516155517"
"489","0.02,0.2,4.367253812435,73.6877991715411"
"490","0.02,0.2,4.06424593374646,68.905970168116"
"491","0.02,0.2,4.16479208906739,66.0997085007352"
"492","0.02,0.2,3.92428067050068,70.9614723552137"
"493","0.02,0.2,3.66903448706147,66.7599384208593"
"494","0.02,0.2,4.80000000000001,74.755958897534"
"495","0.02,0.2,3.6,70.3991563959214"
"496","0.02,0.2,2.73524011862238,55.0965611261341"
"497","0.02,0.2,3.65934855231935,67.4292206231396"
"498","0.02,0.2,4.39087426827999,71.0196995391144"
"499","0.02,0.2,4.91162268601541,71.2041347899243"
"500","0.02,0.2,2.5703988392338,60.4049911913625"
"501","0.02,0.2,2.72799994335032,57.9313070617104"
"502","0.02,0.2,2.86420044910589,63.1960206524093"
"503","0.02,0.2,3.54762690138468,67.8754938913404"
"504","0.02,0.2,3.91962649475722,64.8245432371303"
"505","0.02,0.2,2.77116905510221,57.0817343211909"
