"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"45","57.0295352610544,0.17368280511636,0.245862167563576,0.0348034200058319,0.946395539336193,1.06851895049107,8.88836617565069"
"46","60.1064583379775,0.223240271806717,0.258169859871268,0.0368034200058319,0.918703231643885,0.922365104337222,8.61144309872761"
"47","63.1833814149006,0.420163348729794,0.270477552178961,0.0388034200058319,0.891010923951578,0.776211258183377,8.33452002180454"
"48","66.2603044918237,0.617086425652871,0.282785244486653,0.0408034200058319,0.86331861625927,0.63005741202953,8.05759694488146"
"49","69.3372275687467,0.814009502575947,0.295092936794345,0.0428034200058319,0.835626308566962,0.483903565875685,7.78067386795838"
"50","72.4141506456698,0.789067420500975,0.307400629102038,0.0448034200058319,0.807934000874655,0.337749719721838,7.50375079103531"
"51","75.4910737225929,0.592144343577899,0.31970832140973,0.0468034200058319,0.780241693182347,0.308404126432008,7.22682771411223"
"52","78.567996799516,0.395221266654822,0.332016013717422,0.0488034200058319,0.752549385490039,0.454557972585854,6.94990463718915"
"53","81.644919876439,0.198298189731745,0.344323706025114,0.0508034200058319,0.724857077797732,0.6007118187397,6.67298156026608"
"54","84.7218429533621,0.198624887191332,0.356631398332807,0.0528034200058319,0.697164770105424,0.746865664893546,6.396058483343"
"55","87.7987660302852,0.395547964114408,0.368939090640499,0.0548034200058319,0.669472462413116,0.893019511047391,6.11913540641992"
"56","90.8756891072083,0.592471041037486,0.381246782948191,0.0568034200058319,0.641780154720808,1.03917335720124,5.84221232949684"
"57","93.9526121841313,0.789394117960562,0.393554475255884,0.0588034200058319,0.614087847028501,1.18532720335508,5.56528925257377"
"58","97.0295352610544,0.81368280511636,0.405862167563576,0.0608034200058319,0.586395539336193,1.33148104950893,5.28836617565069"
"59","99.8935416620224,0.616759728193284,0.418169859871268,0.0628034200058319,0.558703231643885,1.47763489566278,5.01144309872761"
"60","96.8166185850994,0.419836651270207,0.430477552178961,0.0648034200058319,0.531010923951578,1.62378874181662,4.73452002180454"
"61","93.7396955081763,0.222913574347129,0.442785244486653,0.0668034200058319,0.50331861625927,1.76994258797047,4.45759694488146"
"62","90.6627724312532,0.174009502575947,0.455092936794345,0.0688034200058319,0.475626308566962,1.91609643412431,4.18067386795838"
"63","87.5858493543302,0.370932579499024,0.467400629102038,0.0708034200058318,0.447934000874655,2.06225028027816,3.90375079103531"
"64","84.5089262774071,0.567855656422101,0.47970832140973,0.0728034200058318,0.420241693182347,2.20840412643201,3.62682771411223"
"65","81.432003200484,0.764778733345178,0.492016013717422,0.0748034200058319,0.392549385490039,2.35455797258585,3.34990463718915"
