"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"16","22.9751571991409,0.618026825023385,0.165429516314314,0.0696294993902556,0.6736149752706,0.995432740091706,4.4335243885477"
"17","19.8982341222179,0.593411440408001,0.153121824006622,0.0743705006097443,0.701307282962908,0.849278893937859,4.71044746547078"
"18","16.8213110452948,0.568796055792616,0.140814131698929,0.0583705006097443,0.728999590655216,0.703125047784013,4.98737054239385"
"19","13.7443879683717,0.544180671177231,0.128506439391237,0.0423705006097444,0.756691898347523,0.556971201630167,5.26429361931693"
"20","10.6674648914486,0.519565286561847,0.116198747083545,0.0263705006097444,0.784384206039831,0.41081735547632,5.54121669624001"
"21","7.59054181452554,0.494949901946462,0.103891054775852,0.0196294993902557,0.812076513732139,0.264663509322479,5.81813977316308"
"22","4.51361873760249,0.470334517331077,0.10841663753184,0.0356294993902557,0.839768821424446,0.38149033683137,6.09506285008616"
"23","1.4366956606794,0.445719132715693,0.120724329839532,0.0516294993902557,0.867461129116754,0.527644182985218,6.37198592700924"
"24","1.64022741624368,0.421103748100308,0.133032022147225,0.0676294993902557,0.895153436809062,0.673798029139064,6.64890900393232"
"25","4.71715049316676,0.396488363484924,0.145339714454917,0.0763705006097443,0.922845744501369,0.819951875292911,6.92583208085539"
"26","7.79407357008983,0.371872978869539,0.157647406762609,0.0603705006097443,0.950538052193677,0.966105721446756,7.20275515777847"
"27","10.8709966470129,0.347257594254154,0.169955099070301,0.0443705006097443,0.978230359885985,1.1122595676006,7.47967823470155"
"28","13.947919723936,0.32264220963877,0.182262791377994,0.0283705006097443,0.994077332421707,1.25841341375445,7.75660131162462"
"29","17.0248428008591,0.298026825023385,0.194570483685686,0.0176294993902557,0.9663850247294,1.40456725990829,8.0335243885477"
"30","20.1017658777821,0.273411440408,0.206878175993378,0.0336294993902557,0.938692717037092,1.55072110606214,8.31044746547078"
"31","23.1786889547052,0.248796055792616,0.219185868301071,0.0496294993902557,0.911000409344784,1.69687495221599,8.58737054239385"
"32","26.2556120316283,0.224180671177231,0.231493560608763,0.0656294993902557,0.883308101652477,1.84302879836983,8.86429361931693"
"33","29.3325351085514,0.199565286561847,0.243801252916455,0.0783705006097443,0.855615793960169,1.98918264452368,9.14121669624001"
"34","32.4094581854745,0.174949901946462,0.256108945224148,0.0623705006097443,0.827923486267861,2.13533649067753,9.41813977316308"
"35","35.4863812623975,0.150334517331077,0.26841663753184,0.0463705006097443,0.800231178575554,2.28149033683137,9.69506285008616"
"36","38.5633043393206,0.125719132715693,0.280724329839532,0.0303705006097444,0.772538870883246,2.42764418298522,9.97198592700924"
"37","41.6402274162437,0.101103748100309,0.293032022147224,0.0156294993902557,0.744846563190938,2.57379802913906,9.75109099606769"
"38","44.7171504931667,0.123511636515076,0.305339714454917,0.0316294993902557,0.717154255498631,2.71995187529291,9.47416791914461"
"39","47.7940735700898,0.148127021130461,0.317647406762609,0.0476294993902557,0.689461947806323,2.86610572144676,9.19724484222153"
"40","50.8709966470129,0.172742405745846,0.329955099070301,0.0636294993902557,0.661769640114015,3.0122595676006,8.92032176529845"
"41","53.947919723936,0.19735779036123,0.342262791377994,0.0796294993902556,0.634077332421707,3.15841341375445,8.64339868837538"
"42","57.0248428008591,0.221973174976615,0.354570483685686,0.0643705006097444,0.6063850247294,3.30456725990829,8.3664756114523"
"43","60.1017658777821,0.246588559591999,0.366878175993378,0.0483705006097444,0.578692717037092,3.45072110606214,8.08955253452922"
"44","63.1786889547052,0.271203944207384,0.379185868301071,0.0323705006097444,0.551000409344784,3.59687495221599,7.81262945760615"
"45","66.2556120316283,0.295819328822769,0.391493560608763,0.0163705006097444,0.523308101652477,3.74302879836983,7.53570638068307"
"46","69.3325351085514,0.320434713438153,0.403801252916455,0.0296294993902556,0.495615793960169,3.88918264452368,7.25878330375999"
"47","72.4094581854745,0.345050098053538,0.416108945224148,0.0456294993902556,0.467923486267861,4.03533649067753,6.98186022683691"
"48","75.4863812623975,0.369665482668922,0.42841663753184,0.0616294993902556,0.440231178575554,4.18149033683137,6.70493714991384"
"49","78.5633043393206,0.394280867284307,0.440724329839532,0.0776294993902556,0.412538870883246,4.32764418298522,6.42801407299076"
"50","81.6402274162437,0.418896251899692,0.453032022147224,0.0663705006097443,0.384846563190938,4.47379802913906,6.15109099606768"
"51","84.7171504931668,0.443511636515077,0.465339714454917,0.0503705006097444,0.357154255498631,4.61995187529291,5.87416791914461"
"52","87.7940735700898,0.468127021130461,0.477647406762609,0.0343705006097444,0.329461947806323,4.76610572144676,5.59724484222153"
"53","90.8709966470129,0.492742405745846,0.489955099070301,0.0183705006097443,0.301769640114015,4.9122595676006,5.32032176529845"
"54","93.947919723936,0.51735779036123,0.497737208622006,0.0276294993902556,0.274077332421708,4.94158658624555,5.04339868837538"
"55","97.024842800859,0.541973174976615,0.485429516314314,0.0436294993902556,0.2463850247294,4.79543274009171,4.7664756114523"
"56","99.8982341222176,0.566588559591999,0.473121824006622,0.0596294993902556,0.218692717037092,4.64927889393786,4.48955253452922"
"57","96.8213110452948,0.591203944207384,0.460814131698929,0.0756294993902556,0.191000409344784,4.50312504778401,4.21262945760615"
"58","93.7443879683717,0.615819328822769,0.448506439391237,0.0683705006097443,0.163308101652477,4.35697120163017,3.93570638068307"
"59","90.6674648914486,0.640434713438153,0.436198747083545,0.0523705006097444,0.135615793960169,4.21081735547632,3.65878330375999"
"60","87.5905418145256,0.665050098053538,0.423891054775852,0.0363705006097444,0.107923486267861,4.06466350932248,3.38186022683692"
"61","84.5136187376025,0.689665482668922,0.41158336246816,0.0203705006097444,0.119768821424446,3.91850966316863,3.10493714991384"
"62","81.4366956606794,0.714280867284307,0.399275670160468,0.0256294993902556,0.147461129116754,3.77235581701478,2.82801407299076"
"63","78.3597725837563,0.738896251899692,0.386967977852776,0.0416294993902556,0.175153436809062,3.62620197086094,2.55109099606769"
"64","75.2828495068332,0.763511636515076,0.374660285545083,0.0576294993902556,0.202845744501369,3.48004812470709,2.27416791914461"
"65","72.2059264299102,0.788127021130461,0.362352593237391,0.0736294993902556,0.230538052193677,3.33389427855324,1.99724484222153"
