"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"35","31.3903277281385,0.244186760531022,0.374044400989436,0.0782766947369091,0.923186769936807,0.555975264443372,7.03228691830658"
"36","56.0057123435231,0.219571375915637,0.386352093297128,0.0797233052630909,0.950879077629115,0.409821418289526,6.7553638413835"
"37","80.6210969589077,0.194955991300253,0.398659785604821,0.0777233052630909,0.978571385321422,0.263667572135677,6.47844076446043"
"38","94.7635184257076,0.170340606684868,0.410967477912513,0.0757233052630909,0.99373630698627,0.382486274018166,6.20151768753735"
"39","70.1481338103231,0.145725222069484,0.423275170220205,0.0737233052630909,0.966043999293962,0.528640120172013,5.92459461061427"
"40","45.5327491949384,0.121109837454099,0.435582862527898,0.0717233052630909,0.938351691601655,0.67479396632586,5.64767153369119"
"41","20.9173645795538,0.103505547161285,0.44789055483559,0.0697233052630909,0.910659383909347,0.820947812479705,5.37074845676812"
"42","3.69802003583081,0.12812093177667,0.460198247143282,0.0677233052630909,0.882967076217039,0.967101658633551,5.09382537984504"
"43","28.3134046512154,0.152736316392055,0.472505939450975,0.0657233052630909,0.855274768524732,1.1132555047874,4.81690230292196"
"44","52.9287892666,0.177351701007439,0.484813631758667,0.0637233052630909,0.827582460832424,1.25940935094124,4.53997922599889"
"45","77.5441738819846,0.201967085622824,0.497121324066359,0.0617233052630909,0.799890153140116,1.40556319709509,4.26305614907581"
"46","97.8404415026307,0.226582470238209,0.490570983625948,0.0597233052630909,0.772197845447809,1.55171704324894,3.98613307215273"
"47","73.2250568872461,0.251197854853593,0.478263291318256,0.0577233052630909,0.744505537755501,1.69787088940278,3.70920999522966"
"48","48.6096722718615,0.275813239468978,0.465955599010564,0.0557233052630909,0.716813230063193,1.84402473555663,3.43228691830658"
"49","23.9942876564769,0.300428624084362,0.453647906702871,0.0537233052630909,0.689120922370886,1.99017858171047,3.1553638413835"
"50","0.621096958907813,0.325044008699747,0.441340214395179,0.0517233052630909,0.661428614678578,2.13633242786432,2.87844076446042"
"51","25.2364815742923,0.349659393315132,0.429032522087487,0.0497233052630909,0.63373630698627,2.28248627401817,2.60151768753735"
"52","49.8518661896769,0.374274777930517,0.416724829779795,0.0477233052630909,0.606043999293962,2.42864012017201,2.32459461061427"
"53","74.4672508050616,0.398890162545901,0.404417137472102,0.0457233052630909,0.578351691601655,2.57479396632586,2.0476715336912"
"54","99.0826354204462,0.423505547161286,0.39210944516441,0.0437233052630909,0.550659383909347,2.72094781247971,1.77074845676812"
"55","76.3019799641692,0.44812093177667,0.379801752856718,0.0417233052630909,0.522967076217039,2.86710165863355,1.49382537984504"
"56","51.6865953487846,0.472736316392055,0.367494060549025,0.0397233052630909,0.495274768524732,3.0132555047874,1.21690230292196"
"57","27.0712107334,0.497351701007439,0.355186368241333,0.0377233052630909,0.467582460832424,3.15940935094124,1.06002077400112"
"58","2.45582611801533,0.521967085622824,0.342878675933641,0.0357233052630909,0.439890153140116,3.30556319709509,1.33694385092419"
"59","22.1595584973693,0.546582470238209,0.330570983625948,0.0337233052630909,0.412197845447809,3.45171704324894,1.61386692784727"
"60","46.7749431127538,0.571197854853593,0.318263291318256,0.0317233052630909,0.384505537755501,3.59787088940278,1.89079000477034"
"61","71.3903277281385,0.595813239468978,0.305955599010564,0.0297233052630909,0.356813230063193,3.74402473555663,2.16771308169342"
"62","96.0057123435231,0.620428624084362,0.293647906702872,0.0277233052630909,0.329120922370886,3.89017858171047,2.4446361586165"
"63","79.3789030410924,0.645044008699747,0.281340214395179,0.0257233052630909,0.301428614678578,4.03633242786432,2.72155923553957"
"64","54.7635184257077,0.669659393315132,0.269032522087487,0.0237233052630909,0.27373630698627,4.18248627401817,2.99848231246265"
"65","30.1481338103231,0.694274777930517,0.256724829779795,0.0217233052630909,0.246043999293962,4.32864012017201,3.27540538938573"
