"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"17","92.9630976163137,0.887960784504047,0.299256909827773,0.0458964673914015,0.703580652973972,3.06955734713612,5.01561303849404"
"18","96.0400206932368,0.887423830880569,0.286949217520081,0.0478964673914015,0.482042191435511,2.92340350098227,5.29253611541711"
"19","99.1169437701599,0.862808446265184,0.274641525212389,0.0498964673914015,0.26050372989705,2.77724965482843,5.56945919234019"
"20","97.806133152917,0.838193061649799,0.262333832904696,0.0518964673914015,0.161034731641412,2.63109580867458,5.84638226926327"
"21","94.7292100759939,0.813577677034415,0.250026140597004,0.0538964673914015,0.382573193179874,2.48494196252073,6.12330534618634"
"22","91.6522869990709,0.78896229241903,0.237718448289312,0.0558964673914015,0.604111654718335,2.33878811636689,6.40022842310942"
"23","88.5753639221478,0.764346907803646,0.22541075598162,0.0578964673914015,0.825650116256797,2.19263427021304,6.6771515000325"
"24","85.4984408452247,0.739731523188261,0.213103063673927,0.0598964673914015,0.952811422204742,2.0464804240592,6.95407457695558"
"25","82.4215177683016,0.715116138572876,0.200795371366235,0.0618964673914015,0.73127296066628,1.90032657790535,7.23099765387865"
"26","79.3445946913786,0.690500753957492,0.188487679058543,0.0638964673914015,0.509734499127819,1.7541727317515,7.50792073080173"
"27","76.2676716144555,0.665885369342107,0.17617998675085,0.0658964673914015,0.288196037589357,1.60801888559766,7.78484380772481"
"28","73.1907485375324,0.641269984726722,0.163872294443158,0.0678964673914015,0.133342423949104,1.46186503944381,8.06176688464788"
"29","70.1138254606093,0.616654600111338,0.151564602135466,0.0698964673914015,0.354880885487566,1.31571119328997,8.33868996157096"
"30","67.0369023836863,0.592039215495953,0.139256909827773,0.0718964673914015,0.576419347026027,1.16955734713612,8.61561303849404"
"31","63.9599793067632,0.567423830880569,0.126949217520081,0.0738964673914015,0.797957808564489,1.02340350098227,8.89253611541711"
"32","60.8830562298401,0.542808446265184,0.114641525212389,0.0758964673914015,0.98050372989705,0.877249654828428,9.16945919234019"
"33","57.806133152917,0.518193061649799,0.102333832904696,0.0778964673914015,0.758965268358588,0.731095808674581,9.44638226926327"
"34","54.7292100759939,0.493577677034415,0.109973859402996,0.0798964673914015,0.537426806820127,0.584941962520735,9.72330534618635"
"35","51.6522869990709,0.46896229241903,0.122281551710688,0.0781035326085985,0.315888345281665,0.43878811636689,9.99977157688966"
"36","48.5753639221478,0.444346907803646,0.13458924401838,0.0761035326085985,0.105650116256797,0.292634270213045,9.7228484999675"
"37","45.4984408452247,0.419731523188261,0.146896936326073,0.0741035326085985,0.327188577795258,0.353519575940803,9.44592542304443"
"38","42.4215177683016,0.395116138572876,0.159204628633765,0.0721035326085985,0.548727039333719,0.499673422094649,9.16900234612135"
"39","39.3445946913786,0.370500753957492,0.171512320941457,0.0701035326085985,0.770265500872181,0.645827268248495,8.89207926919827"
"40","36.2676716144555,0.345885369342107,0.18382001324915,0.0681035326085985,0.991803962410642,0.791981114402342,8.61515619227519"
"41","33.1907485375324,0.321269984726722,0.196127705556842,0.0661035326085985,0.786657576050896,0.938134960556187,8.33823311535212"
"42","30.1138254606093,0.296654600111338,0.208435397864534,0.0641035326085985,0.565119114512434,1.08428880671003,8.06131003842904"
"43","27.0369023836863,0.272039215495953,0.220743090172227,0.0621035326085985,0.343580652973973,1.23044265286388,7.78438696150596"
"44","23.9599793067632,0.247423830880569,0.233050782479919,0.0601035326085985,0.122042191435511,1.37659649901773,7.50746388458289"
"45","20.8830562298401,0.222808446265184,0.245358474787611,0.0581035326085985,0.29949627010295,1.52275034517157,7.23054080765981"
"46","17.806133152917,0.198193061649799,0.257666167095304,0.0561035326085985,0.521034731641412,1.66890419132542,6.95361773073673"
"47","14.7292100759939,0.173577677034415,0.269973859402996,0.0541035326085985,0.742573193179873,1.81505803747926,6.67669465381366"
"48","11.6522869990709,0.14896229241903,0.282281551710688,0.0521035326085985,0.964111654718335,1.96121188363311,6.39977157689058"
"49","8.57536392214779,0.124346907803646,0.29458924401838,0.0501035326085985,0.814349883743204,2.10736572978696,6.1228484999675"
"50","5.49844084522472,0.100268476811732,0.306896936326073,0.0481035326085985,0.592811422204742,2.2535195759408,5.84592542304442"
"51","2.42151776830167,0.124883861427124,0.319204628633765,0.0461035326085985,0.37127296066628,2.39967342209465,5.56900234612135"
"52","0.655405308621426,0.149499246042508,0.331512320941457,0.0441035326085985,0.149734499127819,2.5458272682485,5.29207926919827"
"53","3.73232838554452,0.174114630657893,0.34382001324915,0.0421035326085985,0.271803962410642,2.69198111440234,5.0151561922752"
"54","6.80925146246759,0.198730015273278,0.356127705556842,0.0401035326085985,0.493342423949104,2.83813496055619,4.73823311535212"
"55","9.88617453939065,0.223345399888662,0.368435397864534,0.0381035326085985,0.714880885487565,2.98428880671003,4.46131003842904"
"56","12.9630976163137,0.247960784504047,0.380743090172227,0.0361035326085985,0.936419347026027,3.13044265286388,4.18438696150596"
"57","16.0400206932368,0.272576169119431,0.393050782479919,0.0341035326085985,0.842042191435512,3.27659649901773,3.90746388458289"
"58","19.1169437701599,0.297191553734816,0.405358474787611,0.0321035326085985,0.620503729897049,3.42275034517157,3.63054080765981"
"59","22.193866847083,0.321806938350201,0.417666167095304,0.0301035326085985,0.398965268358588,3.56890419132542,3.35361773073673"
"60","25.2707899240061,0.346422322965585,0.429973859402996,0.0281035326085985,0.177426806820127,3.71505803747926,3.07669465381366"
"61","28.3477130009291,0.37103770758097,0.442281551710688,0.0261035326085985,0.244111654718335,3.86121188363311,2.79977157689058"
"62","31.4246360778522,0.395653092196354,0.45458924401838,0.0241035326085985,0.465650116256796,4.00736572978696,2.5228484999675"
"63","34.5015591547753,0.420268476811739,0.466896936326073,0.0221035326085985,0.687188577795257,4.1535195759408,2.24592542304443"
"64","37.5784822316983,0.444883861427124,0.479204628633765,0.0201035326085985,0.908727039333719,4.29967342209465,1.96900234612135"
"65","40.6554053086214,0.469499246042508,0.491512320941457,0.0181035326085985,0.869734499127819,4.44582726824849,1.69207926919827"
