"","Date","EUR","USD","GBP"
"109",2014-11-08,0.8305,1.0297,0.6502
"110",2014-11-07,0.8305,1.0357,0.6499
"111",2014-11-06,0.8304,1.0393,0.6508
"112",2014-11-05,0.8295,1.0384,0.6493
"113",2014-11-04,0.8293,1.036,0.6483
"114",2014-11-03,0.8293,1.0386,0.6492
"115",2014-11-02,0.8293,1.0386,0.6492
"116",2014-11-01,0.8291,1.0419,0.6516
"117",2014-10-31,0.8292,1.0455,0.6536
"118",2014-10-30,0.8292,1.0553,0.6547
"119",2014-10-29,0.8291,1.0543,0.6535
"120",2014-10-28,0.8291,1.0524,0.6533
"121",2014-10-27,0.8289,1.0503,0.6527
"122",2014-10-26,0.8289,1.0503,0.6527
"123",2014-10-25,0.8289,1.0493,0.6537
"124",2014-10-24,0.8288,1.0483,0.6537
"125",2014-10-23,0.8288,1.052,0.6542
"126",2014-10-22,0.8287,1.0586,0.6553
"127",2014-10-21,0.8285,1.0579,0.6561
"128",2014-10-20,0.8279,1.0562,0.6563
"129",2014-10-19,0.8279,1.0562,0.6563
"130",2014-10-18,0.8281,1.0594,0.6586
"131",2014-10-17,0.8285,1.0604,0.6623
"132",2014-10-16,0.8283,1.0515,0.6603
"133",2014-10-15,0.8277,1.0502,0.6566
"134",2014-10-14,0.8274,1.0487,0.6518
"135",2014-10-13,0.8266,1.0442,0.6494
"136",2014-10-12,0.8266,1.0442,0.6494
"137",2014-10-11,0.8263,1.0465,0.6508
"138",2014-10-10,0.8254,1.0507,0.6499
"139",2014-10-09,0.8247,1.0445,0.6495
"140",2014-10-08,0.8249,1.042,0.6482
"141",2014-10-07,0.8252,1.0357,0.6475
"142",2014-10-06,0.8256,1.033,0.6469
"143",2014-10-05,0.8256,1.033,0.6469
"144",2014-10-04,0.8269,1.042,0.6485
"145",2014-10-03,0.828,1.047,0.6473
"146",2014-10-02,0.8288,1.0454,0.6454
"147",2014-10-01,0.8288,1.0485,0.6461
"148",2014-09-30,0.8285,1.051,0.6472
"149",2014-09-29,0.8285,1.0509,0.6464
"150",2014-09-28,0.8285,1.0509,0.6464
"151",2014-09-27,0.8284,1.0543,0.6471
"152",2014-09-26,0.8279,1.0556,0.647
"153",2014-09-25,0.828,1.0621,0.6484
"154",2014-09-24,0.8282,1.0651,0.6504
"155",2014-09-23,0.8283,1.064,0.6511
"156",2014-09-22,0.8282,1.0625,0.6523
"157",2014-09-21,0.8282,1.0625,0.6523
"158",2014-09-20,0.8284,1.067,0.6506
"159",2014-09-19,0.8271,1.0655,0.6529
"160",2014-09-18,0.8264,1.0701,0.6567
"161",2014-09-17,0.8268,1.0706,0.6598
"162",2014-09-16,0.8263,1.0696,0.6585
"163",2014-09-15,0.8262,1.0709,0.6583
"164",2014-09-14,0.8262,1.0709,0.6583
"165",2014-09-13,0.8268,1.0692,0.6581
"166",2014-09-12,0.8266,1.0682,0.6585
"167",2014-09-11,0.8275,1.0696,0.6629
"168",2014-09-10,0.8289,1.0689,0.664
"169",2014-09-09,0.8289,1.0725,0.6634
"170",2014-09-08,0.829,1.0738,0.6576
"171",2014-09-07,0.829,1.0738,0.6576
"172",2014-09-06,0.829,1.0733,0.6579
"173",2014-09-05,0.8287,1.0838,0.6598
"174",2014-09-04,0.8283,1.0882,0.6609
"175",2014-09-03,0.8282,1.0869,0.6569
"176",2014-09-02,0.8286,1.088,0.6551
"177",2014-09-01,0.8289,1.0887,0.6558
"178",2014-08-31,0.8287,1.0885,0.6557
"179",2014-08-30,0.8289,1.0918,0.6582
"180",2014-08-29,0.8288,1.0934,0.6593
"181",2014-08-28,0.8281,1.0913,0.6587
"182",2014-08-27,0.8277,1.092,0.6588
"183",2014-08-26,0.8272,1.0918,0.6588
"184",2014-08-25,0.8261,1.0941,0.66
"185",2014-08-24,0.8261,1.0941,0.66
"186",2014-08-23,0.8262,1.0963,0.6612
"187",2014-08-22,0.8257,1.0953,0.6604
"188",2014-08-21,0.8258,1.0979,0.6604
"189",2014-08-20,0.8257,1.1017,0.6608
"190",2014-08-19,0.8261,1.1054,0.6609
"191",2014-08-18,0.8265,1.1071,0.6633
"192",2014-08-17,0.8265,1.1071,0.6633
"193",2014-08-16,0.8257,1.1045,0.6618
"194",2014-08-15,0.8248,1.1027,0.661
"195",2014-08-14,0.8241,1.1016,0.6573
"196",2014-08-13,0.8239,1.1011,0.656
"197",2014-08-12,0.8239,1.1035,0.6575
"198",2014-08-11,0.8234,1.104,0.658
"199",2014-08-10,0.8234,1.1042,0.6581
"200",2014-08-09,0.8239,1.1027,0.6562
"201",2014-08-08,0.8232,1.1008,0.6535
"202",2014-08-07,0.8227,1.0995,0.6523
"203",2014-08-06,0.8217,1.1009,0.6527
"204",2014-08-05,0.8219,1.1032,0.6553
"205",2014-08-04,0.8218,1.1034,0.6559
"206",2014-08-03,0.8218,1.1034,0.6559
"207",2014-08-02,0.822,1.1016,0.6535
"208",2014-08-01,0.8217,1.1003,0.6512
"209",2014-07-31,0.822,1.1013,0.6505
"210",2014-07-30,0.8228,1.1047,0.6512
"211",2014-07-29,0.8229,1.1056,0.651
"212",2014-07-28,0.8227,1.1047,0.6507
"213",2014-07-27,0.8227,1.1047,0.6507
"214",2014-07-26,0.8228,1.1068,0.6517
"215",2014-07-25,0.823,1.1081,0.6513
"216",2014-07-24,0.823,1.1081,0.6498
"217",2014-07-23,0.823,1.1108,0.6508
"218",2014-07-22,0.8231,1.1134,0.6519
"219",2014-07-21,0.8229,1.1121,0.6511
"220",2014-07-20,0.8228,1.1128,0.6514
"221",2014-07-19,0.8234,1.1134,0.6516
"222",2014-07-18,0.8233,1.1137,0.6505
"223",2014-07-17,0.8227,1.1144,0.6504
"224",2014-07-16,0.8231,1.1195,0.654
"225",2014-07-15,0.8235,1.1211,0.6554
"226",2014-07-14,0.8234,1.1199,0.6545
"227",2014-07-13,0.8234,1.1199,0.6545
"228",2014-07-12,0.8235,1.1203,0.6542
"229",2014-07-11,0.8231,1.1215,0.6544
"230",2014-07-10,0.8226,1.1203,0.654
"231",2014-07-09,0.8227,1.1192,0.6535
"232",2014-07-08,0.8224,1.1179,0.6523
"233",2014-07-07,0.8221,1.1174,0.6514
"234",2014-07-06,0.822,1.1179,0.6513
"235",2014-07-05,0.8224,1.1183,0.6519
"236",2014-07-04,0.8231,1.1225,0.6545
"237",2014-07-03,0.8236,1.1256,0.6561
"238",2014-07-02,0.8236,1.1272,0.6582
"239",2014-07-01,0.8228,1.1239,0.6591
"240",2014-06-30,0.8222,1.1216,0.6586
"241",2014-06-29,0.8222,1.1216,0.6586
"242",2014-06-28,0.8223,1.1204,0.658
"243",2014-06-27,0.8219,1.1194,0.6583
"244",2014-06-26,0.822,1.1193,0.6593
"245",2014-06-25,0.8218,1.118,0.6575
"246",2014-06-24,0.8216,1.117,0.6562
"247",2014-06-23,0.821,1.117,0.6564
"248",2014-06-22,0.821,1.117,0.6564
"249",2014-06-21,0.8216,1.1176,0.6561
"250",2014-06-20,0.8214,1.1178,0.6569
"251",2014-06-19,0.8208,1.1129,0.6563
"252",2014-06-18,0.8207,1.1128,0.6558
"253",2014-06-17,0.821,1.1121,0.655
"254",2014-06-16,0.8204,1.1099,0.6545
"255",2014-06-15,0.8204,1.1099,0.6545
"256",2014-06-14,0.8212,1.1126,0.6561
"257",2014-06-13,0.8211,1.1118,0.661
"258",2014-06-12,0.821,1.1113,0.6626
"259",2014-06-11,0.8203,1.1129,0.663
"260",2014-06-10,0.8201,1.1172,0.6648
"261",2014-06-09,0.8199,1.1186,0.6657
"262",2014-06-08,0.8199,1.1186,0.6657
"263",2014-06-07,0.8208,1.1203,0.6665
"264",2014-06-06,0.8201,1.1161,0.6657
"265",2014-06-05,0.8189,1.1149,0.6661
"266",2014-06-04,0.8184,1.114,0.6651
"267",2014-06-03,0.8188,1.1147,0.6655
"268",2014-06-02,0.8189,1.1161,0.6661
"269",2014-06-01,0.8189,1.1161,0.6661
"270",2014-05-31,0.8191,1.1152,0.6661
"271",2014-05-30,0.819,1.1141,0.6664
"272",2014-05-29,0.8181,1.114,0.6645
"273",2014-05-28,0.8183,1.1164,0.6632
"274",2014-05-27,0.819,1.1166,0.6631
"275",2014-05-26,0.8188,1.1154,0.6625
"276",2014-05-25,0.8188,1.1154,0.6625
"277",2014-05-24,0.8189,1.1168,0.6628
"278",2014-05-23,0.8184,1.1186,0.6627
"279",2014-05-22,0.8183,1.1202,0.6642
"280",2014-05-21,0.8179,1.1207,0.666
"281",2014-05-20,0.818,1.1215,0.6666
"282",2014-05-19,0.818,1.1198,0.666
"283",2014-05-18,0.818,1.1198,0.666
"284",2014-05-17,0.8186,1.1222,0.6678
"285",2014-05-16,0.8191,1.1221,0.669
"286",2014-05-15,0.8198,1.124,0.6686
"287",2014-05-14,0.8193,1.1253,0.6677
"288",2014-05-13,0.8191,1.1271,0.6681
"289",2014-05-12,0.8198,1.1278,0.6693
"290",2014-05-11,0.8198,1.1278,0.6693
"291",2014-05-10,0.8204,1.1325,0.6704
"292",2014-05-09,0.8206,1.1408,0.6729
"293",2014-05-08,0.821,1.1431,0.6736
"294",2014-05-07,0.8212,1.1421,0.6746
"295",2014-05-06,0.8212,1.1394,0.6754
"296",2014-05-05,0.8207,1.1381,0.6745
"297",2014-05-04,0.8207,1.1381,0.6745
"298",2014-05-03,0.8202,1.1368,0.6736
"299",2014-05-02,0.8196,1.1369,0.6733
"300",2014-05-01,0.8194,1.1335,0.6731
"301",2014-04-30,0.8197,1.1347,0.6746
"302",2014-04-29,0.8204,1.1358,0.6755
"303",2014-04-28,0.8198,1.1339,0.6749
"304",2014-04-27,0.8198,1.1339,0.6749
"305",2014-04-26,0.82,1.1345,0.675
"306",2014-04-25,0.8195,1.1327,0.6746
"307",2014-04-24,0.8191,1.1321,0.6736
"308",2014-04-23,0.8189,1.1301,0.6722
"309",2014-04-22,0.8195,1.1317,0.6737
"310",2014-04-21,0.8192,1.1307,0.6737
"311",2014-04-20,0.8192,1.1307,0.6737
"312",2014-04-19,0.8196,1.1322,0.6744
"313",2014-04-18,0.8207,1.1353,0.6752
"314",2014-04-17,0.8217,1.1358,0.6774
"315",2014-04-16,0.8223,1.1357,0.6792
"316",2014-04-15,0.8229,1.1386,0.6806
"317",2014-04-14,0.8219,1.1413,0.6821
"318",2014-04-13,0.8219,1.1413,0.6821
"319",2014-04-12,0.8219,1.1415,0.6812
"320",2014-04-11,0.8211,1.1384,0.6782
"321",2014-04-10,0.8205,1.1326,0.6761
"322",2014-04-09,0.8199,1.1287,0.6768
"323",2014-04-08,0.8187,1.1232,0.6772
"324",2014-04-07,0.8174,1.1198,0.6758
"325",2014-04-06,0.8174,1.1198,0.6758
"326",2014-04-05,0.8177,1.1208,0.6758
"327",2014-04-04,0.8187,1.1255,0.6774
"328",2014-04-03,0.82,1.1306,0.6796
"329",2014-04-02,0.8208,1.1316,0.6796
"330",2014-04-01,0.8202,1.1291,0.6782
"331",2014-03-31,0.8198,1.1272,0.6775
"332",2014-03-30,0.8198,1.1272,0.6775
"333",2014-03-29,0.8202,1.1273,0.6781
"334",2014-03-28,0.82,1.129,0.6802
"335",2014-03-27,0.8189,1.1304,0.6832
"336",2014-03-26,0.8201,1.1335,0.6867
"337",2014-03-25,0.8204,1.1318,0.6864
"338",2014-03-24,0.8209,1.1324,0.6867
"339",2014-03-23,0.8209,1.1324,0.6867
"340",2014-03-22,0.8212,1.1323,0.6862
"341",2014-03-21,0.8205,1.1326,0.6854
"342",2014-03-20,0.8216,1.1429,0.6884
"343",2014-03-19,0.8222,1.1445,0.689
"344",2014-03-18,0.8231,1.1449,0.6882
"345",2014-03-17,0.8236,1.1456,0.6882
"346",2014-03-16,0.8236,1.1456,0.6882
"347",2014-03-15,0.8241,1.144,0.6884
"348",2014-03-14,0.8229,1.1453,0.6878
"349",2014-03-13,0.8223,1.1407,0.6865
"350",2014-03-12,0.8209,1.1381,0.6843
"351",2014-03-11,0.8208,1.1393,0.6827
"352",2014-03-10,0.8206,1.1386,0.6812
"353",2014-03-09,0.8206,1.1387,0.6812
"354",2014-03-08,0.8203,1.1377,0.6797
"355",2014-03-07,0.8199,1.1289,0.675
"356",2014-03-06,0.8204,1.1266,0.6751
"357",2014-03-05,0.8225,1.1304,0.678
"358",2014-03-04,0.8246,1.1355,0.679
"359",2014-03-03,0.823,1.1349,0.6781
"360",2014-03-02,0.823,1.135,0.6782
"361",2014-03-01,0.8218,1.1302,0.6763
"362",2014-02-28,0.8211,1.1235,0.6742
"363",2014-02-27,0.8199,1.1251,0.6749
"364",2014-02-26,0.8196,1.1263,0.6754
"365",2014-02-25,0.8196,1.126,0.6767
"366",2014-02-24,0.8194,1.1256,0.6775
"367",2014-02-23,0.8194,1.1256,0.6775
"368",2014-02-22,0.8196,1.1246,0.6751
"369",2014-02-21,0.8195,1.1247,0.6748
"370",2014-02-20,0.8187,1.1262,0.6748
"371",2014-02-19,0.818,1.1228,0.6721
"372",2014-02-18,0.8183,1.1215,0.6696
"373",2014-02-17,0.8178,1.1197,0.6687
"374",2014-02-16,0.8178,1.1198,0.6687
"375",2014-02-15,0.8183,1.1202,0.6712
"376",2014-02-14,0.8179,1.1155,0.6708
"377",2014-02-13,0.8165,1.1117,0.6737
"378",2014-02-12,0.8169,1.1158,0.6791
"379",2014-02-11,0.817,1.1137,0.6789
"380",2014-02-10,0.8164,1.1129,0.6782
"381",2014-02-09,0.8164,1.1129,0.6782
"382",2014-02-08,0.817,1.1105,0.6792
"383",2014-02-07,0.8175,1.1076,0.679
"384",2014-02-06,0.8182,1.1062,0.6781
"385",2014-02-05,0.819,1.107,0.6788
"386",2014-02-04,0.8184,1.1048,0.6745
"387",2014-02-03,0.8177,1.1027,0.6707
"388",2014-02-02,0.8177,1.1027,0.6707
"389",2014-02-01,0.8176,1.1064,0.6718
"390",2014-01-31,0.8173,1.1125,0.6735
"391",2014-01-30,0.8153,1.1136,0.672
"392",2014-01-29,0.8151,1.1139,0.6716
"393",2014-01-28,0.8162,1.1165,0.6754
"394",2014-01-27,0.8168,1.117,0.6779
"395",2014-01-26,0.8168,1.1171,0.6778
"396",2014-01-25,0.8149,1.1153,0.6725
"397",2014-01-24,0.811,1.1035,0.6652
"398",2014-01-23,0.8099,1.098,0.6647
"399",2014-01-22,0.8097,1.0967,0.6671
"400",2014-01-21,0.8107,1.0982,0.6686
"401",2014-01-20,0.811,1.098,0.6685
"402",2014-01-19,0.811,1.098,0.6685
"403",2014-01-18,0.8112,1.1024,0.6728
"404",2014-01-17,0.8095,1.1018,0.6737
"405",2014-01-16,0.8093,1.1029,0.6724
"406",2014-01-15,0.8118,1.1099,0.6762
"407",2014-01-14,0.8112,1.1085,0.6741
"408",2014-01-13,0.8105,1.1076,0.6719
"409",2014-01-12,0.8105,1.1076,0.6719
"410",2014-01-11,0.8103,1.1039,0.6704
"411",2014-01-10,0.8085,1.0986,0.6675
"412",2014-01-09,0.808,1.0991,0.6693
"413",2014-01-08,0.8097,1.1032,0.6725
"414",2014-01-07,0.8122,1.1049,0.6742
"415",2014-01-06,0.8126,1.1038,0.6724
"416",2014-01-05,0.8126,1.1039,0.6725
"417",2014-01-04,0.8133,1.1093,0.6748
"418",2014-01-03,0.8137,1.116,0.6752
"419",2014-01-02,0.8159,1.125,0.6791
"420",2014-01-01,0.8157,1.1245,0.6807
