"","sex","ageYear","ageMonth","heightIn","weightLb"
"178","m",12.42,149,52.5,81
"179","m",11.83,142,55,70
"180","m",15.67,188,71,140
"181","m",16.92,203,66.5,117
"182","m",11.83,142,58.8,84
"183","m",15.75,189,66.3,112
"184","m",15.67,188,65.8,150.5
"185","m",16.67,200,71,147
"186","m",12.67,152,59.5,105
"187","m",14.5,174,69.8,119.5
"188","m",13.83,166,62.5,84
"189","m",12.08,145,56.5,91
"190","m",11.92,143,57.5,101
"191","m",13.58,163,65.3,117.5
"192","m",13.83,166,67.3,121
"193","m",15.17,182,67,133
"194","m",14.42,173,66,112
"195","m",12.92,155,61.8,91.5
"196","m",13.5,162,60,105
"197","m",14.75,177,63,111
"198","m",14.75,177,60.5,112
"199","m",14.58,175,65.5,114
"200","m",13.83,166,62,91
"201","m",12.5,150,59,98
"202","m",12.5,150,61.8,118
"203","m",15.67,188,63.3,115.5
"204","m",13.58,163,66,112
"205","m",14.25,171,61.8,112
"206","m",13.5,162,63,91
"207","m",11.75,141,57.5,85
"208","m",14.5,174,63,112
"209","m",11.83,142,56,87.5
"210","m",12.33,148,60.5,118
"211","m",11.67,140,56.8,83.5
"212","m",13.33,160,64,116
"213","m",12,144,60,89
"214","m",17.17,206,69.5,171.5
"215","m",13.25,159,63.3,112
"216","m",12.42,149,56.3,72
"217","m",16.08,193,72,150
"218","m",16.17,194,65.3,134.5
"219","m",12.67,152,60.8,97
"220","m",12.17,146,55,71.5
"221","m",11.58,139,55,73.5
"222","m",15.5,186,66.5,112
"223","m",13.42,161,56.8,75
"224","m",12.75,153,64.8,128
"225","m",16.33,196,64.5,98
"226","m",13.67,164,58,84
"227","m",13.25,159,62.8,99
"228","m",14.83,178,63.8,112
"229","m",12.75,153,57.8,79.5
"230","m",12.92,155,57.3,80.5
"231","m",14.83,178,63.5,102.5
"232","m",11.83,142,55,76
"233","m",13.67,164,66.5,112
"234","m",15.75,189,65,114
"235","m",13.67,164,61.5,140
"236","m",13.92,167,62,107.5
"237","m",12.58,151,59.3,87
