"","id","first","last","name","year","stint","team","lg","g","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp","avg"
"34","ramirma02","Manny","Ramirez","Manny Ramirez",2001,1,"BOS","AL",142,529,93,162,33,2,41,125,0,1,81,147,25,8,0,2,9,0.3062
"35","nevinph01","Phil","Nevin","Phil Nevin",2001,1,"SDN","NL",149,546,97,167,31,0,41,126,4,4,71,147,7,4,0,3,13,0.3059
"36","mientdo01","Doug","Mientkiewicz","Doug Mientkiewicz",2001,1,"MIN","AL",151,543,77,166,39,1,15,74,2,6,67,92,6,9,0,7,10,0.3057
"37","ordonma01","Magglio","Ordonez","Magglio Ordonez",2001,1,"CHA","AL",160,593,97,181,40,1,31,113,25,7,70,70,7,5,0,3,14,0.3052
"38","sweenmi01","Mike","Sweeney","Mike Sweeney",2001,1,"KCA","AL",147,559,97,170,46,0,29,99,10,3,64,64,13,2,1,6,13,0.3041
"39","edmonji01","Jim","Edmonds","Jim Edmonds",2001,1,"SLN","NL",150,500,95,152,38,1,30,110,5,5,93,136,12,4,1,10,8,0.304
"40","vinafe01","Fernando","Vina","Fernando Vina",2001,1,"SLN","NL",154,631,95,191,30,8,9,56,17,7,32,35,3,22,3,2,7,0.3027
"41","olerujo01","John","Olerud","John Olerud",2001,1,"SEA","AL",159,572,91,173,32,1,21,95,3,1,94,70,19,5,1,7,21,0.3024
"42","guzmacr01","Cristian","Guzman","Cristian Guzman",2001,1,"MIN","AL",118,493,80,149,28,14,10,51,25,8,21,78,0,5,8,0,6,0.3022
"43","youngdm01","Dmitri","Young","Dmitri Young",2001,1,"CIN","NL",142,540,68,163,28,3,21,69,8,5,37,77,10,5,1,3,22,0.3019
"44","piazzmi01","Mike","Piazza","Mike Piazza",2001,1,"NYN","NL",141,503,81,151,29,0,36,94,0,2,67,87,19,2,0,1,20,0.3002
"45","ramirar01","Aramis","Ramirez","Aramis Ramirez",2001,1,"PIT","NL",158,603,83,181,40,0,34,112,5,4,40,100,4,8,0,4,9,0.3002
"46","gracema01","Mark","Grace","Mark Grace",2001,1,"ARI","NL",145,476,66,142,31,2,15,78,1,0,67,36,6,4,1,5,7,0.2983
"47","kentje01","Jeff","Kent","Jeff Kent",2001,1,"SFN","NL",159,607,84,181,49,6,22,106,7,6,65,96,4,11,0,13,11,0.2982
"48","greensh01","Shawn","Green","Shawn Green",2001,1,"LAN","NL",161,619,121,184,31,4,49,125,20,4,72,107,10,5,0,5,10,0.2973
"49","jordabr01","Brian","Jordan","Brian Jordan",2001,1,"ATL","NL",148,560,82,165,32,3,25,97,3,2,31,88,3,6,0,8,18,0.2946
"50","anderma02","Marlon","Anderson","Marlon Anderson",2001,1,"PHI","NL",147,522,69,153,30,2,11,61,8,5,35,74,5,2,10,5,12,0.2931
"51","cedenro01","Roger","Cedeno","Roger Cedeno",2001,1,"DET","AL",131,523,79,153,14,11,6,48,55,15,36,83,1,2,6,5,5,0.2925
"52","biggicr01","Craig","Biggio","Craig Biggio",2001,1,"HOU","NL",155,617,118,180,35,3,20,70,7,4,66,100,4,28,0,6,11,0.2917
"53","thomeji01","Jim","Thome","Jim Thome",2001,1,"CLE","AL",156,526,101,153,26,1,49,124,0,1,111,185,14,4,0,3,9,0.2909
"54","gutieri01","Ricky","Gutierrez","Ricky Gutierrez",2001,1,"CHN","NL",147,528,76,153,23,3,10,66,4,3,40,56,0,10,17,11,13,0.2898
"55","abreubo01","Bobby","Abreu","Bobby Abreu",2001,1,"PHI","NL",162,588,118,170,48,4,31,110,36,14,106,137,11,1,0,9,13,0.2891
"56","rolensc01","Scott","Rolen","Scott Rolen",2001,1,"PHI","NL",151,554,96,160,39,1,25,107,16,5,74,127,6,13,0,12,6,0.2888
"57","anderga01","Garret","Anderson","Garret Anderson",2001,1,"ANA","AL",161,672,83,194,39,2,28,123,13,6,27,100,4,0,0,5,12,0.2887
"58","bagweje01","Jeff","Bagwell","Jeff Bagwell",2001,1,"HOU","NL",161,600,126,173,43,4,39,130,11,3,106,135,5,6,0,5,20,0.2883
"59","chaveer01","Eric","Chavez","Eric Chavez",2001,1,"OAK","AL",151,552,91,159,43,0,32,114,8,2,41,99,9,4,0,7,7,0.288
"60","kleskry01","Ryan","Klesko","Ryan Klesko",2001,1,"SDN","NL",146,538,105,154,34,6,30,113,23,4,88,89,7,3,0,9,16,0.2862
"61","eckstda01","David","Eckstein","David Eckstein",2001,1,"ANA","AL",153,582,82,166,26,2,4,41,29,4,43,60,0,21,16,2,11,0.2852
"62","haltesh01","Shane","Halter","Shane Halter",2001,1,"DET","AL",136,450,53,128,32,7,12,65,3,3,37,100,2,7,7,6,14,0.2844
"63","lowelmi01","Mike","Lowell","Mike Lowell",2001,1,"FLO","NL",146,551,65,156,37,0,18,100,1,2,43,79,3,10,0,10,9,0.2831
"64","longte01","Terrence","Long","Terrence Long",2001,1,"OAK","AL",162,629,90,178,37,4,12,85,9,3,52,103,8,0,0,6,17,0.283
"65","konerpa01","Paul","Konerko","Paul Konerko",2001,1,"CHA","AL",156,582,92,164,35,0,32,99,1,0,54,89,6,9,0,5,17,0.2818
"66","leede02","Derrek","Lee","Derrek Lee",2001,1,"FLO","NL",158,561,83,158,37,4,21,75,4,2,50,126,1,8,0,6,18,0.2816
"67","nixontr01","Trot","Nixon","Trot Nixon",2001,1,"BOS","AL",148,535,100,150,31,4,27,88,7,4,79,113,1,7,6,6,8,0.2804
"68","martiti02","Tino","Martinez","Tino Martinez",2001,1,"NYA","AL",154,589,89,165,24,2,34,113,1,2,42,89,2,2,0,2,12,0.2801
"69","delgaca01","Carlos","Delgado","Carlos Delgado",2001,1,"TOR","AL",162,574,102,160,31,1,39,102,3,0,111,136,22,16,0,3,9,0.2787
"70","younger01","Eric","Young","Eric Young",2001,1,"CHN","NL",149,603,98,168,43,4,6,42,31,14,42,45,1,9,15,3,15,0.2786
"71","higgibo02","Bobby","Higginson","Bobby Higginson",2001,1,"DET","AL",147,541,84,150,28,6,17,71,20,12,80,65,3,2,1,9,8,0.2773
"72","posadjo01","Jorge","Posada","Jorge Posada",2001,1,"NYA","AL",138,484,59,134,28,1,22,95,2,6,62,132,10,6,0,5,10,0.2769
"73","cabreor01","Orlando","Cabrera","Orlando Cabrera",2001,1,"MON","NL",162,626,64,173,41,6,14,96,19,7,43,54,5,4,4,7,15,0.2764
"74","jonesja04","Jacque","Jones","Jacque Jones",2001,1,"MIN","AL",149,475,57,131,25,0,14,49,12,9,39,92,2,3,2,0,10,0.2758
"75","koskico01","Corey","Koskie","Corey Koskie",2001,1,"MIN","AL",153,562,100,155,37,2,26,103,27,6,68,118,9,12,0,7,16,0.2758
"76","hidalri01","Richard","Hidalgo","Richard Hidalgo",2001,1,"HOU","NL",146,512,70,141,29,3,19,80,3,5,54,107,3,16,0,11,15,0.2754
"77","counscr01","Craig","Counsell","Craig Counsell",2001,1,"ARI","NL",141,458,76,126,22,3,4,38,6,8,61,76,3,2,6,6,9,0.2751
"78","finlest01","Steve","Finley","Steve Finley",2001,1,"ARI","NL",140,495,66,136,27,4,14,73,11,7,47,67,9,1,2,3,8,0.2747
"79","rolliji01","Jimmy","Rollins","Jimmy Rollins",2001,1,"PHI","NL",158,656,97,180,29,12,14,54,46,8,48,108,2,2,9,5,5,0.2744
"80","fullmbr01","Brad","Fullmer","Brad Fullmer",2001,1,"TOR","AL",146,522,71,143,31,2,18,83,5,2,38,88,8,6,0,7,13,0.2739
"81","cruzjo02","Jose","Cruz","Jose Cruz",2001,1,"TOR","AL",146,577,92,158,38,4,34,88,32,5,45,138,4,1,2,2,8,0.2738
"82","wilsopr01","Preston","Wilson","Preston Wilson",2001,1,"FLO","NL",123,468,70,128,30,2,23,71,20,8,36,107,2,6,0,3,14,0.2735
"83","palmera01","Rafael","Palmeiro","Rafael Palmeiro",2001,1,"TEX","AL",160,600,98,164,33,0,47,123,1,1,101,90,8,7,0,6,8,0.2733
"84","spiezsc01","Scott","Spiezio","Scott Spiezio",2001,1,"ANA","AL",139,457,57,124,29,4,13,54,5,2,34,65,4,5,3,4,6,0.2713
"85","grudzma01","Mark","Grudzielanek","Mark Grudzielanek",2001,1,"LAN","NL",133,539,83,146,21,3,13,55,4,4,28,83,0,11,3,5,9,0.2709
"86","sexsori01","Richie","Sexson","Richie Sexson",2001,1,"MIL","NL",158,598,94,162,24,3,45,125,2,4,60,178,5,6,0,3,20,0.2709
"87","surhobj01","B.J.","Surhoff","B.J. Surhoff",2001,1,"ATL","NL",141,484,68,131,33,1,10,58,9,3,38,48,5,1,1,7,5,0.2707
"88","kennead01","Adam","Kennedy","Adam Kennedy",2001,1,"ANA","AL",137,478,48,129,25,3,6,40,12,7,27,71,3,11,7,9,7,0.2699
"89","quinnma01","Mark","Quinn","Mark Quinn",2001,1,"KCA","AL",118,453,57,122,31,2,17,60,9,5,12,69,1,7,0,1,16,0.2693
"90","leeca01","Carlos","Lee","Carlos Lee",2001,1,"CHA","AL",150,558,75,150,33,3,24,84,17,7,38,85,2,6,1,2,15,0.2688
"91","maciajo01","Jose","Macias","Jose Macias",2001,1,"DET","AL",137,488,62,131,24,6,8,51,21,6,32,54,0,3,8,3,7,0.2684
"92","soriaal01","Alfonso","Soriano","Alfonso Soriano",2001,1,"NYA","AL",158,574,77,154,34,3,18,73,43,14,29,125,0,3,3,5,7,0.2683
"93","offerjo01","Jose","Offerman","Jose Offerman",2001,1,"BOS","AL",128,524,76,140,23,3,9,49,5,2,61,97,2,1,3,5,9,0.2672
"94","kaplega01","Gabe","Kapler","Gabe Kapler",2001,1,"TEX","AL",134,483,77,129,29,1,17,72,23,6,61,70,2,3,2,7,10,0.2671
"95","tejadmi01","Miguel","Tejada","Miguel Tejada",2001,1,"OAK","AL",162,622,107,166,31,3,31,113,11,5,43,89,5,13,1,4,14,0.2669
"96","durhara01","Ray","Durham","Ray Durham",2001,1,"CHA","AL",152,611,104,163,42,10,20,65,23,10,64,110,3,4,6,6,10,0.2668
"97","camermi01","Mike","Cameron","Mike Cameron",2001,1,"SEA","AL",150,540,99,144,30,5,25,110,34,5,69,155,3,10,1,13,13,0.2667
"98","oneilpa01","Paul","O'Neill","Paul O'Neill",2001,1,"NYA","AL",137,510,77,136,33,1,21,70,22,3,48,59,4,2,0,3,20,0.2667
"99","rivaslu01","Luis","Rivas","Luis Rivas",2001,1,"MIN","AL",153,563,70,150,21,6,7,47,31,11,40,99,0,6,5,5,15,0.2664
"100","womacto01","Tony","Womack","Tony Womack",2001,1,"ARI","NL",125,481,66,128,19,5,3,30,28,7,23,54,2,6,7,1,4,0.2661
"101","kendaja01","Jason","Kendall","Jason Kendall",2001,1,"PIT","NL",157,606,84,161,22,2,10,53,13,14,44,48,4,20,0,2,18,0.2657
"102","zeileto01","Todd","Zeile","Todd Zeile",2001,1,"NYN","NL",151,531,66,141,25,1,10,62,1,0,73,102,3,6,0,2,15,0.2655
"103","beltrad01","Adrian","Beltre","Adrian Beltre",2001,1,"LAN","NL",126,475,59,126,22,4,13,60,13,4,28,82,1,5,2,5,9,0.2653
"104","richach01","Chris","Richard","Chris Richard",2001,1,"BAL","AL",136,483,74,128,31,3,15,61,11,9,45,100,4,8,2,4,15,0.265
"105","grievbe01","Ben","Grieve","Ben Grieve",2001,1,"TBA","AL",154,542,72,143,30,2,11,72,7,1,87,159,2,8,0,2,13,0.2638
"106","lugoju01","Julio","Lugo","Julio Lugo",2001,1,"HOU","NL",140,513,93,135,20,3,10,37,12,11,46,116,0,5,15,7,7,0.2632
"107","hillesh02","Shea","Hillenbrand","Shea Hillenbrand",2001,1,"BOS","AL",139,468,52,123,20,2,12,49,3,4,13,61,3,7,1,4,12,0.2628
"108","castilu01","Luis","Castillo","Luis Castillo",2001,1,"FLO","NL",134,537,76,141,16,10,2,45,33,16,67,90,0,1,4,3,6,0.2626
"109","santibe01","Benito","Santiago","Benito Santiago",2001,1,"SFN","NL",133,477,39,125,25,4,6,45,5,4,23,78,0,2,7,6,19,0.2621
"110","glanvdo01","Doug","Glanville","Doug Glanville",2001,1,"PHI","NL",153,634,74,166,24,3,14,55,28,6,19,91,1,4,10,7,7,0.2618
"111","trammbu01","Bubba","Trammell","Bubba Trammell",2001,1,"SDN","NL",142,490,66,128,20,3,25,92,2,2,48,78,2,4,0,4,10,0.2612
"112","loftoke01","Kenny","Lofton","Kenny Lofton",2001,1,"CLE","AL",133,517,91,135,21,4,14,66,16,8,47,69,1,2,5,5,8,0.2611
"113","hunteto01","Torii","Hunter","Torii Hunter",2001,1,"MIN","AL",148,564,82,147,32,5,27,92,9,6,29,125,0,8,1,1,12,0.2606
"114","bellda01","David","Bell","David Bell",2001,1,"SEA","AL",135,470,62,122,28,0,15,64,2,1,28,59,1,3,5,4,8,0.2596
"115","renteed01","Edgar","Renteria","Edgar Renteria",2001,1,"SLN","NL",141,493,54,128,19,3,10,57,17,4,39,73,4,3,8,6,15,0.2596
"116","johnsch04","Charles","Johnson","Charles Johnson",2001,1,"FLO","NL",128,451,51,117,32,0,18,75,0,0,38,133,2,4,0,3,8,0.2594
"117","guillca01","Carlos","Guillen","Carlos Guillen",2001,1,"SEA","AL",140,456,72,118,21,4,5,53,4,1,53,89,0,1,7,6,9,0.2588
"118","erstada01","Darin","Erstad","Darin Erstad",2001,1,"ANA","AL",157,631,89,163,35,1,9,63,24,10,62,113,7,10,1,7,8,0.2583
"119","burrepa01","Pat","Burrell","Pat Burrell",2001,1,"PHI","NL",155,539,70,139,29,2,27,89,2,1,70,162,7,5,0,4,12,0.2579
"120","leetr01","Travis","Lee","Travis Lee",2001,1,"PHI","NL",157,555,75,143,34,2,20,90,3,4,71,109,5,4,1,9,15,0.2577
"121","damonjo01","Johnny","Damon","Johnny Damon",2001,1,"OAK","AL",155,644,108,165,34,4,9,49,27,12,61,70,1,5,5,4,7,0.2562
"122","vizquom01","Omar","Vizquel","Omar Vizquel",2001,1,"CLE","AL",155,611,84,156,26,8,2,50,13,9,61,72,0,2,15,4,14,0.2553
"123","hernara02","Ramon","Hernandez","Ramon Hernandez",2001,1,"OAK","AL",136,453,55,115,25,0,15,60,1,1,37,68,3,6,9,4,10,0.2539
"124","gonzaal01","Alex","Gonzalez","Alex Gonzalez",2001,1,"TOR","AL",154,636,79,161,25,5,17,76,18,11,43,149,0,7,7,10,16,0.2531
"125","randajo01","Joe","Randa","Joe Randa",2001,1,"KCA","AL",151,581,59,147,34,2,13,83,3,2,42,80,2,6,1,6,15,0.253
"126","mondera01","Raul","Mondesi","Raul Mondesi",2001,1,"TOR","AL",149,572,88,144,26,4,27,84,30,11,73,128,3,6,0,2,13,0.2517
"127","jonesan01","Andruw","Jones","Andruw Jones",2001,1,"ATL","NL",161,625,104,157,25,2,34,104,11,4,56,142,3,3,0,9,10,0.2512
"128","burnije01","Jeromy","Burnitz","Jeromy Burnitz",2001,1,"MIL","NL",154,562,104,141,32,4,34,100,0,4,80,150,9,5,0,4,8,0.2509
"129","gonzaal02","Alex","Gonzalez","Alex Gonzalez",2001,1,"FLO","NL",145,515,57,129,36,1,9,48,2,2,30,107,6,10,3,3,13,0.2505
"130","barremi01","Michael","Barrett","Michael Barrett",2001,1,"MON","NL",132,472,42,118,33,2,6,38,2,1,25,54,2,2,4,3,14,0.25
"131","glaustr01","Troy","Glaus","Troy Glaus",2001,1,"ANA","AL",161,588,100,147,38,2,41,108,10,3,107,158,7,6,0,7,16,0.25
"132","easleda01","Damion","Easley","Damion Easley",2001,1,"DET","AL",154,585,77,146,27,7,11,65,10,5,52,90,3,13,4,4,10,0.2496
"133","knoblch01","Chuck","Knoblauch","Chuck Knoblauch",2001,1,"NYA","AL",137,521,66,130,20,3,9,44,38,9,58,73,1,14,5,2,10,0.2495
"134","hernajo01","Jose","Hernandez","Jose Hernandez",2001,1,"MIL","NL",152,542,67,135,26,2,25,78,5,4,39,185,8,2,5,4,9,0.2491
"135","ordonre01","Rey","Ordonez","Rey Ordonez",2001,1,"NYN","NL",149,461,31,114,24,4,3,44,3,2,34,43,17,1,7,2,17,0.2473
"136","stevele01","Lee","Stevens","Lee Stevens",2001,1,"MON","NL",152,542,77,133,35,1,25,95,2,1,74,157,12,5,0,7,17,0.2454
"137","alfoned01","Edgardo","Alfonzo","Edgardo Alfonzo",2001,1,"NYN","NL",124,457,64,111,22,0,17,49,5,0,51,62,0,5,1,5,7,0.2429
"138","menecfr01","Frank","Menechino","Frank Menechino",2001,1,"OAK","AL",139,471,82,114,22,2,12,60,2,3,79,97,0,19,3,6,13,0.242
"139","ripkeca01","Cal","Ripken","Cal Ripken",2001,1,"BAL","AL",128,477,43,114,16,0,14,68,0,2,26,63,1,2,2,9,15,0.239
"140","venturo01","Robin","Ventura","Robin Ventura",2001,1,"NYN","NL",142,456,70,108,20,0,21,61,2,5,88,101,10,1,0,4,13,0.2368
"141","blumge01","Geoff","Blum","Geoff Blum",2001,1,"MON","NL",148,453,57,107,25,0,9,50,9,5,43,94,8,10,3,5,12,0.2362
"142","hairsje02","Jerry","Hairston","Jerry Hairston",2001,1,"BAL","AL",159,532,63,124,25,5,8,47,29,11,44,73,0,13,9,4,12,0.2331
"143","vaughgr01","Greg","Vaughn","Greg Vaughn",2001,1,"TBA","AL",136,485,74,113,25,0,24,82,11,5,71,130,7,3,0,3,10,0.233
"144","salmoti01","Tim","Salmon","Tim Salmon",2001,1,"ANA","AL",137,475,63,108,21,1,17,49,9,3,96,121,4,8,0,2,11,0.2274
