"","TimeUTC","Temp","WindAvg","WindMax","WindDir","SpeedCat","DirCat"
"67",520,3.14,7.31,8.04,132,"5-10",135
"68",525,3.12,7.05,7.94,136,"5-10",135
"69",530,3.04,6.25,7.35,142,"5-10",135
"70",535,3.01,7.13,8.23,137,"5-10",135
"71",540,2.95,7.15,8.04,140,"5-10",135
"72",545,2.95,7.03,7.94,142,"5-10",135
"73",550,3.17,6.31,7.06,132,"5-10",135
"74",555,3.27,7.83,9.02,122,"5-10",120
"75",600,3.26,8.6,9.6,121,"5-10",120
"76",605,3.31,8.57,9.11,115,"5-10",120
"77",610,3.33,8.27,9.6,114,"5-10",120
"78",615,3.36,8.26,9.21,117,"5-10",120
"79",620,3.39,8.68,9.51,119,"5-10",120
"80",625,3.33,9.51,10.39,118,"10-15",120
"81",630,3.33,9.59,10.68,118,"10-15",120
"82",635,3.23,9.39,10.29,123,"10-15",120
"83",640,3.14,9.53,10.58,124,"10-15",120
"84",645,3.1,9.55,11.07,126,"10-15",120
"85",650,3.11,10.03,11.07,119,"10-15",120
"86",655,3.05,10.6,11.47,116,"10-15",120
"87",700,2.96,10.39,11.47,118,"10-15",120
"88",705,2.91,10.85,12.05,117,"10-15",120
"89",710,2.86,10.13,12.05,118,"10-15",120
"90",715,2.87,10.76,12.15,128,"10-15",135
"91",720,3.06,10.89,12.15,130,"10-15",135
"92",725,3.23,10.28,12.64,136,"10-15",135
"93",730,3.27,9.57,10.88,136,"10-15",135
"94",735,3.38,10.1,12.35,136,"10-15",135
"95",740,3.43,11.28,13.03,135,"10-15",135
"96",745,3.38,11.73,13.43,134,"10-15",135
"97",750,3.29,11.99,13.52,131,"10-15",135
"98",755,3.22,12.28,14.01,128,"10-15",135
"99",800,3.17,12.39,13.92,127,"10-15",120
"100",805,3.13,11.55,13.23,128,"10-15",135
"101",810,3.04,11.39,12.84,127,"10-15",120
"102",815,2.99,12.12,13.82,129,"10-15",135
"103",820,3.02,11.77,13.03,130,"10-15",135
"104",825,3.03,10.41,12.05,140,"10-15",135
"105",830,3.44,12.44,14.11,136,"10-15",135
"106",835,3.52,11.7,13.33,135,"10-15",135
"107",840,3.32,10.89,12.64,133,"10-15",135
"108",845,3.3,10.81,14.31,135,"10-15",135
"109",850,3.38,11.94,14.7,132,"10-15",135
"110",855,3.28,11.19,14.5,133,"10-15",135
"111",900,3.42,10.75,14.01,135,"10-15",135
"112",905,3.33,10.96,13.03,130,"10-15",135
"113",910,3.28,10.81,12.05,127,"10-15",120
"114",915,3.39,11.03,12.35,131,"10-15",135
"115",920,3.51,10.66,11.86,133,"10-15",135
"116",925,3.66,11.53,12.94,138,"10-15",135
"117",930,4.09,11.7,12.84,137,"10-15",135
"118",935,3.98,11.34,12.84,135,"10-15",135
"119",940,3.8,11.15,12.15,135,"10-15",135
"120",945,3.73,10.44,11.17,133,"10-15",135
"121",950,3.67,10.52,11.66,134,"10-15",135
"122",955,3.69,10.63,11.86,134,"10-15",135
"123",1000,3.8,11.97,13.23,133,"10-15",135
"124",1005,3.86,10.57,12.25,133,"10-15",135
"125",1010,3.63,9.09,10.09,133,"10-15",135
"126",1015,3.63,8.74,10,133,"5-10",135
"127",1020,3.72,8.61,10.29,133,"10-15",135
"128",1025,3.8,9.81,11.17,132,"10-15",135
"129",1030,3.84,9.34,11.27,136,"10-15",135
"130",1035,3.85,9.95,11.07,138,"10-15",135
"131",1040,3.83,10.57,12.15,136,"10-15",135
"132",1045,3.9,9.87,11.86,136,"10-15",135
"133",1050,3.89,9.06,10.78,140,"10-15",135
"134",1055,3.98,9.7,11.07,140,"10-15",135
"135",1100,4.01,9.42,10.68,139,"10-15",135
"136",1105,3.88,8.82,10.19,140,"10-15",135
"137",1110,3.87,7.56,9.6,145,"5-10",150
"138",1115,4.01,9.76,11.17,141,"10-15",135
"139",1120,4.2,10.11,11.76,141,"10-15",135
"140",1125,4.3,10.18,13.13,148,"10-15",150
"141",1130,4.29,9.74,11.47,150,"10-15",150
"142",1135,4.23,8.89,11.76,153,"10-15",150
"143",1140,4.09,7.75,10.49,155,"10-15",150
"144",1145,4.15,8.43,10.68,154,"10-15",150
"145",1150,4.12,7.36,9.11,153,"5-10",150
"146",1155,4.07,7.31,9.51,159,"5-10",165
"147",1200,4.17,6.41,8.82,158,"5-10",165
"148",1205,4.38,8.58,11.56,154,"10-15",150
"149",1210,4.56,8.51,10.39,153,"10-15",150
"150",1215,4.32,7.26,8.72,158,"5-10",165
"151",1220,4.15,7.24,9.21,160,"5-10",165
"152",1225,4.21,8.52,9.8,164,"5-10",165
"153",1230,4.25,8.4,9.9,160,"5-10",165
"154",1235,4.82,8.61,10.68,160,"10-15",165
"155",1240,4.71,7.67,8.92,163,"5-10",165
"156",1245,4.61,7.73,8.43,163,"5-10",165
"157",1250,4.83,7.97,9.02,162,"5-10",165
"158",1255,5.45,8.12,9.31,160,"5-10",165
"159",1300,5.66,7.75,8.92,162,"5-10",165
"160",1305,5.5,7.33,8.23,165,"5-10",165
"161",1310,5.54,6.63,7.55,166,"5-10",165
"162",1315,5.74,7,7.74,167,"5-10",165
"163",1320,5.94,7.02,7.64,167,"5-10",165
"164",1325,6.38,6.83,7.25,172,"5-10",165
"165",1330,7.05,6.67,7.06,176,"5-10",180
"166",1335,7.85,6.47,7.35,180,"5-10",180
"167",1340,8.79,7.03,7.35,180,"5-10",180
"168",1345,9.15,7.6,9.02,182,"5-10",180
"169",1350,8.76,7.35,7.74,177,"5-10",180
"170",1355,8.19,7.05,7.45,176,"5-10",180
"171",1400,8.65,6.66,7.15,182,"5-10",180
"172",1405,8.84,7.01,7.35,183,"5-10",180
"173",1410,8.4,6.99,7.64,183,"5-10",180
"174",1415,10.22,8.16,9.41,194,"5-10",195
"175",1420,11.23,8.35,9.51,197,"5-10",195
"176",1425,10.53,8.39,10.29,200,"10-15",195
"177",1430,11.17,8.76,10.39,202,"10-15",195
"178",1435,11.58,9.18,11.07,202,"10-15",195
"179",1440,12.42,9.83,11.27,202,"10-15",195
"180",1445,12.64,9.76,11.07,204,"10-15",210
"181",1450,12.9,9.89,11.47,211,"10-15",210
"182",1455,13.13,10.25,14.11,218,"10-15",225
"183",1500,13.57,9.83,12.54,221,"10-15",225
"184",1505,13.8,9.11,14.7,228,"10-15",225
"185",1510,13.88,9.45,12.35,235,"10-15",240
"186",1515,14.01,8.58,10.98,227,"10-15",225
"187",1520,14.09,10.28,15.29,227,"15-20",225
"188",1525,14.12,11.59,17.25,221,"15-20",225
"189",1530,14.56,13.75,17.74,216,"15-20",210
"190",1535,13.82,11.74,19.01,215,"15-20",210
"191",1540,14.22,15.72,20.19,215,">20",210
"192",1545,14.28,16.51,22.74,218,">20",225
"193",1550,14.23,14.06,18.23,224,"15-20",225
"194",1555,14.28,13.2,18.33,226,"15-20",225
"195",1600,14.22,13.57,19.7,220,"15-20",225
"196",1605,14.15,11.81,18.52,218,"15-20",225
"197",1610,14.13,13.95,18.03,216,"15-20",210
"198",1615,13.84,13.56,17.93,219,"15-20",225
"199",1620,13.83,13.23,17.54,220,"15-20",225
"200",1625,13.71,12.72,17.35,221,"15-20",225
"201",1630,13.94,16.42,21.66,218,">20",225
"202",1635,13.78,12.62,17.35,227,"15-20",225
"203",1640,13.8,14.17,21.76,217,">20",210
"204",1645,13.3,14.24,21.46,223,">20",225
"205",1650,12.93,18.49,22.83,213,">20",210
"206",1655,12.25,16.44,20.87,218,">20",225
"207",1700,12.38,17.53,22.54,219,">20",225
"208",1705,12.34,13.61,18.23,223,"15-20",225
"209",1710,12.16,10.82,13.43,224,"10-15",225
"210",1715,12.24,11.22,14.31,225,"10-15",225
"211",1720,12.7,13.42,17.35,228,"15-20",225
"212",1725,12.68,11.46,15.09,224,"15-20",225
"213",1730,12.83,10.42,14.7,219,"10-15",225
"214",1735,12.98,8.78,11.86,225,"10-15",225
"215",1740,12.98,14.74,21.66,217,">20",210
"216",1745,13.21,15.55,18.82,217,"15-20",210
"217",1750,13.3,14.67,17.35,218,"15-20",225
"218",1755,13.12,13.86,17.44,218,"15-20",225
"219",1800,13.16,12.89,16.46,212,"15-20",210
"220",1805,13.41,14.24,18.33,214,"15-20",210
"221",1810,13.6,12.18,14.6,216,"10-15",210
"222",1815,13.68,13.67,17.05,213,"15-20",210
"223",1820,13.04,15.91,19.5,211,"15-20",210
"224",1825,13.2,18.36,21.36,206,">20",210
"225",1830,12.97,17.28,21.56,211,">20",210
"226",1835,12.97,16.15,20.19,212,">20",210
"227",1840,13.26,15.08,19.11,216,"15-20",210
"228",1845,12.98,14.93,20.87,209,">20",210
"229",1850,13.18,18.91,23.03,212,">20",210
"230",1855,13.32,18.56,22.44,210,">20",210
"231",1900,13.4,17.61,21.17,217,">20",210
"232",1905,13.71,13.62,18.23,221,"15-20",225
"233",1910,13.04,10.99,15.09,209,"15-20",210
"234",1915,13.12,11.99,15.58,210,"15-20",210
"235",1920,13.28,13.94,17.74,205,"15-20",210
"236",1925,13.64,13.91,16.46,208,"15-20",210
"237",1930,13.59,13.96,18.62,209,"15-20",210
"238",1935,13.34,18.85,22.15,202,">20",195
"239",1940,13.54,18.4,23.03,215,">20",210
"240",1945,13.91,16.36,19.89,218,"15-20",225
"241",1950,13.99,15.46,19.01,223,"15-20",225
"242",1955,13.9,13.01,15.78,214,"15-20",210
"243",2000,13.99,16.4,23.32,213,">20",210
"244",2005,13.48,17.12,21.85,222,">20",225
"245",2010,13.86,15.14,20.68,239,">20",240
"246",2015,13.79,15.77,20.38,237,">20",240
"247",2020,13.71,16.62,21.46,235,">20",240
"248",2025,13.58,14.32,19.11,232,"15-20",225
"249",2030,13.78,13.13,17.84,229,"15-20",225
"250",2035,13.59,10.78,15.58,234,"15-20",240
"251",2040,13.43,10.85,15.97,238,"15-20",240
"252",2045,13.6,15.85,20.48,229,">20",225
"253",2050,13.6,14.89,19.31,230,"15-20",225
"254",2055,13.42,14.08,20.58,225,">20",225
"255",2100,13.24,14.08,20.68,250,">20",255
"256",2105,12.87,13.11,17.05,254,"15-20",255
"257",2110,12.42,15.27,19.31,261,"15-20",255
"258",2115,12.21,15.35,18.42,258,"15-20",255
"259",2120,12.2,13.66,17.05,251,"15-20",255
"260",2125,12.04,13.94,20.29,254,">20",255
"261",2130,12.22,13.34,19.89,245,"15-20",240
"262",2135,11.91,14.59,19.89,248,"15-20",255
"263",2140,11.9,15.95,21.66,248,">20",255
"264",2145,11.67,14.06,21.56,246,">20",240
"265",2150,11.25,14.01,21.66,252,">20",255
"266",2155,11.09,16.68,24.7,244,">20",240
"267",2200,10.7,13.96,18.72,251,"15-20",255
"268",2205,10.38,15.84,20.29,256,">20",255
"269",2210,10.21,18.09,22.05,261,">20",255
"270",2215,9.93,17.01,21.17,260,">20",255
"271",2220,9.29,16.52,21.56,268,">20",270
"272",2225,9.11,17.25,21.46,267,">20",270
"273",2230,9.07,17.23,21.76,260,">20",255
"274",2235,8.74,15.33,18.91,259,"15-20",255
"275",2240,8.49,15.41,19.7,258,"15-20",255
"276",2245,8.09,17.79,21.66,260,">20",255
"277",2250,7.74,17.04,21.56,264,">20",270
"278",2255,7.64,16.79,20.87,261,">20",255
"279",2300,7.44,15.93,19.99,257,"15-20",255
"280",2305,7.37,17.01,23.81,258,">20",255
"281",2310,7.32,18.22,25.97,253,">20",255
"282",2315,7.11,18.83,26.17,254,">20",255
"283",2320,7.04,17,23.42,249,">20",255
"284",2325,6.99,16.71,22.25,248,">20",255
"285",2330,6.74,15.25,20.78,252,">20",255
"286",2335,6.74,18.98,23.81,250,">20",255
"287",2340,6.62,17.68,22.05,252,">20",255
"288",2345,6.22,18.54,23.91,259,">20",255
