"","Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"111","Berkeley",1910,NA,NA,-0.247,0.099
"112","Berkeley",1911,NA,NA,-0.243,0.097
"113","Berkeley",1912,NA,NA,-0.257,0.1
"114","Berkeley",1913,NA,NA,-0.268,0.1
"115","Berkeley",1914,NA,NA,-0.257,0.097
"116","Berkeley",1915,NA,NA,-0.249,0.095
"117","Berkeley",1916,NA,NA,-0.214,0.096
"118","Berkeley",1917,NA,NA,-0.201,0.096
"119","Berkeley",1918,NA,NA,-0.176,0.096
"120","Berkeley",1919,NA,NA,-0.182,0.097
"121","Berkeley",1920,NA,NA,-0.193,0.097
"122","Berkeley",1921,NA,NA,-0.167,0.098
"123","Berkeley",1922,NA,NA,-0.128,0.096
"124","Berkeley",1923,NA,NA,-0.075,0.097
"125","Berkeley",1924,NA,NA,-0.064,0.098
"126","Berkeley",1925,NA,NA,-0.065,0.1
"127","Berkeley",1926,NA,NA,-0.05,0.1
"128","Berkeley",1927,NA,NA,-0.02,0.099
"129","Berkeley",1928,NA,NA,-0.018,0.099
"130","Berkeley",1929,NA,NA,-0.026,0.1
"131","Berkeley",1930,NA,NA,-0.014,0.101
"132","Berkeley",1931,NA,NA,-0.047,0.098
"133","Berkeley",1932,NA,NA,-0.035,0.096
"134","Berkeley",1933,NA,NA,-0.017,0.093
"135","Berkeley",1934,NA,NA,0.02,0.092
"136","Berkeley",1935,NA,NA,0.053,0.089
"137","Berkeley",1936,NA,NA,0.063,0.085
"138","Berkeley",1937,NA,NA,0.048,0.081
"139","Berkeley",1938,NA,NA,0.073,0.079
"140","Berkeley",1939,NA,NA,0.113,0.076
"141","Berkeley",1940,NA,NA,0.113,0.072
"142","Berkeley",1941,NA,NA,0.134,0.071
"143","Berkeley",1942,NA,NA,0.134,0.069
"144","Berkeley",1943,NA,NA,0.127,0.07
"145","Berkeley",1944,NA,NA,0.111,0.068
"146","Berkeley",1945,NA,NA,0.072,0.066
"147","Berkeley",1946,NA,NA,0.035,0.066
"148","Berkeley",1947,NA,NA,0.042,0.064
"149","Berkeley",1948,NA,NA,0.045,0.063
"150","Berkeley",1949,NA,NA,0.013,0.062
"151","Berkeley",1950,NA,NA,0.01,0.058
"152","Berkeley",1951,NA,NA,-0.017,0.054
"153","Berkeley",1952,NA,NA,-0.04,0.047
"154","Berkeley",1953,NA,NA,-0.04,0.043
"155","Berkeley",1954,NA,NA,-0.032,0.038
"156","Berkeley",1955,NA,NA,-0.022,0.035
"157","Berkeley",1956,NA,NA,0.012,0.031
"158","Berkeley",1957,NA,NA,0.007,0.028
"159","Berkeley",1958,NA,NA,0.002,0.027
"160","Berkeley",1959,NA,NA,0.002,0.026
"161","Berkeley",1960,NA,NA,-0.019,0.026
"162","Berkeley",1961,NA,NA,-0.001,0.021
"163","Berkeley",1962,NA,NA,0.017,0.018
"164","Berkeley",1963,NA,NA,0.004,0.016
"165","Berkeley",1964,NA,NA,-0.028,0.018
"166","Berkeley",1965,NA,NA,-0.006,0.017
"167","Berkeley",1966,NA,NA,-0.024,0.017
"168","Berkeley",1967,NA,NA,-0.041,0.019
"169","Berkeley",1968,NA,NA,-0.025,0.02
"170","Berkeley",1969,NA,NA,-0.019,0.024
"171","Berkeley",1970,NA,NA,0.01,0.026
"172","Berkeley",1971,NA,NA,0.007,0.022
"173","Berkeley",1972,NA,NA,0.015,0.015
"174","Berkeley",1973,NA,NA,0.028,0.012
"175","Berkeley",1974,NA,NA,0.049,0.014
"176","Berkeley",1975,NA,NA,0.068,0.012
"177","Berkeley",1976,NA,NA,0.128,0.011
"178","Berkeley",1977,NA,NA,0.158,0.012
"179","Berkeley",1978,NA,NA,0.167,0.013
"180","Berkeley",1979,NA,NA,0.193,0.012
"181","Berkeley",1980,NA,NA,0.186,0.016
"182","Berkeley",1981,NA,NA,0.217,0.016
"183","Berkeley",1982,NA,NA,0.235,0.014
"184","Berkeley",1983,NA,NA,0.27,0.014
"185","Berkeley",1984,NA,NA,0.318,0.014
"186","Berkeley",1985,NA,NA,0.344,0.013
"187","Berkeley",1986,NA,NA,0.352,0.012
"188","Berkeley",1987,NA,NA,0.38,0.011
"189","Berkeley",1988,NA,NA,0.37,0.013
"190","Berkeley",1989,NA,NA,0.366,0.017
"191","Berkeley",1990,NA,NA,0.433,0.019
"192","Berkeley",1991,NA,NA,0.467,0.018
"193","Berkeley",1992,NA,NA,0.496,0.017
"194","Berkeley",1993,NA,NA,0.526,0.019
"195","Berkeley",1994,NA,NA,0.554,0.02
"196","Berkeley",1995,NA,NA,0.563,0.019
"197","Berkeley",1996,NA,NA,0.565,0.022
"198","Berkeley",1997,NA,NA,0.618,0.022
"199","Berkeley",1998,NA,NA,0.68,0.023
"200","Berkeley",1999,NA,NA,0.734,0.025
"201","Berkeley",2000,NA,NA,0.748,0.026
"202","Berkeley",2001,NA,NA,0.793,0.027
"203","Berkeley",2002,NA,NA,0.856,0.028
"204","Berkeley",2003,NA,NA,0.869,0.028
"205","Berkeley",2004,NA,NA,0.884,0.029
"206","NASA",1880,NA,NA,NA,NA
"207","NASA",1881,-0.215486111111111,NA,NA,NA
"208","NASA",1882,-0.317083333333333,NA,NA,NA
"209","NASA",1883,-0.342708333333333,-0.392625,NA,NA
"210","NASA",1884,-0.5825,-0.452597222222222,NA,NA
"211","NASA",1885,-0.505347222222222,-0.499541666666667,-0.388652777777778,NA
"212","NASA",1886,-0.515347222222222,-0.487708333333333,-0.411194444444445,NA
"213","NASA",1887,-0.551805555555556,-0.410986111111111,-0.430090277777778,NA
"214","NASA",1888,-0.283541666666667,-0.407097222222222,-0.440833333333333,NA
"215","NASA",1889,-0.198888888888889,-0.392944444444445,-0.426534722222222,NA
"216","NASA",1890,-0.485902777777778,-0.369513888888889,-0.396909722222222,NA
"217","NASA",1891,-0.444583333333333,-0.389583333333333,-0.365868055555556,NA
"218","NASA",1892,-0.434652777777778,-0.411347222222222,-0.316055555555556,NA
"219","NASA",1893,-0.383888888888889,-0.356680555555556,-0.279326388888889,NA
"220","NASA",1894,-0.307708333333333,-0.291722222222222,-0.285256944444444,NA
"221","NASA",1895,-0.212569444444444,-0.215041666666667,-0.243361111111111,NA
"222","NASA",1896,-0.119791666666667,-0.176236111111111,-0.181673611111111,NA
"223","NASA",1897,-0.05125,-0.128375,-0.142784722222222,NA
"224","NASA",1898,-0.189861111111111,-0.0680972222222222,-0.111236111111111,NA
"225","NASA",1899,-0.0684027777777778,-0.0232777777777778,-0.119854166666667,NA
"226","NASA",1900,0.0888194444444444,-0.0354861111111111,-0.112729166666667,NA
"227","NASA",1901,0.104305555555556,-0.0534722222222222,-0.0995694444444444,NA
"228","NASA",1902,-0.112291666666667,-0.106541666666667,-0.114069444444444,NA
"229","NASA",1903,-0.279791666666667,-0.147180555555556,-0.130013888888889,NA
"230","NASA",1904,-0.33375,-0.176666666666667,-0.144597222222222,NA
"231","NASA",1905,-0.114375,-0.219736111111111,-0.154923611111111,NA
"232","NASA",1906,-0.043125,-0.217638888888889,-0.194104166666667,NA
"233","NASA",1907,-0.327638888888889,-0.190236111111111,-0.211041666666667,NA
"234","NASA",1908,-0.269305555555556,-0.200222222222222,-0.222902777777778,NA
"235","NASA",1909,-0.196736111111111,-0.231263888888889,-0.173673611111111,NA
"236","NASA",1910,-0.164305555555556,-0.220611111111111,-0.145645833333333,NA
"237","NASA",1911,-0.198333333333333,-0.184888888888889,-0.146986111111111,NA
"238","NASA",1912,-0.274375,-0.125152777777778,-0.164027777777778,NA
"239","NASA",1913,-0.0906944444444444,-0.0811944444444445,-0.176652777777778,NA
"240","NASA",1914,0.101944444444444,-0.0861805555555556,-0.161347222222222,NA
"241","NASA",1915,0.0554861111111111,-0.118069444444444,-0.157902777777778,NA
"242","NASA",1916,-0.223263888888889,-0.157638888888889,-0.136416666666667,NA
"243","NASA",1917,-0.433819444444444,-0.191041666666667,-0.131055555555556,NA
"244","NASA",1918,-0.288541666666667,-0.218333333333333,-0.111381944444444,NA
"245","NASA",1919,-0.0650694444444444,-0.183680555555556,-0.126243055555556,NA
"246","NASA",1920,-0.0809722222222222,-0.117847222222222,-0.135041666666667,NA
"247","NASA",1921,-0.05,-0.07825,-0.110972222222222,NA
"248","NASA",1922,-0.104652777777778,-0.0678333333333333,-0.0732777777777778,NA
"249","NASA",1923,-0.0905555555555555,-0.0380833333333333,-0.027,NA
"250","NASA",1924,-0.0129861111111111,-0.00386111111111112,-0.0250694444444444,NA
"251","NASA",1925,0.0677777777777778,0.0205277777777778,-0.0270902777777778,NA
"252","NASA",1926,0.121111111111111,0.0363888888888889,-0.0130902777777778,NA
"253","NASA",1927,0.0172916666666667,0.00777777777777777,0.0179791666666667,NA
"254","NASA",1928,-0.01125,-0.00111111111111111,0.0235694444444445,NA
"255","NASA",1929,-0.156041666666667,0.00859722222222223,0.0275833333333333,NA
"256","NASA",1930,0.0233333333333333,0.0234722222222222,0.0411111111111111,NA
"257","NASA",1931,0.169652777777778,0.0128611111111111,0.0104375,NA
"258","NASA",1932,0.0916666666666667,0.0637083333333333,0.0238402777777778,NA
"259","NASA",1933,-0.0643055555555556,0.0518055555555556,0.0427638888888889,NA
"260","NASA",1934,0.0981944444444444,0.0233055555555556,0.0724583333333333,NA
"261","NASA",1935,-0.0361805555555555,0.0409722222222222,0.0966180555555555,NA
"262","NASA",1936,0.0271527777777778,0.101486111111111,0.108902777777778,NA
"263","NASA",1937,0.18,0.109763888888889,0.0991736111111111,NA
"264","NASA",1938,0.238263888888889,0.155541666666667,0.116458333333333,NA
"265","NASA",1939,0.139583333333333,0.185472222222222,0.143416666666667,NA
"266","NASA",1940,0.192708333333333,0.169972222222222,0.137409722222222,NA
"267","NASA",1941,0.176805555555556,0.161125,0.156125,NA
"268","NASA",1942,0.1025,0.171055555555556,0.152319444444444,NA
"269","NASA",1943,0.194027777777778,0.14125,0.145625,NA
"270","NASA",1944,0.189236111111111,0.121291666666667,0.131305555555556,NA
"271","NASA",1945,0.0436805555555555,0.132277777777778,0.0993333333333333,NA
"272","NASA",1946,0.0770138888888889,0.115430555555556,0.0590902777777778,NA
"273","NASA",1947,0.157430555555556,0.0646388888888889,0.0602777777777778,NA
"274","NASA",1948,0.109791666666667,0.012,0.0642291666666667,NA
"275","NASA",1949,-0.0647222222222222,-0.00456944444444444,0.0361736111111111,NA
"276","NASA",1950,-0.219513888888889,-0.0114027777777778,0.0364652777777778,NA
"277","NASA",1951,-0.00583333333333334,-0.00681944444444445,0.00488194444444444,NA
"278","NASA",1952,0.123263888888889,0.0031111111111111,-0.0212777777777778,NA
"279","NASA",1953,0.132708333333333,0.0383611111111111,-0.0203194444444445,NA
"280","NASA",1954,-0.0150694444444445,-0.0176805555555556,-0.013875,NA
"281","NASA",1955,-0.0432638888888889,-0.0321388888888889,-0.00760416666666667,NA
"282","NASA",1956,-0.286041666666667,-0.0315694444444445,0.0234583333333333,NA
"283","NASA",1957,0.0509722222222222,-0.0234583333333333,0.0208125,NA
"284","NASA",1958,0.135555555555556,-0.023375,0.0164861111111111,NA
"285","NASA",1959,0.0254861111111111,0.0650972222222222,0.0143541666666667,NA
"286","NASA",1960,-0.0428472222222222,0.0684305555555556,-0.00984027777777778,NA
"287","NASA",1961,0.156319444444444,0.0680138888888889,0.00620138888888889,NA
"288","NASA",1962,0.0676388888888889,0.0264027777777778,0.0201736111111111,NA
"289","NASA",1963,0.133472222222222,0.00731944444444445,0.00025,NA
"290","NASA",1964,-0.182569444444444,-0.0297916666666667,-0.0310138888888889,NA
"291","NASA",1965,-0.138263888888889,-0.0446388888888889,-0.0119166666666667,NA
"292","NASA",1966,-0.0292361111111111,-0.101416666666667,-0.0310138888888889,NA
"293","NASA",1967,-0.00659722222222222,-0.0744444444444444,-0.0548402777777778,NA
"294","NASA",1968,-0.150416666666667,-0.0403611111111111,-0.0503194444444444,NA
"295","NASA",1969,-0.0477083333333333,-0.060375,-0.0532638888888889,NA
"296","NASA",1970,0.0321527777777778,-0.0622777777777778,-0.0320347222222222,NA
"297","NASA",1971,-0.129305555555556,-0.00573611111111112,-0.0428819444444444,NA
"298","NASA",1972,-0.0161111111111111,-0.0118888888888889,-0.0457152777777778,NA
"299","NASA",1973,0.132291666666667,-0.0201388888888889,-0.0379166666666667,NA
"300","NASA",1974,-0.0784722222222222,-0.0433194444444445,-0.0208888888888889,NA
"301","NASA",1975,-0.00909722222222222,-0.0180277777777778,-0.00789583333333334,NA
"302","NASA",1976,-0.245208333333333,-0.0508333333333333,0.0451736111111111,NA
"303","NASA",1977,0.110347222222222,-0.0238611111111111,0.0688472222222223,NA
"304","NASA",1978,-0.0317361111111111,0.0528055555555555,0.0777777777777778,NA
"305","NASA",1979,0.0563888888888889,0.168416666666667,0.102513888888889,NA
"306","NASA",1980,0.374236111111111,0.163472222222222,0.0973472222222223,NA
"307","NASA",1981,0.332847222222222,0.228263888888889,0.130236111111111,NA
"308","NASA",1982,0.085625,0.228986111111111,0.157256944444444,NA
"309","NASA",1983,0.292222222222222,0.162305555555556,0.19475,NA
"310","NASA",1984,0.06,0.128541666666667,0.237215277777778,NA
"311","NASA",1985,0.0408333333333333,0.175583333333333,0.261381944444444,NA
"312","NASA",1986,0.164027777777778,0.212208333333333,0.2721875,NA
"313","NASA",1987,0.320833333333333,0.270972222222222,0.300597222222222,NA
"314","NASA",1988,0.475347222222222,0.371916666666667,0.290618055555556,NA
"315","NASA",1989,0.353819444444444,0.447111111111111,0.289680555555556,NA
"316","NASA",1990,0.545555555555556,0.422,0.352201388888889,NA
"317","NASA",1991,0.54,0.354236111111111,0.379729166666667,NA
"318","NASA",1992,0.195277777777778,0.365847222222222,0.400215277777778,NA
"319","NASA",1993,0.136527777777778,0.367763888888889,0.425923611111111,NA
"320","NASA",1994,0.411875,0.336472222222222,0.4559375,NA
"321","NASA",1995,0.555138888888889,0.3995,0.467638888888889,NA
"322","NASA",1996,0.383541666666667,0.529,0.464201388888889,NA
"323","NASA",1997,0.510416666666667,0.563152777777778,0.518548611111111,NA
"324","NASA",1998,0.784027777777778,0.559986111111111,0.579756944444445,NA
"325","NASA",1999,0.582638888888889,0.630611111111111,0.638583333333333,NA
"326","NASA",2000,0.539305555555555,0.702819444444444,0.663791666666666,NA
"327","NASA",2001,0.736666666666667,0.702625,0.708659722222222,NA
"328","NASA",2002,0.871458333333333,0.731472222222222,0.770965277777777,NA
"329","NASA",2003,0.783055555555556,0.811819444444445,0.781138888888889,NA
"330","NASA",2004,0.726875,0.846666666666667,0.7969375,NA
"331","NASA",2005,0.941041666666667,0.865083333333333,0.831638888888889,NA
"332","NASA",2006,0.910902777777778,0.864347222222222,NA,NA
"333","NASA",2007,0.963541666666667,0.895291666666667,NA,NA
"334","NASA",2008,0.779375,0.890208333333333,NA,NA
"335","NASA",2009,0.881597222222222,NA,NA,NA
"336","NASA",2010,0.915625,NA,NA,NA
"337","NASA",2011,NA,NA,NA,NA
"338","CRUTEM3",1850,-0.3327,NA,NA,NA
"339","CRUTEM3",1851,0.0813,NA,NA,NA
"340","CRUTEM3",1852,-0.1157,NA,NA,NA
"341","CRUTEM3",1853,-0.3057,NA,NA,NA
"342","CRUTEM3",1854,0.2233,NA,-0.1381,NA
"343","CRUTEM3",1855,-0.0187,NA,-0.131,NA
"344","CRUTEM3",1856,-0.2767,NA,-0.1599,NA
"345","CRUTEM3",1857,-0.1547,NA,-0.1981,NA
"346","CRUTEM3",1858,-0.3087,NA,-0.1917,NA
"347","CRUTEM3",1859,-0.1727,NA,-0.2679,NA
"348","CRUTEM3",1860,-0.2617,NA,-0.2863,NA
"349","CRUTEM3",1861,-0.2077,NA,-0.2853,NA
"350","CRUTEM3",1862,-0.4977,NA,-0.299,NA
"351","CRUTEM3",1863,-0.2417,NA,-0.2905,NA
"352","CRUTEM3",1864,-0.5387,NA,-0.2912,NA
"353","CRUTEM3",1865,-0.2027,NA,-0.285,NA
"354","CRUTEM3",1866,-0.2667,NA,-0.2972,NA
"355","CRUTEM3",1867,-0.2917,NA,-0.2547,NA
"356","CRUTEM3",1868,-0.2237,NA,-0.2446,NA
"357","CRUTEM3",1869,-0.1797,NA,-0.2207,NA
"358","CRUTEM3",1870,-0.1997,NA,-0.2518,NA
"359","CRUTEM3",1871,-0.3297,NA,-0.2419,NA
"360","CRUTEM3",1872,-0.0727,NA,-0.2104,NA
"361","CRUTEM3",1873,-0.1407,NA,-0.1687,NA
"362","CRUTEM3",1874,-0.2997,NA,-0.1817,NA
"363","CRUTEM3",1875,-0.5137,NA,-0.1689,NA
"364","CRUTEM3",1876,-0.1677,NA,-0.1578,NA
"365","CRUTEM3",1877,0.0233,NA,-0.1547,NA
"366","CRUTEM3",1878,0.1933,NA,-0.1731,NA
"367","CRUTEM3",1879,-0.3097,NA,-0.1882,NA
"368","CRUTEM3",1880,-0.0717,NA,-0.178,NA
"369","CRUTEM3",1881,-0.2187,NA,-0.1941,NA
"370","CRUTEM3",1882,-0.0417,NA,-0.2389,NA
"371","CRUTEM3",1883,-0.3247,NA,-0.2975,NA
"372","CRUTEM3",1884,-0.4507,NA,-0.2812,NA
"373","CRUTEM3",1885,-0.4117,NA,-0.312,NA
"374","CRUTEM3",1886,-0.3287,NA,-0.3394,NA
"375","CRUTEM3",1887,-0.4247,NA,-0.3856,NA
"376","CRUTEM3",1888,-0.3927,NA,-0.4129,NA
"377","CRUTEM3",1889,-0.1467,NA,-0.4133,NA
"378","CRUTEM3",1890,-0.3797,NA,-0.4187,NA
"379","CRUTEM3",1891,-0.4927,NA,-0.4146,NA
"380","CRUTEM3",1892,-0.5037,NA,-0.3928,NA
"381","CRUTEM3",1893,-0.5977,NA,-0.3838,NA
"382","CRUTEM3",1894,-0.4547,NA,-0.3928,NA
"383","CRUTEM3",1895,-0.4657,NA,-0.3626,NA
"384","CRUTEM3",1896,-0.2877,NA,-0.3223,NA
"385","CRUTEM3",1897,-0.2067,NA,-0.2982,NA
"386","CRUTEM3",1898,-0.3027,NA,-0.2721,NA
"387","CRUTEM3",1899,-0.2367,NA,-0.2745,NA
"388","CRUTEM3",1900,-0.0777,NA,-0.2627,NA
"389","CRUTEM3",1901,-0.0897,NA,-0.2473,NA
"390","CRUTEM3",1902,-0.2627,NA,-0.2789,NA
"391","CRUTEM3",1903,-0.3367,NA,-0.2882,NA
"392","CRUTEM3",1904,-0.4787,NA,-0.3017,NA
"393","CRUTEM3",1905,-0.3477,NA,-0.3189,NA
"394","CRUTEM3",1906,-0.1337,NA,-0.3468,NA
"395","CRUTEM3",1907,-0.5227,NA,-0.3501,NA
"396","CRUTEM3",1908,-0.3957,NA,-0.3403,NA
"397","CRUTEM3",1909,-0.3717,NA,-0.2898,NA
"398","CRUTEM3",1910,-0.2497,NA,-0.2534,NA
"399","CRUTEM3",1911,-0.3687,NA,-0.2666,NA
"400","CRUTEM3",1912,-0.2957,NA,-0.2744,NA
"401","CRUTEM3",1913,-0.2387,NA,-0.2734,NA
"402","CRUTEM3",1914,0.0263,NA,-0.2525,NA
"403","CRUTEM3",1915,0.0163,NA,-0.2486,NA
"404","CRUTEM3",1916,-0.2657,NA,-0.2184,NA
"405","CRUTEM3",1917,-0.6007,NA,-0.2057,NA
"406","CRUTEM3",1918,-0.3857,NA,-0.2017,NA
"407","CRUTEM3",1919,-0.1627,NA,-0.2326,NA
"408","CRUTEM3",1920,-0.2107,NA,-0.2535,NA
"409","CRUTEM3",1921,-0.0667,NA,-0.2229,NA
"410","CRUTEM3",1922,-0.1687,NA,-0.1771,NA
"411","CRUTEM3",1923,-0.1987,NA,-0.145,NA
"412","CRUTEM3",1924,-0.2827,NA,-0.1634,NA
"413","CRUTEM3",1925,-0.1927,NA,-0.147,NA
"414","CRUTEM3",1926,0.0403,NA,-0.1442,NA
"415","CRUTEM3",1927,-0.1427,NA,-0.1251,NA
"416","CRUTEM3",1928,-0.0647,NA,-0.1249,NA
"417","CRUTEM3",1929,-0.3467,NA,-0.0942,NA
"418","CRUTEM3",1930,-0.0467,NA,-0.0828,NA
"419","CRUTEM3",1931,-0.0387,NA,-0.089,NA
"420","CRUTEM3",1932,0.0223,NA,-0.0723,NA
"421","CRUTEM3",1933,-0.1967,NA,-0.0456,NA
"422","CRUTEM3",1934,0.0243,NA,-0.00770000000000001,NA
"423","CRUTEM3",1935,-0.0787,NA,0.00289999999999999,NA
"424","CRUTEM3",1936,-0.0217,NA,0.0145,NA
"425","CRUTEM3",1937,0.0243,NA,0.0185,NA
"426","CRUTEM3",1938,0.2023,NA,0.0402,NA
"427","CRUTEM3",1939,0.0323,NA,0.0552,NA
"428","CRUTEM3",1940,0.0593,NA,0.0613,NA
"429","CRUTEM3",1941,0.0773,NA,0.0645,NA
"430","CRUTEM3",1942,0.0623,NA,0.0692,NA
"431","CRUTEM3",1943,0.0203,NA,0.0523,NA
"432","CRUTEM3",1944,0.1743,NA,0.0435,NA
"433","CRUTEM3",1945,-0.0177,NA,0.0148,NA
"434","CRUTEM3",1946,0.0103,NA,0.00329999999999999,NA
"435","CRUTEM3",1947,0.0713,NA,0.00239999999999999,NA
"436","CRUTEM3",1948,0.0333,NA,0.0154,NA
"437","CRUTEM3",1949,-0.0557,NA,-0.0115,NA
"438","CRUTEM3",1950,-0.2277,NA,-0.0211,NA
"439","CRUTEM3",1951,-0.0377,NA,-0.0562,NA
"440","CRUTEM3",1952,0.0533,NA,-0.0592,NA
"441","CRUTEM3",1953,0.1503,NA,-0.0455,NA
"442","CRUTEM3",1954,-0.0947,NA,-0.0318,NA
"443","CRUTEM3",1955,-0.1137,NA,-0.0098,NA
"444","CRUTEM3",1956,-0.3407,NA,0.00749999999999999,NA
"445","CRUTEM3",1957,0.0413,NA,0.0115,NA
"446","CRUTEM3",1958,0.1703,NA,0.00629999999999999,NA
