"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"42","Afghanistan","AFG",2001,92.2061148557,58.9,11.1174534372,103.8
"43","Afghanistan","AFG",2002,157.9765009299,59,21.772112303,103.3
"44","Afghanistan","AFG",2003,168.6783237227,59,25.4845340061,103.9
"45","Afghanistan","AFG",2004,196.2321389323,59.1,29.6200742268,103.6
"46","Afghanistan","AFG",2005,227.8803608481,59.3,32.5157023742,103.8
"47","Afghanistan","AFG",2006,251.1061619925,59.4,34.5719327008,103.8
"48","Afghanistan","AFG",2007,307.9892024921,59.6,41.6541990854,103.7
"49","Afghanistan","AFG",2008,361.5698935139,59.7,47.4828394996,103.3
"50","Afghanistan","AFG",2009,NA,59.8,50.8859656841,103.2
"51","Afghanistan","AFG",2010,NA,NA,NA,103
"52","Albania","ALB",1960,NA,NA,NA,NA
"53","Albania","ALB",1961,NA,NA,NA,NA
"54","Albania","ALB",1962,NA,NA,NA,NA
"55","Albania","ALB",1963,NA,NA,NA,NA
"56","Albania","ALB",1964,NA,NA,NA,NA
"57","Albania","ALB",1965,NA,NA,NA,NA
"58","Albania","ALB",1966,NA,NA,NA,NA
"59","Albania","ALB",1967,NA,NA,NA,NA
"60","Albania","ALB",1968,NA,NA,NA,NA
"61","Albania","ALB",1969,NA,NA,NA,NA
"62","Albania","ALB",1970,NA,NA,NA,NA
"63","Albania","ALB",1971,NA,NA,NA,NA
"64","Albania","ALB",1972,NA,NA,NA,NA
"65","Albania","ALB",1973,NA,NA,NA,NA
"66","Albania","ALB",1974,NA,NA,NA,NA
"67","Albania","ALB",1975,NA,NA,NA,NA
"68","Albania","ALB",1976,NA,NA,NA,NA
"69","Albania","ALB",1977,NA,NA,NA,NA
"70","Albania","ALB",1978,NA,NA,NA,NA
"71","Albania","ALB",1979,NA,NA,NA,NA
"72","Albania","ALB",1980,NA,61.6,NA,NA
"73","Albania","ALB",1981,NA,61.7,NA,NA
"74","Albania","ALB",1982,NA,61.9,NA,NA
"75","Albania","ALB",1983,NA,62,NA,NA
"76","Albania","ALB",1984,665.5966080543,62,NA,NA
"77","Albania","ALB",1985,664.5672639207,62.1,NA,NA
"78","Albania","ALB",1986,716.6067885038,62.3,NA,NA
"79","Albania","ALB",1987,692.1112538507,62.4,NA,NA
"80","Albania","ALB",1988,665.4451189319,62.4,NA,NA
"81","Albania","ALB",1989,717.2070387569,62.6,NA,NA
"82","Albania","ALB",1990,638.8921784974,62.4,NA,NA
"83","Albania","ALB",1991,346.0729742781,60.6,NA,NA
"84","Albania","ALB",1992,217.1583300734,60,NA,NA
"85","Albania","ALB",1993,380.8089108513,60.8,NA,NA
"86","Albania","ALB",1994,624.53506807,61.4,NA,NA
"87","Albania","ALB",1995,771.8625351489,61.8,27.9762057125,30.7
"88","Albania","ALB",1996,968.0719516769,61.9,43.1386619725,29.8
"89","Albania","ALB",1997,710.314788053,61.4,36.1948630252,28.5
"90","Albania","ALB",1998,885.9086308748,61.5,47.1543644851,27.4
"91","Albania","ALB",1999,1117.7057671645,61.5,65.0847090432,26.3
"92","Albania","ALB",2000,1200.1374371175,61.3,75.3420868439,25.3
"93","Albania","ALB",2001,1329.3850314672,61.1,80.0703213396,24.3
"94","Albania","ALB",2002,1440.0301431256,60.9,90.4075829538,23.2
"95","Albania","ALB",2003,1819.3978376418,60.6,113.7362786239,22.4
"96","Albania","ALB",2004,2388.7292746863,60.4,162.2695783991,21.4
"97","Albania","ALB",2005,2666.1416196075,60.2,179.4162274952,20.3
"98","Albania","ALB",2006,2893.1578534896,59.9,201.7423127896,19.6
"99","Albania","ALB",2007,3377.2215171931,59.7,234.9928769904,18.7
"100","Albania","ALB",2008,4076.4021355335,59.4,280.5217553174,17.8
"101","Albania","ALB",2009,3772.6047406594,59.5,264.604055074,17.2
"102","Albania","ALB",2010,3678.231747851,NA,NA,16.4
"103","Algeria","DZA",1960,252.1887386083,NA,NA,NA
"104","Algeria","DZA",1961,221.2088523516,NA,NA,NA
"105","Algeria","DZA",1962,178.5449164358,NA,NA,NA
"106","Algeria","DZA",1963,236.6728565114,NA,NA,NA
"107","Algeria","DZA",1964,249.6236661494,NA,NA,NA
"108","Algeria","DZA",1965,263.0448594363,NA,NA,NA
"109","Algeria","DZA",1966,248.5605729071,NA,NA,NA
"110","Algeria","DZA",1967,268.1118214127,NA,NA,NA
"111","Algeria","DZA",1968,297.5673724773,NA,NA,NA
"112","Algeria","DZA",1969,319.1603215826,NA,NA,NA
"113","Algeria","DZA",1970,353.806351161,NA,NA,NA
"114","Algeria","DZA",1971,358.4118391771,NA,NA,NA
"115","Algeria","DZA",1972,463.1151569056,NA,NA,NA
"116","Algeria","DZA",1973,578.9856049013,NA,NA,NA
"117","Algeria","DZA",1974,850.914532002,NA,NA,NA
"118","Algeria","DZA",1975,971.2663925535,NA,NA,NA
"119","Algeria","DZA",1976,1072.2798063792,NA,NA,NA
"120","Algeria","DZA",1977,1228.7110719614,NA,NA,NA
"121","Algeria","DZA",1978,1495.8783925642,NA,NA,NA
"122","Algeria","DZA",1979,1826.013005509,NA,NA,NA
"123","Algeria","DZA",1980,2251.0673714947,44.7,NA,NA
"124","Algeria","DZA",1981,2281.0259155499,44.9,NA,NA
"125","Algeria","DZA",1982,2249.5960651713,44.8,NA,NA
"126","Algeria","DZA",1983,2350.4271963151,44.8,NA,NA
"127","Algeria","DZA",1984,2505.3937827191,44.8,NA,NA
"128","Algeria","DZA",1985,2621.8248897478,44.9,NA,NA
"129","Algeria","DZA",1986,2799.405330678,45.6,NA,NA
"130","Algeria","DZA",1987,2852.4202261814,46.4,NA,NA
"131","Algeria","DZA",1988,2458.4349019263,47.2,NA,NA
"132","Algeria","DZA",1989,2255.1995611295,48,NA,NA
"133","Algeria","DZA",1990,2452.4547224524,48.8,NA,NA
"134","Algeria","DZA",1991,1762.9919347665,49.5,NA,NA
"135","Algeria","DZA",1992,1807.4912749868,50.3,NA,NA
"136","Algeria","DZA",1993,1838.3008831956,51.1,NA,NA
"137","Algeria","DZA",1994,1533.0057210074,51.8,NA,NA
"138","Algeria","DZA",1995,1476.2002615779,52.5,62.113669448,47.3
"139","Algeria","DZA",1996,1630.65733677,53.2,61.8279322745,46.3
"140","Algeria","DZA",1997,1647.5053391865,53.8,66.9556687027,44.7
"141","Algeria","DZA",1998,1623.9225263354,54.2,66.0439756018,43.8
"142","Algeria","DZA",1999,1616.0203779151,54.7,62.5785626521,42.6
"143","Algeria","DZA",2000,1794.4052331656,55.2,62.6645542893,41.4
"144","Algeria","DZA",2001,1781.0538135118,55.8,67.8751903737,40.4
"145","Algeria","DZA",2002,1814.5574295838,56.2,65.9451855678,38.9
"146","Algeria","DZA",2003,2131.3452624287,56.4,77.3549785284,38
"147","Algeria","DZA",2004,2624.2072714535,56.8,98.0247722013,36.6
"148","Algeria","DZA",2005,3111.7034468681,57.1,111.2355321614,35.9
"149","Algeria","DZA",2006,3508.9087785711,57.6,149.6469876936,34.7
"150","Algeria","DZA",2007,4005.2242424425,58,173.0334394548,33.8
"151","Algeria","DZA",2008,4966.5717020457,58.3,271.7003224959,32.7
"152","Algeria","DZA",2009,4022.1988778337,58.5,267.9465312808,32
"153","Algeria","DZA",2010,4494.8867276744,NA,NA,30.5
"154","American Samoa","ASM",1960,NA,NA,NA,NA
"155","American Samoa","ASM",1961,NA,NA,NA,NA
"156","American Samoa","ASM",1962,NA,NA,NA,NA
"157","American Samoa","ASM",1963,NA,NA,NA,NA
"158","American Samoa","ASM",1964,NA,NA,NA,NA
"159","American Samoa","ASM",1965,NA,NA,NA,NA
"160","American Samoa","ASM",1966,NA,NA,NA,NA
"161","American Samoa","ASM",1967,NA,NA,NA,NA
"162","American Samoa","ASM",1968,NA,NA,NA,NA
"163","American Samoa","ASM",1969,NA,NA,NA,NA
"164","American Samoa","ASM",1970,NA,NA,NA,NA
"165","American Samoa","ASM",1971,NA,NA,NA,NA
"166","American Samoa","ASM",1972,NA,NA,NA,NA
"167","American Samoa","ASM",1973,NA,NA,NA,NA
"168","American Samoa","ASM",1974,NA,NA,NA,NA
"169","American Samoa","ASM",1975,NA,NA,NA,NA
"170","American Samoa","ASM",1976,NA,NA,NA,NA
"171","American Samoa","ASM",1977,NA,NA,NA,NA
"172","American Samoa","ASM",1978,NA,NA,NA,NA
"173","American Samoa","ASM",1979,NA,NA,NA,NA
"174","American Samoa","ASM",1980,NA,NA,NA,NA
"175","American Samoa","ASM",1981,NA,NA,NA,NA
"176","American Samoa","ASM",1982,NA,NA,NA,NA
"177","American Samoa","ASM",1983,NA,NA,NA,NA
"178","American Samoa","ASM",1984,NA,NA,NA,NA
"179","American Samoa","ASM",1985,NA,NA,NA,NA
"180","American Samoa","ASM",1986,NA,NA,NA,NA
"181","American Samoa","ASM",1987,NA,NA,NA,NA
"182","American Samoa","ASM",1988,NA,NA,NA,NA
"183","American Samoa","ASM",1989,NA,NA,NA,NA
"184","American Samoa","ASM",1990,NA,NA,NA,NA
"185","American Samoa","ASM",1991,NA,NA,NA,NA
"186","American Samoa","ASM",1992,NA,NA,NA,NA
"187","American Samoa","ASM",1993,NA,NA,NA,NA
"188","American Samoa","ASM",1994,NA,NA,NA,NA
"189","American Samoa","ASM",1995,NA,NA,NA,NA
"190","American Samoa","ASM",1996,NA,NA,NA,NA
"191","American Samoa","ASM",1997,NA,NA,NA,NA
"192","American Samoa","ASM",1998,NA,NA,NA,NA
"193","American Samoa","ASM",1999,NA,NA,NA,NA
"194","American Samoa","ASM",2000,NA,NA,NA,NA
"195","American Samoa","ASM",2001,NA,NA,NA,NA
"196","American Samoa","ASM",2002,NA,NA,NA,NA
"197","American Samoa","ASM",2003,NA,NA,NA,NA
"198","American Samoa","ASM",2004,NA,NA,NA,NA
"199","American Samoa","ASM",2005,NA,NA,NA,NA
"200","American Samoa","ASM",2006,NA,NA,NA,NA
"201","American Samoa","ASM",2007,NA,NA,NA,NA
"202","American Samoa","ASM",2008,NA,NA,NA,NA
"203","American Samoa","ASM",2009,NA,NA,NA,NA
"204","American Samoa","ASM",2010,NA,NA,NA,NA
"205","Andorra","AND",1960,NA,NA,NA,NA
"206","Andorra","AND",1961,NA,NA,NA,NA
"207","Andorra","AND",1962,NA,NA,NA,NA
"208","Andorra","AND",1963,NA,NA,NA,NA
"209","Andorra","AND",1964,NA,NA,NA,NA
"210","Andorra","AND",1965,NA,NA,NA,NA
"211","Andorra","AND",1966,NA,NA,NA,NA
"212","Andorra","AND",1967,NA,NA,NA,NA
"213","Andorra","AND",1968,NA,NA,NA,NA
"214","Andorra","AND",1969,NA,NA,NA,NA
"215","Andorra","AND",1970,3226.7924118751,NA,NA,NA
"216","Andorra","AND",1971,3484.8245834897,NA,NA,NA
"217","Andorra","AND",1972,4200.9975875447,NA,NA,NA
"218","Andorra","AND",1973,5319.3814264826,NA,NA,NA
"219","Andorra","AND",1974,6283.9249531352,NA,NA,NA
"220","Andorra","AND",1975,7107.9811016888,NA,NA,NA
"221","Andorra","AND",1976,7068.1728425542,NA,NA,NA
"222","Andorra","AND",1977,7632.3828584163,NA,NA,NA
"223","Andorra","AND",1978,8945.7593051798,NA,NA,NA
"224","Andorra","AND",1979,11510.8731228476,NA,NA,NA
"225","Andorra","AND",1980,11958.2483626365,NA,NA,NA
"226","Andorra","AND",1981,9916.458825715,NA,NA,NA
"227","Andorra","AND",1982,9082.2600366789,NA,NA,NA
"228","Andorra","AND",1983,7513.2906087453,NA,NA,NA
"229","Andorra","AND",1984,7222.2884105136,NA,NA,NA
"230","Andorra","AND",1985,7313.0911069174,NA,NA,NA
"231","Andorra","AND",1986,9906.8142331586,NA,NA,NA
"232","Andorra","AND",1987,12348.5011000953,NA,NA,NA
"233","Andorra","AND",1988,14360.7378667765,NA,NA,NA
"234","Andorra","AND",1989,15524.4705990139,NA,NA,NA
"235","Andorra","AND",1990,19498.4071287807,NA,NA,NA
"236","Andorra","AND",1991,20126.7536364184,NA,NA,NA
"237","Andorra","AND",1992,20946.0869404361,NA,NA,NA
"238","Andorra","AND",1993,16599.4873320809,NA,NA,NA
"239","Andorra","AND",1994,16123.0945333327,NA,NA,NA
"240","Andorra","AND",1995,18218.9100577793,NA,219.0709046455,5.1
"241","Andorra","AND",1996,18765.5950709271,NA,1483.2842444892,4.8
"242","Andorra","AND",1997,18190.371111821,NA,1428.9713384771,4.5
"243","Andorra","AND",1998,18864.2709828091,NA,1821.9987308559,4.3
"244","Andorra","AND",1999,19377.0456455958,NA,1390.0296469422,4.1
"245","Andorra","AND",2000,17539.4420048658,NA,1289.1542029627,3.9
"246","Andorra","AND",2001,19050.4631185532,NA,1254.251389606,3.8
"247","Andorra","AND",2002,21091.1865981174,NA,1447.3951534836,3.6
"248","Andorra","AND",2003,26563.2795766814,NA,1832.7229810436,3.4
"249","Andorra","AND",2004,30842.101448533,NA,2126.3876877996,3.3
"250","Andorra","AND",2005,32607.83799722,NA,2311.7840765787,3.3
"251","Andorra","AND",2006,35349.4735786775,NA,2562.1802120801,3.2
"252","Andorra","AND",2007,39874.819802429,NA,2947.5876453119,3.2
"253","Andorra","AND",2008,44952.3991729748,NA,3330.7979336346,3.2
"254","Andorra","AND",2009,NA,NA,3089.6358852724,3.1
"255","Andorra","AND",2010,NA,NA,NA,3.1
"256","Angola","AGO",1960,NA,NA,NA,NA
"257","Angola","AGO",1961,NA,NA,NA,NA
"258","Angola","AGO",1962,NA,NA,NA,NA
"259","Angola","AGO",1963,NA,NA,NA,NA
"260","Angola","AGO",1964,NA,NA,NA,NA
"261","Angola","AGO",1965,NA,NA,NA,NA
"262","Angola","AGO",1966,NA,NA,NA,NA
"263","Angola","AGO",1967,NA,NA,NA,NA
"264","Angola","AGO",1968,NA,NA,NA,NA
"265","Angola","AGO",1969,NA,NA,NA,NA
"266","Angola","AGO",1970,NA,NA,NA,NA
"267","Angola","AGO",1971,NA,NA,NA,NA
"268","Angola","AGO",1972,NA,NA,NA,NA
"269","Angola","AGO",1973,NA,NA,NA,NA
"270","Angola","AGO",1974,NA,NA,NA,NA
"271","Angola","AGO",1975,NA,NA,NA,NA
"272","Angola","AGO",1976,NA,NA,NA,NA
"273","Angola","AGO",1977,NA,NA,NA,NA
"274","Angola","AGO",1978,NA,NA,NA,NA
"275","Angola","AGO",1979,NA,NA,NA,NA
"276","Angola","AGO",1980,NA,81.9,NA,NA
"277","Angola","AGO",1981,NA,82.1,NA,NA
"278","Angola","AGO",1982,NA,82.1,NA,NA
"279","Angola","AGO",1983,NA,82.1,NA,NA
"280","Angola","AGO",1984,NA,82,NA,NA
"281","Angola","AGO",1985,750.5632924497,82,NA,NA
"282","Angola","AGO",1986,681.7715302524,82,NA,NA
"283","Angola","AGO",1987,772.0672545638,81.9,NA,NA
"284","Angola","AGO",1988,813.8259685394,81.8,NA,NA
"285","Angola","AGO",1989,923.4511519496,81.8,NA,NA
"286","Angola","AGO",1990,992.7568202541,81.9,NA,NA
"287","Angola","AGO",1991,1144.5749712352,81.9,NA,NA
"288","Angola","AGO",1992,525.2605257844,82.2,NA,NA
"289","Angola","AGO",1993,464.8009365617,82.8,NA,NA
"290","Angola","AGO",1994,345.7030548825,82.8,NA,NA
"291","Angola","AGO",1995,416.3148338234,82.7,15.0354642801,130.9
"292","Angola","AGO",1996,604.4015751988,82.6,10.9612643578,128.4
"293","Angola","AGO",1997,600.0055025134,82.5,13.0804169232,125.9
"294","Angola","AGO",1998,490.5664639696,82.5,8.8269419056,123.4
"295","Angola","AGO",1999,455.4968822464,82.5,8.5810166557,120.9
"296","Angola","AGO",2000,655.5318000259,82.5,15.4012181347,118.9
"297","Angola","AGO",2001,621.0641973776,82.6,20.9657483645,116.4
"298","Angola","AGO",2002,767.72159472,82.4,17.8223890931,114.1
"299","Angola","AGO",2003,905.0791108053,82.4,23.5432760545,112.3
"300","Angola","AGO",2004,1239.2460302577,82.3,25.5764565286,110
"301","Angola","AGO",2005,1857.7430978923,82,36.1272031213,107.8
"302","Angola","AGO",2006,2655.0422155779,81.7,63.828869889,105.6
"303","Angola","AGO",2007,3449.3768033157,81.4,85.7585728232,103.6
"304","Angola","AGO",2008,4666.741351875,81.2,147.7759417374,102
"305","Angola","AGO",2009,4068.5757150165,81.3,203.8078736075,99.9
"306","Angola","AGO",2010,4422.5428236299,NA,NA,97.9
"307","Antigua and Barbuda","ATG",1960,NA,NA,NA,NA
"308","Antigua and Barbuda","ATG",1961,NA,NA,NA,NA
"309","Antigua and Barbuda","ATG",1962,NA,NA,NA,NA
"310","Antigua and Barbuda","ATG",1963,NA,NA,NA,NA
"311","Antigua and Barbuda","ATG",1964,NA,NA,NA,NA
"312","Antigua and Barbuda","ATG",1965,NA,NA,NA,NA
"313","Antigua and Barbuda","ATG",1966,NA,NA,NA,NA
"314","Antigua and Barbuda","ATG",1967,NA,NA,NA,NA
"315","Antigua and Barbuda","ATG",1968,NA,NA,NA,NA
"316","Antigua and Barbuda","ATG",1969,NA,NA,NA,NA
"317","Antigua and Barbuda","ATG",1970,NA,NA,NA,NA
"318","Antigua and Barbuda","ATG",1971,NA,NA,NA,NA
"319","Antigua and Barbuda","ATG",1972,NA,NA,NA,NA
"320","Antigua and Barbuda","ATG",1973,NA,NA,NA,NA
"321","Antigua and Barbuda","ATG",1974,NA,NA,NA,NA
"322","Antigua and Barbuda","ATG",1975,NA,NA,NA,NA
"323","Antigua and Barbuda","ATG",1976,NA,NA,NA,NA
"324","Antigua and Barbuda","ATG",1977,940.8748563504,NA,NA,NA
"325","Antigua and Barbuda","ATG",1978,1061.2841398148,NA,NA,NA
"326","Antigua and Barbuda","ATG",1979,1307.9154783653,NA,NA,NA
"327","Antigua and Barbuda","ATG",1980,1567.2760825144,NA,NA,NA
"328","Antigua and Barbuda","ATG",1981,1787.259363847,NA,NA,NA
"329","Antigua and Barbuda","ATG",1982,2005.0267479828,NA,NA,NA
"330","Antigua and Barbuda","ATG",1983,2260.8917510834,NA,NA,NA
"331","Antigua and Barbuda","ATG",1984,2601.3269373292,NA,NA,NA
"332","Antigua and Barbuda","ATG",1985,3076.5227744667,NA,NA,NA
"333","Antigua and Barbuda","ATG",1986,3810.0418654397,NA,NA,NA
"334","Antigua and Barbuda","ATG",1987,4510.6923164031,NA,NA,NA
"335","Antigua and Barbuda","ATG",1988,5404.5268045558,NA,NA,NA
"336","Antigua and Barbuda","ATG",1989,6004.0471931291,NA,NA,NA
"337","Antigua and Barbuda","ATG",1990,6295.1410477957,NA,NA,NA
"338","Antigua and Barbuda","ATG",1991,6539.6452723163,NA,NA,NA
"339","Antigua and Barbuda","ATG",1992,6641.8443854274,NA,NA,NA
"340","Antigua and Barbuda","ATG",1993,6998.0229781474,NA,NA,NA
"341","Antigua and Barbuda","ATG",1994,7475.7288296136,NA,NA,NA
"342","Antigua and Barbuda","ATG",1995,7199.4578874364,NA,380.174291939,16.9
"343","Antigua and Barbuda","ATG",1996,7680.2566685045,NA,397.3544973545,15.9
"344","Antigua and Barbuda","ATG",1997,8017.6409634613,NA,394.5473251029,15.1
"345","Antigua and Barbuda","ATG",1998,8357.4203293562,NA,399.8998998999,14.3
"346","Antigua and Barbuda","ATG",1999,8578.6910619166,NA,406.4197530864,13.5
"347","Antigua and Barbuda","ATG",2000,8552.7719988711,NA,411.2554112554,12.8
"348","Antigua and Barbuda","ATG",2001,8794.9452353389,NA,470.6985466479,12.1
"349","Antigua and Barbuda","ATG",2002,8862.997263988,NA,479.1666666667,11.3
"350","Antigua and Barbuda","ATG",2003,9216.1558826552,NA,463.1915866484,10.6
"351","Antigua and Barbuda","ATG",2004,9843.2637424356,NA,463.4146341463,9.9
"352","Antigua and Barbuda","ATG",2005,10329.5974928494,NA,494.708994709,9.3
"353","Antigua and Barbuda","ATG",2006,11899.4427868522,NA,608.7145969499,8.8
"354","Antigua and Barbuda","ATG",2007,13444.6575465428,NA,627.0456503015,8.2
"355","Antigua and Barbuda","ATG",2008,13850.1492249723,NA,651.3409961686,7.7
"356","Antigua and Barbuda","ATG",2009,12501.8665735278,NA,652.5316926746,7.3
"357","Antigua and Barbuda","ATG",2010,11441.5678219083,NA,NA,6.8
"358","Argentina","ARG",1960,NA,NA,NA,NA
"359","Argentina","ARG",1961,NA,NA,NA,NA
"360","Argentina","ARG",1962,NA,NA,NA,NA
"361","Argentina","ARG",1963,NA,NA,NA,NA
"362","Argentina","ARG",1964,NA,NA,NA,NA
"363","Argentina","ARG",1965,1271.2552753529,NA,NA,NA
"364","Argentina","ARG",1966,1265.6024904565,NA,NA,NA
"365","Argentina","ARG",1967,1057.1684431274,NA,NA,NA
"366","Argentina","ARG",1968,1135.9381742429,NA,NA,NA
"367","Argentina","ARG",1969,1323.4671179778,NA,NA,NA
"368","Argentina","ARG",1970,1316.9219408121,NA,NA,NA
"369","Argentina","ARG",1971,1365.8126936778,NA,NA,NA
"370","Argentina","ARG",1972,1400.9771036253,NA,NA,NA
"371","Argentina","ARG",1973,2083.2422311568,NA,NA,NA
"372","Argentina","ARG",1974,2823.5886220218,NA,NA,NA
"373","Argentina","ARG",1975,2010.7821934232,NA,NA,NA
"374","Argentina","ARG",1976,1931.4554193227,NA,NA,NA
"375","Argentina","ARG",1977,2110.8824296351,NA,NA,NA
"376","Argentina","ARG",1978,2127.343809432,NA,NA,NA
"377","Argentina","ARG",1979,2499.0187920391,NA,NA,NA
"378","Argentina","ARG",1980,2735.8364191991,58.3,NA,NA
"379","Argentina","ARG",1981,2754.6408393582,58.7,NA,NA
"380","Argentina","ARG",1982,2907.0484608743,59,NA,NA
"381","Argentina","ARG",1983,3530.942750386,58.9,NA,NA
"382","Argentina","ARG",1984,2645.2401948081,58.9,NA,NA
"383","Argentina","ARG",1985,2912.8276280434,59.4,NA,NA
"384","Argentina","ARG",1986,3600.4836055445,59,NA,NA
"385","Argentina","ARG",1987,3553.1469632471,58.9,NA,NA
"386","Argentina","ARG",1988,3977.6324530831,59.1,NA,NA
"387","Argentina","ARG",1989,2380.9763608774,59.6,NA,NA
"388","Argentina","ARG",1990,4330.3245729805,59.8,NA,NA
"389","Argentina","ARG",1991,5732.8338427253,59.1,NA,NA
"390","Argentina","ARG",1992,6821.0860430284,58.4,NA,NA
"391","Argentina","ARG",1993,6967.0213531906,58.1,NA,NA
"392","Argentina","ARG",1994,7479.2947205188,57.8,NA,NA
"393","Argentina","ARG",1995,7402.9750012337,58.1,616.8915567163,20.2
"394","Argentina","ARG",1996,7712.4404581355,58.6,620.2677991377,19.6
"395","Argentina","ARG",1997,8199.9011727561,59.1,671.2730757216,18.9
"396","Argentina","ARG",1998,8273.1790241619,59.7,687.8310351725,18.4
"397","Argentina","ARG",1999,7759.0322606405,60.3,706.9550289614,17.9
"398","Argentina","ARG",2000,7695.5940726727,60.9,688.9713382234,17.5
"399","Argentina","ARG",2001,7203.2566534295,61.5,677.7793623806,17
"400","Argentina","ARG",2002,2709.7063748682,62.1,225.2235294952,16.4
"401","Argentina","ARG",2003,3410.3378079266,62.7,283.1480170458,15.8
"402","Argentina","ARG",2004,3993.9064844522,63.3,332.144705881,15.3
"403","Argentina","ARG",2005,4735.9836839684,63.9,399.8610148137,14.8
"404","Argentina","ARG",2006,5485.5231146994,64.5,463.2047851635,14.2
"405","Argentina","ARG",2007,6623.8636982938,64.3,560.7291761946,13.7
"406","Argentina","ARG",2008,8225.6690818199,64.1,695.4618649328,13.2
"407","Argentina","ARG",2009,7665.0734439345,65,730.173013751,12.7
"408","Argentina","ARG",2010,9123.7386625704,NA,NA,12.3
"409","Armenia","ARM",1960,NA,NA,NA,NA
"410","Armenia","ARM",1961,NA,NA,NA,NA
"411","Armenia","ARM",1962,NA,NA,NA,NA
"412","Armenia","ARM",1963,NA,NA,NA,NA
"413","Armenia","ARM",1964,NA,NA,NA,NA
"414","Armenia","ARM",1965,NA,NA,NA,NA
"415","Armenia","ARM",1966,NA,NA,NA,NA
"416","Armenia","ARM",1967,NA,NA,NA,NA
"417","Armenia","ARM",1968,NA,NA,NA,NA
"418","Armenia","ARM",1969,NA,NA,NA,NA
"419","Armenia","ARM",1970,NA,NA,NA,NA
"420","Armenia","ARM",1971,NA,NA,NA,NA
"421","Armenia","ARM",1972,NA,NA,NA,NA
"422","Armenia","ARM",1973,NA,NA,NA,NA
"423","Armenia","ARM",1974,NA,NA,NA,NA
"424","Armenia","ARM",1975,NA,NA,NA,NA
"425","Armenia","ARM",1976,NA,NA,NA,NA
"426","Armenia","ARM",1977,NA,NA,NA,NA
"427","Armenia","ARM",1978,NA,NA,NA,NA
"428","Armenia","ARM",1979,NA,NA,NA,NA
"429","Armenia","ARM",1980,NA,66.9,NA,NA
"430","Armenia","ARM",1981,NA,67.2,NA,NA
"431","Armenia","ARM",1982,NA,67.7,NA,NA
"432","Armenia","ARM",1983,NA,68.2,NA,NA
"433","Armenia","ARM",1984,NA,68.5,NA,NA
"434","Armenia","ARM",1985,NA,68.7,NA,NA
"435","Armenia","ARM",1986,NA,69,NA,NA
"436","Armenia","ARM",1987,NA,69.1,NA,NA
"437","Armenia","ARM",1988,NA,69.3,NA,NA
"438","Armenia","ARM",1989,NA,69.3,NA,NA
