"","years.educ","south","female","years.experience","union.member","wage","age","race","occupation","sector","married"
"59",12,0,0,22,1,10,40,1,6,1,0
"60",12,0,1,28,0,5,46,3,6,1,1
"61",11,0,0,17,0,6.5,34,3,6,0,0
"62",12,0,0,24,1,10.75,42,3,6,2,1
"63",3,1,0,55,0,7,64,2,6,1,1
"64",12,1,0,3,0,11.43,21,3,6,2,0
"65",12,0,0,6,1,4,24,1,6,1,0
"66",10,0,0,27,0,9,43,3,6,2,1
"67",12,1,0,19,1,13,37,1,6,1,1
"68",12,0,0,19,1,12.22,37,3,6,2,1
"69",12,0,1,38,0,6.28,56,3,6,1,1
"70",10,1,0,41,1,6.75,57,1,6,1,1
"71",11,1,0,3,0,3.35,20,1,6,1,0
"72",14,0,0,20,1,16,40,3,6,0,1
"73",10,0,0,15,0,5.25,31,3,6,0,1
"74",8,1,0,8,0,3.5,22,2,6,1,1
"75",8,1,1,39,0,4.22,53,3,6,1,1
"76",6,0,1,43,1,3,55,2,6,1,1
"77",11,1,1,25,1,4,42,3,6,1,1
"78",12,0,0,11,1,10,29,3,6,0,1
"79",12,0,0,12,0,5,30,1,6,0,1
"80",12,1,0,35,1,16,53,3,6,1,1
"81",14,0,0,14,0,13.98,34,3,6,0,0
"82",12,0,0,16,1,13.26,34,3,6,0,1
"83",10,0,1,44,1,6.1,60,3,6,1,0
"84",16,1,1,13,0,3.75,35,3,6,0,0
"85",13,0,0,8,1,9,27,1,6,1,0
"86",12,0,0,13,0,9.45,31,3,6,1,0
"87",11,0,0,18,1,5.5,35,3,6,0,1
"88",12,0,1,18,0,8.93,36,3,6,0,1
"89",12,1,1,6,0,6.25,24,3,6,0,0
"90",11,1,0,37,1,9.75,54,3,6,1,1
"91",12,1,0,2,0,6.73,20,3,6,1,1
"92",12,0,0,23,0,7.78,41,3,6,1,1
"93",12,0,0,1,0,2.85,19,3,6,0,0
"94",12,1,1,10,0,3.35,28,1,6,1,1
"95",12,0,0,23,0,19.98,41,3,6,1,1
"96",12,0,0,8,1,8.5,26,1,6,0,1
"97",15,0,1,9,0,9.75,30,3,6,1,1
"98",12,0,0,33,1,15,51,3,6,2,1
"99",12,0,1,19,0,8,37,3,6,1,1
"100",13,0,0,14,0,11.25,33,3,6,0,1
"101",11,0,0,13,1,14,30,3,6,0,1
"102",10,0,0,12,0,10,28,3,6,2,1
"103",12,0,0,8,0,6.5,26,3,6,0,0
"104",12,0,0,23,0,9.83,41,3,6,1,1
"105",14,0,1,13,0,18.5,33,3,6,1,0
"106",12,1,0,9,0,12.5,27,3,6,0,1
"107",14,0,0,21,1,26,41,3,6,0,1
"108",5,1,0,44,0,14,55,3,6,2,1
"109",12,0,0,4,1,10.5,22,3,6,0,1
"110",8,0,0,42,0,11,56,3,6,1,1
"111",13,0,0,10,1,12.47,29,3,6,0,1
"112",12,0,0,11,0,12.5,29,3,6,2,0
"113",12,0,0,40,1,15,58,3,6,2,1
"114",12,0,0,8,0,6,26,3,6,2,0
"115",11,1,0,29,0,9.5,46,3,6,2,1
"116",16,0,0,3,1,5,25,3,6,0,0
"117",11,0,0,11,0,3.75,28,3,6,2,0
"118",12,0,0,12,1,12.57,30,3,6,0,1
"119",8,0,1,22,0,6.88,36,2,6,0,1
"120",12,0,0,12,0,5.5,30,3,6,0,1
"121",12,0,0,7,1,7,25,3,6,0,1
"122",12,0,1,15,0,4.5,33,3,6,1,0
"123",12,0,0,28,0,6.5,46,3,6,0,1
"124",12,1,0,20,1,12,38,3,6,1,1
"125",12,1,0,6,0,5,24,3,6,2,0
"126",12,1,0,5,0,6.5,23,3,6,1,0
"127",9,1,1,30,0,6.8,45,3,6,1,1
"128",13,0,0,18,0,8.75,37,3,6,0,1
"129",12,1,1,6,0,3.75,24,1,6,1,1
"130",12,1,0,16,0,4.5,34,2,6,0,0
"131",12,1,0,1,1,6,19,2,6,0,0
"132",12,0,0,3,0,5.5,21,3,6,1,0
"133",12,0,0,8,0,13,26,3,6,0,1
"134",14,0,0,2,0,5.65,22,3,6,1,0
"135",9,0,0,16,0,4.8,31,1,6,1,0
"136",10,1,0,9,0,7,25,3,6,2,1
"137",12,0,0,2,0,5.25,20,3,6,0,0
"138",7,1,0,43,0,3.35,56,3,6,1,1
"139",9,0,0,38,0,8.5,53,3,6,1,1
"140",12,0,0,9,0,6,27,3,6,0,1
"141",12,1,0,12,0,6.75,30,3,6,0,1
"142",12,0,0,18,0,8.89,36,3,6,1,1
"143",11,0,0,15,1,14.21,32,3,6,1,0
"144",11,1,0,28,1,10.78,45,1,6,2,1
"145",10,1,0,27,1,8.9,43,3,6,2,1
"146",12,1,0,38,0,7.5,56,3,6,0,1
"147",12,0,1,3,0,4.5,21,3,6,1,0
"148",12,0,0,41,1,11.25,59,3,6,0,1
"149",12,1,0,16,1,13.45,34,3,6,0,1
"150",13,1,0,7,0,6,26,3,6,1,1
"151",6,1,1,33,0,4.62,45,1,6,1,0
"152",14,0,0,25,0,10.58,45,3,6,1,1
"153",12,1,0,5,0,5,23,3,6,0,1
"154",14,1,0,17,0,8.2,37,1,6,0,0
"155",12,1,0,1,0,6.25,19,3,6,0,0
"156",12,0,0,13,0,8.5,31,3,6,1,1
"157",16,0,0,18,0,24.98,40,3,1,0,1
"158",14,1,0,21,0,16.65,41,3,1,0,1
"159",14,0,0,2,0,6.25,22,3,1,0,0
"160",12,1,1,4,0,4.55,22,2,1,0,0
"161",12,1,1,30,0,11.25,48,2,1,0,1
"162",13,0,0,32,0,21.25,51,3,1,0,0
"163",17,0,1,13,0,12.65,36,3,1,0,1
"164",12,0,0,17,0,7.5,35,3,1,0,0
"165",14,0,1,26,0,10.25,46,3,1,0,1
"166",16,0,0,9,0,3.35,31,3,1,0,0
"167",16,0,0,8,0,13.45,30,1,1,0,0
"168",15,0,0,1,1,4.84,22,3,1,0,1
"169",17,1,0,32,0,26.29,55,3,1,0,1
"170",12,0,1,24,0,6.58,42,3,1,0,1
"171",14,0,1,1,0,44.5,21,3,1,0,0
"172",12,0,0,42,0,15,60,3,1,1,1
"173",16,0,1,3,0,11.25,25,1,1,1,0
"174",12,0,1,32,0,7,50,3,1,0,1
"175",14,0,0,22,0,10,42,1,1,0,0
"176",16,0,0,18,0,14.53,40,3,1,0,1
"177",18,0,1,19,0,20,43,3,1,0,1
"178",15,0,0,12,0,22.5,33,3,1,0,1
"179",12,0,1,42,0,3.64,60,3,1,0,1
"180",12,1,0,34,0,10.62,52,3,1,0,1
"181",18,0,0,29,0,24.98,53,3,1,0,1
"182",16,1,0,8,0,6,30,3,1,0,0
"183",18,0,0,13,0,19,37,3,1,1,0
"184",16,0,0,10,0,13.2,32,3,1,0,0
"185",16,0,0,22,0,22.5,44,3,1,0,1
"186",16,1,0,10,0,15,32,3,1,0,1
"187",17,0,1,15,0,6.88,38,3,1,0,1
"188",12,0,0,26,0,11.84,44,3,1,0,1
"189",14,0,0,16,0,16.14,36,3,1,0,0
"190",18,0,1,14,0,13.95,38,3,1,0,1
"191",12,0,1,38,0,13.16,56,3,1,0,1
"192",12,1,0,14,0,5.3,32,1,1,0,1
"193",12,0,1,7,0,4.5,25,3,1,0,1
"194",18,1,1,13,0,10,37,3,1,0,0
"195",10,0,0,20,0,10,36,3,1,0,1
"196",16,0,0,7,1,10,29,2,1,0,1
"197",16,0,1,26,0,9.37,48,3,1,0,1
"198",16,0,0,14,0,5.8,36,3,1,0,1
"199",13,0,0,36,0,17.86,55,3,1,0,0
"200",12,0,0,24,0,1,42,3,1,0,1
"201",14,1,0,41,0,8.8,61,3,1,0,1
"202",16,0,0,7,0,9,29,1,1,0,1
"203",17,1,0,14,0,18.16,37,3,1,0,0
"204",12,1,1,1,0,7.81,19,3,1,0,0
"205",16,0,1,6,0,10.62,28,3,1,1,1
"206",12,0,1,3,0,4.5,21,3,1,0,1
"207",15,0,0,31,0,17.25,52,3,1,0,1
"208",13,0,1,14,0,10.5,33,3,1,1,1
"209",14,0,1,13,0,9.22,33,3,1,0,1
"210",16,0,0,26,1,15,48,1,1,1,1
"211",18,0,0,14,0,22.5,38,3,1,0,1
"212",13,0,1,33,0,4.55,52,3,2,0,1
"213",12,0,0,16,0,9,34,3,2,0,1
"214",18,0,0,10,0,13.33,34,3,2,0,1
"215",14,0,0,22,0,15,42,3,2,0,0
"216",14,0,0,2,0,7.5,22,3,2,0,0
"217",12,1,1,29,0,4.25,47,3,2,0,1
"218",12,0,0,43,0,12.5,61,3,2,1,1
"219",12,0,1,5,0,5.13,23,3,2,0,1
"220",16,1,1,14,0,3.35,36,1,2,0,1
"221",12,1,0,28,0,11.11,46,3,2,0,1
"222",11,1,1,25,0,3.84,42,1,2,0,1
"223",12,0,1,45,0,6.4,63,3,2,0,1
"224",14,1,0,5,0,5.56,25,3,2,0,0
"225",12,1,0,20,0,10,38,3,2,1,1
"226",16,0,1,6,0,5.65,28,3,2,0,1
"227",16,0,0,16,0,11.5,38,3,2,0,1
"228",11,0,1,33,0,3.5,50,3,2,0,1
"229",13,1,1,2,0,3.35,21,3,2,0,1
"230",12,1,1,10,0,4.75,28,3,2,0,0
"231",14,1,0,44,0,19.98,64,3,2,0,1
"232",14,1,1,6,0,3.5,26,3,2,0,1
"233",12,0,1,15,0,4,33,3,2,0,0
"234",12,0,0,5,0,7,23,3,2,0,1
"235",13,0,1,4,0,6.25,23,3,2,1,1
"236",14,0,0,14,0,4.5,34,3,2,0,1
"237",14,0,1,32,0,14.29,52,3,2,0,1
"238",12,0,1,14,0,5,32,3,2,0,1
"239",14,0,0,21,0,13.75,41,3,2,0,1
"240",12,0,0,43,1,13.71,61,3,2,0,1
"241",12,1,1,27,0,7.5,45,1,2,0,1
"242",12,0,1,4,0,3.8,22,3,2,0,0
"243",14,0,0,0,0,5,20,2,2,0,0
"244",12,1,0,32,0,9.42,50,3,2,0,1
"245",12,0,0,20,0,5.5,38,3,2,0,1
"246",15,1,0,4,0,3.75,25,3,2,0,0
"247",12,0,0,34,0,3.5,52,3,2,0,1
"248",13,0,0,5,0,5.8,24,3,2,0,0
"249",17,0,0,13,0,12,36,3,2,1,1
"250",14,0,1,17,0,5,37,2,3,0,1
"251",13,1,1,10,0,8.75,29,3,3,0,1
"252",16,0,1,7,0,10,29,3,3,0,1
"253",12,0,1,25,0,8.5,43,3,3,0,0
"254",12,0,1,18,0,8.63,36,1,3,0,1
"255",16,0,1,27,0,9,49,3,3,1,1
"256",16,0,1,2,0,5.5,24,3,3,0,0
"257",13,0,0,13,0,11.11,32,3,3,0,1
"258",14,0,1,24,0,10,44,3,3,0,0
"259",18,1,1,13,0,5.2,37,2,3,0,1
"260",14,0,1,15,1,8,35,3,3,0,0
"261",12,1,1,12,0,3.56,30,2,3,0,0
"262",12,0,1,24,0,5.2,42,3,3,0,1
"263",12,0,1,43,0,11.67,61,3,3,2,1
"264",12,0,1,13,0,11.32,31,3,3,1,1
"265",12,1,1,16,0,7.5,34,3,3,0,1
"266",11,0,1,24,0,5.5,41,3,3,0,1
"267",16,1,1,4,0,5,26,3,3,0,1
"268",12,0,1,24,0,7.75,42,3,3,0,1
"269",12,0,1,45,0,5.25,63,3,3,0,1
"270",12,0,0,20,1,9,38,3,3,0,1
"271",12,0,1,38,0,9.65,56,3,3,0,1
"272",18,1,0,10,0,5.21,34,3,3,0,1
"273",11,0,1,16,0,7,33,1,3,0,1
"274",12,1,1,32,0,12.16,50,1,3,0,1
"275",16,1,1,2,0,5.25,24,3,3,0,0
"276",13,1,1,28,0,10.32,47,3,3,0,0
"277",16,0,0,3,0,3.35,25,1,3,0,0
"278",13,0,1,8,1,7.7,27,3,3,0,0
"279",12,0,1,44,0,9.17,62,3,3,1,1
"280",12,1,0,12,0,8.43,30,3,3,0,1
"281",12,1,0,8,0,4,26,1,3,0,1
"282",12,0,1,4,0,4.13,22,3,3,0,1
"283",12,1,1,28,0,3,46,3,3,0,1
"284",13,1,1,0,0,4.25,19,3,3,0,0
"285",14,1,0,1,0,7.53,21,3,3,0,0
"286",14,0,1,12,0,10.53,32,3,3,1,1
"287",12,0,1,39,0,5,57,3,3,0,1
"288",12,0,1,24,0,15.03,42,3,3,0,1
"289",17,0,1,32,0,11.25,55,1,3,0,1
"290",16,0,0,4,0,6.25,26,1,3,0,0
"291",12,0,1,25,0,3.5,43,1,3,0,0
"292",12,0,0,8,0,6.85,26,1,3,0,0
"293",13,0,1,16,0,12.5,35,3,3,0,1
"294",12,1,0,5,0,12,23,3,3,0,0
"295",13,0,0,31,0,6,50,3,3,0,0
"296",12,0,1,25,0,9.5,43,3,3,0,0
"297",12,0,1,15,0,4.1,33,3,3,0,1
"298",14,1,1,15,0,10.43,35,3,3,0,1
"299",12,0,1,0,0,5,18,3,3,0,0
"300",12,0,0,19,0,7.69,37,3,3,0,1
"301",12,0,1,21,0,5.5,39,1,3,0,0
"302",12,0,1,6,0,6.4,24,3,3,0,0
"303",12,0,1,14,1,12.5,32,3,3,0,1
"304",13,0,1,30,0,6.25,49,3,3,0,1
"305",12,0,1,8,0,8,26,3,3,0,0
"306",9,0,0,33,1,9.6,48,3,3,0,0
"307",13,0,0,16,0,9.1,35,2,3,0,0
"308",12,1,1,20,0,7.5,38,3,3,0,0
"309",13,1,1,6,0,5,25,3,3,0,1
"310",12,0,1,10,1,7,28,3,3,0,1
"311",13,1,1,1,0,3.55,20,3,3,0,0
"312",12,1,0,2,0,8.5,20,1,3,0,0
"313",13,1,1,0,0,4.5,19,3,3,0,0
"314",16,0,0,17,0,7.88,39,1,3,0,1
"315",12,0,1,8,0,5.25,26,3,3,0,0
"316",12,1,0,4,0,5,22,3,3,0,0
"317",12,0,1,15,0,9.33,33,3,3,0,0
"318",12,0,1,29,0,10.5,47,3,3,0,1
"319",12,1,1,23,0,7.5,41,1,3,0,1
"320",12,1,1,39,0,9.5,57,3,3,0,1
"321",12,1,1,14,0,9.6,32,3,3,0,1
"322",17,1,1,6,0,5.87,29,1,3,0,0
"323",14,1,0,12,1,11.02,32,3,3,0,1
"324",12,1,1,26,0,5,44,3,3,0,0
"325",14,0,1,32,0,5.62,52,3,3,0,1
"326",15,0,1,6,0,12.5,27,3,3,0,1
"327",12,0,1,40,0,10.81,58,3,3,0,1
"328",12,0,1,18,0,5.4,36,3,3,1,1
"329",11,0,1,12,0,7,29,3,3,0,0
"330",12,1,1,36,0,4.59,54,3,3,2,1
"331",12,0,1,19,0,6,37,3,3,0,1
"332",16,0,1,42,0,11.71,64,3,3,1,0
"333",13,0,1,2,0,5.62,21,2,3,0,1
"334",12,0,1,33,0,5.5,51,3,3,0,1
"335",12,1,1,14,0,4.85,32,3,3,0,1
"336",12,0,0,22,0,6.75,40,3,3,0,0
"337",12,0,1,20,0,4.25,38,3,3,0,1
"338",12,0,1,15,0,5.75,33,3,3,0,1
"339",12,0,0,35,0,3.5,53,3,3,0,1
"340",12,0,1,7,0,3.35,25,3,3,0,1
"341",12,0,1,45,0,10.62,63,3,3,1,0
"342",12,0,1,9,0,8,27,3,3,0,0
"343",12,1,1,2,0,4.75,20,3,3,0,1
"344",17,1,0,3,0,8.5,26,3,3,0,0
"345",14,0,1,19,1,8.85,39,1,3,0,1
"346",12,1,1,14,0,8,32,3,3,0,1
"347",4,0,0,54,0,6,64,3,4,0,1
"348",14,0,0,17,0,7.14,37,3,4,0,1
"349",8,0,1,29,0,3.4,43,1,4,0,1
"350",15,1,1,26,0,6,47,3,4,0,0
"351",2,0,0,16,0,3.75,24,2,4,0,0
"352",8,0,1,29,0,8.89,43,1,4,0,0
"353",11,0,1,20,0,4.35,37,3,4,0,1
"354",10,1,1,38,0,13.1,54,1,4,0,1
"355",8,1,1,37,0,4.35,51,1,4,0,1
"356",9,0,0,48,0,3.5,63,3,4,0,0
"357",12,0,1,16,0,3.8,34,3,4,0,0
"358",8,0,1,38,0,5.26,52,3,4,0,1
"359",14,0,0,0,0,3.35,20,1,4,0,0
"360",12,0,0,14,1,16.26,32,1,4,0,0
"361",12,0,1,2,0,4.25,20,3,4,0,1
"362",16,0,0,21,0,4.5,43,3,4,0,1
"363",13,0,1,15,0,8,34,3,4,0,1
"364",16,0,1,20,0,4,42,3,4,0,0
"365",14,0,1,12,0,7.96,32,3,4,0,1
"366",12,1,0,7,0,4,25,2,4,0,0
"367",11,0,0,4,0,4.15,21,3,4,0,1
"368",13,1,0,9,0,5.95,28,3,4,0,1
"369",12,1,1,43,0,3.6,61,2,4,0,1
"370",10,1,0,19,0,8.75,35,3,4,0,0
"371",8,0,1,49,0,3.4,63,3,4,0,0
"372",12,0,1,38,0,4.28,56,3,4,0,1
"373",12,0,1,13,0,5.35,31,3,4,0,1
"374",12,0,1,14,0,5,32,3,4,0,1
"375",12,0,0,20,0,7.65,38,3,4,0,0
"376",12,0,1,7,0,6.94,25,3,4,0,0
"377",12,0,1,9,1,7.5,27,3,4,1,1
"378",12,0,1,6,0,3.6,24,3,4,0,0
"379",12,1,1,5,0,1.75,23,3,4,0,1
"380",13,1,1,1,0,3.45,20,1,4,0,0
"381",14,0,0,22,1,9.63,42,3,4,0,1
"382",12,0,1,24,0,8.49,42,3,4,0,1
"383",12,0,1,15,1,8.99,33,3,4,0,0
"384",11,1,1,8,0,3.65,25,3,4,0,1
"385",11,1,1,17,0,3.5,34,3,4,0,1
"386",12,1,0,2,0,3.43,20,1,4,0,0
"387",12,1,0,20,0,5.5,38,3,4,0,1
"388",12,0,0,26,1,6.93,44,3,4,0,1
"389",10,1,1,37,0,3.51,53,1,4,0,1
"390",12,0,1,41,0,3.75,59,3,4,0,0
"391",12,0,1,27,0,4.17,45,3,4,0,1
"392",12,0,1,5,1,9.57,23,3,4,0,1
"393",14,0,0,16,0,14.67,36,1,4,0,1
"394",14,0,1,19,0,12.5,39,3,4,0,1
"395",12,0,0,10,0,5.5,28,3,4,0,1
"396",13,1,0,1,1,5.15,20,3,4,0,0
"397",12,0,1,43,1,8,61,1,4,0,1
"398",13,0,0,3,0,5.83,22,1,4,0,0
"399",12,0,1,0,0,3.35,18,3,4,0,0
"400",12,1,1,26,0,7,44,3,4,0,1
"401",10,0,1,25,1,10,41,3,4,0,1
"402",12,0,1,15,0,8,33,3,4,0,1
"403",14,1,1,10,0,6.88,30,3,4,0,0
"404",11,0,1,45,1,5.55,62,3,4,0,0
"405",11,0,0,3,0,7.5,20,1,4,0,0
"406",8,0,0,47,1,8.93,61,2,4,0,1
"407",16,0,1,6,0,9,28,1,4,0,1
"408",10,1,1,33,0,3.5,49,3,4,0,0
"409",16,0,0,3,0,5.77,25,3,4,1,0
"410",14,0,0,4,1,25,24,2,4,0,0
"411",14,0,0,34,1,6.85,54,1,4,0,1
"412",11,1,0,39,0,6.5,56,3,4,0,1
"413",12,1,1,17,0,3.75,35,3,4,0,1
"414",9,0,0,47,1,3.5,62,3,4,0,1
"415",11,0,0,2,0,4.5,19,3,4,0,0
"416",13,1,0,0,0,2.01,19,3,4,0,0
"417",14,0,1,24,0,4.17,44,3,4,0,0
"418",12,0,0,25,1,13,43,1,4,0,1
"419",14,0,1,6,0,3.98,26,3,4,0,0
"420",12,0,1,10,0,7.5,28,3,4,0,0
"421",12,0,1,33,0,13.12,51,1,4,0,1
"422",12,0,0,12,0,4,30,3,4,0,0
"423",12,1,1,9,0,3.95,27,3,4,0,1
"424",11,1,0,18,1,13,35,3,4,0,1
"425",12,0,0,10,0,9,28,3,4,0,1
"426",8,1,1,45,0,4.55,59,3,4,0,0
"427",9,0,1,46,1,9.5,61,3,4,0,1
"428",7,1,0,14,0,4.5,27,2,4,0,1
"429",11,0,1,36,0,8.75,53,3,4,0,0
"430",13,0,0,34,1,10,53,3,5,2,1
"431",18,0,0,15,0,18,39,3,5,0,1
"432",17,0,0,31,0,24.98,54,3,5,1,1
"433",16,0,1,6,0,12.05,28,3,5,1,0
"434",14,1,0,15,0,22,35,3,5,0,1
"435",12,0,0,30,0,8.75,48,3,5,0,1
"436",18,0,0,8,0,22.2,32,3,5,0,1
"437",18,0,0,5,0,17.25,29,3,5,1,1
"438",17,0,1,3,1,6,26,3,5,0,0
"439",13,1,0,17,0,8.06,36,3,5,0,1
"440",16,0,0,5,1,9.24,27,1,5,1,1
"441",14,0,1,10,0,12,30,3,5,0,1
"442",15,0,1,33,0,10.61,54,3,5,0,0
"443",18,0,0,3,0,5.71,27,3,5,0,1
"444",16,0,1,0,0,10,18,3,5,0,0
"445",16,1,0,13,0,17.5,35,1,5,0,1
"446",18,0,0,12,0,15,36,3,5,0,1
"447",16,0,1,6,0,7.78,28,3,5,0,1
"448",17,0,0,7,0,7.8,30,3,5,0,1
"449",16,1,0,14,1,10,36,3,5,0,1
"450",17,0,1,5,0,24.98,28,3,5,0,0
"451",15,1,1,10,0,10.28,31,3,5,0,1
"452",18,0,1,11,0,15,35,3,5,0,1
"453",17,0,1,24,0,12,47,3,5,0,1
"454",16,0,0,9,0,10.58,31,3,5,1,0
"455",18,1,0,12,0,5.85,36,3,5,0,1
"456",18,0,0,19,0,11.22,43,3,5,0,1
"457",14,0,1,14,0,8.56,34,3,5,0,1
"458",16,0,1,17,0,13.89,39,3,5,1,0
"459",18,1,0,7,0,5.71,31,3,5,0,0
"460",18,0,0,7,0,15.79,31,3,5,0,1
"461",16,0,1,22,0,7.5,44,3,5,0,1
"462",12,0,1,28,0,11.25,46,3,5,0,1
"463",16,0,1,16,0,6.15,38,3,5,0,0
"464",16,1,0,16,0,13.45,38,1,5,0,0
"465",16,0,1,7,0,6.25,29,3,5,0,1
"466",12,0,1,11,0,6.5,29,3,5,0,0
"467",12,0,1,11,0,12,29,3,5,0,1
"468",12,0,1,16,0,8.5,34,3,5,0,0
"469",18,0,0,33,1,8,57,3,5,0,0
"470",12,1,1,21,0,5.75,39,3,5,0,1
"471",16,0,0,4,0,15.73,26,3,5,1,1
"472",15,0,0,13,0,9.86,34,3,5,0,1
"473",18,0,0,14,1,13.51,38,3,5,0,1
"474",16,0,1,10,0,5.4,32,3,5,0,1
"475",18,1,0,14,0,6.25,38,3,5,0,1
"476",16,1,0,29,0,5.5,51,3,5,0,1
"477",12,0,0,4,0,5,22,2,5,0,0
"478",18,0,0,27,0,6.25,51,1,5,0,1
"479",12,0,0,3,0,5.75,21,3,5,0,1
"480",16,1,0,14,1,20.5,36,3,5,0,1
"481",14,0,0,0,0,5,20,3,5,2,1
"482",18,0,0,33,0,7,57,3,5,0,1
"483",16,1,0,38,0,18,60,3,5,0,1
"484",18,0,1,18,1,12,42,3,5,0,1
"485",17,0,0,3,0,20.4,26,3,5,1,0
"486",18,0,1,40,0,22.2,64,3,5,0,0
"487",14,0,0,19,0,16.42,39,3,5,1,0
"488",14,0,1,4,0,8.63,24,3,5,0,0
"489",16,0,1,11,0,19.38,33,3,5,0,1
"490",16,0,1,16,0,14,38,3,5,0,1
"491",14,0,0,22,0,10,42,3,5,0,1
"492",17,0,1,13,1,15.95,36,3,5,0,0
"493",16,1,1,28,1,20,50,3,5,0,1
"494",16,0,1,10,0,10,32,3,5,0,1
"495",16,1,1,5,0,24.98,27,3,5,0,0
"496",15,0,0,5,0,11.25,26,3,5,0,0
"497",18,0,1,37,0,22.83,61,3,5,1,0
"498",17,0,1,26,1,10.2,49,3,5,0,1
"499",16,1,1,4,0,10,26,3,5,0,1
"500",18,0,1,31,1,14,55,3,5,0,0
"501",17,0,1,13,1,12.5,36,3,5,0,1
"502",12,0,1,42,0,5.79,60,3,5,0,1
"503",17,0,0,18,0,24.98,41,2,5,0,1
"504",12,0,1,3,0,4.35,21,3,5,0,1
"505",17,0,1,10,0,11.25,33,3,5,0,0
"506",16,0,1,10,1,6.67,32,3,5,0,0
"507",16,0,1,17,0,8,39,2,5,0,1
"508",18,0,0,7,0,18.16,31,3,5,0,1
"509",16,0,1,14,0,12,36,3,5,0,1
"510",16,0,1,22,1,8.89,44,3,5,0,1
"511",17,0,1,14,0,9.5,37,3,5,0,1
"512",16,0,0,11,0,13.65,33,3,5,0,1
"513",18,0,0,23,1,12,47,3,5,0,1
"514",12,0,0,39,1,15,57,3,5,0,1
"515",16,0,0,15,0,12.67,37,3,5,0,1
"516",14,0,1,15,0,7.38,35,2,5,0,0
"517",16,0,0,10,0,15.56,32,3,5,0,0
"518",12,1,1,25,0,7.45,43,3,5,0,0
"519",14,0,1,12,0,6.25,32,3,5,0,1
"520",16,1,1,7,0,6.25,29,2,5,0,1
"521",17,0,0,7,1,9.37,30,3,5,0,1
"522",16,0,0,17,0,22.5,39,3,5,1,1
"523",16,0,0,10,1,7.5,32,3,5,0,1
"524",17,1,0,2,0,7,25,3,5,0,1
"525",9,1,1,34,1,5.75,49,1,5,0,1
