"","ozone.level","daggett.pressure.gradient","inversion.base.height","inversion.base.temp"
"323",3,-33,3064,62.78
"324",4,-16,826,64.76
"325",7,2,5000,42.98
"326",5,-52,111,68.18
"327",5,-48,5000,54.68
"328",4,-37,5000,55.58
"329",3,-26,5000,51.08
"330",2,-31,5000,51.44
"331",5,-48,948,70.7
"332",3,-50,5000,50.9
"333",4,-22,5000,48.56
"334",4,-10,3687,46.94
"335",6,0,5000,44.24
"336",6,-19,5000,45.68
"337",3,-28,5000,45.32
"338",4,-25,5000,48.38
"339",3,-10,508,58.64
"340",8,-5,2851,50
"341",2,-14,111,72.5
"342",3,-36,5000,51.26
"343",5,18,3704,46.94
"344",1,8,5000,39.92
"345",2,-3,5000,37.22
