"","day.num","day.of.week","holiday","mean.temp","rel.humid","tot.mort","resp.mort","SO2","TSP"
"68",68,6,0,7,68.3,32,4,409,200
"69",69,7,0,8.5,50.7,45,8,338.5,185
"70",70,1,0,12.4,15.3,44,4,302,203
"71",71,2,0,9.7,52.3,43,5,217,149
"72",72,3,0,10.5,41,44,6,310.25,155.62
"73",73,4,0,7.8,73,47,8,179.5,113.37
"74",74,5,0,6.7,81,36,2,110.75,64.22
"75",75,6,0,6.1,80,41,3,173.64,53.87
"76",76,7,0,7,76.3,44,3,221.21,96.99
"77",77,1,0,9.6,54,49,2,262.47,127.17
"78",78,2,0,10.3,39.8,38,3,243.35,158.21
"79",79,3,0,10.9,51.3,34,5,281.97,159.07
"80",80,4,0,7.9,86.7,51,8,156.93,145
"81",81,5,0,10.1,62,49,5,206.47,102.16
"82",82,6,0,9.4,71,31,2,138.78,91.81
"83",83,7,0,8.3,73.7,38,3,142.5,56.46
"84",84,1,0,9.9,74.7,31,1,239.25,110
"85",85,2,0,9.2,79.7,34,0,166.25,148.5
"86",86,3,0,9.8,69,37,3,201.43,89.23
"87",87,4,0,10.5,72.7,42,3,274.75,151.5
"88",88,5,0,12.4,65,36,4,325.25,149.59
"89",89,6,0,13.5,73.3,39,6,220,202.5
"90",90,7,0,14.3,33.7,38,4,89.25,123.72
"91",91,1,0,13.8,38.7,28,1,156.5,81.47
"92",92,2,0,15.2,43,50,4,176.75,144
"93",93,3,0,16,40.3,40,4,140,190.11
"94",94,4,0,13.5,11.3,41,6,52.25,63.36
"95",95,5,0,12.1,21,45,3,84.75,78.02
"96",96,6,0,11.2,24.3,39,5,82.61,69.33
"97",97,7,1,9.4,39.3,28,1,130.85,96.6
"98",98,1,1,11.7,28,36,4,125.59,91.98
"99",99,2,0,12.2,30.7,46,7,128.58,94.87
"100",100,3,0,11.4,30.7,28,3,81.75,97.5
"101",101,4,0,12.3,9.3,33,3,105.5,77.15
"102",102,5,0,13,19.3,31,6,169.25,99.57
"103",103,6,0,13,29.7,31,2,91.25,106
"104",104,7,0,13.3,30.7,39,3,78.25,80.6
"105",105,1,0,14,34,50,6,134.75,180.5
"106",106,2,0,13.3,47.3,42,3,122.25,137.51
"107",107,3,0,12.9,65.7,33,4,88.5,147
"108",108,4,0,14.2,57.3,39,3,151.25,224
"109",109,5,0,16.7,46.3,26,4,126.75,213
"110",110,6,0,15.6,52.7,35,4,36,202.12
"111",111,7,0,12.8,34.3,31,1,21.7,164.8
"112",112,1,0,11.3,24.3,34,1,56.22,120.89
"113",113,2,0,12.9,10,29,1,39,67.27
"114",114,3,0,12.9,11.3,27,1,36.75,159.24
"115",115,4,0,14.8,24.7,28,4,65.75,111.8
"116",116,5,1,15.3,28.7,34,3,52,92.34
"117",117,6,0,12.2,60.7,43,6,40.75,160.15
"118",118,7,0,11.3,58,37,2,30.5,147.29
"119",119,1,0,11.5,44.7,37,2,88,221.28
"120",120,2,0,13.8,38.7,30,1,108.75,182.78
"121",121,3,0,14.4,43.7,31,4,94.75,159.47
"122",122,4,1,16.8,41,21,1,57.75,142.11
"123",123,5,0,17.4,44.3,26,3,84.75,166.54
"124",124,6,0,17.7,54.7,29,4,51.75,189.35
"125",125,7,0,14,90.3,31,1,39.82,144.97
"126",126,1,0,13.3,83.3,42,3,52.59,186.61
"127",127,2,0,14.9,75,34,5,75.5,208.51
"128",128,3,0,16.5,67.3,35,4,100.5,133.69
"129",129,4,0,15.7,74.7,36,3,64.25,125.01
"130",130,5,0,16.1,51.3,32,6,83,119.99
"131",131,6,0,18.6,43,34,1,56.25,115.48
"132",132,7,0,18.2,50.3,31,2,29,114.01
"133",133,1,0,19.8,41.7,53,5,62.75,112
"134",134,2,0,18.6,35.3,25,4,65.25,102.92
"135",135,3,0,13.5,57.3,38,4,50.75,107.73
"136",136,4,0,11.8,63,35,3,50,117.27
"137",137,5,0,11,61.7,36,1,57,113
"138",138,6,0,11.9,59,32,1,44.53,112.09
"139",139,7,0,14.9,50.3,36,0,32.81,107.99
"140",140,1,0,16.7,45.7,27,1,55.49,105.98
"141",141,2,0,18.2,42.3,33,1,77.25,103.84
"142",142,3,0,18.8,41.7,32,1,73.75,152.85
"143",143,4,0,18.1,45,30,0,51,177.49
"144",144,5,0,15.9,64.3,29,4,43.5,156.5
"145",145,6,0,17.9,51.7,25,1,39.75,203.03
"146",146,7,0,18.1,48,29,2,31.25,76.21
"147",147,1,0,18.8,48.3,35,0,51.25,82.06
"148",148,2,0,15.2,89.7,34,2,35.75,203.03
"149",149,3,0,14.8,76,24,1,32,162.35
"150",150,4,0,15.3,67.3,28,1,40,139.77
"151",151,5,0,15.8,50.3,39,2,38.25,78.02
"152",152,6,0,17.3,38.3,28,4,34.5,103.02
"153",153,7,0,18.5,34.3,34,2,20.25,93.32
"154",154,1,0,20.1,19.3,30,0,26.25,84.7
"155",155,2,0,22.3,25.3,43,3,52.76,58.28
"156",156,3,0,22.2,35,35,3,59.75,61.32
"157",157,4,0,24.2,32.3,29,2,80.3,189.08
"158",158,5,0,24.4,48.3,45,3,58.65,157.49
"159",159,6,0,21.1,63,44,5,22.25,136.78
"160",160,7,0,16.5,88,53,2,17.01,107.15
"161",161,1,0,15.5,89,26,4,15.54,88.6
"162",162,2,0,17.1,77,40,6,50,58.83
"163",163,3,0,19.5,60,23,1,53.42,61.42
"164",164,4,0,21.6,54.3,33,3,44.22,73.5
"165",165,5,0,24.8,55.3,36,2,80.43,76.94
"166",166,6,0,26.3,56.7,34,5,37.05,90.73
"167",167,7,0,23.6,56.7,24,0,14.13,71.76
"168",168,1,0,23.4,46,36,6,37.32,69.18
"169",169,2,0,19.6,70,27,5,37.28,66.59
"170",170,3,0,21.2,59,22,2,61.13,51.93
"171",171,4,0,22.4,55.7,27,2,46.75,65.73
"172",172,5,0,23,54,28,3,41.83,58.83
"173",173,6,0,21.7,60,32,2,16.67,50.21
"174",174,7,0,20.2,56,29,3,10.25,41.58
"175",175,1,0,19.2,65,30,4,31.25,34.69
"176",176,2,0,18.5,57.7,33,5,41.75,62.28
"177",177,3,0,19,60.7,27,1,52.25,45.9
"178",178,4,0,18.4,62.7,29,1,37.5,54.52
"179",179,5,0,21.3,33.3,39,0,34.34,59.69
"180",180,6,0,21.4,38.3,27,2,31.15,48.48
"181",181,7,0,21.2,58,32,1,14,49.34
"182",182,1,0,21.2,55.7,29,1,36,39
"183",183,2,0,20,63.7,24,1,40,38.13
"184",184,3,0,22.6,33.3,23,1,48.17,65.73
"185",185,4,0,22.4,28,36,2,48.58,41.28
"186",186,5,0,24,27,34,0,54.29,32.73
"187",187,6,0,22.5,46,30,3,37.85,52.94
"188",188,7,0,21.5,61.7,28,3,27.54,70.34
"189",189,1,0,21.8,62,29,4,62.67,46.75
"190",190,2,0,21,70.3,33,3,39.88,125.22
"191",191,3,0,19.4,76,30,3,46.33,108.08
"192",192,4,0,21.1,45,23,0,60.7,99.33
"193",193,5,0,20.7,54,35,1,49.69,96.23
"194",194,6,0,22.2,50,26,2,78.92,94.56
"195",195,7,0,21.9,51.3,28,1,40.77,94.15
"196",196,1,0,21.3,67.3,23,0,37.38,97.26
"197",197,2,0,21.6,62.7,30,1,44.5,99.6
"198",198,3,0,21.7,70.3,26,2,69.73,100.97
"199",199,4,0,21.4,62,32,1,53.33,102.06
"200",200,5,0,23.3,53,21,0,64.68,102.3
"201",201,6,0,24.5,51.7,17,0,47.59,103.32
"202",202,7,0,22.2,65.7,22,2,38.97,116.09
"203",203,1,0,21.3,41.7,35,5,31.26,104.28
"204",204,2,0,23.7,28,21,1,54.97,15.5
"205",205,3,0,24.5,39.3,29,1,73.23,39.62
"206",206,4,0,26.2,49.7,27,2,113.76,64.5
"207",207,5,0,27.3,50.7,46,2,83.88,27.79
"208",208,6,0,27.3,54,22,0,38.79,124.31
"209",209,7,0,26.4,48,30,2,32.5,114.74
"210",210,1,0,27.4,50.7,36,3,68.99,38.5
"211",211,2,0,26.8,45.3,35,3,85.61,30.37
"212",212,3,0,25.9,53,30,2,64.25,26.93
"213",213,4,0,27.2,55,27,1,64.5,44.5
"214",214,5,0,28.3,52.7,38,1,43.25,105.15
"215",215,6,0,28.8,54,38,5,39.94,101.5
"216",216,7,0,29.5,54.3,51,9,30.56,52.23
"217",217,1,0,29.9,46,37,4,43.49,40.37
"218",218,2,0,29.7,48.7,39,3,40.04,96.02
"219",219,3,0,29.6,52.7,42,1,40.67,96.93
"220",220,4,0,29,56,57,8,42.36,69.56
"221",221,5,0,23.7,71.3,44,5,35.15,94.2
"222",222,6,0,24,54.7,36,6,32.37,85.07
"223",223,7,0,26.5,50.3,25,4,32.45,91.75
"224",224,1,0,26.5,60.3,27,4,33.61,75.04
"225",225,2,0,27,64.7,32,4,37.58,87.89
"226",226,3,0,25.4,49.3,26,2,32.27,28.51
"227",227,4,0,24.6,51.7,21,4,26.45,33.07
"228",228,5,1,25.5,47.7,25,2,32.72,76.86
"229",229,6,0,21,78,22,0,31.64,53.14
"230",230,7,0,24,59,25,1,30.81,65.91
"231",231,1,0,25.3,59.7,21,2,36.09,86.9
"232",232,2,0,25.1,57,29,3,38.18,62.26
"233",233,3,0,26.5,59.3,19,1,27.21,68.5
"234",234,4,0,26.2,59,29,2,11.62,93
"235",235,5,0,25.9,58.7,23,2,33.23,77.5
"236",236,6,0,24,57.8,25,1,35.03,98
"237",237,7,0,20.2,59.7,24,3,27.56,58.5
"238",238,1,0,20.5,50.7,28,1,37.8,79
"239",239,2,0,21.2,58,22,1,34.93,85
"240",240,3,0,20.9,74.3,33,0,50.54,112
"241",241,4,0,20.7,81,25,0,37.93,90
"242",242,5,0,23.7,66,32,2,37.97,100
"243",243,6,0,24.6,65,27,1,26.98,143.5
"244",244,7,0,23.4,56,23,1,17.93,61.5
"245",245,1,0,22.9,35.7,20,1,32.81,70
"246",246,2,0,21.3,45.3,28,2,54.28,85.86
"247",247,3,0,21.2,53,26,3,70.8,153.5
"248",248,4,0,21.7,56.3,28,2,75.36,136
"249",249,5,0,21.1,59,34,2,76.88,170.5
"250",250,6,0,21.5,65,32,0,54.15,136
"251",251,7,0,22.3,60,29,2,44.5,102.5
"252",252,1,0,21.9,58.3,25,3,79.75,113.5
"253",253,2,0,21.8,64.3,25,1,66.03,145.02
"254",254,3,0,19.9,73.3,31,2,69.65,138.24
"255",255,4,0,20.1,64.3,25,1,56.73,95.87
"256",256,5,0,20.8,65,25,1,51.18,160
"257",257,6,0,22,66.3,37,5,47.24,119.5
"258",258,7,0,21.9,63.7,24,2,45.4,117
"259",259,1,0,21.3,65,20,3,68.25,138.99
"260",260,2,0,21.9,73.7,42,2,62.65,142
"261",261,3,0,22.3,70.3,34,0,88.75,250
"262",262,4,0,22.3,70.7,28,2,70.89,203
"263",263,5,0,22.6,63,26,4,81.75,132.5
"264",264,6,0,22.8,75.3,22,2,69,161.5
"265",265,7,0,22.2,74,33,5,64.5,180
"266",266,1,0,21.3,73.7,31,2,62.75,194.5
"267",267,2,0,21.6,72.7,26,2,63.77,142.5
"268",268,3,0,22.5,60,32,1,91.76,212
"269",269,4,0,21.8,68.3,32,3,82.58,151
"270",270,5,0,22.1,62,25,0,105.03,210.56
"271",271,6,0,20.7,69.3,30,2,42.9,145.89
"272",272,7,0,20.6,71,43,0,65.25,123.47
"273",273,1,0,20.2,71.3,30,2,196.5,171.75
"274",274,2,0,20.1,74,35,3,168.53,163.96
"275",275,3,0,20,64,35,5,123.75,246
"276",276,4,0,19.1,69,37,2,86,268
"277",277,5,0,19.5,66.7,28,1,127.2,263.5
"278",278,6,0,19.4,67.7,39,0,112.9,289.5
"279",279,7,0,19.6,67.7,26,1,58.62,195.04
"280",280,1,0,19.5,70.7,29,3,93.48,134
"281",281,2,0,19.4,76.7,35,3,100.7,161
"282",282,3,0,18.4,80.3,29,2,78.94,146
"283",283,4,0,13.6,70,23,0,56.06,76
"284",284,5,0,12.4,57,24,1,72.25,74
"285",285,6,0,10.2,78,33,2,32,58.5
"286",286,7,0,11.4,76,39,1,49.75,65
"287",287,1,0,12.6,65,39,2,107,97.5
"288",288,2,0,13.5,71,30,1,108,115.5
"289",289,3,0,12.3,82.3,36,2,120.25,80
"290",290,4,0,12.8,94.3,45,1,123,98
"291",291,5,0,16,73.3,27,3,72.75,62.5
"292",292,6,0,11.9,86,42,2,65.25,54
"293",293,7,0,11.8,81.3,35,0,126.25,63
"294",294,1,0,12.8,58.3,36,2,230.25,137.5
"295",295,2,0,12.3,65.7,30,3,202.25,120
"296",296,3,0,11.8,68.3,41,4,261,205.38
"297",297,4,0,12.2,78,40,1,365,223.49
"298",298,5,0,12.7,82.3,27,2,250,254.53
"299",299,6,0,11.8,66.3,32,1,246.22,231.68
"300",300,7,0,13.3,55.7,35,3,196.25,70.5
"301",301,1,0,12.9,65,31,3,223.06,136.4
"302",302,2,0,13.2,65,47,2,333.64,232
"303",303,3,0,13,62.3,50,5,308.28,215.8
"304",304,4,0,11.3,79.3,42,2,307.63,221
"305",305,5,0,11.7,67,32,5,276.21,197.5
"306",306,6,1,9.1,60.3,37,2,283.6,193.55
"307",307,7,0,4.9,41.7,28,1,318.14,190.13
"308",308,1,0,2.7,57.7,34,2,175.84,118.5
"309",309,2,0,2.5,82,35,1,243,132
"310",310,3,0,3.9,87.3,39,2,303.75,168
"311",311,4,0,7.9,89.3,44,3,249,123.5
"312",312,5,0,10.9,65.3,46,5,312,167
"313",313,6,0,10.5,78.7,42,3,284.5,236
"314",314,7,0,8.6,87.7,29,2,285.08,207.57
"315",315,1,0,10.4,82.7,32,0,273.5,184.5
"316",316,2,0,7.3,66,36,1,125.75,99.32
"317",317,3,0,4.6,72.7,27,4,203.5,116.57
"318",318,4,0,6.2,73.3,41,8,289.25,150.2
"319",319,5,0,7.8,69,40,4,402.25,245.5
"320",320,6,0,8.1,67.3,33,1,358.53,240
"321",321,7,0,10.7,71,38,2,409.9,184.5
"322",322,1,0,10.2,69,32,7,353,228
"323",323,2,0,9.3,88,40,3,309.22,176
"324",324,3,0,9.1,78.3,34,3,308.75,228
"325",325,4,0,7.8,86,56,1,203.5,180.38
"326",326,5,0,6.7,87.3,35,4,571.25,173.5
"327",327,6,0,6.3,90.3,37,5,480.75,169.5
"328",328,7,0,5.5,84.7,34,0,339.5,136.4
"329",329,1,0,5.4,85,37,5,547.75,233.84
"330",330,2,0,6.9,87.3,39,1,355.5,193.5
"331",331,3,0,6.9,85.7,29,5,208.75,122.5
"332",332,4,0,7.9,83.7,33,2,235.25,107.95
"333",333,5,0,7,73.3,38,3,184.25,113
"334",334,6,0,6,54,39,2,204.25,113
"335",335,7,0,7.6,16.7,44,4,159,86.5
"336",336,1,0,5.2,64.3,32,1,194.5,124.22
"337",337,2,0,4.1,53.7,42,3,267.75,168
"338",338,3,0,2.5,83.3,42,8,263.5,128
"339",339,4,0,5,22.7,43,2,235,124.5
"340",340,5,0,5.4,29.7,31,4,340.63,167
"341",341,6,0,4.6,49.7,32,2,471.25,195.5
"342",342,7,0,5.2,16,35,2,133,119.5
"343",343,1,1,2.6,34,43,1,294.5,119
"344",344,2,0,1.5,41,35,6,416,226.83
"345",345,3,0,2.6,48.3,45,5,660.5,324
"346",346,4,0,5.8,58.7,26,2,663.75,298
"347",347,5,0,2.2,60,40,2,342.25,112.5
"348",348,6,0,4.2,69,37,2,592.75,440.5
"349",349,7,0,4,73.3,29,4,433.75,300.5
"350",350,1,0,3.8,88.7,42,3,360.5,199
"351",351,2,0,6.2,81,36,5,458.25,182.5
"352",352,3,0,7,70.3,40,6,366.25,190.62
"353",353,4,0,4.5,73.3,36,0,498.5,268.5
"354",354,5,0,3.5,75,36,4,456.25,263.05
"355",355,6,0,4.1,56.7,33,3,384,177
"356",356,7,0,4.6,58.3,43,3,408.5,227
"357",357,1,0,9.9,21.3,29,5,147.5,74.21
"358",358,2,0,7.3,37,27,2,496.25,200.5
"359",359,3,0,7.1,54.3,44,3,621.75,297
"360",360,4,1,6.8,57,46,1,554.75,389.5
"361",361,5,1,6.5,47.3,39,2,460.76,326.05
"362",362,6,0,3.5,75.7,39,5,391.25,169.92
"363",363,7,0,4.9,41,30,5,506.5,190
"364",364,1,0,4.2,43.7,37,4,482.48,199
"365",365,2,0,3.7,46,52,2,424.25,244
"366",366,3,0,5.2,43.7,46,6,430.5,255
"367",367,4,1,8.4,39.7,41,3,291.16,148.5
"368",368,5,0,9.5,36.3,38,2,248.42,155.5
"369",369,6,0,8.2,45,36,2,331.14,164
"370",370,7,0,7.1,66.7,44,1,242.81,173
"371",371,1,0,7.7,18,34,4,107.26,94.5
"372",372,2,0,4.7,36.7,40,4,278.7,84.5
"373",373,3,0,4.4,34.7,39,5,154.71,73.71
"374",374,4,0,1.9,37.7,40,2,203,76.3
"375",375,5,0,0,20.3,36,2,244.42,80.18
"376",376,6,0,0.3,45.3,48,6,480.25,150
"377",377,7,0,2.9,37.3,43,6,467.25,182.5
"378",378,1,0,2.6,46.3,35,2,636.75,294.45
"379",379,2,0,0.9,84.3,40,3,347.5,165.11
"380",380,3,0,2.7,56.7,42,3,813.25,251.34
"381",381,4,0,3.7,59,42,2,646.5,227.19
"382",382,5,0,6,28.3,43,0,199.75,88.5
"383",383,6,0,4.1,40,42,4,465,158.5
"384",384,7,0,3.7,47.3,37,4,411.25,133
"385",385,1,0,5.9,44.7,44,3,601.5,196.5
"386",386,2,0,4.6,56.7,53,4,340,162.5
"387",387,3,0,7.8,21,49,4,207.75,77.5
"388",388,4,0,4.9,37.7,43,4,542.75,198.5
"389",389,5,0,3.9,45.7,39,8,430.75,188.39
"390",390,6,0,3.7,48,47,3,421.5,218.57
"391",391,7,0,3.9,52,38,4,442.75,220.3
"392",392,1,0,3.8,51.7,44,6,545.25,333.26
"393",393,2,0,4.3,50.7,37,5,558,303.08
"394",394,3,0,2.5,64.7,46,3,466.47,273
"395",395,4,0,3.3,51.7,44,4,412,237.54
"396",396,5,0,4.8,38,46,8,660.25,328.94
"397",397,6,0,6.3,35.3,53,6,589,370
"398",398,7,0,0.7,35.7,41,3,483.52,300.83
"399",399,1,0,8.9,31.7,45,4,597.5,256
"400",400,2,0,8.6,36.7,46,7,507,293
"401",401,3,0,7.6,75.3,53,2,414.5,246
"402",402,4,0,6.8,17,34,6,154.67,181.17
"403",403,5,0,6.7,38,37,4,328.29,85.78
"404",404,6,0,7.2,40,33,5,393.5,151.31
"405",405,7,0,8.4,49.3,46,7,408,266
"406",406,1,0,7.6,64,37,2,694.16,282.38
"407",407,2,0,6.9,89.7,46,3,457.75,362.5
"408",408,3,0,4.8,76.3,49,7,317.25,158.21
"409",409,4,0,4.4,61.3,36,2,286.5,105.61
"410",410,5,0,3.7,52,47,7,198.18,103.03
"411",411,6,0,2.9,55.3,29,2,294.5,115.96
"412",412,7,0,3.2,54.7,46,1,345.85,98.71
"413",413,1,0,3.6,61.7,42,3,364.16,127.49
"414",414,2,0,2.9,53.7,37,3,379.79,144.34
"415",415,3,0,3.1,51.3,53,3,172.39,96.99
"416",416,4,0,3.1,56,33,3,246.1,117.69
"417",417,5,0,2.7,59.7,48,8,352.09,151.31
"418",418,6,0,2.5,66.7,30,3,231.32,99.58
"419",419,7,0,4.5,60.3,43,5,231.69,100.44
"420",420,1,0,6.5,59,44,8,330.15,134.07
"421",421,2,0,6.6,57,43,5,341.5,131.48
"422",422,3,0,6.9,57.3,37,4,253.75,107.34
"423",423,4,0,7.1,45.7,38,3,189,85.78
"424",424,5,0,4.5,42.3,50,4,193,90.09
"425",425,6,0,3.2,51,28,2,141.5,73.71
"426",426,7,0,3.8,57.7,45,5,165.75,53.37
"427",427,1,0,5,63,47,4,321.75,79.24
"428",428,2,0,6.2,65.7,39,4,389,105.11
"429",429,3,0,6.4,64.3,37,2,292.5,120.63
"430",430,4,0,9.4,65,37,6,335.75,94.76
"431",431,5,0,8.9,75.7,34,3,306.75,96.48
"432",432,6,0,10.6,69,37,2,302.5,93.04
"433",433,7,0,10.8,69.3,39,4,280.25,116.32
"434",434,1,0,12.7,63.7,36,6,320.25,81.83
"435",435,2,0,14.5,66.3,30,4,202.75,42.16
"436",436,3,0,14.4,68.7,41,7,125.8,43.02
"437",437,4,0,14,74,36,2,166.54,55.96
"438",438,5,0,14,57,43,2,188,96.48
"439",439,6,0,11.7,65,43,4,140,73.2
"440",440,7,0,10.7,79.3,47,4,163.12,84.12
"441",441,1,0,11.7,49.7,43,1,186.28,95.61
"442",442,2,0,8.9,79.3,50,2,147,30.09
"443",443,3,0,6.8,55.3,36,1,110,11.98
"444",444,4,0,12,31.7,34,2,244.75,62.86
"445",445,5,0,12.6,49.7,33,2,236.5,69.75
"446",446,6,0,14,56.3,33,5,132.4,49.06
"447",447,7,0,13.5,69.7,39,3,133.37,26.64
"448",448,1,0,14.2,61.7,38,1,171.52,59.41
"449",449,2,0,14.8,57.3,36,4,171.79,80.45
"450",450,3,0,16.3,63.3,33,2,163,96.48
"451",451,4,0,15.6,78,35,5,155.57,96.8
"452",452,5,0,14.6,70.3,40,1,160.75,96.48
"453",453,6,0,16.3,64.3,38,8,154.75,105.11
"454",454,7,0,14.1,77,29,1,64.25,74.07
"455",455,1,0,13.2,85.7,30,2,47.34,45.61
"456",456,2,0,14.2,82,26,1,151.5,59
"457",457,3,0,14.9,76.7,32,4,146.54,72.35
"458",458,4,0,15.8,67.3,35,4,148.7,85.16
"459",459,5,0,16.8,66,23,3,146.42,92.79
"460",460,6,0,14.7,53.3,33,5,146.69,94.98
"461",461,7,0,13.4,63.7,31,2,150.99,98.02
"462",462,1,0,13.4,76,30,1,145.36,94.25
"463",463,2,0,17,61.3,31,3,187.75,154.5
"464",464,3,0,19,53,49,3,156,108.5
"465",465,4,0,19.7,47.7,31,3,153.5,97
"466",466,5,0,19.1,57.3,36,4,145.5,48.2
"467",467,6,0,18.8,57.3,35,3,83,45.61
"468",468,7,0,17.6,43,31,2,70.25,48
"469",469,1,0,19.6,44.3,30,5,123.25,116.5
"470",470,2,0,20.5,40.7,34,1,136.5,127.5
"471",471,3,0,20.4,35.7,34,4,98,30.95
"472",472,4,0,19.9,37.7,33,2,79.5,102.7
"473",473,5,0,11,66,48,2,49.77,131.9
"474",474,6,0,10.3,40.7,27,2,37.5,94.49
"475",475,7,1,10.9,44.7,33,1,38.25,89.93
"476",476,1,1,5.9,81.7,24,3,106.03,86.67
"477",477,2,0,10.8,71,29,1,125.16,87.82
"478",478,3,0,13.6,62.7,26,3,172.5,136.46
"479",479,4,0,13.4,68.3,29,1,132,103.5
"480",480,5,0,10.9,86,34,2,90.5,112.74
"481",481,6,1,11.2,86,35,2,78.5,97.23
"482",482,7,0,11.4,88.7,28,2,43,89.02
"483",483,1,0,9.8,66.3,32,4,83.75,62.56
"484",484,2,0,13.6,45.3,43,4,140.25,105.44
"485",485,3,0,14.6,53,38,1,130.11,78.07
"486",486,4,0,18,48.3,32,3,118.65,77.57
"487",487,5,1,17.7,47.3,36,4,49,87.19
"488",488,6,0,16.6,57.3,33,2,39.5,99.96
"489",489,7,0,11,86,42,2,31.25,43.4
"490",490,1,0,11.1,76.3,30,4,64.25,89.02
"491",491,2,0,15.4,38,24,2,75.75,66.21
"492",492,3,0,17.8,35.3,35,5,97.98,106.35
"493",493,4,0,19.3,45.3,41,1,122.57,130.07
"494",494,5,0,19.4,44.7,36,1,91.36,117.3
"495",495,6,0,19.9,45,32,3,76.08,147.41
"496",496,7,0,17.4,70,33,1,53.08,68.94
"497",497,1,0,14,74.3,29,1,34.38,79.89
"498",498,2,0,16.1,60,30,1,44.44,80.8
"499",499,3,0,14.5,73.3,30,2,60.91,75.33
"500",500,4,0,16.6,63.3,32,3,71.67,107.26
"501",501,5,0,16.1,72,45,7,65.57,99.96
"502",502,6,0,18.3,63,31,4,62.32,110
"503",503,7,0,18,65,27,4,30.58,56.17
"504",504,1,0,19.5,58.3,36,3,62.67,106.35
"505",505,2,0,21.5,52.7,30,2,121.94,116.39
