"","ragweed","year","day.in.seas","temperature","rain","wind.speed"
"79",2,1991,79,48.7778,0,11.8
"80",0,1991,80,42.6667,1,9
"81",8,1991,81,43.7647,1,9.2
"82",4,1991,82,56,1,14.6
"83",0,1991,83,58.1429,1,7.2
"84",0,1991,84,42,1,9.2
"85",0,1991,85,40.1765,1,9.2
"86",0,1991,86,50.4444,1,12.6
"87",1,1991,87,59.9375,1,11.2
"88",4,1991,88,65.2353,1,12.8
"89",4,1991,89,66.9333,1,11.6
"90",0,1991,90,64.6667,0,9.4
"91",0,1991,91,61.7333,0,9.4
"92",0,1991,92,56.2857,1,9.6
"93",16,1992,1,70.3889,1,6.4
"94",28,1992,2,71.7143,1,9.8
"95",8,1992,3,72.5556,1,13.2
"96",6,1992,4,78.6471,1,7
"97",39,1992,5,83.6667,1,12.2
"98",56,1992,6,73.8889,1,7.4
"99",16,1992,7,63.2778,1,4.8
"100",44,1992,8,61.75,1,8.8
"101",27,1992,9,62.5,1,10.6
"102",62,1992,10,62.7143,1,10.4
"103",19,1992,11,67.75,1,8.6
"104",16,1992,12,66.7778,1,5.2
"105",124,1992,13,65.3889,1,10.2
"106",77,1992,14,65.2778,1,9.6
"107",32,1992,15,67.7692,1,5.2
"108",88,1992,16,69.0588,1,7
"109",164,1992,17,70.6111,1,6.4
"110",221,1992,18,73.5556,1,9.6
"111",207,1992,19,77.5294,1,6
"112",376,1992,20,79.5625,1,12
"113",218,1992,21,75.9231,1,8
"114",28,1992,22,65.8667,0,6.4
"115",228,1992,23,60.4118,1,10.6
"116",108,1992,24,60.0625,1,10.6
"117",440,1992,25,69,1,17
"118",240,1992,26,66.5294,1,11
"119",98,1992,27,66.5333,1,1
"120",142,1992,29,70.8824,1,8.6
"121",288,1992,30,67.5625,1,7
"122",85,1992,31,68.5,1,6.4
"123",109,1992,32,73.4444,1,10.2
"124",55,1992,33,73.2941,1,5.4
"125",74,1992,34,67,1,13.2
"126",19,1992,35,60.7778,0,8.8
"127",62,1992,36,63.0556,1,14.6
"128",60,1992,37,60.8125,1,5.2
"129",60,1992,38,61.0556,1,8.6
"130",33,1992,39,63.8889,1,10
"131",52,1992,40,69.4118,1,8.4
"132",48,1992,41,74.7059,1,7.6
"133",36,1992,42,72.8125,1,12.2
"134",53,1992,43,74.2353,1,8.6
"135",38,1992,44,69.3125,0,13
"136",14,1992,45,57,1,6.2
"137",11,1992,46,57.8889,1,10
"138",10,1992,47,67.2353,1,10.6
"139",11,1992,48,60.25,1,16.2
"140",3,1992,49,49.8889,1,9.6
"141",5,1992,50,54.8824,1,11
"142",6,1992,51,58.9375,1,8
"143",1,1992,52,58.6111,1,7.2
"144",1,1992,53,61.1111,1,12.8
"145",6,1992,54,54.0556,1,14
"146",3,1992,55,49.6471,1,8.6
"147",1,1992,56,52.0588,1,5.2
"148",1,1992,57,55.9286,1,7.2
"149",13,1992,58,63.5556,1,10
"150",8,1992,59,67.2941,1,8
"151",5,1992,60,61.7647,1,13.8
"152",3,1992,61,54.8235,1,5.2
"153",3,1992,62,53.1765,1,6
"154",13,1992,63,56.1111,1,8
"155",13,1992,64,57.4118,1,12.8
"156",18,1992,65,50.8125,1,13.6
"157",3,1992,66,53.8824,1,10.4
"158",3,1992,67,51.4375,0,9.8
"159",0,1992,68,50.6,1,14
"160",9,1992,69,47.4375,1,14.4
"161",4,1992,70,55.0588,1,6
"162",0,1992,71,54.9375,0,3.6
"163",3,1992,72,49.1176,1,14.6
"164",0,1992,73,42.1111,1,11.2
"165",0,1992,74,39.2353,0,10.4
"166",0,1992,75,38.2353,1,4
"167",0,1992,76,37.3125,0,12.8
"168",0,1992,77,45.8824,1,0
"169",0,1992,78,47.2353,1,10.6
"170",0,1992,79,61,1,9.8
"171",0,1992,80,59.4706,1,9.2
"172",0,1992,81,48.9375,1,5.5
"173",0,1992,82,52.7222,1,11.4
"174",1,1993,1,73.5556,1,13.8
"175",5,1993,2,72.2778,1,12.6
"176",1,1993,3,65.8,1,13.4
"177",5,1993,4,63.1176,1,7.8
"178",4,1993,5,63.1111,0,8.2
"179",1,1993,6,66.7647,1,5.8
"180",3,1993,7,69.3889,1,4.6
"181",10,1993,8,72.5294,1,10.2
"182",11,1993,9,73.8235,0,9.4
"183",8,1993,10,76.7778,1,3.4
"184",19,1993,11,77.9444,1,8.4
"185",10,1993,12,79,0,1.6
"186",39,1993,13,79.2222,1,1.6
"187",108,1993,14,77.4444,1,7
"188",74,1993,15,77.125,1,9.4
"189",69,1993,16,76.5,1,6.4
"190",162,1993,17,78.7059,1,5.6
"191",151,1993,18,76.6111,1,7.8
"192",146,1993,19,76.9412,1,13.6
"193",202,1993,20,71.8235,1,7.8
"194",159,1993,21,71.5625,1,7.6
"195",362,1993,22,78.3333,1,11.2
"196",185,1993,23,79.7778,1,9.2
"197",207,1993,24,82,1,6.8
"198",348,1993,25,81.3333,1,9.2
"199",212,1993,26,82.8235,1,9.2
"200",94,1993,27,74.5882,1,7.2
"201",36,1993,28,67.3889,0,8.6
"202",265,1993,29,76.7222,1,9.4
"203",198,1993,30,72.1333,1,11.4
"204",63,1993,31,68.1875,1,5.8
"205",39,1993,32,66.875,0,8.4
"206",43,1993,33,68.8824,0,5.8
"207",82,1993,34,64,1,11.2
"208",77,1993,35,67.0588,1,5
"209",70,1993,36,64.8571,1,6.6
"210",27,1993,37,63.3529,1,5.8
"211",13,1993,38,60.8824,0,5.6
"212",162,1993,39,64.3889,1,14.8
"213",48,1993,40,59.2941,1,14
"214",41,1993,41,56.0625,1,7.4
"215",81,1993,42,63.3333,1,11.4
"216",71,1993,43,74.1765,1,11.4
"217",53,1993,44,73,1,14.6
"218",15,1993,45,56.2778,1,10.8
"219",4,1993,46,53.6923,1,4.2
"220",4,1993,47,57.2941,1,1.2
"221",4,1993,48,60.0556,1,7.6
"222",8,1993,49,58.9333,1,9.4
"223",16,1993,50,57.9375,1,10.6
"224",0,1993,51,58.3889,1,7
"225",4,1993,52,60.8824,1,10.4
"226",13,1993,53,62.4286,1,9.6
"227",4,1993,54,56.0625,1,5.6
"228",0,1993,55,55.7778,1,9.6
"229",0,1993,56,56.6111,1,8
"230",0,1993,57,53.1765,0,6.6
"231",6,1993,58,48.2353,1,13
"232",0,1993,59,45.5294,0,4.8
"233",4,1993,60,41.9412,1,9
"234",8,1993,61,55.5882,1,12.4
"235",3,1993,62,50.9444,1,12.4
"236",6,1993,63,51.9375,1,13.6
"237",4,1993,64,58.2778,1,10.4
"238",1,1993,65,49.0556,1,8.4
"239",1,1993,66,57.4444,1,11
"240",3,1993,67,68.7222,1,10.2
"241",9,1993,68,68.3889,1,9
"242",0,1993,69,45.6471,1,13.2
"243",0,1993,70,41.9412,1,9
"244",0,1993,71,45.4706,1,9.8
"245",0,1993,72,46.8824,1,8.8
"246",0,1993,73,41.5882,1,5.8
"247",0,1993,74,45.4118,1,6.8
"248",0,1993,75,57.2941,1,7.8
"249",0,1993,76,59.7778,0,8.8
"250",0,1993,77,56.1667,0,10.6
"251",0,1993,78,49.7778,1,0
"252",0,1993,79,54.875,1,6.4
"253",0,1993,80,53.4444,1,7.2
"254",1,1993,81,48.1111,1,16.6
"255",0,1993,82,45.5556,1,10.6
"256",1,1993,83,49.9412,1,9.8
"257",1,1993,84,58.7647,1,12.4
"258",1,1993,85,56.6111,1,8.4
"259",1,1993,86,54.5333,1,10.8
"260",0,1993,87,45.1667,1,11.2
"261",3,1994,1,61.7778,1,7.2
"262",8,1994,2,62.6667,0,6
"263",1,1994,3,66.8125,1,3
"264",8,1994,4,72.2941,0,10
"265",24,1994,5,65.5333,1,11.6
"266",18,1994,6,66.4118,1,10.4
"267",20,1994,7,68.1765,1,3.4
"268",51,1994,8,71.8889,1,5.2
"269",90,1994,9,73.3333,1,5.8
"270",34,1994,10,74.8824,0,12.2
"271",18,1994,11,70.6471,1,11.6
"272",75,1994,12,67.7059,1,7.6
"273",29,1994,13,71.2778,1,2
"274",105,1994,14,72.8889,1,8.2
"275",205,1994,15,75.5,1,13
"276",201,1994,16,78.8824,1,9
"277",120,1994,17,76.6471,1,7.4
"278",147,1994,20,67,1,10.6
"279",96,1994,21,62.5,1,9.8
"280",85,1994,22,64.8889,1,11.6
"281",57,1994,23,59.2778,1,10.2
"282",24,1994,24,60.3889,1,0
"283",29,1994,25,61.8333,1,1.8
"284",133,1994,26,59.4667,1,8
"285",133,1994,27,64.7222,1,9.2
"286",47,1994,28,67.4444,1,7.8
"287",56,1994,29,67,1,8.6
"288",86,1994,30,70,1,12.2
"289",77,1994,31,73.8125,1,5.4
"290",13,1994,34,73.2941,1,7.6
"291",54,1994,35,76.0556,1,9.2
"292",133,1994,36,78,1,10.4
"293",62,1994,37,79.5714,1,13.6
"294",75,1994,38,76.8824,1,11.2
"295",25,1994,39,69.1111,1,10
"296",9,1994,40,66.6667,1,3.2
"297",4,1994,41,68,1,5.4
"298",5,1994,42,71.4118,1,6.8
"299",3,1994,43,70.5,1,7
"300",23,1994,44,69.3529,1,10.2
"301",5,1994,45,68.5556,1,10
"302",5,1994,46,67.0556,1,9.2
"303",4,1994,47,65.1176,1,4
"304",1,1994,48,56.8125,1,11
"305",1,1994,49,55.2353,0,10.8
"306",5,1994,50,54.7222,0,12.6
"307",3,1994,51,56.4706,1,11.8
"308",0,1994,52,55.4706,1,9.4
"309",0,1994,53,58.2353,1,10
"310",0,1994,54,52.9375,1,8.8
"311",0,1994,55,53.3333,1,9.4
"312",0,1994,56,54.1333,1,11
"313",0,1994,57,52.1667,1,4
"314",0,1994,58,58.9286,1,10.8
"315",0,1994,59,65.2667,1,13.4
"316",0,1994,60,66.8235,1,10.8
"317",0,1994,61,51.1111,1,13.4
"318",0,1994,62,49.1111,1,6
"319",1,1994,63,49.0588,1,8
"320",0,1994,64,54.1875,1,6.6
"321",1,1994,65,56.5556,1,5.4
"322",1,1994,66,58.7647,1,7
"323",0,1994,67,57,1,9.6
"324",4,1994,68,62.4444,1,8
"325",4,1994,69,66.0588,1,10.6
"326",0,1994,70,62.1765,0,10.2
"327",0,1994,71,61.2222,1,8.4
"328",0,1994,72,56.1111,1,10
"329",0,1994,73,55.1765,1,8.8
"330",0,1994,74,56.0556,1,7
"331",1,1994,75,53.4444,1,13.6
"332",0,1994,76,46.7647,1,13.4
"333",0,1994,77,42.8235,1,10.4
"334",0,1994,78,44.4444,1,5.8
"335",0,1994,79,44.8889,1,7.2
