"","Z1","Z2","Z3","E1","E2","E3","M1","M2","M3","M4","V1","V2","V3","V4","V5","V6","M5","M6","V7","V8","V9"
"44",0,9.75,9.58,-4.05,-5.26,-7.49,-2.92,-9.55,-16.91,-24.16,1.16,-6.69,-9.12,-2.41,-3.97,1.19,0,0,0,4,"1"
"45",0,-7.72,4.56,-17.81,-8.79,-2.08,-23.01,-33.37,-24.17,-45.05,4.11,0.12,11.43,6.95,6.24,12.62,0,0,1,2,"1"
"46",0,-5.92,4.18,2.94,-0.55,-3.39,-1,-7.85,-14.44,-11.49,-3.17,-0.27,-5.46,0.02,-1.49,-5.5,1,0,0,1,"1"
"47",1,0.32,3.68,-3.86,1.47,3.92,-32.08,-39.76,-19.33,-51.5,-2,1.39,9.79,-0.48,3.2,-0.53,0,0,0,1,"1"
"48",0,-1.11,3.61,-9.85,-9.73,-7.91,6.5,-9.33,-8.59,13.92,-6.24,-8.09,-4.05,1.8,0.02,-5.26,1,0,0,1,"1"
"49",1,4.4,7.12,-16.87,-3.57,-2.69,0.87,3.02,3.78,0.28,-5.22,-6.59,-15.65,-11.79,-10.85,-11.56,0,0,0,2,"1"
"50",0,-7.95,7.01,-2.25,2.1,NA,-6.45,-10.09,-14.92,-16.49,-0.17,12.06,4.01,7.24,-2.14,5.84,0,0,0,1,"1"
"51",0,-7.46,3.64,4.64,1.51,7.57,0.78,10.97,26.61,27.02,-2.6,-1.88,-3.37,1.2,-2.25,2.43,1,1,0,1,"1"
"52",0,3.01,6.52,0.43,-1.26,2.61,-1.43,28.52,17.5,9.59,5.65,6.67,-6.95,2.7,3.09,8.81,1,1,0,1,"1"
"53",0,8.52,3.7,-14.61,-5.82,-8.61,3.32,6.27,3.19,-10.91,0.13,-3.56,-6.58,-5.54,-7.41,-7.81,1,0,0,1,"1"
"54",1,9.53,9.3,-15.12,-6.68,-15.45,25.06,38.63,18.08,33.27,13.32,21.12,41.93,11.63,16.52,22.63,1,1,1,4,"1"
"55",1,3.54,6.72,-1.69,0.44,-2.62,9.5,14.73,1.83,29.12,3.94,6.5,12.83,3.96,-6.74,-6.86,1,1,0,3,"1"
"56",0,-13.98,2.14,29.54,14.88,12.82,-9.19,-5.03,-15.4,-66.92,-8.24,-9.96,-18.47,-5.78,-5.53,-6.01,0,0,0,1,"1"
"57",0,14.56,11.48,-23.87,-10.05,-9.07,8.4,36.55,7.04,35.26,11.83,10.45,42.84,13.62,15.7,10.3,1,1,1,4,"1"
"58",1,4.77,4.54,-5.93,0.6,-9.91,6.13,2.34,-8.84,11.65,-8.17,-5.39,NA,0.47,-4.59,-6.72,1,1,NA,1,"1"
"59",1,4.73,10.33,3.88,5.84,-0.03,1.5,-16.63,8.28,3.88,-3.62,-3.78,-13.31,-0.33,7.31,-0.51,0,1,0,4,"1"
"60",0,-4.29,5.08,6.37,3.27,5.94,-2.08,26.9,8.59,11.21,-5.38,1.76,-4.09,-8.02,-5.81,-6.73,1,1,0,2,"1"
"61",1,11.35,9.83,-13.68,-5.06,-2.78,39.23,59.28,48.84,64.36,19.11,5.07,31.86,9.57,15.19,11.61,1,1,1,4,"6"
"62",0,8.66,9.5,1.09,0.84,0.33,17.98,31.11,-7.55,24.22,15.5,20.38,22.16,3.58,8.41,6.57,1,1,1,4,"6"
"63",0,1.03,2.14,8.67,0.3,4.08,2.59,6.82,-0.5,-26.55,2.57,-3.89,11.4,8.39,1.24,11.81,0,0,0,1,"1"
"64",1,8.45,10.29,-7.88,-5.13,-10.5,-9.03,-1.12,14.63,-10.69,8.75,7.92,24.69,0.58,2.03,14.07,1,0,1,4,"1"
"65",0,0.52,5.86,-2.05,-2.13,-1.33,-0.66,8.92,14.44,15.8,-15.28,-9.36,-23.63,-3.39,-7.55,-4.08,0,0,0,1,"1"
"66",0,-8.94,2.73,20.64,13,17.94,-3.7,-24.93,-0.32,-15.33,-8.43,-9.23,-20.72,-6.86,-6.91,-12.94,0,0,0,1,"1"
"67",0,0.35,7.54,-14.24,-7.08,-8.68,1.21,-22.7,-8.11,-8.04,-4.78,-7.16,-19.54,-0.17,-4.82,-3.06,0,1,0,1,"1"
"68",1,7.28,7.06,10.88,2.38,-4.88,28.85,38.11,28.58,49.02,6.85,16.28,22.48,11.66,17.18,14.62,1,1,1,4,"1"
"69",0,-6.34,4.82,4.46,0.38,5.98,0.69,-5.35,-1.92,-13.45,5.3,6.63,19.37,8.86,NA,NA,0,0,1,2,"."
"70",0,1.99,7.26,5.99,4.11,NA,-4.28,14.87,9.44,-3.85,9.45,11.53,13.9,0.3,18.07,10.46,1,1,1,3,"1"
"71",1,-0.24,9.42,2.98,5.94,10.27,17.99,17.7,40.9,39.94,-7.6,-2.64,5.32,2.96,-9.13,0.5,0,1,0,3,"1"
"72",1,2.09,3.49,-6.4,-7.82,-3.87,2.96,24.17,-5.77,18.94,6.54,6.35,16.39,-0.92,2.6,6.01,1,1,1,1,"1"
"73",1,4.6,3.75,6.62,-2.9,-7.96,-3.85,-5.44,-14.83,-10.97,-0.1,-1.08,-5.63,-1.19,4.1,-6.15,0,0,0,1,"1"
"74",0,4.42,7.39,-8.68,-4.42,-5.07,13.14,18.82,10.77,4.7,13.05,12.32,17.45,12.25,19.57,14.03,1,1,1,4,"6"
"75",0,-4.43,5.98,3.22,8.85,6.27,7.08,-2.11,-2.88,-1.42,-10.15,-10.73,-15.25,-0.7,8.51,-0.23,0,1,0,1,"1"
"76",0,-2.82,11.51,38.45,10.8,24.62,3.23,8.01,-3.09,-15.01,-3.68,-9.06,-3.45,-7.43,1.2,-2.91,0,0,0,1,"1"
"77",1,5.05,8.43,-19.5,-3.48,-5.58,27.08,27.86,31.45,45.04,6.27,11.1,21.62,5.3,-1.53,8.71,1,1,1,2,"1"
"78",0,6.89,9.68,-16.89,-11.74,-11.06,20.16,7.93,6.08,42.87,16.01,13.4,34.88,16.04,8.3,16.05,1,1,1,4,"6"
"79",0,-3.24,7.84,10.64,-1.76,-6.84,-4.38,-5.89,6.45,9.19,7.06,8.03,3.72,5.25,5.12,9,1,1,1,2,"1"
"80",0,7.09,8.01,-9.36,-5.04,-4.96,2.36,23.57,15.32,15.84,12.79,5.3,9.86,7,17.38,7.24,1,1,1,3,"1"
"81",1,8.96,10.14,-0.51,-2.72,2.52,-11.18,-13.39,5.68,-31.62,7.38,-0.76,10.03,5.51,0.89,NA,0,0,1,4,"1"
"82",0,8.3,8.41,-7.4,5.49,5.66,-14.64,-29.22,-13.54,-42.8,3.75,1.23,4.78,-0.11,1.57,-5.43,0,0,0,1,"1"
"83",1,6.82,4.81,-2.51,-3.4,6.74,7.84,12.58,11.94,14.13,-2.88,3.93,15.31,2.18,0.9,7.35,0,1,0,1,"1"
"84",0,4.33,4.83,2.06,-3.52,-0.31,-0.34,-7.93,3.16,17.09,4.17,6.02,3.75,6.01,14.48,7.53,0,0,0,1,"1"
"85",0,-2.84,6.12,-6.74,-0.3,-4.08,8.36,-4.4,-5.12,-20.57,1.22,1.84,5.8,3.46,-2.45,-1.09,0,1,0,1,"1"
"86",0,-13.13,3.87,8.43,1.91,4.49,2.09,9,-7.46,12.45,3.52,2.66,11.97,2.06,3.84,11.86,1,1,1,4,"1"
"87",0,1.02,10.22,7.57,-0.99,0.94,2.69,16.37,-5.72,53.08,2.1,NA,-5.39,0.43,-0.1,NA,1,1,1,2,"1"
"88",0,-0.36,4.14,-30.02,-10.62,-17.44,-6.87,-2.7,27.43,19,-3.45,-7.69,-0.42,1.68,1.55,0.18,1,1,0,2,"1"
"89",0,6.71,11.82,-9.18,NA,-11.73,-8.41,11.59,-9.47,8.14,18.66,27.82,35.94,15.13,19.82,15.85,0,0,1,4,"6"
"90",0,4.06,7.23,-18.13,-7.68,-4.65,-7.65,-1.01,-1.9,2.23,-3.44,-5.83,-14.02,-8.9,-9.73,-8.22,0,1,1,1,"1"
"91",1,5.46,6.09,5.55,5.99,12.42,-17.09,-9.58,-3.29,-17.88,-14.01,-11.69,-23.8,-2.41,-19.72,-7.56,0,0,0,1,"1"
"92",1,13.53,9.29,-2.16,-7.28,-10.59,27.16,41.72,12.73,44.52,15.82,10.84,28,9.03,10.91,16.92,1,1,1,4,"1"
"93",0,-11.01,4.38,-11.88,-0.43,-5.31,-4.02,-4.99,0.82,-9.01,-2.31,-3.95,-0.91,1.74,8.89,1.11,0,0,1,1,"1"
"94",0,-0.45,5.4,1.48,-1.09,-2.67,-1.08,-24.42,-10.76,-12.71,-1.21,-3.73,-0.51,-0.44,-1.52,-4.52,0,0,0,4,"1"
"95",0,1.37,5.61,1.39,-3.69,1.91,-1.54,-16.15,8.92,-1.48,-8.71,-11.02,-18.81,-7.32,-6.33,-5.97,1,0,0,1,"1"
"96",0,3.1,8.28,-2.58,1,-6.16,-8.28,-4.5,-13.48,-3.41,-9.85,-4.17,-5.11,-5.68,-18.93,-14.77,0,0,0,1,"1"
"97",1,-0.22,3.33,6.83,0.29,10.86,2.78,0.69,-2.3,29.21,16.05,NA,40.86,11.26,14.99,18.31,1,0,1,4,"6"
"98",0,10.54,8.01,-2.61,-4.33,-1.69,2.36,30.62,10.23,16.19,15.48,11.96,33.7,9.09,8.24,14.47,1,1,1,4,"1"
"99",1,-2.08,5.23,15.06,2.37,1.34,33.09,51.07,21.55,26.41,15.03,5.81,18.45,5.81,-12.08,11.62,1,1,1,4,"6"
"100",0,2.91,10.12,12.82,-1.29,7.27,-11.67,4.28,NA,-20.56,6.5,7.71,0.22,7.08,NA,-6.72,0,0,1,3,"."
"101",0,-0.89,8.17,-6.44,0.92,-3.42,-18.35,-20.94,-7.87,-59.38,11.39,16.39,5.2,14.18,15.27,17.5,0,0,1,4,"6"
"102",0,1.99,6.99,6.59,6.83,8.2,-10.77,-4.98,-11.05,-40.74,-6.54,-2.02,-12.61,-12.39,-19.06,-13.71,0,0,0,1,"1"
"103",1,8.01,4.39,6.26,4,1.81,8.8,16.37,12.31,17.32,7.83,8.65,8.65,5.42,1.38,14.39,1,1,1,4,"1"
"104",0,8.49,8.84,0.63,-0.99,5.93,-8.82,-16.9,-12.69,-16.02,-2.95,2.42,-3.99,-2.5,-0.97,-6.33,0,0,0,3,"1"
"105",0,2.5,8.42,-9.28,-5.4,-0.64,10.18,12.37,-7.79,27.14,21.73,27.53,49.38,16.98,11.3,18.67,1,1,1,4,"6"
"106",0,6.68,5.54,-0.64,-1.74,-0.07,-4.48,-16.96,-26.03,0.88,10.58,4.93,30.3,12.34,4.83,12.71,0,0,1,3,"6"
"107",0,4.14,6.87,8.39,3.21,6.22,-12.12,4.4,15.06,-5.54,-3.99,-11.92,-3.9,-4.23,-2.95,-7.46,0,0,0,4,"1"
"108",1,-1.31,8.64,-3.12,9.1,0.19,-5.14,5.75,9.27,-25.7,-6.67,-7.73,-17.7,-0.73,-9.29,-12.35,0,0,0,1,"1"
"109",1,0.48,7.46,1.22,-4.68,0.37,-8.34,-1.48,-5.9,25.39,0.81,1.37,-9.4,-3.8,-5.24,-0.73,0,0,0,3,"1"
"110",0,6.31,6.39,1.2,2.36,5.04,3.9,-1.18,7.92,8.37,3.15,7.26,-6.92,8.63,-6.57,3.74,0,0,0,1,"1"
"111",1,1.66,8.88,-14.15,-2.63,-7.39,14.23,18.86,-13.71,24.06,13.23,19.1,27.24,NA,11.26,8.86,1,1,1,NA,"6"
"112",1,6.62,4.36,-7.01,-8.56,-5.64,1.41,0.46,5.98,11.2,5.45,1.82,10.05,3.91,-2.1,7.77,1,0,1,2,"1"
"113",0,0.59,5,-4.49,-1.99,NA,8.23,0.05,19.22,16.4,8.26,9.18,12.21,7.74,18.01,13.04,0,1,1,2,"1"
"114",0,3.14,6.65,-2.93,-4.71,-0.26,13.11,21.2,9.45,24,-7.39,-5.93,-29.73,-6.87,-18.36,-14.52,1,1,0,1,"1"
"115",1,10.15,7.73,-15.34,-9.56,-8.22,4.33,8.14,-16.86,-19.36,19.15,14.79,39.41,18.34,19.03,23.04,0,0,1,4,"6"
"116",0,-1.19,4.92,6.97,0.22,6.62,-19.88,-51.1,-32.52,-55.32,-17.74,-12.66,-36.52,-13.57,-16.84,-16.95,0,0,0,1,"1"
"117",0,6.78,7.45,-19.11,NA,-2.85,14.42,39.64,14.06,17.1,NA,6.58,29.67,5.01,11.58,14.39,1,1,1,4,"1"
"118",0,4.5,11.42,-12.1,1.17,-5.82,14.83,27.08,18.77,19.07,12.25,12.65,26.68,8.57,5.36,11.04,1,1,1,4,"1"
"119",1,13.9,8.07,NA,-5.28,0.17,5.09,22.48,11.09,16.95,23.76,26.7,44.05,21.42,27.36,22.51,1,0,1,4,"6"
"120",1,8.86,10.05,-13.16,-3.76,0.11,16,14.66,14.39,NA,16.73,25.65,35.13,19.77,35.31,36.91,1,1,1,4,"6"
"121",0,-5.89,6.99,9.83,6.67,5.29,1.93,0.64,21.56,-14.98,4.54,5.17,32.35,1.8,3.27,3.22,1,1,1,4,"6"
"122",1,11.22,8.38,-15.08,-6.94,-8.56,-16.01,3.51,-9.65,-4.67,-4.94,-2.58,-4.53,0.05,-0.63,-4.18,0,0,0,1,"1"
"123",0,-3.41,10.79,7.57,0.89,-7.61,-19.11,-24.69,-7.43,-54.17,-2.38,-5.56,8.8,-3.39,-0.55,NA,0,0,0,2,"1"
"124",0,3.23,10.33,8.53,7.51,5.65,4.17,-1.45,-15.42,3.05,22.16,18.99,38.03,14.84,26.95,26.6,1,1,1,4,"6"
"125",1,7.28,9.46,-2.96,-3.34,-10.18,13.05,22.58,2.15,-8.39,23.96,27.92,39.75,15.15,30.02,15.93,1,1,1,4,"6"
"126",0,2.8,3.23,-6.61,-0.06,1.29,-13.13,-8.55,-16.45,-39.32,-11.1,-16.76,-28.17,-10.89,-17.34,-14.39,0,0,0,1,"1"
"127",1,6.89,10.06,-26.45,-7.44,-15.27,-15.07,-3.38,-3.26,-12.4,6.66,9.76,21.57,15.79,15.83,15.24,0,0,1,2,"1"
"128",1,10.07,9.35,-16.53,-12.72,-13.18,-2.01,-4.47,2.46,NA,7.2,9.02,16.41,2.72,3.64,0.91,0,0,1,1,"1"
"129",1,-6.93,6.33,29.19,5.4,9.64,8.36,13.24,27.14,38.03,6.07,3.72,6.17,4.53,-3.84,4.26,1,1,0,4,"1"
"130",0,4.14,7.09,-0.54,-1.39,-4.13,1.47,6.82,11.6,-28.59,4.71,1.02,5.76,-5.16,-3.49,-8.54,0,1,0,1,"1"
"131",0,2.03,4.8,-3.46,-8.64,-5.3,NA,11.56,-2.31,32.69,-1.86,-7.18,-1.85,2.27,4.14,12.35,NA,1,0,1,"1"
"132",1,1.29,3.27,8.04,-0.74,-0.34,6.99,10.43,-9.86,-37.91,-7.29,-14.46,-14.68,-10.78,-14.42,-11.78,0,0,0,2,"1"
"133",0,8.66,7.79,-6.09,-7.37,4.13,27.94,41.44,16.61,66.73,28.53,30.68,66.62,29.95,38.83,33.85,1,1,1,4,"6"
"134",0,6.48,9.58,-7.15,0.44,-0.94,-38,-50.51,-8.98,-61.8,-0.5,0.34,3.01,8.64,1.07,7.38,0,0,0,1,"1"
"135",1,-3.49,5.22,17.58,8.52,5.98,6.3,18.52,3.52,3.56,11.68,7.21,25.67,11.19,8.99,12.48,0,1,1,3,"1"
"136",1,5.21,4.98,-11.35,-1.5,4.19,-11.29,-8.56,-9.02,-30.71,1.71,-13.91,3.28,4.03,8.36,3.02,0,0,0,2,"1"
"137",1,2.4,8.15,14.22,-1.56,-0.71,-12.33,-18.65,1.32,-25.58,3.53,-1.74,10.35,8.08,-7.38,-2.57,0,0,0,1,"1"
"138",1,5.78,6.11,6.19,-4.61,3.58,-1.55,10.85,9.97,-16.72,-6.79,-0.53,-8.24,-6.66,-0.18,-2.35,1,1,0,1,"1"
"139",1,9.41,8.13,-2.08,3.05,-0.93,4.17,1.15,2.13,4.79,0.32,2.47,4.89,4.96,7.85,9.89,1,1,0,1,"1"
"140",0,8.38,5.48,15.15,6.04,4.15,NA,-14.15,-6.75,14.6,-11.09,-8.12,-5.16,-3.14,-2.5,-9.6,NA,0,0,1,"1"
"141",0,1.25,3.13,-19.33,-10.83,-15.78,31.53,47.27,14.91,46.58,NA,19.38,40.05,14.82,24.15,27.64,1,1,1,4,"6"
"142",1,5.73,6.05,-7.15,-6.58,-6.69,-10.29,2.54,10.54,-7.9,3.63,6.07,5.23,-1.7,-1.65,2.25,0,0,0,3,"1"
"143",0,-0.85,6.75,-8.17,-8.04,-9.14,-2.94,-11.84,NA,-19.77,15.14,13.99,39.6,7.73,16.52,8.26,0,0,1,4,"6"
"144",1,0.58,9.06,8.76,0.9,0.66,4.17,7.81,14.27,41.85,NA,6.85,17.82,7.54,8.69,3.39,1,1,1,4,"1"
"145",0,2.04,5.63,12.39,3.14,9.9,14.36,33.59,28.73,6.63,17.42,9.31,27.61,11.07,15.65,9.93,1,1,1,4,"6"
"146",0,3.66,6.39,-2.75,-5.32,-0.02,-14.17,-10.36,-24.27,-37.04,-7.81,-0.53,-5.21,4.48,-9.5,-7.24,0,0,0,1,"1"
"147",0,-2.07,3.82,3,-0.75,0.52,-17.77,-35.04,-30.17,-50.25,-13.79,-4.28,-22.98,-4.01,-11.15,-3.86,0,0,0,1,"1"
"148",0,0.49,8.15,13.14,1.38,-0.19,-9.79,-22.44,-10.18,-18.46,0.12,-1.67,-1.54,-4.05,-0.79,0.29,0,0,0,1,"1"
"149",1,13.89,8.13,-18.52,-5.64,-10.21,-8.94,1.15,-5.47,-18.63,5.43,3.76,13.8,-1.2,1.15,-7.15,0,0,1,1,"1"
"150",0,-10.01,6.41,1.54,1.1,6.8,6.66,25.05,-5.17,36.45,3.43,11.7,6.34,1.38,11.84,5.27,1,1,0,4,"1"
"151",0,4.35,9.04,-5.04,0.61,-0.26,1.02,-3,23.33,3.55,-9.04,-6.14,-19.95,-9.52,-5.73,-17.75,1,0,0,1,"1"
"152",0,4.13,8.25,1.96,0.99,-0.76,-5.75,-16.31,-6.4,9.8,6.65,0.12,7.49,0.54,-0.49,0.93,0,0,1,1,"1"
"153",0,-3.09,6.84,11.73,6.49,3.12,10.43,26.32,11.73,29.87,1.37,3.39,2.68,3.34,2.71,2.67,1,0,0,3,"1"
"154",1,8.57,9.92,-7.49,-9.43,-10.83,-8.71,-20.95,-12.54,-6.68,-0.94,-3.44,3.25,2.95,-2.72,2.7,0,0,1,1,"1"
"155",0,0.11,8.13,11.77,3.66,10.47,12.21,9.09,19.73,16.06,8.51,4.51,14.53,NA,-7.55,-1.83,0,0,1,NA,"1"
"156",1,9.12,10.05,0.69,-0.01,-7.61,-0.07,4.8,2.33,6.47,9.49,13.36,NA,13.16,15.01,19.75,1,0,NA,4,"1"
"157",1,1.89,6.04,5.71,6.08,9.49,9.92,12.02,20.13,27.97,10.18,4.1,15.91,6.57,6.27,0.97,1,1,1,3,"1"
"158",0,0.95,7.29,-7.91,0.29,-10.19,9.77,15.48,21.9,13.4,15.77,23.91,23.76,3.21,8.66,11.28,1,1,1,4,"1"
"159",0,-7.26,3.96,6.35,0.23,10.15,1.17,9.33,7.23,23.38,2.14,3.28,7.13,-1.1,-4.25,-2.37,1,1,1,4,"1"
"160",0,3.52,10.43,-0.05,-5.65,0.81,-0.99,-19.91,7.27,-5.56,2.61,1.06,3.18,-2.13,-0.95,-11.23,0,0,0,3,"1"
"161",1,7.27,4.67,-27.66,-12.44,-19.81,14.78,43.14,44.65,41,11.71,14.08,24.36,7.26,19.38,NA,1,1,1,4,"6"
"162",0,0.33,8.52,-3.68,0.52,4.77,-2.66,8.16,-0.09,-8.84,5.89,3.85,12.95,10.17,7.75,7.84,0,0,0,3,"1"
"163",1,10.08,6.38,-12.24,-5.83,-6.15,-20.55,-24.88,NA,-45.37,-5.14,-6.86,-20.53,-3.7,-3.72,4.33,0,0,0,1,"1"
"164",0,0.78,8.16,1.85,-3.84,NA,5.05,-5.94,3.68,-30.48,-1.2,4.63,15.26,2.79,9.79,2.17,1,0,1,1,"1"
"165",1,2.31,9,0.54,-5.47,-12.6,4.52,6.36,-1.73,-2.22,9.71,12.52,20.52,0.75,10.33,5.78,1,1,1,4,"1"
"166",1,6.4,9.16,-12.16,-2.4,-6.7,12.31,21.39,7.58,5.98,8.13,8.6,25.81,NA,-6.95,14.08,1,1,0,NA,"1"
"167",1,-0.56,10.56,-1.24,-2.94,-6.85,9.22,4,1.11,26.51,1.66,7.48,6.49,7.16,7.38,3.79,1,1,1,4,"1"
"168",1,9.53,8.27,-0.62,0.41,0.88,2.08,1.42,-5.26,-2.8,19.74,23.08,43.41,17.7,34.96,28.79,0,1,1,4,"1"
