"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Class"
"33",79,5,83,0,-46,0,4,130,126,"Bypass"
"34",51,0,79,0,52,29,28,27,0,"Rad.Flow"
"35",59,4,84,0,60,24,25,24,0,"Rad.Flow"
"36",37,0,108,0,30,-21,71,77,6,"Rad.Flow"
"37",56,3,97,0,46,9,41,51,10,"High"
"38",39,5,77,0,38,0,37,38,0,"Rad.Flow"
"39",51,-5,81,0,52,0,30,30,0,"Rad.Flow"
"40",49,0,77,0,46,-9,29,31,2,"Rad.Flow"
"41",46,2,77,0,44,-19,32,34,2,"Rad.Flow"
"42",56,0,81,0,56,0,24,24,0,"Rad.Flow"
"43",56,0,79,0,16,3,23,63,40,"High"
"44",37,0,105,0,34,4,68,71,4,"Rad.Flow"
"45",76,0,81,-2,-40,13,5,122,118,"Bypass"
"46",56,0,80,0,56,7,24,23,0,"Rad.Flow"
"47",41,2,76,0,42,11,35,35,0,"Rad.Flow"
"48",41,1,85,0,38,0,44,46,2,"Rad.Flow"
"49",56,-4,97,0,52,-2,41,45,4,"High"
"50",49,0,95,1,50,2,46,46,0,"Rad.Flow"
"51",37,2,76,0,36,0,38,39,2,"Rad.Flow"
"52",56,1,99,0,50,16,42,49,8,"High"
"53",56,-4,88,0,56,0,31,31,0,"Rad.Flow"
"54",37,-3,81,-2,38,-9,43,42,0,"Rad.Flow"
"55",47,0,84,4,46,0,38,38,0,"Rad.Flow"
"56",41,1,86,2,42,14,45,45,0,"Rad.Flow"
"57",53,3,81,0,54,0,27,26,0,"Rad.Flow"
"58",47,5,79,0,46,0,32,32,0,"Rad.Flow"
"59",104,7,105,7,70,0,1,35,34,"Bypass"
"60",101,-3,102,-4,72,0,1,29,28,"Bypass"
"61",45,0,86,0,44,-17,41,42,2,"Rad.Flow"
"62",42,4,77,0,42,1,35,35,0,"Rad.Flow"
"63",45,0,79,0,44,-4,34,35,2,"Rad.Flow"
"64",37,0,80,0,36,15,43,44,2,"Rad.Flow"
"65",56,0,96,-1,44,0,40,52,12,"High"
"66",56,0,81,0,-10,-3,25,92,66,"High"
"67",42,0,83,2,42,0,41,42,2,"Rad.Flow"
"68",51,1,88,0,52,7,37,37,0,"Rad.Flow"
"69",49,3,82,0,46,-8,33,35,2,"Rad.Flow"
"70",41,1,86,3,42,6,45,45,0,"Rad.Flow"
"71",37,0,77,0,336,4910,41,-258,-298,"Rad.Flow"
"72",49,0,84,0,46,-4,36,38,2,"Rad.Flow"
"73",37,-1,77,-3,34,-6,40,43,2,"Rad.Flow"
"74",41,0,79,0,38,-23,38,41,2,"Rad.Flow"
"75",51,0,79,0,52,2,27,27,0,"Rad.Flow"
"76",55,-1,79,-4,20,-12,24,59,34,"High"
"77",41,0,77,0,42,5,37,36,0,"Rad.Flow"
"78",46,-3,80,0,46,0,34,34,0,"Rad.Flow"
"79",56,0,79,0,-2,-24,24,82,58,"High"
"80",44,0,82,-1,44,0,38,38,0,"Rad.Flow"
"81",45,0,83,0,46,31,37,36,0,"Rad.Flow"
"82",37,0,77,-1,36,4,40,41,0,"Rad.Flow"
"83",37,0,75,-1,36,0,38,39,0,"Rad.Flow"
"84",37,1,77,-2,34,0,40,43,2,"Rad.Flow"
"85",51,0,79,0,50,-6,28,30,2,"Rad.Flow"
"86",46,-4,76,-1,46,0,29,29,0,"Rad.Flow"
"87",49,0,77,5,50,5,28,28,0,"Rad.Flow"
"88",45,0,108,0,44,-3,62,64,2,"Rad.Flow"
"89",42,0,79,-2,42,0,36,37,2,"Rad.Flow"
"90",37,0,78,0,20,-10,41,57,16,"Rad.Flow"
"91",37,0,76,-3,36,-10,39,40,2,"Rad.Flow"
"92",53,5,84,0,52,-5,31,32,2,"Rad.Flow"
"93",38,4,76,0,38,4,38,37,0,"Rad.Flow"
"94",40,0,80,0,38,-2,40,41,2,"Rad.Flow"
"95",47,2,95,3,46,0,48,49,0,"Rad.Flow"
"96",45,0,79,5,44,0,34,35,2,"Rad.Flow"
"97",41,-1,86,0,42,0,45,45,0,"Rad.Flow"
"98",55,0,95,0,36,13,40,59,20,"High"
"99",56,0,95,0,56,15,40,39,0,"Rad.Flow"
"100",51,-3,83,0,50,-14,32,33,2,"Rad.Flow"
"101",37,0,75,0,34,10,38,41,2,"Rad.Flow"
"102",37,0,75,0,28,16,38,46,8,"Rad.Flow"
"103",81,-2,84,0,-18,-30,4,103,98,"Bypass"
"104",43,0,95,-4,42,-4,52,54,2,"Rad.Flow"
"105",41,0,84,2,42,25,43,43,0,"Rad.Flow"
"106",49,0,87,-7,46,-25,38,41,2,"Rad.Flow"
"107",49,0,83,0,46,-14,34,37,2,"Rad.Flow"
"108",37,-3,77,0,20,0,40,56,16,"Rad.Flow"
"109",81,0,84,0,-12,29,4,97,94,"Bypass"
"110",55,1,84,0,54,-1,29,30,2,"Rad.Flow"
"111",55,0,96,0,46,23,41,50,8,"High"
"112",42,0,81,-2,42,-4,39,39,0,"Rad.Flow"
"113",79,0,83,0,-40,3,4,125,120,"Bypass"
"114",59,-5,84,0,60,6,25,24,0,"Rad.Flow"
"115",56,-3,87,0,56,0,31,30,0,"Rad.Flow"
"116",55,0,82,1,-10,0,26,92,66,"High"
"117",56,0,92,0,-2,-4,36,95,58,"High"
"118",46,0,80,0,46,0,34,34,0,"Rad.Flow"
"119",56,0,78,0,8,-19,22,70,48,"High"
"120",37,0,83,0,34,7,47,50,2,"Rad.Flow"
"121",37,0,77,0,2,17,40,74,34,"Rad.Flow"
"122",53,-1,87,-5,52,-10,34,35,2,"Rad.Flow"
"123",37,-1,79,-4,36,-6,42,43,2,"Rad.Flow"
"124",44,-1,82,-4,44,0,38,38,0,"Rad.Flow"
"125",48,-3,95,0,46,-4,47,49,2,"Rad.Flow"
"126",42,5,79,5,42,0,37,38,0,"Rad.Flow"
"127",37,0,106,-1,34,0,68,72,4,"Rad.Flow"
"128",37,0,81,5,36,-3,43,44,2,"Rad.Flow"
"129",44,-4,82,-3,44,0,38,38,0,"Rad.Flow"
"130",45,0,83,0,46,19,38,37,0,"Rad.Flow"
"131",55,2,83,-2,54,0,28,29,0,"Rad.Flow"
"132",55,0,77,0,-14,-4,21,92,70,"High"
"133",41,3,78,0,38,-1,37,39,2,"Rad.Flow"
"134",37,0,78,-5,8,0,41,70,30,"Rad.Flow"
"135",57,3,91,0,56,0,34,34,0,"Rad.Flow"
"136",37,0,76,0,38,14,38,37,0,"Rad.Flow"
"137",37,0,77,0,8,-8,41,70,28,"Rad.Flow"
"138",37,0,76,-5,28,6,39,47,8,"Rad.Flow"
"139",49,4,84,0,50,2,35,35,0,"Rad.Flow"
"140",37,0,77,5,-12,-10,41,90,50,"Rad.Flow"
"141",50,-4,85,0,50,0,35,36,2,"Rad.Flow"
"142",51,-2,87,0,52,5,36,35,0,"Rad.Flow"
"143",37,0,93,0,12,7,56,81,24,"Rad.Flow"
"144",56,0,82,1,54,-12,26,28,2,"Rad.Flow"
"145",43,0,81,3,42,-4,38,40,2,"Rad.Flow"
"146",55,-2,108,0,54,-3,52,53,2,"Rad.Flow"
"147",37,0,81,-1,36,-18,43,44,2,"Rad.Flow"
"148",45,-1,78,-3,44,-5,33,34,2,"Rad.Flow"
"149",41,0,77,7,38,0,36,38,2,"Rad.Flow"
"150",48,1,87,0,46,0,39,41,2,"Rad.Flow"
"151",43,0,81,0,44,15,37,37,0,"Rad.Flow"
"152",56,0,96,0,52,-3,40,44,4,"High"
"153",37,0,92,0,24,3,55,69,14,"Rad.Flow"
"154",46,1,83,0,44,-9,37,39,2,"Rad.Flow"
"155",49,-2,77,3,46,-30,28,30,2,"Rad.Flow"
"156",45,0,83,0,44,2,38,39,0,"Rad.Flow"
"157",56,0,81,0,-20,-4,25,102,76,"High"
"158",48,-3,109,-6,46,0,61,62,2,"Rad.Flow"
"159",37,0,83,0,34,5,46,49,4,"Rad.Flow"
"160",50,-4,83,0,50,0,33,34,2,"Rad.Flow"
"161",47,-2,75,0,46,0,28,28,0,"Rad.Flow"
"162",48,1,81,-1,46,0,33,34,2,"Rad.Flow"
"163",55,0,82,0,-42,-9,26,126,100,"High"
"164",50,3,107,0,50,0,57,58,0,"Rad.Flow"
"165",38,0,102,-4,34,0,65,69,4,"Rad.Flow"
"166",37,0,106,17,28,0,69,77,8,"Rad.Flow"
"167",37,0,77,0,-6,-19,41,85,44,"Rad.Flow"
"168",37,0,79,0,26,-22,42,53,12,"Rad.Flow"
"169",43,0,84,0,44,13,41,41,0,"Rad.Flow"
"170",36,-1,81,0,36,0,45,45,0,"Rad.Flow"
"171",45,1,80,0,46,31,35,34,0,"Rad.Flow"
"172",55,0,78,0,0,-3,23,78,56,"High"
"173",58,5,88,0,56,0,30,31,2,"Rad.Flow"
"174",48,0,88,-4,46,0,40,41,2,"Rad.Flow"
"175",105,-1,106,2,70,0,2,36,34,"Bypass"
"176",54,-1,86,-1,54,-2,32,32,0,"Rad.Flow"
"177",56,4,96,0,52,10,40,44,4,"High"
"178",79,2,83,0,-42,-19,4,126,122,"Bypass"
"179",37,0,97,0,24,-30,60,73,14,"Rad.Flow"
"180",46,-3,109,2,46,0,63,63,0,"Rad.Flow"
"181",37,0,78,0,16,-11,42,63,22,"Rad.Flow"
"182",37,0,78,0,12,-10,41,65,24,"Rad.Flow"
"183",56,0,78,5,-22,0,22,101,80,"High"
"184",55,0,83,5,-24,0,27,108,82,"High"
"185",54,2,80,0,54,0,26,26,0,"Rad.Flow"
"186",55,0,77,-2,28,0,21,48,28,"High"
"187",37,0,104,-9,28,0,67,75,8,"Rad.Flow"
"188",55,-1,79,0,16,0,23,63,40,"High"
"189",43,-3,86,0,42,-16,42,44,2,"Rad.Flow"
"190",41,-1,89,0,38,-14,48,50,2,"Rad.Flow"
"191",39,0,107,-2,38,0,68,68,0,"Rad.Flow"
"192",46,0,107,0,46,4,61,60,0,"Rad.Flow"
"193",37,4,76,0,34,-10,39,43,4,"Rad.Flow"
"194",44,1,76,0,44,8,32,32,0,"Rad.Flow"
"195",53,0,79,0,54,14,26,24,0,"Rad.Flow"
"196",44,0,81,-1,44,5,37,37,0,"Rad.Flow"
"197",56,3,99,0,38,0,43,60,18,"High"
"198",56,0,93,-7,50,0,37,44,6,"High"
"199",37,0,75,-2,34,0,38,41,2,"Rad.Flow"
"200",52,4,84,-1,52,-2,31,32,0,"Rad.Flow"
"201",80,0,85,6,-40,10,5,126,122,"Bypass"
"202",37,0,76,0,36,4,39,40,2,"Rad.Flow"
"203",55,0,92,0,-4,22,36,97,60,"High"
"204",44,2,75,0,44,11,31,31,0,"Rad.Flow"
"205",43,-5,83,0,42,-9,39,41,2,"Rad.Flow"
"206",41,-1,76,0,38,-24,35,37,2,"Rad.Flow"
"207",45,0,86,0,44,-10,41,42,2,"Rad.Flow"
"208",55,0,77,0,6,-11,22,72,50,"High"
"209",67,-2,110,0,68,0,43,43,0,"Rad.Flow"
"210",37,-67,106,0,36,31,69,69,0,"Rad.Flow"
"211",56,0,108,0,54,-14,52,53,2,"Rad.Flow"
"212",42,0,86,-3,42,0,44,44,0,"Rad.Flow"
"213",56,0,84,0,54,-19,28,30,2,"Rad.Flow"
"214",38,2,80,0,38,4,42,41,0,"Rad.Flow"
"215",45,0,86,0,44,-3,41,42,2,"Rad.Flow"
"216",44,0,83,-1,44,0,38,39,0,"Rad.Flow"
"217",45,-2,83,0,44,-7,37,39,2,"Rad.Flow"
"218",53,-1,88,0,54,4,35,34,0,"Rad.Flow"
"219",51,0,83,0,52,19,31,31,0,"Rad.Flow"
"220",41,0,81,0,38,-3,41,43,2,"Rad.Flow"
"221",46,0,88,0,46,0,41,41,0,"Rad.Flow"
"222",43,0,77,0,42,0,34,36,2,"Rad.Flow"
"223",45,2,76,-3,44,-5,31,32,0,"Rad.Flow"
"224",41,1,97,0,42,4,55,55,0,"Rad.Flow"
"225",37,0,81,2,26,0,44,55,10,"Rad.Flow"
"226",83,0,86,0,-4,0,3,92,88,"Bypass"
"227",56,0,81,4,-22,0,25,104,80,"High"
"228",43,0,87,0,42,-6,44,46,2,"Rad.Flow"
"229",56,4,98,-4,42,0,42,57,14,"High"
"230",46,2,78,0,46,9,32,32,0,"Rad.Flow"
"231",37,0,79,0,26,-4,42,53,12,"Rad.Flow"
"232",43,-1,83,0,42,-6,39,41,2,"Rad.Flow"
"233",37,0,83,1,24,0,46,59,14,"Rad.Flow"
"234",55,0,95,-2,50,0,40,46,6,"High"
"235",56,3,89,0,56,0,33,32,0,"Rad.Flow"
"236",37,0,78,0,0,-11,42,78,36,"Rad.Flow"
"237",48,1,87,-6,46,-4,39,41,2,"Rad.Flow"
"238",37,0,90,0,30,9,53,59,6,"Rad.Flow"
"239",55,0,96,0,46,9,41,50,8,"High"
"240",51,-3,84,4,52,1,33,32,0,"Rad.Flow"
"241",37,0,78,0,12,11,41,65,24,"Rad.Flow"
"242",37,0,97,-6,34,0,59,63,4,"Rad.Flow"
"243",45,-1,77,2,44,0,32,33,0,"Rad.Flow"
"244",49,0,84,0,50,18,35,35,0,"Rad.Flow"
"245",53,0,81,4,52,-22,28,29,2,"Rad.Flow"
"246",37,2,90,0,28,0,53,62,8,"Rad.Flow"
"247",37,0,77,1,36,0,41,41,0,"Rad.Flow"
"248",70,57,82,0,-42,-4,12,126,114,"Fpv.Close"
"249",61,-2,111,0,60,0,50,52,2,"Rad.Flow"
"250",59,0,86,0,60,21,28,27,0,"Rad.Flow"
"251",49,0,95,3,50,4,46,46,0,"Rad.Flow"
"252",45,2,86,6,44,0,41,42,2,"Rad.Flow"
"253",45,0,79,0,46,6,33,32,0,"Rad.Flow"
"254",56,0,78,0,44,1,22,34,12,"High"
"255",55,-3,96,0,54,-3,41,42,2,"Rad.Flow"
"256",49,0,78,0,50,3,29,29,0,"Rad.Flow"
"257",39,3,77,0,38,0,38,38,0,"Rad.Flow"
"258",55,-1,79,-8,20,-13,23,58,34,"High"
"259",56,0,86,0,56,15,31,30,0,"Rad.Flow"
"260",37,0,81,0,18,-26,44,63,18,"Rad.Flow"
"261",41,0,82,-2,38,-3,41,43,2,"Rad.Flow"
"262",45,-3,88,0,44,0,44,44,0,"Rad.Flow"
"263",37,0,83,0,8,24,46,75,30,"Rad.Flow"
"264",43,0,77,0,42,-8,34,36,2,"Rad.Flow"
"265",84,6,89,0,6,-6,5,84,78,"Bypass"
"266",37,0,79,-1,6,-23,43,74,32,"Rad.Flow"
"267",37,0,81,0,38,7,43,42,0,"Rad.Flow"
"268",43,0,77,0,42,-19,34,35,2,"Rad.Flow"
"269",56,-1,98,4,50,23,42,49,6,"High"
"270",50,1,78,-2,50,0,28,29,2,"Rad.Flow"
"271",39,3,86,0,38,0,48,48,0,"Rad.Flow"
"272",43,0,81,0,42,-10,37,39,2,"Rad.Flow"
"273",37,0,79,0,36,9,42,43,2,"Rad.Flow"
"274",58,-4,91,0,56,0,33,34,0,"Rad.Flow"
"275",45,0,93,2,44,0,49,50,0,"Rad.Flow"
"276",38,3,76,0,38,8,38,37,0,"Rad.Flow"
"277",37,0,79,-3,36,-1,41,43,2,"Rad.Flow"
"278",79,6,83,1,-40,13,4,124,120,"Bypass"
"279",36,-1,76,0,36,0,39,39,0,"Rad.Flow"
"280",85,-3,88,0,2,-25,3,86,82,"Bypass"
"281",37,3,77,0,36,0,41,41,0,"Rad.Flow"
"282",37,0,77,0,26,-19,41,52,10,"Rad.Flow"
"283",45,0,79,0,46,14,34,33,0,"Rad.Flow"
"284",54,4,77,0,28,0,23,48,26,"High"
"285",43,-5,77,0,44,19,34,33,0,"Rad.Flow"
"286",41,0,83,2,38,-1,42,44,2,"Rad.Flow"
"287",43,0,77,10,42,-34,34,36,2,"Rad.Flow"
"288",56,2,81,4,-4,0,25,86,62,"High"
"289",55,0,82,0,-32,9,26,115,90,"High"
"290",37,0,103,0,24,16,66,80,14,"Rad.Flow"
"291",50,1,90,3,50,0,39,41,2,"Rad.Flow"
"292",45,0,84,8,44,-8,39,41,2,"Rad.Flow"
"293",48,0,89,4,46,-7,41,42,2,"Rad.Flow"
"294",85,0,88,-3,6,0,3,83,80,"Bypass"
"295",47,-2,106,0,46,0,59,60,0,"Rad.Flow"
"296",37,-6,78,0,10,0,42,68,26,"Rad.Flow"
"297",37,-38,106,-104,30,-17,69,75,6,"Fpv.Open"
"298",58,0,91,2,56,0,33,34,2,"Rad.Flow"
"299",46,0,78,-7,46,5,32,32,0,"Rad.Flow"
"300",55,0,95,-2,50,-10,40,46,6,"High"
"301",56,0,82,0,56,10,26,25,0,"Rad.Flow"
"302",55,0,92,0,46,-3,37,46,8,"High"
"303",39,-2,86,0,38,0,46,47,0,"Rad.Flow"
"304",51,2,81,-5,50,0,30,32,2,"Rad.Flow"
"305",37,0,75,0,20,11,38,54,16,"Rad.Flow"
"306",41,-2,80,0,38,-20,39,41,2,"Rad.Flow"
"307",53,0,86,0,52,-10,33,34,2,"Rad.Flow"
"308",46,2,88,0,46,3,42,41,0,"Rad.Flow"
"309",37,0,78,0,6,-4,41,73,32,"Rad.Flow"
"310",44,0,79,-2,44,0,35,35,0,"Rad.Flow"
"311",38,-3,76,0,38,0,38,37,0,"Rad.Flow"
"312",52,4,91,0,52,0,38,39,0,"Rad.Flow"
"313",37,0,93,0,16,4,55,77,22,"Rad.Flow"
"314",56,0,77,0,-22,23,21,100,80,"High"
"315",44,4,82,-7,44,1,38,38,0,"Rad.Flow"
"316",37,0,79,-4,24,0,42,55,14,"Rad.Flow"
"317",46,0,87,-7,46,0,41,41,0,"Rad.Flow"
"318",52,-3,86,0,52,-4,33,34,0,"Rad.Flow"
"319",41,0,79,0,38,0,39,41,2,"Rad.Flow"
"320",56,0,80,0,54,-15,24,26,2,"Rad.Flow"
"321",82,1,86,0,-6,0,3,94,90,"Bypass"
"322",60,-5,111,0,60,0,50,51,2,"Rad.Flow"
"323",44,1,88,0,44,4,44,44,0,"Rad.Flow"
"324",46,1,87,0,46,7,41,41,0,"Rad.Flow"
"325",52,-3,88,0,52,0,35,36,0,"Rad.Flow"
"326",37,0,78,0,-2,-6,42,81,40,"Rad.Flow"
"327",43,0,78,-7,42,0,35,37,2,"Rad.Flow"
"328",37,0,84,0,18,-25,47,66,18,"Rad.Flow"
"329",42,-4,85,0,42,0,43,44,2,"Rad.Flow"
"330",43,0,79,3,42,0,37,38,2,"Rad.Flow"
"331",78,-2,82,0,-40,0,4,123,120,"Bypass"
"332",48,0,88,0,46,0,39,41,2,"Rad.Flow"
"333",55,0,90,0,54,0,36,36,0,"Rad.Flow"
"334",78,0,82,-2,-40,0,4,123,120,"Bypass"
"335",39,1,77,2,38,0,38,38,0,"Rad.Flow"
"336",43,1,77,0,42,0,34,35,2,"Rad.Flow"
"337",107,-2,108,-2,70,-28,1,38,38,"Bypass"
"338",55,-1,81,-6,54,-8,26,27,0,"Rad.Flow"
"339",41,0,106,0,38,-28,64,67,2,"Rad.Flow"
"340",58,-4,85,0,56,0,28,28,0,"Rad.Flow"
"341",37,0,76,0,34,13,39,42,4,"Rad.Flow"
"342",42,-1,78,0,42,0,36,37,2,"Rad.Flow"
"343",42,5,82,0,42,0,40,41,0,"Rad.Flow"
"344",53,0,103,-1,52,-17,50,51,2,"Rad.Flow"
"345",42,2,75,0,42,0,33,34,0,"Rad.Flow"
"346",37,4,106,0,18,0,68,88,20,"Rad.Flow"
"347",49,-1,81,0,50,5,33,32,0,"Rad.Flow"
"348",46,0,77,5,46,0,31,30,0,"Rad.Flow"
"349",56,4,95,0,44,26,40,51,12,"High"
"350",41,1,107,0,38,-7,66,68,2,"Rad.Flow"
"351",56,0,77,0,10,5,22,67,46,"High"
"352",37,0,76,-2,26,1,39,50,12,"Rad.Flow"
"353",44,-4,77,0,44,4,34,34,0,"Rad.Flow"
"354",49,-2,83,0,50,0,34,34,0,"Rad.Flow"
"355",56,0,78,0,12,19,22,65,42,"High"
"356",52,2,81,0,52,0,29,29,0,"Rad.Flow"
"357",37,0,77,0,2,-11,40,75,34,"Rad.Flow"
"358",55,0,82,0,-24,-16,26,108,82,"High"
"359",37,0,83,0,6,-5,47,78,32,"Rad.Flow"
"360",55,0,95,0,46,27,40,49,8,"High"
"361",46,4,77,0,44,-21,32,34,2,"Rad.Flow"
"362",51,1,81,0,52,12,29,29,0,"Rad.Flow"
"363",37,0,106,0,28,-9,69,78,8,"Rad.Flow"
"364",54,3,83,-3,54,0,29,29,0,"Rad.Flow"
"365",102,0,103,0,72,24,1,31,30,"Bypass"
"366",62,0,109,0,62,23,48,47,0,"Rad.Flow"
"367",55,0,93,0,50,25,37,44,6,"High"
"368",44,0,82,1,44,1,38,38,0,"Rad.Flow"
"369",45,4,87,-1,44,0,42,43,2,"Rad.Flow"
"370",45,0,81,0,44,-3,36,37,2,"Rad.Flow"
"371",56,0,77,0,20,-28,22,57,36,"High"
"372",37,-1,76,-3,20,-7,39,55,16,"Rad.Flow"
"373",56,0,79,0,12,11,23,66,42,"High"
"374",45,0,88,2,44,0,44,44,0,"Rad.Flow"
"375",44,0,87,-5,44,0,43,43,0,"Rad.Flow"
"376",37,-3,77,0,38,8,39,38,0,"Rad.Flow"
"377",37,0,77,1,20,0,40,56,16,"Rad.Flow"
"378",37,-15,78,0,10,0,42,68,26,"Rad.Flow"
"379",56,1,80,0,56,1,24,23,0,"Rad.Flow"
"380",47,-4,86,0,46,0,39,39,0,"Rad.Flow"
"381",49,-4,107,-1,50,0,58,58,0,"Rad.Flow"
"382",57,0,82,0,56,0,25,25,0,"Rad.Flow"
"383",41,1,108,0,42,10,66,66,0,"Rad.Flow"
"384",37,0,79,0,10,13,42,68,26,"Rad.Flow"
"385",62,-2,108,0,60,0,45,48,2,"Rad.Flow"
"386",43,0,86,0,44,21,43,42,0,"Rad.Flow"
"387",55,0,87,-1,56,18,32,30,0,"Rad.Flow"
"388",47,-1,86,-2,46,0,39,39,0,"Rad.Flow"
"389",45,-4,81,1,44,-21,36,37,2,"Rad.Flow"
"390",57,0,88,-1,56,0,31,31,0,"Rad.Flow"
"391",37,0,76,0,30,-23,40,45,6,"Rad.Flow"
"392",41,-1,100,0,42,0,59,59,0,"Rad.Flow"
"393",49,-1,79,0,50,1,30,30,0,"Rad.Flow"
"394",37,0,104,-2,16,-14,67,89,22,"Rad.Flow"
"395",55,0,92,0,30,-7,37,61,24,"High"
"396",107,-2,108,-1,70,-23,1,38,38,"Bypass"
"397",55,0,98,-3,50,18,42,49,6,"High"
"398",56,3,85,0,56,23,29,28,0,"Rad.Flow"
"399",44,2,83,0,44,9,39,39,0,"Rad.Flow"
"400",49,-1,86,0,50,4,37,37,0,"Rad.Flow"
"401",37,0,78,0,8,21,41,70,30,"Rad.Flow"
"402",106,0,107,-5,70,0,1,37,36,"Bypass"
"403",37,0,78,0,12,-9,41,65,24,"Rad.Flow"
"404",43,0,102,0,44,15,59,58,0,"Rad.Flow"
"405",56,0,92,0,56,0,36,35,0,"Rad.Flow"
"406",42,0,79,6,42,0,36,37,2,"Rad.Flow"
"407",37,0,93,-7,12,0,55,80,24,"Rad.Flow"
"408",66,0,109,0,68,4,43,42,0,"Rad.Flow"
"409",39,0,79,-1,38,-2,41,41,0,"Rad.Flow"
"410",37,0,79,3,8,0,42,71,30,"Rad.Flow"
"411",84,1,87,0,-4,0,3,92,88,"Bypass"
"412",51,-4,86,0,52,17,35,34,0,"Rad.Flow"
"413",52,-3,84,0,52,0,31,32,0,"Rad.Flow"
"414",49,0,95,0,46,-6,47,49,2,"Rad.Flow"
"415",37,0,95,0,18,22,58,77,20,"Rad.Flow"
"416",50,-3,81,0,50,0,31,32,2,"Rad.Flow"
"417",44,0,81,2,42,-12,37,39,2,"Rad.Flow"
"418",37,0,76,0,20,-20,40,55,16,"Rad.Flow"
"419",45,0,82,0,44,-11,37,38,2,"Rad.Flow"
"420",37,0,78,0,2,-24,42,75,34,"Rad.Flow"
"421",43,0,81,-7,42,0,38,40,2,"Rad.Flow"
"422",41,-1,81,0,42,0,39,39,0,"Rad.Flow"
"423",55,0,82,0,-38,-6,26,121,94,"High"
"424",45,-1,88,0,44,0,44,44,0,"Rad.Flow"
"425",37,0,106,0,34,-12,69,72,4,"Rad.Flow"
"426",45,0,79,0,46,5,34,33,0,"Rad.Flow"
"427",37,0,79,0,10,224,42,69,26,"Rad.Flow"
"428",76,0,81,8,-40,9,5,122,116,"Bypass"
"429",44,-1,85,0,44,3,41,41,0,"Rad.Flow"
"430",43,-1,76,0,44,19,32,32,0,"Rad.Flow"
"431",56,-2,97,2,42,-16,41,56,14,"High"
"432",56,2,88,0,54,-5,32,33,2,"Rad.Flow"
"433",48,0,81,-4,46,0,32,34,2,"Rad.Flow"
"434",55,1,77,0,54,0,23,23,0,"Rad.Flow"
"435",37,2,97,0,34,-2,60,64,4,"Rad.Flow"
"436",55,0,78,-1,0,-3,23,78,56,"High"
"437",56,0,96,4,34,0,40,62,22,"High"
"438",44,0,86,0,42,-19,42,44,2,"Rad.Flow"
"439",55,-4,96,0,50,0,41,47,6,"High"
"440",37,0,78,0,-2,4,42,81,40,"Rad.Flow"
"441",49,1,95,-3,50,0,46,46,0,"Rad.Flow"
"442",37,0,95,1,10,0,58,84,26,"Rad.Flow"
"443",44,0,99,-1,42,-16,56,58,2,"Rad.Flow"
"444",107,-4,108,0,70,0,1,38,36,"Bypass"
"445",37,0,77,0,26,-7,41,52,10,"Rad.Flow"
"446",56,0,86,1,56,0,31,30,0,"Rad.Flow"
"447",56,0,76,0,-12,-19,20,89,68,"High"
"448",42,0,80,-7,42,0,38,39,0,"Rad.Flow"
"449",37,0,76,0,36,3,39,39,0,"Rad.Flow"
"450",80,1,84,0,-28,0,4,112,108,"Bypass"
"451",45,3,79,0,44,-2,34,35,2,"Rad.Flow"
