"","ph","cal","lat","lon","geog.x","geog.y"
"63",7.05,1.56,36.1375,-81.7333,0.00324364907961499,0.0150284644230919
"64",6.88,1.12,35.9444,-82.4944,-0.0076007210871142,0.0116585352796735
"65",6.99,7.21,37.3167,-79.2708,0.038316362182264,0.035602427227657
"66",6.76,2.24,35.7417,-81.9,0.000868442320612986,0.00812092774507058
"67",6.46,0.94,35.6667,-82.3389,-0.00538515925510863,0.00681196738692728
"68",6.3,1.71,35.1944,-82.2347,-0.00390049590829047,-0.00143116949807027
"69",6.34,2.08,35.0875,-81.743,0.0031054402461575,-0.00329692098423761
"70",6.49,0.59,34.9514,-82.3936,-0.00616452945327698,-0.00567228965101078
"71",6.83,1.65,34.6269,-83.4292,-0.0209179840455323,-0.0113356707102379
"72",7.43,4.45,34.2908,-84.0814,-0.0302062104643991,-0.0172011167548293
"73",6.88,1.81,34.0117,-83.7433,-0.0253916132696815,-0.0220713866586688
"74",6.92,1.48,34.0981,-83.3555,-0.0198682016964616,-0.0205637650058842
"75",7.04,2.055,34,-83.8028,-0.0262389715044315,-0.0222755399750203
"76",7.2,1.68,33.95,-83.275,-0.0187215226867601,-0.0231479794735675
"77",6.97,3.19,33.6917,-84.1375,-0.03100498605724,-0.0276547064687462
"78",7.25,5.25,33.7167,-84.0542,-0.0298189148571299,-0.0272185384186896
"79",6.9,5.83,33.6972,-82.6972,-0.0104901260545428,-0.0275587499465788
"80",8.05,5.06,33.4811,-84.3,-0.0333185594948998,-0.0313287689747825
"81",7.4,3.77,33.4167,-83.3944,-0.0204222972651778,-0.0324521892569128
"82",6.85,1.8,33.3944,-84.2425,-0.0324999401108173,-0.0328411902119455
"83",6.38,1.48,33.2361,-82.8292,-0.0123707354974978,-0.035602427227657
"84",7.27,4.32,33.618,-84.19,-0.031752476413745,-0.0289404989272623
"85",6.65,1.52,34.375,-82.8417,-0.01254882026577,-0.0157317489022199
"86",6.9,2.73,35.7847,-81.4583,0.00716188704522074,0.00887139221830571
"87",7.11,3.75,33.5144,-84.2917,-0.0332003956193006,-0.0307478543642401
"88",6.82,5.66,36.338,-82.118,-0.00223771487099994,0.0185273552164884
"89",7.19,5.51,33.6392,-83.0847,-0.0160106591444389,-0.0285706421369684
"90",7.03,2.21,33.4958,-84.2258,-0.0322621783976463,-0.0310723304847896
"91",6.69,3.37,33.9822,-84.3306,-0.0337541937475376,-0.022586130415522
"92",6.4,1.52,34.0689,-83.5208,-0.0222226854484733,-0.0210732906889953
"93",6.46,2.22,35.3642,-81.8792,0.00116480966385076,0.00153239848350925
"94",6.52,1.54,35.725,-82.0833,-0.00174329544240137,0.0078294670304622
"95",7.15,5.645,33.9194,-84.1436,-0.0310918386663076,-0.0236819037935701
"96",6.36,1.84,35.2231,-81.7292,0.00330206721861086,-0.000930260357140665
"97",6.66,2.23,35.1083,-82.05,-0.00126882316819435,-0.0029338942635551
"98",7.04,5.4,33.6833,-84.0458,-0.0296993074985592,-0.0278012577559568
"99",7.29,5.34,34.4583,-82.2083,-0.00352434095620861,-0.0142780534387062
"100",7.36,6.23,33.6644,-84.0417,-0.029640927484413,-0.0281309959625725
"101",6.77,2.4,34.5333,-82.3833,-0.00601777459532289,-0.0129691780756645
"102",6.42,2.03,35.095,-81.7389,0.00316385842396567,-0.00316602197388728
"103",8.17,1.36,33.9872,-83.6805,-0.0244972290111338,-0.0224988861286345
"104",7.09,9.16,37.0625,-80.6083,0.0192713635840969,0.0311682770989707
"105",7.35,5.09,34.2639,-84.1625,-0.0313609371311681,-0.0176705389489535
"106",7.32,15.83,37.0417,-79.5833,0.033868083472902,0.0308054229456411
"107",6.7,2.21,34.1917,-84,-0.0290471514531749,-0.0189304555542258
"108",7.44,4.23,34.1964,-84.315,-0.0335321068923668,-0.0188484397154081
"109",6.68,1.28,35.0125,-83.7875,-0.0260210820529724,-0.00460590761060793
"110",6.91,2.77,36.1783,-82.1564,-0.00278485240989986,0.0157404744679444
"111",7.11,5.75,36.3278,-82.0833,-0.00174329544240137,0.0183493618972045
"112",6.53,0.71,35.2681,-82.9694,-0.0143680985477109,-0.000144862327408782
