"","event","pop","sex","wrt","brt","ort","lat","lon","geog.x","geog.y","scrn","name"
"30", 24, 27348,"M",0.9844018,0.0013359571,0.014262245,39.82314,-85.77103,0.004921....,0.000717....,0.7451445,"Hancock"
"31", 17, 17099,"M",0.9838019,0.0036707939,0.012527312,38.19948,-86.11572,0.000298....,-0.02761....,0.5292906,"Harrison"
"32", 45, 52193,"M",0.9670583,0.0111630945,0.021778602,39.76852,-86.50923,-0.00497....,-0.00023....,0.7073416,"Hendricks"
"33", 23, 23403,"M",0.9796322,0.0085759050,0.011791869,39.93104,-85.39694,0.009939....,0.002601....,0.5292906,"Henry"
"34", 60, 41089,"M",0.8972624,0.0654747893,0.037262841,40.48150,-86.11626,0.000291....,0.012208....,0.6185908,"Howard"
"35", 28, 18537,"M",0.9815102,0.0018122127,0.016677610,40.82862,-85.49367,0.008641....,0.018266....,0.5292906,"Huntington"
"36", 20, 20386,"M",0.9613161,0.0054917140,0.033192210,38.90742,-86.04293,0.001275....,-0.01526....,0.6995350,"Jackson"
"37", 17, 14888,"M",0.9797291,0.0034617049,0.016809240,41.02525,-87.12048,-0.01317....,0.021697....,0.5292906,"Jasper"
"38", 17, 10695,"M",0.9763826,0.0025222416,0.021095111,40.43415,-85.00912,0.015140....,0.011381....,0.5292906,"Jay"
"39", 22, 15699,"M",0.9619303,0.0145402933,0.023529412,38.78552,-85.43743,0.009396....,-0.01739....,0.5292906,"Jefferson"
"40", 16, 13694,"M",0.9745228,0.0074762285,0.018001016,38.99623,-85.62819,0.006837....,-0.01371....,0.5292906,"Jennings"
"41", 43, 56427,"M",0.9703756,0.0079334080,0.021691014,39.48956,-86.09614,0.000561....,-0.00510....,0.6092640,"Johnson"
"42", 30, 19478,"M",0.9636743,0.0185449358,0.017780721,38.69097,-87.41902,-0.01718....,-0.01904....,0.5292906,"Knox"
"43", 48, 36982,"M",0.9457715,0.0060088850,0.048219615,41.24394,-85.86056,0.003721....,0.025512....,0.5269578,"Kosciusko"
"44", 18, 17681,"M",0.9673723,0.0018906299,0.030737059,41.64209,-85.42616,0.009547....,0.032458....,0.5292906,"Lagrange"
"45",353,233367,"M",0.6671771,0.2532647906,0.079558118,41.47570,-87.37870,-0.01663....,0.029556....,0.4909637,"Lake"
"46", 67, 56539,"M",0.8625506,0.1013205457,0.036128821,41.54916,-86.74500,-0.00814....,0.030837....,0.5242900,"La Porte"
"47", 28, 22381,"M",0.9792474,0.0038761378,0.016876443,38.84043,-86.48516,-0.00465....,-0.01643....,0.4464836,"Lawrence"
"48", 63, 65684,"M",0.8990237,0.0788179187,0.022158401,40.16310,-85.72061,0.005598....,0.006651....,0.5790899,"Madison"
"49",364,415998,"M",0.7048628,0.2416910143,0.053446204,39.78200,-86.13800,           0,           0,0.6140542,"Marion"
"50", 27, 22415,"M",0.9552606,0.0030136501,0.041725758,41.33134,-86.26259,-0.00167....,0.027037....,0.5292906,"Marshall"
"51",  9,  5248,"M",0.9892950,0.0015430610,0.009161925,38.71080,-86.80182,-0.00890....,-0.01869....,0.5292906,"Martin"
"52", 19, 18312,"M",0.9368660,0.0300426806,0.033091292,40.76887,-86.04829,0.001203....,0.017223....,0.5292906,"Miami"
"53", 44, 59153,"M",0.9083218,0.0299843235,0.061693886,39.16085,-86.52327,-0.00516....,-0.01084....,0.6731579,"Monroe"
"54", 17, 18774,"M",0.9677111,0.0076536714,0.024635255,40.04094,-86.89284,-0.01012....,0.004519....,0.5292906,"Montgomery"
"55", 29, 33158,"M",0.9859047,0.0007497488,0.013345529,39.48185,-86.44729,-0.00414....,-0.00523....,0.7892651,"Morgan"
"56", 12,  7239,"M",0.9732940,0.0017163257,0.024989702,40.95134,-87.40216,-0.01695....,0.020407....,0.5292906,"Newton"
"57", 26, 23310,"M",0.9398163,0.0040842788,0.056099406,41.39619,-85.41733,0.009665....,0.028169....,0.5292906,"Noble"
"58",  3,  2768,"M",0.9870176,0.0048017073,0.008180686,38.95366,-84.96787,0.015693....,-0.01445....,0.5292906,"Ohio"
"59", 11,  9489,"M",0.9789703,0.0063192790,0.014710453,38.53514,-86.49533,-0.00479....,-0.02176....,0.5292906,"Orange"
"60", 14, 10837,"M",0.9821445,0.0025245571,0.015330946,39.31185,-86.83876,-0.00939....,-0.00820....,0.5292906,"Owen"
"61",  9,  8222,"M",0.9642712,0.0214604721,0.014268314,39.77504,-87.20730,-0.01434....,-0.00012....,0.5292906,"Parke"
"62", 16,  9771,"M",0.9760834,0.0144981216,0.009418488,38.08151,-86.64369,-0.00678....,-0.02967....,0.5292906,"Perry"
"63",  8,  6414,"M",0.9910415,0.0010126977,0.007945782,38.39762,-87.23329,-0.01468....,-0.02415....,0.5292906,"Pike"
"64", 69, 72046,"M",0.9533236,0.0091554381,0.037520947,41.50839,-87.07063,-0.01250....,0.030126....,0.5859030,"Porter"
"65",  9, 13468,"M",0.9796755,0.0086471306,0.011677322,38.02409,-87.86129,-0.02311....,-0.03067....,0.5292906,"Posey"
"66", 11,  6938,"M",0.9752817,0.0092330062,0.015485278,41.03737,-86.69456,-0.00746....,0.021908....,0.5292906,"Pulaski"
"67", 21, 18727,"M",0.9486937,0.0293456231,0.021960632,39.66744,-86.84356,-0.00946....,-0.00199....,0.5292906,"Putnam"
"68", 15, 13436,"M",0.9805847,0.0025546513,0.016860699,40.14992,-85.00551,0.015188....,0.006421....,0.5292906,"Randolph"
"69", 15, 13027,"M",0.9829582,0.0004901406,0.016551672,39.10189,-85.26026,0.011772....,-0.01186....,0.5292906,"Ripley"
"70", 10,  8971,"M",0.9769454,0.0059690050,0.017085592,39.61742,-85.46894,0.008973....,-0.00287....,0.5292906,"Rush"
"71",156,128133,"M",0.8235684,0.1145583467,0.061873256,41.61760,-86.28756,-0.00200....,0.032031....,0.6767496,"St. Joseph"
"72", 19, 11397,"M",0.9864111,0.0004790941,0.013109756,38.68682,-85.74421,0.005281....,-0.01911....,0.5292906,"Scott"
"73", 18, 21505,"M",0.9725860,0.0075958108,0.019818161,39.52346,-85.79116,0.004651....,-0.00451....,0.5818961,"Shelby"
"74", 10, 10217,"M",0.9770487,0.0060320730,0.016919229,38.01058,-87.01086,-0.01170....,-0.03091....,0.5292906,"Spencer"
"75", 12, 11660,"M",0.9751656,0.0022499575,0.022584480,41.28194,-86.64756,-0.00683....,0.026175....,0.5292906,"Starke"
"76", 19, 16771,"M",0.9719094,0.0037032577,0.024387307,41.64411,-85.00049,0.015255....,0.032494....,0.5292906,"Steuben"
"77", 16, 11646,"M",0.9411062,0.0426647051,0.016229139,39.08939,-87.41412,-0.01711....,-0.01208....,0.5292906,"Sullivan"
"78",  9,  4571,"M",0.9877551,0.0023166023,0.009928296,38.82440,-85.02733,0.014895....,-0.01671....,0.5292906,"Switzerland"
"79", 57, 76423,"M",0.8885502,0.0251888154,0.086260951,40.38795,-86.89367,-0.01013....,0.010575....,0.4961066,"Tippecanoe"
"80",  9,  8105,"M",0.9834711,0.0013874646,0.015141461,40.30985,-86.05161,0.001158....,0.009212....,0.5292906,"Tipton"
"81",  4,  3644,"M",0.9869370,0.0023132399,0.010749762,39.62276,-84.92288,0.016296....,-0.00277....,0.5292906,"Union"
"82",114, 81509,"M",0.8929573,0.0818859715,0.025156757,38.02300,-87.58353,-0.01938....,-0.03069....,0.6825652,"Vanderburgh"
"83",  8,  8177,"M",0.9839171,0.0026209197,0.013461997,39.85396,-87.46219,-0.01775....,0.001255....,0.5292906,"Vermillion"
"84", 92, 51998,"M",0.9066303,0.0603884816,0.032981256,39.42880,-87.39027,-0.01679....,-0.00616....,0.5804116,"Vigo"
"85", 22, 16957,"M",0.9738272,0.0040617849,0.022110984,40.84712,-85.79038,0.004662....,0.018588....,0.5292906,"Wabash"
"86", 11,  4267,"M",0.9908540,0.0008314527,0.008314527,40.34515,-87.35576,-0.01633....,0.009828....,0.5292906,"Warren"
"87", 30, 25734,"M",0.9746101,0.0100223355,0.015367581,38.09837,-87.27148,-0.01520....,-0.02938....,0.5292906,"Warrick"
"88", 14, 13620,"M",0.9875473,0.0013224112,0.011130294,38.59928,-86.10559,0.000434....,-0.02064....,0.5292906,"Washington"
"89", 38, 34138,"M",0.9203764,0.0510148108,0.028608802,39.86237,-85.00638,0.015176....,0.001402....,0.5183469,"Wayne"
"90", 11, 13613,"M",0.9831884,0.0016304348,0.015181159,40.72747,-85.22040,0.012306....,0.016500....,0.5292906,"Wells"
"91",  7, 12429,"M",0.9519927,0.0015830926,0.046424190,40.74760,-86.86480,-0.00974....,0.016852....,0.5292906,"White"
"92", 18, 15238,"M",0.9836519,0.0018562543,0.014491810,41.13542,-85.50394,0.008504....,0.023619....,0.5292906,"Whitley"
"93", 24, 17007,"F",0.9730855,0.0013680297,0.025546468,40.74547,-84.93584,0.016122....,0.016814....,0.5292906,"Adams"
"94",176,169424,"F",0.8307905,0.1130845656,0.056124924,41.09128,-85.06417,0.014401....,0.022849....,0.5639615,"Allen"
"95", 33, 36328,"F",0.9417092,0.0183383495,0.039952404,39.20513,-85.89820,0.003216....,-0.01006....,0.4768739,"Bartholomew"
"96",  4,  4744,"F",0.9690054,0.0021229169,0.028871670,40.60569,-87.30773,-0.01568....,0.014375....,0.5292906,"Benton"
"97", 14,  7141,"F",0.9839835,0.0012101367,0.014806378,40.47343,-85.32257,0.010936....,0.012067....,0.5292906,"Blackford"
"98", 15, 23601,"F",0.9792222,0.0035352550,0.017242501,40.05109,-86.46873,-0.00443....,0.004696....,0.6319378,"Boone"
"99",  8,  7446,"F",0.9816140,0.0021394665,0.016246574,39.19567,-86.22853,-0.00121....,-0.01023....,0.5292906,"Brown"
"100", 12, 10105,"F",0.9764939,0.0019836350,0.021522440,40.58393,-86.56457,-0.00572....,0.013995....,0.5292906,"Carroll"
"101", 44, 20361,"F",0.9370144,0.0128756413,0.050109944,40.76085,-86.34656,-0.00279....,0.017083....,0.5292906,"Cass"
"102", 57, 49542,"F",0.9029563,0.0662679327,0.030775769,38.47743,-85.71644,0.005654....,-0.02276....,0.4802538,"Clark"
"103", 13, 13669,"F",0.9838455,0.0033137521,0.012840789,39.39562,-87.11485,-0.01310....,-0.00674....,0.5292906,"Clay"
"104", 18, 17162,"F",0.9437784,0.0030413985,0.053180181,40.29962,-86.47579,-0.00453....,0.009034....,0.5292906,"Clinton"
"105",  9,  5335,"F",0.9826864,0.0015824258,0.015731174,38.28511,-86.45620,-0.00426....,-0.02612....,0.5292906,"Crawford"
"106", 10, 15115,"F",0.9751844,0.0044936284,0.020321932,38.70237,-87.07578,-0.01257....,-0.01884....,0.5292906,"Daviess"
"107", 27, 23270,"F",0.9806328,0.0062243814,0.013142770,39.14997,-84.97708,0.015569....,-0.01103....,0.5292906,"Dearborn"
"108", 10, 12424,"F",0.9849725,0.0004886988,0.014538790,39.30438,-85.50205,0.008529....,-0.00833....,0.5292906,"Decatur"
"109", 26, 20226,"F",0.9775599,0.0025071367,0.019932978,41.39553,-84.99971,0.015266....,0.028157....,0.7127819,"De Kalb"
"110", 58, 61794,"F",0.9073327,0.0671639906,0.025503288,40.22564,-85.39821,0.009922....,0.007742....,0.5888440,"Delaware"
"111", 15, 20055,"F",0.9753995,0.0014115038,0.023188990,38.36411,-86.88130,-0.00996....,-0.02474....,0.3706873,"Dubois"
"112", 60, 91943,"F",0.8639977,0.0522509314,0.083751388,41.59645,-85.85894,0.003742....,0.031662....,0.5701880,"Elkhart"
"113", 13, 13189,"F",0.9716273,0.0167265906,0.011646084,39.64384,-85.17625,0.012898....,-0.00241....,0.5292906,"Fayette"
"114", 41, 36691,"F",0.9322678,0.0441382037,0.023594030,38.31933,-85.90309,0.003150....,-0.02552....,0.7163738,"Floyd"
"115", 16,  9046,"F",0.9870781,0.0010582600,0.011863652,40.12273,-87.24440,-0.01483....,0.005946....,0.5292906,"Fountain"
"116", 18, 11093,"F",0.9902036,0.0003160128,0.009480385,39.42215,-85.05575,0.014514....,-0.00628....,0.5292906,"Franklin"
"117", 11, 10372,"F",0.9621179,0.0076056750,0.030276437,41.04392,-86.26147,-0.00165....,0.022022....,0.5292906,"Fulton"
"118", 23, 16594,"F",0.9646154,0.0191384615,0.016246154,38.30902,-87.58046,-0.01934....,-0.02570....,0.5292906,"Gibson"
"119", 46, 38188,"F",0.8922660,0.0719452883,0.035788728,40.51565,-85.65444,0.006485....,0.012804....,0.6096531,"Grant"
"120", 29, 16852,"F",0.9859457,0.0007841481,0.013270199,39.03689,-86.96596,-0.01110....,-0.01300....,0.5292906,"Greene"
"121", 44, 92856,"F",0.9438273,0.0153551494,0.040817555,40.07148,-86.05218,0.001150....,0.005052....,0.6222829,"Hamilton"
"122", 21, 28043,"F",0.9844018,0.0013359571,0.014262245,39.82314,-85.77103,0.004921....,0.000717....,0.7451445,"Hancock"
"123", 17, 17226,"F",0.9838019,0.0036707939,0.012527312,38.19948,-86.11572,0.000298....,-0.02761....,0.5292906,"Harrison"
"124", 55, 51900,"F",0.9670583,0.0111630945,0.021778602,39.76852,-86.50923,-0.00497....,-0.00023....,0.7073416,"Hendricks"
"125", 29, 25105,"F",0.9796322,0.0085759050,0.011791869,39.93104,-85.39694,0.009939....,0.002601....,0.5292906,"Henry"
"126", 46, 43875,"F",0.8972624,0.0654747893,0.037262841,40.48150,-86.11626,0.000291....,0.012208....,0.6185908,"Howard"
"127", 29, 19538,"F",0.9815102,0.0018122127,0.016677610,40.82862,-85.49367,0.008641....,0.018266....,0.5292906,"Huntington"
"128", 20, 20949,"F",0.9613161,0.0054917140,0.033192210,38.90742,-86.04293,0.001275....,-0.01526....,0.6995350,"Jackson"
"129", 23, 15155,"F",0.9797291,0.0034617049,0.016809240,41.02525,-87.12048,-0.01317....,0.021697....,0.5292906,"Jasper"
"130", 14, 11111,"F",0.9763826,0.0025222416,0.021095111,40.43415,-85.00912,0.015140....,0.011381....,0.5292906,"Jay"
"131", 16, 16006,"F",0.9619303,0.0145402933,0.023529412,38.78552,-85.43743,0.009396....,-0.01739....,0.5292906,"Jefferson"
"132", 17, 13860,"F",0.9745228,0.0074762285,0.018001016,38.99623,-85.62819,0.006837....,-0.01371....,0.5292906,"Jennings"
"133", 54, 58782,"F",0.9703756,0.0079334080,0.021691014,39.48956,-86.09614,0.000561....,-0.00510....,0.6092640,"Johnson"
"134", 25, 19778,"F",0.9636743,0.0185449358,0.017780721,38.69097,-87.41902,-0.01718....,-0.01904....,0.5292906,"Knox"
"135", 36, 37075,"F",0.9457715,0.0060088850,0.048219615,41.24394,-85.86056,0.003721....,0.025512....,0.5269578,"Kosciusko"
"136", 11, 17228,"F",0.9673723,0.0018906299,0.030737059,41.64209,-85.42616,0.009547....,0.032458....,0.5292906,"Lagrange"
"137",271,251197,"F",0.6671771,0.2532647906,0.079558118,41.47570,-87.37870,-0.01663....,0.029556....,0.4909637,"Lake"
"138", 74, 53567,"F",0.8625506,0.1013205457,0.036128821,41.54916,-86.74500,-0.00814....,0.030837....,0.5242900,"La Porte"
"139", 29, 23541,"F",0.9792474,0.0038761378,0.016876443,38.84043,-86.48516,-0.00465....,-0.01643....,0.4464836,"Lawrence"
"140", 84, 67674,"F",0.8990237,0.0788179187,0.022158401,40.16310,-85.72061,0.005598....,0.006651....,0.5790899,"Madison"
"141",433,444456,"F",0.7048628,0.2416910143,0.053446204,39.78200,-86.13800,           0,           0,0.6140542,"Marion"
"142", 25, 22713,"F",0.9552606,0.0030136501,0.041725758,41.33134,-86.26259,-0.00167....,0.027037....,0.5292906,"Marshall"
"143",  4,  5121,"F",0.9892950,0.0015430610,0.009161925,38.71080,-86.80182,-0.00890....,-0.01869....,0.5292906,"Martin"
"144", 19, 17770,"F",0.9368660,0.0300426806,0.033091292,40.76887,-86.04829,0.001203....,0.017223....,0.5292906,"Miami"
"145", 42, 61410,"F",0.9083218,0.0299843235,0.061693886,39.16085,-86.52327,-0.00516....,-0.01084....,0.6731579,"Monroe"
"146", 24, 18855,"F",0.9677111,0.0076536714,0.024635255,40.04094,-86.89284,-0.01012....,0.004519....,0.5292906,"Montgomery"
"147", 29, 33531,"F",0.9859047,0.0007497488,0.013345529,39.48185,-86.44729,-0.00414....,-0.00523....,0.7892651,"Morgan"
"148", 11,  7327,"F",0.9732940,0.0017163257,0.024989702,40.95134,-87.40216,-0.01695....,0.020407....,0.5292906,"Newton"
"149", 22, 22965,"F",0.9398163,0.0040842788,0.056099406,41.39619,-85.41733,0.009665....,0.028169....,0.5292906,"Noble"
"150",  2,  2855,"F",0.9870176,0.0048017073,0.008180686,38.95366,-84.96787,0.015693....,-0.01445....,0.5292906,"Ohio"
"151",  9,  9817,"F",0.9789703,0.0063192790,0.014710453,38.53514,-86.49533,-0.00479....,-0.02176....,0.5292906,"Orange"
"152", 16, 10949,"F",0.9821445,0.0025245571,0.015330946,39.31185,-86.83876,-0.00939....,-0.00820....,0.5292906,"Owen"
"153", 17,  9019,"F",0.9642712,0.0214604721,0.014268314,39.77504,-87.20730,-0.01434....,-0.00012....,0.5292906,"Parke"
"154", 18,  9128,"F",0.9760834,0.0144981216,0.009418488,38.08151,-86.64369,-0.00678....,-0.02967....,0.5292906,"Perry"
"155",  5,  6423,"F",0.9910415,0.0010126977,0.007945782,38.39762,-87.23329,-0.01468....,-0.02415....,0.5292906,"Pike"
"156", 64, 74752,"F",0.9533236,0.0091554381,0.037520947,41.50839,-87.07063,-0.01250....,0.030126....,0.5859030,"Porter"
"157", 10, 13593,"F",0.9796755,0.0086471306,0.011677322,38.02409,-87.86129,-0.02311....,-0.03067....,0.5292906,"Posey"
"158", 14,  6817,"F",0.9752817,0.0092330062,0.015485278,41.03737,-86.69456,-0.00746....,0.021908....,0.5292906,"Pulaski"
"159", 12, 17292,"F",0.9486937,0.0293456231,0.021960632,39.66744,-86.84356,-0.00946....,-0.00199....,0.5292906,"Putnam"
"160", 18, 13965,"F",0.9805847,0.0025546513,0.016860699,40.14992,-85.00551,0.015188....,0.006421....,0.5292906,"Randolph"
"161", 19, 13496,"F",0.9829582,0.0004901406,0.016551672,39.10189,-85.26026,0.011772....,-0.01186....,0.5292906,"Ripley"
"162",  6,  9290,"F",0.9769454,0.0059690050,0.017085592,39.61742,-85.46894,0.008973....,-0.00287....,0.5292906,"Rush"
"163",142,137426,"F",0.8235684,0.1145583467,0.061873256,41.61760,-86.28756,-0.00200....,0.032031....,0.6767496,"St. Joseph"
"164", 17, 11563,"F",0.9864111,0.0004790941,0.013109756,38.68682,-85.74421,0.005281....,-0.01911....,0.5292906,"Scott"
"165", 17, 21940,"F",0.9725860,0.0075958108,0.019818161,39.52346,-85.79116,0.004651....,-0.00451....,0.5818961,"Shelby"
"166", 10, 10174,"F",0.9770487,0.0060320730,0.016919229,38.01058,-87.01086,-0.01170....,-0.03091....,0.5292906,"Spencer"
"167", 11, 11896,"F",0.9751656,0.0022499575,0.022584480,41.28194,-86.64756,-0.00683....,0.026175....,0.5292906,"Starke"
"168", 15, 16443,"F",0.9719094,0.0037032577,0.024387307,41.64411,-85.00049,0.015255....,0.032494....,0.5292906,"Steuben"
"169", 12, 10105,"F",0.9411062,0.0426647051,0.016229139,39.08939,-87.41412,-0.01711....,-0.01208....,0.5292906,"Sullivan"
"170",  3,  4494,"F",0.9877551,0.0023166023,0.009928296,38.82440,-85.02733,0.014895....,-0.01671....,0.5292906,"Switzerland"
"171", 60, 72532,"F",0.8885502,0.0251888154,0.086260951,40.38795,-86.89367,-0.01013....,0.010575....,0.4961066,"Tippecanoe"
"172", 10,  8472,"F",0.9834711,0.0013874646,0.015141461,40.30985,-86.05161,0.001158....,0.009212....,0.5292906,"Tipton"
"173",  1,  3705,"F",0.9869370,0.0023132399,0.010749762,39.62276,-84.92288,0.016296....,-0.00277....,0.5292906,"Union"
"174", 95, 90413,"F",0.8929573,0.0818859715,0.025156757,38.02300,-87.58353,-0.01938....,-0.03069....,0.6825652,"Vanderburgh"
"175", 20,  8611,"F",0.9839171,0.0026209197,0.013461997,39.85396,-87.46219,-0.01775....,0.001255....,0.5292906,"Vermillion"
"176", 75, 53850,"F",0.9066303,0.0603884816,0.032981256,39.42880,-87.39027,-0.01679....,-0.00616....,0.5804116,"Vigo"
"177", 23, 18003,"F",0.9738272,0.0040617849,0.022110984,40.84712,-85.79038,0.004662....,0.018588....,0.5292906,"Wabash"
"178",  4,  4152,"F",0.9908540,0.0008314527,0.008314527,40.34515,-87.35576,-0.01633....,0.009828....,0.5292906,"Warren"
"179", 27, 26649,"F",0.9746101,0.0100223355,0.015367581,38.09837,-87.27148,-0.01520....,-0.02938....,0.5292906,"Warrick"
"180", 15, 13603,"F",0.9875473,0.0013224112,0.011130294,38.59928,-86.10559,0.000434....,-0.02064....,0.5292906,"Washington"
"181", 35, 36959,"F",0.9203764,0.0510148108,0.028608802,39.86237,-85.00638,0.015176....,0.001402....,0.5183469,"Wayne"
"182", 18, 13987,"F",0.9831884,0.0016304348,0.015181159,40.72747,-85.22040,0.012306....,0.016500....,0.5292906,"Wells"
"183", 17, 12838,"F",0.9519927,0.0015830926,0.046424190,40.74760,-86.86480,-0.00974....,0.016852....,0.5292906,"White"
"184", 23, 15469,"F",0.9836519,0.0018562543,0.014491810,41.13542,-85.50394,0.008504....,0.023619....,0.5292906,"Whitley"
