"","day","month","year","hour","minute","second","latitude","longitude","depth","magnitude"
"51",19,5,1987,9,29,8,42.11,-7.74,18,2.9
"52",23,5,1987,9,15,42,42,-7.81,17,3.1
"53",25,5,1987,18,54,39,42.29,-6.77,5,2.9
"54",30,5,1987,8,3,40,42.7,-7.68,5,3.2
"55",6,7,1987,18,32,46,43.05,-8.39,8,2.9
"56",8,8,1987,17,1,36,41.81,-7.7,14,2.9
"57",16,8,1987,17,35,32,42.17,-6.8,9,2.8
"58",5,10,1987,16,45,44,42.28,-8.42,5,2.7
"59",15,11,1987,2,13,21,42.28,-8.43,5,2.6
"60",29,11,1987,18,55,20,41.47,-6.45,5,2.9
"61",12,1,1988,14,14,29,42.71,-7,1,2.9
"62",31,1,1988,15,9,15,41.21,-8.42,16,4.1
"63",29,3,1988,20,16,5,43.03,-7.16,1,3.3
"64",10,4,1988,22,40,28,42.49,-6.73,3,3.2
"65",25,4,1988,19,13,2,43.14,-8.61,23,3
"66",5,5,1988,5,39,51,42.27,-8.48,10,2.8
"67",1,7,1988,17,55,34,41.51,-6.8,1,2.7
"68",2,7,1988,0,20,45,42.07,-7.23,2,3.1
"69",15,7,1988,16,57,9,42.28,-6.76,3,2.6
"70",7,9,1988,9,5,17,42.4,-7.88,7,2.9
"71",8,10,1988,7,40,27,43.05,-7.29,5,3.2
"72",12,10,1988,11,5,22,42.34,-8.06,3,3
"73",16,11,1988,15,20,52,42.2,-6.67,4,2.9
"74",7,12,1988,4,41,50,43,-9.1,3,3.1
"75",11,12,1988,5,13,49,42.12,-7.75,5,3
"76",11,12,1988,11,23,17,42.14,-7.75,3,2.8
"77",11,12,1988,14,24,52,42.16,-7.75,4,2.7
"78",12,12,1988,2,38,1,42.16,-7.75,4,2.8
"79",12,12,1988,3,33,46,42.15,-7.74,2,2.7
"80",12,12,1988,12,14,40,42.15,-7.75,5,3.2
"81",12,12,1988,17,29,33,42.3,-6.87,3,2.7
"82",22,12,1988,18,13,47,42.23,-7.4,16,2.7
"83",30,12,1988,16,41,38,42.14,-7.75,2,3.2
"84",30,12,1988,19,20,53,42.14,-7.75,NA,2.9
"85",30,12,1988,20,55,4,42.17,-7.75,NA,2.8
"86",30,12,1988,23,3,23,42.16,-7.74,NA,2.6
"87",2,1,1989,1,53,38,42.15,-7.75,NA,2.1
"88",9,2,1989,10,19,20,42.38,-8.57,NA,3.1
"89",15,3,1989,15,27,24,42.45,-8.14,5,2.2
"90",7,6,1989,2,47,50,43.92,-6.52,30,2.8
"91",10,6,1989,7,15,8,42.15,-7.78,10,3.2
"92",11,6,1989,13,8,53,42.17,-7.78,10,2.6
"93",5,7,1989,7,57,55,43.35,-8.18,5,2.5
"94",22,7,1989,11,25,38,42.9,-8.46,8,2.4
"95",27,8,1989,12,6,1,42.11,-6.84,NA,2.9
"96",29,8,1989,4,31,30,42.09,-7.53,8,2.9
"97",30,8,1989,11,43,25,42.11,-7.52,13,3.8
"98",2,10,1989,16,43,23,42.31,-6.86,NA,2.7
"99",3,10,1989,18,2,43,42.44,-8.12,NA,2.6
"100",26,10,1989,3,14,53,43.76,-6.12,NA,3.4
"101",30,11,1989,16,51,17,42.29,-6.87,NA,2.8
"102",2,12,1989,6,9,11,42.72,-7.69,10,2.8
"103",22,12,1989,9,10,52,42.73,-7.68,13,3
"104",11,4,1990,0,2,30,41.96,-8.05,11,3.1
"105",11,4,1990,10,30,45,42.33,-7.14,NA,2.4
"106",21,4,1990,9,47,50,41.93,-7.53,10,2.6
"107",4,5,1990,12,18,27,42.36,-6.76,10,2.9
"108",14,5,1990,11,1,0,42.33,-6.8,1,2.6
"109",17,5,1990,18,50,18,42.33,-7.14,10,2.5
"110",18,5,1990,23,40,30,42.87,-8.71,10,2.9
"111",23,6,1990,14,49,30,42.24,-7.46,NA,2.9
"112",25,6,1990,1,19,59,42.11,-6.79,4,2.6
"113",26,7,1990,7,19,13,42.37,-8.54,9,3.1
"114",29,7,1990,0,34,21,42.38,-8.66,22,2.7
"115",14,8,1990,12,37,44,42.08,-8.44,3,2.9
"116",2,9,1990,1,26,57,42.37,-7.44,10,2.9
"117",6,10,1990,5,18,30,42.84,-7.49,NA,2.9
"118",31,10,1990,5,11,16,42.82,-7.48,NA,2.7
"119",10,11,1990,1,52,35,42.24,-6.86,NA,2.9
"120",22,11,1990,4,33,14,42.27,-7.6,16,3.6
"121",17,1,1991,16,24,9,42.58,-8.32,NA,2.5
"122",19,2,1991,8,12,19,42.78,-7.29,3,3.1
"123",9,3,1991,14,2,37,43,-6.17,10,2.9
"124",17,3,1991,14,12,57,42.84,-7.43,12,2.8
"125",27,3,1991,11,46,13,42.12,-8.15,4,2.6
"126",9,4,1991,18,29,17,43.06,-8.1,5,2.7
"127",4,5,1991,11,23,28,42.65,-8.61,NA,2.4
"128",4,5,1991,19,20,9,42.97,-8.47,3,3.3
"129",9,5,1991,12,42,10,41.89,-7.61,2,2.8
"130",17,5,1991,6,57,0,41.63,-7.07,4,3.1
"131",31,5,1991,10,43,53,42.19,-8.06,5,2.9
"132",13,6,1991,1,1,17,42.16,-6.65,2,3.1
"133",5,7,1991,5,3,0,41.99,-8.27,17,2.9
"134",3,8,1991,7,12,15,42.44,-8.61,4,2.9
"135",13,8,1991,9,52,22,41.81,-8.47,3,2.6
"136",25,8,1991,10,28,46,42.04,-8.15,13,2.8
"137",27,8,1991,6,5,59,42.51,-8.56,10,2.9
"138",25,9,1991,23,37,23,43.07,-7.24,13,3.2
"139",24,10,1991,1,43,1,43.09,-6.68,8,2.8
"140",1,11,1991,16,28,59,42.37,-7.86,13,3
"141",16,11,1991,3,42,28,41.46,-6.12,5,2.8
"142",15,12,1991,23,34,9,42.07,-8.16,9,3.4
"143",22,12,1991,22,15,32,42.11,-8.13,3,2.4
"144",10,1,1992,8,32,13,42.5,-8.11,19,2.9
"145",25,2,1992,13,21,53,42.62,-8.47,3,3.4
"146",1,3,1992,2,14,52,42.31,-7.74,4,2.9
"147",14,3,1992,15,14,20,42.98,-9.52,NA,3.2
"148",14,3,1992,16,0,49,42.93,-9.44,NA,3.2
"149",14,4,1992,6,42,2,43.02,-6.99,4,2.7
"150",16,4,1992,7,27,54,42.14,-8.13,2,2.6
"151",29,4,1992,18,41,46,42.82,-7.48,NA,3
"152",15,5,1992,11,33,4,43.97,-7.96,NA,3.2
"153",16,5,1992,15,45,18,42.52,-6.71,2,2.8
"154",11,6,1992,7,1,14,42.29,-7.83,5,3.5
"155",12,6,1992,5,13,8,42.2,-7.82,9,2.9
"156",15,6,1992,8,43,59,42.28,-8.44,2,2.4
"157",22,6,1992,16,12,23,42.55,-9.93,5,3.7
"158",28,6,1992,17,3,8,43.16,-9.6,NA,3.4
"159",29,6,1992,0,2,31,42.49,-8.18,17,2.7
"160",6,7,1992,19,34,23,42.41,-8.33,3,2.9
"161",19,7,1992,3,58,13,42.44,-6.75,5,2.9
"162",26,7,1992,11,5,55,41.25,-6.97,16,3
"163",31,7,1992,15,31,48,41.21,-7.85,7,3
"164",3,8,1992,23,18,48,42.48,-8.96,3,2.8
"165",7,8,1992,12,49,10,42.01,-8.04,23,2.4
"166",8,8,1992,23,45,16,43.89,-8.32,NA,3.2
"167",14,8,1992,15,27,38,42.25,-8.38,4,3
"168",21,8,1992,10,20,49,42.33,-6.87,3,2.7
"169",1,9,1992,18,59,8,42.28,-8.64,28,2.9
"170",9,10,1992,10,12,31,42.33,-7.87,9,3.5
"171",25,10,1992,23,15,25,41.45,-6.97,17,4
"172",1,11,1992,16,14,56,42.92,-8.53,9,3
"173",8,11,1992,0,12,45,42.93,-8.55,10,2.7
"174",8,11,1992,15,5,49,43.41,-7.6,NA,2.4
"175",14,11,1992,4,52,40,43.46,-9.42,NA,2.8
"176",10,12,1992,23,56,45,41.26,-7.53,2,3.2
"177",12,12,1992,21,53,19,42.07,-7.26,12,2.4
"178",14,12,1992,12,18,35,42.38,-8.59,13,2.8
"179",29,12,1992,1,6,0,42.49,-9.06,NA,2.8
"180",7,1,1993,23,17,56,42.47,-8.11,9,3
"181",8,1,1993,19,30,17,42.01,-7.26,4,2.9
"182",14,1,1993,1,48,0,42.22,-8.05,6,2.9
"183",9,2,1993,23,38,43,42.15,-8.14,9,2.7
"184",27,2,1993,13,41,16,41.13,-6.16,12,2.8
"185",3,3,1993,11,49,41,42.47,-8.89,3,2.9
"186",20,3,1993,23,51,53,41.25,-7.51,10,3.2
"187",2,4,1993,1,50,37,43.32,-9.16,NA,2.8
"188",18,4,1993,1,46,37,42.08,-7.32,3,2.4
"189",16,6,1993,1,56,46,41.75,-7.49,5,2.8
"190",3,8,1993,19,34,31,43.28,-8.84,13,3
"191",11,8,1993,6,11,15,41.14,-7.83,8,3.5
"192",24,8,1993,17,21,44,42.43,-9.22,1,2.9
"193",3,9,1993,8,34,38,41.13,-7.92,13,2.9
"194",22,9,1993,14,2,57,42.5,-7.83,3,3.1
"195",12,11,1993,9,21,48,42.08,-7.67,4,2.3
"196",12,11,1993,9,28,5,42.09,-7.73,5,3.3
"197",12,11,1993,15,57,18,42.5,-6.93,4,2.4
"198",16,11,1993,17,1,12,42.63,-7.8,5,2.5
"199",24,11,1993,20,37,31,41.15,-7.86,9,3.6
"200",25,11,1993,14,59,2,42.73,-9.13,9,2.6
"201",28,11,1993,5,56,53,42.44,-8.09,NA,2.8
"202",12,12,1993,18,30,38,41.45,-8.41,3,2.8
"203",13,12,1993,23,36,21,43.05,-9.48,NA,3.2
"204",20,12,1993,4,31,2,41.23,-7.5,16,2.9
"205",14,1,1994,16,38,20,41.2,-7.74,3,2.8
"206",15,1,1994,17,56,29,42.88,-9.03,NA,2.9
"207",24,1,1994,8,23,0,43.19,-6.51,15,3
"208",7,3,1994,17,54,16,41.02,-8.15,5,3.1
"209",26,3,1994,18,22,52,42.69,-7.67,19,3
"210",27,3,1994,3,47,37,42.68,-7.68,NA,2.8
"211",28,3,1994,14,41,21,42.06,-7.97,3,2.7
"212",7,4,1994,0,10,25,43.11,-7.51,3,3.5
"213",12,4,1994,10,30,19,42.71,-7.69,9,2.8
"214",15,4,1994,6,54,12,43.36,-7.49,15,3.5
"215",15,4,1994,13,26,19,43.64,-7.39,30,4.1
"216",15,4,1994,20,39,8,43.43,-7.39,17,2.7
"217",18,4,1994,11,38,41,41.71,-7.52,2,2.8
"218",19,4,1994,2,53,25,43.39,-7.36,16,2.8
"219",19,4,1994,21,6,39,43.52,-7.27,26,3.3
"220",8,5,1994,20,18,1,43.01,-7.12,5,2.7
"221",13,5,1994,17,0,15,41.39,-6.79,4,3
"222",14,5,1994,23,19,57,42.54,-8.58,4,3.3
"223",22,5,1994,3,8,10,43.57,-7.28,22,3.1
"224",27,5,1994,19,42,1,43.58,-7.51,26,3.3
"225",16,6,1994,19,55,40,43.49,-6.66,4,3.3
"226",23,6,1994,12,33,28,42.68,-7.27,NA,2.8
"227",26,6,1994,19,27,54,43.89,-6.37,NA,3.2
"228",10,7,1994,7,23,37,42.2,-7.56,14,3.5
"229",19,7,1994,15,38,58,41.5,-6.83,4,2.7
"230",23,7,1994,4,48,35,42.47,-8.21,19,2.8
"231",7,8,1994,0,47,46,42.91,-7.37,14,3.2
"232",7,8,1994,6,57,41,43.36,-7.44,13,3.2
"233",16,8,1994,17,22,7,42.43,-8.08,4,3
"234",29,8,1994,3,30,16,41.16,-7.85,2,2.8
"235",10,9,1994,20,37,39,41.2,-7.83,4,2.7
"236",11,10,1994,17,41,24,42.28,-6.84,3,2.5
"237",13,10,1994,16,45,16,42.76,-7,9,2.5
"238",20,10,1994,6,1,30,41.14,-7.82,2,3.4
"239",20,10,1994,17,56,30,41.49,-6.74,3,2.8
"240",21,11,1994,23,45,3,43.34,-7.05,2,3.1
"241",29,11,1994,22,43,10,42.29,-7.87,9,3.2
"242",4,12,1994,6,38,59,43.4,-7.43,15,3.1
"243",8,12,1994,11,46,18,42.35,-9.22,5,2.5
"244",11,12,1994,6,30,32,42.26,-8.41,4,2.7
"245",15,12,1994,4,38,10,42.13,-7.92,13,2.9
"246",18,12,1994,6,32,34,41.69,-7.44,4,3.4
"247",2,1,1995,0,6,40,42.68,-7.27,11,2.8
"248",28,1,1995,13,17,53,43.05,-6.8,NA,3.1
"249",28,1,1995,13,32,14,43.06,-6.75,6,3.4
"250",8,2,1995,18,56,53,42.89,-7.28,NA,2.4
"251",24,3,1995,4,32,31,42.79,-7.03,2,2.8
"252",24,3,1995,18,40,58,42.19,-8.14,16,2.3
"253",25,3,1995,16,20,45,41.69,-7.47,2,2.8
"254",27,4,1995,2,8,5,42.1,-8.12,9,3.2
"255",29,4,1995,17,40,31,42.19,-7.27,5,2.9
"256",12,7,1995,17,19,14,43.92,-7.29,7,3.1
"257",1,8,1995,5,34,9,41.19,-8.6,NA,2.8
"258",2,8,1995,20,5,35,41.68,-7.46,7,2.8
"259",3,8,1995,1,51,31,42.34,-8.83,2,2.7
"260",5,8,1995,2,16,27,43.07,-8.76,12,2.9
"261",8,8,1995,18,37,24,42.95,-7.33,NA,3
"262",15,8,1995,19,6,46,42.75,-7,2,3.2
"263",18,8,1995,9,6,31,41.57,-6.72,8,2.7
"264",25,8,1995,19,51,55,42.22,-7.93,3,3.2
"265",8,9,1995,21,30,15,42.91,-7.14,NA,2.9
"266",13,9,1995,3,1,42,42.01,-7.85,2,3.1
"267",13,9,1995,22,6,30,42.22,-7.97,11,2.8
"268",29,9,1995,13,39,45,42.19,-8.08,9,3.5
"269",2,10,1995,1,18,26,42.15,-8.2,3,2.7
"270",5,10,1995,6,39,36,42.14,-7.54,9,2.9
"271",13,10,1995,16,2,50,42.37,-6.81,NA,3.1
"272",21,10,1995,5,41,44,42.94,-7.12,22,2.8
"273",26,10,1995,3,6,59,42.7,-7.68,4,3.3
"274",26,10,1995,3,8,18,42.71,-7.66,8,3.2
"275",26,10,1995,3,9,54,42.66,-7.62,NA,2.5
"276",26,10,1995,3,10,22,42.69,-7.66,NA,2
"277",10,11,1995,17,24,30,42.28,-8.4,2,3.1
"278",16,11,1995,19,36,57,42.17,-8.22,21,2.4
"279",22,11,1995,23,10,29,42.12,-7.53,9,3.5
"280",29,11,1995,23,56,28,42.81,-7.3,9,4.6
"281",30,11,1995,0,1,40,42.79,-7.24,9,3.5
"282",30,11,1995,0,2,22,42.8,-7.25,12,3.6
"283",30,11,1995,0,3,29,42.83,-7.23,7,3.5
"284",30,11,1995,0,9,26,42.88,-7.34,28,3.6
"285",30,11,1995,0,21,31,42.81,-7.22,13,3.6
"286",30,11,1995,0,23,30,42.77,-7.22,9,3.3
"287",30,11,1995,0,25,35,42.83,-7.24,4,3.3
"288",30,11,1995,0,29,48,42.75,-7.45,6,3.1
"289",30,11,1995,0,32,19,42.77,-7.25,9,2.8
"290",30,11,1995,0,36,47,42.81,-7.22,NA,2.6
"291",30,11,1995,0,59,35,42.81,-7.23,9,2.8
"292",30,11,1995,1,0,31,42.82,-7.24,5,2.7
"293",30,11,1995,1,3,3,42.82,-7.2,12,3.6
"294",30,11,1995,1,11,55,42.82,-7.21,9,2.8
"295",30,11,1995,1,32,30,42.81,-7.25,15,3.6
"296",30,11,1995,1,44,57,42.79,-7.22,6,3.3
"297",30,11,1995,1,45,39,42.83,-7.23,13,3.8
"298",30,11,1995,2,20,34,42.81,-7.3,9,3.9
"299",30,11,1995,2,34,36,42.76,-7.3,2,3.3
"300",30,11,1995,2,45,6,42.8,-7.3,5,3.6
"301",30,11,1995,3,47,42,42.8,-7.23,4,2.8
"302",30,11,1995,4,23,58,42.79,-7.28,6,3.6
"303",30,11,1995,5,23,38,42.79,-7.21,NA,2.6
"304",30,11,1995,8,59,19,42.8,-7.28,3,3
"305",30,11,1995,15,49,18,42.79,-7.29,6,3.7
"306",30,11,1995,15,51,45,42.82,-7.25,9,3.2
"307",30,11,1995,16,1,31,42.82,-7.36,14,2.8
"308",30,11,1995,18,16,48,42.78,-7.21,NA,2.4
"309",30,11,1995,18,36,16,42.79,-7.29,4,3.2
"310",30,11,1995,19,27,4,42.81,-7.23,7,2.8
"311",30,11,1995,22,16,55,42.81,-7.28,5,3.3
"312",30,11,1995,22,22,48,42.81,-7.26,NA,3.3
"313",1,12,1995,0,1,8,42.83,-7.25,5,2.9
"314",1,12,1995,5,35,40,42.81,-7.29,2,3.1
"315",1,12,1995,5,46,24,42.81,-7.28,4,2.7
"316",1,12,1995,5,47,39,42.83,-7.21,15,3
"317",1,12,1995,5,49,0,42.8,-7.26,11,3.1
"318",1,12,1995,5,52,49,42.78,-7.31,5,3.4
"319",1,12,1995,6,5,55,42.82,-7.25,9,2.7
"320",1,12,1995,6,12,57,42.79,-7.23,7,2.1
"321",1,12,1995,7,20,1,42.82,-7.21,10,3.6
"322",1,12,1995,8,6,4,42.81,-7.25,5,3
"323",1,12,1995,8,52,1,42.82,-7.21,15,2.5
"324",1,12,1995,9,52,11,42.82,-7.22,13,3.3
"325",1,12,1995,10,4,8,42.82,-7.21,14,3.1
"326",1,12,1995,13,27,0,42.81,-7.28,5,2.9
"327",1,12,1995,14,7,10,42.8,-7.24,8,2.2
"328",2,12,1995,0,23,35,42.82,-7.25,2,3
"329",2,12,1995,2,54,34,42.8,-7.29,4,3.1
"330",2,12,1995,3,28,13,42.78,-7.25,9,2.8
"331",2,12,1995,6,28,35,42.81,-7.21,12,2.6
"332",2,12,1995,20,23,10,42.83,-7.23,9,2.3
"333",2,12,1995,22,17,27,42.81,-7.22,NA,2.2
"334",3,12,1995,10,18,7,42.82,-7.2,9,2.7
"335",3,12,1995,16,27,25,42.82,-7.28,9,2.5
"336",5,12,1995,0,50,25,42.82,-7.21,8,2.2
"337",6,12,1995,4,48,44,42.82,-7.27,7,2.7
"338",7,12,1995,15,56,58,42.81,-7.2,NA,2.8
"339",8,12,1995,10,15,51,42.8,-7.24,9,2.2
"340",8,12,1995,10,18,52,42.8,-7.23,4,3.1
"341",8,12,1995,10,46,19,42.8,-7.27,4,2.5
"342",8,12,1995,10,47,38,42.79,-7.22,NA,2.9
"343",8,12,1995,14,10,43,42.82,-7.21,7,3.3
"344",8,12,1995,23,9,10,42.83,-7.22,4,2.8
"345",9,12,1995,2,4,43,42.84,-7.23,NA,2.5
"346",11,12,1995,7,54,18,42.8,-7.27,5,2.8
"347",11,12,1995,7,56,19,42.81,-7.2,5,3.2
"348",14,12,1995,8,15,55,42.82,-7.23,9,3.1
"349",14,12,1995,8,27,3,42.81,-7.22,13,3
"350",14,12,1995,8,29,3,42.78,-7.25,16,2.5
"351",17,12,1995,11,26,42,42.81,-7.23,14,2.9
"352",18,12,1995,0,33,2,42.77,-7.28,NA,2.7
"353",18,12,1995,0,33,57,42.79,-7.3,9,2.7
"354",18,12,1995,0,37,35,42.81,-7.26,9,2.8
"355",18,12,1995,4,4,55,42.81,-7.21,15,2.9
"356",20,12,1995,9,28,46,42.84,-7.27,5,3.5
"357",20,12,1995,9,31,0,42.82,-7.26,3,2.5
"358",20,12,1995,9,32,30,42.83,-7.25,9,2.5
"359",22,12,1995,17,58,13,42.8,-7.25,7,3.6
"360",24,12,1995,11,13,32,42.8,-7.31,3,3.2
"361",24,12,1995,11,13,57,42.78,-7.24,9,3.3
"362",24,12,1995,11,28,23,42.83,-7.24,9,3.8
"363",24,12,1995,11,31,34,42.8,-7.18,NA,2.5
"364",24,12,1995,11,39,50,42.73,-7.24,NA,2.7
"365",24,12,1995,11,43,3,42.83,-7.26,5,2.9
"366",24,12,1995,11,49,45,42.83,-7.2,NA,2.7
"367",24,12,1995,11,50,10,42.79,-7.23,NA,2.7
"368",24,12,1995,11,57,48,42.82,-7.24,11,3
"369",24,12,1995,12,9,55,42.82,-7.25,7,3.1
"370",24,12,1995,12,27,19,42.82,-7.22,9,2.7
"371",24,12,1995,12,28,31,42.83,-7.26,5,3.1
"372",24,12,1995,14,29,21,42.86,-7.31,15,4.6
"373",24,12,1995,14,35,59,42.82,-7.21,9,2.7
"374",24,12,1995,14,42,16,42.81,-7.28,11,2.6
"375",24,12,1995,14,43,51,42.83,-7.22,13,2.9
"376",24,12,1995,14,48,59,42.8,-7.24,11,3.1
"377",24,12,1995,15,2,1,42.79,-7.27,5,3.3
"378",24,12,1995,15,9,38,42.79,-7.18,11,3.1
"379",24,12,1995,15,10,54,42.8,-7.21,16,3.2
"380",24,12,1995,15,42,57,42.79,-7.26,11,3.1
"381",24,12,1995,15,49,42,42.84,-7.22,11,3.7
"382",24,12,1995,16,15,45,42.83,-7.21,13,3
"383",24,12,1995,16,25,14,42.81,-7.21,13,3.5
"384",24,12,1995,16,56,16,42.82,-7.22,13,3.2
"385",24,12,1995,17,7,44,42.85,-7.21,13,3.5
"386",24,12,1995,18,9,10,42.8,-7.25,7,3.2
"387",24,12,1995,18,19,53,42.83,-7.25,9,4
"388",24,12,1995,18,37,46,42.81,-7.19,13,3.3
"389",24,12,1995,19,21,4,42.81,-7.22,9,3.2
"390",24,12,1995,19,32,30,42.81,-7.28,11,3
"391",24,12,1995,20,4,30,42.75,-7.29,9,3.1
"392",25,12,1995,13,14,18,42.81,-7.28,5,3.2
"393",25,12,1995,22,20,47,42.82,-7.21,15,2.7
"394",26,12,1995,2,59,15,42.82,-7.19,NA,2.5
"395",29,12,1995,19,32,29,42.82,-7.26,6,2.8
"396",31,12,1995,15,26,26,42.82,-7.24,NA,3
"397",31,12,1995,16,9,14,42.83,-7.24,9,2.9
"398",2,1,1996,5,10,36,42.8,-7.22,8,2.9
"399",5,1,1996,16,39,16,42.82,-7.21,9,2.5
"400",5,1,1996,18,54,24,42.84,-7.19,5,2.4
"401",8,1,1996,11,37,18,42.74,-7.3,3,2.6
"402",8,1,1996,12,5,32,42.71,-7.34,9,2.6
"403",9,1,1996,16,54,55,42.82,-7.24,3,3.1
"404",10,1,1996,5,21,22,42.79,-7.26,3,3.1
"405",12,1,1996,12,4,59,42.83,-7.21,9,2.5
"406",12,1,1996,12,26,59,42.83,-7.22,2,2.7
"407",14,1,1996,5,11,58,42.8,-7.21,5,2.2
"408",14,1,1996,5,14,42,42.75,-7.25,9,2.2
"409",16,1,1996,4,4,11,42.79,-7.24,NA,2.7
"410",16,1,1996,4,6,31,42.8,-7.24,4,2.5
"411",18,1,1996,2,53,34,42.82,-7.24,11,3.2
"412",18,1,1996,2,54,25,42.8,-7.25,9,2.5
"413",18,1,1996,19,38,50,42.8,-7.22,9,2.6
"414",18,1,1996,19,39,50,42.79,-7.22,10,2.3
"415",21,1,1996,8,34,50,42.82,-7.26,9,2.8
"416",21,1,1996,8,36,13,42.85,-7.2,9,2.7
"417",25,1,1996,14,41,5,42.82,-7.21,5,2.8
"418",25,1,1996,14,47,0,42.83,-7.22,9,3
"419",25,1,1996,17,10,30,42.83,-7.2,NA,2.7
"420",25,1,1996,17,10,54,42.83,-7.23,6,2.7
"421",26,1,1996,22,54,45,42.83,-7.23,2,3.2
"422",27,1,1996,1,36,10,42.82,-7.21,9,2.8
"423",28,1,1996,23,7,33,42.8,-7.24,4,2.7
"424",28,1,1996,23,52,33,42.82,-7.2,12,2.7
"425",29,1,1996,14,44,10,42.78,-7.25,9,2.5
"426",3,2,1996,2,34,21,42.82,-7.24,7,3.1
"427",8,2,1996,16,40,42,42.25,-7.72,NA,3
"428",12,2,1996,19,42,4,42.81,-7.31,NA,2.9
"429",12,2,1996,19,46,9,42.79,-7.24,4,3
"430",12,2,1996,19,48,50,42.8,-7.23,9,2.5
"431",12,2,1996,20,33,10,42.81,-7.22,12,2.8
"432",13,2,1996,4,8,29,42.81,-7.17,9,2.5
"433",13,2,1996,4,10,30,42.79,-7.2,NA,2.5
"434",19,2,1996,8,11,34,43.39,-7.3,21,2.9
"435",19,2,1996,12,43,50,42.8,-7.26,4,2.9
"436",19,2,1996,12,46,13,42.8,-7.23,8,2.9
"437",26,2,1996,19,48,47,42.2,-8.06,9,2.6
"438",27,2,1996,18,22,57,41.2,-7.85,7,2.9
"439",2,3,1996,4,28,33,41.67,-7.29,2,3.1
"440",3,3,1996,8,13,37,42.77,-7.31,3,2.9
"441",4,3,1996,12,54,24,41.17,-7.84,2,2.8
"442",10,3,1996,5,52,48,43.69,-8.45,32,3.7
"443",27,3,1996,16,27,2,43.36,-7.19,NA,2.8
"444",27,3,1996,16,30,31,43.28,-7.28,4,3
"445",28,3,1996,21,29,26,41.06,-7.2,3,3.3
"446",29,3,1996,15,35,27,42.8,-7.88,NA,2.9
"447",29,3,1996,21,27,50,42.79,-7.27,3,2.9
"448",29,3,1996,21,28,25,42.8,-7.25,NA,2.9
"449",29,3,1996,21,34,10,42.83,-7.22,11,3
