"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Si","Sr","Th","Tl","U","V","Zn"
"11",11,489804.2,7652008,0.021,77.5,0.111,1.41,13,0.002,2450,0.063,0.22,0.25,4.81,79,0.06,5010,1260,426,0.056,53.5,2.65,1490,1.68,7.74,775,0.016,131,4.34,0.004,0.024,0.002,0.66,35.3
"12",12,718237.1,7623814,0.068,647,0.316,1.49,15.1,0.018,2070,0.105,1.23,0.69,22,215,0.073,3940,960,535,0.123,71.3,22.9,1300,2.92,13,866,0.061,303,10.4,0.012,0.019,0.007,2.72,41.7
"13",13,427279.8,7487776,0.023,154,0.121,0.91,20.1,0.008,2440,0.1,0.22,0.75,4.88,202,0.052,3790,903,590,0.082,30,1.57,1270,3.1,11.8,755,0.033,199,4.79,0.021,0.038,0.008,1.36,29.4
"14",16,597300,7699300,0.038,184,0.336,0.25,9.4,0.017,1800,0.138,1.39,1.07,22.5,392,0.064,4550,907,267,0.063,63.2,33.7,995,2.95,23.5,863,0.038,189,6.4,0.012,0.028,0.005,1.4,27.8
"15",17,667085.1,7683133,0.047,147,0.41,2.14,19.5,0.011,2610,0.095,2.19,1.72,38.9,554,0.085,4690,1220,479,0.088,284,66.8,1430,2.28,8.28,993,0.053,219,8.57,0.014,0.019,0.006,1.85,36.1
"16",18,594611.3,7550950,0.034,116,0.149,0.81,22.9,0.01,2820,0.089,0.25,0.38,5.46,133,0.087,3820,887,492,0.065,31.3,3.61,1110,2.66,13,759,0.033,160,10.3,0.013,0.019,0.006,1.27,33.8
"17",19,514744,7584686,0.041,213,0.153,0.25,18.7,0.009,2460,0.111,0.31,0.53,4.62,212,0.078,4010,779,729,0.058,46.1,2.96,805,4.15,21.2,745,0.037,199,9.26,0.022,0.06,0.006,1.37,34.7
"18",20,710132.7,7566825,0.039,100,0.119,1.11,17.3,0.012,2420,0.153,0.4,0.5,9.35,148,0.042,5430,1120,698,0.104,345,7.01,1740,1.94,18.8,879,0.064,120,9.71,0.007,0.014,0.004,1.19,55.3
"19",21,439900,7647000,0.031,239,0.167,1.92,28.9,0.005,3040,0.106,0.25,0.46,4.06,142,0.065,3250,982,406,0.053,27.9,2.7,1100,4.01,10.3,893,0.055,161,9.88,0.009,0.012,0.006,1.06,39.3
"20",22,734135.1,7667800,0.049,223,0.169,2,19.9,0.015,2410,0.124,0.67,0.93,12.3,278,0.049,4870,1210,411,0.093,121,12.8,1600,2.8,11.7,972,0.056,226,17,0.022,0.01,0.007,6.07,36.9
"21",23,787098.1,7496088,0.091,806,0.403,2.29,25.1,0.028,2740,0.156,1.61,0.97,37.1,585,0.068,4760,981,385,0.205,75.8,33,1520,3.96,15.1,981,0.051,365,39.9,0.035,0.038,0.029,5.61,33.5
"22",24,624400,7538200,0.073,219,0.142,0.25,22.8,0.037,2770,0.117,0.45,0.67,8.56,229,0.039,6650,1200,743,0.104,50.8,6.82,1720,3.22,33.1,1030,0.049,220,13.1,0.02,0.048,0.008,2.36,39.9
"23",25,627700,7481300,0.031,148,0.132,1.28,16.5,0.002,2450,0.103,0.27,0.55,5.82,172,0.048,4450,1170,400,0.11,39.3,3.83,1330,2.15,8.82,908,0.02,169,10.5,0.014,0.016,0.007,1.29,36.7
"24",26,386646.3,7541803,0.021,123,0.124,1.63,15.4,0.01,2250,0.093,0.34,0.53,5.07,141,0.053,4060,892,309,0.082,33.3,2.35,1350,3.05,19.7,739,0.029,136,7.29,0.011,0.047,0.008,1.3,31.9
"25",27,713891.9,7739709,0.048,190,0.193,1.33,22,0.012,2500,0.083,0.78,0.88,15.2,303,0.072,5330,1390,220,0.053,242,18.8,1420,4.56,6.12,799,0.054,169,11.8,0.019,0.016,0.01,2.56,25.2
"26",28,579500,7654700,0.035,144,0.197,0.65,11.2,0.002,2050,0.075,0.41,0.53,8.3,191,0.038,4260,1030,491,0.049,75.8,7.81,1260,2.22,13.2,831,0.032,131,4.3,0.011,0.029,0.002,0.97,24.5
"27",31,729574.9,7461953,0.131,1330,0.519,1.61,22.4,0.108,2410,0.252,1.41,1.55,28,1580,0.054,4680,901,509,0.259,83.6,26.3,1600,29.4,23.3,1060,0.229,318,13.9,0.025,0.159,0.025,23.5,51.6
"28",34,454318.7,7582986,0.02,138,0.111,1.04,12.7,0.002,2290,0.066,0.19,0.5,5.93,151,0.043,4030,1220,427,0.105,38.4,1.95,1460,2.46,16.2,804,0.023,126,4.24,0.009,0.025,0.011,1.02,50.2
"29",35,768134.4,7543219,0.142,450,0.412,1.92,18.3,0.029,2360,0.212,2.23,0.9,49.5,614,0.072,4670,1000,322,0.237,80.7,47.8,1230,2.85,11.8,947,0.049,241,92.9,0.002,0.044,0.031,3.6,29.2
"30",36,487156,7769501,0.021,291,0.119,1.92,35.1,0.002,4410,0.06,1.02,0.45,5.25,323,0.06,3940,1300,191,0.084,42.8,3.59,1110,2.56,4.71,864,0.025,223,25,0.006,0.015,0.01,1.18,28.5
"31",37,677976.1,7636659,0.039,128,0.177,1.47,17.4,0.002,3110,0.079,0.62,0.65,11.9,192,0.048,4800,953,396,0.069,65.3,13.7,1500,2.1,10.9,979,0.022,124,9.14,0.006,0.017,0.01,1.36,29.1
"32",38,439124.9,7533557,0.057,115,0.084,0.25,16.4,0.002,2180,0.087,0.26,0.43,9.1,128,0.038,3390,1010,723,0.059,22.5,1.31,1120,3.16,23.6,695,0.032,108,4.53,0.009,0.018,0.007,0.91,40.2
"33",40,458010,7741700,0.015,141,0.073,0.94,21.1,0.009,2700,0.083,0.31,5.94,4.09,118,0.046,4450,1190,412,0.115,45.2,6.22,1050,2.91,11.5,793,0.03,91.5,10.1,0.017,0.012,0.002,0.89,35.8
"34",41,520241.7,7555798,0.023,208,0.13,1.2,19.3,0.002,2480,0.068,0.25,0.66,5.33,200,0.058,3870,926,501,0.065,29.1,2.52,1060,3.44,11.9,850,0.022,194,6.12,0.002,0.043,0.013,1.51,32.7
"35",42,586431,7745130,0.06,116,0.223,1.25,22.9,0.002,3010,0.072,0.52,0.6,10.4,212,0.066,3650,1140,217,0.065,82,12,903,3.19,11.4,891,0.04,110,11.1,0.013,0.016,0.009,1.25,25.8
"36",43,655691.5,7673270,0.04,125,0.554,1.76,16.3,0.005,2450,0.111,2.01,1.27,33.9,424,0.055,4620,1240,348,0.065,107,56.5,1480,2.86,8.66,1110,0.047,161,8.3,0.002,0.021,0.008,1.7,32.9
"37",46,512345,7724028,0.014,101,0.11,0.96,20.5,0.002,2100,0.051,0.27,0.38,5.76,63.6,0.045,3850,1200,423,0.039,91.8,3.37,1330,1.66,10.1,870,0.019,77.3,8.98,0.002,0.009,0.006,0.66,32.5
"38",47,600600,7816920,0.028,781,0.227,3.04,24.8,0.002,2530,0.065,0.46,1.17,6.99,607,0.081,3650,1290,547,0.073,109,5.21,1280,3.13,4.42,905,0.131,560,10.5,0.106,0.019,0.03,1.96,30.3
"39",48,486255.6,7631866,0.026,126,0.161,1.78,18.8,0.002,2930,0.072,0.26,0.43,6.34,121,0.049,4320,1290,657,0.072,79.7,3.62,1190,2.12,12.2,1010,0.033,135,7.35,0.004,0.035,0.009,1.03,46.3
"40",49,418233.4,7570741,0.026,149,0.101,0.93,19,0.015,2790,0.1,0.22,0.6,3.86,124,0.063,4770,1010,296,0.033,76,1.91,1220,5.1,17.5,834,0.034,148,11.8,0.019,0.031,0.005,1.09,51.2
"41",50,586800,7672750,0.036,148,0.265,0.25,14.8,0.002,1880,0.073,0.63,0.57,11.1,202,0.049,4650,1150,426,0.054,69,14.2,1280,2.08,13.9,961,0.041,168,6.25,0.002,0.031,0.005,0.92,31.4
"42",51,461915.6,7416106,0.026,198,0.16,0.97,15,0.004,2390,0.09,0.24,1.21,5.35,179,0.053,3980,765,948,0.128,50.5,1.74,1320,5.7,18.3,901,0.051,189,3.7,0.012,0.072,0.015,2.13,34.1
"43",52,383147.8,7571441,0.02,95,0.067,0.68,12.2,0.002,2240,0.044,0.12,0.36,4.45,96,0.056,3870,1070,544,0.064,55.5,1.23,1450,2.38,12.3,777,0.019,114,4.95,0.002,0.025,0.007,0.99,24.2
"44",53,532336.8,7509817,0.022,122,0.112,1.17,14.6,0.02,2740,0.069,0.18,0.47,3.99,106,0.058,3280,888,406,0.066,54,1.8,777,2.98,14,778,0.033,311,5.12,0.021,0.042,0.008,0.89,54.3
"45",54,618500,7709600,0.062,196,0.763,0.74,10,0.032,2350,0.178,4.18,2.67,75,973,0.052,5780,1260,435,0.065,92.7,113,1360,3.83,11.7,1190,0.045,281,4.87,0.028,0.032,0.012,1.88,33.7
"46",55,764320.9,7535909,0.152,433,0.285,0.99,39.2,0.059,3290,0.298,1.62,0.86,43.8,370,0.035,6780,1110,408,0.293,378,34.1,1300,4.04,14.2,1050,0.058,235,382,0.048,0.032,0.028,3.37,50.1
"47",56,701379.3,7636841,0.052,131,0.144,0.58,23.9,0.021,2250,0.102,0.57,0.53,11.3,160,0.032,4810,1130,465,0.127,119,11.3,1500,2.07,14.2,888,0.024,153,8.91,0.015,0.023,0.006,1.28,35.1
"48",57,615100,7688900,0.065,164,1.07,0.73,14.3,0.06,2270,0.254,3.99,2.67,71.4,786,0.039,5540,1000,495,0.087,254,112,1220,5.19,13.8,1170,0.214,225,6.56,0.019,0.034,0.009,1.72,35.4
"49",58,627200,7822400,0.044,251,0.22,2.17,24,0.026,3320,0.097,0.38,0.72,8.73,309,0.088,4810,1720,419,0.069,197,7.42,1480,7.28,2.91,928,0.07,264,15.6,0.03,0.017,0.02,2.19,46.5
"50",61,440300,7841200,0.019,330,0.12,4.28,18.1,0.015,2810,0.03,0.29,0.63,3.98,489,0.123,3930,1660,185,0.084,248,1.7,1250,2.37,7.37,851,0.031,290,16.4,0.102,0.028,0.052,1.4,17.8
"51",62,793977.9,7662610,0.045,190,0.133,1.19,31.1,0.031,2780,0.09,0.7,0.68,14,264,0.04,5030,1330,277,0.082,86.5,14.4,1360,3.41,5.85,1010,0.047,210,10.7,0.031,0.01,0.013,2.86,29.2
"52",63,612200,7546100,0.03,313,0.161,0.93,12.9,0.024,2070,0.082,0.38,1.15,7.14,368,0.054,3900,1180,545,0.079,78.1,4.79,1430,2.75,16.3,894,0.027,299,8.77,0.047,0.04,0.016,1.81,32.7
"53",64,553150,7749550,0.05,108,0.116,0.67,33.9,0.017,3230,0.105,0.42,0.43,7.22,177,0.042,4590,1270,421,0.069,61.8,6.61,1440,3.49,5.57,939,0.023,274,10.6,0.015,0.01,0.008,0.99,30.5
"54",66,694049,7403132,0.039,231,0.103,0.58,14.5,0.029,2700,0.098,0.39,0.61,7.65,212,0.04,3760,714,660,0.074,66.3,4.93,872,4.3,18.2,785,0.064,213,6.01,0.025,0.035,0.011,1.68,29
"55",67,684311.1,7624313,0.077,211,0.175,0.6,14.5,0.02,2090,0.113,0.62,0.58,11.5,157,0.04,4250,1070,428,0.06,199,11.8,1310,1.94,12.7,887,0.041,144,7.09,0.009,0.025,0.007,1.13,31.4
"56",69,784063.4,7540748,0.169,532,0.398,0.95,24.8,0.084,2280,0.281,1.9,0.97,46.9,541,0.074,4360,918,353,0.285,170,46.1,1490,3.56,10.6,974,0.068,292,72.9,0.081,0.031,0.029,4.09,28.8
"57",70,573370,7458088,0.028,173,0.117,0.61,17.2,0.023,2650,0.097,0.24,0.51,4.81,148,0.05,4070,1070,557,0.078,54.5,2.27,1290,3.34,22,855,0.034,181,5.27,0.022,0.076,0.008,1.22,61.4
"58",72,666136.6,7730581,0.043,166,0.343,1.03,7.37,0.014,1940,0.121,3.65,3.05,49.1,912,0.048,5760,1720,137,0.059,403,99,1270,2.23,8.55,1140,0.026,260,10.7,0.021,0.014,0.008,1.82,28.3
"59",73,717990.4,7610921,0.108,163,0.24,1.45,17.4,0.027,2570,0.168,1.4,0.58,28,218,0.061,4410,1080,362,0.144,75.8,30.1,1500,2.93,12.4,920,0.041,179,10.2,0.02,0.021,0.01,2.8,36.4
"60",76,482866,7828738,0.023,182,0.037,1.79,36.7,0.007,3700,0.043,0.19,0.36,3.67,88.5,0.024,5560,2260,89.2,0.068,139,1.89,1370,2.33,8.07,772,0.028,223,36,0.015,0.011,0.039,0.61,17.5
"61",79,595850,7750545,0.039,121,0.183,0.81,14,0.018,2270,0.078,0.5,0.65,10.1,240,0.033,4260,1100,596,0.055,107,12.6,980,3.26,8.84,920,0.03,176,6.89,0.014,0.013,0.005,1.12,35.6
"62",80,587100,7624700,0.014,110,0.181,1.32,22.7,0.015,2870,0.085,0.37,0.43,7.62,158,0.037,4680,1100,479,0.077,399,6.01,1340,1.98,5.26,903,0.083,228,11.4,0.013,0.022,0.002,0.85,37.5
"63",81,414535,7416905,0.015,149,0.157,1.19,32.2,0.024,2560,0.112,0.18,1.13,4.63,153,0.05,4050,858,504,0.124,57.8,1.5,1260,5.01,14.2,842,0.049,170,9.46,0.02,0.109,0.011,1.66,50
"64",82,740646.3,7678294,0.052,333,0.29,2.78,17.6,0.022,2820,0.098,0.94,1.7,22.8,546,0.046,4080,1290,197,0.162,281,24.6,1510,4.72,6.61,995,0.079,276,24.4,0.045,0.02,0.019,14.3,31.3
"65",83,470112.2,7625768,0.018,105,0.167,1.25,12.9,0.011,2310,0.063,0.22,0.38,5.65,104,0.048,3900,990,658,0.06,54,2.33,1120,2.55,14,854,0.027,129,3.93,0.012,0.057,0.002,1,26.7
"66",84,618100,7459100,0.023,311,0.118,1.34,11.5,0.014,2390,0.106,0.31,0.46,6.08,139,0.032,4010,1100,756,0.076,56.8,3.12,1460,2.63,15.2,839,0.038,200,6.18,0.022,0.016,0.006,1.21,56.5
"67",85,594061.5,7393515,0.016,144,0.139,0.25,11.7,0.007,2510,0.058,0.18,0.44,4.92,143,0.044,3680,765,505,0.075,43.7,1.79,1020,3.14,18.6,781,0.038,169,3.55,0.019,0.036,0.009,1.26,17.7
"68",87,765245.6,7697102,0.038,161,0.21,3.25,10.6,0.018,2150,0.129,0.83,0.96,16.1,307,0.045,4450,1530,182,0.111,370,17,1590,2.89,4.25,1010,0.052,190,16.6,0.014,0.012,0.013,10.1,38.1
"69",88,752213.3,7654692,0.066,204,0.192,1.37,17,0.032,2350,0.198,0.75,2.47,15.9,349,0.038,5030,1130,316,0.137,265,14.9,1460,4.61,10.1,919,0.082,247,15.4,0.025,0.018,0.008,10.4,33
"70",91,723587.7,7394925,0.026,125,0.149,1.06,19.3,0.016,2340,0.089,0.38,0.33,8.03,154,0.065,4120,1110,472,0.087,68,4.8,1320,2.61,22.9,880,0.025,143,7.39,0.002,0.176,0.005,1.35,29.1
"71",92,405138.8,7421903,0.005,139,0.1,0.96,19.3,0.012,2430,0.069,0.14,0.86,4.2,166,0.042,3340,837,832,0.089,41.4,1.15,1140,3.53,17.4,723,0.037,198,4.26,0.079,0.037,0.009,1.41,32.7
"72",93,575650,7772350,0.005,135,0.155,1.77,13.7,0.011,2480,0.084,0.42,0.46,7.06,213,0.058,4030,1600,308,0.067,90.4,5.41,1590,1.87,8.87,872,0.02,179,11.4,0.022,0.017,0.007,1.15,33.4
"73",94,660935.4,7477412,0.037,155,0.199,1.3,15.9,0.025,2770,0.077,0.55,2.02,9.26,305,0.081,4300,1010,539,0.104,46.3,6.95,1330,2.71,15,937,0.043,188,8.5,0.028,0.015,0.007,2.41,33.9
"74",95,6e+05,7580400,0.019,80.7,0.113,0.25,20.3,0.012,2330,0.116,0.32,0.37,5.62,103,0.035,5950,964,646,0.053,39.7,4.9,937,3.54,23,876,0.023,122,11.6,0.01,0.057,0.002,1.4,48.7
"75",96,776025,7550490,0.144,339,0.611,3.47,25,0.09,3450,0.28,2.24,2.18,49.6,661,0.04,4100,1140,567,0.333,110,49.8,1470,2.76,4.32,1180,0.07,453,119,0.054,0.018,0.028,3.54,41.8
"76",97,747621.5,7664599,0.164,804,0.243,2.65,43.9,0.105,3090,0.562,1.4,4.56,22.4,1700,0.155,6570,1180,375,0.243,161,30.5,1790,28.1,16.2,1290,0.623,476,29.9,0.086,0.041,0.033,83.8,62.5
"77",99,494003.4,7713732,0.013,288,0.118,0.65,25.5,0.006,2100,0.047,0.35,0.34,4.82,291,0.028,3710,800,119,0.047,57.6,3.3,1220,3.37,5.61,782,0.021,83.6,14.7,0.005,0.013,0.004,1.28,46.7
"78",100,824458.8,7672844,0.047,199,0.218,2.93,19.5,0.015,2540,0.08,0.55,0.63,12.5,209,0.055,3220,1220,181,0.113,162,11.9,1000,2.78,3.88,815,0.042,226,14.2,0.021,0.016,0.01,2.34,21.2
"79",102,582916.1,7715032,0.034,132,0.388,2.11,14.3,0.02,2710,0.081,0.87,0.8,16,290,0.049,3270,1110,640,0.084,57.2,22.1,952,2.39,16.6,788,0.04,185,6.71,0.021,0.052,0.015,1.19,49.1
"80",103,766615.8,7470871,0.087,429,0.375,1.37,18.8,0.04,2800,0.159,0.93,0.74,20.3,415,0.062,4120,1030,258,0.167,36.7,18.3,1400,5.58,7.25,981,0.065,292,15.8,0.045,0.046,0.025,4.52,30.4
"81",106,476609.6,7591683,0.016,75.6,0.091,0.84,15.4,0.009,2120,0.067,0.2,0.35,3.7,68.3,0.031,3780,801,447,0.046,32.4,1.32,824,2.16,14.2,606,0.028,171,8.63,0.008,0.02,0.002,0.72,21.3
"82",107,713396.9,7642441,0.057,103,0.209,3,20.1,0.021,3680,0.103,0.58,0.5,12.7,204,0.048,5280,1150,234,0.156,155,12.5,1500,1.87,8.06,1010,0.043,341,35.8,0.016,0.018,0.006,1.74,27.1
"83",108,772549.5,7504027,0.137,4300,0.724,5.68,45.7,0.043,5680,0.266,3.01,2.05,52.2,4710,0.042,6280,1130,208,0.374,918,49.5,2590,3.57,14.3,1030,0.061,753,170,0.384,0.035,0.177,12.7,30.5
"84",109,581616.6,7503319,0.018,124,0.143,0.52,12.9,0.015,2070,0.074,0.32,0.47,4.47,118,0.041,3490,870,490,0.07,10.3,2.45,1000,2.82,20.3,706,0.03,169,7.11,0.013,0.022,0.008,1.13,44
"85",110,606700,7599500,0.031,115,0.181,3.38,24.6,0.013,3340,0.11,0.24,0.3,6.49,115,0.059,5100,1470,633,0.058,37.8,4.22,1610,1.64,10.3,921,0.039,165,13.1,0.025,0.014,0.006,0.83,58.9
"86",111,707771.5,7446271,0.075,302,0.334,3.1,42.8,0.05,3430,0.11,0.72,0.5,14.2,222,0.05,4260,979,748,0.146,28.6,9.53,1470,4.53,10,996,0.061,210,15,0.019,0.04,0.013,2.89,37
"87",113,798727.6,7617209,0.089,249,0.216,1.34,29.8,0.031,2700,0.141,1.32,0.55,22.3,299,0.035,6040,1330,300,0.108,50,27.9,1550,3.76,13.9,932,0.048,226,16.2,0.034,0.015,0.018,2.72,40.4
"88",114,524989.8,7721779,0.031,134,0.138,0.83,25,0.012,2600,0.081,0.37,0.48,7.52,167,0.035,4610,1170,218,0.058,46.2,7.4,1400,4.18,7.91,826,0.036,85.8,10.5,0.012,0.013,0.007,1.6,64.4
"89",115,552778.4,7492724,0.024,211,0.141,0.95,15.1,0.013,2540,0.084,0.21,0.81,4.79,201,0.044,3610,883,745,0.101,16.2,2.26,1140,3.76,18.8,808,0.046,172,6.05,0.049,0.046,0.016,1.66,43.1
"90",116,533486.3,7674648,0.018,152,0.183,1.65,18.4,0.009,2670,0.062,0.28,0.44,6.35,160,0.036,3600,1210,361,0.064,40.4,4.7,1250,1.95,9.91,855,0.028,75.3,6.71,0.021,0.02,0.005,0.92,27.9
"91",117,391630,7705420,0.019,99.2,0.093,1.74,22.2,0.002,3150,0.062,0.21,0.33,3.79,96,0.059,4350,1180,531,0.058,40.6,1.54,1210,2,16.3,945,0.033,79.7,7.26,0.008,0.01,0.004,0.53,32
"92",118,512429,7781904,0.025,253,0.109,0.58,25,0.008,2340,0.084,0.28,0.45,5.19,249,0.053,5760,1620,273,0.045,76.2,3.48,1660,3.25,11.1,940,0.032,114,15.7,0.017,0.009,0.011,1.32,36.2
"93",121,552020,7800220,0.025,204,0.146,1.36,22.4,0.008,2660,0.053,0.27,0.44,7.35,126,0.073,4120,1050,835,0.051,54.6,5.19,1470,2.54,3.62,977,0.028,74,9.99,0.011,0.018,0.006,1.02,21.4
"94",122,612200,7445700,0.027,137,0.121,1.19,16.1,0.009,2450,0.093,0.22,0.39,7.26,127,0.043,5570,1050,749,0.075,71.3,3.08,1730,2.73,14.7,1040,0.023,55.1,5.06,0.015,0.036,0.006,1.21,37.6
"95",123,378649.7,7398563,0.024,146,0.152,0.52,19.1,0.016,2340,0.094,0.15,0.97,4.36,141,0.045,4180,649,680,0.147,32.2,1.44,1160,5.4,22.8,874,0.047,131,7.27,0.004,0.057,0.01,2.13,38.1
"96",124,425130.6,7503439,0.034,186,0.098,1.73,26.2,0.002,2910,0.098,0.17,0.59,4.17,166,0.049,3610,1110,796,0.064,17.2,1.3,1270,2.06,10.3,858,0.028,216,5.08,0.02,0.015,0.006,0.88,40.8
"97",125,606500,7413900,0.029,543,0.116,3.14,30.4,0.008,3500,0.095,0.83,2.67,5.91,707,0.04,4510,1470,331,0.056,52.6,2.46,1360,1.49,18.6,886,0.017,354,13.8,0.137,0.011,0.021,2.44,45.3
"98",126,517200,7870300,0.015,136,0.129,1.93,14.1,0.002,2470,0.046,0.18,0.39,3.65,128,0.069,3730,1590,184,0.075,231,1.23,1420,1.88,4.77,796,0.026,67.2,19,0.017,0.014,0.045,0.74,17.4
"99",127,575619.1,7430200,0.026,403,0.21,1.07,16.4,0.019,2660,0.099,0.38,2.01,6,446,0.058,3240,944,556,0.094,33.1,2.83,1050,3.72,8.64,848,0.042,296,3.26,0.039,0.032,0.017,2.04,24.5
"100",128,499550.2,7455989,0.022,193,0.127,0.98,19.7,0.011,2530,0.061,0.2,0.81,4.24,166,0.053,2940,810,670,0.08,24.6,1.62,970,2.96,14.4,786,0.044,98.7,4.15,0.019,0.117,0.007,1.25,31.4
"101",129,488654.6,7568042,0.028,153,0.154,0.57,24.2,0.007,2430,0.1,0.21,0.52,5.9,150,0.077,3030,1040,351,0.092,19.2,2.43,1230,3.03,9.97,809,0.036,71.7,6.47,0.022,0.019,0.006,1.26,30.7
"102",130,504348.2,7422253,0.03,213,0.22,0.81,16.3,0.033,2030,0.123,0.29,0.89,6.38,200,0.094,3810,836,636,0.12,38.5,3.02,1290,4.77,15.8,847,0.034,186,6.47,0.019,0.043,0.008,2.28,42.9
"103",131,529138.1,7480479,0.026,160,0.125,1.18,22.7,0.006,2660,0.093,0.19,0.66,4.26,145,0.06,3560,903,671,0.081,25.9,1.53,1080,2.82,12,838,0.041,85.4,3.91,0.028,0.035,0.01,1.23,54.5
"104",132,700215.7,7721372,0.038,190,0.314,4.71,9.32,0.011,2070,0.081,1.31,1.25,26.1,430,0.07,4630,1700,170,0.077,339,34.8,1270,2.73,6.55,1030,0.105,143,13.5,0.019,0.016,0.012,2.49,48.3
"105",133,733584.8,7640599,0.061,225,0.189,0.63,14.5,0.016,1840,0.179,0.91,0.86,14.4,255,0.054,4660,1080,428,0.123,96.4,16.6,1420,2.82,8.25,926,0.053,105,11.5,0.013,0.01,0.006,6.16,37.8
"106",136,737280.8,7530663,0.824,957,2.38,1.54,43.5,0.544,6080,1.23,13,3.26,197,656,0.046,4650,979,101,1.08,508,396,611,8.27,12.3,1030,0.187,207,58,0.019,0.012,0.015,4.17,24.3
"107",137,625742.9,7712132,0.128,251,3.42,5.84,18.4,0.039,3900,0.363,8.84,6.4,148,2080,0.057,7310,1360,179,0.221,316,208,1040,5.66,6.86,1780,0.073,341,15.4,0.026,0.045,0.012,2.1,42.6
"108",138,716292.6,7657001,0.046,145,0.244,1.06,16.2,0.023,2340,0.112,0.9,0.63,15.2,201,0.045,3710,982,255,0.091,83.9,18.9,1150,2.14,11.3,831,0.045,95,15.9,0.013,0.02,0.011,2.29,19.5
"109",139,590363.1,7470833,0.024,115,0.145,0.97,25.7,0.013,2290,0.082,0.14,0.31,4.9,102,0.043,3710,820,772,0.066,5,1.71,1140,2.65,12.8,777,0.046,55.9,3.71,0.01,0.024,0.007,1.06,23.6
"110",140,604000,7647100,0.031,150,0.283,1.49,18.3,0.017,2580,0.087,0.65,0.83,12.3,243,0.073,4110,1080,348,0.053,164,14.5,1390,2.17,8.63,958,0.402,103,8.99,0.031,0.024,0.009,1.17,41.4
"111",141,676703.2,7690611,0.063,244,0.392,1.27,19.8,0.019,2500,0.106,3.06,2.72,56,951,0.043,5550,1140,555,0.053,79.1,91.2,1220,3.07,10.6,1090,0.038,197,7.51,0.032,0.013,0.012,2.71,34.6
"112",142,657618.8,7580698,0.03,113,0.181,0.66,16.8,0.023,2260,0.084,0.31,0.47,9.45,145,0.051,3390,791,515,0.083,309,6.05,783,2.7,4.31,725,0.156,58.3,6.51,0.012,0.017,0.007,1.61,22.8
"113",143,827897.2,7565739,0.059,410,0.224,1.22,15,0.016,2220,0.085,0.59,0.34,12.6,128,0.072,5250,1150,407,0.142,117,10.9,1200,1.69,18.3,846,0.043,159,33.8,0.17,0.022,0.036,1.73,36.9
