"","ID","CNo","XCOO","YCOO","SiO2_B","TiO2_B","Al2O3_B","Fe2O3_B","MnO_B","MgO_B","CaO_B","Na2O_B","K2O_B","P2O5_B","SO3_B","Cl_B","F_B","LOI_B","As_B","Ba_B","Bi_B","Ce_B","Co_B","Cr_B","Cs_B","Cu_B","Ga_B","Hf_B","La_B","Mo_B","Nb_B","Ni_B","Pb_B","Rb_B","Sb_B","Sc_B","Sn_B","Sr_B","Ta_B","Th_B","U_B","V_B","W_B","Y_B","Zn_B","Zr_B"
"36",5039,2,331767,6671938,62.73,0.683,15.22,6.25,0.077,2.09,1.71,2.05,2.95,0.131,0.005,0.016,0.01,5.76,7,602,1.5,79,12,82,7,22,20,7,61,1,11,33,13,148,5,16,3,148,2.5,20,7,95,1.5,27,95,180
"37",5040,77,618153,7078018,3.04,0.051,1.16,0.27,0.004,0.13,0.71,0.19,0.11,0.117,0.27,0.007,0.01,93.82,1,122,1.5,15,1.5,5,2.5,5,1.5,2.5,15,1,3,1.5,5,9,2.5,4,1,52,2.5,8,1.5,9,1.5,1.5,1.5,4
"38",5041,10,240983,6113361,78,0.475,9.1,3.53,0.06,0.89,0.51,0.68,2.47,0.104,0.005,0.014,0.01,3.85,7,383,1.5,60,4,51,2.5,5,9,2.5,30,2,11,10,12,118,2.5,7,1,59,2.5,19,1.5,54,1.5,15,44,230
"39",5042,17,-359105.2,7118336.2,62.32,0.871,11.13,5.46,0.088,1.09,1.63,1.69,1.08,0.29,0.005,0.013,0.01,14.09,7,218,1.5,15,4,88,2.5,5,15,2.5,15,1,10,13,15,81,2.5,13,3,117,2.5,13,4,113,6,9,47,178
"40",5043,75,-100751.1,7317418.3,71.39,0.783,11.64,4.68,0.094,2.08,2.11,2.44,1.45,0.155,0.005,0.015,0.021,2.87,6,352,1.5,82,12,78,2.5,18,13,6,51,1,10,28,8,82,6,12,1,214,2.5,15,6,76,11,20,56,169
"41",5044,101,458280,7807600,84.6,0.253,6.24,2.7,0.032,0.84,0.96,0.78,0.83,0.039,0.005,0.018,0.134,2.43,1,204,1.5,15,4,48,2.5,5,4,2.5,15,1,5,1.5,2,59,2.5,9,1,64,2.5,9,1.5,46,1.5,5,27,119
"42",5045,53,424130,6973610,74.2,0.48,11.95,2.6,0.048,0.8,2.34,3.13,2.47,0.136,0.005,0.018,0.01,1.53,3,575,1.5,44,8,32,2.5,5,12,6,15,1,10,1.5,10,90,2.5,11,1,235,2.5,8,5,40,1.5,15,28,252
"43",5046,58,-569191.6,6911430.4,57.51,1.242,15.67,7.84,0.187,2.66,3.71,2.84,2.18,0.422,0.005,0.021,0.083,5.25,6,969,1.5,83,18,61,2.5,5,19,2.5,50,8,22,32,10,93,2.5,17,6,301,2.5,10,5,148,5,31,110,299
"44",5047,116,-677149.6,6649664.9,62.96,0.814,12.92,5.3,0.086,0.87,2.24,2.88,2.79,0.41,0.005,0.014,0.02,8.33,2,742,1.5,62,7,33,2.5,55,18,2.5,15,3,12,1.5,31,121,2.5,8,1,283,2.5,14,4,76,5,14,63,233
"45",5048,121,131429.5,7678465.1,60.41,0.983,13.69,7.93,0.182,3.05,5.07,1.8,1.2,0.194,0.005,0.001,0.075,5.2,1,311,1.5,40,10,82,2.5,5,14,2.5,15,8,20,18,20,73,2.5,20,5,174,5,7,1.5,120,6,33,79,208
"46",5049,19,580768,6774393,68.47,0.56,14.01,4.37,0.053,1.33,1.93,2.64,2.55,0.129,0.005,0.017,0.01,3.63,5,594,1.5,76,4,50,2.5,13,19,9,37,1,11,9,11,126,2.5,14,2,201,2.5,18,6,72,6,19,63,266
"47",5050,69,674430,7022540,74.93,0.305,12.13,2.22,0.037,0.81,2.14,3.27,1.78,0.076,0.005,0.018,0.037,2,1,493,1.5,15,7,34,2.5,5,13,2.5,15,1,4,8,10,68,2.5,8,3,215,2.5,13,3,31,1.5,7,23,138
"48",5051,9,514974.6,6365652.3,88.29,0.155,4.84,1.08,0.038,0.3,1.1,0.79,1.5,0.064,0.005,0.017,0.01,1.56,1,254,1.5,33,1.5,5,2.5,5,1.5,2.5,43,1,3,1.5,9,77,2.5,4,1,56,2.5,17,1.5,17,5,9,12,138
"49",5052,13,205217,6168848,58.85,0.804,15.57,6.02,0.092,1.84,2.36,0.67,3.21,0.096,0.005,0.012,0.04,10.1,10,520,5,88,16,88,2.5,5,22,5,62,2,16,30,21,147,2.5,17,1,72,2.5,18,4,99,1.5,28,87,194
"50",5053,132,410336,7570168,65.88,0.505,14.5,4.57,0.061,2.35,3.36,3.86,1.94,0.139,0.005,0.023,0.063,2.43,1,733,1.5,43,7,97,2.5,12,17,6,34,3,8,35,7,108,2.5,14,1,344,2.5,13,4,80,1.5,1.5,43,104
"51",5054,28,-422917.6,6820445.2,74.2,0.285,11.33,2.09,0.082,0.39,1.08,2.41,2.55,0.125,0.005,0.018,0.028,5.12,3,507,1.5,64,1.5,18,2.5,5,13,2.5,34,1,9,1.5,16,145,2.5,5,1,142,2.5,16,5,31,1.5,7,44,119
"52",5055,1,369158,6280472.8,88.87,0.231,5.39,0.81,0.023,0.1,0.41,0.72,1.89,0.067,0.005,0.012,0.03,1.2,1,351,1.5,15,1.5,14,2.5,5,4,2.5,15,1,4,1.5,6,76,2.5,3,1,60,2.5,14,1.5,2.5,1.5,3,11,254
"53",5056,230,-419182.8,6927265.8,58.75,0.593,16.15,6,0.097,3.28,5.32,3.51,1.56,0.189,0.005,0.005,0.024,4.19,1,880,1.5,36,19,100,2.5,11,16,2.5,40,1,5,28,6,56,2.5,19,1,783,2.5,2.5,5,116,6,11,56,87
"54",5057,22,309050,6092426,73.02,0.534,11.06,4.39,0.074,1.2,0.64,0.52,2.69,0.085,0.005,0.009,0.01,5.47,5,383,1.5,86,11,63,2.5,16,13,2.5,40,1,8,25,12,128,2.5,11,1,57,2.5,19,6,62,1.5,19,53,246
"55",5058,59,724360,6973810,71.72,0.457,13.45,2.94,0.047,0.93,2.77,3.6,1.62,0.097,0.005,0.013,0.01,2.07,6,577,1.5,56,7,45,2.5,5,14,9,28,1,4,8,17,89,2.5,10,1,329,2.5,10,1.5,56,9,6,28,228
"56",5059,4,-310012.8,6891680.6,86.7,0.307,6.09,1.22,0.015,0.2,0.15,0.71,2.5,0.066,0.005,0.019,0.01,1.76,1,464,1.5,15,1.5,8,2.5,5,4,5,30,1,9,1.5,10,98,2.5,4,1,43,2.5,13,1.5,2.5,1.5,1.5,10,214
"57",5060,8,-285724.7,7094991.9,59.43,0.932,12.61,5.94,0.119,2.21,2.38,2.34,1.46,0.361,0.005,0.012,0.043,11.87,1,295,1.5,44,17,93,2.5,13,14,2.5,27,1,11,30,16,82,2.5,14,2,153,2.5,14,4,102,1.5,17,86,171
"58",5061,51,325270,6973310,72.29,0.49,12.57,3.1,0.052,1.02,2.06,3.02,2.09,0.122,0.005,0.018,0.01,2.87,1,511,1.5,68,6,35,2.5,5,11,2.5,50,1,8,9,13,85,2.5,12,2,188,2.5,14,4,52,5,16,39,255
"59",5062,136,307977,7604854,73.04,0.312,12.92,2.62,0.037,1.12,2.03,3.73,2.52,0.07,0.005,0.028,0.069,1.21,1,705,1.5,29,7,54,2.5,5,12,2.5,41,1,3,6,6,108,2.5,7,1,266,2.5,8,1.5,51,3,1.5,16,76
"60",5063,3,434943.9,6567251.7,75.82,0.501,10.69,3.3,0.052,0.59,0.53,0.87,2.97,0.111,0.005,0.017,0.01,4.22,5,483,1.5,87,5,32,2.5,5,12,5,49,1,10,6,17,133,2.5,8,2,74,2.5,20,5,35,5,22,43,319
"61",5064,9,472408.4,6502828.7,79.11,0.313,8.95,2.35,0.056,0.56,1.37,1.35,2.44,0.102,0.005,0.004,0.01,3.11,4,382,1.5,57,4,23,2.5,5,10,2.5,34,1,8,1.5,13,99,2.5,6,1,99,2.5,13,5,34,1.5,17,30,237
"62",5065,125,-680232.5,6868083,51.65,0.887,15.8,8.5,0.15,5.04,7.54,2.3,0.71,0.457,0.005,0.009,0.027,6.63,4,252,1.5,15,25,237,2.5,19,18,7,15,5,8,62,6,66,2.5,31,1,274,2.5,7,5,172,7,11,77,105
"63",5066,6,-296193.8,6979069.3,89.06,0.272,5.14,0.57,0.011,0.12,0.25,0.63,2.26,0.032,0.005,0.02,0.082,1.31,1,408,1.5,15,1.5,8,6,5,6,2.5,15,1,5,1.5,7,98,2.5,3,2,46,2.5,17,1.5,6,5,1.5,7,139
"64",5067,9,-245761.2,7156253.7,61.65,1.13,13.22,7.3,0.147,2.8,2.23,2.2,1.44,0.316,0.005,0.014,0.056,7.23,12,254,1.5,45,22,95,2.5,29,15,2.5,79,5,14,36,18,76,2.5,19,1,126,2.5,12,1.5,124,4,18,115,162
"65",5068,9,347032,6076044,76.46,0.285,6.45,1.99,0.043,1.69,3.87,0.59,1.99,0.071,0.005,0.014,0.01,6.27,1,302,1.5,38,5,23,2.5,5,5,2.5,30,1,8,4,11,85,2.5,6,1,68,2.5,15,5,24,1.5,13,22,172
"66",5069,133,479608,7587860,51.83,0.502,12.53,4.68,0.055,1.6,1.8,1.55,1.29,0.127,0.005,0.026,0.01,23.77,1,478,1.5,40,7,91,2.5,5,15,2.5,62,1,5,27,13,69,2.5,17,1,115,2.5,14,3,82,3,12,48,109
"67",5070,47,-563779.4,6756623.4,76.76,0.998,7.78,4.61,0.05,1.16,1.43,1.31,1.67,0.139,0.005,0.014,0.01,3.77,4,358,1.5,75,12,20,2.5,5,8,2.5,32,1,7,5,9,84,2.5,9,1,82,2.5,10,5,56,12,26,39,257
"68",5071,57,-547617.9,6959023.7,66.07,0.869,13.56,3.25,0.05,0.6,2.05,3.19,2.96,0.195,0.005,0.017,0.01,6.69,2,1227,1.5,116,1.5,20,2.5,5,20,9,55,1,15,1.5,32,105,2.5,8,2,480,2.5,10,4,56,1.5,22,42,443
"69",5072,12,428642.5,6405344.5,84.87,0.301,5.84,1.88,0.035,0.57,1.14,0.41,1.92,0.071,0.005,0.006,0.03,2.65,1,271,1.5,27,1.5,26,2.5,5,3,2.5,60,1,7,1.5,10,71,2.5,6,1,48,2.5,13,1.5,20,1.5,17,20,203
"70",5074,48,-535986.3,6781061.9,63.03,1.122,12.87,6.98,0.119,2.43,3.01,2.18,1.86,0.185,0.005,0.023,0.067,5.82,5,391,1.5,151,25,34,2.5,23,12,2.5,44,5,9,26,27,102,2.5,15,4,137,7,13,4,99,9,29,112,174
"71",5075,77,-127169,7354091.9,74.67,0.7,9.68,3.89,0.094,1.13,2.19,2.15,0.92,0.107,0.005,0.015,0.043,4.19,12,192,1.5,42,10,90,2.5,5,11,2.5,76,1,5,12,10,78,6,11,1,151,2.5,9,1.5,58,1.5,12,40,113
"72",5076,126,425330,7520588,68.76,0.668,13.05,4.96,0.071,2.09,3.06,3.38,1.62,0.065,0.005,0.022,0.01,1.94,7,497,1.5,25,16,82,2.5,14,14,2.5,58,1,2,26,5,68,2.5,17,1,231,2.5,8,1.5,106,1.5,13,39,122
"73",5078,15,-156072.8,7264253,63.42,0.993,13.09,5.56,0.093,2.64,1.95,2.28,1.25,0.13,0.005,0.018,0.01,8.27,4,261,1.5,15,11,182,2.5,5,18,11,36,1,12,39,9,89,2.5,18,2,105,2.5,11,4,120,6,16,60,195
"74",5079,49,-520128.5,6852115.6,68.58,0.737,13.75,4.36,0.083,1.03,1.74,3.2,3.9,0.164,0.005,0.017,0.066,1.95,3,1016,1.5,114,7,13,10,14,17,8,146,5,9,1.5,23,172,2.5,11,4,137,2.5,19,7,61,6,42,86,367
"75",5080,19,-336086.5,7011499.8,68.27,0.65,13.08,4.51,0.09,1.83,1.37,1.67,2.98,0.15,0.005,0.006,0.01,5.09,1,519,1.5,63,12,61,2.5,15,16,6,60,3,11,18,14,147,2.5,13,1,90,5,16,6,86,3,19,78,172
"76",5081,69,-620539.1,6900712.7,54.19,1.001,18.84,8.42,0.244,2.49,0.45,1.36,3.65,0.647,0.005,0.019,0.035,8.23,10,588,1.5,113,12,89,8,28,25,2.5,102,12,21,26,31,221,2.5,19,1,81,2.5,23,6,161,5,28,163,202
"77",5082,16,-304009.2,7205816.9,61.83,0.841,14.12,6,0.101,2.73,2.43,2.31,1.85,0.193,0.005,0.017,0.01,7.25,3,378,1.5,92,15,110,6,15,15,2.5,45,4,14,34,13,101,2.5,17,1,156,2.5,12,5,136,1.5,22,78,182
"78",5083,111,-121135.4,7414727.8,64.74,0.714,11.71,6.41,0.191,2.14,3.46,1.86,0.79,0.129,0.005,0.01,0.01,7.64,3,204,1.5,15,7,55,2.5,5,10,2.5,41,1,13,1.5,9,48,6,20,3,179,2.5,7,4,85,7,43,48,159
"79",5084,66,-673906.6,6739980.7,61.02,0.775,12.28,4.39,0.041,0.78,1.54,2.75,2.89,0.176,0.005,0.014,0.01,12.98,3,645,1.5,37,1.5,31,2.5,5,23,2.5,94,4,14,10,27,135,2.5,8,2,289,2.5,13,8,68,1.5,13,39,287
"80",5085,85,383547,7178127,79.53,0.231,10.17,1.51,0.025,0.47,1.56,2.82,2.19,0.061,0.005,0.023,0.057,1.07,1,555,1.5,15,1.5,19,2.5,5,9,2.5,45,1,5,1.5,8,79,2.5,7,1,187,2.5,9,4,26,1.5,6,8,104
"81",5086,78,383747,7122850,4.13,0.046,1.59,1.89,0.034,0.3,1.12,0.17,0.12,0.198,0.28,0.005,0.01,89.96,1,97,1.5,48,1.5,10,2.5,18,1.5,2.5,27,1,4,1.5,6,12,2.5,4,1,68,2.5,9,4,19,1.5,12,1.5,8
"82",5087,292,476509,7217612,10.55,0.09,2.5,1.24,0.014,0.12,0.69,0.5,0.36,0.25,0.06,0.009,0.01,83.46,3,128,1.5,26,1.5,9,2.5,5,1.5,2.5,15,1,3,1.5,2,19,2.5,4,1,44,2.5,9,1.5,15,1.5,1.5,1.5,27
"83",5088,106,617453,7322920,0.46,0.009,1.03,1.43,0.023,0.15,1.08,0.02,0.02,0.268,0.14,0.005,0.01,95.29,1,66,1.5,15,1.5,9,2.5,5,1.5,2.5,15,1,3,1.5,2,8,2.5,2,1,17,2.5,6,1.5,6,1.5,1.5,1.5,1.5
"84",5089,1,281987,6671838,75.84,0.332,11.15,2.74,0.03,0.85,1.03,1.96,2.87,0.06,0.005,0.011,0.01,2.87,4,448,1.5,57,3,30,5,5,14,2.5,41,1,5,8,13,138,2.5,7,1,118,2.5,17,4,42,1.5,11,37,112
"85",5090,113,-649187.4,6953343.9,58.73,1.418,13.87,6.25,0.084,1.31,2.91,3.56,2.94,0.496,0.005,0.014,0.01,7.94,2,1308,1.5,112,11,5,2.5,5,20,9,113,1,14,1.5,35,102,2.5,9,1,445,2.5,11,8,85,1.5,23,70,399
"86",5091,27,570372,6823372,39.58,0.168,5.43,1.05,0.022,0.26,1.18,1.19,1.03,0.081,0.05,0.006,0.01,49.74,3,247,1.5,15,4,17,2.5,18,6,2.5,32,1,5,10,7,30,2.5,4,1,113,2.5,2.5,6,22,1.5,12,16,99
"87",5092,8,381109,6070784,79.39,0.395,8.19,2.81,0.043,0.93,0.91,0.63,2.41,0.067,0.03,0.015,0.01,3.86,4,345,1.5,49,6,36,2.5,5,9,8,51,1,7,7,13,92,2.5,7,3,57,2.5,18,5,37,5,17,34,207
"88",5093,97,479808,7267792,70.22,0.468,12.77,4.08,0.083,1.2,2.11,3.17,2.1,0.137,0.005,0.017,0.01,3.34,1,582,1.5,48,11,43,2.5,5,14,2.5,58,1,7,11,10,80,2.5,10,1,200,2.5,14,1.5,59,6,13,36,165
"89",5094,96,417633,7275188,74.46,0.33,12.32,2.02,0.035,1.07,2.27,3.58,2.49,0.095,0.005,0.023,0.01,0.97,1,644,1.5,37,7,40,2.5,5,11,2.5,41,1,5,1.5,8,94,8,9,1,237,2.5,10,5,50,1.5,4,20,146
"90",5095,61,-591638,6773221.3,64.54,1.536,12,7.49,0.105,2.62,4.15,2.16,1.53,0.185,0.005,0.013,0.01,3.37,1,485,1.5,46,23,49,2.5,5,12,2.5,59,3,9,30,5,74,2.5,17,1,153,2.5,10,1.5,113,1.5,28,59,200
"91",5096,34,-324947,6767973.3,75.4,0.581,10.68,3.58,0.057,1.39,1.01,1.65,2.64,0.075,0.005,0.007,0.02,2.63,1,436,1.5,44,7,59,2.5,11,14,10,32,1,11,14,8,109,2.5,10,3,80,2.5,12,5,55,1.5,19,45,259
"92",5097,93,369898.1,7680652.2,73.19,0.382,11.9,3.18,0.037,1.44,2.29,3.85,1.53,0.069,0.005,0.019,0.053,1.83,1,362,1.5,15,5,68,2.5,5,12,2.5,40,1,4,13,7,87,2.5,9,3,141,2.5,12,1.5,60,4,4,19,126
"93",5098,113,372951,7423328,57.66,0.84,14.36,5.02,0.058,2.14,2.52,3.33,2.39,0.217,0.005,0.027,0.061,11.04,1,763,1.5,107,13,76,2.5,24,20,5,67,1,13,26,9,111,2.5,16,1,212,2.5,17,5,102,1.5,21,56,223
"94",5099,68,620352,7023690,70.19,0.314,14.02,2.34,0.034,0.97,2.08,4.07,1.7,0.057,0.005,0.013,0.036,3.91,1,525,1.5,15,9,35,2.5,5,15,2.5,41,1,4,7,14,76,2.5,8,1,300,2.5,12,4,37,1.5,6,29,95
